CensusTract,Opportunity_Tier,PWC_Opportunity_Index,Top_Domain,District,City,Neighborhood,1st Due,LIFEEXPPCT,LOWINCPCT,UNEMPPCT,LINGISOPCT,LESSHSPCT,E_POV150_P,With_PublicAssIncome_P,With_SSI_P,E_UNINSUR_P,With_Medicaid_P,percent_food_insecure,PRE1960PCT,E_HBURD_P,House_Vacant_P,E_MUNIT_P,E_MOBILE_P,E_CROWD_P,Owner_occupied_P,Mean_Proportion_HHIncome,percent_homeowners,PTRAF,E_NOVEH_P,Mean_Transportation_time(min),Work_Drivealone_P,Work_Carpooled_P,Work_PublicTransportation_P,Work_Walk_P,Work_Fromhome_P,Percent_Severe/Fatal,Avg_Person_Injured/Kill,Avg_Pedestrian_Injured/Kill,Percent_Alcohol_Related,Percent_Distracted_Related,Percent_Drowsy_Related,Percent_Drug_Related,Percent_Speed_Related,Percent_Hitrun_Related,Percent_Schoolzone_Related,Percent_Lgtruck_Related,Percent_Young_Related,Percent_Senior_Related,Percent_Bike_Related,Percent_Night_Related,Percent_Workzone_Related,PM25,OZONE,DSLPM,NO2,RSEI_AIR,PTSDF,UST,PWDIS,PNPL,PRMP,Total_Calls,Chronic_History,Violence_Calls,Opioid_Calls,CPR_Calls,DISABILITYPCT,UNDER5PCT,OVER64PCT,E_SNGPNT_P,E_GROUPQ_P,Total_Population,Median_Age,Age_Dependency_Ratio,Old-age_Dependency_Ratio,Child_Dependency_Ratio,Prop_White,Sex_Ratio(males per 100 females),Prop_Black,Prop_Hisp,Socioeconomic_Rank,Socioeconomic_Var1,Socioeconomic_Val1,Socioeconomic_Z1,Housing_Rank,Housing_Var1,Housing_Val1,Housing_Z1,Transportation_Rank,Transportation_Var1,Transportation_Val1,Transportation_Z1,Transportation_Var2,Transportation_Val2,Transportation_Z2,Transportation_Var3,Transportation_Val3,Transportation_Z3,TransportationSafety_Rank,TransportationSafety_Var1,TransportationSafety_Val1,TransportationSafety_Z1,TransportationSafety_Var2,TransportationSafety_Val2,TransportationSafety_Z2,TransportationSafety_Var3,TransportationSafety_Val3,TransportationSafety_Z3,Environmental_Rank,Environmental_Var1,Environmental_Val1,Environmental_Z1,Environmental_Var2,Environmental_Val2,Environmental_Z2,Environmental_Var3,Environmental_Val3,Environmental_Z3,PublicHealth_Rank,PublicHealth_Var1,PublicHealth_Val1,PublicHealth_Z1,Demographics_Rank,Demographics_Var1,Demographics_Val1,Demographics_Z1,Demographics_Var2,Demographics_Val2,Demographics_Z2,Demographics_Var3,Demographics_Val3,Demographics_Z3,Socioeconomic_Var2,Socioeconomic_Val2,Socioeconomic_Z2,Socioeconomic_Var3,Socioeconomic_Val3,Socioeconomic_Z3,Housing_Var2,Housing_Val2,Housing_Z2,Housing_Var3,Housing_Val3,Housing_Z3,PublicHealth_Var2,PublicHealth_Val2,PublicHealth_Z2,PublicHealth_Var3,PublicHealth_Val3,PublicHealth_Z3
51153900100,Less Opportunity,2,Socioeconomic,WOODBRIDGE,Dale City,Bayside Park,Station 2 - 1st Due,0.182564103,0.07668522,0.006586826,0.033354715,0.044565217,0.031539889,0.020525978,0.053239256,0.061842919,0.070275404,0.074,0.045257285,0.116100064,0.033477991,0.275883447,0.0,0.004490058,0.840136054,0.236877828,0.865,1048284.539,0.007055805,45.51067073,0.614619883,0.025730994,0.052046784,0.0,0.232748538,0.125,1.4375,0.125,0.0,0.125,0.0,0.0625,0.125,0.0,0.0,0.0625,0.1875,0.3125,0.0625,0.1875,0.0,7.117336885,55.85079,0.17022229,5.941893021,58.79563204,0.535742038,0.55291834,2955.696985,0.150438512,0.199625414,1259,247,17,3,4,0.095916429,0.0572047,0.299319728,0.007697242,0.0,3001,54.6,63.1,48.6,14.5,0.504738612,99.0,0.164781412,0.161418526,1.0,With_SSI_P,0.053239256,1.093576226984775,6.0,E_MUNIT_P,0.275883447,0.9285170831760026,4.0,Work_Carpooled_P,0.025730994,-1.5616720150837895,Work_Walk_P,0.0,-0.6280321483470866,PTRAF,1048284.539,0.6176581954854359,3.0,Percent_Drug_Related,0.0625,2.452630970571641,Percent_Senior_Related,0.3125,1.8901664487337249,Percent_Bike_Related,0.0625,1.6471836401457214,5.0,PTSDF,0.535742038,1.4158788431011173,OZONE,55.85079,1.3200235828855003,PRMP,0.199625414,0.6109025339669237,2.0,CPR_Calls,4.0,0.18639312824915769,0.0,Median_Age,54.6,2.6306098835046874,OVER64PCT,0.299319728,2.23583498013386,Total_Population,3001.0,-1.4296311051334174,,,,,,,,,,,,,,,,,,
51153900201,High Opportunity,5,Socioeconomic,WOODBRIDGE,Dale City,Marumsco Village,Station 2 - 1st Due,0.217435897,0.327175698,0.06742281,0.096774194,0.133783784,0.255632937,0.08012487,0.037460978,0.110200737,0.195850622,0.154,0.112476371,0.387096774,0.09168242,0.371455577,0.0,0.069719043,0.530788177,0.353118812,0.488,1939166.587,0.01144641,40.84618506,0.683366734,0.10754843,0.016700067,0.015364061,0.177020708,0.152941177,1.752941176,0.047058824,0.070588235,0.082352941,0.011764706,0.0,0.211764706,0.094117647,0.011764706,0.023529412,0.141176471,0.117647059,0.023529412,0.352941177,0.011764706,7.212371585,56.00132,0.246330689,7.430988248,47.18831416,0.506328415,5.158355947,1608.187692,0.107441159,0.212286876,1042,181,44,7,3,0.154356846,0.032363785,0.072101598,0.097814776,0.002048341,3180,36.3,51.9,14.0,38.0,0.259409594,69.1,0.225092251,0.374169742,1.0,E_POV150_P,0.255632937,1.6829245074063397,3.0,E_HBURD_P,0.387096774,1.6823533459890703,5.0,PTRAF,1939166.587,2.7969803484952958,Work_PublicTransportation_P,0.016700067,-0.6278517146809665,,,,4.0,Percent_Night_Related,0.352941177,0.7182703865873157,Percent_Hitrun_Related,0.094117647,0.6141925946547389,Avg_Person_Injured/Kill,1.752941176,0.24225053531689872,6.0,UST,5.158355947,2.5447161453348355,DSLPM,0.246330689,2.3955139358224296,NO2,7.430988248,1.6239195654951408,2.0,Violence_Calls,44.0,0.3810507955901289,0.0,DISABILITYPCT,0.154356846,2.178609534439385,Total_Population,3180.0,-1.3167321153364206,Prop_Hisp,0.374169742,0.783223763368044,percent_food_insecure,0.154,1.5774577984283387,LOWINCPCT,0.327175698,1.2709859458225112,House_Vacant_P,0.09168242,1.5450453150164283,E_MUNIT_P,0.371455577,1.5048978485003184,Opioid_Calls,7.0,0.005520633919125084,,,
51153900202,High Opportunity,6,Socioeconomic,WOODBRIDGE,Dale City,Marumsco Village,Station 2 - 1st Due,0.169230769,0.276915616,0.048494329,0.135111111,0.171480144,0.030310378,0.122666667,0.0,0.185741998,0.155063291,0.074,0.584518167,0.193777778,0.111374408,0.16192733,0.004739336,0.0,0.841901067,0.258486239,0.824,1942872.958,0.012444444,35.77643172,0.756890169,0.126696833,0.00987248,0.0,0.06622789,0.109090909,1.709090909,0.045454545,0.072727273,0.272727273,0.018181818,0.027272727,0.3,0.118181818,0.018181818,0.081818182,0.190909091,0.163636364,0.0,0.309090909,0.009090909,7.216208197,55.82964,0.243887459,7.024271642,42.40539441,0.323682439,2.421485001,1481.485726,0.100379162,0.197936753,1188,264,32,11,4,0.039678676,0.040979631,0.066440349,0.038222222,0.0,3520,37.0,47.5,16.5,31.0,0.202326145,119.2,0.088441968,0.591713109,1.0,With_PublicAssIncome_P,0.122666667,1.5133782269623794,5.0,PRE1960PCT,0.584518167,5.773282937120461,4.0,PTRAF,1942872.958,2.806047066637958,Work_Drivealone_P,0.756890169,1.1308498861360317,Work_Fromhome_P,0.06622789,-1.126297762252163,3.0,Percent_Speed_Related,0.3,1.0923605344419907,Percent_Hitrun_Related,0.118181818,1.0439645851998238,Percent_Distracted_Related,0.272727273,0.8450821862297886,6.0,DSLPM,0.243887459,2.324253200020398,OZONE,55.82964,1.2906749138974594,NO2,7.024271642,1.2398098623485994,2.0,Opioid_Calls,11.0,0.682718394665137,0.0,Prop_Hisp,0.591713109,2.2088757453684162,Total_Population,3520.0,-1.102287106783466,Sex_Ratio(males per 100 females),119.2,0.8831524158039046,LINGISOPCT,0.135111111,1.2704153143589918,E_UNINSUR_P,0.185741998,1.0895369334056224,House_Vacant_P,0.111374408,2.1199170223729866,E_MUNIT_P,0.16192733,0.2412653296590801,CPR_Calls,4.0,0.18639312824915769,,,
51153900203,Exceptional Opportunity,7,Socioeconomic,WOODBRIDGE,Dale City,Woodbridge,Station 2 - 1st Due,0.206153846,0.301154936,0.042467591,0.143669986,0.191298094,0.230115494,0.076102418,0.077524893,0.181085204,0.225841714,0.163,0.10210396,0.343527738,0.129950495,0.611386139,0.0,0.084637269,0.101680122,0.339889416,0.075,1432192.241,0.007823613,39.43759832,0.767241379,0.081135903,0.019269777,0.061866126,0.034482759,0.21311475400000002,1.6885245899999999,0.114754099,0.229508197,0.262295082,0.016393443,0.0,0.213114754,0.196721312,0.098360656,0.049180328,0.098360656,0.098360656,0.032786885,0.409836066,0.032786885,7.197157923,55.83719,0.217923803,7.046775897,45.32269551,0.257901881,1.43282189,1696.97799,0.10855256,0.0,1608,294,114,16,1,0.100787057,0.095227718,0.057528873,0.092460882,0.001307474,4891,29.3,69.6,7.2,62.5,0.104599407,76.8,0.283753709,0.482937685,1.0,With_SSI_P,0.077524893,2.2476338911584963,4.0,Owner_occupied_P,0.101680122,-2.9635772200979815,5.0,Work_Fromhome_P,0.034482759,-1.5642196859941209,PTRAF,1432192.241,1.5567932488384333,Work_Drivealone_P,0.767241379,1.2982495662473328,3.0,Percent_Alcohol_Related,0.229508197,2.74607963050952,Percent_Hitrun_Related,0.196721312,2.4466339176602596,Percent_Schoolzone_Related,0.098360656,1.7014980478449468,6.0,DSLPM,0.217923803,1.5669813792459188,OZONE,55.83719,1.3011516255220317,NO2,7.046775897,1.2610632426632056,2.0,Violence_Calls,114.0,2.683083744558637,0.0,Child_Dependency_Ratio,62.5,2.1931746052200642,Prop_Hisp,0.482937685,1.4960252413191208,UNDER5PCT,0.095227718,0.9346130268975712,percent_food_insecure,0.163,1.8068457606866222,With_Medicaid_P,0.225841714,1.429058503076268,E_MUNIT_P,0.611386139,2.95188203678045,percent_homeowners,0.075,-2.908591416036379,Opioid_Calls,16.0,1.5292155955976519,Total_Calls,1608.0,0.04225304019546099
51153900301,High Opportunity,5,Socioeconomic,OCCOQUAN,Dale City,Woodbridge,Station 2 - 1st Due,0.180512821,0.232398397,0.092181467,0.093147039,0.109263658,0.209502003,0.088489687,0.02328676,0.090440756,0.172154824,0.184,0.198136646,0.275449102,0.066459627,0.224844721,0.0,0.012641384,0.603892387,0.345895522,0.685,1980590.732,0.055222888,37.58444869,0.61707989,0.089256198,0.072727273,0.076584022,0.13553719,0.060606059999999996,1.5636363629999999,0.018181818,0.048484848,0.151515152,0.042424242,0.0,0.357575758,0.066666667,0.006060606,0.139393939,0.175757576,0.157575758,0.0,0.363636364,0.018181818,7.243385246,56.03626,0.250596623,6.979261768,42.57440461,0.455011814,5.261958187,749.7767363,0.039346429,0.23544811,1413,247,24,3,4,0.134315425,0.048368632,0.089009731,0.079174983,0.0,3514,37.8,41.8,15.3,26.4,0.45743714,93.4,0.17206907,0.201151166,1.0,percent_food_insecure,0.184,2.3420843392892827,5.0,PRE1960PCT,0.198136646,1.5609755169425181,3.0,PTRAF,1980590.732,2.898314253551145,E_NOVEH_P,0.055222888,1.3184141622328116,Work_Carpooled_P,0.089256198,-0.3131462124251748,4.0,Percent_Speed_Related,0.357575758,1.6962263689983919,Percent_Lgtruck_Related,0.139393939,1.3019611156630753,Percent_Drowsy_Related,0.042424242,0.9719325972706243,6.0,UST,5.261958187,2.6158965125649813,DSLPM,0.250596623,2.519936767779677,OZONE,56.03626,1.5773899014297226,2.0,CPR_Calls,4.0,0.18639312824915769,0.0,DISABILITYPCT,0.134315425,1.5613291665420233,Total_Population,3514.0,-1.1060714304638122,Prop_White,0.45743714,0.3613703692082839,UNEMPPCT,0.092181467,1.4889148267345604,E_POV150_P,0.209502003,1.1418033658572324,House_Vacant_P,0.066459627,0.8087118337949764,E_HBURD_P,0.275449102,0.6886813580534202,,,,,,
51153900302,Exceptional Opportunity,7,PublicHealth,OCCOQUAN,Dale City,Lake Ridge,Station 20 - 1st Due,0.180512821,0.289380696,0.00859423,0.066008083,0.171858501,0.224235768,0.055680287,0.017063314,0.111111111,0.188657845,0.142,0.015879828,0.26986978,0.044206009,0.193991416,0.056652361,0.04220925,0.537250595,0.351252053,0.486,1876875.904,0.014369106,43.30398027,0.687334705,0.066118131,0.058771672,0.0,0.165736115,0.088,1.676,0.044,0.052,0.208,0.052,0.016,0.256,0.06,0.0,0.112,0.148,0.152,0.004,0.312,0.036,7.232929781,55.79823,0.248440548,7.404631107,40.20947831,0.286848501,2.458813027,839.2163909,0.0,0.195784515,2804,401,39,9,1,0.098865784,0.048142046,0.064616511,0.119892232,0.0,5032,37.8,53.6,14.5,39.1,0.24785077,94.7,0.291484185,0.270884023,2.0,E_POV150_P,0.224235768,1.3146321175169384,4.0,E_MOBILE_P,0.056652361,1.443272140303224,3.0,PTRAF,1876875.904,2.6446016293452446,Work_Carpooled_P,0.066118131,-0.767902306921838,Work_Walk_P,0.0,-0.6280321483470866,5.0,Percent_Drowsy_Related,0.052,1.389486016820101,Percent_Lgtruck_Related,0.112,0.7784366702151901,Percent_Speed_Related,0.256,0.630879910591904,6.0,DSLPM,0.248440548,2.4570513697842506,NO2,7.404631107,1.5990274576835861,OZONE,55.79823,1.2470890182514007,1.0,Total_Calls,2804.0,1.231303300754787,0.0,E_SNGPNT_P,0.119892232,1.2767640325969993,Prop_Black,0.291484185,0.8489647351640034,DISABILITYPCT,0.098865784,0.4694720852347953,percent_food_insecure,0.142,1.271607182083961,LOWINCPCT,0.289380696,0.9541027263453655,percent_homeowners,0.486,-1.1288988966071587,Owner_occupied_P,0.537250595,-0.9849592845478394,Chronic_History,401.0,0.5146621085374338,Opioid_Calls,9.0,0.34411951429213106
51153900403,Exceptional Opportunity,8,PublicHealth,OCCOQUAN,Dale City,Potomac Mills,Station 20 - 1st Due,0.16,0.254022989,0.054404946,0.103076923,0.151957209,0.198460783,0.166153846,0.06,0.070247257,0.205780916,0.096,0.051192843,0.315897436,0.030815109,0.203777336,0.0,0.033333333,0.828096726,0.48960396,0.732,1311404.74,0.056923077,36.82104317,0.629923866,0.239324727,0.03939093,0.003641178,0.083416087,0.100869565,1.829565217,0.026086957,0.066086957,0.213913044,0.022608696,0.006956522,0.170434783,0.060869565,0.015652174,0.053913043,0.194782609,0.142608696,0.00173913,0.297391304,0.033043478,7.208924863,55.47455,0.178071521,7.419461825,34.71307642,0.09824936,2.968459601,1223.102014,0.078182302,0.0,8244,1038,190,35,18,0.103629496,0.127231046,0.125921074,0.015384615,0.004584903,5789,36.6,66.4,19.7,46.7,0.210990991,95.9,0.232792793,0.381441441,2.0,With_PublicAssIncome_P,0.166153846,2.537141177282365,6.0,Mean_Proportion_HHIncome,0.48960396,2.0896407462459066,3.0,E_NOVEH_P,0.056923077,1.3896522949400891,PTRAF,1311404.74,1.2613165610693242,Work_Fromhome_P,0.083416087,-0.8891877532906076,4.0,Avg_Person_Injured/Kill,1.829565217,0.5284281902589388,Percent_Drowsy_Related,0.022608696,0.10787055721698453,Percent_Night_Related,0.297391304,0.07935731054238755,5.0,NO2,7.419461825,1.6130338262566706,UST,2.968459601,1.0401383861644244,OZONE,55.47455,0.7979364330009825,1.0,Total_Calls,8244.0,6.639692445773794,0.0,UNDER5PCT,0.127231046,2.0426314639661767,Prop_Hisp,0.381441441,0.8308782252568317,DISABILITYPCT,0.103629496,0.616195508484927,With_SSI_P,0.06,1.4148479493907593,With_Medicaid_P,0.205780916,1.1598804943158032,E_HBURD_P,0.315897436,1.0486743228370041,E_MUNIT_P,0.203777336,0.49365625666999013,Violence_Calls,190.0,5.182433803438731,Opioid_Calls,35.0,4.745904959141209
51153900404,Exceptional Opportunity,8,Socioeconomic,NEABSCO,Dale City,Forestdale,Station 10 - 1st Due,0.164102564,0.354005622,0.089608177,0.199541284,0.218958611,0.265345493,0.130160551,0.029243119,0.235180638,0.227095861,0.132,0.053650442,0.324541284,0.03539823,0.071902655,0.0,0.038990826,0.710951211,0.375235849,0.786,1072587.897,0.006880734,47.32890917,0.69431988,0.12406577,0.032511211,0.016442451,0.099775785,0.10619469100000001,1.849557523,0.044247788,0.088495575,0.194690266,0.017699115,0.026548673,0.097345133,0.061946903,0.017699115,0.03539823,0.203539823,0.132743363,0.03539823,0.247787611,0.0,7.205901366,55.28439,0.173518369,6.966819502,32.82387659,0.024933455,1.103061651,1128.579837,0.102979571,0.0,1695,430,52,11,5,0.08135833,0.052086987,0.081024202,0.122706422,0.000701508,5893,35.4,56.8,14.7,42.1,0.197631755,76.2,0.151767845,0.524683122,1.0,LINGISOPCT,0.199541284,2.344507741293568,6.0,E_HBURD_P,0.324541284,1.12560516672933,5.0,Mean_Transportation_time(min),47.32890917,0.9202776285046369,PTRAF,1072587.897,0.6771103380006364,Work_Fromhome_P,0.099775785,-0.6635068317030588,3.0,Percent_Drug_Related,0.026548673,0.6408672397583351,Percent_Bike_Related,0.03539823,0.608325839860249,Avg_Person_Injured/Kill,1.849557523,0.6030960252268659,4.0,NO2,6.966819502,1.1855511374404413,OZONE,55.28439,0.5340620644542078,PM25,7.205901366,0.3423526051044781,2.0,Chronic_History,430.0,0.7029410754341666,0.0,Prop_Hisp,0.524683122,1.769600417704626,E_SNGPNT_P,0.122706422,1.340634997302979,,,,E_POV150_P,0.265345493,1.796853902160836,E_UNINSUR_P,0.235180638,1.7289546222462604,Mean_Proportion_HHIncome,0.375235849,0.5027868827948331,Owner_occupied_P,0.710951211,-0.1959086589015324,Opioid_Calls,11.0,0.682718394665137,Violence_Calls,52.0,0.6441402754722441
51153900407,Exceptional Opportunity,7,Socioeconomic,NEABSCO,Dale City,Evansdale,Station 17 - 1st Due,0.17839493832467535,0.276343631,0.069092697,0.071365248,0.146657572,0.167865707,0.120567376,0.026595745,0.131894484,0.242219991,0.119,0.044769874,0.349734043,0.056066946,0.390376569,0.0,0.117907801,0.446748484,0.321158587,0.48,960221.5154,0.01462766,43.94493953,0.722381823,0.054844607,0.024027161,0.004439802,0.179420214,0.099009901,1.940594059,0.079207921,0.059405941,0.198019802,0.0,0.0,0.118811881,0.02970297,0.00990099,0.03960396,0.306930693,0.178217822,0.0,0.346534654,0.0,7.202148634,55.18307,0.170696031,6.265945822,29.93241569,0.0,3.055211956,31.74779747,0.123719695,0.0,1658,425,63,8,4,0.087767102,0.097898152,0.087318381,0.063829787,0.0,6916,32.5,53.8,13.3,40.5,0.164841583,95.2,0.329975179,0.349248065,1.0,With_Medicaid_P,0.242219991,1.648824037318092,3.0,E_CROWD_P,0.117907801,2.516742168751356,5.0,Work_Carpooled_P,0.054844607,-0.9894724037434265,Work_Drivealone_P,0.722381823,0.5727812080230328,PTRAF,960221.5154,0.4022338319309578,4.0,Percent_Young_Related,0.306930693,0.9789230594436974,Avg_Person_Injured/Kill,1.940594059,0.943101877783331,Percent_Night_Related,0.346534654,0.6445850459082725,6.0,UST,3.055211956,1.0997419670037962,NO2,6.265945822,0.5236347632464059,OZONE,55.18307,0.3934659820964054,2.0,Violence_Calls,63.0,1.0058883103101526,0.0,Prop_Black,0.329975179,1.181030040979457,UNDER5PCT,0.097898152,1.0270687273476888,Prop_Hisp,0.349248065,0.6199016694803313,With_PublicAssIncome_P,0.120567376,1.4639573080349826,LOWINCPCT,0.276343631,0.8447965506311054,E_MUNIT_P,0.390376569,1.619007430965994,Owner_occupied_P,0.446748484,-1.3960732399920825,Chronic_History,425.0,0.6704791845899024,CPR_Calls,4.0,0.18639312824915769
51153900408,Moderate Opportunity,3,PublicHealth,NEABSCO,Dale City,Neabsco Hills,Station 17 - 1st Due,0.178461538,0.068616423,0.033874382,0.091916558,0.101277372,0.058492688,0.129074316,0.004563233,0.120734908,0.203647988,0.092,0.061442006,0.133637549,0.038244514,0.0,0.0,0.132333768,0.799400075,0.258561644,0.857,816841.4259,0.016297262,45.27020992,0.710791926,0.114518634,0.024456522,0.009704969,0.130822981,0.363636364,1.454545455,0.0,0.181818182,0.272727273,0.0,0.0,0.181818182,0.0,0.0,0.181818182,0.272727273,0.181818182,0.0,0.363636364,0.0,7.191485792,55.15391,0.157985338,5.89665489,29.17011798,0.0,0.0,485.9194125,0.131832714,0.0,789,245,20,4,2,0.081797668,0.131983502,0.069553806,0.035853977,0.0,5473,33.2,63.7,11.9,51.8,0.245106383,111.3,0.302765957,0.259787234,2.0,With_PublicAssIncome_P,0.129074316,1.6642252994950653,6.0,E_CROWD_P,0.132333768,2.942202644131105,5.0,Mean_Transportation_time(min),45.27020992,0.5750608210901742,Work_Drivealone_P,0.710791926,0.3853494922793739,Work_PublicTransportation_P,0.024456522,-0.254276397271563,3.0,Percent_Severe/Fatal,0.363636364,3.047022473387993,Percent_Lgtruck_Related,0.181818182,2.112729084815716,Percent_Alcohol_Related,0.181818182,1.8503070718543269,4.0,OZONE,55.15391,0.35300228527886585,PM25,7.191485792,0.19137329347660295,NO2,5.89665489,0.17487046847052526,1.0,Total_Calls,789.0,-0.7719878991005992,0.0,UNDER5PCT,0.131983502,2.207170879034426,Child_Dependency_Ratio,51.8,1.0254743070002408,Prop_Black,0.302765957,0.9462936082328623,With_Medicaid_P,0.203647988,1.1312606302471135,LINGISOPCT,0.091916558,0.5503343320818811,PRE1960PCT,0.061442006,0.07073901474045609,,,,Opioid_Calls,4.0,-0.5023776866403838,Chronic_History,245.0,-0.49814888580361205
