"Label (Grouping)","Census Tract 9001; Prince William County; Virginia!!Estimate","Census Tract 9001; Prince William County; Virginia!!Margin of Error","Census Tract 9002.01; Prince William County; Virginia!!Estimate","Census Tract 9002.01; Prince William County; Virginia!!Margin of Error","Census Tract 9002.02; Prince William County; Virginia!!Estimate","Census Tract 9002.02; Prince William County; Virginia!!Margin of Error","Census Tract 9002.03; Prince William County; Virginia!!Estimate","Census Tract 9002.03; Prince William County; Virginia!!Margin of Error","Census Tract 9003.01; Prince William County; Virginia!!Estimate","Census Tract 9003.01; Prince William County; Virginia!!Margin of Error","Census Tract 9003.02; Prince William County; Virginia!!Estimate","Census Tract 9003.02; Prince William County; Virginia!!Margin of Error","Census Tract 9004.03; Prince William County; Virginia!!Estimate","Census Tract 9004.03; Prince William County; Virginia!!Margin of Error","Census Tract 9004.04; Prince William County; Virginia!!Estimate","Census Tract 9004.04; Prince William County; Virginia!!Margin of Error","Census Tract 9004.07; Prince William County; Virginia!!Estimate","Census Tract 9004.07; Prince William County; Virginia!!Margin of Error","Census Tract 9004.08; Prince William County; Virginia!!Estimate","Census Tract 9004.08; Prince William County; Virginia!!Margin of Error","Census Tract 9004.09; Prince William County; Virginia!!Estimate","Census Tract 9004.09; Prince William County; Virginia!!Margin of Error","Census Tract 9004.10; Prince William County; Virginia!!Estimate","Census Tract 9004.10; Prince William County; Virginia!!Margin of Error","Census Tract 9005.02; Prince William County; Virginia!!Estimate","Census Tract 9005.02; Prince William County; Virginia!!Margin of Error","Census Tract 9005.03; Prince William County; Virginia!!Estimate","Census Tract 9005.03; Prince William County; Virginia!!Margin of Error","Census Tract 9005.04; Prince William County; Virginia!!Estimate","Census Tract 9005.04; Prince William County; Virginia!!Margin of Error","Census Tract 9006.01; Prince William County; Virginia!!Estimate","Census Tract 9006.01; Prince William County; Virginia!!Margin of Error","Census Tract 9006.02; Prince William County; Virginia!!Estimate","Census Tract 9006.02; Prince William County; Virginia!!Margin of Error","Census Tract 9007.01; Prince William County; Virginia!!Estimate","Census Tract 9007.01; Prince William County; Virginia!!Margin of Error","Census Tract 9007.02; Prince William County; Virginia!!Estimate","Census Tract 9007.02; Prince William County; Virginia!!Margin of Error","Census Tract 9008.01; Prince William County; Virginia!!Estimate","Census Tract 9008.01; Prince William County; Virginia!!Margin of Error","Census Tract 9008.03; Prince William County; Virginia!!Estimate","Census Tract 9008.03; Prince William County; Virginia!!Margin of Error","Census Tract 9008.04; Prince William County; Virginia!!Estimate","Census Tract 9008.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.01; Prince William County; Virginia!!Estimate","Census Tract 9009.01; Prince William County; Virginia!!Margin of Error","Census Tract 9009.04; Prince William County; Virginia!!Estimate","Census Tract 9009.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.05; Prince William County; Virginia!!Estimate","Census Tract 9009.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.05; Prince William County; Virginia!!Estimate","Census Tract 9010.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.09; Prince William County; Virginia!!Estimate","Census Tract 9010.09; Prince William County; Virginia!!Margin of Error","Census Tract 9010.10; Prince William County; Virginia!!Estimate","Census Tract 9010.10; Prince William County; Virginia!!Margin of Error","Census Tract 9010.11; Prince William County; Virginia!!Estimate","Census Tract 9010.11; Prince William County; Virginia!!Margin of Error","Census Tract 9010.12; Prince William County; Virginia!!Estimate","Census Tract 9010.12; Prince William County; Virginia!!Margin of Error","Census Tract 9010.13; Prince William County; Virginia!!Estimate","Census Tract 9010.13; Prince William County; Virginia!!Margin of Error","Census Tract 9010.14; Prince William County; Virginia!!Estimate","Census Tract 9010.14; Prince William County; Virginia!!Margin of Error","Census Tract 9010.15; Prince William County; Virginia!!Estimate","Census Tract 9010.15; Prince William County; Virginia!!Margin of Error","Census Tract 9010.16; Prince William County; Virginia!!Estimate","Census Tract 9010.16; Prince William County; Virginia!!Margin of Error","Census Tract 9011.01; Prince William County; Virginia!!Estimate","Census Tract 9011.01; Prince William County; Virginia!!Margin of Error","Census Tract 9011.02; Prince William County; Virginia!!Estimate","Census Tract 9011.02; Prince William County; Virginia!!Margin of Error","Census Tract 9012.03; Prince William County; Virginia!!Estimate","Census Tract 9012.03; Prince William County; Virginia!!Margin of Error","Census Tract 9012.08; Prince William County; Virginia!!Estimate","Census Tract 9012.08; Prince William County; Virginia!!Margin of Error","Census Tract 9012.09; Prince William County; Virginia!!Estimate","Census Tract 9012.09; Prince William County; Virginia!!Margin of Error","Census Tract 9012.11; Prince William County; Virginia!!Estimate","Census Tract 9012.11; Prince William County; Virginia!!Margin of Error","Census Tract 9012.12; Prince William County; Virginia!!Estimate","Census Tract 9012.12; Prince William County; Virginia!!Margin of Error","Census Tract 9012.19; Prince William County; Virginia!!Estimate","Census Tract 9012.19; Prince William County; Virginia!!Margin of Error","Census Tract 9012.21; Prince William County; Virginia!!Estimate","Census Tract 9012.21; Prince William County; Virginia!!Margin of Error","Census Tract 9012.22; Prince William County; Virginia!!Estimate","Census Tract 9012.22; Prince William County; Virginia!!Margin of Error","Census Tract 9012.23; Prince William County; Virginia!!Estimate","Census Tract 9012.23; Prince William County; Virginia!!Margin of Error","Census Tract 9012.24; Prince William County; Virginia!!Estimate","Census Tract 9012.24; Prince William County; Virginia!!Margin of Error","Census Tract 9012.25; Prince William County; Virginia!!Estimate","Census Tract 9012.25; Prince William County; Virginia!!Margin of Error","Census Tract 9012.26; Prince William County; Virginia!!Estimate","Census Tract 9012.26; Prince William County; Virginia!!Margin of Error","Census Tract 9012.27; Prince William County; Virginia!!Estimate","Census Tract 9012.27; Prince William County; Virginia!!Margin of Error","Census Tract 9012.28; Prince William County; Virginia!!Estimate","Census Tract 9012.28; Prince William County; Virginia!!Margin of Error","Census Tract 9012.29; Prince William County; Virginia!!Estimate","Census Tract 9012.29; Prince William County; Virginia!!Margin of Error","Census Tract 9012.30; Prince William County; Virginia!!Estimate","Census Tract 9012.30; Prince William County; Virginia!!Margin of Error","Census Tract 9012.31; Prince William County; Virginia!!Estimate","Census Tract 9012.31; Prince William County; Virginia!!Margin of Error","Census Tract 9012.32; Prince William County; Virginia!!Estimate","Census Tract 9012.32; Prince William County; Virginia!!Margin of Error","Census Tract 9012.33; Prince William County; Virginia!!Estimate","Census Tract 9012.33; Prince William County; Virginia!!Margin of Error","Census Tract 9012.34; Prince William County; Virginia!!Estimate","Census Tract 9012.34; Prince William County; Virginia!!Margin of Error","Census Tract 9012.35; Prince William County; Virginia!!Estimate","Census Tract 9012.35; Prince William County; Virginia!!Margin of Error","Census Tract 9012.36; Prince William County; Virginia!!Estimate","Census Tract 9012.36; Prince William County; Virginia!!Margin of Error","Census Tract 9012.37; Prince William County; Virginia!!Estimate","Census Tract 9012.37; Prince William County; Virginia!!Margin of Error","Census Tract 9013.03; Prince William County; Virginia!!Estimate","Census Tract 9013.03; Prince William County; Virginia!!Margin of Error","Census Tract 9013.04; Prince William County; Virginia!!Estimate","Census Tract 9013.04; Prince William County; Virginia!!Margin of Error","Census Tract 9013.05; Prince William County; Virginia!!Estimate","Census Tract 9013.05; Prince William County; Virginia!!Margin of Error","Census Tract 9013.06; Prince William County; Virginia!!Estimate","Census Tract 9013.06; Prince William County; Virginia!!Margin of Error","Census Tract 9014.03; Prince William County; Virginia!!Estimate","Census Tract 9014.03; Prince William County; Virginia!!Margin of Error","Census Tract 9014.07; Prince William County; Virginia!!Estimate","Census Tract 9014.07; Prince William County; Virginia!!Margin of Error","Census Tract 9014.09; Prince William County; Virginia!!Estimate","Census Tract 9014.09; Prince William County; Virginia!!Margin of Error","Census Tract 9014.11; Prince William County; Virginia!!Estimate","Census Tract 9014.11; Prince William County; Virginia!!Margin of Error","Census Tract 9014.12; Prince William County; Virginia!!Estimate","Census Tract 9014.12; Prince William County; Virginia!!Margin of Error","Census Tract 9014.13; Prince William County; Virginia!!Estimate","Census Tract 9014.13; Prince William County; Virginia!!Margin of Error","Census Tract 9014.14; Prince William County; Virginia!!Estimate","Census Tract 9014.14; Prince William County; Virginia!!Margin of Error","Census Tract 9014.15; Prince William County; Virginia!!Estimate","Census Tract 9014.15; Prince William County; Virginia!!Margin of Error","Census Tract 9014.16; Prince William County; Virginia!!Estimate","Census Tract 9014.16; Prince William County; Virginia!!Margin of Error","Census Tract 9014.17; Prince William County; Virginia!!Estimate","Census Tract 9014.17; Prince William County; Virginia!!Margin of Error","Census Tract 9014.18; Prince William County; Virginia!!Estimate","Census Tract 9014.18; Prince William County; Virginia!!Margin of Error","Census Tract 9014.19; Prince William County; Virginia!!Estimate","Census Tract 9014.19; Prince William County; Virginia!!Margin of Error","Census Tract 9014.20; Prince William County; Virginia!!Estimate","Census Tract 9014.20; Prince William County; Virginia!!Margin of Error","Census Tract 9014.21; Prince William County; Virginia!!Estimate","Census Tract 9014.21; Prince William County; Virginia!!Margin of Error","Census Tract 9015.03; Prince William County; Virginia!!Estimate","Census Tract 9015.03; Prince William County; Virginia!!Margin of Error","Census Tract 9015.04; Prince William County; Virginia!!Estimate","Census Tract 9015.04; Prince William County; Virginia!!Margin of Error","Census Tract 9015.05; Prince William County; Virginia!!Estimate","Census Tract 9015.05; Prince William County; Virginia!!Margin of Error","Census Tract 9015.06; Prince William County; Virginia!!Estimate","Census Tract 9015.06; Prince William County; Virginia!!Margin of Error","Census Tract 9015.07; Prince William County; Virginia!!Estimate","Census Tract 9015.07; Prince William County; Virginia!!Margin of Error","Census Tract 9015.08; Prince William County; Virginia!!Estimate","Census Tract 9015.08; Prince William County; Virginia!!Margin of Error","Census Tract 9015.09; Prince William County; Virginia!!Estimate","Census Tract 9015.09; Prince William County; Virginia!!Margin of Error","Census Tract 9015.10; Prince William County; Virginia!!Estimate","Census Tract 9015.10; Prince William County; Virginia!!Margin of Error","Census Tract 9015.11; Prince William County; Virginia!!Estimate","Census Tract 9015.11; Prince William County; Virginia!!Margin of Error","Census Tract 9016.01; Prince William County; Virginia!!Estimate","Census Tract 9016.01; Prince William County; Virginia!!Margin of Error","Census Tract 9016.02; Prince William County; Virginia!!Estimate","Census Tract 9016.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.02; Prince William County; Virginia!!Estimate","Census Tract 9017.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.03; Prince William County; Virginia!!Estimate","Census Tract 9017.03; Prince William County; Virginia!!Margin of Error","Census Tract 9017.04; Prince William County; Virginia!!Estimate","Census Tract 9017.04; Prince William County; Virginia!!Margin of Error","Census Tract 9019; Prince William County; Virginia!!Estimate","Census Tract 9019; Prince William County; Virginia!!Margin of Error","Census Tract 9801; Prince William County; Virginia!!Estimate","Census Tract 9801; Prince William County; Virginia!!Margin of Error"
"Total:","3,196","±465","3,117","±408","3,668","±809","5,442","±1,046","3,750","±423","5,523","±756","6,319","±715","5,607","±597","6,537","±771","5,385","±988","4,670","±558","5,606","±785","4,562","±715","3,350","±613","5,563","±1,408","3,280","±273","3,757","±671","7,588","±1,004","8,341","±1,625","6,990","±772","6,771","±737","5,768","±755","6,123","±623","8,689","±879","6,083","±752","6,960","±790","7,467","±701","4,790","±883","6,564","±695","3,566","±444","3,076","±619","5,094","±1,089","3,386","±527","5,979","±850","2,612","±251","3,560","±362","3,671","±564","3,407","±429","6,559","±720","4,512","±518","6,641","±899","5,335","±586","6,771","±1,293","2,567","±244","6,304","±701","4,401","±558","4,771","±975","6,258","±705","5,679","±798","6,141","±477","4,500","±926","4,159","±410","7,405","±731","6,564","±724","7,514","±665","3,576","±496","2,932","±344","6,711","±586","3,138","±274","5,264","±740","3,172","±395","4,670","±880","5,417","±387","7,455","±1,068","4,160","±503","9,064","±1,088","6,049","±465","6,825","±897","4,625","±520","5,400","±620","4,689","±694","5,248","±1,267","3,134","±333","5,331","±909","3,985","±619","3,923","±537","5,497","±1,124","5,695","±427","4,892","±622","7,574","±789","6,590","±1,534","2,978","±290","6,261","±667","8,086","±1,254","6,049","±498","4,469","±278","4,367","±1,119","7,650","±1,060","4,831","±771","2,750","±438","7,269","±1,476","7,256","±802","0","±13"
"    White alone","1,742","±437","998","±362","1,248","±520","1,003","±506","1,933","±535","1,513","±453","2,060","±618","1,525","±453","1,128","±415","1,921","±497","1,263","±400","671","±225","1,317","±430","574","±283","2,421","±999","1,237","±361","942","±386","1,185","±362","2,116","±732","1,842","±480","1,192","±500","1,396","±264","1,709","±614","2,673","±658","1,501","±359","3,476","±485","3,704","±700","2,996","±829","1,971","±463","2,332","±375","686","±242","1,604","±415","236","±184","1,220","±448","1,287","±288","2,749","±372","1,218","±505","1,451","±270","2,336","±492","1,010","±313","1,469","±362","3,853","±624","2,961","±805","1,504","±276","2,900","±476","2,260","±342","2,267","±972","1,868","±507","1,845","±700","2,220","±526","1,610","±617","1,327","±318","4,163","±824","3,836","±557","4,813","±745","2,257","±370","1,603","±318","3,442","±532","1,622","±310","2,704","±422","2,235","±289","3,379","±749","4,174","±365","3,285","±1,004","1,456","±412","4,058","±783","3,928","±381","4,061","±849","2,440","±306","3,546","±646","3,215","±646","3,512","±1,262","2,348","±359","1,345","±485","1,150","±470","2,114","±396","3,618","±1,139","4,464","±455","3,266","±458","4,963","±855","2,629","±825","1,618","±234","3,061","±503","5,268","±1,097","3,786","±487","3,539","±337","1,487","±576","2,769","±807","1,887","±571","915","±291","3,176","±1,272","2,769","±822","0","±13"
"    Black or African American alone","498","±203","450","±199","539","±271","2,234","±780","1,077","±470","1,253","±495","1,282","±426","663","±331","2,354","±542","1,427","±425","1,263","±444","3,138","±747","2,039","±596","690","±230","480","±152","411","±201","1,500","±725","3,688","±897","1,175","±410","3,092","±708","3,548","±586","3,198","±701","1,995","±560","3,031","±762","3,001","±734","1,054","±244","1,291","±613","458","±289","1,920","±662","649","±268","1,240","±548","1,097","±455","2,339","±551","2,043","±407","368","±163","157","±109","690","±466","658","±171","1,234","±341","442","±288","1,457","±274","352","±138","2,238","±1,113","379","±93","792","±359","481","±139","735","±329","1,658","±373","1,087","±232","989","±285","1,344","±552","974","±244","703","±328","1,024","±182","572","±255","379","±252","619","±118","1,360","±540","848","±131","502","±177","106","±83","219","±241","295","±206","1,328","±915","726","±269","2,686","±933","353","±157","681","±258","236","±82","738","±203","311","±97","338","±159","198","±130","1,433","±770","762","±332","745","±301","624","±177","224","±133","746","±536","618","±419","1,106","±911","251","±122","958","±480","1,119","±655","329","±158","371","±160","36","±46","936","±329","58","±51","167","±140","523","±272","551","±292","0","±13"
"    American Indian and Alaska Native alone","0","±13","163","±173","13","±24","0","±19","0","±13","0","±19","25","±30","26","±39","61","±101","39","±58","0","±13","0","±19","3","±5","0","±13","5","±11","29","±48","196","±251","0","±19","0","±19","0","±19","14","±22","37","±51","70","±97","80","±130","170","±180","0","±19","102","±94","0","±13","0","±19","0","±13","49","±82","0","±19","34","±46","102","±172","26","±21","16","±25","32","±48","128","±124","0","±19","184","±205","696","±573","0","±19","63","±64","12","±25","137","±134","0","±13","46","±71","39","±56","88","±98","0","±19","0","±13","0","±13","56","±89","12","±19","0","±19","5","±9","0","±13","0","±19","0","±13","0","±19","0","±13","10","±17","53","±63","8","±16","0","±13","107","±144","16","±26","0","±19","19","±24","0","±19","0","±13","6","±10","6","±9","0","±19","0","±13","0","±13","0","±19","12","±19","0","±13","0","±19","20","±22","0","±13","27","±46","0","±19","0","±19","0","±13","50","±76","42","±74","60","±94","3","±6","43","±59","31","±47","0","±13"
"    Asian alone","391","±179","70","±51","77","±64","197","±156","387","±248","801","±284","1,339","±421","490","±233","662","±252","446","±161","789","±273","361","±135","246","±114","336","±148","170","±169","218","±182","442","±354","709","±381","841","±385","648","±148","434","±260","397","±193","220","±243","1,706","±625","427","±104","731","±218","550","±366","223","±112","1,538","±497","145","±79","367","±310","1,089","±886","520","±287","767","±275","351","±209","52","±48","405","±275","44","±35","1,014","±498","854","±509","490","±185","255","±139","599","±286","151","±85","823","±542","225","±76","493","±271","916","±349","484","±210","607","±202","428","±115","627","±244","558","±134","485","±98","438","±223","105","±82","266","±159","585","±348","246","±193","466","±115","136","±98","86","±65","125","±73","987","±469","615","±285","854","±419","726","±184","1,050","±352","602","±210","326","±131","459","±167","563","±142","247","±164","530","±210","418","±172","580","±171","816","±185","216","±98","460","±207","1,119","±406","1,349","±289","416","±144","1,316","±475","444","±207","890","±337","223","±93","430","±272","531","±379","98","±109","147","±111","566","±376","955","±216","0","±13"
"    Native Hawaiian and Other Pacific Islander alone","0","±13","0","±13","0","±13","0","±19","0","±13","0","±19","0","±19","0","±19","0","±19","10","±15","0","±13","0","±19","0","±13","0","±13","0","±19","0","±13","0","±13","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±13","0","±19","0","±13","0","±13","0","±19","0","±13","0","±19","11","±21","13","±25","204","±84","0","±13","0","±19","0","±13","0","±19","0","±19","0","±19","0","±13","0","±19","9","±18","0","±13","0","±19","0","±19","14","±20","0","±13","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","0","±19","20","±37","0","±19","0","±13","0","±13","0","±19","0","±19","0","±13","0","±19","0","±19","0","±19","0","±13","0","±19","0","±13","0","±19","0","±13","0","±19","0","±13","0","±13","0","±19","9","±16","0","±13","0","±19","0","±19","0","±13","17","±34","0","±19","0","±19","0","±13","0","±13","0","±19","0","±13","0","±13","0","±19","83","±76","0","±13"
"    Some Other Race alone","141","±111","1,185","±526","724","±530","888","±473","49","±35","1,187","±623","514","±244","1,088","±472","1,464","±571","901","±665","794","±443","447","±221","290","±261","1,286","±501","955","±654","1,112","±366","361","±302","985","±652","3,114","±1,612","673","±569","1,034","±581","317","±159","1,161","±687","185","±155","90","±94","372","±315","674","±412","117","±122","466","±325","81","±90","217","±170","429","±267","49","±65","622","±308","66","±60","89","±101","539","±280","232","±188","1,038","±525","523","±361","1,433","±940","168","±168","51","±68","198","±104","843","±436","559","±420","740","±500","799","±415","955","±439","621","±318","664","±391","568","±254","672","±631","140","±102","656","±535","311","±398","146","±111","225","±196","91","±111","582","±330","125","±100","701","±436","304","±189","1,117","±640","338","±244","193","±176","0","±19","247","±230","287","±219","103","±105","150","±99","167","±152","54","±93","581","±431","390","±294","70","±107","90","±74","36","±32","195","±267","277","±189","117","±114","269","±151","226","±187","216","±285","73","±89","108","±139","1,106","±904","692","±479","1,181","±489","796","±364","901","±695","825","±427","0","±13"
"    Two or More Races:","424","±180","251","±148","1,067","±541","1,120","±558","304","±205","769","±593","1,099","±367","1,815","±691","868","±413","641","±324","561","±293","989","±455","667","±211","464","±415","1,532","±836","273","±269","316","±282","1,021","±471","1,095","±489","735","±284","549","±297","423","±232","968","±473","1,014","±525","894","±289","1,327","±668","1,146","±525","996","±244","669","±311","359","±145","517","±294","875","±443","208","±144","1,225","±723","503","±129","484","±225","583","±327","894","±402","937","±410","1,499","±551","1,096","±462","707","±271","859","±342","323","±127","809","±362","867","±427","490","±246","978","±319","1,220","±694","1,690","±478","454","±226","663","±216","1,253","±565","1,067","±516","1,035","±334","519","±245","298","±152","1,099","±440","311","±144","1,010","±593","570","±190","275","±122","466","±209","730","±808","1,025","±428","1,166","±502","1,026","±250","786","±275","1,041","±451","687","±313","554","±242","662","±266","281","±131","1,442","±710","1,265","±364","414","±207","349","±190","734","±280","225","±129","597","±303","1,369","±884","424","±116","656","±248","1,039","±296","971","±487","228","±135","1,258","±487","2,680","±968","1,547","±710","722","±498","2,060","±750","2,042","±550","0","±13"
"        Two races including Some Other Race","274","±166","68","±66","1,054","±544","777","±491","210","±183","587","±590","821","±299","1,508","±699","351","±212","392","±295","358","±256","312","±238","352","±164","373","±411","1,343","±650","273","±269","296","±281","483","±309","498","±376","310","±164","310","±265","93","±109","389","±305","328","±189","443","±182","842","±629","294","±194","562","±174","321","±268","105","±82","242","±201","500","±494","61","±84","995","±697","351","±128","263","±180","324","±208","456","±405","738","±374","1,112","±500","606","±396","304","±236","354","±207","181","±105","122","±76","486","±371","180","±155","605","±271","1,055","±674","1,173","±406","82","±61","264","±158","373","±258","634","±476","499","±230","291","±188","65","±59","589","±292","251","±142","766","±569","300","±128","142","±99","334","±181","523","±787","641","±357","692","±387","427","±233","285","±144","762","±444","372","±190","274","±178","448","±217","98","±64","1,243","±726","929","±380","266","±138","186","±136","533","±235","79","±70","304","±215","1,007","±845","174","±72","381","±207","551","±193","584","±433","124","±111","1,166","±465","2,634","±967","1,498","±700","702","±493","1,646","±657","779","±466","0","±13"
"        Two races excluding Some Other Race, and three or more races","150","±87","183","±126","13","±20","343","±279","94","±65","182","±124","278","±202","307","±170","517","±432","249","±181","203","±158","677","±379","315","±141","91","±75","189","±278","0","±13","20","±30","538","±258","597","±298","425","±219","239","±194","330","±190","579","±391","686","±471","451","±291","485","±334","852","±482","434","±196","348","±187","254","±115","275","±196","375","±169","147","±112","230","±159","152","±75","221","±122","259","±177","438","±249","199","±142","387","±209","490","±296","403","±193","505","±256","142","±71","687","±340","381","±205","310","±179","373","±137","165","±135","517","±182","372","±224","399","±166","880","±532","433","±181","536","±240","228","±130","233","±130","510","±257","60","±43","244","±165","270","±136","133","±76","132","±81","207","±108","384","±176","474","±365","599","±340","501","±224","279","±101","315","±238","280","±196","214","±135","183","±122","199","±147","336","±281","148","±141","163","±126","201","±106","146","±109","293","±192","362","±253","250","±86","275","±136","488","±262","387","±225","104","±64","92","±87","46","±46","49","±60","20","±28","414","±393","1,263","±468","0","±13"
