"Label (Grouping)","Census Tract 9001, Prince William County, Virginia!!Estimate","Census Tract 9001, Prince William County, Virginia!!Margin of Error","Census Tract 9002.01, Prince William County, Virginia!!Estimate","Census Tract 9002.01, Prince William County, Virginia!!Margin of Error","Census Tract 9002.02, Prince William County, Virginia!!Estimate","Census Tract 9002.02, Prince William County, Virginia!!Margin of Error","Census Tract 9002.03, Prince William County, Virginia!!Estimate","Census Tract 9002.03, Prince William County, Virginia!!Margin of Error","Census Tract 9003.01, Prince William County, Virginia!!Estimate","Census Tract 9003.01, Prince William County, Virginia!!Margin of Error","Census Tract 9003.02, Prince William County, Virginia!!Estimate","Census Tract 9003.02, Prince William County, Virginia!!Margin of Error","Census Tract 9004.03, Prince William County, Virginia!!Estimate","Census Tract 9004.03, Prince William County, Virginia!!Margin of Error","Census Tract 9004.04, Prince William County, Virginia!!Estimate","Census Tract 9004.04, Prince William County, Virginia!!Margin of Error","Census Tract 9004.07, Prince William County, Virginia!!Estimate","Census Tract 9004.07, Prince William County, Virginia!!Margin of Error","Census Tract 9004.08, Prince William County, Virginia!!Estimate","Census Tract 9004.08, Prince William County, Virginia!!Margin of Error","Census Tract 9004.09, Prince William County, Virginia!!Estimate","Census Tract 9004.09, Prince William County, Virginia!!Margin of Error","Census Tract 9004.10, Prince William County, Virginia!!Estimate","Census Tract 9004.10, Prince William County, Virginia!!Margin of Error","Census Tract 9005.02, Prince William County, Virginia!!Estimate","Census Tract 9005.02, Prince William County, Virginia!!Margin of Error","Census Tract 9005.03, Prince William County, Virginia!!Estimate","Census Tract 9005.03, Prince William County, Virginia!!Margin of Error","Census Tract 9005.04, Prince William County, Virginia!!Estimate","Census Tract 9005.04, Prince William County, Virginia!!Margin of Error","Census Tract 9006.01, Prince William County, Virginia!!Estimate","Census Tract 9006.01, Prince William County, Virginia!!Margin of Error","Census Tract 9006.02, Prince William County, Virginia!!Estimate","Census Tract 9006.02, Prince William County, Virginia!!Margin of Error","Census Tract 9007.01, Prince William County, Virginia!!Estimate","Census Tract 9007.01, Prince William County, Virginia!!Margin of Error","Census Tract 9007.02, Prince William County, Virginia!!Estimate","Census Tract 9007.02, Prince William County, Virginia!!Margin of Error","Census Tract 9008.01, Prince William County, Virginia!!Estimate","Census Tract 9008.01, Prince William County, Virginia!!Margin of Error","Census Tract 9008.03, Prince William County, Virginia!!Estimate","Census Tract 9008.03, Prince William County, Virginia!!Margin of Error","Census Tract 9008.04, Prince William County, Virginia!!Estimate","Census Tract 9008.04, Prince William County, Virginia!!Margin of Error","Census Tract 9009.01, Prince William County, Virginia!!Estimate","Census Tract 9009.01, Prince William County, Virginia!!Margin of Error","Census Tract 9009.04, Prince William County, Virginia!!Estimate","Census Tract 9009.04, Prince William County, Virginia!!Margin of Error","Census Tract 9009.05, Prince William County, Virginia!!Estimate","Census Tract 9009.05, Prince William County, Virginia!!Margin of Error","Census Tract 9010.05, Prince William County, Virginia!!Estimate","Census Tract 9010.05, Prince William County, Virginia!!Margin of Error","Census Tract 9010.09, Prince William County, Virginia!!Estimate","Census Tract 9010.09, Prince William County, Virginia!!Margin of Error","Census Tract 9010.10, Prince William County, Virginia!!Estimate","Census Tract 9010.10, Prince William County, Virginia!!Margin of Error","Census Tract 9010.11, Prince William County, Virginia!!Estimate","Census Tract 9010.11, Prince William County, Virginia!!Margin of Error","Census Tract 9010.12, Prince William County, Virginia!!Estimate","Census Tract 9010.12, Prince William County, Virginia!!Margin of Error","Census Tract 9010.13, Prince William County, Virginia!!Estimate","Census Tract 9010.13, Prince William County, Virginia!!Margin of Error","Census Tract 9010.14, Prince William County, Virginia!!Estimate","Census Tract 9010.14, Prince William County, Virginia!!Margin of Error","Census Tract 9010.15, Prince William County, Virginia!!Estimate","Census Tract 9010.15, Prince William County, Virginia!!Margin of Error","Census Tract 9010.16, Prince William County, Virginia!!Estimate","Census Tract 9010.16, Prince William County, Virginia!!Margin of Error","Census Tract 9011.01, Prince William County, Virginia!!Estimate","Census Tract 9011.01, Prince William County, Virginia!!Margin of Error","Census Tract 9011.02, Prince William County, Virginia!!Estimate","Census Tract 9011.02, Prince William County, Virginia!!Margin of Error","Census Tract 9012.03, Prince William County, Virginia!!Estimate","Census Tract 9012.03, Prince William County, Virginia!!Margin of Error","Census Tract 9012.08, Prince William County, Virginia!!Estimate","Census Tract 9012.08, Prince William County, Virginia!!Margin of Error","Census Tract 9012.09, Prince William County, Virginia!!Estimate","Census Tract 9012.09, Prince William County, Virginia!!Margin of Error","Census Tract 9012.11, Prince William County, Virginia!!Estimate","Census Tract 9012.11, Prince William County, Virginia!!Margin of Error","Census Tract 9012.12, Prince William County, Virginia!!Estimate","Census Tract 9012.12, Prince William County, Virginia!!Margin of Error","Census Tract 9012.19, Prince William County, Virginia!!Estimate","Census Tract 9012.19, Prince William County, Virginia!!Margin of Error","Census Tract 9012.21, Prince William County, Virginia!!Estimate","Census Tract 9012.21, Prince William County, Virginia!!Margin of Error","Census Tract 9012.22, Prince William County, Virginia!!Estimate","Census Tract 9012.22, Prince William County, Virginia!!Margin of Error","Census Tract 9012.23, Prince William County, Virginia!!Estimate","Census Tract 9012.23, Prince William County, Virginia!!Margin of Error","Census Tract 9012.24, Prince William County, Virginia!!Estimate","Census Tract 9012.24, Prince William County, Virginia!!Margin of Error","Census Tract 9012.25, Prince William County, Virginia!!Estimate","Census Tract 9012.25, Prince William County, Virginia!!Margin of Error","Census Tract 9012.26, Prince William County, Virginia!!Estimate","Census Tract 9012.26, Prince William County, Virginia!!Margin of Error","Census Tract 9012.27, Prince William County, Virginia!!Estimate","Census Tract 9012.27, Prince William County, Virginia!!Margin of Error","Census Tract 9012.28, Prince William County, Virginia!!Estimate","Census Tract 9012.28, Prince William County, Virginia!!Margin of Error","Census Tract 9012.29, Prince William County, Virginia!!Estimate","Census Tract 9012.29, Prince William County, Virginia!!Margin of Error","Census Tract 9012.30, Prince William County, Virginia!!Estimate","Census Tract 9012.30, Prince William County, Virginia!!Margin of Error","Census Tract 9012.31, Prince William County, Virginia!!Estimate","Census Tract 9012.31, Prince William County, Virginia!!Margin of Error","Census Tract 9012.32, Prince William County, Virginia!!Estimate","Census Tract 9012.32, Prince William County, Virginia!!Margin of Error","Census Tract 9012.33, Prince William County, Virginia!!Estimate","Census Tract 9012.33, Prince William County, Virginia!!Margin of Error","Census Tract 9012.34, Prince William County, Virginia!!Estimate","Census Tract 9012.34, Prince William County, Virginia!!Margin of Error","Census Tract 9012.35, Prince William County, Virginia!!Estimate","Census Tract 9012.35, Prince William County, Virginia!!Margin of Error","Census Tract 9012.36, Prince William County, Virginia!!Estimate","Census Tract 9012.36, Prince William County, Virginia!!Margin of Error","Census Tract 9012.37, Prince William County, Virginia!!Estimate","Census Tract 9012.37, Prince William County, Virginia!!Margin of Error","Census Tract 9013.03, Prince William County, Virginia!!Estimate","Census Tract 9013.03, Prince William County, Virginia!!Margin of Error","Census Tract 9013.04, Prince William County, Virginia!!Estimate","Census Tract 9013.04, Prince William County, Virginia!!Margin of Error","Census Tract 9013.05, Prince William County, Virginia!!Estimate","Census Tract 9013.05, Prince William County, Virginia!!Margin of Error","Census Tract 9013.06, Prince William County, Virginia!!Estimate","Census Tract 9013.06, Prince William County, Virginia!!Margin of Error","Census Tract 9014.03, Prince William County, Virginia!!Estimate","Census Tract 9014.03, Prince William County, Virginia!!Margin of Error","Census Tract 9014.07, Prince William County, Virginia!!Estimate","Census Tract 9014.07, Prince William County, Virginia!!Margin of Error","Census Tract 9014.09, Prince William County, Virginia!!Estimate","Census Tract 9014.09, Prince William County, Virginia!!Margin of Error","Census Tract 9014.11, Prince William County, Virginia!!Estimate","Census Tract 9014.11, Prince William County, Virginia!!Margin of Error","Census Tract 9014.12, Prince William County, Virginia!!Estimate","Census Tract 9014.12, Prince William County, Virginia!!Margin of Error","Census Tract 9014.13, Prince William County, Virginia!!Estimate","Census Tract 9014.13, Prince William County, Virginia!!Margin of Error","Census Tract 9014.14, Prince William County, Virginia!!Estimate","Census Tract 9014.14, Prince William County, Virginia!!Margin of Error","Census Tract 9014.15, Prince William County, Virginia!!Estimate","Census Tract 9014.15, Prince William County, Virginia!!Margin of Error","Census Tract 9014.16, Prince William County, Virginia!!Estimate","Census Tract 9014.16, Prince William County, Virginia!!Margin of Error","Census Tract 9014.17, Prince William County, Virginia!!Estimate","Census Tract 9014.17, Prince William County, Virginia!!Margin of Error","Census Tract 9014.18, Prince William County, Virginia!!Estimate","Census Tract 9014.18, Prince William County, Virginia!!Margin of Error","Census Tract 9014.19, Prince William County, Virginia!!Estimate","Census Tract 9014.19, Prince William County, Virginia!!Margin of Error","Census Tract 9014.20, Prince William County, Virginia!!Estimate","Census Tract 9014.20, Prince William County, Virginia!!Margin of Error","Census Tract 9014.21, Prince William County, Virginia!!Estimate","Census Tract 9014.21, Prince William County, Virginia!!Margin of Error","Census Tract 9015.03, Prince William County, Virginia!!Estimate","Census Tract 9015.03, Prince William County, Virginia!!Margin of Error","Census Tract 9015.04, Prince William County, Virginia!!Estimate","Census Tract 9015.04, Prince William County, Virginia!!Margin of Error","Census Tract 9015.05, Prince William County, Virginia!!Estimate","Census Tract 9015.05, Prince William County, Virginia!!Margin of Error","Census Tract 9015.06, Prince William County, Virginia!!Estimate","Census Tract 9015.06, Prince William County, Virginia!!Margin of Error","Census Tract 9015.07, Prince William County, Virginia!!Estimate","Census Tract 9015.07, Prince William County, Virginia!!Margin of Error","Census Tract 9015.08, Prince William County, Virginia!!Estimate","Census Tract 9015.08, Prince William County, Virginia!!Margin of Error","Census Tract 9015.09, Prince William County, Virginia!!Estimate","Census Tract 9015.09, Prince William County, Virginia!!Margin of Error","Census Tract 9015.10, Prince William County, Virginia!!Estimate","Census Tract 9015.10, Prince William County, Virginia!!Margin of Error","Census Tract 9015.11, Prince William County, Virginia!!Estimate","Census Tract 9015.11, Prince William County, Virginia!!Margin of Error","Census Tract 9016.01, Prince William County, Virginia!!Estimate","Census Tract 9016.01, Prince William County, Virginia!!Margin of Error","Census Tract 9016.02, Prince William County, Virginia!!Estimate","Census Tract 9016.02, Prince William County, Virginia!!Margin of Error","Census Tract 9017.02, Prince William County, Virginia!!Estimate","Census Tract 9017.02, Prince William County, Virginia!!Margin of Error","Census Tract 9017.03, Prince William County, Virginia!!Estimate","Census Tract 9017.03, Prince William County, Virginia!!Margin of Error","Census Tract 9017.04, Prince William County, Virginia!!Estimate","Census Tract 9017.04, Prince William County, Virginia!!Margin of Error","Census Tract 9019, Prince William County, Virginia!!Estimate","Census Tract 9019, Prince William County, Virginia!!Margin of Error","Census Tract 9801, Prince William County, Virginia!!Estimate","Census Tract 9801, Prince William County, Virginia!!Margin of Error"
"Total:","3,616","±506","2,192","±289","4,254","±762","4,463","±906","3,410","±592","5,443","±909","5,541","±863","5,933","±615","6,670","±566","5,429","±1,033","5,375","±817","5,886","±812","5,026","±816","3,820","±709","5,406","±1,458","3,351","±302","3,973","±540","6,764","±789","8,048","±1,406","7,217","±779","5,182","±820","5,130","±961","6,336","±667","5,957","±786","6,124","±842","6,463","±896","6,973","±690","4,587","±707","6,173","±698","3,596","±459","3,369","±465","4,642","±965","3,270","±397","4,778","±981","2,243","±374","3,106","±506","3,786","±559","3,386","±370","7,239","±786","4,520","±544","8,354","±1,297","5,467","±620","5,872","±1,017","2,657","±354","6,283","±596","4,794","±634","5,210","±912","6,352","±660","5,063","±778","5,818","±423","4,848","±848","4,009","±335","6,057","±542","5,555","±755","6,555","±435","2,948","±381","2,983","±309","6,054","±567","2,933","±333","4,682","±687","2,987","±369","3,581","±524","4,903","±446","6,933","±1,005","4,276","±629","8,290","±1,007","5,948","±406","7,444","±782","4,218","±391","5,183","±599","4,433","±746","5,086","±1,436","2,535","±235","4,060","±929","4,257","±717","4,495","±575","4,733","±857","5,320","±517","4,433","±674","7,301","±909","7,081","±1,385","2,827","±260","5,847","±542","6,899","±1,177","5,997","±521","3,978","±292","3,973","±585","8,098","±703","4,356","±683","2,518","±422","6,971","±1,328","6,702","±839","0","±13"
"    White alone","2,360","±528","1,120","±364","1,786","±594","842","±434","1,872","±448","2,194","±536","2,633","±525","2,438","±524","2,579","±596","2,531","±659","2,655","±677","895","±324","1,802","±456","2,105","±432","2,748","±1,055","1,717","±1,005","1,393","±565","1,710","±467","3,256","±902","3,164","±556","1,572","±492","1,821","±510","2,470","±679","1,292","±256","2,111","±371","3,846","±513","4,796","±619","3,084","±641","2,866","±388","2,542","±346","1,437","±286","1,582","±379","790","±248","1,558","±577","1,404","±265","2,301","±503","1,967","±694","2,065","±366","3,765","±521","2,329","±536","3,028","±610","4,651","±596","2,758","±714","1,731","±363","3,669","±435","3,038","±453","2,953","±876","3,181","±613","2,837","±815","2,646","±445","2,091","±608","2,208","±374","4,267","±536","3,556","±580","5,120","±558","2,102","±327","1,941","±296","3,000","±392","1,456","±295","3,246","±410","2,401","±304","2,949","±431","4,156","±452","3,611","±1,110","2,396","±548","4,518","±659","4,177","±403","5,048","±696","2,831","±276","3,665","±473","3,244","±687","3,656","±1,436","2,144","±244","1,959","±492","1,894","±712","2,994","±466","3,460","±917","4,537","±585","3,395","±438","5,038","±921","3,631","±791","1,801","±216","2,993","±280","5,376","±903","4,064","±428","3,220","±309","2,823","±691","4,850","±899","2,302","±410","1,170","±460","4,184","±1,497","4,306","±975","0","±13"
"    Black or African American alone","660","±191","597","±249","479","±294","1,860","±645","721","±296","1,177","±387","928","±272","1,096","±327","2,040","±470","1,562","±400","1,441","±585","3,472","±737","2,457","±596","340","±292","642","±324","239","±149","1,127","±411","3,355","±609","2,071","±532","2,474","±355","1,897","±592","2,759","±931","2,207","±508","2,709","±480","2,788","±679","1,293","±226","1,048","±545","893","±269","2,093","±649","728","±402","1,365","±263","1,261","±442","1,733","±437","1,370","±411","469","±260","331","±211","424","±153","370","±215","1,172","±406","553","±213","2,129","±561","549","±125","2,204","±885","474","±95","1,361","±385","691","±371","1,341","±273","1,835","±449","1,033","±413","1,248","±165","1,420","±391","1,011","±190","554","±302","1,047","±221","610","±120","347","±156","532","±169","1,761","±406","821","±327","507","±169","128","±93","277","±257","375","±313","1,504","±664","798","±358","1,960","±785","389","±126","745","±188","280","±97","498","±191","329","±195","807","±214","132","±105","746","±732","909","±338","878","±344","211","±147","168","±144","426","±463","443","±154","1,467","±915","503","±170","985","±350","529","±329","714","±196","479","±278","171","±100","1,451","±319","57","±48","144","±166","614","±263","1,055","±344","0","±13"
"    American Indian and Alaska Native alone","0","±13","0","±13","20","±29","0","±13","0","±13","64","±64","73","±83","107","±120","70","±83","0","±18","12","±21","0","±18","2","±4","0","±13","0","±18","35","±54","22","±32","0","±18","0","±18","0","±18","164","±175","102","±128","41","±58","25","±28","0","±18","0","±18","0","±18","8","±12","0","±18","0","±13","0","±13","17","±27","0","±13","0","±13","25","±36","35","±50","0","±13","0","±13","30","±47","30","±47","0","±18","0","±18","83","±81","6","±9","0","±18","0","±13","0","±18","93","±105","0","±18","0","±18","0","±13","56","±56","0","±18","5","±9","0","±18","9","±15","0","±13","12","±21","25","±17","0","±13","0","±13","0","±13","0","±13","96","±151","0","±13","82","±116","0","±18","56","±84","40","±39","0","±18","0","±13","71","±72","0","±13","0","±13","0","±13","0","±13","0","±13","0","±18","0","±13","0","±18","0","±18","0","±13","38","±58","4","±9","0","±18","0","±13","0","±13","96","±158","0","±13","0","±13","15","±24","50","±54","0","±13"
"    Asian alone","247","±95","126","±103","79","±63","509","±337","570","±201","746","±236","910","±459","355","±155","781","±254","325","±147","503","±255","756","±224","294","±139","520","±293","144","±148","689","±598","494","±252","599","±421","385","±209","789","±225","891","±422","274","±219","360","±159","1,334","±571","353","±128","608","±229","783","±442","150","±111","437","±165","154","±159","166","±155","1,145","±833","174","±157","463","±174","143","±110","28","±30","600","±283","150","±90","775","±432","399","±185","957","±475","116","±81","353","±180","62","±60","764","±565","161","±124","567","±187","943","±395","424","±250","344","±199","494","±148","253","±167","751","±343","283","±139","376","±202","136","±97","225","±138","656","±266","261","±141","252","±109","179","±100","88","±90","140","±102","1,026","±427","561","±296","957","±285","1,004","±197","783","±334","572","±218","465","±89","339","±141","336","±65","47","±57","646","±353","243","±163","526","±274","686","±214","293","±90","341","±221","1,149","±493","881","±277","249","±93","1,482","±492","357","±157","794","±289","149","±96","503","±233","425","±220","146","±127","134","±188","522","±216","525","±296","0","±13"
"    Native Hawaiian and Other Pacific Islander alone","0","±13","0","±13","14","±27","0","±13","0","±13","0","±18","0","±18","0","±18","0","±18","0","±18","0","±18","0","±18","0","±18","0","±13","0","±18","0","±13","0","±13","0","±18","58","±65","0","±18","0","±18","0","±18","0","±18","0","±18","7","±11","0","±18","25","±40","0","±13","0","±18","0","±13","13","±25","0","±13","0","±13","20","±36","0","±13","60","±70","0","±13","0","±13","0","±18","0","±13","0","±18","7","±15","0","±18","27","±28","0","±18","0","±13","0","±18","68","±103","0","±18","14","±23","0","±13","0","±13","0","±18","0","±18","0","±18","0","±13","0","±13","0","±18","0","±13","0","±13","0","±13","0","±13","0","±13","3","±7","0","±13","0","±18","0","±18","0","±18","0","±13","0","±18","11","±21","0","±18","0","±13","0","±13","0","±13","0","±13","0","±13","11","±18","7","±14","0","±18","0","±18","0","±13","0","±18","0","±18","0","±18","0","±13","0","±13","0","±18","0","±13","0","±13","0","±18","0","±18","0","±13"
"    Some other race alone","251","±169","344","±181","1,391","±534","912","±417","100","±70","890","±717","366","±271","941","±389","901","±590","785","±569","703","±345","394","±257","265","±270","477","±436","1,120","±495","554","±591","937","±537","624","±267","1,325","±919","388","±445","259","±270","0","±18","1,025","±518","348","±309","378","±287","71","±69","36","±43","228","±161","324","±151","32","±40","106","±141","59","±50","165","±200","596","±232","0","±13","35","±46","517","±292","426","±241","1,016","±330","826","±354","1,998","±1,227","31","±39","112","±119","161","±125","191","±164","452","±447","210","±155","67","±91","488","±349","1,093","±581","375","±272","120","±86","38","±41","101","±109","259","±300","105","±163","12","±18","129","±114","136","±149","32","±50","124","±119","215","±217","115","±67","267","±211","279","±239","107","±111","100","±141","190","±177","140","±174","101","±97","223","±116","38","±42","0","±13","111","±138","819","±485","0","±13","194","±249","23","±33","150","±237","111","±155","51","±54","112","±99","13","±20","194","±230","148","±123","11","±12","306","±276","588","±400","1,196","±540","981","±654","1,563","±518","428","±349","0","±13"
"    Two or more races:","98","±75","5","±9","485","±395","340","±296","147","±101","372","±227","631","±323","996","±528","299","±182","226","±187","61","±64","369","±225","206","±120","378","±351","752","±674","117","±85","0","±13","476","±261","953","±469","402","±240","399","±202","174","±135","233","±170","249","±164","487","±289","645","±592","285","±220","224","±139","453","±207","140","±107","282","±253","578","±290","408","±284","771","±515","202","±160","316","±218","278","±161","375","±173","481","±197","383","±168","242","±142","113","±89","362","±283","196","±113","298","±217","452","±353","139","±76","165","±117","281","±190","473","±225","468","±210","361","±193","447","±207","563","±385","190","±167","249","±171","273","±132","496","±224","234","±102","645","±556","155","±157","52","±44","117","±72","426","±277","242","±126","666","±340","278","±249","622","±298","355","±197","454","±223","287","±209","178","±109","212","±122","598","±578","392","±288","97","±142","182","±164","288","±205","114","±144","560","±295","1,051","±835","162","±103","336","±215","439","±217","277","±172","119","±72","170","±116","688","±435","655","±491","89","±120","73","±97","338","±169","0","±13"
"        Two races including Some other race","0","±13","0","±13","422","±389","14","±54","64","±76","0","±18","231","±230","651","±425","183","±155","148","±156","11","±19","184","±197","75","±70","229","±339","397","±390","0","±13","0","±13","152","±197","360","±341","74","±122","64","±87","114","±120","24","±27","29","±32","84","±101","425","±576","48","±52","30","±29","132","±104","42","±47","166","±214","255","±333","0","±13","465","±495","111","±160","45","±46","32","±40","98","±142","136","±109","118","±123","88","±97","66","±92","51","±60","37","±57","216","±208","256","±333","20","±27","17","±28","104","±116","229","±170","40","±53","129","±117","48","±65","362","±388","101","±90","104","±157","18","±27","208","±141","0","±13","379","±494","43","±76","42","±42","42","±41","206","±174","36","±46","103","±118","0","±18","28","±42","43","±50","136","±137","72","±123","67","±91","35","±55","418","±530","184","±167","0","±13","47","±72","35","±51","12","±22","33","±37","677","±786","30","±34","0","±18","68","±94","112","±125","38","±35","54","±81","579","±410","469","±474","17","±37","0","±18","104","±110","0","±13"
"        Two races excluding Some other race, and three or more races","98","±75","5","±9","63","±67","326","±277","83","±59","372","±227","400","±227","345","±264","116","±108","78","±81","50","±61","185","±123","131","±91","149","±108","355","±342","117","±85","0","±13","324","±208","593","±304","328","±204","335","±190","60","±66","209","±168","220","±162","403","±243","220","±131","237","±206","194","±133","321","±191","98","±92","116","±127","323","±253","408","±284","306","±135","91","±70","271","±188","246","±157","277","±95","345","±152","265","±126","154","±107","47","±52","311","±254","159","±97","82","±68","196","±148","119","±73","148","±115","177","±150","244","±159","428","±214","232","±143","399","±208","201","±101","89","±145","145","±79","255","±132","288","±153","234","±102","266","±170","112","±133","10","±15","75","±59","220","±209","206","±129","563","±327","278","±249","594","±298","312","±206","318","±161","215","±169","111","±87","177","±101","180","±151","208","±230","97","±142","135","±153","253","±198","102","±143","527","±293","374","±303","132","±98","336","±215","371","±188","165","±103","81","±62","116","±85","109","±163","186","±130","72","±115","73","±97","234","±152","0","±13"
