"Label (Grouping)","Census Tract 9001; Prince William County; Virginia!!Estimate","Census Tract 9001; Prince William County; Virginia!!Margin of Error","Census Tract 9002.01; Prince William County; Virginia!!Estimate","Census Tract 9002.01; Prince William County; Virginia!!Margin of Error","Census Tract 9002.02; Prince William County; Virginia!!Estimate","Census Tract 9002.02; Prince William County; Virginia!!Margin of Error","Census Tract 9002.03; Prince William County; Virginia!!Estimate","Census Tract 9002.03; Prince William County; Virginia!!Margin of Error","Census Tract 9003.01; Prince William County; Virginia!!Estimate","Census Tract 9003.01; Prince William County; Virginia!!Margin of Error","Census Tract 9003.02; Prince William County; Virginia!!Estimate","Census Tract 9003.02; Prince William County; Virginia!!Margin of Error","Census Tract 9004.03; Prince William County; Virginia!!Estimate","Census Tract 9004.03; Prince William County; Virginia!!Margin of Error","Census Tract 9004.04; Prince William County; Virginia!!Estimate","Census Tract 9004.04; Prince William County; Virginia!!Margin of Error","Census Tract 9004.07; Prince William County; Virginia!!Estimate","Census Tract 9004.07; Prince William County; Virginia!!Margin of Error","Census Tract 9004.08; Prince William County; Virginia!!Estimate","Census Tract 9004.08; Prince William County; Virginia!!Margin of Error","Census Tract 9004.09; Prince William County; Virginia!!Estimate","Census Tract 9004.09; Prince William County; Virginia!!Margin of Error","Census Tract 9004.10; Prince William County; Virginia!!Estimate","Census Tract 9004.10; Prince William County; Virginia!!Margin of Error","Census Tract 9005.02; Prince William County; Virginia!!Estimate","Census Tract 9005.02; Prince William County; Virginia!!Margin of Error","Census Tract 9005.03; Prince William County; Virginia!!Estimate","Census Tract 9005.03; Prince William County; Virginia!!Margin of Error","Census Tract 9005.04; Prince William County; Virginia!!Estimate","Census Tract 9005.04; Prince William County; Virginia!!Margin of Error","Census Tract 9006.01; Prince William County; Virginia!!Estimate","Census Tract 9006.01; Prince William County; Virginia!!Margin of Error","Census Tract 9006.02; Prince William County; Virginia!!Estimate","Census Tract 9006.02; Prince William County; Virginia!!Margin of Error","Census Tract 9007.01; Prince William County; Virginia!!Estimate","Census Tract 9007.01; Prince William County; Virginia!!Margin of Error","Census Tract 9007.02; Prince William County; Virginia!!Estimate","Census Tract 9007.02; Prince William County; Virginia!!Margin of Error","Census Tract 9008.01; Prince William County; Virginia!!Estimate","Census Tract 9008.01; Prince William County; Virginia!!Margin of Error","Census Tract 9008.03; Prince William County; Virginia!!Estimate","Census Tract 9008.03; Prince William County; Virginia!!Margin of Error","Census Tract 9008.04; Prince William County; Virginia!!Estimate","Census Tract 9008.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.01; Prince William County; Virginia!!Estimate","Census Tract 9009.01; Prince William County; Virginia!!Margin of Error","Census Tract 9009.04; Prince William County; Virginia!!Estimate","Census Tract 9009.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.05; Prince William County; Virginia!!Estimate","Census Tract 9009.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.05; Prince William County; Virginia!!Estimate","Census Tract 9010.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.09; Prince William County; Virginia!!Estimate","Census Tract 9010.09; Prince William County; Virginia!!Margin of Error","Census Tract 9010.10; Prince William County; Virginia!!Estimate","Census Tract 9010.10; Prince William County; Virginia!!Margin of Error","Census Tract 9010.11; Prince William County; Virginia!!Estimate","Census Tract 9010.11; Prince William County; Virginia!!Margin of Error","Census Tract 9010.12; Prince William County; Virginia!!Estimate","Census Tract 9010.12; Prince William County; Virginia!!Margin of Error","Census Tract 9010.13; Prince William County; Virginia!!Estimate","Census Tract 9010.13; Prince William County; Virginia!!Margin of Error","Census Tract 9010.14; Prince William County; Virginia!!Estimate","Census Tract 9010.14; Prince William County; Virginia!!Margin of Error","Census Tract 9010.15; Prince William County; Virginia!!Estimate","Census Tract 9010.15; Prince William County; Virginia!!Margin of Error","Census Tract 9010.16; Prince William County; Virginia!!Estimate","Census Tract 9010.16; Prince William County; Virginia!!Margin of Error","Census Tract 9011.01; Prince William County; Virginia!!Estimate","Census Tract 9011.01; Prince William County; Virginia!!Margin of Error","Census Tract 9011.02; Prince William County; Virginia!!Estimate","Census Tract 9011.02; Prince William County; Virginia!!Margin of Error","Census Tract 9012.03; Prince William County; Virginia!!Estimate","Census Tract 9012.03; Prince William County; Virginia!!Margin of Error","Census Tract 9012.08; Prince William County; Virginia!!Estimate","Census Tract 9012.08; Prince William County; Virginia!!Margin of Error","Census Tract 9012.09; Prince William County; Virginia!!Estimate","Census Tract 9012.09; Prince William County; Virginia!!Margin of Error","Census Tract 9012.11; Prince William County; Virginia!!Estimate","Census Tract 9012.11; Prince William County; Virginia!!Margin of Error","Census Tract 9012.12; Prince William County; Virginia!!Estimate","Census Tract 9012.12; Prince William County; Virginia!!Margin of Error","Census Tract 9012.19; Prince William County; Virginia!!Estimate","Census Tract 9012.19; Prince William County; Virginia!!Margin of Error","Census Tract 9012.21; Prince William County; Virginia!!Estimate","Census Tract 9012.21; Prince William County; Virginia!!Margin of Error","Census Tract 9012.22; Prince William County; Virginia!!Estimate","Census Tract 9012.22; Prince William County; Virginia!!Margin of Error","Census Tract 9012.23; Prince William County; Virginia!!Estimate","Census Tract 9012.23; Prince William County; Virginia!!Margin of Error","Census Tract 9012.24; Prince William County; Virginia!!Estimate","Census Tract 9012.24; Prince William County; Virginia!!Margin of Error","Census Tract 9012.25; Prince William County; Virginia!!Estimate","Census Tract 9012.25; Prince William County; Virginia!!Margin of Error","Census Tract 9012.26; Prince William County; Virginia!!Estimate","Census Tract 9012.26; Prince William County; Virginia!!Margin of Error","Census Tract 9012.27; Prince William County; Virginia!!Estimate","Census Tract 9012.27; Prince William County; Virginia!!Margin of Error","Census Tract 9012.28; Prince William County; Virginia!!Estimate","Census Tract 9012.28; Prince William County; Virginia!!Margin of Error","Census Tract 9012.29; Prince William County; Virginia!!Estimate","Census Tract 9012.29; Prince William County; Virginia!!Margin of Error","Census Tract 9012.30; Prince William County; Virginia!!Estimate","Census Tract 9012.30; Prince William County; Virginia!!Margin of Error","Census Tract 9012.31; Prince William County; Virginia!!Estimate","Census Tract 9012.31; Prince William County; Virginia!!Margin of Error","Census Tract 9012.32; Prince William County; Virginia!!Estimate","Census Tract 9012.32; Prince William County; Virginia!!Margin of Error","Census Tract 9012.33; Prince William County; Virginia!!Estimate","Census Tract 9012.33; Prince William County; Virginia!!Margin of Error","Census Tract 9012.34; Prince William County; Virginia!!Estimate","Census Tract 9012.34; Prince William County; Virginia!!Margin of Error","Census Tract 9012.35; Prince William County; Virginia!!Estimate","Census Tract 9012.35; Prince William County; Virginia!!Margin of Error","Census Tract 9012.36; Prince William County; Virginia!!Estimate","Census Tract 9012.36; Prince William County; Virginia!!Margin of Error","Census Tract 9012.37; Prince William County; Virginia!!Estimate","Census Tract 9012.37; Prince William County; Virginia!!Margin of Error","Census Tract 9013.03; Prince William County; Virginia!!Estimate","Census Tract 9013.03; Prince William County; Virginia!!Margin of Error","Census Tract 9013.04; Prince William County; Virginia!!Estimate","Census Tract 9013.04; Prince William County; Virginia!!Margin of Error","Census Tract 9013.05; Prince William County; Virginia!!Estimate","Census Tract 9013.05; Prince William County; Virginia!!Margin of Error","Census Tract 9013.06; Prince William County; Virginia!!Estimate","Census Tract 9013.06; Prince William County; Virginia!!Margin of Error","Census Tract 9014.03; Prince William County; Virginia!!Estimate","Census Tract 9014.03; Prince William County; Virginia!!Margin of Error","Census Tract 9014.07; Prince William County; Virginia!!Estimate","Census Tract 9014.07; Prince William County; Virginia!!Margin of Error","Census Tract 9014.09; Prince William County; Virginia!!Estimate","Census Tract 9014.09; Prince William County; Virginia!!Margin of Error","Census Tract 9014.11; Prince William County; Virginia!!Estimate","Census Tract 9014.11; Prince William County; Virginia!!Margin of Error","Census Tract 9014.12; Prince William County; Virginia!!Estimate","Census Tract 9014.12; Prince William County; Virginia!!Margin of Error","Census Tract 9014.13; Prince William County; Virginia!!Estimate","Census Tract 9014.13; Prince William County; Virginia!!Margin of Error","Census Tract 9014.14; Prince William County; Virginia!!Estimate","Census Tract 9014.14; Prince William County; Virginia!!Margin of Error","Census Tract 9014.15; Prince William County; Virginia!!Estimate","Census Tract 9014.15; Prince William County; Virginia!!Margin of Error","Census Tract 9014.16; Prince William County; Virginia!!Estimate","Census Tract 9014.16; Prince William County; Virginia!!Margin of Error","Census Tract 9014.17; Prince William County; Virginia!!Estimate","Census Tract 9014.17; Prince William County; Virginia!!Margin of Error","Census Tract 9014.18; Prince William County; Virginia!!Estimate","Census Tract 9014.18; Prince William County; Virginia!!Margin of Error","Census Tract 9014.19; Prince William County; Virginia!!Estimate","Census Tract 9014.19; Prince William County; Virginia!!Margin of Error","Census Tract 9014.20; Prince William County; Virginia!!Estimate","Census Tract 9014.20; Prince William County; Virginia!!Margin of Error","Census Tract 9014.21; Prince William County; Virginia!!Estimate","Census Tract 9014.21; Prince William County; Virginia!!Margin of Error","Census Tract 9015.03; Prince William County; Virginia!!Estimate","Census Tract 9015.03; Prince William County; Virginia!!Margin of Error","Census Tract 9015.04; Prince William County; Virginia!!Estimate","Census Tract 9015.04; Prince William County; Virginia!!Margin of Error","Census Tract 9015.05; Prince William County; Virginia!!Estimate","Census Tract 9015.05; Prince William County; Virginia!!Margin of Error","Census Tract 9015.06; Prince William County; Virginia!!Estimate","Census Tract 9015.06; Prince William County; Virginia!!Margin of Error","Census Tract 9015.07; Prince William County; Virginia!!Estimate","Census Tract 9015.07; Prince William County; Virginia!!Margin of Error","Census Tract 9015.08; Prince William County; Virginia!!Estimate","Census Tract 9015.08; Prince William County; Virginia!!Margin of Error","Census Tract 9015.09; Prince William County; Virginia!!Estimate","Census Tract 9015.09; Prince William County; Virginia!!Margin of Error","Census Tract 9015.10; Prince William County; Virginia!!Estimate","Census Tract 9015.10; Prince William County; Virginia!!Margin of Error","Census Tract 9015.11; Prince William County; Virginia!!Estimate","Census Tract 9015.11; Prince William County; Virginia!!Margin of Error","Census Tract 9016.01; Prince William County; Virginia!!Estimate","Census Tract 9016.01; Prince William County; Virginia!!Margin of Error","Census Tract 9016.02; Prince William County; Virginia!!Estimate","Census Tract 9016.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.02; Prince William County; Virginia!!Estimate","Census Tract 9017.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.03; Prince William County; Virginia!!Estimate","Census Tract 9017.03; Prince William County; Virginia!!Margin of Error","Census Tract 9017.04; Prince William County; Virginia!!Estimate","Census Tract 9017.04; Prince William County; Virginia!!Margin of Error","Census Tract 9019; Prince William County; Virginia!!Estimate","Census Tract 9019; Prince William County; Virginia!!Margin of Error","Census Tract 9801; Prince William County; Virginia!!Estimate","Census Tract 9801; Prince William County; Virginia!!Margin of Error"
"Total:","3,234","±442","2,441","±456","4,124","±816","4,589","±971","3,494","±398","5,463","±729","6,107","±791","5,702","±561","7,089","±868","5,334","±964","5,003","±667","5,891","±812","5,112","±713","3,823","±674","5,079","±1,484","3,620","±285","3,586","±660","7,048","±1,347","8,311","±1,345","7,017","±632","5,718","±777","5,694","±693","6,033","±587","6,634","±774","6,152","±974","6,623","±715","7,436","±721","4,906","±835","6,257","±660","3,484","±405","3,349","±546","4,983","±1,092","3,561","±330","5,428","±908","2,290","±265","3,378","±374","3,536","±541","3,519","±385","6,564","±784","4,792","±518","7,569","±945","5,493","±538","6,449","±1,353","2,624","±216","6,194","±654","4,276","±543","4,961","±911","6,384","±684","6,079","±912","6,578","±489","4,766","±993","4,116","±343","6,456","±603","6,141","±712","6,851","±460","2,986","±375","3,004","±358","6,419","±595","2,982","±338","5,165","±713","3,235","±416","4,070","±604","5,259","±464","7,258","±1,085","4,385","±514","9,046","±1,032","6,030","±483","7,753","±917","4,425","±445","5,466","±600","4,403","±703","5,143","±1,255","2,914","±310","4,256","±972","3,837","±604","4,328","±477","5,416","±1,071","5,327","±407","4,756","±605","7,237","±762","7,010","±1,503","2,874","±296","5,770","±668","7,727","±1,271","6,476","±511","4,381","±348","4,688","±966","8,377","±1,097","4,641","±793","2,418","±333","6,582","±1,264","7,729","±935","0","±13"
"    White alone","2,007","±397","1,008","±326","1,375","±764","879","±419","2,002","±448","1,987","±595","2,350","±763","1,842","±607","1,922","±654","2,128","±548","1,810","±448","853","±231","1,647","±491","1,573","±545","2,356","±1,032","1,661","±652","940","±382","1,112","±445","2,333","±739","2,230","±472","1,402","±529","1,640","±570","2,460","±761","1,716","±411","1,780","±456","3,991","±510","4,172","±635","3,254","±710","2,736","±385","2,491","±337","1,447","±379","1,677","±418","651","±316","1,426","±451","1,307","±199","2,663","±407","1,546","±631","2,146","±368","2,896","±516","1,810","±605","2,388","±579","4,106","±560","2,805","±816","1,595","±239","3,083","±433","2,700","±403","2,709","±966","2,770","±621","2,650","±834","2,373","±415","1,805","±649","1,829","±328","4,117","±612","3,651","±600","5,252","±479","1,980","±352","2,016","±404","3,480","±511","1,857","±349","3,181","±441","2,485","±377","3,356","±455","4,153","±478","4,159","±1,089","1,660","±427","4,258","±549","3,991","±424","5,289","±841","2,752","±345","3,706","±557","3,062","±571","3,428","±1,266","2,165","±289","1,669","±500","1,885","±535","2,977","±417","4,090","±1,133","4,306","±494","3,458","±462","5,020","±823","2,888","±794","1,793","±263","2,716","±339","5,580","±1,085","4,411","±444","3,732","±406","2,505","±811","4,632","±1,387","2,371","±687","1,225","±394","4,008","±1,524","4,341","±1,304","0","±13"
"    Black or African American alone","502","±178","564","±244","575","±502","2,167","±756","664","±291","1,259","±286","907","±332","1,082","±365","2,028","±597","1,447","±419","1,410","±475","3,499","±745","2,328","±512","686","±282","558","±174","500","±309","1,499","±445","3,941","±981","1,554","±428","3,253","±352","2,534","±607","3,511","±812","1,869","±432","2,549","±587","2,841","±901","1,105","±252","1,226","±516","864","±251","1,948","±615","535","±395","1,304","±353","1,074","±507","2,536","±404","1,825","±334","294","±137","286","±210","719","±336","473","±352","1,232","±367","594","±172","1,892","±366","481","±98","2,524","±1,113","391","±94","1,114","±328","338","±79","1,009","±341","1,611","±450","850","±384","1,234","±215","1,338","±548","1,073","±258","863","±456","1,147","±243","429","±153","294","±59","548","±173","1,465","±231","517","±237","562","±129","119","±92","280","±247","450","±332","1,200","±646","704","±264","2,323","±946","352","±121","689","±213","175","±116","630","±262","355","±98","565","±117","217","±126","1,520","±807","782","±318","784","±379","611","±272","175","±134","672","±466","322","±212","1,582","±892","278","±126","876","±320","716","±372","527","±194","182","±161","89","±87","1,207","±434","84","±54","125","±114","493","±149","1,045","±599","0","±13"
"    American Indian and Alaska Native alone","0","±13","164","±156","14","±23","0","±13","0","±13","8","±14","29","±31","77","±75","87","±111","19","±35","0","±19","0","±19","3","±5","0","±13","9","±15","22","±26","190","±217","0","±19","0","±19","0","±19","74","±100","118","±128","65","±88","0","±19","201","±235","0","±19","93","±88","0","±13","0","±19","0","±13","0","±13","0","±13","0","±13","0","±19","22","±23","27","±40","13","±23","0","±13","64","±97","36","±59","366","±399","0","±19","94","±74","33","±39","128","±167","0","±13","0","±13","135","±145","61","±88","0","±19","0","±13","18","±27","49","±80","0","±19","0","±19","0","±13","0","±13","0","±19","16","±14","0","±19","0","±13","0","±13","60","±58","0","±19","0","±13","48","±75","13","±23","46","±77","31","±27","0","±19","0","±13","57","±55","4","±7","0","±13","0","±13","0","±13","0","±19","14","±19","0","±13","0","±19","16","±23","0","±13","27","±44","0","±19","0","±19","0","±13","0","±13","0","±19","79","±122","4","±12","5","±10","27","±41","0","±13"
"    Asian alone","273","±128","94","±52","102","±64","346","±312","528","±214","524","±211","1,183","±665","437","±210","857","±345","510","±232","659","±290","728","±289","386","±199","519","±265","191","±223","810","±437","360","±298","1,238","±903","604","±314","629","±158","849","±357","111","±126","82","±59","1,689","±647","342","±122","601","±231","611","±401","210","±103","785","±235","78","±59","87","±100","1,184","±838","103","±100","764","±338","332","±201","19","±24","280","±176","95","±63","772","±449","602","±261","513","±210","351","±118","349","±180","90","±71","775","±528","210","±70","560","±137","1,139","±270","516","±307","742","±245","393","±150","429","±209","550","±108","373","±110","407","±192","185","±156","233","±158","563","±288","166","±152","363","±170","168","±106","69","±65","147","±76","824","±432","819","±328","1,067","±352","934","±185","643","±317","723","±237","540","±125","350","±152","465","±117","96","±88","39","±101","274","±159","426","±137","417","±200","336","±100","369","±186","1,231","±393","1,123","±324","257","±88","1,311","±466","456","±207","715","±310","294","±150","400","±337","377","±213","135","±117","198","±174","1,036","±497","888","±300","0","±13"
"    Native Hawaiian and Other Pacific Islander alone","0","±13","0","±13","24","±36","0","±13","0","±13","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±13","0","±19","0","±13","0","±13","0","±19","63","±92","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","28","±42","0","±13","0","±19","0","±13","12","±26","0","±13","0","±13","22","±36","0","±13","0","±13","197","±125","0","±13","0","±19","0","±13","0","±19","10","±18","0","±19","0","±13","0","±19","5","±11","0","±13","40","±60","0","±19","24","±29","0","±13","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","0","±19","35","±55","0","±19","0","±13","0","±13","0","±19","0","±19","0","±13","0","±19","0","±19","0","±19","0","±13","0","±19","0","±13","0","±19","0","±13","0","±13","0","±13","0","±13","0","±19","16","±27","0","±13","0","±19","0","±19","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","0","±19","0","±13","0","±13","0","±19","0","±19","0","±13"
"    Some Other Race alone","191","±164","425","±159","986","±424","424","±286","74","±50","1,391","±744","743","±393","1,299","±487","1,327","±691","663","±627","725","±444","96","±109","386","±267","619","±576","832","±422","361","±381","597","±396","77","±89","2,386","±1,235","390","±462","522","±331","45","±55","772","±427","180","±152","425","±361","211","±220","387","±309","72","±81","312","±139","73","±91","112","±106","377","±271","17","±33","628","±256","31","±32","45","±53","320","±276","315","±258","877","±490","922","±545","1,649","±1,010","64","±77","151","±141","252","±181","671","±381","472","±285","398","±279","194","±147","1,040","±473","1,170","±474","578","±400","315","±173","244","±307","59","±65","225","±157","163","±210","88","±123","214","±115","168","±200","188","±192","59","±68","171","±214","198","±170","343","±299","358","±236","106","±123","38","±77","342","±197","195","±192","31","±33","197","±113","218","±155","147","±147","238","±266","461","±354","0","±13","79","±76","14","±23","162","±257","226","±214","128","±142","235","±154","149","±136","238","±291","26","±40","7","±11","852","±839","495","±499","897","±523","683","±320","963","±662","459","±325","0","±13"
"    Two or More Races:","261","±101","186","±76","1,048","±680","773","±476","226","±112","294","±171","895","±382","965","±427","868","±381","567","±287","399","±196","715","±367","362","±202","426","±420","1,133","±771","266","±267","0","±13","680","±411","1,371","±535","515","±248","337","±197","269","±160","785","±495","500","±212","563","±264","715","±587","919","±418","506","±278","476","±211","307","±114","387","±269","671","±383","254","±193","763","±520","304","±155","338","±226","461","±286","490","±318","723","±376","828","±386","761","±361","481","±240","526","±313","263","±123","423","±233","551","±402","285","±146","495","±313","962","±649","1,035","±344","652","±287","452","±208","633","±264","911","±440","538","±306","364","±193","119","±93","697","±239","223","±171","871","±583","404","±203","194","±134","251","±133","732","±398","844","±308","1,244","±426","702","±177","744","±344","549","±247","559","±267","439","±237","410","±205","285","±157","790","±601","435","±296","141","±146","219","±175","466","±208","95","±113","438","±222","1,273","±881","311","±80","691","±294","737","±343","797","±384","166","±97","842","±446","1,666","±1,168","1,075","±562","183","±260","77","±82","969","±634","0","±13"
"        Two races including Some Other Race","121","±74","68","±41","1,031","±683","457","±381","108","±69","0","±19","698","±393","726","±416","279","±195","241","±196","126","±125","206","±214","172","±135","321","±404","928","±584","145","±219","0","±13","307","±289","588","±462","198","±188","154","±159","144","±136","293","±276","302","±167","307","±184","528","±580","250","±216","234","±227","194","±145","50","±45","221","±207","390","±410","0","±13","478","±505","139","±124","90","±85","352","±266","78","±128","424","±335","506","±357","385","±267","264","±235","212","±185","141","±107","129","±126","319","±363","143","±120","238","±281","817","±631","678","±338","188","±108","148","±109","143","±130","560","±440","421","±304","127","±141","17","±27","298","±163","118","±137","627","±547","186","±157","137","±120","127","±63","433","±387","462","±289","332","±258","213","±200","185","±80","217","±210","186","±135","184","±172","271","±180","68","±66","652","±606","320","±292","36","±72","73","±76","261","±183","2","±5","54","±57","896","±825","148","±70","442","±215","199","±166","457","±350","37","±30","746","±448","1,501","±1,081","961","±526","183","±260","13","±46","419","±377","0","±13"
"        Two races excluding Some Other Race, and three or more races","140","±85","118","±77","17","±28","316","±251","118","±81","294","±171","197","±136","239","±148","589","±354","326","±220","273","±165","509","±298","190","±116","105","±110","205","±254","121","±114","0","±13","373","±228","783","±350","317","±166","183","±115","125","±95","492","±401","198","±119","256","±146","187","±122","669","±384","272","±163","282","±174","257","±117","166","±163","281","±199","254","±193","285","±163","165","±100","248","±185","109","±83","412","±277","299","±156","322","±123","376","±277","217","±139","314","±220","122","±57","294","±168","232","±156","142","±83","257","±120","145","±129","357","±153","464","±256","304","±171","490","±228","351","±204","117","±86","237","±122","102","±87","399","±184","105","±82","244","±171","218","±137","57","±58","124","±99","299","±239","382","±184","912","±451","489","±274","559","±320","332","±128","373","±210","255","±182","139","±93","217","±145","138","±103","115","±97","105","±123","146","±155","205","±115","93","±113","384","±214","377","±273","163","±65","249","±185","538","±301","340","±176","129","±96","96","±67","165","±239","114","±98","0","±13","64","±72","550","±501","0","±13"
