"Label (Grouping)","Census Tract 9001, Prince William County, Virginia!!Estimate","Census Tract 9001, Prince William County, Virginia!!Margin of Error","Census Tract 9002.01, Prince William County, Virginia!!Estimate","Census Tract 9002.01, Prince William County, Virginia!!Margin of Error","Census Tract 9002.02, Prince William County, Virginia!!Estimate","Census Tract 9002.02, Prince William County, Virginia!!Margin of Error","Census Tract 9002.03, Prince William County, Virginia!!Estimate","Census Tract 9002.03, Prince William County, Virginia!!Margin of Error","Census Tract 9003.01, Prince William County, Virginia!!Estimate","Census Tract 9003.01, Prince William County, Virginia!!Margin of Error","Census Tract 9003.02, Prince William County, Virginia!!Estimate","Census Tract 9003.02, Prince William County, Virginia!!Margin of Error","Census Tract 9004.03, Prince William County, Virginia!!Estimate","Census Tract 9004.03, Prince William County, Virginia!!Margin of Error","Census Tract 9004.04, Prince William County, Virginia!!Estimate","Census Tract 9004.04, Prince William County, Virginia!!Margin of Error","Census Tract 9004.07, Prince William County, Virginia!!Estimate","Census Tract 9004.07, Prince William County, Virginia!!Margin of Error","Census Tract 9004.08, Prince William County, Virginia!!Estimate","Census Tract 9004.08, Prince William County, Virginia!!Margin of Error","Census Tract 9004.09, Prince William County, Virginia!!Estimate","Census Tract 9004.09, Prince William County, Virginia!!Margin of Error","Census Tract 9004.10, Prince William County, Virginia!!Estimate","Census Tract 9004.10, Prince William County, Virginia!!Margin of Error","Census Tract 9005.02, Prince William County, Virginia!!Estimate","Census Tract 9005.02, Prince William County, Virginia!!Margin of Error","Census Tract 9005.03, Prince William County, Virginia!!Estimate","Census Tract 9005.03, Prince William County, Virginia!!Margin of Error","Census Tract 9005.04, Prince William County, Virginia!!Estimate","Census Tract 9005.04, Prince William County, Virginia!!Margin of Error","Census Tract 9006.01, Prince William County, Virginia!!Estimate","Census Tract 9006.01, Prince William County, Virginia!!Margin of Error","Census Tract 9006.02, Prince William County, Virginia!!Estimate","Census Tract 9006.02, Prince William County, Virginia!!Margin of Error","Census Tract 9007.01, Prince William County, Virginia!!Estimate","Census Tract 9007.01, Prince William County, Virginia!!Margin of Error","Census Tract 9007.02, Prince William County, Virginia!!Estimate","Census Tract 9007.02, Prince William County, Virginia!!Margin of Error","Census Tract 9008.01, Prince William County, Virginia!!Estimate","Census Tract 9008.01, Prince William County, Virginia!!Margin of Error","Census Tract 9008.03, Prince William County, Virginia!!Estimate","Census Tract 9008.03, Prince William County, Virginia!!Margin of Error","Census Tract 9008.04, Prince William County, Virginia!!Estimate","Census Tract 9008.04, Prince William County, Virginia!!Margin of Error","Census Tract 9009.01, Prince William County, Virginia!!Estimate","Census Tract 9009.01, Prince William County, Virginia!!Margin of Error","Census Tract 9009.04, Prince William County, Virginia!!Estimate","Census Tract 9009.04, Prince William County, Virginia!!Margin of Error","Census Tract 9009.05, Prince William County, Virginia!!Estimate","Census Tract 9009.05, Prince William County, Virginia!!Margin of Error","Census Tract 9010.05, Prince William County, Virginia!!Estimate","Census Tract 9010.05, Prince William County, Virginia!!Margin of Error","Census Tract 9010.09, Prince William County, Virginia!!Estimate","Census Tract 9010.09, Prince William County, Virginia!!Margin of Error","Census Tract 9010.10, Prince William County, Virginia!!Estimate","Census Tract 9010.10, Prince William County, Virginia!!Margin of Error","Census Tract 9010.11, Prince William County, Virginia!!Estimate","Census Tract 9010.11, Prince William County, Virginia!!Margin of Error","Census Tract 9010.12, Prince William County, Virginia!!Estimate","Census Tract 9010.12, Prince William County, Virginia!!Margin of Error","Census Tract 9010.13, Prince William County, Virginia!!Estimate","Census Tract 9010.13, Prince William County, Virginia!!Margin of Error","Census Tract 9010.14, Prince William County, Virginia!!Estimate","Census Tract 9010.14, Prince William County, Virginia!!Margin of Error","Census Tract 9010.15, Prince William County, Virginia!!Estimate","Census Tract 9010.15, Prince William County, Virginia!!Margin of Error","Census Tract 9010.16, Prince William County, Virginia!!Estimate","Census Tract 9010.16, Prince William County, Virginia!!Margin of Error","Census Tract 9011.01, Prince William County, Virginia!!Estimate","Census Tract 9011.01, Prince William County, Virginia!!Margin of Error","Census Tract 9011.02, Prince William County, Virginia!!Estimate","Census Tract 9011.02, Prince William County, Virginia!!Margin of Error","Census Tract 9012.03, Prince William County, Virginia!!Estimate","Census Tract 9012.03, Prince William County, Virginia!!Margin of Error","Census Tract 9012.08, Prince William County, Virginia!!Estimate","Census Tract 9012.08, Prince William County, Virginia!!Margin of Error","Census Tract 9012.09, Prince William County, Virginia!!Estimate","Census Tract 9012.09, Prince William County, Virginia!!Margin of Error","Census Tract 9012.11, Prince William County, Virginia!!Estimate","Census Tract 9012.11, Prince William County, Virginia!!Margin of Error","Census Tract 9012.12, Prince William County, Virginia!!Estimate","Census Tract 9012.12, Prince William County, Virginia!!Margin of Error","Census Tract 9012.19, Prince William County, Virginia!!Estimate","Census Tract 9012.19, Prince William County, Virginia!!Margin of Error","Census Tract 9012.21, Prince William County, Virginia!!Estimate","Census Tract 9012.21, Prince William County, Virginia!!Margin of Error","Census Tract 9012.22, Prince William County, Virginia!!Estimate","Census Tract 9012.22, Prince William County, Virginia!!Margin of Error","Census Tract 9012.23, Prince William County, Virginia!!Estimate","Census Tract 9012.23, Prince William County, Virginia!!Margin of Error","Census Tract 9012.24, Prince William County, Virginia!!Estimate","Census Tract 9012.24, Prince William County, Virginia!!Margin of Error","Census Tract 9012.25, Prince William County, Virginia!!Estimate","Census Tract 9012.25, Prince William County, Virginia!!Margin of Error","Census Tract 9012.26, Prince William County, Virginia!!Estimate","Census Tract 9012.26, Prince William County, Virginia!!Margin of Error","Census Tract 9012.27, Prince William County, Virginia!!Estimate","Census Tract 9012.27, Prince William County, Virginia!!Margin of Error","Census Tract 9012.28, Prince William County, Virginia!!Estimate","Census Tract 9012.28, Prince William County, Virginia!!Margin of Error","Census Tract 9012.29, Prince William County, Virginia!!Estimate","Census Tract 9012.29, Prince William County, Virginia!!Margin of Error","Census Tract 9012.30, Prince William County, Virginia!!Estimate","Census Tract 9012.30, Prince William County, Virginia!!Margin of Error","Census Tract 9012.31, Prince William County, Virginia!!Estimate","Census Tract 9012.31, Prince William County, Virginia!!Margin of Error","Census Tract 9012.32, Prince William County, Virginia!!Estimate","Census Tract 9012.32, Prince William County, Virginia!!Margin of Error","Census Tract 9012.33, Prince William County, Virginia!!Estimate","Census Tract 9012.33, Prince William County, Virginia!!Margin of Error","Census Tract 9012.34, Prince William County, Virginia!!Estimate","Census Tract 9012.34, Prince William County, Virginia!!Margin of Error","Census Tract 9012.35, Prince William County, Virginia!!Estimate","Census Tract 9012.35, Prince William County, Virginia!!Margin of Error","Census Tract 9012.36, Prince William County, Virginia!!Estimate","Census Tract 9012.36, Prince William County, Virginia!!Margin of Error","Census Tract 9012.37, Prince William County, Virginia!!Estimate","Census Tract 9012.37, Prince William County, Virginia!!Margin of Error","Census Tract 9013.03, Prince William County, Virginia!!Estimate","Census Tract 9013.03, Prince William County, Virginia!!Margin of Error","Census Tract 9013.04, Prince William County, Virginia!!Estimate","Census Tract 9013.04, Prince William County, Virginia!!Margin of Error","Census Tract 9013.05, Prince William County, Virginia!!Estimate","Census Tract 9013.05, Prince William County, Virginia!!Margin of Error","Census Tract 9013.06, Prince William County, Virginia!!Estimate","Census Tract 9013.06, Prince William County, Virginia!!Margin of Error","Census Tract 9014.03, Prince William County, Virginia!!Estimate","Census Tract 9014.03, Prince William County, Virginia!!Margin of Error","Census Tract 9014.07, Prince William County, Virginia!!Estimate","Census Tract 9014.07, Prince William County, Virginia!!Margin of Error","Census Tract 9014.09, Prince William County, Virginia!!Estimate","Census Tract 9014.09, Prince William County, Virginia!!Margin of Error","Census Tract 9014.11, Prince William County, Virginia!!Estimate","Census Tract 9014.11, Prince William County, Virginia!!Margin of Error","Census Tract 9014.12, Prince William County, Virginia!!Estimate","Census Tract 9014.12, Prince William County, Virginia!!Margin of Error","Census Tract 9014.13, Prince William County, Virginia!!Estimate","Census Tract 9014.13, Prince William County, Virginia!!Margin of Error","Census Tract 9014.14, Prince William County, Virginia!!Estimate","Census Tract 9014.14, Prince William County, Virginia!!Margin of Error","Census Tract 9014.15, Prince William County, Virginia!!Estimate","Census Tract 9014.15, Prince William County, Virginia!!Margin of Error","Census Tract 9014.16, Prince William County, Virginia!!Estimate","Census Tract 9014.16, Prince William County, Virginia!!Margin of Error","Census Tract 9014.17, Prince William County, Virginia!!Estimate","Census Tract 9014.17, Prince William County, Virginia!!Margin of Error","Census Tract 9014.18, Prince William County, Virginia!!Estimate","Census Tract 9014.18, Prince William County, Virginia!!Margin of Error","Census Tract 9014.19, Prince William County, Virginia!!Estimate","Census Tract 9014.19, Prince William County, Virginia!!Margin of Error","Census Tract 9014.20, Prince William County, Virginia!!Estimate","Census Tract 9014.20, Prince William County, Virginia!!Margin of Error","Census Tract 9014.21, Prince William County, Virginia!!Estimate","Census Tract 9014.21, Prince William County, Virginia!!Margin of Error","Census Tract 9015.03, Prince William County, Virginia!!Estimate","Census Tract 9015.03, Prince William County, Virginia!!Margin of Error","Census Tract 9015.04, Prince William County, Virginia!!Estimate","Census Tract 9015.04, Prince William County, Virginia!!Margin of Error","Census Tract 9015.05, Prince William County, Virginia!!Estimate","Census Tract 9015.05, Prince William County, Virginia!!Margin of Error","Census Tract 9015.06, Prince William County, Virginia!!Estimate","Census Tract 9015.06, Prince William County, Virginia!!Margin of Error","Census Tract 9015.07, Prince William County, Virginia!!Estimate","Census Tract 9015.07, Prince William County, Virginia!!Margin of Error","Census Tract 9015.08, Prince William County, Virginia!!Estimate","Census Tract 9015.08, Prince William County, Virginia!!Margin of Error","Census Tract 9015.09, Prince William County, Virginia!!Estimate","Census Tract 9015.09, Prince William County, Virginia!!Margin of Error","Census Tract 9015.10, Prince William County, Virginia!!Estimate","Census Tract 9015.10, Prince William County, Virginia!!Margin of Error","Census Tract 9015.11, Prince William County, Virginia!!Estimate","Census Tract 9015.11, Prince William County, Virginia!!Margin of Error","Census Tract 9016.01, Prince William County, Virginia!!Estimate","Census Tract 9016.01, Prince William County, Virginia!!Margin of Error","Census Tract 9016.02, Prince William County, Virginia!!Estimate","Census Tract 9016.02, Prince William County, Virginia!!Margin of Error","Census Tract 9017.02, Prince William County, Virginia!!Estimate","Census Tract 9017.02, Prince William County, Virginia!!Margin of Error","Census Tract 9017.03, Prince William County, Virginia!!Estimate","Census Tract 9017.03, Prince William County, Virginia!!Margin of Error","Census Tract 9017.04, Prince William County, Virginia!!Estimate","Census Tract 9017.04, Prince William County, Virginia!!Margin of Error","Census Tract 9019, Prince William County, Virginia!!Estimate","Census Tract 9019, Prince William County, Virginia!!Margin of Error","Census Tract 9801, Prince William County, Virginia!!Estimate","Census Tract 9801, Prince William County, Virginia!!Margin of Error"
"Total:","3,535","±493","2,165","±285","4,241","±759","4,447","±903","3,375","±589","5,292","±910","5,531","±866","5,886","±607","6,573","±580","5,398","±1,032","5,364","±818","5,826","±813","4,684","±797","3,772","±706","5,406","±1,458","3,351","±302","3,947","±542","6,681","±792","7,957","±1,423","7,117","±779","5,044","±829","5,034","±957","6,301","±668","5,911","±792","6,032","±844","6,347","±900","6,771","±670","4,549","±703","6,086","±702","3,543","±454","3,323","±470","4,605","±964","3,239","±389","4,755","±986","890","±223","1,869","±284","3,780","±559","3,362","±368","7,185","±784","4,520","±544","8,334","±1,299","5,423","±618","5,714","±1,029","2,647","±357","6,265","±598","4,756","±632","5,195","±913","6,304","±660","5,063","±778","5,772","±426","4,818","±848","3,998","±334","5,871","±536","4,309","±731","6,508","±433","2,893","±378","2,952","±307","5,915","±566","2,883","±339","4,682","±687","2,987","±369","3,526","±478","4,883","±443","6,809","±1,011","4,276","±629","8,194","±1,023","5,918","±409","7,398","±793","4,198","±390","5,173","±599","4,413","±744","5,080","±1,435","2,535","±235","4,060","±929","4,257","±717","4,482","±572","4,720","±855","5,295","±513","4,321","±680","7,284","±906","7,066","±1,385","2,788","±260","5,847","±542","6,899","±1,177","5,931","±514","3,962","±292","3,961","±586","8,098","±703","4,356","±683","2,518","±422","6,971","±1,328","6,689","±838","0","±13"
"    Under 18 years:","643","±261","416","±103","925","±209","1,380","±430","624","±249","1,330","±359","1,548","±365","1,676","±236","1,680","±228","1,574","±482","1,118","±364","1,503","±428","1,323","±454","1,060","±385","1,724","±812","1,108","±187","995","±221","1,708","±453","2,150","±749","1,575","±288","1,543","±401","1,602","±540","2,264","±310","1,787","±328","1,650","±413","1,953","±450","2,100","±426","1,224","±267","1,588","±238","590","±207","1,004","±184","1,064","±428","1,088","±234","1,291","±420","269","±96","1,000","±214","873","±184","820","±160","2,204","±358","1,195","±208","2,702","±732","1,208","±157","1,460","±369","669","±80","1,622","±193","1,232","±409","1,460","±461","1,570","±257","1,594","±522","1,337","±183","1,290","±346","1,064","±148","1,441","±267","956","±253","1,581","±225","588","±93","766","±122","1,810","±253","846","±188","1,309","±341","684","±162","573","±99","1,139","±204","1,792","±364","949","±279","2,267","±383","1,586","±181","2,522","±348","1,486","±213","1,493","±281","1,352","±267","2,001","±924","566","±107","920","±280","1,439","±364","1,825","±400","1,746","±454","1,322","±250","435","±359","2,018","±200","2,207","±507","910","±124","1,632","±234","2,160","±722","1,978","±318","857","±84","1,199","±262","1,951","±422","941","±266","505","±74","1,984","±564","2,097","±366","0","±13"
"        With one type of disability","0","±13","20","±25","0","±13","0","±13","0","±13","29","±35","13","±23","38","±37","0","±18","95","±105","33","±51","21","±31","61","±55","0","±13","121","±103","0","±13","0","±13","48","±62","82","±132","17","±19","72","±89","11","±18","30","±35","20","±21","10","±16","110","±63","37","±65","4","±9","11","±18","34","±41","11","±18","0","±13","0","±13","18","±29","0","±13","13","±21","90","±100","0","±13","0","±18","26","±38","111","±124","13","±20","11","±18","0","±13","32","±48","15","±25","54","±46","65","±62","0","±18","34","±30","27","±33","7","±11","48","±39","8","±13","56","±60","26","±27","13","±21","20","±23","11","±17","0","±13","7","±7","0","±13","48","±46","58","±86","0","±13","20","±31","77","±53","77","±64","66","±97","36","±29","14","±18","101","±60","35","±39","0","±13","0","±13","3","±10","12","±22","26","±37","0","±13","101","±80","0","±18","3","±5","0","±18","22","±25","11","±17","36","±32","0","±13","43","±51","13","±22","0","±13","52","±64","0","±18","0","±13"
"        With two or more types of disability","0","±13","0","±13","0","±13","0","±13","0","±13","18","±24","8","±15","0","±18","30","±48","9","±14","0","±18","0","±18","8","±14","0","±13","44","±59","0","±13","0","±13","0","±18","0","±18","0","±18","159","±134","0","±18","30","±41","19","±24","7","±12","7","±11","59","±80","0","±13","8","±13","0","±13","0","±13","0","±13","0","±13","75","±113","25","±35","0","±13","0","±13","25","±37","8","±15","31","±39","15","±24","0","±18","43","±63","10","±11","8","±16","0","±13","0","±18","9","±13","13","±21","0","±18","0","±13","15","±25","33","±28","0","±18","22","±34","15","±22","13","±18","0","±18","8","±13","0","±13","0","±13","0","±13","17","±20","12","±33","10","±17","49","±74","14","±21","0","±18","59","±88","13","±17","19","±16","6","±11","0","±13","0","±13","0","±13","0","±13","0","±13","0","±18","0","±13","0","±18","48","±68","18","±20","15","±18","67","±84","8","±15","11","±16","0","±13","72","±114","0","±13","17","±37","0","±18","23","±39","0","±13"
"        No disability","643","±261","396","±100","925","±209","1,380","±430","624","±249","1,283","±363","1,527","±366","1,638","±233","1,650","±218","1,470","±406","1,085","±344","1,482","±425","1,254","±453","1,060","±385","1,559","±805","1,108","±187","995","±221","1,660","±453","2,068","±646","1,558","±286","1,312","±470","1,591","±540","2,204","±308","1,748","±327","1,633","±414","1,836","±447","2,004","±398","1,220","±266","1,569","±239","556","±201","993","±182","1,064","±428","1,088","±234","1,198","±376","244","±73","987","±221","783","±201","795","±145","2,196","±361","1,138","±208","2,576","±732","1,195","±150","1,406","±354","659","±81","1,582","±194","1,217","±408","1,406","±468","1,496","±243","1,581","±521","1,303","±180","1,263","±341","1,042","±149","1,360","±267","948","±253","1,503","±234","547","±100","740","±122","1,790","±254","827","±187","1,309","±341","677","±161","573","±99","1,074","±200","1,722","±350","939","±275","2,198","±359","1,495","±180","2,445","±339","1,361","±166","1,444","±276","1,319","±266","1,894","±921","531","±102","920","±280","1,439","±364","1,822","±401","1,734","±454","1,296","±246","435","±359","1,917","±213","2,159","±501","889","±125","1,617","±233","2,071","±658","1,959","±316","810","±86","1,199","±262","1,836","±372","928","±269","488","±92","1,932","±569","2,074","±368","0","±13"
"    18 to 64 years:","1,987","±414","1,574","±266","2,975","±590","2,820","±511","2,494","±390","3,662","±608","3,220","±555","3,772","±529","4,336","±487","3,461","±643","3,627","±520","4,129","±646","3,250","±429","2,426","±394","3,129","±712","2,013","±245","2,729","±462","4,780","±569","5,196","±1,004","4,776","±582","3,197","±590","3,008","±588","3,593","±527","3,776","±565","3,745","±510","4,152","±608","3,880","±367","2,986","±530","4,034","±534","1,348","±267","2,176","±426","3,094","±628","1,880","±265","3,176","±693","566","±144","869","±160","2,274","±301","1,549","±241","4,162","±616","2,895","±422","4,987","±715","3,182","±461","3,710","±799","1,607","±200","3,884","±465","2,751","±419","3,213","±486","4,069","±481","3,031","±381","3,857","±337","3,035","±432","2,504","±224","3,607","±346","2,789","±519","4,233","±361","1,895","±335","1,884","±233","3,653","±367","1,928","±212","3,081","±429","1,964","±266","2,588","±426","2,814","±197","4,523","±714","3,120","±448","5,435","±790","3,593","±302","4,684","±568","2,534","±295","2,809","±403","2,772","±539","2,960","±537","1,624","±177","2,934","±738","2,499","±463","2,518","±351","2,707","±434","2,956","±284","1,079","±283","4,637","±819","4,601","±1,009","1,702","±173","3,608","±303","3,980","±578","3,360","±389","1,693","±219","2,476","±405","5,484","±637","3,122","±541","1,769","±348","4,546","±890","4,205","±542","0","±13"
"        With one type of disability","129","±80","68","±38","117","±81","211","±114","142","±82","186","±103","104","±55","114","±63","246","±149","180","±90","156","±101","154","±83","131","±72","91","±62","288","±148","94","±94","140","±99","261","±194","416","±257","285","±154","232","±156","77","±75","148","±79","80","±47","250","±101","120","±65","107","±80","97","±54","121","±82","53","±46","46","±46","112","±88","109","±93","308","±260","19","±14","57","±52","121","±65","19","±23","26","±28","197","±124","132","±86","68","±47","159","±103","115","±101","152","±79","167","±75","112","±73","146","±81","130","±110","141","±73","91","±63","47","±34","87","±46","108","±76","212","±108","42","±25","150","±69","47","±29","121","±45","151","±83","65","±39","92","±49","107","±52","64","±62","81","±84","135","±93","197","±106","176","±141","117","±69","122","±117","185","±77","86","±41","95","±84","72","±69","115","±97","44","±42","12","±20","99","±52","33","±36","110","±79","113","±88","78","±53","126","±54","76","±51","103","±60","122","±75","109","±62","179","±137","67","±91","4","±22","107","±88","127","±87","0","±13"
"        With two or more types of disability","26","±22","18","±19","66","±42","150","±113","247","±183","84","±64","145","±97","44","±42","133","±84","115","±94","186","±123","63","±70","122","±84","135","±96","78","±107","31","±63","135","±102","168","±128","194","±161","149","±134","84","±75","233","±234","78","±58","195","±96","384","±223","54","±45","152","±98","89","±55","117","±122","49","±38","121","±84","76","±59","3","±5","166","±181","25","±22","0","±13","109","±75","42","±29","74","±38","26","±27","129","±100","10","±14","54","±62","29","±22","168","±109","92","±69","124","±99","233","±154","23","±23","114","±74","22","±24","90","±76","111","±63","76","±53","94","±64","54","±28","90","±55","118","±54","39","±31","58","±39","67","±44","43","±34","57","±49","27","±41","79","±80","43","±51","54","±46","90","±69","68","±63","11","±17","30","±37","98","±72","6","±8","10","±17","16","±25","64","±71","9","±17","65","±47","10","±16","86","±85","0","±18","8","±8","35","±47","75","±67","28","±25","22","±22","164","±119","193","±160","170","±100","21","±30","61","±67","112","±89","0","±13"
"        No disability","1,832","±405","1,488","±262","2,792","±562","2,459","±521","2,105","±401","3,392","±618","2,971","±551","3,614","±524","3,957","±447","3,166","±625","3,285","±516","3,912","±636","2,997","±451","2,200","±405","2,763","±649","1,888","±199","2,454","±431","4,351","±666","4,586","±757","4,342","±589","2,881","±552","2,698","±593","3,367","±515","3,501","±535","3,111","±408","3,978","±607","3,621","±341","2,800","±506","3,796","±441","1,246","±244","2,009","±404","2,906","±626","1,768","±234","2,702","±517","522","±138","812","±143","2,044","±314","1,488","±240","4,062","±604","2,672","±354","4,726","±732","3,104","±461","3,497","±805","1,463","±175","3,564","±482","2,492","±419","2,977","±469","3,690","±424","2,878","±362","3,602","±328","2,922","±414","2,367","±203","3,409","±358","2,605","±523","3,927","±364","1,799","±335","1,644","±233","3,488","±364","1,768","±232","2,872","±444","1,832","±237","2,453","±417","2,650","±218","4,432","±711","2,960","±441","5,257","±789","3,342","±306","4,418","±569","2,349","±268","2,676","±365","2,557","±542","2,776","±539","1,523","±149","2,852","±737","2,368","±463","2,410","±341","2,686","±433","2,792","±280","1,036","±287","4,441","±809","4,488","±982","1,616","±164","3,447","±295","3,829","±548","3,229","±372","1,549","±197","2,203","±327","5,112","±524","2,885","±562","1,744","±344","4,378","±904","3,966","±539","0","±13"
"    65 years and over:","905","±213","175","±59","341","±104","247","±87","257","±107","300","±152","763","±198","438","±78","557","±135","363","±80","619","±177","194","±107","111","±65","286","±123","553","±206","230","±123","223","±114","193","±126","611","±217","766","±305","304","±122","424","±195","444","±205","348","±115","637","±218","242","±93","791","±120","339","±82","464","±153","1,605","±229","143","±86","447","±107","271","±141","288","±131","55","±21","0","±13","633","±227","993","±181","819","±147","430","±61","645","±154","1,033","±248","544","±164","371","±215","759","±129","773","±156","522","±124","665","±192","438","±96","578","±168","493","±264","430","±121","823","±132","564","±146","694","±123","410","±105","302","±100","452","±142","109","±49","292","±87","339","±99","365","±78","930","±274","494","±100","207","±148","492","±166","739","±144","192","±97","178","±47","871","±146","289","±142","119","±44","345","±62","206","±99","319","±211","139","±103","267","±88","1,017","±263","2,807","±359","629","±204","258","±83","176","±61","607","±200","759","±144","593","±158","1,412","±199","286","±80","663","±145","293","±75","244","±94","441","±226","387","±89","0","±13"
