"Label (Grouping)","Census Tract 9001; Prince William County; Virginia!!Estimate","Census Tract 9001; Prince William County; Virginia!!Margin of Error","Census Tract 9002.01; Prince William County; Virginia!!Estimate","Census Tract 9002.01; Prince William County; Virginia!!Margin of Error","Census Tract 9002.02; Prince William County; Virginia!!Estimate","Census Tract 9002.02; Prince William County; Virginia!!Margin of Error","Census Tract 9002.03; Prince William County; Virginia!!Estimate","Census Tract 9002.03; Prince William County; Virginia!!Margin of Error","Census Tract 9003.01; Prince William County; Virginia!!Estimate","Census Tract 9003.01; Prince William County; Virginia!!Margin of Error","Census Tract 9003.02; Prince William County; Virginia!!Estimate","Census Tract 9003.02; Prince William County; Virginia!!Margin of Error","Census Tract 9004.03; Prince William County; Virginia!!Estimate","Census Tract 9004.03; Prince William County; Virginia!!Margin of Error","Census Tract 9004.04; Prince William County; Virginia!!Estimate","Census Tract 9004.04; Prince William County; Virginia!!Margin of Error","Census Tract 9004.07; Prince William County; Virginia!!Estimate","Census Tract 9004.07; Prince William County; Virginia!!Margin of Error","Census Tract 9004.08; Prince William County; Virginia!!Estimate","Census Tract 9004.08; Prince William County; Virginia!!Margin of Error","Census Tract 9004.09; Prince William County; Virginia!!Estimate","Census Tract 9004.09; Prince William County; Virginia!!Margin of Error","Census Tract 9004.10; Prince William County; Virginia!!Estimate","Census Tract 9004.10; Prince William County; Virginia!!Margin of Error","Census Tract 9005.02; Prince William County; Virginia!!Estimate","Census Tract 9005.02; Prince William County; Virginia!!Margin of Error","Census Tract 9005.03; Prince William County; Virginia!!Estimate","Census Tract 9005.03; Prince William County; Virginia!!Margin of Error","Census Tract 9005.04; Prince William County; Virginia!!Estimate","Census Tract 9005.04; Prince William County; Virginia!!Margin of Error","Census Tract 9006.01; Prince William County; Virginia!!Estimate","Census Tract 9006.01; Prince William County; Virginia!!Margin of Error","Census Tract 9006.02; Prince William County; Virginia!!Estimate","Census Tract 9006.02; Prince William County; Virginia!!Margin of Error","Census Tract 9007.01; Prince William County; Virginia!!Estimate","Census Tract 9007.01; Prince William County; Virginia!!Margin of Error","Census Tract 9007.02; Prince William County; Virginia!!Estimate","Census Tract 9007.02; Prince William County; Virginia!!Margin of Error","Census Tract 9008.01; Prince William County; Virginia!!Estimate","Census Tract 9008.01; Prince William County; Virginia!!Margin of Error","Census Tract 9008.03; Prince William County; Virginia!!Estimate","Census Tract 9008.03; Prince William County; Virginia!!Margin of Error","Census Tract 9008.04; Prince William County; Virginia!!Estimate","Census Tract 9008.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.01; Prince William County; Virginia!!Estimate","Census Tract 9009.01; Prince William County; Virginia!!Margin of Error","Census Tract 9009.04; Prince William County; Virginia!!Estimate","Census Tract 9009.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.05; Prince William County; Virginia!!Estimate","Census Tract 9009.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.05; Prince William County; Virginia!!Estimate","Census Tract 9010.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.09; Prince William County; Virginia!!Estimate","Census Tract 9010.09; Prince William County; Virginia!!Margin of Error","Census Tract 9010.10; Prince William County; Virginia!!Estimate","Census Tract 9010.10; Prince William County; Virginia!!Margin of Error","Census Tract 9010.11; Prince William County; Virginia!!Estimate","Census Tract 9010.11; Prince William County; Virginia!!Margin of Error","Census Tract 9010.12; Prince William County; Virginia!!Estimate","Census Tract 9010.12; Prince William County; Virginia!!Margin of Error","Census Tract 9010.13; Prince William County; Virginia!!Estimate","Census Tract 9010.13; Prince William County; Virginia!!Margin of Error","Census Tract 9010.14; Prince William County; Virginia!!Estimate","Census Tract 9010.14; Prince William County; Virginia!!Margin of Error","Census Tract 9010.15; Prince William County; Virginia!!Estimate","Census Tract 9010.15; Prince William County; Virginia!!Margin of Error","Census Tract 9010.16; Prince William County; Virginia!!Estimate","Census Tract 9010.16; Prince William County; Virginia!!Margin of Error","Census Tract 9011.01; Prince William County; Virginia!!Estimate","Census Tract 9011.01; Prince William County; Virginia!!Margin of Error","Census Tract 9011.02; Prince William County; Virginia!!Estimate","Census Tract 9011.02; Prince William County; Virginia!!Margin of Error","Census Tract 9012.03; Prince William County; Virginia!!Estimate","Census Tract 9012.03; Prince William County; Virginia!!Margin of Error","Census Tract 9012.08; Prince William County; Virginia!!Estimate","Census Tract 9012.08; Prince William County; Virginia!!Margin of Error","Census Tract 9012.09; Prince William County; Virginia!!Estimate","Census Tract 9012.09; Prince William County; Virginia!!Margin of Error","Census Tract 9012.11; Prince William County; Virginia!!Estimate","Census Tract 9012.11; Prince William County; Virginia!!Margin of Error","Census Tract 9012.12; Prince William County; Virginia!!Estimate","Census Tract 9012.12; Prince William County; Virginia!!Margin of Error","Census Tract 9012.19; Prince William County; Virginia!!Estimate","Census Tract 9012.19; Prince William County; Virginia!!Margin of Error","Census Tract 9012.21; Prince William County; Virginia!!Estimate","Census Tract 9012.21; Prince William County; Virginia!!Margin of Error","Census Tract 9012.22; Prince William County; Virginia!!Estimate","Census Tract 9012.22; Prince William County; Virginia!!Margin of Error","Census Tract 9012.23; Prince William County; Virginia!!Estimate","Census Tract 9012.23; Prince William County; Virginia!!Margin of Error","Census Tract 9012.24; Prince William County; Virginia!!Estimate","Census Tract 9012.24; Prince William County; Virginia!!Margin of Error","Census Tract 9012.25; Prince William County; Virginia!!Estimate","Census Tract 9012.25; Prince William County; Virginia!!Margin of Error","Census Tract 9012.26; Prince William County; Virginia!!Estimate","Census Tract 9012.26; Prince William County; Virginia!!Margin of Error","Census Tract 9012.27; Prince William County; Virginia!!Estimate","Census Tract 9012.27; Prince William County; Virginia!!Margin of Error","Census Tract 9012.28; Prince William County; Virginia!!Estimate","Census Tract 9012.28; Prince William County; Virginia!!Margin of Error","Census Tract 9012.29; Prince William County; Virginia!!Estimate","Census Tract 9012.29; Prince William County; Virginia!!Margin of Error","Census Tract 9012.30; Prince William County; Virginia!!Estimate","Census Tract 9012.30; Prince William County; Virginia!!Margin of Error","Census Tract 9012.31; Prince William County; Virginia!!Estimate","Census Tract 9012.31; Prince William County; Virginia!!Margin of Error","Census Tract 9012.32; Prince William County; Virginia!!Estimate","Census Tract 9012.32; Prince William County; Virginia!!Margin of Error","Census Tract 9012.33; Prince William County; Virginia!!Estimate","Census Tract 9012.33; Prince William County; Virginia!!Margin of Error","Census Tract 9012.34; Prince William County; Virginia!!Estimate","Census Tract 9012.34; Prince William County; Virginia!!Margin of Error","Census Tract 9012.35; Prince William County; Virginia!!Estimate","Census Tract 9012.35; Prince William County; Virginia!!Margin of Error","Census Tract 9012.36; Prince William County; Virginia!!Estimate","Census Tract 9012.36; Prince William County; Virginia!!Margin of Error","Census Tract 9012.37; Prince William County; Virginia!!Estimate","Census Tract 9012.37; Prince William County; Virginia!!Margin of Error","Census Tract 9013.03; Prince William County; Virginia!!Estimate","Census Tract 9013.03; Prince William County; Virginia!!Margin of Error","Census Tract 9013.04; Prince William County; Virginia!!Estimate","Census Tract 9013.04; Prince William County; Virginia!!Margin of Error","Census Tract 9013.05; Prince William County; Virginia!!Estimate","Census Tract 9013.05; Prince William County; Virginia!!Margin of Error","Census Tract 9013.06; Prince William County; Virginia!!Estimate","Census Tract 9013.06; Prince William County; Virginia!!Margin of Error","Census Tract 9014.03; Prince William County; Virginia!!Estimate","Census Tract 9014.03; Prince William County; Virginia!!Margin of Error","Census Tract 9014.07; Prince William County; Virginia!!Estimate","Census Tract 9014.07; Prince William County; Virginia!!Margin of Error","Census Tract 9014.09; Prince William County; Virginia!!Estimate","Census Tract 9014.09; Prince William County; Virginia!!Margin of Error","Census Tract 9014.11; Prince William County; Virginia!!Estimate","Census Tract 9014.11; Prince William County; Virginia!!Margin of Error","Census Tract 9014.12; Prince William County; Virginia!!Estimate","Census Tract 9014.12; Prince William County; Virginia!!Margin of Error","Census Tract 9014.13; Prince William County; Virginia!!Estimate","Census Tract 9014.13; Prince William County; Virginia!!Margin of Error","Census Tract 9014.14; Prince William County; Virginia!!Estimate","Census Tract 9014.14; Prince William County; Virginia!!Margin of Error","Census Tract 9014.15; Prince William County; Virginia!!Estimate","Census Tract 9014.15; Prince William County; Virginia!!Margin of Error","Census Tract 9014.16; Prince William County; Virginia!!Estimate","Census Tract 9014.16; Prince William County; Virginia!!Margin of Error","Census Tract 9014.17; Prince William County; Virginia!!Estimate","Census Tract 9014.17; Prince William County; Virginia!!Margin of Error","Census Tract 9014.18; Prince William County; Virginia!!Estimate","Census Tract 9014.18; Prince William County; Virginia!!Margin of Error","Census Tract 9014.19; Prince William County; Virginia!!Estimate","Census Tract 9014.19; Prince William County; Virginia!!Margin of Error","Census Tract 9014.20; Prince William County; Virginia!!Estimate","Census Tract 9014.20; Prince William County; Virginia!!Margin of Error","Census Tract 9014.21; Prince William County; Virginia!!Estimate","Census Tract 9014.21; Prince William County; Virginia!!Margin of Error","Census Tract 9015.03; Prince William County; Virginia!!Estimate","Census Tract 9015.03; Prince William County; Virginia!!Margin of Error","Census Tract 9015.04; Prince William County; Virginia!!Estimate","Census Tract 9015.04; Prince William County; Virginia!!Margin of Error","Census Tract 9015.05; Prince William County; Virginia!!Estimate","Census Tract 9015.05; Prince William County; Virginia!!Margin of Error","Census Tract 9015.06; Prince William County; Virginia!!Estimate","Census Tract 9015.06; Prince William County; Virginia!!Margin of Error","Census Tract 9015.07; Prince William County; Virginia!!Estimate","Census Tract 9015.07; Prince William County; Virginia!!Margin of Error","Census Tract 9015.08; Prince William County; Virginia!!Estimate","Census Tract 9015.08; Prince William County; Virginia!!Margin of Error","Census Tract 9015.09; Prince William County; Virginia!!Estimate","Census Tract 9015.09; Prince William County; Virginia!!Margin of Error","Census Tract 9015.10; Prince William County; Virginia!!Estimate","Census Tract 9015.10; Prince William County; Virginia!!Margin of Error","Census Tract 9015.11; Prince William County; Virginia!!Estimate","Census Tract 9015.11; Prince William County; Virginia!!Margin of Error","Census Tract 9016.01; Prince William County; Virginia!!Estimate","Census Tract 9016.01; Prince William County; Virginia!!Margin of Error","Census Tract 9016.02; Prince William County; Virginia!!Estimate","Census Tract 9016.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.02; Prince William County; Virginia!!Estimate","Census Tract 9017.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.03; Prince William County; Virginia!!Estimate","Census Tract 9017.03; Prince William County; Virginia!!Margin of Error","Census Tract 9017.04; Prince William County; Virginia!!Estimate","Census Tract 9017.04; Prince William County; Virginia!!Margin of Error","Census Tract 9019; Prince William County; Virginia!!Estimate","Census Tract 9019; Prince William County; Virginia!!Margin of Error","Census Tract 9801; Prince William County; Virginia!!Estimate","Census Tract 9801; Prince William County; Virginia!!Margin of Error"
"Total:","3,159","±423","2,410","±453","4,108","±814","4,574","±981","3,462","±396","5,290","±758","6,089","±789","5,654","±561","6,973","±854","5,318","±965","4,973","±662","5,856","±810","4,728","±720","3,802","±674","5,079","±1,484","3,620","±285","3,492","±648","6,986","±1,347","8,262","±1,352","6,917","±626","5,644","±782","5,583","±706","5,911","±584","6,578","±774","6,088","±964","6,562","±711","7,251","±713","4,843","±838","6,141","±662","3,450","±403","3,322","±542","4,947","±1,105","3,548","±323","5,379","±891","1,166","±235","1,975","±304","3,532","±541","3,478","±386","6,475","±782","4,792","±518","7,534","±947","5,441","±538","6,322","±1,350","2,604","±218","6,155","±652","4,220","±545","4,952","±909","6,354","±684","6,079","±912","6,539","±493","4,741","±990","4,093","±343","6,252","±603","5,147","±698","6,821","±463","2,922","±376","2,892","±352","6,283","±595","2,908","±327","5,165","±713","3,235","±416","4,014","±550","5,248","±458","7,129","±1,086","4,385","±514","8,964","±1,040","5,940","±491","7,698","±922","4,386","±443","5,460","±600","4,384","±704","5,110","±1,254","2,914","±310","4,239","±974","3,819","±602","4,328","±477","5,400","±1,071","5,327","±407","4,615","±605","7,220","±764","6,995","±1,500","2,868","±292","5,770","±668","7,726","±1,271","6,418","±500","4,364","±345","4,646","±966","8,377","±1,097","4,593","±784","2,418","±333","6,581","±1,263","7,696","±939","0","±13"
"    Under 18 years:","382","±138","540","±268","933","±309","1,505","±453","672","±196","1,259","±332","1,751","±380","1,607","±244","1,870","±299","1,688","±487","986","±227","1,541","±410","1,210","±370","1,025","±358","1,607","±750","1,147","±206","815","±227","1,510","±666","1,972","±702","1,707","±248","1,704","±368","1,792","±495","1,734","±296","2,119","±414","1,631","±425","2,002","±417","2,335","±394","1,341","±323","1,448","±231","504","±168","989","±251","1,182","±445","1,122","±179","1,839","±487","356","±112","1,137","±231","825","±250","812","±187","1,843","±380","1,211","±236","2,190","±480","1,072","±184","1,478","±482","630","±84","1,426","±289","1,039","±298","1,247","±452","1,618","±273","1,869","±598","1,844","±244","1,258","±449","1,114","±194","1,526","±346","1,173","±318","1,725","±258","564","±103","814","±135","1,966","±244","843","±172","1,412","±333","742","±183","790","±143","1,147","±232","1,754","±368","1,057","±286","2,276","±366","1,650","±220","2,573","±419","1,434","±241","1,448","±336","1,372","±296","1,939","±788","676","±184","1,036","±257","1,373","±347","1,635","±320","1,941","±650","1,363","±221","455","±283","1,616","±253","2,017","±544","834","±149","1,563","±330","2,292","±781","1,910","±252","1,014","±149","1,550","±538","2,102","±363","1,278","±369","598","±71","1,860","±613","2,323","±430","0","±13"
"        With one type of disability","0","±13","13","±19","0","±13","20","±24","0","±13","65","±62","18","±34","44","±50","0","±19","87","±111","49","±53","31","±35","48","±44","0","±13","94","±105","0","±13","0","±13","16","±31","64","±98","21","±23","131","±96","0","±19","9","±14","27","±27","62","±73","79","±59","38","±63","27","±40","38","±31","27","±28","9","±16","54","±52","13","±21","42","±40","16","±17","16","±25","60","±60","4","±22","20","±32","81","±57","98","±107","0","±19","28","±33","0","±13","0","±19","32","±35","42","±45","54","±61","27","±39","132","±90","28","±32","22","±22","31","±32","53","±42","0","±19","14","±22","17","±24","0","±19","3","±7","9","±15","7","±11","9","±18","11","±18","0","±19","0","±13","0","±19","42","±39","24","±29","41","±56","31","±36","7","±9","24","±19","4","±7","3","±24","0","±13","0","±13","0","±19","93","±63","0","±13","61","±54","9","±16","22","±16","0","±19","38","±42","69","±69","95","±73","0","±13","13","±25","107","±77","0","±13","64","±83","0","±19","0","±13"
"        With two or more types of disability","0","±13","0","±13","0","±13","0","±13","14","±20","9","±27","0","±19","18","±37","60","±76","0","±19","0","±19","43","±48","0","±19","0","±13","10","±18","0","±13","0","±13","0","±19","49","±66","0","±19","86","±106","0","±19","18","±30","6","±10","8","±14","15","±24","56","±68","29","±39","0","±19","0","±13","20","±32","61","±83","0","±13","93","±110","0","±13","0","±13","13","±20","19","±32","0","±19","15","±24","17","±29","0","±19","0","±19","13","±14","10","±16","0","±13","12","±20","11","±17","3","±10","0","±19","0","±13","9","±15","45","±42","0","±19","0","±19","13","±19","0","±13","10","±17","15","±23","0","±19","11","±18","62","±66","10","±16","0","±19","11","±17","54","±85","0","±19","13","±20","50","±78","9","±15","7","±9","7","±11","9","±15","0","±13","0","±13","0","±13","18","±30","0","±19","0","±13","0","±19","36","±52","17","±17","5","±9","88","±105","9","±16","31","±31","0","±13","0","±19","0","±13","0","±13","0","±19","0","±19","0","±13"
"        No disability","382","±138","527","±270","933","±309","1,485","±453","658","±192","1,185","±337","1,733","±385","1,545","±259","1,810","±279","1,601","±395","937","±210","1,467","±416","1,162","±371","1,025","±358","1,503","±739","1,147","±206","815","±227","1,494","±667","1,859","±610","1,686","±243","1,487","±373","1,792","±495","1,707","±296","2,086","±419","1,561","±433","1,908","±413","2,241","±368","1,285","±324","1,410","±226","477","±172","960","±255","1,067","±455","1,109","±171","1,704","±448","340","±107","1,121","±231","752","±255","789","±177","1,823","±380","1,115","±244","2,075","±490","1,072","±184","1,450","±484","617","±86","1,416","±288","1,007","±303","1,193","±452","1,553","±251","1,839","±599","1,712","±257","1,230","±441","1,083","±190","1,450","±332","1,120","±316","1,725","±258","537","±113","797","±141","1,956","±244","825","±166","1,403","±335","724","±184","719","±169","1,126","±227","1,754","±368","1,046","±287","2,222","±330","1,608","±218","2,536","±412","1,343","±226","1,408","±341","1,358","±298","1,908","±790","663","±180","1,033","±257","1,373","±347","1,635","±320","1,923","±651","1,270","±213","455","±283","1,555","±259","1,972","±540","795","±146","1,558","±330","2,166","±705","1,832","±267","888","±141","1,550","±538","2,089","±371","1,171","±350","598","±71","1,796","±621","2,323","±430","0","±13"
"    18 to 64 years:","1,809","±350","1,694","±295","2,901","±562","2,805","±578","2,479","±261","3,678","±555","3,570","±468","3,585","±440","4,484","±636","3,259","±589","3,378","±495","4,086","±610","3,168","±448","2,431","±393","2,908","±773","2,152","±155","2,483","±509","5,001","±959","5,730","±937","4,484","±548","3,621","±661","3,425","±572","3,724","±465","4,132","±482","3,782","±620","4,280","±460","4,126","±475","2,967","±610","4,167","±525","1,433","±199","2,140","±406","3,319","±735","2,317","±253","3,172","±622","759","±151","838","±131","2,197","±317","1,687","±231","3,768","±592","3,223","±426","4,544","±603","3,327","±419","4,197","±1,005","1,632","±179","3,929","±473","2,453","±434","3,054","±521","4,042","±473","3,706","±450","4,025","±314","3,057","±493","2,614","±293","3,802","±329","3,316","±545","4,303","±378","1,906","±372","1,788","±288","3,729","±364","1,924","±248","3,452","±496","2,041","±300","2,761","±453","3,046","±244","4,710","±787","3,140","±399","6,160","±767","3,483","±342","4,816","±633","2,716","±301","3,092","±370","2,682","±527","2,992","±520","1,821","±266","2,867","±712","2,256","±378","2,477","±248","3,173","±469","2,961","±252","1,235","±329","4,795","±726","4,581","±1,073","1,825","±219","3,713","±346","4,765","±671","3,857","±405","1,880","±279","2,482","±486","5,551","±843","2,954","±513","1,585","±255","3,984","±877","4,800","±623","0","±13"
"        With one type of disability","75","±51","144","±63","46","±61","216","±106","158","±72","262","±127","163","±102","248","±104","282","±195","180","±76","200","±91","91","±61","171","±94","81","±75","170","±107","124","±119","94","±79","193","±157","542","±292","232","±118","321","±182","53","±46","201","±133","149","±95","232","±112","113","±71","261","±140","148","±99","220","±101","60","±57","14","±25","87","±70","121","±96","210","±239","38","±28","55","±46","63","±60","60","±51","71","±53","149","±111","284","±186","91","±51","106","±78","105","±100","201","±137","130","±102","138","±75","167","±83","211","±132","95","±70","141","±79","51","±44","153","±77","100","±67","169","±99","31","±24","105","±74","119","±67","144","±78","171","±85","113","±58","56","±45","99","±43","213","±141","147","±73","150","±117","134","±88","204","±147","202","±77","129","±103","106","±70","67","±42","168","±119","84","±66","137","±97","31","±41","94","±64","85","±52","130","±103","181","±109","141","±100","109","±42","130","±83","129","±79","130","±83","93","±73","75","±61","128","±83","212","±97","28","±32","80","±95","119","±102","0","±13"
"        With two or more types of disability","76","±65","135","±51","51","±40","160","±90","173","±158","99","±78","136","±90","45","±60","145","±108","56","±43","57","±53","61","±58","73","±81","25","±33","85","±93","65","±63","44","±46","164","±222","235","±155","268","±211","52","±62","247","±230","10","±16","132","±81","400","±280","58","±55","153","±116","66","±42","124","±111","87","±54","131","±89","148","±88","2","±3","152","±108","16","±12","10","±17","65","±70","35","±32","77","±48","45","±48","111","±72","24","±24","22","±28","33","±27","156","±91","37","±37","143","±113","127","±74","40","±30","111","±75","43","±32","258","±250","76","±55","54","±36","33","±45","44","±31","45","±43","80","±68","36","±39","45","±32","46","±37","138","±89","37","±29","20","±34","104","±50","55","±76","84","±58","94","±75","67","±64","66","±42","26","±40","42","±33","11","±13","25","±29","43","±45","84","±70","20","±29","61","±31","39","±58","47","±83","29","±33","35","±22","67","±51","91","±75","71","±52","23","±28","137","±120","150","±152","79","±62","34","±36","90","±94","219","±128","0","±13"
"        No disability","1,658","±351","1,415","±301","2,804","±528","2,429","±560","2,148","±273","3,317","±581","3,271","±422","3,292","±444","4,057","±544","3,023","±586","3,121","±497","3,934","±588","2,924","±445","2,325","±423","2,653","±733","1,963","±223","2,345","±499","4,644","±863","4,953","±802","3,984","±550","3,248","±594","3,125","±567","3,513","±455","3,851","±458","3,150","±455","4,109","±470","3,712","±454","2,753","±573","3,823","±480","1,286","±178","1,995","±376","3,084","±749","2,194","±254","2,810","±417","705","±145","773","±119","2,069","±308","1,592","±237","3,620","±590","3,029","±399","4,149","±612","3,212","±423","4,069","±985","1,494","±160","3,572","±502","2,286","±467","2,773","±521","3,748","±436","3,455","±432","3,819","±304","2,873","±500","2,305","±201","3,573","±319","3,162","±547","4,101","±381","1,831","±370","1,638","±252","3,530","±351","1,744","±273","3,236","±496","1,882","±293","2,567","±441","2,910","±245","4,477","±762","2,889","±380","5,955","±775","3,265","±338","4,518","±632","2,447","±289","2,897","±368","2,550","±515","2,883","±515","1,642","±243","2,758","±698","2,076","±388","2,362","±234","3,059","±474","2,815","±252","1,066","±310","4,567","±738","4,411","±1,042","1,681","±221","3,516","±339","4,545","±639","3,656","±415","1,764","±269","2,270","±449","5,273","±774","2,663","±479","1,523","±239","3,814","±926","4,462","±644","0","±13"
"    65 years and over:","968","±208","176","±53","274","±135","264","±117","311","±109","353","±142","768","±169","462","±118","619","±202","371","±60","609","±144","229","±107","350","±126","346","±141","564","±154","321","±65","194","±119","475","±218","560","±204","726","±244","319","±176","366","±147","453","±103","327","±152","675","±199","280","±104","790","±129","535","±139","526","±120","1,513","±258","193","±106","446","±104","109","±68","368","±153","51","±19","0","±13","510","±204","979","±165","864","±110","358","±131","800","±168","1,042","±189","647","±197","342","±94","800","±118","728","±131","651","±175","694","±166","504","±84","670","±149","426","±209","365","±119","924","±143","658","±121","793","±164","452","±115","290","±38","588","±132","141","±55","301","±90","452","±103","463","±80","1,055","±230","665","±259","188","±96","528","±213","807","±153","309","±179","236","±55","920","±117","330","±142","179","±74","417","±67","336","±208","190","±84","216","±90","286","±53","1,003","±226","2,925","±394","809","±139","397","±137","209","±61","494","±134","669","±182","651","±111","1,470","±196","614","±201","724","±162","361","±109","235","±60","737","±342","573","±140","0","±13"
