censustract,disability_rate_2024,disability_rate_2023,disability_rate_2022,disability_rate_2021,disability_rate_2020
9001,12.85,11.88,9.59,9.63,7.98
9002.01,15.65,14.17,15.44,6.3,6.14
9002.02,6.31,7.66,3.97,6.35,7.59
9002.03,12.47,10.95,10.08,9.44,9.02
9003.01,8.66,10.56,13.43,13.74,14.13
9003.02,10.32,11.37,9.89,11.73,8.03
9004.03,9.76,9.39,10.36,9.56,11.26
9004.04,9.9,7.6,8.14,6.42,4.66
9004.07,8.07,10.04,8.78,9.49,8.31
9004.08,8.15,8.65,8.18,10.75,10.54
9004.09,11.3,12.14,10.5,10.15,9.55
9004.10,7.82,6.27,5.19,4.54,4.86
9005.02,7.78,7.28,6.18,6.66,6.87
9005.03,9.22,4.71,6.79,5.96,9.46
9005.04,8.23,8.59,12.6,14.54,13.98
9006.01,6.07,7.18,10.5,9.93,8.62
9006.02,11.1,9.96,5.61,9.41,11.05
9007.01,6.61,6.19,7.46,8.84,7.44
9007.02,7.34,9.7,11.9,10.75,12.35
9008.01,12.01,13.36,9.45,9.14,10.05
9008.03,11.47,13.65,11.85,10.76,13.2
9008.04,8.48,8.5,8.17,6.2,8.36
9009.01,6.82,6.84,7.41,7.69,8.14
9009.04,5.84,5.93,5.24,5.79,6.56
9009.05,12.06,14.96,13.5,13.2,12.9
9010.05,3.37,4.97,5.36,5.49,5.4
9010.09,11.56,12.13,9.13,9.58,7.65
9010.10,12.8,13.02,9.04,9.55,5.91
9010.11,10.89,11.77,8.58,8.95,6.06
9010.12,18.7,17.57,18.32,18.47,16.31
9010.13,15.12,11.51,7.74,5.62,5.87
9010.14,8.47,9.23,9.93,9.8,6.78
9010.15,7.89,7.1,4.76,3.05,3.49
9010.16,12.14,12.93,11.08,11.7,15.16
9011.01,6.81,7.14,7.38,10.48,10.45
9011.02,5.5,7.52,4.1,4.27,3.75
9012.03,6.66,9.54,7.39,7.92,10.71
9012.08,20.94,16.51,12.74,11.51,11.48
9012.09,10.16,8.06,5.95,5.85,4.61
9012.11,6.47,7.0,7.68,8.79,8.92
9012.12,12.96,12.32,10.65,8.21,6.84
9012.19,4.93,5.27,5.29,5.6,5.31
9012.21,3.52,2.48,3.37,5.01,6.48
9012.22,11.14,11.39,11.67,11.02,14.39
9012.23,12.82,11.08,8.84,7.23,7.31
9012.24,9.69,8.2,10.07,11.03,9.38
9012.25,12.18,11.22,11.03,11.81,9.18
9012.26,10.53,9.85,8.5,10.25,10.66
9012.27,6.74,5.81,6.86,7.5,7.01
9012.28,9.83,9.4,8.09,7.03,8.07
9012.29,11.2,8.61,8.18,6.17,6.75
9012.30,10.68,9.14,9.77,5.74,5.85
9012.31,8.3,9.53,9.17,8.96,10.22
9012.32,9.81,8.77,7.25,7.11,7.61
9012.33,4.9,6.01,4.75,7.57,9.13
9012.34,8.33,7.1,7.08,8.24,7.12
9012.35,8.92,7.79,8.61,11.19,10.5
9012.36,7.08,5.55,5.68,5.09,4.68
9012.37,7.84,8.14,10.11,9.37,8.32
9013.03,6.91,5.93,5.73,5.57,6.13
9013.04,10.75,11.35,10.73,9.55,8.84
9013.05,9.96,9.93,10.16,8.72,7.77
9013.06,10.87,7.91,6.76,7.56,9.54
9014.03,8.19,8.63,8.78,8.57,4.66
9014.07,5.36,5.78,6.73,5.5,5.14
9014.09,5.7,5.13,4.69,4.48,4.86
9014.11,6.82,6.31,7.22,9.31,9.24
9014.12,5.28,6.04,6.61,5.57,5.23
9014.13,8.74,10.01,9.48,8.47,8.19
9014.14,8.0,8.56,9.07,9.9,10.28
9014.15,3.67,5.03,4.13,6.67,6.57
9014.16,2.93,3.96,3.64,4.66,6.81
9014.17,7.28,7.92,8.51,8.44,8.6
9014.18,11.74,11.26,7.29,7.26,5.32
9014.19,7.55,6.04,5.26,4.05,5.76
9014.20,5.23,2.46,3.35,2.08,2.95
9014.21,8.67,5.97,4.19,2.24,2.06
9015.03,9.0,9.02,10.31,8.73,9.05
9015.04,19.81,20.94,24.29,22.76,19.53
9015.05,8.16,7.63,7.11,6.92,6.84
9015.06,3.58,4.03,4.2,2.81,2.76
9015.07,8.08,7.77,7.78,6.13,4.3
9015.08,8.1,6.79,5.27,3.83,7.29
9015.09,8.27,6.74,7.27,7.03,6.68
9015.10,6.69,6.39,6.48,5.33,4.81
9015.11,12.49,12.47,12.53,13.08,12.67
9016.01,11.0,13.65,9.02,9.77,10.1
9016.02,9.92,9.24,6.88,6.19,7.55
9017.02,13.61,13.24,11.1,10.82,7.78
9017.03,6.69,6.41,5.54,4.33,3.93
9017.04,8.54,8.27,9.01,6.46,4.29
9019,7.52,5.93,5.87,4.33,6.16
9801,,,,,
