censustract,group_quarters_population_2024,group_quarters_population_2023,group_quarters_population_2022,group_quarters_population_2021,group_quarters_population_2020
9001,0,0,0,0,0
9002.01,15,5,5,12,15
9002.02,0,0,0,0,0
9002.03,8,5,6,5,8
9003.01,0,0,0,0,0
9003.02,0,0,0,0,0
9004.03,33,35,28,26,33
9004.04,5,3,4,5,5
9004.07,0,0,0,0,0
9004.08,0,0,0,0,0
9004.09,0,0,0,0,0
9004.10,0,0,0,0,0
9005.02,114,130,130,96,114
9005.03,0,0,0,0,0
9005.04,0,0,0,0,0
9006.01,0,3,1,0,0
9006.02,0,0,0,0,0
9007.01,30,22,26,28,30
9007.02,0,0,0,0,0
9008.01,5,4,5,5,5
9008.03,0,0,0,0,0
9008.04,0,0,0,0,0
9009.01,18,7,11,13,18
9009.04,8,5,6,7,8
9009.05,5,12,11,7,5
9010.05,0,0,0,0,0
9010.09,0,0,0,0,0
9010.10,0,7,5,0,0
9010.11,0,0,0,0,0
9010.12,5,3,4,4,5
9010.13,0,0,0,0,0
9010.14,19,24,21,17,19
9010.15,6,6,6,6,6
9010.16,0,7,4,0,0
9011.01,"1,098",938,927,"1,131","1,098"
9011.02,636,729,704,810,636
9012.03,0,0,0,0,0
9012.08,20,35,35,27,20
9012.09,0,0,0,0,0
9012.11,5,2,3,4,5
9012.12,0,0,0,0,0
9012.19,0,0,0,0,0
9012.21,0,0,0,0,0
9012.22,0,2,1,0,0
9012.23,0,0,0,0,0
9012.24,0,0,0,0,0
9012.25,0,34,10,0,0
9012.26,0,0,0,0,0
9012.27,7,8,8,7,7
9012.28,10,15,13,6,10
9012.29,0,0,0,0,0
9012.30,0,3,2,0,0
9012.31,178,200,204,153,178
9012.32,"1,230",898,966,"1,369","1,230"
9012.33,0,0,0,0,0
9012.34,36,20,27,37,36
9012.35,0,0,0,0,0
9012.36,0,4,2,0,0
9012.37,0,0,0,0,0
9013.03,0,7,4,0,0
9013.04,0,0,0,0,0
9013.05,0,0,0,0,0
9013.06,4,15,11,5,4
9014.03,129,119,133,107,129
9014.07,0,0,0,0,0
9014.09,57,231,137,67,57
9014.11,0,90,46,0,0
9014.12,0,0,0,0,0
9014.13,0,0,0,0,0
9014.14,0,0,0,0,0
9014.15,0,0,0,0,0
9014.16,0,0,0,0,0
9014.17,0,0,0,0,0
9014.18,0,0,0,0,0
9014.19,0,0,0,0,0
9014.20,0,0,0,0,0
9014.21,58,31,39,46,58
9015.03,0,0,0,0,0
9015.04,112,156,141,96,112
9015.05,0,0,0,0,0
9015.06,0,0,0,0,0
9015.07,2,10,7,3,2
9015.08,0,0,0,0,0
9015.09,0,2,1,0,0
9015.10,0,0,0,0,0
9015.11,0,0,0,0,0
9016.01,12,55,42,22,12
9016.02,0,0,0,0,0
9017.02,0,0,0,0,0
9017.03,0,0,0,0,0
9017.04,5,5,5,5,5
9019,8,9,9,7,8
9801,0,0,0,0,0
