censustract,total_2024,hispanic_2024,total_2023,hispanic_2023,total_2022,hispanic_2022,total_2021,hispanic_2021,total_2020,hispanic_2020,Hispanic_Proportion_2024,Hispanic_Proportion_2023,Hispanic_Proportion_2022,Hispanic_Proportion_2021,Hispanic_Proportion_2020
9001,3196,574,3001,560,3234,566,3467,577,3616,456,17.96,18.66,17.5,16.64,12.61
9002.01,3117,1644,3180,1608,2441,1104,2338,943,2192,939,52.74,50.57,45.23,40.33,42.84
9002.02,3668,1909,3520,1778,4124,2321,4271,2400,4254,2566,52.04,50.51,56.28,56.19,60.32
9002.03,5442,1999,4891,1630,4589,1355,4579,1408,4463,1382,36.73,33.33,29.53,30.75,30.97
9003.01,3750,696,3514,799,3494,658,3442,601,3410,632,18.56,22.74,18.83,17.46,18.53
9003.02,5523,1709,5032,1534,5463,1732,5106,1286,5443,1620,30.94,30.48,31.7,25.19,29.76
9004.03,6319,1831,5789,1709,6107,2323,6195,2339,5541,1779,28.98,29.52,38.04,37.76,32.11
9004.04,5607,3003,5893,3406,5702,3013,5652,3160,5933,3300,53.56,57.8,52.84,55.91,55.62
9004.07,6537,1893,6916,2340,7089,2374,6825,2255,6670,2210,28.96,33.83,33.49,33.04,33.13
9004.08,5385,1538,5473,1618,5334,1356,5497,1414,5429,1527,28.56,29.56,25.42,25.72,28.13
9004.09,4670,1738,4834,1809,5003,1968,5170,2212,5375,2332,37.22,37.42,39.34,42.79,43.39
9004.10,5606,870,5588,676,5891,561,5675,758,5886,1018,15.52,12.1,9.52,13.36,17.3
9005.02,4562,771,4718,627,5112,767,5120,809,5026,663,16.9,13.29,15.0,15.8,13.19
9005.03,3350,1809,3787,2105,3823,1995,3768,1833,3820,2132,54.0,55.58,52.18,48.65,55.81
9005.04,5563,3828,5459,4179,5079,3571,5466,4319,5406,3954,68.81,76.55,70.31,79.02,73.14
9006.01,3280,1738,3453,2229,3620,1378,3525,1351,3351,1684,52.99,64.55,38.07,38.33,50.25
9006.02,3757,1205,3694,1346,3586,1327,3989,1711,3973,1539,32.07,36.44,37.01,42.89,38.74
9007.01,7588,1626,8102,2179,7048,572,6681,877,6764,1042,21.43,26.89,8.12,13.13,15.41
9007.02,8341,4311,7796,2489,8311,3755,7858,2840,8048,2719,51.68,31.93,45.18,36.14,33.78
9008.01,6990,982,7078,1176,7017,795,7057,773,7217,1485,14.05,16.61,11.33,10.95,20.58
9008.03,6771,1516,6127,1373,5718,1002,5620,1153,5182,1015,22.39,22.41,17.52,20.52,19.59
9008.04,5768,632,5564,821,5694,823,5879,1133,5130,804,10.96,14.76,14.45,19.27,15.67
9009.01,6123,2122,6363,2187,6033,2209,6185,2424,6336,2539,34.66,34.37,36.62,39.19,40.07
9009.04,8689,1237,7498,591,6634,703,6457,1020,5957,851,14.24,7.88,10.6,15.8,14.29
9009.05,6083,1013,6301,1089,6152,1092,6270,1317,6124,854,16.65,17.28,17.75,21.0,13.95
9010.05,6960,1344,6849,1342,6623,1074,6583,968,6463,966,19.31,19.59,16.22,14.7,14.95
9010.09,7467,728,7328,770,7436,699,7118,584,6973,509,9.75,10.51,9.4,8.2,7.3
