censustract,median_age_2024,median_age_male_2024,median_age_female_2024,median_age_2023,median_age_male_2023,median_age_female_2023,median_age_2022,median_age_male_2022,median_age_female_2022,median_age_2021,median_age_male_2021,median_age_female_2021,median_age_2020,median_age_male_2020,median_age_female_2020
9001,54.2,50.3,54.6,54.6,54.1,54.7,51.8,49.2,54.3,50.8,40.4,54.3,47.5,37.5,52.7
9002.01,32.7,39.3,29.1,36.3,43.5,29.3,31.9,36.2,29.6,35.1,38.2,31.2,34.8,36.7,32.7
9002.02,40.2,42.8,36.2,37.0,40.6,36.1,36.6,37.6,36.1,35.6,35.3,35.9,34.4,31.7,35.9
9002.03,30.4,31.6,30.1,29.3,29.5,29.0,29.9,33.3,26.9,29.8,33.7,24.5,29.8,33.4,26.1
9003.01,38.0,36.9,39.5,37.8,35.1,39.2,37.6,33.9,38.7,37.8,36.4,38.3,38.2,36.5,38.5
9003.02,36.6,31.5,38.6,37.8,35.5,38.6,35.3,35.1,36.5,35.5,36.2,34.3,33.8,32.8,34.1
9004.03,33.2,35.8,32.1,36.6,36.8,35.0,36.5,36.9,33.5,35.7,36.5,32.8,35.3,36.3,33.6
9004.04,35.4,38.7,31.1,35.4,36.6,32.9,35.8,36.5,35.1,34.9,34.6,35.4,33.5,34.3,32.7
9004.07,31.0,32.3,30.8,32.5,32.7,31.9,32.6,33.7,30.5,34.2,37.2,33.3,33.8,34.8,33.3
9004.08,34.4,31.4,36.4,33.2,30.4,35.2,33.4,30.9,35.1,34.1,30.5,36.0,34.9,34.9,35.0
9004.09,39.9,41.3,38.9,40.4,41.3,38.5,40.6,41.1,40.4,40.5,35.7,40.9,36.6,35.8,40.0
9004.10,34.3,34.2,34.4,32.8,34.2,32.6,32.8,33.0,32.7,34.0,34.0,34.1,34.3,34.2,34.9
9005.02,37.1,37.8,36.2,35.9,36.8,35.5,34.2,35.3,33.9,33.9,33.1,34.4,33.6,32.7,34.6
9005.03,36.9,43.5,32.4,35.7,41.6,32.7,33.1,35.7,29.4,31.9,35.0,29.0,29.5,34.6,26.9
9005.04,34.3,33.6,36.3,34.3,33.9,36.3,34.2,31.6,36.5,35.0,34.1,37.5,33.2,33.8,30.8
9006.01,32.6,32.5,33.0,34.2,34.9,34.1,34.3,39.2,28.8,34.4,39.2,32.7,37.3,41.1,34.2
9006.02,27.7,31.8,25.0,27.6,33.2,25.2,25.8,25.5,25.8,26.2,24.9,26.6,27.7,26.8,27.9
9007.01,33.6,33.1,33.9,31.2,30.1,33.5,33.8,33.5,35.2,33.3,33.6,32.7,30.9,32.8,29.3
9007.02,32.9,35.0,29.7,33.6,36.9,28.7,35.0,39.5,28.2,33.8,35.6,32.3,33.6,35.4,31.3
9008.01,39.1,38.0,39.9,38.4,37.2,39.5,39.3,37.5,40.5,39.7,38.6,40.7,41.1,39.2,44.8
9008.03,31.7,31.3,32.1,31.7,31.2,32.2,31.9,31.7,32.1,31.5,30.9,32.3,31.7,31.2,32.4
9008.04,38.9,37.8,39.2,38.7,39.6,37.7,35.5,35.6,34.5,32.8,30.7,34.8,37.4,35.9,37.9
9009.01,31.0,29.8,33.1,31.0,29.0,32.5,31.4,32.1,31.3,29.0,29.4,28.7,27.9,25.1,30.7
9009.04,35.5,33.1,35.9,35.1,31.5,36.9,33.8,32.5,35.4,32.1,27.8,35.3,32.1,27.6,35.5
9009.05,40.9,40.5,42.1,40.3,39.7,41.4,36.2,31.9,41.8,37.0,32.6,40.5,36.0,33.2,38.4
