censustract,child_dependency_ratio_2024,child_dependency_ratio_2023,child_dependency_ratio_2022,child_dependency_ratio_2021,child_dependency_ratio_2020,old_age_dependency_ratio_2024,old_age_dependency_ratio_2023,old_age_dependency_ratio_2022,old_age_dependency_ratio_2021,old_age_dependency_ratio_2020,age_dependency_ratio_2024,age_dependency_ratio_2023,age_dependency_ratio_2022,age_dependency_ratio_2021,age_dependency_ratio_2020
9001,10.08,10.84,17.29,23.35,26.62,44.09,47.11,50.1,49.65,42.27,54.17,57.95,67.39,73.0,68.89
9002.01,27.47,25.78,24.45,26.4,19.56,10.87,12.72,9.67,8.67,10.37,38.339999999999996,38.5,34.12,35.07,29.93
9002.02,21.84,21.73,23.12,28.5,27.58,15.8,15.34,8.76,11.58,11.12,37.64,37.07,31.880000000000003,40.08,38.699999999999996
9002.03,45.46,55.0,50.38,47.06,45.63,11.42,6.85,9.18,7.42,8.53,56.88,61.85,59.56,54.480000000000004,54.160000000000004
9003.01,27.19,25.91,26.06,20.84,18.94,17.65,15.27,12.32,10.04,9.69,44.84,41.18,38.379999999999995,30.88,28.630000000000003
9003.02,27.38,31.25,27.65,27.3,30.5,14.6,13.68,8.82,7.89,7.61,41.98,44.93,36.47,35.19,38.11
9004.03,43.54,38.21,44.47,44.83,39.02,18.78,18.55,20.81,17.39,22.2,62.32,56.760000000000005,65.28,62.22,61.22
9004.04,24.25,29.19,27.9,26.77,29.78,14.06,13.33,11.28,11.9,10.34,38.31,42.52,39.18,38.67,40.120000000000005
9004.07,34.15,30.93,31.66,31.74,28.78,15.17,12.44,12.6,15.13,11.73,49.32,43.37,44.26,46.87,40.510000000000005
9004.08,42.81,43.55,43.44,42.93,39.56,13.37,11.23,10.72,11.31,10.0,56.18,54.78,54.16,54.24,49.56
9004.09,26.02,23.82,22.5,24.67,25.59,19.87,17.65,16.98,15.48,16.35,45.89,41.47,39.480000000000004,40.150000000000006,41.94
9004.10,34.04,36.03,33.73,30.11,31.3,8.17,7.99,5.41,4.56,4.48,42.21,44.02,39.14,34.67,35.78
9005.02,23.07,30.26,33.34,33.69,32.23,12.54,12.8,12.71,6.89,4.94,35.61,43.06,46.050000000000004,40.58,37.169999999999995
9005.03,19.4,26.2,29.74,31.21,35.14,13.75,13.13,12.91,9.28,10.94,33.15,39.33,42.65,40.49,46.08
9005.04,44.63,39.22,41.14,39.96,40.99,14.63,17.74,17.63,16.61,16.07,59.260000000000005,56.959999999999994,58.769999999999996,56.57,57.06
9006.01,26.91,26.61,41.47,39.86,44.29,17.08,11.35,13.77,13.2,10.63,43.989999999999995,37.96,55.239999999999995,53.06,54.92
9006.02,23.37,22.2,27.66,32.99,31.21,7.3,7.78,7.3,9.27,7.8,30.67,29.98,34.96,42.260000000000005,39.01
9007.01,27.94,34.45,24.02,29.67,33.61,10.0,8.84,8.96,8.94,3.92,37.94,43.290000000000006,32.980000000000004,38.61,37.53
9007.02,31.68,32.38,25.12,31.08,33.3,7.9,11.46,9.04,10.66,10.95,39.58,43.84,34.16,41.739999999999995,44.25
9008.01,28.17,29.11,26.71,24.85,22.62,12.47,14.69,14.62,12.9,14.56,40.64,43.8,41.33,37.75,37.18
9008.03,38.27,39.79,37.27,38.46,34.12,11.17,12.48,8.11,9.39,8.36,49.440000000000005,52.269999999999996,45.38,47.85,42.48
9008.04,39.9,32.7,40.8,45.65,41.02,10.23,11.14,9.67,7.01,12.71,50.129999999999995,43.84,50.47,52.66,53.730000000000004
9009.01,27.1,28.74,29.47,39.54,50.11,9.7,10.53,10.51,10.5,11.31,36.8,39.269999999999996,39.98,50.04,61.42
9009.04,42.15,40.67,39.57,35.16,31.14,9.89,8.45,7.24,8.17,8.14,52.04,49.120000000000005,46.81,43.33,39.28
9009.05,31.65,26.3,29.02,26.71,34.49,17.04,12.98,15.9,12.5,15.61,48.69,39.28,44.92,39.21,50.1
9010.05,37.05,35.89,32.23,34.04,33.5,9.63,9.06,5.84,6.36,5.19,46.68,44.95,38.06999999999999,40.4,38.69
9010.09,51.75,47.52,46.58,49.5,38.33,20.06,19.82,17.42,18.29,17.7,71.81,67.34,64.0,67.78999999999999,56.03
9010.10,36.71,32.73,35.7,37.95,31.64,18.91,16.36,16.61,11.97,10.51,55.620000000000005,49.089999999999996,52.31,49.92,42.15
9010.11,23.94,25.85,26.34,29.5,31.76,14.37,13.74,11.6,12.13,10.71,38.31,39.59,37.94,41.63,42.47
