,censustract,total_2024,male_over_64_2024,female_over_64_2024,total_2023,male_over_64_2023,female_over_64_2023,total_2022,male_over_64_2022,female_over_64_2022,total_2021,male_over_64_2021,female_over_64_2021,total_2020,male_over_64_2020,female_over_64_2020,Over64_Proportion_2024,Over64_Proportion_2023,Over64_Proportion_2022,Over64_Proportion_2021,Over64_Proportion_2020
0,9001,3196,376,538,3001,406,489,3234,400,568,3467,424,571,3616,388,517,28.6,29.82,29.93,28.7,25.03
1,9002.01,3117,137,108,3180,163,129,2441,92,84,2338,84,66,2192,97,78,7.86,9.18,7.21,6.42,7.98
2,9002.02,3668,257,164,3520,250,144,4124,204,70,4271,245,108,4254,140,201,11.48,11.19,6.64,8.27,8.02
3,9002.03,5442,158,238,4891,83,124,4589,145,119,4579,88,132,4463,105,142,7.28,4.23,5.75,4.8,5.53
4,9003.01,3750,216,241,3514,136,244,3494,119,192,3442,96,168,3410,80,177,12.19,10.81,8.9,7.67,7.54
5,9003.02,5523,211,357,5032,137,338,5463,102,251,5106,87,211,5443,83,217,10.28,9.44,6.46,5.84,5.51
6,9004.03,6319,282,449,5789,268,417,6107,316,453,6195,262,402,5541,267,496,11.57,11.83,12.59,10.72,13.77
7,9004.04,5607,248,322,5893,229,322,5702,145,317,5652,185,300,5933,179,259,10.17,9.35,8.1,8.58,7.38
8,9004.07,6537,266,398,6916,277,323,7089,331,288,6825,359,344,6670,328,229,10.16,8.68,8.73,10.3,8.35
9,9004.08,5385,202,259,5473,166,231,5334,137,234,5497,130,273,5429,161,202,8.56,7.25,6.96,7.33,6.69
10,9004.09,4670,315,321,4834,289,314,5003,273,336,5170,251,320,5375,266,353,13.62,12.47,12.17,11.04,11.52
11,9004.10,5606,152,170,5588,138,172,5891,129,100,5675,96,96,5886,57,137,5.74,5.55,3.89,3.38,3.3
12,9005.02,4562,180,242,4718,173,249,5112,184,261,5120,82,169,5026,59,122,9.25,8.94,8.71,4.9,3.6
13,9005.03,3350,176,170,3787,214,143,3823,160,186,3768,123,126,3820,156,130,10.33,9.43,9.05,6.61,7.49
14,9005.04,5563,208,303,5459,260,357,5079,245,319,5466,164,416,5406,192,361,9.19,11.3,11.1,10.61,10.23
15,9006.01,3280,223,166,3453,179,105,3620,206,115,3525,220,84,3351,165,65,11.86,8.22,8.87,8.62,6.86
16,9006.02,3757,84,126,3694,119,102,3586,89,105,3989,83,177,3973,60,163,5.59,5.98,5.41,6.52,5.61
17,9007.01,7588,230,320,8102,199,301,7048,187,288,6681,208,223,6764,97,96,7.25,6.17,6.74,6.45,2.85
18,9007.02,8341,173,299,7796,190,431,8311,146,414,7858,140,451,8048,237,374,5.66,7.97,6.74,7.52,7.59
19,9008.01,6990,269,351,7078,327,396,7017,315,411,7057,286,375,7217,229,537,8.87,10.21,10.35,9.37,10.61
20,9008.03,6771,259,247,6127,234,268,5718,52,267,5620,50,307,5182,49,255,7.47,8.19,5.58,6.35,5.87
21,9008.04,5768,138,255,5564,157,274,5694,115,251,5879,87,183,5130,176,248,6.81,7.75,6.43,4.59,8.27
22,9009.01,6123,182,252,6363,212,269,6033,196,257,6185,184,249,6336,199,245,7.09,7.56,7.51,7.0,7.01
23,9009.04,8689,274,291,7498,186,239,6634,136,191,6457,130,238,5957,147,201,6.5,5.67,4.93,5.7,5.84
24,9009.05,6083,340,357,6301,276,311,6152,311,364,6270,292,271,6124,322,315,11.46,9.32,10.97,8.98,10.4
25,9010.05,6960,236,221,6849,239,189,6623,184,96,6583,197,101,6463,123,119,6.57,6.25,4.23,4.53,3.74
26,9010.09,7467,445,427,7328,409,459,7436,353,437,7118,335,441,6973,320,471,11.68,11.84,10.62,10.9,11.34
27,9010.10,4790,282,300,4765,260,263,4906,243,292,4910,191,201,4587,169,170,12.15,10.98,10.91,7.98,7.39
28,9010.11,6564,272,410,6534,310,333,6257,200,326,6073,143,377,6173,137,327,10.39,9.84,8.41,8.56,7.52
29,9010.12,3566,660,866,3668,628,822,3484,659,854,3860,674,875,3596,709,896,42.79,39.53,43.43,40.13,44.63
30,9010.13,3076,86,180,3425,84,202,3349,47,146,3467,39,105,3369,30,113,8.65,8.35,5.76,4.15,4.24
31,9010.14,5094,214,186,5083,212,195,4983,243,203,4844,237,201,4642,236,211,7.85,8.01,8.95,9.04,9.63
32,9010.15,3386,115,34,3561,146,23,3561,78,31,3420,156,26,3270,220,51,4.4,4.75,3.06,5.32,8.29
33,9010.16,5979,145,234,6020,105,222,5428,127,241,5160,109,258,4778,109,179,6.34,5.43,6.78,7.11,6.03
34,9011.01,2612,40,28,2474,28,17,2290,26,25,2348,26,24,2243,28,27,2.6,1.82,2.23,2.13,2.45
35,9011.02,3560,0,0,3347,0,0,3378,0,0,3212,0,0,3106,0,0,0.0,0.0,0.0,0.0,0.0
36,9012.03,3671,361,180,3835,357,168,3536,363,147,3766,393,169,3786,419,214,14.74,13.69,14.42,14.92,16.72
37,9012.08,3407,412,641,3379,371,612,3519,393,600,3441,465,598,3386,402,602,30.91,29.09,28.22,30.89,29.65
38,9012.09,6559,307,659,6605,295,685,6564,262,602,6791,282,498,7239,338,481,14.73,14.84,13.16,11.49,11.31
39,9012.11,4512,232,385,4757,194,287,4792,179,179,4754,240,209,4520,231,199,13.67,10.11,7.47,9.44,9.51
40,9012.12,6641,464,294,7299,352,311,7569,420,380,7849,377,352,8354,308,337,11.41,9.08,10.57,9.29,7.72
41,9012.19,5335,543,578,5376,492,585,5493,505,537,5331,491,531,5467,505,528,21.01,20.03,18.97,19.17,18.9
42,9012.21,6771,315,347,6410,293,413,6449,242,405,6277,192,281,5872,174,370,9.78,11.01,10.03,7.54,9.26
