censustract,Sex ratio (males per 100 females)_2024,Sex ratio (males per 100 females)_2023,Sex ratio (males per 100 females)_2022,Sex ratio (males per 100 females)_2021,Sex ratio (males per 100 females)_2020
9001,89.7,99.0,97.6,107.1,107.5
9002.01,70.2,69.1,81.9,84.5,82.7
9002.02,109.4,119.2,118.1,112.6,109.9
9002.03,67.1,76.8,72.9,74.2,71.7
9003.01,88.3,93.4,94.4,104.9,100.8
9003.02,103.3,94.7,84.9,78.6,80.8
9004.03,89.1,95.9,98.2,89.7,73.9
9004.04,76.0,76.2,79.8,88.6,79.7
9004.07,91.5,95.2,95.9,92.1,103.1
9004.08,117.5,111.3,111.9,109.0,98.4
9004.09,77.0,74.6,86.0,90.6,89.8
9004.10,104.5,92.9,114.6,112.4,116.0
9005.02,82.8,93.2,104.3,97.8,94.5
9005.03,100.2,100.7,84.9,87.8,95.6
9005.04,92.1,84.6,85.7,90.3,78.0
9006.01,132.1,131.4,101.8,108.1,101.9
9006.02,106.4,117.4,123.7,114.2,126.3
9007.01,112.9,110.4,100.0,95.6,95.5
9007.02,92.7,83.3,92.7,80.3,87.4
9008.01,101.3,106.1,109.8,110.7,111.1
9008.03,135.1,112.4,90.9,86.3,71.6
9008.04,76.0,68.1,64.1,79.9,70.6
9009.01,83.6,89.6,89.8,89.0,87.2
9009.04,105.3,112.5,103.7,96.1,102.7
9009.05,117.5,144.2,125.0,117.0,114.3
9010.05,103.2,111.4,100.8,102.3,108.7
9010.09,106.3,98.8,107.2,106.3,111.4
9010.10,92.2,109.4,127.6,129.8,127.6
9010.11,112.8,110.8,109.5,110.4,101.3
9010.12,85.5,82.6,90.9,95.4,99.0
9010.13,102.6,87.9,92.4,82.0,77.9
9010.14,125.6,131.5,122.2,112.2,115.2
9010.15,67.3,69.2,71.1,84.9,89.5
9010.16,103.8,102.3,96.8,104.3,96.1
9011.01,174.9,181.5,184.8,208.5,220.9
9011.02,134.4,145.4,128.7,131.6,146.1
9012.03,143.3,131.7,129.3,125.5,118.3
9012.08,92.9,90.7,91.4,85.2,74.2
9012.09,87.0,93.7,91.0,93.2,83.9
9012.11,86.9,94.3,106.1,102.2,96.9
9012.12,111.2,99.3,109.8,105.1,108.1
9012.19,90.7,92.6,94.2,92.9,94.6
9012.21,84.4,78.6,84.4,77.8,74.3
9012.22,100.2,109.4,97.9,93.6,101.0
9012.23,89.0,97.6,86.8,86.7,89.4
9012.24,95.1,93.5,95.0,91.9,99.0
9012.25,102.8,103.1,120.5,117.8,115.6
9012.26,102.9,103.4,105.4,110.7,116.5
9012.27,119.0,107.3,104.9,111.6,103.2
9012.28,85.0,90.1,95.3,95.9,101.2
9012.29,73.5,79.3,86.0,90.3,105.0
9012.30,114.5,107.2,116.1,111.0,109.0
9012.31,97.2,107.1,103.0,98.8,101.8
9012.32,113.6,120.3,137.7,141.8,137.0
9012.33,106.2,114.6,114.8,118.6,113.4
9012.34,79.8,87.1,91.4,97.8,95.2
9012.35,114.6,116.3,118.8,99.1,100.5
9012.36,79.2,89.0,87.0,95.6,99.2
9012.37,96.5,96.9,76.3,88.8,85.6
9013.03,120.9,119.1,124.7,123.5,115.6
9013.04,140.3,144.9,141.8,130.5,131.2
9013.05,98.1,94.0,97.8,94.9,99.9
9013.06,98.3,100.9,106.3,106.3,104.1
9014.03,141.3,114.2,115.5,102.1,94.1
9014.07,107.3,102.3,108.7,125.2,115.9
9014.09,103.7,99.8,101.5,105.5,106.6
9014.11,87.0,97.6,108.1,106.4,99.9
9014.12,96.9,96.9,92.8,95.5,94.8
9014.13,90.8,96.1,98.7,98.0,106.0
9014.14,112.6,101.0,105.1,94.6,108.1
9014.15,97.8,108.6,103.2,104.9,105.2
9014.16,94.3,94.9,92.2,100.7,89.8
9014.17,96.7,93.8,91.5,93.0,92.6
9014.18,89.0,82.6,81.0,82.1,117.5
9014.19,89.4,73.6,79.9,81.2,91.1
9014.20,101.4,107.7,112.1,134.3,114.7
9014.21,101.1,98.1,113.3,108.7,105.2
9015.03,119.8,110.8,107.3,99.7,86.1
9015.04,75.3,79.4,82.7,87.4,86.0
9015.05,98.5,98.4,102.5,99.6,96.6
9015.06,111.6,116.5,111.7,123.6,113.7
9015.07,110.5,117.2,120.2,112.6,103.1
9015.08,106.2,105.2,108.8,96.5,99.3
9015.09,120.5,117.1,124.8,114.1,100.7
9015.10,101.6,96.4,96.3,100.7,94.1
9015.11,85.7,89.4,89.0,93.4,95.9
9016.01,80.0,78.7,83.2,102.2,95.1
9016.02,126.7,113.8,107.8,86.2,92.6
9017.02,113.0,118.9,98.2,104.5,99.8
9017.03,107.1,104.8,103.2,89.3,90.8
9017.04,120.1,150.0,156.8,144.7,138.2
9019,159.0,119.1,109.2,108.8,114.4
9801,,,,,
