censustract,total_2024,single_parent_2024,total_2023,single_parent_2023,total_2022,single_parent_2022,total_2021,single_parent_2021,total_2020,single_parent_2020,single_parent_rate_2024,single_parent_rate_2023,single_parent_rate_2022,single_parent_rate_2021,single_parent_rate_2020
9001,1019,208,942,207,999,216,1029,229,1019,208,20.41,21.97,21.62,22.25,20.41
9002.01,481,137,758,214,538,199,521,133,481,137,28.48,28.23,36.99,25.53,28.48
9002.02,784,178,793,192,881,268,883,254,784,178,22.7,24.21,30.42,28.77,22.7
9002.03,1020,291,1140,460,1118,383,1071,320,1020,291,28.53,40.35,34.26,29.88,28.53
9003.01,744,134,791,250,833,248,782,139,744,134,18.01,31.61,29.77,17.77,18.01
9003.02,1330,460,1276,486,1420,470,1297,386,1330,460,34.59,38.09,33.1,29.76,34.59
9004.03,1105,199,1298,228,1222,161,1178,130,1105,199,18.01,17.57,13.18,11.04,18.01
9004.04,1256,391,1342,499,1320,480,1286,468,1256,391,31.13,37.18,36.36,36.39,31.13
9004.07,1616,608,1557,629,1558,582,1655,699,1616,608,37.62,40.4,37.36,42.24,37.62
9004.08,1342,331,1356,398,1315,300,1332,339,1342,331,24.66,29.35,22.81,25.45,24.66
9004.09,1176,255,1166,262,1158,217,1144,232,1176,255,21.68,22.47,18.74,20.28,21.68
9004.10,1294,402,1417,503,1394,461,1319,454,1294,402,31.07,35.5,33.07,34.42,31.07
9005.02,1175,255,1147,389,1159,253,1309,310,1175,255,21.7,33.91,21.83,23.68,21.7
9005.03,790,254,819,214,835,274,765,251,790,254,32.15,26.13,32.81,32.81,32.15
9005.04,1048,221,1025,256,1006,346,1083,289,1048,221,21.09,24.98,34.39,26.69,21.09
9006.01,656,171,595,241,594,265,578,259,656,171,26.07,40.5,44.61,44.81,26.07
9006.02,807,315,745,233,752,247,881,250,807,315,39.03,31.28,32.85,28.38,39.03
9007.01,1575,628,1935,583,1806,727,1827,770,1575,628,39.87,30.13,40.25,42.15,39.87
9007.02,1708,555,1638,513,1794,529,1746,581,1708,555,32.49,31.32,29.49,33.28,32.49
9008.01,1727,396,1849,243,1799,240,1797,290,1727,396,22.93,13.14,13.34,16.14,22.93
9008.03,1167,455,1439,627,1354,498,1336,509,1167,455,38.99,43.57,36.78,38.1,38.99
9008.04,1173,331,1363,359,1275,311,1369,330,1173,331,28.22,26.34,24.39,24.11,28.22
9009.01,1272,663,1499,731,1297,619,1341,698,1272,663,52.12,48.77,47.73,52.05,52.12
9009.04,1296,315,1734,504,1533,431,1464,388,1296,315,24.31,29.07,28.11,26.5,24.31
9009.05,1433,262,1470,278,1512,237,1476,213,1433,262,18.28,18.91,15.67,14.43,18.28
9010.05,1736,110,1802,160,1798,140,1811,127,1736,110,6.34,8.88,7.79,7.01,6.34
9010.09,1766,244,1878,164,1887,246,1859,334,1766,244,13.82,8.73,13.04,17.97,13.82
9010.10,1136,108,1230,242,1204,248,1247,195,1136,108,9.51,19.67,20.6,15.64,9.51
9010.11,1525,208,1614,149,1561,241,1538,258,1525,208,13.64,9.23,15.44,16.78,13.64
9010.12,969,118,939,190,950,170,1083,191,969,118,12.18,20.23,17.89,17.64,12.18
