censustract,population_2024,population_2023,population_2022,population_2021,population_2020
9001,"3,196","3,001","3,234","3,467","3,616"
9002.01,"3,117","3,180","2,441","2,338","2,192"
9002.02,"3,668","3,520","4,124","4,271","4,254"
9002.03,"5,442","4,891","4,589","4,579","4,463"
9003.01,"3,750","3,514","3,494","3,442","3,410"
9003.02,"5,523","5,032","5,463","5,106","5,443"
9004.03,"6,319","5,789","6,107","6,195","5,541"
9004.04,"5,607","5,893","5,702","5,652","5,933"
9004.07,"6,537","6,916","7,089","6,825","6,670"
9004.08,"5,385","5,473","5,334","5,497","5,429"
9004.09,"4,670","4,834","5,003","5,170","5,375"
9004.10,"5,606","5,588","5,891","5,675","5,886"
9005.02,"4,562","4,718","5,112","5,120","5,026"
9005.03,"3,350","3,787","3,823","3,768","3,820"
9005.04,"5,563","5,459","5,079","5,466","5,406"
9006.01,"3,280","3,453","3,620","3,525","3,351"
9006.02,"3,757","3,694","3,586","3,989","3,973"
9007.01,"7,588","8,102","7,048","6,681","6,764"
9007.02,"8,341","7,796","8,311","7,858","8,048"
9008.01,"6,990","7,078","7,017","7,057","7,217"
9008.03,"6,771","6,127","5,718","5,620","5,182"
9008.04,"5,768","5,564","5,694","5,879","5,130"
9009.01,"6,123","6,363","6,033","6,185","6,336"
9009.04,"8,689","7,498","6,634","6,457","5,957"
9009.05,"6,083","6,301","6,152","6,270","6,124"
9010.05,"6,960","6,849","6,623","6,583","6,463"
9010.09,"7,467","7,328","7,436","7,118","6,973"
9010.10,"4,790","4,765","4,906","4,910","4,587"
9010.11,"6,564","6,534","6,257","6,073","6,173"
9010.12,"3,566","3,668","3,484","3,860","3,596"
9010.13,"3,076","3,425","3,349","3,467","3,369"
9010.14,"5,094","5,083","4,983","4,844","4,642"
9010.15,"3,386","3,561","3,561","3,420","3,270"
9010.16,"5,979","6,020","5,428","5,160","4,778"
9011.01,"2,612","2,474","2,290","2,348","2,243"
9011.02,"3,560","3,347","3,378","3,212","3,106"
9012.03,"3,671","3,835","3,536","3,766","3,786"
9012.08,"3,407","3,379","3,519","3,441","3,386"
9012.09,"6,559","6,605","6,564","6,791","7,239"
9012.11,"4,512","4,757","4,792","4,754","4,520"
9012.12,"6,641","7,299","7,569","7,849","8,354"
9012.19,"5,335","5,376","5,493","5,331","5,467"
9012.21,"6,771","6,410","6,449","6,277","5,872"
9012.22,"2,567","2,553","2,624","2,565","2,657"
9012.23,"6,304","6,300","6,194","6,197","6,283"
9012.24,"4,401","4,352","4,276","4,355","4,794"
9012.25,"4,771","4,968","4,961","5,096","5,210"
9012.26,"6,258","6,355","6,384","6,520","6,352"
9012.27,"5,679","6,181","6,079","5,825","5,063"
9012.28,"6,141","6,474","6,578","6,346","5,818"
9012.29,"4,500","4,706","4,766","4,894","4,848"
9012.30,"4,159","4,025","4,116","4,032","4,009"
9012.31,"7,405","6,580","6,456","6,048","6,057"
9012.32,"6,564","6,293","6,141","5,969","5,555"
9012.33,"7,514","7,242","6,851","6,851","6,555"
9012.34,"3,576","3,193","2,986","3,046","2,948"
9012.35,"2,932","2,875","3,004","3,033","2,983"
9012.36,"6,711","6,762","6,419","6,453","6,054"
9012.37,"3,138","3,079","2,982","3,165","2,933"
9013.03,"5,264","5,242","5,165","4,933","4,682"
9013.04,"3,172","3,181","3,235","3,121","2,987"
9013.05,"4,670","3,944","4,070","3,680","3,581"
9013.06,"5,417","5,068","5,259","5,266","4,903"
9014.03,"7,455","7,489","7,258","7,684","6,933"
9014.07,"4,160","4,207","4,385","4,220","4,276"
9014.09,"9,064","9,185","9,046","8,770","8,290"
9014.11,"6,049","5,901","6,030","6,137","5,948"
9014.12,"6,825","7,645","7,753","7,671","7,444"
9014.13,"4,625","4,321","4,425","4,254","4,218"
9014.14,"5,400","5,453","5,466","5,242","5,183"
9014.15,"4,689","4,498","4,403","4,526","4,433"
9014.16,"5,248","5,129","5,143","4,982","5,086"
9014.17,"3,134","3,054","2,914","2,666","2,535"
9014.18,"5,331","4,338","4,256","3,885","4,060"
9014.19,"3,985","3,801","3,837","4,076","4,257"
9014.20,"3,923","4,184","4,328","4,273","4,495"
9014.21,"5,497","5,336","5,416","5,248","4,733"
9015.03,"5,695","5,509","5,327","5,351","5,320"
9015.04,"4,892","4,897","4,756","4,464","4,433"
9015.05,"7,574","7,208","7,237","7,555","7,301"
9015.06,"6,590","6,803","7,010","7,071","7,081"
9015.07,"2,978","2,954","2,874","2,815","2,827"
9015.08,"6,261","6,035","5,770","5,898","5,847"
9015.09,"8,086","7,915","7,727","7,478","6,899"
9015.10,"6,049","6,380","6,476","6,383","5,997"
9015.11,"4,469","4,515","4,381","4,221","3,978"
9016.01,"4,367","3,651","4,688","4,146","3,973"
9016.02,"7,650","7,912","8,377","7,986","8,098"
9017.02,"4,831","4,815","4,641","4,455","4,356"
9017.03,"2,750","2,574","2,418","2,770","2,518"
9017.04,"7,269","7,116","6,582","7,151","6,971"
9019,"7,256","8,141","7,729","7,155","6,702"
9801,0,0,0,0,0
