censustract,total_2024,male_under_5_2024,female_under_5_2024,total_2023,male_under_5_2023,female_under_5_2023,total_2022,male_under_5_2022,female_under_5_2022,total_2021,male_under_5_2021,female_under_5_2021,total_2020,male_under_5_2020,female_under_5_2020,Under5_Proportion_2024,Under5_Proportion_2023,Under5_Proportion_2022,Under5_Proportion_2021,Under5_Proportion_2020
9001,3196,47,103,3001,59,82,3234,92,93,3467,189,82,3616,153,53,4.69,4.7,5.72,7.82,5.7
9002.01,3117,50,87,3180,39,86,2441,46,33,2338,73,58,2192,40,25,4.4,3.93,3.24,5.6,2.97
9002.02,3668,83,112,3520,70,98,4124,38,131,4271,110,152,4254,142,192,5.32,4.77,4.1,6.13,7.85
9002.03,5442,156,355,4891,175,287,4589,171,266,4579,94,256,4463,46,245,9.39,9.45,9.52,7.64,6.52
9003.01,3750,48,134,3514,58,77,3494,52,117,3442,59,93,3410,68,73,4.85,3.84,4.84,4.42,4.13
9003.02,5523,159,132,5032,165,139,5463,177,86,5106,133,137,5443,201,218,5.27,6.04,4.81,5.29,7.7
9004.03,6319,264,589,5789,250,403,6107,280,497,6195,232,529,5541,137,488,13.5,11.28,12.72,12.28,11.28
9004.04,5607,29,299,5893,130,221,5702,149,148,5652,174,106,5933,187,184,5.85,5.96,5.21,4.95,6.25
9004.07,6537,279,243,6916,321,326,7089,370,324,6825,335,267,6670,358,145,7.99,9.36,9.79,8.82,7.54
9004.08,5385,434,187,5473,417,244,5334,429,275,5497,407,289,5429,310,301,11.53,12.08,13.2,12.66,11.25
9004.09,4670,22,197,4834,25,134,5003,18,132,5170,55,24,5375,145,54,4.69,3.29,3.0,1.53,3.7
9004.10,5606,154,360,5588,191,512,5891,224,414,5675,156,337,5886,201,306,9.17,12.58,10.83,8.69,8.61
9005.02,4562,103,107,4718,150,124,5112,234,154,5120,200,204,5026,187,215,4.6,5.81,7.59,7.89,8.0
9005.03,3350,90,37,3787,183,39,3823,269,83,3768,213,71,3820,231,118,3.79,5.86,9.21,7.54,9.14
9005.04,5563,121,0,5459,129,129,5079,159,95,5466,172,133,5406,96,218,2.18,4.73,5.0,5.58,5.81
9006.01,3280,205,0,3453,256,173,3620,245,140,3525,203,131,3351,240,178,6.25,12.42,10.64,9.48,12.47
9006.02,3757,121,225,3694,141,194,3586,114,164,3989,156,208,3973,206,140,9.21,9.07,7.75,9.13,8.71
9007.01,7588,382,221,8102,323,320,7048,211,361,6681,230,394,6764,375,499,7.95,7.94,8.12,9.34,12.92
9007.02,8341,78,404,7796,92,473,8311,61,407,7858,200,529,8048,260,468,5.78,7.25,5.63,9.28,9.05
9008.01,6990,452,125,7078,419,92,7017,325,151,7057,310,164,7217,216,166,8.25,7.22,6.78,6.72,5.29
9008.03,6771,152,177,6127,156,195,5718,150,172,5620,205,194,5182,158,190,4.86,5.73,5.63,7.1,6.72
9008.04,5768,224,185,5564,135,157,5694,295,265,5879,370,298,5130,239,158,7.09,5.25,9.83,11.36,7.74
9009.01,6123,271,498,6363,270,436,6033,182,129,6185,139,221,6336,191,241,12.56,11.1,5.15,5.82,6.82
9009.04,8689,196,221,7498,201,243,6634,104,254,6457,166,215,5957,96,181,4.8,5.92,5.4,5.9,4.65
9009.05,6083,258,183,6301,276,126,6152,315,196,6270,343,207,6124,360,234,7.25,6.38,8.31,8.77,9.7
9010.05,6960,293,95,6849,271,71,6623,249,130,6583,282,184,6463,207,127,5.57,4.99,5.72,7.08,5.17
9010.09,7467,320,256,7328,259,303,7436,247,273,7118,182,171,6973,124,163,7.71,7.67,6.99,4.96,4.12
9010.10,4790,241,240,4765,271,242,4906,283,241,4910,410,170,4587,355,127,10.04,10.77,10.68,11.81,10.51
9010.11,6564,270,211,6534,278,204,6257,331,151,6073,296,148,6173,247,231,7.33,7.38,7.7,7.31,7.74
9010.12,3566,105,56,3668,184,96,3484,188,36,3860,235,64,3596,177,79,4.51,7.63,6.43,7.75,7.12
9010.13,3076,107,209,3425,148,213,3349,125,71,3467,104,52,3369,95,108,10.27,10.54,5.85,4.5,6.03
9010.14,5094,418,37,5083,405,36,4983,382,63,4844,362,87,4642,322,70,8.93,8.68,8.93,9.27,8.44
9010.15,3386,112,223,3561,104,269,3561,113,327,3420,145,219,3270,136,175,9.89,10.47,12.36,10.64,9.51
9010.16,5979,237,166,6020,242,174,5428,230,138,5160,205,73,4778,226,120,6.74,6.91,6.78,5.39,7.24
9011.01,2612,130,106,2474,84,77,2290,84,46,2348,55,39,2243,61,34,9.04,6.51,5.68,4.0,4.24
9011.02,3560,321,328,3347,280,212,3378,264,324,3212,211,240,3106,195,279,18.23,14.7,17.41,14.04,15.26
9012.03,3671,106,175,3835,79,161,3536,99,152,3766,90,169,3786,96,112,7.65,6.26,7.1,6.88,5.49
