"Label (Grouping)","Census Tract 9001; Prince William County; Virginia!!Estimate","Census Tract 9001; Prince William County; Virginia!!Margin of Error","Census Tract 9002.01; Prince William County; Virginia!!Estimate","Census Tract 9002.01; Prince William County; Virginia!!Margin of Error","Census Tract 9002.02; Prince William County; Virginia!!Estimate","Census Tract 9002.02; Prince William County; Virginia!!Margin of Error","Census Tract 9002.03; Prince William County; Virginia!!Estimate","Census Tract 9002.03; Prince William County; Virginia!!Margin of Error","Census Tract 9003.01; Prince William County; Virginia!!Estimate","Census Tract 9003.01; Prince William County; Virginia!!Margin of Error","Census Tract 9003.02; Prince William County; Virginia!!Estimate","Census Tract 9003.02; Prince William County; Virginia!!Margin of Error","Census Tract 9004.03; Prince William County; Virginia!!Estimate","Census Tract 9004.03; Prince William County; Virginia!!Margin of Error","Census Tract 9004.04; Prince William County; Virginia!!Estimate","Census Tract 9004.04; Prince William County; Virginia!!Margin of Error","Census Tract 9004.07; Prince William County; Virginia!!Estimate","Census Tract 9004.07; Prince William County; Virginia!!Margin of Error","Census Tract 9004.08; Prince William County; Virginia!!Estimate","Census Tract 9004.08; Prince William County; Virginia!!Margin of Error","Census Tract 9004.09; Prince William County; Virginia!!Estimate","Census Tract 9004.09; Prince William County; Virginia!!Margin of Error","Census Tract 9004.10; Prince William County; Virginia!!Estimate","Census Tract 9004.10; Prince William County; Virginia!!Margin of Error","Census Tract 9005.02; Prince William County; Virginia!!Estimate","Census Tract 9005.02; Prince William County; Virginia!!Margin of Error","Census Tract 9005.03; Prince William County; Virginia!!Estimate","Census Tract 9005.03; Prince William County; Virginia!!Margin of Error","Census Tract 9005.04; Prince William County; Virginia!!Estimate","Census Tract 9005.04; Prince William County; Virginia!!Margin of Error","Census Tract 9006.01; Prince William County; Virginia!!Estimate","Census Tract 9006.01; Prince William County; Virginia!!Margin of Error","Census Tract 9006.02; Prince William County; Virginia!!Estimate","Census Tract 9006.02; Prince William County; Virginia!!Margin of Error","Census Tract 9007.01; Prince William County; Virginia!!Estimate","Census Tract 9007.01; Prince William County; Virginia!!Margin of Error","Census Tract 9007.02; Prince William County; Virginia!!Estimate","Census Tract 9007.02; Prince William County; Virginia!!Margin of Error","Census Tract 9008.01; Prince William County; Virginia!!Estimate","Census Tract 9008.01; Prince William County; Virginia!!Margin of Error","Census Tract 9008.03; Prince William County; Virginia!!Estimate","Census Tract 9008.03; Prince William County; Virginia!!Margin of Error","Census Tract 9008.04; Prince William County; Virginia!!Estimate","Census Tract 9008.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.01; Prince William County; Virginia!!Estimate","Census Tract 9009.01; Prince William County; Virginia!!Margin of Error","Census Tract 9009.04; Prince William County; Virginia!!Estimate","Census Tract 9009.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.05; Prince William County; Virginia!!Estimate","Census Tract 9009.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.05; Prince William County; Virginia!!Estimate","Census Tract 9010.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.09; Prince William County; Virginia!!Estimate","Census Tract 9010.09; Prince William County; Virginia!!Margin of Error","Census Tract 9010.10; Prince William County; Virginia!!Estimate","Census Tract 9010.10; Prince William County; Virginia!!Margin of Error","Census Tract 9010.11; Prince William County; Virginia!!Estimate","Census Tract 9010.11; Prince William County; Virginia!!Margin of Error","Census Tract 9010.12; Prince William County; Virginia!!Estimate","Census Tract 9010.12; Prince William County; Virginia!!Margin of Error","Census Tract 9010.13; Prince William County; Virginia!!Estimate","Census Tract 9010.13; Prince William County; Virginia!!Margin of Error","Census Tract 9010.14; Prince William County; Virginia!!Estimate","Census Tract 9010.14; Prince William County; Virginia!!Margin of Error","Census Tract 9010.15; Prince William County; Virginia!!Estimate","Census Tract 9010.15; Prince William County; Virginia!!Margin of Error","Census Tract 9010.16; Prince William County; Virginia!!Estimate","Census Tract 9010.16; Prince William County; Virginia!!Margin of Error","Census Tract 9011.01; Prince William County; Virginia!!Estimate","Census Tract 9011.01; Prince William County; Virginia!!Margin of Error","Census Tract 9011.02; Prince William County; Virginia!!Estimate","Census Tract 9011.02; Prince William County; Virginia!!Margin of Error","Census Tract 9012.03; Prince William County; Virginia!!Estimate","Census Tract 9012.03; Prince William County; Virginia!!Margin of Error","Census Tract 9012.08; Prince William County; Virginia!!Estimate","Census Tract 9012.08; Prince William County; Virginia!!Margin of Error","Census Tract 9012.09; Prince William County; Virginia!!Estimate","Census Tract 9012.09; Prince William County; Virginia!!Margin of Error","Census Tract 9012.11; Prince William County; Virginia!!Estimate","Census Tract 9012.11; Prince William County; Virginia!!Margin of Error","Census Tract 9012.12; Prince William County; Virginia!!Estimate","Census Tract 9012.12; Prince William County; Virginia!!Margin of Error","Census Tract 9012.19; Prince William County; Virginia!!Estimate","Census Tract 9012.19; Prince William County; Virginia!!Margin of Error","Census Tract 9012.21; Prince William County; Virginia!!Estimate","Census Tract 9012.21; Prince William County; Virginia!!Margin of Error","Census Tract 9012.22; Prince William County; Virginia!!Estimate","Census Tract 9012.22; Prince William County; Virginia!!Margin of Error","Census Tract 9012.23; Prince William County; Virginia!!Estimate","Census Tract 9012.23; Prince William County; Virginia!!Margin of Error","Census Tract 9012.24; Prince William County; Virginia!!Estimate","Census Tract 9012.24; Prince William County; Virginia!!Margin of Error","Census Tract 9012.25; Prince William County; Virginia!!Estimate","Census Tract 9012.25; Prince William County; Virginia!!Margin of Error","Census Tract 9012.26; Prince William County; Virginia!!Estimate","Census Tract 9012.26; Prince William County; Virginia!!Margin of Error","Census Tract 9012.27; Prince William County; Virginia!!Estimate","Census Tract 9012.27; Prince William County; Virginia!!Margin of Error","Census Tract 9012.28; Prince William County; Virginia!!Estimate","Census Tract 9012.28; Prince William County; Virginia!!Margin of Error","Census Tract 9012.29; Prince William County; Virginia!!Estimate","Census Tract 9012.29; Prince William County; Virginia!!Margin of Error","Census Tract 9012.30; Prince William County; Virginia!!Estimate","Census Tract 9012.30; Prince William County; Virginia!!Margin of Error","Census Tract 9012.31; Prince William County; Virginia!!Estimate","Census Tract 9012.31; Prince William County; Virginia!!Margin of Error","Census Tract 9012.32; Prince William County; Virginia!!Estimate","Census Tract 9012.32; Prince William County; Virginia!!Margin of Error","Census Tract 9012.33; Prince William County; Virginia!!Estimate","Census Tract 9012.33; Prince William County; Virginia!!Margin of Error","Census Tract 9012.34; Prince William County; Virginia!!Estimate","Census Tract 9012.34; Prince William County; Virginia!!Margin of Error","Census Tract 9012.35; Prince William County; Virginia!!Estimate","Census Tract 9012.35; Prince William County; Virginia!!Margin of Error","Census Tract 9012.36; Prince William County; Virginia!!Estimate","Census Tract 9012.36; Prince William County; Virginia!!Margin of Error","Census Tract 9012.37; Prince William County; Virginia!!Estimate","Census Tract 9012.37; Prince William County; Virginia!!Margin of Error","Census Tract 9013.03; Prince William County; Virginia!!Estimate","Census Tract 9013.03; Prince William County; Virginia!!Margin of Error","Census Tract 9013.04; Prince William County; Virginia!!Estimate","Census Tract 9013.04; Prince William County; Virginia!!Margin of Error","Census Tract 9013.05; Prince William County; Virginia!!Estimate","Census Tract 9013.05; Prince William County; Virginia!!Margin of Error","Census Tract 9013.06; Prince William County; Virginia!!Estimate","Census Tract 9013.06; Prince William County; Virginia!!Margin of Error","Census Tract 9014.03; Prince William County; Virginia!!Estimate","Census Tract 9014.03; Prince William County; Virginia!!Margin of Error","Census Tract 9014.07; Prince William County; Virginia!!Estimate","Census Tract 9014.07; Prince William County; Virginia!!Margin of Error","Census Tract 9014.09; Prince William County; Virginia!!Estimate","Census Tract 9014.09; Prince William County; Virginia!!Margin of Error","Census Tract 9014.11; Prince William County; Virginia!!Estimate","Census Tract 9014.11; Prince William County; Virginia!!Margin of Error","Census Tract 9014.12; Prince William County; Virginia!!Estimate","Census Tract 9014.12; Prince William County; Virginia!!Margin of Error","Census Tract 9014.13; Prince William County; Virginia!!Estimate","Census Tract 9014.13; Prince William County; Virginia!!Margin of Error","Census Tract 9014.14; Prince William County; Virginia!!Estimate","Census Tract 9014.14; Prince William County; Virginia!!Margin of Error","Census Tract 9014.15; Prince William County; Virginia!!Estimate","Census Tract 9014.15; Prince William County; Virginia!!Margin of Error","Census Tract 9014.16; Prince William County; Virginia!!Estimate","Census Tract 9014.16; Prince William County; Virginia!!Margin of Error","Census Tract 9014.17; Prince William County; Virginia!!Estimate","Census Tract 9014.17; Prince William County; Virginia!!Margin of Error","Census Tract 9014.18; Prince William County; Virginia!!Estimate","Census Tract 9014.18; Prince William County; Virginia!!Margin of Error","Census Tract 9014.19; Prince William County; Virginia!!Estimate","Census Tract 9014.19; Prince William County; Virginia!!Margin of Error","Census Tract 9014.20; Prince William County; Virginia!!Estimate","Census Tract 9014.20; Prince William County; Virginia!!Margin of Error","Census Tract 9014.21; Prince William County; Virginia!!Estimate","Census Tract 9014.21; Prince William County; Virginia!!Margin of Error","Census Tract 9015.03; Prince William County; Virginia!!Estimate","Census Tract 9015.03; Prince William County; Virginia!!Margin of Error","Census Tract 9015.04; Prince William County; Virginia!!Estimate","Census Tract 9015.04; Prince William County; Virginia!!Margin of Error","Census Tract 9015.05; Prince William County; Virginia!!Estimate","Census Tract 9015.05; Prince William County; Virginia!!Margin of Error","Census Tract 9015.06; Prince William County; Virginia!!Estimate","Census Tract 9015.06; Prince William County; Virginia!!Margin of Error","Census Tract 9015.07; Prince William County; Virginia!!Estimate","Census Tract 9015.07; Prince William County; Virginia!!Margin of Error","Census Tract 9015.08; Prince William County; Virginia!!Estimate","Census Tract 9015.08; Prince William County; Virginia!!Margin of Error","Census Tract 9015.09; Prince William County; Virginia!!Estimate","Census Tract 9015.09; Prince William County; Virginia!!Margin of Error","Census Tract 9015.10; Prince William County; Virginia!!Estimate","Census Tract 9015.10; Prince William County; Virginia!!Margin of Error","Census Tract 9015.11; Prince William County; Virginia!!Estimate","Census Tract 9015.11; Prince William County; Virginia!!Margin of Error","Census Tract 9016.01; Prince William County; Virginia!!Estimate","Census Tract 9016.01; Prince William County; Virginia!!Margin of Error","Census Tract 9016.02; Prince William County; Virginia!!Estimate","Census Tract 9016.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.02; Prince William County; Virginia!!Estimate","Census Tract 9017.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.03; Prince William County; Virginia!!Estimate","Census Tract 9017.03; Prince William County; Virginia!!Margin of Error","Census Tract 9017.04; Prince William County; Virginia!!Estimate","Census Tract 9017.04; Prince William County; Virginia!!Margin of Error","Census Tract 9019; Prince William County; Virginia!!Estimate","Census Tract 9019; Prince William County; Virginia!!Margin of Error","Census Tract 9801; Prince William County; Virginia!!Estimate","Census Tract 9801; Prince William County; Virginia!!Margin of Error"
"Total:","3,001","±421","3,180","±465","3,520","±908","4,891","±852","3,514","±438","5,032","±826","5,789","±766","5,893","±693","6,916","±726","5,473","±977","4,834","±566","5,588","±871","4,718","±739","3,787","±661","5,459","±1,554","3,453","±386","3,694","±632","8,102","±1,007","7,796","±1,520","7,078","±678","6,127","±757","5,564","±676","6,363","±586","7,498","±873","6,301","±884","6,849","±787","7,328","±726","4,765","±823","6,534","±690","3,668","±383","3,425","±501","5,083","±1,041","3,561","±423","6,020","±895","2,474","±293","3,347","±374","3,835","±654","3,379","±323","6,605","±664","4,757","±482","7,299","±983","5,376","±612","6,410","±1,304","2,553","±237","6,300","±644","4,352","±526","4,968","±901","6,355","±624","6,181","±941","6,474","±473","4,706","±960","4,025","±417","6,580","±726","6,293","±690","7,242","±696","3,193","±364","2,875","±334","6,762","±548","3,079","±285","5,242","±744","3,181","±423","3,944","±552","5,068","±379","7,489","±1,216","4,207","±534","9,185","±1,107","5,901","±396","7,645","±877","4,321","±434","5,453","±651","4,498","±742","5,129","±1,244","3,054","±307","4,338","±973","3,801","±618","4,184","±513","5,336","±1,165","5,509","±434","4,897","±635","7,208","±817","6,803","±1,525","2,954","±284","6,035","±588","7,915","±1,171","6,380","±544","4,515","±326","3,651","±736","7,912","±1,147","4,815","±819","2,574","±353","7,116","±1,393","8,141","±1,029","0","±13"
"    White alone","1,845","±388","1,230","±389","1,271","±526","532","±310","1,961","±474","1,985","±469","1,847","±547","1,672","±496","1,283","±435","2,114","±535","1,455","±397","748","±223","1,541","±428","886","±510","2,386","±1,178","1,642","±914","1,032","±396","1,387","±424","2,254","±834","2,014","±510","1,090","±487","1,642","±495","1,511","±544","1,967","±626","1,591","±462","3,811","±478","3,871","±650","2,995","±786","2,150","±421","2,278","±370","982","±331","1,727","±477","387","±182","1,445","±470","1,198","±202","2,519","±372","1,860","±691","1,939","±365","2,414","±449","1,563","±626","2,086","±598","3,910","±696","2,956","±802","1,398","±282","2,792","±401","2,496","±369","2,299","±956","2,175","±568","2,012","±743","2,078","±500","1,766","±639","1,411","±338","4,320","±595","3,801","±550","5,376","±780","2,009","±330","1,550","±347","3,457","±584","1,768","±303","2,999","±557","2,308","±371","2,756","±546","4,181","±343","4,336","±1,340","1,447","±392","4,507","±740","3,759","±354","4,810","±806","2,537","±355","4,035","±616","3,035","±650","3,485","±1,231","2,339","±366","1,184","±421","1,644","±587","2,540","±440","3,338","±1,141","4,525","±477","3,466","±419","4,911","±883","2,570","±814","1,661","±216","2,815","±380","5,226","±1,042","4,277","±504","3,856","±363","1,754","±638","3,911","±1,318","1,931","±622","962","±310","4,516","±1,345","4,644","±1,328","0","±13"
"    Black or African American alone","388","±85","599","±307","481","±242","2,213","±760","735","±298","1,349","±410","1,512","±424","735","±334","2,391","±528","1,406","±396","1,324","±451","3,153","±740","2,199","±569","690","±323","484","±129","417","±117","1,401","±660","3,585","±848","1,525","±509","3,027","±512","3,116","±667","2,938","±581","2,189","±491","3,233","±799","3,031","±846","1,053","±270","1,079","±464","631","±296","2,109","±636","836","±388","1,516","±387","987","±494","2,548","±486","1,867","±541","311","±168","250","±130","572","±284","706","±342","1,284","±398","662","±222","1,630","±324","397","±108","2,217","±1,045","372","±84","1,137","±439","458","±110","1,045","±304","1,502","±458","1,130","±295","1,136","±229","1,424","±544","1,000","±239","685","±175","1,047","±129","376","±196","305","±51","577","±206","1,567","±238","612","±220","500","±267","116","±94","238","±229","300","±222","1,052","±625","939","±238","2,531","±1,016","343","±123","688","±234","218","±103","534","±242","352","±89","409","±154","227","±107","1,328","±871","705","±330","644","±310","753","±321","160","±93","716","±467","581","±302","1,570","±895","294","±128","1,071","±442","1,246","±690","395","±179","181","±166","94","±81","906","±347","49","±47","130","±137","528","±164","580","±338","0","±13"
"    American Indian and Alaska Native alone","0","±13","142","±151","14","±23","0","±13","0","±13","7","±19","38","±39","40","±51","59","±101","12","±25","0","±13","0","±19","3","±5","0","±13","8","±14","15","±20","186","±226","0","±19","0","±19","0","±19","11","±19","153","±167","62","±91","72","±114","135","±165","0","±19","114","±99","0","±13","0","±19","0","±13","40","±90","0","±19","39","±49","106","±186","33","±26","19","±33","8","±21","0","±13","49","±86","142","±159","461","±517","0","±19","49","±53","24","±28","100","±133","0","±13","63","±103","140","±128","119","±130","0","±19","0","±13","14","±23","59","±100","0","±19","0","±19","6","±10","0","±13","0","±19","13","±9","0","±19","0","±13","0","±13","62","±59","17","±30","0","±13","59","±90","26","±41","48","±81","18","±22","0","±19","0","±13","56","±58","6","±9","0","±13","0","±13","0","±13","0","±19","12","±20","0","±13","0","±19","13","±24","0","±13","28","±44","0","±19","0","±19","0","±13","50","±79","0","±19","54","±95","4","±8","7","±11","34","±48","0","±13"
"    Asian alone","342","±149","98","±57","115","±77","329","±350","442","±205","463","±232","983","±476","410","±205","701","±294","451","±181","741","±298","470","±216","151","±79","475","±256","173","±199","179","±172","499","±342","503","±235","1,090","±623","667","±158","531","±264","259","±186","92","±101","1,515","±715","423","±151","593","±201","630","±359","284","±156","1,170","±417","128","±89","409","±301","1,141","±868","245","±181","718","±290","379","±248","45","±40","252","±176","86","±71","961","±472","664","±345","598","±224","346","±154","502","±243","113","±60","772","±505","282","±77","609","±171","1,155","±345","575","±259","695","±236","431","±141","583","±246","551","±111","439","±100","495","±316","91","±82","305","±159","546","±321","363","±262","375","±199","212","±137","86","±63","100","±73","859","±489","745","±261","1,090","±403","828","±181","830","±313","688","±250","374","±107","433","±158","510","±99","143","±114","425","±300","274","±134","602","±158","751","±187","180","±96","423","±199","1,174","±382","1,289","±254","360","±134","1,293","±451","425","±217","821","±359","208","±93","399","±249","622","±350","98","±105","152","±135","864","±410","691","±275","0","±13"
"    Native Hawaiian and Other Pacific Islander alone","0","±13","0","±13","20","±31","0","±13","0","±13","0","±19","0","±19","0","±19","0","±19","0","±19","0","±13","0","±19","0","±13","0","±13","0","±19","0","±13","0","±13","0","±19","65","±72","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±13","0","±19","0","±13","0","±13","0","±19","0","±13","16","±30","12","±22","0","±13","134","±143","0","±13","0","±19","0","±13","0","±19","0","±19","0","±19","0","±13","0","±19","8","±11","0","±13","31","±63","0","±19","18","±21","0","±13","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","0","±19","40","±77","0","±19","0","±13","0","±13","0","±19","0","±19","0","±13","0","±19","0","±19","0","±19","0","±13","0","±19","0","±13","0","±19","0","±13","0","±13","0","±13","0","±13","0","±19","20","±36","0","±13","0","±19","0","±19","0","±13","11","±41","0","±19","0","±19","0","±13","0","±13","0","±19","0","±13","0","±13","0","±19","0","±19","0","±13"
"    Some Other Race alone","75","±63","923","±545","551","±429","834","±554","102","±62","944","±636","542","±291","1,494","±559","1,719","±612","836","±726","857","±459","344","±221","280","±264","1,337","±723","875","±633","913","±663","449","±357","1,367","±830","1,763","±1,077","808","±457","934","±398","143","±126","1,440","±739","140","±131","247","±256","210","±217","469","±322","67","±60","632","±403","52","±80","110","±86","352","±249","90","±102","556","±282","28","±30","121","±108","379","±381","204","±176","984","±580","605","±323","1,660","±913","144","±129","117","±135","287","±181","1,044","±608","459","±358","460","±354","528","±235","1,187","±449","1,145","±544","679","±395","519","±194","306","±344","98","±94","160","±107","212","±212","170","±136","225","±150","49","±92","345","±235","126","±94","576","±316","188","±196","584","±436","198","±162","112","±128","39","±80","385","±208","204","±194","28","±30","216","±122","135","±148","93","±115","289","±228","263","±256","40","±86","139","±113","30","±31","164","±261","51","±112","110","±109","262","±151","163","±144","214","±285","78","±107","22","±25","494","±390","654","±508","1,189","±530","854","±428","437","±263","572","±427","0","±13"
"    Two or More Races:","351","±145","188","±125","1,068","±591","983","±568","274","±147","284","±162","867","±374","1,542","±650","763","±397","654","±373","457","±246","873","±420","544","±226","399","±409","1,533","±862","287","±206","127","±191","1,260","±626","1,099","±489","562","±284","445","±235","429","±200","1,069","±578","571","±244","874","±332","1,182","±663","1,165","±519","788","±299","473","±278","374","±177","368","±245","876","±447","252","±179","1,312","±777","513","±186","393","±141","630","±314","444","±212","913","±370","1,121","±440","864","±370","579","±249","569","±298","359","±138","455","±248","649","±354","492","±247","824","±353","1,158","±793","1,402","±447","406","±240","498","±198","659","±290","908","±487","835","±272","570","±242","273","±122","967","±336","234","±161","1,023","±595","419","±206","288","±169","237","±105","641","±472","878","±362","886","±380","906","±242","884","±292","656","±268","482","±253","462","±246","534","±174","246","±132","1,112","±672","915","±418","358","±187","355","±216","582","±233","128","±94","491","±234","1,251","±832","377","±89","654","±286","804","±350","809","±376","248","±134","860","±389","1,819","±870","1,494","±699","472","±377","764","±471","1,620","±716","0","±13"
"        Two races including Some Other Race","218","±112","74","±78","1,053","±594","673","±510","210","±147","70","±91","675","±343","1,264","±607","289","±192","407","±340","221","±189","223","±212","225","±127","323","±409","1,309","±660","250","±196","127","±191","600","±412","374","±341","244","±221","263","±212","106","±123","567","±429","246","±158","388","±210","722","±558","313","±266","415","±227","311","±253","90","±70","232","±181","541","±503","59","±81","1,047","±767","302","±165","170","±111","315","±226","132","±151","655","±334","762","±420","402","±281","282","±208","231","±188","175","±102","76","±65","383","±355","250","±159","436","±288","977","±789","976","±356","96","±71","206","±151","124","±107","592","±442","529","±231","268","±182","59","±58","525","±260","115","±134","833","±574","192","±134","134","±111","117","±55","454","±448","501","±344","340","±243","287","±238","248","±82","346","±232","182","±134","194","±180","420","±159","55","±59","1,001","±668","663","±407","208","±133","286","±203","358","±209","63","±63","59","±54","935","±787","179","±77","322","±218","332","±220","454","±358","114","±109","776","±401","1,785","±867","1,457","±684","461","±373","448","±402","804","±519","0","±13"
"        Two races excluding Some Other Race, and three or more races","133","±99","114","±94","15","±24","310","±248","64","±48","214","±137","192","±164","278","±174","474","±373","247","±176","236","±148","650","±380","319","±216","76","±74","224","±288","37","±59","0","±13","660","±387","725","±336","318","±164","182","±134","323","±189","502","±393","325","±187","486","±253","460","±339","852","±479","373","±184","162","±133","284","±144","136","±140","335","±220","193","±162","265","±169","211","±99","223","±89","315","±202","312","±199","258","±139","359","±161","462","±287","297","±182","338","±207","184","±80","379","±224","266","±156","242","±167","388","±179","181","±136","426","±195","310","±218","292","±156","535","±256","316","±150","306","±199","302","±146","214","±108","442","±226","119","±72","190","±152","227","±145","154","±105","120","±78","187","±139","377","±156","546","±346","619","±304","636","±281","310","±144","300","±186","268","±195","114","±78","191","±118","111","±73","252","±193","150","±141","69","±62","224","±98","65","±68","432","±229","316","±245","198","±72","332","±177","472","±288","355","±189","134","±83","84","±73","34","±43","37","±53","11","±23","316","±378","816","±597","0","±13"
