censustract,total_2024,white_2024,black_2024,asian_2024,total_2023,white_2023,black_2023,asian_2023,total_2022,white_2022,black_2022,asian_2022,total_2021,white_2021,black_2021,asian_2021,total_2020,white_2020,black_2020,asian_2020,White_Proportion_2024,Black_Proportion_2024,Asian_Proportion_2024,White_Proportion_2023,Black_Proportion_2023,Asian_Proportion_2023,White_Proportion_2022,Black_Proportion_2022,Asian_Proportion_2022,White_Proportion_2021,Black_Proportion_2021,Asian_Proportion_2021,White_Proportion_2020,Black_Proportion_2020,Asian_Proportion_2020
9001,3196,1742,498,391,3001,1845,388,342,3234,2007,502,273,3467,2172,574,281,3616,2360,660,247,54.51,15.58,12.23,61.48,12.93,11.4,62.06,15.52,8.44,62.65,16.56,8.1,65.27,18.25,6.83
9002.01,3117,998,450,70,3180,1230,599,98,2441,1008,564,94,2338,1038,576,174,2192,1120,597,126,32.02,14.44,2.25,38.68,18.84,3.08,41.29,23.11,3.85,44.4,24.64,7.44,51.09,27.24,5.75
9002.02,3668,1248,539,77,3520,1271,481,115,4124,1375,575,102,4271,1622,680,79,4254,1786,479,79,34.02,14.69,2.1,36.11,13.66,3.27,33.34,13.94,2.47,37.98,15.92,1.85,41.98,11.26,1.86
9002.03,5442,1003,2234,197,4891,532,2213,329,4589,879,2167,346,4579,872,1754,585,4463,842,1860,509,18.43,41.05,3.62,10.88,45.25,6.73,19.15,47.22,7.54,19.04,38.31,12.78,18.87,41.68,11.4
9003.01,3750,1933,1077,387,3514,1961,735,442,3494,2002,664,528,3442,1973,661,587,3410,1872,721,570,51.55,28.72,10.32,55.81,20.92,12.58,57.3,19.0,15.11,57.32,19.2,17.05,54.9,21.14,16.72
9003.02,5523,1513,1253,801,5032,1985,1349,463,5463,1987,1259,524,5106,2110,1208,684,5443,2194,1177,746,27.39,22.69,14.5,39.45,26.81,9.2,36.37,23.05,9.59,41.32,23.66,13.4,40.31,21.62,13.71
9004.03,6319,2060,1282,1339,5789,1847,1512,983,6107,2350,907,1183,6195,2943,810,1310,5541,2633,928,910,32.6,20.29,21.19,31.91,26.12,16.98,38.48,14.85,19.37,47.51,13.08,21.15,47.52,16.75,16.42
9004.04,5607,1525,663,490,5893,1672,735,410,5702,1842,1082,437,5652,2195,1084,294,5933,2438,1096,355,27.2,11.82,8.74,28.37,12.47,6.96,32.3,18.98,7.66,38.84,19.18,5.2,41.09,18.47,5.98
9004.07,6537,1128,2354,662,6916,1283,2391,701,7089,1922,2028,857,6825,2449,1953,715,6670,2579,2040,781,17.26,36.01,10.13,18.55,34.57,10.14,27.11,28.61,12.09,35.88,28.62,10.48,38.67,30.58,11.71
9004.08,5385,1921,1427,446,5473,2114,1406,451,5334,2128,1447,510,5497,2329,1554,347,5429,2531,1562,325,35.67,26.5,8.28,38.63,25.69,8.24,39.9,27.13,9.56,42.37,28.27,6.31,46.62,28.77,5.99
9004.09,4670,1263,1263,789,4834,1455,1324,741,5003,1810,1410,659,5170,2376,1450,447,5375,2655,1441,503,27.04,27.04,16.9,30.1,27.39,15.33,36.18,28.18,13.17,45.96,28.05,8.65,49.4,26.81,9.36
9004.10,5606,671,3138,361,5588,748,3153,470,5891,853,3499,728,5675,873,3406,584,5886,895,3472,756,11.97,55.98,6.44,13.39,56.42,8.41,14.48,59.4,12.36,15.38,60.02,10.29,15.21,58.99,12.84
