"Label (Grouping)","Census Tract 9001, Prince William County, Virginia!!Estimate","Census Tract 9001, Prince William County, Virginia!!Margin of Error","Census Tract 9002.01, Prince William County, Virginia!!Estimate","Census Tract 9002.01, Prince William County, Virginia!!Margin of Error","Census Tract 9002.02, Prince William County, Virginia!!Estimate","Census Tract 9002.02, Prince William County, Virginia!!Margin of Error","Census Tract 9002.03, Prince William County, Virginia!!Estimate","Census Tract 9002.03, Prince William County, Virginia!!Margin of Error","Census Tract 9003.01, Prince William County, Virginia!!Estimate","Census Tract 9003.01, Prince William County, Virginia!!Margin of Error","Census Tract 9003.02, Prince William County, Virginia!!Estimate","Census Tract 9003.02, Prince William County, Virginia!!Margin of Error","Census Tract 9004.03, Prince William County, Virginia!!Estimate","Census Tract 9004.03, Prince William County, Virginia!!Margin of Error","Census Tract 9004.04, Prince William County, Virginia!!Estimate","Census Tract 9004.04, Prince William County, Virginia!!Margin of Error","Census Tract 9004.07, Prince William County, Virginia!!Estimate","Census Tract 9004.07, Prince William County, Virginia!!Margin of Error","Census Tract 9004.08, Prince William County, Virginia!!Estimate","Census Tract 9004.08, Prince William County, Virginia!!Margin of Error","Census Tract 9004.09, Prince William County, Virginia!!Estimate","Census Tract 9004.09, Prince William County, Virginia!!Margin of Error","Census Tract 9004.10, Prince William County, Virginia!!Estimate","Census Tract 9004.10, Prince William County, Virginia!!Margin of Error","Census Tract 9005.02, Prince William County, Virginia!!Estimate","Census Tract 9005.02, Prince William County, Virginia!!Margin of Error","Census Tract 9005.03, Prince William County, Virginia!!Estimate","Census Tract 9005.03, Prince William County, Virginia!!Margin of Error","Census Tract 9005.04, Prince William County, Virginia!!Estimate","Census Tract 9005.04, Prince William County, Virginia!!Margin of Error","Census Tract 9006.01, Prince William County, Virginia!!Estimate","Census Tract 9006.01, Prince William County, Virginia!!Margin of Error","Census Tract 9006.02, Prince William County, Virginia!!Estimate","Census Tract 9006.02, Prince William County, Virginia!!Margin of Error","Census Tract 9007.01, Prince William County, Virginia!!Estimate","Census Tract 9007.01, Prince William County, Virginia!!Margin of Error","Census Tract 9007.02, Prince William County, Virginia!!Estimate","Census Tract 9007.02, Prince William County, Virginia!!Margin of Error","Census Tract 9008.01, Prince William County, Virginia!!Estimate","Census Tract 9008.01, Prince William County, Virginia!!Margin of Error","Census Tract 9008.03, Prince William County, Virginia!!Estimate","Census Tract 9008.03, Prince William County, Virginia!!Margin of Error","Census Tract 9008.04, Prince William County, Virginia!!Estimate","Census Tract 9008.04, Prince William County, Virginia!!Margin of Error","Census Tract 9009.01, Prince William County, Virginia!!Estimate","Census Tract 9009.01, Prince William County, Virginia!!Margin of Error","Census Tract 9009.04, Prince William County, Virginia!!Estimate","Census Tract 9009.04, Prince William County, Virginia!!Margin of Error","Census Tract 9009.05, Prince William County, Virginia!!Estimate","Census Tract 9009.05, Prince William County, Virginia!!Margin of Error","Census Tract 9010.05, Prince William County, Virginia!!Estimate","Census Tract 9010.05, Prince William County, Virginia!!Margin of Error","Census Tract 9010.09, Prince William County, Virginia!!Estimate","Census Tract 9010.09, Prince William County, Virginia!!Margin of Error","Census Tract 9010.10, Prince William County, Virginia!!Estimate","Census Tract 9010.10, Prince William County, Virginia!!Margin of Error","Census Tract 9010.11, Prince William County, Virginia!!Estimate","Census Tract 9010.11, Prince William County, Virginia!!Margin of Error","Census Tract 9010.12, Prince William County, Virginia!!Estimate","Census Tract 9010.12, Prince William County, Virginia!!Margin of Error","Census Tract 9010.13, Prince William County, Virginia!!Estimate","Census Tract 9010.13, Prince William County, Virginia!!Margin of Error","Census Tract 9010.14, Prince William County, Virginia!!Estimate","Census Tract 9010.14, Prince William County, Virginia!!Margin of Error","Census Tract 9010.15, Prince William County, Virginia!!Estimate","Census Tract 9010.15, Prince William County, Virginia!!Margin of Error","Census Tract 9010.16, Prince William County, Virginia!!Estimate","Census Tract 9010.16, Prince William County, Virginia!!Margin of Error","Census Tract 9011.01, Prince William County, Virginia!!Estimate","Census Tract 9011.01, Prince William County, Virginia!!Margin of Error","Census Tract 9011.02, Prince William County, Virginia!!Estimate","Census Tract 9011.02, Prince William County, Virginia!!Margin of Error","Census Tract 9012.03, Prince William County, Virginia!!Estimate","Census Tract 9012.03, Prince William County, Virginia!!Margin of Error","Census Tract 9012.08, Prince William County, Virginia!!Estimate","Census Tract 9012.08, Prince William County, Virginia!!Margin of Error","Census Tract 9012.09, Prince William County, Virginia!!Estimate","Census Tract 9012.09, Prince William County, Virginia!!Margin of Error","Census Tract 9012.11, Prince William County, Virginia!!Estimate","Census Tract 9012.11, Prince William County, Virginia!!Margin of Error","Census Tract 9012.12, Prince William County, Virginia!!Estimate","Census Tract 9012.12, Prince William County, Virginia!!Margin of Error","Census Tract 9012.19, Prince William County, Virginia!!Estimate","Census Tract 9012.19, Prince William County, Virginia!!Margin of Error","Census Tract 9012.21, Prince William County, Virginia!!Estimate","Census Tract 9012.21, Prince William County, Virginia!!Margin of Error","Census Tract 9012.22, Prince William County, Virginia!!Estimate","Census Tract 9012.22, Prince William County, Virginia!!Margin of Error","Census Tract 9012.23, Prince William County, Virginia!!Estimate","Census Tract 9012.23, Prince William County, Virginia!!Margin of Error","Census Tract 9012.24, Prince William County, Virginia!!Estimate","Census Tract 9012.24, Prince William County, Virginia!!Margin of Error","Census Tract 9012.25, Prince William County, Virginia!!Estimate","Census Tract 9012.25, Prince William County, Virginia!!Margin of Error","Census Tract 9012.26, Prince William County, Virginia!!Estimate","Census Tract 9012.26, Prince William County, Virginia!!Margin of Error","Census Tract 9012.27, Prince William County, Virginia!!Estimate","Census Tract 9012.27, Prince William County, Virginia!!Margin of Error","Census Tract 9012.28, Prince William County, Virginia!!Estimate","Census Tract 9012.28, Prince William County, Virginia!!Margin of Error","Census Tract 9012.29, Prince William County, Virginia!!Estimate","Census Tract 9012.29, Prince William County, Virginia!!Margin of Error","Census Tract 9012.30, Prince William County, Virginia!!Estimate","Census Tract 9012.30, Prince William County, Virginia!!Margin of Error","Census Tract 9012.31, Prince William County, Virginia!!Estimate","Census Tract 9012.31, Prince William County, Virginia!!Margin of Error","Census Tract 9012.32, Prince William County, Virginia!!Estimate","Census Tract 9012.32, Prince William County, Virginia!!Margin of Error","Census Tract 9012.33, Prince William County, Virginia!!Estimate","Census Tract 9012.33, Prince William County, Virginia!!Margin of Error","Census Tract 9012.34, Prince William County, Virginia!!Estimate","Census Tract 9012.34, Prince William County, Virginia!!Margin of Error","Census Tract 9012.35, Prince William County, Virginia!!Estimate","Census Tract 9012.35, Prince William County, Virginia!!Margin of Error","Census Tract 9012.36, Prince William County, Virginia!!Estimate","Census Tract 9012.36, Prince William County, Virginia!!Margin of Error","Census Tract 9012.37, Prince William County, Virginia!!Estimate","Census Tract 9012.37, Prince William County, Virginia!!Margin of Error","Census Tract 9013.03, Prince William County, Virginia!!Estimate","Census Tract 9013.03, Prince William County, Virginia!!Margin of Error","Census Tract 9013.04, Prince William County, Virginia!!Estimate","Census Tract 9013.04, Prince William County, Virginia!!Margin of Error","Census Tract 9013.05, Prince William County, Virginia!!Estimate","Census Tract 9013.05, Prince William County, Virginia!!Margin of Error","Census Tract 9013.06, Prince William County, Virginia!!Estimate","Census Tract 9013.06, Prince William County, Virginia!!Margin of Error","Census Tract 9014.03, Prince William County, Virginia!!Estimate","Census Tract 9014.03, Prince William County, Virginia!!Margin of Error","Census Tract 9014.07, Prince William County, Virginia!!Estimate","Census Tract 9014.07, Prince William County, Virginia!!Margin of Error","Census Tract 9014.09, Prince William County, Virginia!!Estimate","Census Tract 9014.09, Prince William County, Virginia!!Margin of Error","Census Tract 9014.11, Prince William County, Virginia!!Estimate","Census Tract 9014.11, Prince William County, Virginia!!Margin of Error","Census Tract 9014.12, Prince William County, Virginia!!Estimate","Census Tract 9014.12, Prince William County, Virginia!!Margin of Error","Census Tract 9014.13, Prince William County, Virginia!!Estimate","Census Tract 9014.13, Prince William County, Virginia!!Margin of Error","Census Tract 9014.14, Prince William County, Virginia!!Estimate","Census Tract 9014.14, Prince William County, Virginia!!Margin of Error","Census Tract 9014.15, Prince William County, Virginia!!Estimate","Census Tract 9014.15, Prince William County, Virginia!!Margin of Error","Census Tract 9014.16, Prince William County, Virginia!!Estimate","Census Tract 9014.16, Prince William County, Virginia!!Margin of Error","Census Tract 9014.17, Prince William County, Virginia!!Estimate","Census Tract 9014.17, Prince William County, Virginia!!Margin of Error","Census Tract 9014.18, Prince William County, Virginia!!Estimate","Census Tract 9014.18, Prince William County, Virginia!!Margin of Error","Census Tract 9014.19, Prince William County, Virginia!!Estimate","Census Tract 9014.19, Prince William County, Virginia!!Margin of Error","Census Tract 9014.20, Prince William County, Virginia!!Estimate","Census Tract 9014.20, Prince William County, Virginia!!Margin of Error","Census Tract 9014.21, Prince William County, Virginia!!Estimate","Census Tract 9014.21, Prince William County, Virginia!!Margin of Error","Census Tract 9015.03, Prince William County, Virginia!!Estimate","Census Tract 9015.03, Prince William County, Virginia!!Margin of Error","Census Tract 9015.04, Prince William County, Virginia!!Estimate","Census Tract 9015.04, Prince William County, Virginia!!Margin of Error","Census Tract 9015.05, Prince William County, Virginia!!Estimate","Census Tract 9015.05, Prince William County, Virginia!!Margin of Error","Census Tract 9015.06, Prince William County, Virginia!!Estimate","Census Tract 9015.06, Prince William County, Virginia!!Margin of Error","Census Tract 9015.07, Prince William County, Virginia!!Estimate","Census Tract 9015.07, Prince William County, Virginia!!Margin of Error","Census Tract 9015.08, Prince William County, Virginia!!Estimate","Census Tract 9015.08, Prince William County, Virginia!!Margin of Error","Census Tract 9015.09, Prince William County, Virginia!!Estimate","Census Tract 9015.09, Prince William County, Virginia!!Margin of Error","Census Tract 9015.10, Prince William County, Virginia!!Estimate","Census Tract 9015.10, Prince William County, Virginia!!Margin of Error","Census Tract 9015.11, Prince William County, Virginia!!Estimate","Census Tract 9015.11, Prince William County, Virginia!!Margin of Error","Census Tract 9016.01, Prince William County, Virginia!!Estimate","Census Tract 9016.01, Prince William County, Virginia!!Margin of Error","Census Tract 9016.02, Prince William County, Virginia!!Estimate","Census Tract 9016.02, Prince William County, Virginia!!Margin of Error","Census Tract 9017.02, Prince William County, Virginia!!Estimate","Census Tract 9017.02, Prince William County, Virginia!!Margin of Error","Census Tract 9017.03, Prince William County, Virginia!!Estimate","Census Tract 9017.03, Prince William County, Virginia!!Margin of Error","Census Tract 9017.04, Prince William County, Virginia!!Estimate","Census Tract 9017.04, Prince William County, Virginia!!Margin of Error","Census Tract 9019, Prince William County, Virginia!!Estimate","Census Tract 9019, Prince William County, Virginia!!Margin of Error","Census Tract 9801, Prince William County, Virginia!!Estimate","Census Tract 9801, Prince William County, Virginia!!Margin of Error"
"Total:","1,462","±203","772","±85","1,130","±113","1,413","±269","1,465","±173","2,056","±315","1,932","±285","1,669","±170","2,253","±202","1,550","±273","1,528","±211","1,946","±310","1,967","±167","1,153","±183","1,296","±233","949","±69","1,199","±154","2,522","±265","2,323","±312","2,145","±202","2,001","±268","1,537","±284","1,876","±199","1,520","±187","1,692","±198","1,814","±260","2,157","±154","1,324","±165","1,883","±224","1,557","±154","1,093","±166","1,355","±153","1,177","±180","1,415","±343","522","±128","814","±117","1,364","±312","1,195","±115","1,942","±189","1,187","±101","2,088","±166","1,870","±248","2,180","±301","855","±128","2,039","±145","1,299","±109","1,530","±233","1,606","±152","1,378","±139","1,822","±146","1,357","±234","1,133","±79","1,829","±123","1,360","±233","2,154","±210","1,002","±179","970","±75","1,838","±163","1,069","±85","1,408","±227","852","±86","1,174","±200","1,556","±117","2,655","±419","1,456","±169","2,583","±360","1,889","±161","1,981","±209","1,250","±190","1,541","±138","1,353","±261","1,310","±224","900","±114","1,513","±387","1,413","±233","1,002","±100","1,229","±197","1,794","±202","2,471","±337","2,067","±248","1,760","±262","914","±89","1,682","±137","2,111","±234","1,837","±154","1,534","±163","1,049","±103","2,479","±216","1,198","±193","642","±105","1,905","±195","2,117","±216","0","±13"
"    Owner occupied:","1,169","±203","427","±81","948","±113","180","±69","923","±133","860","±167","1,371","±278","1,236","±196","937","±160","1,334","±216","1,093","±172","835","±163","1,001","±145","656","±166","917","±258","852","±137","342","±92","1,172","±287","1,867","±317","1,948","±220","1,180","±222","829","±213","809","±175","1,337","±164","1,352","±174","1,762","±253","1,936","±193","1,049","±145","1,599","±244","1,349","±169","876","±184","925","±173","478","±104","914","±265","42","±15","8","±12","1,111","±243","954","±119","1,467","±202","1,046","±127","1,608","±202","1,778","±255","1,490","±273","730","±141","1,695","±161","1,200","±118","1,353","±255","1,431","±159","1,206","±136","1,649","±167","1,251","±231","1,070","±85","1,426","±149","1,266","±240","2,098","±231","951","±179","861","±104","1,345","±154","800","±110","1,251","±121","787","±93","999","±168","1,517","±119","805","±243","567","±102","1,674","±218","1,727","±175","1,730","±235","1,148","±212","1,483","±136","1,153","±215","1,229","±225","729","±58","412","±129","350","±109","898","±118","1,195","±197","1,764","±200","2,110","±300","1,975","±252","1,292","±156","728","±96","1,245","±151","2,004","±240","1,516","±169","1,509","±164","815","±88","1,467","±277","657","±147","628","±105","546","±191","1,123","±197","0","±13"
"        0.50 or less occupants per room","1,014","±202","275","±78","638","±109","162","±59","710","±135","668","±154","882","±182","870","±191","665","±138","1,029","±221","647","±153","448","±138","715","±157","265","±143","297","±133","376","±136","213","±90","877","±258","1,295","±304","1,740","±243","821","±174","557","±144","442","±177","885","±139","1,152","±196","1,584","±264","1,657","±196","818","±142","1,234","±212","1,211","±155","500","±155","654","±126","357","±131","584","±148","38","±14","0","±13","831","±251","761","±119","1,086","±185","638","±111","1,121","±151","1,608","±260","971","±189","555","±139","1,369","±164","993","±126","963","±243","1,111","±149","765","±129","1,259","±188","907","±219","795","±110","1,187","±127","1,128","±231","1,812","±249","868","±181","771","±110","1,106","±163","574","±90","1,032","±133","557","±103","901","±165","1,251","±129","486","±241","356","±88","1,077","±188","1,603","±174","1,425","±252","915","±218","1,274","±143","933","±212","889","±118","658","±65","248","±91","265","±94","690","±121","949","±199","1,587","±211","2,058","±297","1,588","±273","675","±103","570","±95","918","±151","1,639","±225","1,327","±188","1,375","±182","489","±112","858","±221","317","±87","294","±120","309","±111","753","±136","0","±13"
"        0.51 to 1.00 occupants per room","152","±99","148","±58","296","±106","7","±14","213","±59","163","±88","443","±229","322","±109","219","±91","236","±97","394","±124","341","±136","252","±100","325","±106","563","±246","391","±146","72","±61","276","±103","468","±189","194","±79","359","±152","201","±133","324","±126","452","±154","200","±81","166","±69","279","±139","227","±88","332","±140","138","±73","360","±157","271","±156","78","±61","309","±261","4","±5","8","±12","217","±72","161","±56","357","±103","354","±109","373","±109","170","±73","493","±198","165","±45","326","±114","192","±84","277","±85","273","±87","441","±136","358","±112","306","±136","272","±90","239","±83","130","±75","254","±99","77","±35","90","±43","222","±84","203","±80","191","±93","212","±54","98","±51","242","±60","285","±135","172","±81","509","±179","124","±63","288","±99","233","±86","209","±54","215","±64","340","±222","71","±40","164","±105","84","±70","160","±69","235","±83","171","±86","52","±61","387","±131","567","±161","158","±44","304","±101","365","±150","189","±84","134","±57","289","±95","593","±180","270","±92","334","±53","177","±134","346","±180","0","±13"
"        1.01 to 1.50 occupants per room","3","±10","4","±7","14","±19","11","±24","0","±13","29","±41","25","±28","44","±54","53","±51","69","±50","52","±56","38","±34","34","±32","66","±71","57","±51","85","±90","57","±67","14","±23","94","±99","14","±20","0","±18","71","±77","43","±45","0","±18","0","±18","12","±19","0","±18","4","±10","31","±26","0","±13","16","±20","0","±13","43","±49","21","±27","0","±13","0","±13","63","±48","15","±17","24","±24","22","±33","114","±161","0","±18","26","±40","10","±12","0","±18","15","±21","101","±66","47","±52","0","±18","3","±10","17","±21","3","±7","0","±18","8","±13","32","±40","6","±9","0","±13","17","±26","23","±14","28","±29","11","±12","0","±13","0","±13","34","±54","39","±29","63","±75","0","±18","17","±27","0","±13","0","±18","5","±11","0","±18","0","±13","0","±13","1","±8","48","±60","0","±13","6","±9","0","±13","0","±18","21","±31","0","±13","13","±18","0","±18","0","±18","0","±13","33","±38","16","±41","70","±80","0","±13","60","±75","16","±24","0","±13"
"        1.51 to 2.00 occupants per room","0","±13","0","±13","0","±13","0","±13","0","±13","0","±18","21","±32","0","±18","0","±18","0","±18","0","±18","8","±13","0","±18","0","±13","0","±18","0","±13","0","±13","0","±18","10","±23","0","±18","0","±18","0","±18","0","±18","0","±18","0","±18","0","±18","0","±18","0","±13","2","±8","0","±13","0","±13","0","±13","0","±13","0","±13","0","±13","0","±13","0","±13","17","±29","0","±18","0","±13","0","±18","0","±18","0","±18","0","±13","0","±18","0","±13","12","±19","0","±18","0","±18","0","±18","21","±18","0","±13","0","±18","0","±18","0","±18","0","±13","0","±13","0","±18","0","±13","0","±13","0","±13","0","±13","24","±39","0","±18","0","±13","25","±29","0","±18","0","±18","0","±13","0","±18","0","±13","0","±18","0","±13","0","±13","0","±13","0","±13","11","±19","0","±18","0","±13","0","±18","29","±44","0","±13","0","±18","0","±18","0","±18","0","±13","4","±6","0","±18","0","±13","0","±13","0","±18","0","±18","0","±13"
"        2.01 or more occupants per room","0","±13","0","±13","0","±13","0","±13","0","±13","0","±18","0","±18","0","±18","0","±18","0","±18","0","±18","0","±18","0","±18","0","±13","0","±18","0","±13","0","±13","5","±13","0","±18","0","±18","0","±18","0","±18","0","±18","0","±18","0","±18","0","±18","0","±18","0","±13","0","±18","0","±13","0","±13","0","±13","0","±13","0","±13","0","±13","0","±13","0","±13","0","±13","0","±18","32","±41","0","±18","0","±18","0","±18","0","±13","0","±18","0","±13","0","±18","0","±18","0","±18","29","±45","0","±13","0","±13","0","±18","0","±18","0","±18","0","±13","0","±13","0","±18","0","±13","0","±13","7","±12","0","±13","0","±13","0","±18","0","±13","0","±18","0","±18","0","±18","0","±13","0","±18","0","±13","0","±18","0","±13","0","±13","0","±13","0","±13","0","±13","0","±18","0","±13","0","±18","0","±18","0","±13","10","±15","0","±18","0","±18","0","±13","0","±13","0","±18","0","±13","0","±13","0","±18","8","±13","0","±13"
"    Renter occupied:","293","±98","345","±70","182","±93","1,233","±284","542","±129","1,196","±287","561","±136","433","±119","1,316","±228","216","±161","435","±192","1,111","±296","966","±189","497","±179","379","±129","97","±102","857","±152","1,350","±280","456","±139","197","±79","821","±228","708","±313","1,067","±158","183","±87","340","±102","52","±33","221","±118","275","±131","284","±113","208","±96","217","±118","430","±118","699","±191","501","±246","480","±129","806","±118","253","±162","241","±73","475","±125","141","±74","480","±141","92","±50","690","±173","125","±44","344","±148","99","±61","177","±84","175","±82","172","±125","173","±90","106","±94","63","±43","403","±106","94","±61","56","±61","51","±37","109","±70","493","±125","269","±91","157","±182","65","±43","175","±112","39","±38","1,850","±374","889","±152","909","±314","162","±77","251","±90","102","±56","58","±31","200","±175","81","±46","171","±103","1,101","±384","1,063","±234","104","±68","34","±42","30","±21","361","±166","92","±74","468","±238","186","±43","437","±103","107","±71","321","±109","25","±23","234","±96","1,012","±266","541","±246","14","±24","1,359","±216","994","±173","0","±13"
"        0.50 or less occupants per room","143","±76","114","±49","150","±82","417","±121","302","±96","652","±280","394","±102","174","±73","538","±149","62","±44","308","±181","738","±295","476","±128","325","±178","194","±110","73","±88","325","±148","836","±254","332","±137","126","±72","470","±202","444","±265","481","±111","53","±34","128","±71","52","±33","70","±55","187","±124","200","±104","141","±88","106","±89","248","±119","413","±179","254","±175","308","±100","552","±125","92","±62","198","±62","265","±88","70","±55","140","±76","77","±47","336","±113","60","±32","172","±103","41","±40","110","±70","104","±77","75","±60","117","±76","20","±17","47","±36","228","±92","72","±53","27","±33","33","±23","84","±67","290","±107","167","±78","157","±182","22","±26","77","±92","31","±37","1,044","±342","381","±157","393","±137","152","±75","225","±90","41","±33","49","±28","186","±167","61","±42","158","±100","312","±116","430","±187","89","±66","23","±39","21","±16","257","±153","92","±74","351","±245","108","±33","240","±90","100","±68","190","±78","15","±17","94","±56","528","±228","187","±183","14","±24","717","±207","374","±125","0","±13"
"        0.51 to 1.00 occupants per room","150","±77","231","±82","32","±43","702","±273","229","±102","484","±168","142","±94","226","±100","674","±214","40","±49","90","±70","261","±93","477","±170","152","±84","130","±91","24","±51","459","±163","461","±191","124","±84","62","±47","281","±157","245","±187","503","±120","130","±76","149","±81","0","±18","134","±112","88","±47","84","±64","67","±57","111","±80","146","±92","201","±64","247","±160","172","±76","245","±64","150","±147","43","±47","178","±86","56","±40","279","±128","15","±18","328","±169","65","±38","150","±106","58","±46","52","±45","55","±40","97","±103","56","±36","74","±90","16","±24","163","±77","11","±20","29","±51","0","±13","25","±24","203","±87","95","±44","0","±13","38","±36","98","±64","8","±12","662","±217","439","±119","488","±335","10","±16","26","±30","61","±45","9","±14","8","±14","16","±20","13","±17","728","±405","524","±179","15","±25","11","±16","9","±14","104","±64","0","±18","74","±52","78","±31","168","±78","7","±11","131","±93","10","±14","136","±89","425","±193","287","±168","0","±13","561","±209","537","±208","0","±13"
