"Label (Grouping)","Census Tract 9001; Prince William County; Virginia!!Estimate","Census Tract 9001; Prince William County; Virginia!!Margin of Error","Census Tract 9002.01; Prince William County; Virginia!!Estimate","Census Tract 9002.01; Prince William County; Virginia!!Margin of Error","Census Tract 9002.02; Prince William County; Virginia!!Estimate","Census Tract 9002.02; Prince William County; Virginia!!Margin of Error","Census Tract 9002.03; Prince William County; Virginia!!Estimate","Census Tract 9002.03; Prince William County; Virginia!!Margin of Error","Census Tract 9003.01; Prince William County; Virginia!!Estimate","Census Tract 9003.01; Prince William County; Virginia!!Margin of Error","Census Tract 9003.02; Prince William County; Virginia!!Estimate","Census Tract 9003.02; Prince William County; Virginia!!Margin of Error","Census Tract 9004.03; Prince William County; Virginia!!Estimate","Census Tract 9004.03; Prince William County; Virginia!!Margin of Error","Census Tract 9004.04; Prince William County; Virginia!!Estimate","Census Tract 9004.04; Prince William County; Virginia!!Margin of Error","Census Tract 9004.07; Prince William County; Virginia!!Estimate","Census Tract 9004.07; Prince William County; Virginia!!Margin of Error","Census Tract 9004.08; Prince William County; Virginia!!Estimate","Census Tract 9004.08; Prince William County; Virginia!!Margin of Error","Census Tract 9004.09; Prince William County; Virginia!!Estimate","Census Tract 9004.09; Prince William County; Virginia!!Margin of Error","Census Tract 9004.10; Prince William County; Virginia!!Estimate","Census Tract 9004.10; Prince William County; Virginia!!Margin of Error","Census Tract 9005.02; Prince William County; Virginia!!Estimate","Census Tract 9005.02; Prince William County; Virginia!!Margin of Error","Census Tract 9005.03; Prince William County; Virginia!!Estimate","Census Tract 9005.03; Prince William County; Virginia!!Margin of Error","Census Tract 9005.04; Prince William County; Virginia!!Estimate","Census Tract 9005.04; Prince William County; Virginia!!Margin of Error","Census Tract 9006.01; Prince William County; Virginia!!Estimate","Census Tract 9006.01; Prince William County; Virginia!!Margin of Error","Census Tract 9006.02; Prince William County; Virginia!!Estimate","Census Tract 9006.02; Prince William County; Virginia!!Margin of Error","Census Tract 9007.01; Prince William County; Virginia!!Estimate","Census Tract 9007.01; Prince William County; Virginia!!Margin of Error","Census Tract 9007.02; Prince William County; Virginia!!Estimate","Census Tract 9007.02; Prince William County; Virginia!!Margin of Error","Census Tract 9008.01; Prince William County; Virginia!!Estimate","Census Tract 9008.01; Prince William County; Virginia!!Margin of Error","Census Tract 9008.03; Prince William County; Virginia!!Estimate","Census Tract 9008.03; Prince William County; Virginia!!Margin of Error","Census Tract 9008.04; Prince William County; Virginia!!Estimate","Census Tract 9008.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.01; Prince William County; Virginia!!Estimate","Census Tract 9009.01; Prince William County; Virginia!!Margin of Error","Census Tract 9009.04; Prince William County; Virginia!!Estimate","Census Tract 9009.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.05; Prince William County; Virginia!!Estimate","Census Tract 9009.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.05; Prince William County; Virginia!!Estimate","Census Tract 9010.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.09; Prince William County; Virginia!!Estimate","Census Tract 9010.09; Prince William County; Virginia!!Margin of Error","Census Tract 9010.10; Prince William County; Virginia!!Estimate","Census Tract 9010.10; Prince William County; Virginia!!Margin of Error","Census Tract 9010.11; Prince William County; Virginia!!Estimate","Census Tract 9010.11; Prince William County; Virginia!!Margin of Error","Census Tract 9010.12; Prince William County; Virginia!!Estimate","Census Tract 9010.12; Prince William County; Virginia!!Margin of Error","Census Tract 9010.13; Prince William County; Virginia!!Estimate","Census Tract 9010.13; Prince William County; Virginia!!Margin of Error","Census Tract 9010.14; Prince William County; Virginia!!Estimate","Census Tract 9010.14; Prince William County; Virginia!!Margin of Error","Census Tract 9010.15; Prince William County; Virginia!!Estimate","Census Tract 9010.15; Prince William County; Virginia!!Margin of Error","Census Tract 9010.16; Prince William County; Virginia!!Estimate","Census Tract 9010.16; Prince William County; Virginia!!Margin of Error","Census Tract 9011.01; Prince William County; Virginia!!Estimate","Census Tract 9011.01; Prince William County; Virginia!!Margin of Error","Census Tract 9011.02; Prince William County; Virginia!!Estimate","Census Tract 9011.02; Prince William County; Virginia!!Margin of Error","Census Tract 9012.03; Prince William County; Virginia!!Estimate","Census Tract 9012.03; Prince William County; Virginia!!Margin of Error","Census Tract 9012.08; Prince William County; Virginia!!Estimate","Census Tract 9012.08; Prince William County; Virginia!!Margin of Error","Census Tract 9012.09; Prince William County; Virginia!!Estimate","Census Tract 9012.09; Prince William County; Virginia!!Margin of Error","Census Tract 9012.11; Prince William County; Virginia!!Estimate","Census Tract 9012.11; Prince William County; Virginia!!Margin of Error","Census Tract 9012.12; Prince William County; Virginia!!Estimate","Census Tract 9012.12; Prince William County; Virginia!!Margin of Error","Census Tract 9012.19; Prince William County; Virginia!!Estimate","Census Tract 9012.19; Prince William County; Virginia!!Margin of Error","Census Tract 9012.21; Prince William County; Virginia!!Estimate","Census Tract 9012.21; Prince William County; Virginia!!Margin of Error","Census Tract 9012.22; Prince William County; Virginia!!Estimate","Census Tract 9012.22; Prince William County; Virginia!!Margin of Error","Census Tract 9012.23; Prince William County; Virginia!!Estimate","Census Tract 9012.23; Prince William County; Virginia!!Margin of Error","Census Tract 9012.24; Prince William County; Virginia!!Estimate","Census Tract 9012.24; Prince William County; Virginia!!Margin of Error","Census Tract 9012.25; Prince William County; Virginia!!Estimate","Census Tract 9012.25; Prince William County; Virginia!!Margin of Error","Census Tract 9012.26; Prince William County; Virginia!!Estimate","Census Tract 9012.26; Prince William County; Virginia!!Margin of Error","Census Tract 9012.27; Prince William County; Virginia!!Estimate","Census Tract 9012.27; Prince William County; Virginia!!Margin of Error","Census Tract 9012.28; Prince William County; Virginia!!Estimate","Census Tract 9012.28; Prince William County; Virginia!!Margin of Error","Census Tract 9012.29; Prince William County; Virginia!!Estimate","Census Tract 9012.29; Prince William County; Virginia!!Margin of Error","Census Tract 9012.30; Prince William County; Virginia!!Estimate","Census Tract 9012.30; Prince William County; Virginia!!Margin of Error","Census Tract 9012.31; Prince William County; Virginia!!Estimate","Census Tract 9012.31; Prince William County; Virginia!!Margin of Error","Census Tract 9012.32; Prince William County; Virginia!!Estimate","Census Tract 9012.32; Prince William County; Virginia!!Margin of Error","Census Tract 9012.33; Prince William County; Virginia!!Estimate","Census Tract 9012.33; Prince William County; Virginia!!Margin of Error","Census Tract 9012.34; Prince William County; Virginia!!Estimate","Census Tract 9012.34; Prince William County; Virginia!!Margin of Error","Census Tract 9012.35; Prince William County; Virginia!!Estimate","Census Tract 9012.35; Prince William County; Virginia!!Margin of Error","Census Tract 9012.36; Prince William County; Virginia!!Estimate","Census Tract 9012.36; Prince William County; Virginia!!Margin of Error","Census Tract 9012.37; Prince William County; Virginia!!Estimate","Census Tract 9012.37; Prince William County; Virginia!!Margin of Error","Census Tract 9013.03; Prince William County; Virginia!!Estimate","Census Tract 9013.03; Prince William County; Virginia!!Margin of Error","Census Tract 9013.04; Prince William County; Virginia!!Estimate","Census Tract 9013.04; Prince William County; Virginia!!Margin of Error","Census Tract 9013.05; Prince William County; Virginia!!Estimate","Census Tract 9013.05; Prince William County; Virginia!!Margin of Error","Census Tract 9013.06; Prince William County; Virginia!!Estimate","Census Tract 9013.06; Prince William County; Virginia!!Margin of Error","Census Tract 9014.03; Prince William County; Virginia!!Estimate","Census Tract 9014.03; Prince William County; Virginia!!Margin of Error","Census Tract 9014.07; Prince William County; Virginia!!Estimate","Census Tract 9014.07; Prince William County; Virginia!!Margin of Error","Census Tract 9014.09; Prince William County; Virginia!!Estimate","Census Tract 9014.09; Prince William County; Virginia!!Margin of Error","Census Tract 9014.11; Prince William County; Virginia!!Estimate","Census Tract 9014.11; Prince William County; Virginia!!Margin of Error","Census Tract 9014.12; Prince William County; Virginia!!Estimate","Census Tract 9014.12; Prince William County; Virginia!!Margin of Error","Census Tract 9014.13; Prince William County; Virginia!!Estimate","Census Tract 9014.13; Prince William County; Virginia!!Margin of Error","Census Tract 9014.14; Prince William County; Virginia!!Estimate","Census Tract 9014.14; Prince William County; Virginia!!Margin of Error","Census Tract 9014.15; Prince William County; Virginia!!Estimate","Census Tract 9014.15; Prince William County; Virginia!!Margin of Error","Census Tract 9014.16; Prince William County; Virginia!!Estimate","Census Tract 9014.16; Prince William County; Virginia!!Margin of Error","Census Tract 9014.17; Prince William County; Virginia!!Estimate","Census Tract 9014.17; Prince William County; Virginia!!Margin of Error","Census Tract 9014.18; Prince William County; Virginia!!Estimate","Census Tract 9014.18; Prince William County; Virginia!!Margin of Error","Census Tract 9014.19; Prince William County; Virginia!!Estimate","Census Tract 9014.19; Prince William County; Virginia!!Margin of Error","Census Tract 9014.20; Prince William County; Virginia!!Estimate","Census Tract 9014.20; Prince William County; Virginia!!Margin of Error","Census Tract 9014.21; Prince William County; Virginia!!Estimate","Census Tract 9014.21; Prince William County; Virginia!!Margin of Error","Census Tract 9015.03; Prince William County; Virginia!!Estimate","Census Tract 9015.03; Prince William County; Virginia!!Margin of Error","Census Tract 9015.04; Prince William County; Virginia!!Estimate","Census Tract 9015.04; Prince William County; Virginia!!Margin of Error","Census Tract 9015.05; Prince William County; Virginia!!Estimate","Census Tract 9015.05; Prince William County; Virginia!!Margin of Error","Census Tract 9015.06; Prince William County; Virginia!!Estimate","Census Tract 9015.06; Prince William County; Virginia!!Margin of Error","Census Tract 9015.07; Prince William County; Virginia!!Estimate","Census Tract 9015.07; Prince William County; Virginia!!Margin of Error","Census Tract 9015.08; Prince William County; Virginia!!Estimate","Census Tract 9015.08; Prince William County; Virginia!!Margin of Error","Census Tract 9015.09; Prince William County; Virginia!!Estimate","Census Tract 9015.09; Prince William County; Virginia!!Margin of Error","Census Tract 9015.10; Prince William County; Virginia!!Estimate","Census Tract 9015.10; Prince William County; Virginia!!Margin of Error","Census Tract 9015.11; Prince William County; Virginia!!Estimate","Census Tract 9015.11; Prince William County; Virginia!!Margin of Error","Census Tract 9016.01; Prince William County; Virginia!!Estimate","Census Tract 9016.01; Prince William County; Virginia!!Margin of Error","Census Tract 9016.02; Prince William County; Virginia!!Estimate","Census Tract 9016.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.02; Prince William County; Virginia!!Estimate","Census Tract 9017.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.03; Prince William County; Virginia!!Estimate","Census Tract 9017.03; Prince William County; Virginia!!Margin of Error","Census Tract 9017.04; Prince William County; Virginia!!Estimate","Census Tract 9017.04; Prince William County; Virginia!!Margin of Error","Census Tract 9019; Prince William County; Virginia!!Estimate","Census Tract 9019; Prince William County; Virginia!!Margin of Error","Census Tract 9801; Prince William County; Virginia!!Estimate","Census Tract 9801; Prince William County; Virginia!!Margin of Error"
"Total:","1,536","±205","1,091","±118","1,055","±181","1,387","±231","1,538","±147","2,107","±303","1,900","±248","1,697","±157","2,329","±233","1,554","±241","1,575","±139","2,096","±329","2,012","±210","1,217","±184","1,425","±295","975","±72","1,421","±183","2,863","±281","2,271","±300","2,301","±242","2,140","±212","1,934","±232","2,078","±165","1,984","±186","1,868","±209","1,932","±209","2,274","±150","1,391","±197","1,921","±196","1,650","±151","1,089","±147","1,442","±153","1,173","±194","1,690","±281","672","±127","808","±136","1,363","±255","1,288","±126","1,958","±176","1,237","±107","2,193","±155","1,959","±254","2,313","±314","880","±122","2,208","±130","1,364","±110","1,533","±243","1,748","±148","1,453","±104","1,826","±168","1,331","±216","1,162","±86","2,192","±174","1,739","±261","2,268","±197","1,049","±146","972","±94","2,097","±158","1,184","±98","1,519","±232","986","±119","1,277","±220","1,723","±126","2,870","±437","1,530","±159","2,991","±382","1,966","±171","2,170","±246","1,302","±190","1,652","±131","1,383","±277","1,415","±231","1,037","±139","1,696","±393","1,309","±158","1,136","±86","1,361","±204","1,878","±160","2,578","±303","2,255","±169","1,840","±322","939","±71","1,928","±110","2,433","±266","2,083","±166","1,725","±135","1,019","±132","2,639","±314","1,233","±189","703","±86","1,969","±181","2,351","±199","0","±13"
"    Owner occupied:","1,328","±209","532","±120","869","±183","104","±54","1,054","±122","1,023","±186","1,391","±234","1,334","±173","1,117","±198","1,332","±206","1,291","±142","749","±173","971","±167","659","±156","950","±313","870","±128","387","±152","982","±267","1,932","±328","2,236","±242","1,042","±207","1,312","±170","1,091","±230","1,691","±196","1,513","±230","1,877","±214","2,227","±169","1,164","±183","1,777","±217","1,319","±153","933","±181","1,069","±159","476","±121","1,204","±287","53","±23","8","±15","1,146","±224","1,055","±126","1,521","±194","1,088","±135","1,805","±179","1,941","±257","1,327","±264","752","±122","1,764","±193","1,304","±114","1,407","±239","1,632","±161","1,168","±150","1,599","±179","1,135","±208","1,041","±102","1,750","±195","1,692","±268","2,236","±201","1,000","±149","923","±101","1,718","±177","857","±113","1,346","±132","914","±115","1,166","±212","1,695","±132","1,033","±281","712","±113","1,864","±243","1,900","±173","2,017","±237","1,235","±189","1,537","±154","1,205","±219","1,287","±245","861","±79","470","±135","463","±136","1,048","±93","1,172","±241","1,827","±158","2,211","±287","2,111","±176","1,438","±162","830","±82","1,387","±155","2,232","±310","1,840","±187","1,687","±136","760","±113","1,617","±300","776","±151","695","±85","767","±195","1,170","±228","0","±13"
"        0.50 or less occupants per room","1,251","±219","345","±106","658","±163","80","±54","867","±130","820","±198","808","±138","884","±173","809","±165","1,025","±200","855","±152","511","±119","740","±156","367","±174","298","±118","499","±107","288","±144","645","±228","1,440","±331","1,784","±258","805","±236","1,034","±173","745","±196","1,198","±200","1,263","±225","1,633","±233","1,880","±179","925","±170","1,301","±200","1,222","±149","560","±164","601","±151","353","±103","646","±169","38","±20","0","±13","821","±224","826","±130","1,075","±201","641","±136","1,304","±184","1,719","±265","827","±163","605","±128","1,232","±191","1,176","±120","926","±257","1,128","±156","645","±114","1,170","±165","755","±152","743","±106","1,542","±222","1,465","±278","1,918","±253","893","±147","777","±110","1,217","±231","642","±121","1,069","±136","687","±116","1,043","±220","1,399","±163","700","±307","549","±108","1,045","±231","1,736","±188","1,643","±271","970","±197","1,301","±150","998","±215","936","±136","756","±99","351","±131","350","±112","815","±125","957","±241","1,625","±172","2,085","±276","1,792","±187","835","±129","614","±82","1,017","±163","1,625","±329","1,650","±193","1,500","±152","470","±126","1,007","±244","322","±86","461","±131","484","±173","691","±160","0","±13"
"        0.51 to 1.00 occupants per room","77","±51","182","±96","201","±103","11","±20","187","±71","180","±95","548","±228","394","±139","276","±103","237","±89","436","±100","204","±146","208","±94","253","±122","607","±313","371","±145","99","±86","298","±146","426","±154","452","±141","207","±152","273","±128","321","±143","466","±183","197","±100","216","±75","347","±167","239","±105","383","±160","92","±57","343","±111","411","±142","123","±77","504","±262","15","±14","8","±15","247","±112","221","±54","433","±109","355","±115","375","±137","222","±63","500","±213","138","±49","494","±204","102","±68","428","±133","449","±120","474","±154","355","±88","347","±162","283","±88","208","±121","213","±87","318","±168","107","±58","146","±59","492","±133","200","±61","248","±95","216","±68","123","±70","279","±83","224","±134","163","±91","724","±176","164","±78","323","±99","248","±97","236","±62","207","±73","336","±238","88","±52","79","±54","108","±84","182","±91","215","±75","202","±67","126","±85","319","±116","551","±171","216","±55","360","±104","607","±158","178","±84","187","±67","281","±105","610","±211","342","±112","234","±122","274","±138","479","±222","0","±13"
"        1.01 to 1.50 occupants per room","0","±13","5","±7","0","±13","13","±25","0","±13","18","±27","23","±23","56","±55","32","±45","70","±53","0","±13","25","±33","23","±35","39","±48","45","±50","0","±13","0","±13","39","±60","66","±66","0","±19","30","±46","5","±10","25","±36","27","±28","44","±31","28","±31","0","±19","0","±13","93","±67","5","±12","30","±45","57","±37","0","±13","54","±54","0","±13","0","±13","78","±61","8","±13","0","±19","46","±50","126","±117","0","±19","0","±19","9","±13","15","±26","26","±31","40","±34","55","±43","49","±44","33","±32","17","±19","0","±13","0","±19","14","±20","0","±19","0","±13","0","±13","9","±16","15","±22","29","±28","11","±13","0","±13","0","±19","109","±141","0","±13","48","±76","0","±19","51","±42","8","±12","0","±19","0","±13","15","±22","9","±13","40","±69","5","±13","51","±72","0","±19","0","±19","0","±13","0","±19","23","±26","0","±13","10","±16","0","±19","12","±19","0","±13","0","±13","0","±19","112","±105","0","±13","9","±17","0","±19","0","±13"
"        1.51 to 2.00 occupants per room","0","±13","0","±13","10","±22","0","±13","0","±13","5","±14","12","±19","0","±19","0","±19","0","±19","0","±13","9","±17","0","±13","0","±13","0","±19","0","±13","0","±13","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","9","±15","0","±19","0","±19","0","±13","0","±19","0","±13","0","±13","0","±19","0","±13","0","±19","0","±13","0","±13","0","±13","0","±13","13","±20","0","±13","0","±19","0","±19","0","±19","0","±13","23","±36","0","±13","13","±20","0","±19","0","±19","0","±19","0","±13","15","±16","0","±19","0","±19","0","±19","0","±13","0","±13","0","±19","0","±13","0","±19","0","±13","0","±13","17","±29","0","±19","0","±13","47","±78","0","±19","0","±19","9","±13","0","±19","0","±13","0","±19","8","±15","0","±13","0","±13","0","±13","0","±19","0","±19","0","±13","0","±19","29","±45","0","±13","0","±19","0","±19","0","±19","0","±13","8","±11","0","±19","0","±13","0","±13","0","±19","0","±19","0","±13"
"        2.01 or more occupants per room","0","±13","0","±13","0","±13","0","±13","0","±13","0","±19","0","±19","0","±19","0","±19","0","±19","0","±13","0","±19","0","±13","0","±13","0","±19","0","±13","0","±13","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±13","0","±19","0","±13","0","±13","0","±19","0","±13","0","±19","0","±13","0","±13","0","±13","0","±13","0","±19","46","±62","0","±19","0","±19","0","±19","0","±13","0","±19","0","±13","0","±13","0","±19","0","±19","41","±45","16","±20","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","0","±19","0","±13","0","±19","0","±13","0","±13","0","±19","0","±19","0","±13","0","±19","0","±19","0","±19","0","±13","0","±19","0","±13","0","±19","0","±13","0","±13","0","±13","0","±13","0","±19","0","±19","0","±13","0","±19","0","±19","0","±13","0","±19","0","±19","0","±19","0","±13","1","±25","0","±19","0","±13","0","±13","0","±19","0","±19","0","±13"
"    Renter occupied:","208","±76","559","±141","186","±85","1,283","±237","484","±134","1,084","±325","509","±138","363","±128","1,212","±263","222","±158","284","±140","1,347","±330","1,041","±226","558","±129","475","±136","105","±118","1,034","±224","1,881","±316","339","±140","65","±50","1,098","±165","622","±267","987","±227","293","±145","355","±128","55","±44","47","±47","227","±148","144","±89","331","±93","156","±88","373","±101","697","±226","486","±193","619","±130","800","±134","217","±160","233","±65","437","±132","149","±86","388","±126","18","±21","986","±234","128","±55","444","±160","60","±52","126","±70","116","±73","285","±150","227","±112","196","±118","121","±77","442","±136","47","±42","32","±40","49","±40","49","±43","379","±135","327","±118","173","±194","72","±48","111","±88","28","±25","1,837","±408","818","±172","1,127","±362","66","±44","153","±105","67","±44","115","±76","178","±171","128","±77","176","±126","1,226","±417","846","±183","88","±63","189","±121","51","±35","367","±152","144","±103","402","±295","109","±43","541","±145","201","±150","243","±115","38","±31","259","±141","1,022","±382","457","±207","8","±15","1,202","±199","1,181","±233","0","±13"
"        0.50 or less occupants per room","208","±76","260","±89","155","±84","441","±128","300","±98","685","±257","353","±123","129","±80","493","±172","43","±33","182","±119","818","±309","609","±144","308","±131","298","±108","0","±13","507","±211","867","±272","261","±132","45","±43","685","±176","480","±248","496","±141","53","±42","180","±83","24","±23","32","±39","201","±142","62","±57","182","±80","143","±84","298","±100","363","±198","240","±149","437","±122","417","±137","106","±67","226","±65","327","±114","64","±59","185","±104","18","±21","558","±153","112","±54","236","±133","53","±51","54","±46","81","±64","148","±96","130","±88","91","±54","65","±62","172","±92","23","±34","19","±32","38","±36","49","±43","231","±118","235","±111","129","±194","36","±39","52","±72","18","±20","1,115","±368","344","±129","438","±169","56","±40","116","±94","32","±30","106","±73","151","±172","104","±79","147","±122","492","±146","393","±168","76","±66","122","±107","51","±35","312","±147","110","±93","308","±282","50","±26","378","±112","181","±149","146","±98","38","±31","27","±29","544","±231","204","±186","8","±15","485","±190","334","±170","0","±13"
"        0.51 to 1.00 occupants per room","0","±13","246","±134","26","±32","611","±252","162","±99","365","±231","120","±85","224","±116","585","±228","73","±53","102","±75","436","±164","431","±202","250","±92","177","±138","54","±90","311","±188","826","±236","78","±74","16","±26","301","±137","133","±165","436","±172","221","±135","149","±103","31","±35","15","±25","26","±32","81","±71","149","±71","13","±17","75","±70","198","±103","239","±162","160","±60","351","±74","111","±150","7","±11","38","±36","52","±59","162","±111","0","±19","369","±211","16","±15","190","±112","7","±11","59","±50","35","±37","137","±113","97","±79","95","±117","56","±47","218","±114","24","±27","13","±26","11","±18","0","±13","148","±91","69","±47","44","±31","24","±25","59","±48","10","±17","484","±215","390","±131","631","±378","10","±19","37","±48","35","±35","9","±15","21","±26","20","±20","29","±25","603","±395","380","±145","12","±21","67","±72","0","±19","55","±43","34","±47","46","±53","59","±39","128","±78","20","±24","97","±66","0","±13","232","±135","478","±285","197","±119","0","±13","594","±234","603","±246","0","±13"
