censustract,total_2024,Owner_occupied_2024,total_2023,Owner_occupied_2023,total_2022,Owner_occupied_2022,total_2021,Owner_occupied_2021,total_2020,Owner_occupied_2020,prop_owner_occupied_2024,prop_owner_occupied_2023,prop_owner_occupied_2022,prop_owner_occupied_2021,prop_owner_occupied_2020
9001,3196,2740,3001,2608,3234,2717,3467,2644,3616,2703,85.73,86.9,84.01,76.26,74.75
9002.01,3114,1279,3175,1762,2436,1293,2326,1383,2177,1387,41.07,55.5,53.08,59.46,63.71
9002.02,3668,2947,3520,2940,4124,3472,4271,3789,4254,3651,80.34,83.52,84.19,88.71,85.83
9002.03,5437,639,4886,366,4583,466,4574,536,4455,488,11.75,7.49,10.17,11.72,10.95
9003.01,3750,2341,3514,2305,3494,2110,3442,2111,3410,2014,62.43,65.59,60.39,61.33,59.06
9003.02,5523,3002,5032,2843,5463,2935,5106,2699,5443,2515,54.35,56.5,53.73,52.86,46.21
9004.03,6280,4728,5754,4543,6079,5034,6169,5122,5508,4179,75.29,78.95,82.81,83.03,75.87
9004.04,5605,4304,5890,4178,5698,4051,5647,4237,5928,4107,76.79,70.93,71.1,75.03,69.28
9004.07,6537,3346,6916,3174,7089,3167,6825,2691,6670,2807,51.19,45.89,44.67,39.43,42.08
9004.08,5385,4353,5473,4385,5334,4264,5497,4601,5429,4501,80.84,80.12,79.94,83.7,82.91
9004.09,4670,3632,4834,3807,5003,3665,5170,3625,5375,3816,77.77,78.75,73.26,70.12,71.0
9004.10,5606,2215,5588,2347,5891,2812,5675,2820,5886,2998,39.51,42.0,47.73,49.69,50.93
9005.02,4437,2015,4588,2085,4982,2412,5024,2664,4912,2450,45.41,45.44,48.41,53.03,49.88
9005.03,3350,2089,3787,2640,3823,2670,3768,2620,3820,2749,62.36,69.71,69.84,69.53,71.96
9005.04,5563,3650,5459,4247,5079,3787,5466,4392,5406,4238,65.61,77.8,74.56,80.35,78.39
9006.01,3277,2553,3450,2909,3619,3232,3525,3033,3351,2980,77.91,84.32,89.31,86.04,88.93
9006.02,3757,1078,3694,1195,3586,1045,3989,1241,3973,1442,28.69,32.35,29.14,31.11,36.29
9007.01,7568,3479,8080,3204,7022,3994,6653,3865,6734,3589,45.97,39.65,56.88,58.09,53.3
9007.02,8341,7345,7796,6952,8311,7494,7858,6571,8048,6747,88.06,89.17,90.17,83.62,83.83
9008.01,6985,6734,7074,6787,7012,6677,7052,6410,7212,6343,96.41,95.94,95.22,90.9,87.95
9008.03,6771,3764,6127,3209,5718,3157,5620,3441,5182,3078,55.59,52.37,55.21,61.23,59.4
9008.04,5768,4376,5564,4217,5694,4131,5879,4219,5130,3130,75.87,75.79,72.55,71.76,61.01
9009.01,6120,3649,6356,3525,6022,3471,6172,3254,6318,2913,59.62,55.46,57.64,52.72,46.11
9009.04,8683,7021,7493,6138,6628,5472,6450,5607,5949,5009,80.86,81.92,82.56,86.93,84.2
9009.05,6071,5073,6289,5211,6141,5237,6263,5181,6119,5047,83.56,82.86,85.28,82.72,82.48
9010.05,6960,6701,6849,6654,6623,6520,6583,6310,6463,6275,96.28,97.15,98.44,95.85,97.09
9010.09,7467,7200,7328,7158,7436,6858,7118,6319,6973,6145,96.42,97.68,92.23,88.77,88.13
9010.10,4780,3712,4758,4022,4901,4160,4910,4123,4587,3701,77.66,84.53,84.88,83.97,80.68
9010.11,6564,6153,6534,5982,6257,5587,6073,5340,6173,5316,93.74,91.55,89.29,87.93,86.12
