"Label (Grouping)","Census Tract 9001, Prince William County, Virginia!!Estimate","Census Tract 9001, Prince William County, Virginia!!Margin of Error","Census Tract 9002.01, Prince William County, Virginia!!Estimate","Census Tract 9002.01, Prince William County, Virginia!!Margin of Error","Census Tract 9002.02, Prince William County, Virginia!!Estimate","Census Tract 9002.02, Prince William County, Virginia!!Margin of Error","Census Tract 9002.03, Prince William County, Virginia!!Estimate","Census Tract 9002.03, Prince William County, Virginia!!Margin of Error","Census Tract 9003.01, Prince William County, Virginia!!Estimate","Census Tract 9003.01, Prince William County, Virginia!!Margin of Error","Census Tract 9003.02, Prince William County, Virginia!!Estimate","Census Tract 9003.02, Prince William County, Virginia!!Margin of Error","Census Tract 9004.03, Prince William County, Virginia!!Estimate","Census Tract 9004.03, Prince William County, Virginia!!Margin of Error","Census Tract 9004.04, Prince William County, Virginia!!Estimate","Census Tract 9004.04, Prince William County, Virginia!!Margin of Error","Census Tract 9004.07, Prince William County, Virginia!!Estimate","Census Tract 9004.07, Prince William County, Virginia!!Margin of Error","Census Tract 9004.08, Prince William County, Virginia!!Estimate","Census Tract 9004.08, Prince William County, Virginia!!Margin of Error","Census Tract 9004.09, Prince William County, Virginia!!Estimate","Census Tract 9004.09, Prince William County, Virginia!!Margin of Error","Census Tract 9004.10, Prince William County, Virginia!!Estimate","Census Tract 9004.10, Prince William County, Virginia!!Margin of Error","Census Tract 9005.02, Prince William County, Virginia!!Estimate","Census Tract 9005.02, Prince William County, Virginia!!Margin of Error","Census Tract 9005.03, Prince William County, Virginia!!Estimate","Census Tract 9005.03, Prince William County, Virginia!!Margin of Error","Census Tract 9005.04, Prince William County, Virginia!!Estimate","Census Tract 9005.04, Prince William County, Virginia!!Margin of Error","Census Tract 9006.01, Prince William County, Virginia!!Estimate","Census Tract 9006.01, Prince William County, Virginia!!Margin of Error","Census Tract 9006.02, Prince William County, Virginia!!Estimate","Census Tract 9006.02, Prince William County, Virginia!!Margin of Error","Census Tract 9007.01, Prince William County, Virginia!!Estimate","Census Tract 9007.01, Prince William County, Virginia!!Margin of Error","Census Tract 9007.02, Prince William County, Virginia!!Estimate","Census Tract 9007.02, Prince William County, Virginia!!Margin of Error","Census Tract 9008.01, Prince William County, Virginia!!Estimate","Census Tract 9008.01, Prince William County, Virginia!!Margin of Error","Census Tract 9008.03, Prince William County, Virginia!!Estimate","Census Tract 9008.03, Prince William County, Virginia!!Margin of Error","Census Tract 9008.04, Prince William County, Virginia!!Estimate","Census Tract 9008.04, Prince William County, Virginia!!Margin of Error","Census Tract 9009.01, Prince William County, Virginia!!Estimate","Census Tract 9009.01, Prince William County, Virginia!!Margin of Error","Census Tract 9009.04, Prince William County, Virginia!!Estimate","Census Tract 9009.04, Prince William County, Virginia!!Margin of Error","Census Tract 9009.05, Prince William County, Virginia!!Estimate","Census Tract 9009.05, Prince William County, Virginia!!Margin of Error","Census Tract 9010.05, Prince William County, Virginia!!Estimate","Census Tract 9010.05, Prince William County, Virginia!!Margin of Error","Census Tract 9010.09, Prince William County, Virginia!!Estimate","Census Tract 9010.09, Prince William County, Virginia!!Margin of Error","Census Tract 9010.10, Prince William County, Virginia!!Estimate","Census Tract 9010.10, Prince William County, Virginia!!Margin of Error","Census Tract 9010.11, Prince William County, Virginia!!Estimate","Census Tract 9010.11, Prince William County, Virginia!!Margin of Error","Census Tract 9010.12, Prince William County, Virginia!!Estimate","Census Tract 9010.12, Prince William County, Virginia!!Margin of Error","Census Tract 9010.13, Prince William County, Virginia!!Estimate","Census Tract 9010.13, Prince William County, Virginia!!Margin of Error","Census Tract 9010.14, Prince William County, Virginia!!Estimate","Census Tract 9010.14, Prince William County, Virginia!!Margin of Error","Census Tract 9010.15, Prince William County, Virginia!!Estimate","Census Tract 9010.15, Prince William County, Virginia!!Margin of Error","Census Tract 9010.16, Prince William County, Virginia!!Estimate","Census Tract 9010.16, Prince William County, Virginia!!Margin of Error","Census Tract 9011.01, Prince William County, Virginia!!Estimate","Census Tract 9011.01, Prince William County, Virginia!!Margin of Error","Census Tract 9011.02, Prince William County, Virginia!!Estimate","Census Tract 9011.02, Prince William County, Virginia!!Margin of Error","Census Tract 9012.03, Prince William County, Virginia!!Estimate","Census Tract 9012.03, Prince William County, Virginia!!Margin of Error","Census Tract 9012.08, Prince William County, Virginia!!Estimate","Census Tract 9012.08, Prince William County, Virginia!!Margin of Error","Census Tract 9012.09, Prince William County, Virginia!!Estimate","Census Tract 9012.09, Prince William County, Virginia!!Margin of Error","Census Tract 9012.11, Prince William County, Virginia!!Estimate","Census Tract 9012.11, Prince William County, Virginia!!Margin of Error","Census Tract 9012.12, Prince William County, Virginia!!Estimate","Census Tract 9012.12, Prince William County, Virginia!!Margin of Error","Census Tract 9012.19, Prince William County, Virginia!!Estimate","Census Tract 9012.19, Prince William County, Virginia!!Margin of Error","Census Tract 9012.21, Prince William County, Virginia!!Estimate","Census Tract 9012.21, Prince William County, Virginia!!Margin of Error","Census Tract 9012.22, Prince William County, Virginia!!Estimate","Census Tract 9012.22, Prince William County, Virginia!!Margin of Error","Census Tract 9012.23, Prince William County, Virginia!!Estimate","Census Tract 9012.23, Prince William County, Virginia!!Margin of Error","Census Tract 9012.24, Prince William County, Virginia!!Estimate","Census Tract 9012.24, Prince William County, Virginia!!Margin of Error","Census Tract 9012.25, Prince William County, Virginia!!Estimate","Census Tract 9012.25, Prince William County, Virginia!!Margin of Error","Census Tract 9012.26, Prince William County, Virginia!!Estimate","Census Tract 9012.26, Prince William County, Virginia!!Margin of Error","Census Tract 9012.27, Prince William County, Virginia!!Estimate","Census Tract 9012.27, Prince William County, Virginia!!Margin of Error","Census Tract 9012.28, Prince William County, Virginia!!Estimate","Census Tract 9012.28, Prince William County, Virginia!!Margin of Error","Census Tract 9012.29, Prince William County, Virginia!!Estimate","Census Tract 9012.29, Prince William County, Virginia!!Margin of Error","Census Tract 9012.30, Prince William County, Virginia!!Estimate","Census Tract 9012.30, Prince William County, Virginia!!Margin of Error","Census Tract 9012.31, Prince William County, Virginia!!Estimate","Census Tract 9012.31, Prince William County, Virginia!!Margin of Error","Census Tract 9012.32, Prince William County, Virginia!!Estimate","Census Tract 9012.32, Prince William County, Virginia!!Margin of Error","Census Tract 9012.33, Prince William County, Virginia!!Estimate","Census Tract 9012.33, Prince William County, Virginia!!Margin of Error","Census Tract 9012.34, Prince William County, Virginia!!Estimate","Census Tract 9012.34, Prince William County, Virginia!!Margin of Error","Census Tract 9012.35, Prince William County, Virginia!!Estimate","Census Tract 9012.35, Prince William County, Virginia!!Margin of Error","Census Tract 9012.36, Prince William County, Virginia!!Estimate","Census Tract 9012.36, Prince William County, Virginia!!Margin of Error","Census Tract 9012.37, Prince William County, Virginia!!Estimate","Census Tract 9012.37, Prince William County, Virginia!!Margin of Error","Census Tract 9013.03, Prince William County, Virginia!!Estimate","Census Tract 9013.03, Prince William County, Virginia!!Margin of Error","Census Tract 9013.04, Prince William County, Virginia!!Estimate","Census Tract 9013.04, Prince William County, Virginia!!Margin of Error","Census Tract 9013.05, Prince William County, Virginia!!Estimate","Census Tract 9013.05, Prince William County, Virginia!!Margin of Error","Census Tract 9013.06, Prince William County, Virginia!!Estimate","Census Tract 9013.06, Prince William County, Virginia!!Margin of Error","Census Tract 9014.03, Prince William County, Virginia!!Estimate","Census Tract 9014.03, Prince William County, Virginia!!Margin of Error","Census Tract 9014.07, Prince William County, Virginia!!Estimate","Census Tract 9014.07, Prince William County, Virginia!!Margin of Error","Census Tract 9014.09, Prince William County, Virginia!!Estimate","Census Tract 9014.09, Prince William County, Virginia!!Margin of Error","Census Tract 9014.11, Prince William County, Virginia!!Estimate","Census Tract 9014.11, Prince William County, Virginia!!Margin of Error","Census Tract 9014.12, Prince William County, Virginia!!Estimate","Census Tract 9014.12, Prince William County, Virginia!!Margin of Error","Census Tract 9014.13, Prince William County, Virginia!!Estimate","Census Tract 9014.13, Prince William County, Virginia!!Margin of Error","Census Tract 9014.14, Prince William County, Virginia!!Estimate","Census Tract 9014.14, Prince William County, Virginia!!Margin of Error","Census Tract 9014.15, Prince William County, Virginia!!Estimate","Census Tract 9014.15, Prince William County, Virginia!!Margin of Error","Census Tract 9014.16, Prince William County, Virginia!!Estimate","Census Tract 9014.16, Prince William County, Virginia!!Margin of Error","Census Tract 9014.17, Prince William County, Virginia!!Estimate","Census Tract 9014.17, Prince William County, Virginia!!Margin of Error","Census Tract 9014.18, Prince William County, Virginia!!Estimate","Census Tract 9014.18, Prince William County, Virginia!!Margin of Error","Census Tract 9014.19, Prince William County, Virginia!!Estimate","Census Tract 9014.19, Prince William County, Virginia!!Margin of Error","Census Tract 9014.20, Prince William County, Virginia!!Estimate","Census Tract 9014.20, Prince William County, Virginia!!Margin of Error","Census Tract 9014.21, Prince William County, Virginia!!Estimate","Census Tract 9014.21, Prince William County, Virginia!!Margin of Error","Census Tract 9015.03, Prince William County, Virginia!!Estimate","Census Tract 9015.03, Prince William County, Virginia!!Margin of Error","Census Tract 9015.04, Prince William County, Virginia!!Estimate","Census Tract 9015.04, Prince William County, Virginia!!Margin of Error","Census Tract 9015.05, Prince William County, Virginia!!Estimate","Census Tract 9015.05, Prince William County, Virginia!!Margin of Error","Census Tract 9015.06, Prince William County, Virginia!!Estimate","Census Tract 9015.06, Prince William County, Virginia!!Margin of Error","Census Tract 9015.07, Prince William County, Virginia!!Estimate","Census Tract 9015.07, Prince William County, Virginia!!Margin of Error","Census Tract 9015.08, Prince William County, Virginia!!Estimate","Census Tract 9015.08, Prince William County, Virginia!!Margin of Error","Census Tract 9015.09, Prince William County, Virginia!!Estimate","Census Tract 9015.09, Prince William County, Virginia!!Margin of Error","Census Tract 9015.10, Prince William County, Virginia!!Estimate","Census Tract 9015.10, Prince William County, Virginia!!Margin of Error","Census Tract 9015.11, Prince William County, Virginia!!Estimate","Census Tract 9015.11, Prince William County, Virginia!!Margin of Error","Census Tract 9016.01, Prince William County, Virginia!!Estimate","Census Tract 9016.01, Prince William County, Virginia!!Margin of Error","Census Tract 9016.02, Prince William County, Virginia!!Estimate","Census Tract 9016.02, Prince William County, Virginia!!Margin of Error","Census Tract 9017.02, Prince William County, Virginia!!Estimate","Census Tract 9017.02, Prince William County, Virginia!!Margin of Error","Census Tract 9017.03, Prince William County, Virginia!!Estimate","Census Tract 9017.03, Prince William County, Virginia!!Margin of Error","Census Tract 9017.04, Prince William County, Virginia!!Estimate","Census Tract 9017.04, Prince William County, Virginia!!Margin of Error","Census Tract 9019, Prince William County, Virginia!!Estimate","Census Tract 9019, Prince William County, Virginia!!Margin of Error","Census Tract 9801, Prince William County, Virginia!!Estimate","Census Tract 9801, Prince William County, Virginia!!Margin of Error"
"Total:","1,580","±179","962","±106","1,269","±171","1,679","±221","1,621","±131","2,326","±257","1,981","±229","1,786","±142","2,393","±237","1,634","±240","1,619","±153","2,207","±303","2,133","±172","1,318","±179","1,578","±282","998","±62","1,432","±176","3,029","±249","2,462","±265","2,305","±229","2,331","±206","1,828","±234","2,170","±170","1,771","±182","1,936","±217","1,894","±202","2,185","±163","1,475","±209","1,958","±185","1,697","±137","1,205","±152","1,448","±180","1,237","±176","1,601","±275","629","±132","850","±153","1,369","±262","1,310","±117","1,956","±173","1,304","±94","2,163","±159","1,988","±255","2,344","±290","917","±123","2,153","±136","1,343","±105","1,776","±251","1,747","±158","1,512","±119","1,885","±168","1,358","±217","1,176","±85","2,164","±182","1,608","±249","2,269","±190","1,017","±152","1,019","±81","2,031","±156","1,207","±117","1,478","±230","981","±105","1,292","±204","1,750","±143","2,979","±413","1,541","±143","2,920","±382","1,942","±169","2,192","±234","1,273","±181","1,614","±139","1,430","±272","1,424","±240","1,039","±136","1,699","±399","1,408","±165","1,053","±94","1,327","±195","1,928","±135","2,563","±303","2,152","±168","1,867","±318","958","±64","1,826","±87","2,301","±257","2,053","±170","1,667","±117","1,126","±105","2,579","±306","1,310","±196","697","±65","2,087","±201","2,246","±197","0","±13"
"    Built 2020 or later","0","±13","0","±13","0","±13","0","±13","0","±13","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","10","±16","0","±19","0","±13","0","±13","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","28","±22","0","±19","0","±13","11","±16","9","±14","0","±13","0","±13","0","±13","9","±17","0","±13","0","±13","0","±13","0","±13","0","±19","0","±13","0","±19","0","±19","0","±19","0","±13","0","±19","0","±13","0","±19","0","±19","0","±19","0","±19","0","±13","0","±13","18","±27","38","±55","0","±19","0","±13","0","±13","12","±19","0","±13","0","±13","0","±13","55","±88","0","±19","0","±19","0","±13","0","±19","0","±19","0","±19","0","±13","0","±19","0","±13","0","±13","0","±13","0","±13","0","±13","0","±13","0","±19","10","±15","0","±13","12","±20","0","±19","0","±13","32","±35","0","±19","10","±15","8","±12","0","±13","0","±19","0","±13","0","±13","0","±19","0","±19","0","±13"
"    Built 2010 to 2019","53","±39","176","±80","0","±13","0","±13","237","±73","51","±50","44","±41","22","±33","148","±69","9","±14","135","±92","489","±244","1,003","±144","250","±132","0","±19","167","±92","40","±61","1,037","±234","21","±32","619","±104","828","±203","643","±160","59","±56","180","±72","220","±138","438","±91","266","±107","0","±13","177","±99","131","±79","82","±68","128","±79","13","±22","614","±185","6","±6","151","±75","0","±13","0","±13","10","±17","0","±13","75","±51","98","±57","9","±14","0","±13","70","±82","0","±13","90","±85","187","±99","0","±19","27","±32","9","±14","0","±13","251","±83","426","±126","26","±31","194","±131","12","±18","537","±112","0","±13","36","±27","33","±30","62","±49","165","±66","114","±94","44","±42","1,071","±373","179","±91","506","±204","57","±50","10","±16","93","±50","52","±32","243","±62","40","±43","38","±43","0","±13","400","±114","17","±18","354","±145","212","±90","108","±69","70","±31","538","±110","616","±143","576","±130","847","±131","0","±13","0","±19","0","±13","79","±51","104","±67","578","±170","0","±13"
"    Built 2000 to 2009","1,111","±186","131","±77","28","±41","167","±94","72","±27","404","±138","298","±198","14","±22","77","±74","201","±86","37","±41","957","±189","1,018","±164","246","±112","157","±89","70","±70","332","±174","736","±264","690","±194","836","±187","239","±139","428","±195","118","±79","826","±138","732","±169","647","±122","231","±113","332","±92","123","±53","905","±140","300","±129","436","±134","434","±128","414","±104","64","±42","362","±129","36","±38","158","±59","24","±25","0","±13","976","±178","414","±78","96","±73","12","±13","0","±19","7","±12","79","±47","684","±137","77","±51","199","±74","390","±145","286","±85","498","±169","478","±207","768","±228","242","±76","390","±101","354","±91","104","±84","399","±92","57","±39","386","±98","186","±56","197","±98","160","±82","1,451","±218","1,004","±108","928","±194","380","±81","1,462","±142","1,087","±266","925","±245","91","±39","455","±332","147","±118","813","±118","742","±194","675","±130","1,843","±271","1,789","±202","1,253","±277","405","±65","974","±132","497","±167","1,360","±183","740","±117","0","±13","98","±82","40","±45","34","±37","90","±101","108","±60","0","±13"
"    Built 1990 to 1999","169","±68","89","±44","137","±61","606","±159","242","±76","800","±192","521","±113","74","±80","190","±118","617","±194","67","±53","548","±206","66","±84","140","±114","113","±97","0","±13","200","±131","396","±127","369","±238","264","±101","693","±203","647","±255","312","±132","654","±172","207","±88","525","±214","235","±86","487","±159","601","±111","228","±71","522","±154","195","±74","549","±243","65","±52","80","±54","132","±85","157","±91","331","±73","348","±119","5","±10","130","±71","402","±101","585","±236","10","±14","26","±32","85","±49","761","±225","203","±78","173","±63","194","±74","617","±157","409","±82","545","±136","147","±45","653","±145","133","±45","487","±91","420","±108","95","±69","833","±214","78","±42","76","±69","90","±39","1,019","±362","608","±119","319","±163","548","±170","420","±135","755","±186","23","±22","151","±78","423","±82","104","±106","638","±176","803","±179","178","±81","143","±79","135","±56","288","±142","88","±83","391","±133","302","±61","209","±99","145","±75","71","±49","0","±13","89","±68","328","±216","94","±64","24","±29","202","±126","252","±149","0","±13"
"    Built 1980 to 1989","29","±26","79","±41","57","±67","113","±77","171","±63","634","±273","209","±93","518","±170","461","±175","506","±110","612","±135","116","±82","0","±19","86","±71","153","±99","63","±92","158","±124","632","±242","320","±164","246","±87","60","±67","73","±65","563","±170","62","±45","123","±73","202","±110","1,102","±183","402","±140","724","±196","227","±71","112","±106","245","±126","173","±72","363","±245","37","±48","53","±59","415","±208","95","±60","895","±159","74","±66","135","±89","943","±265","1,538","±203","778","±111","773","±166","737","±140","737","±130","393","±90","179","±73","1,312","±172","238","±85","395","±81","355","±104","256","±66","336","±128","221","±50","74","±45","623","±110","817","±161","191","±73","192","±58","152","±81","783","±142","1,156","±347","425","±136","29","±41","65","±43","241","±113","52","±34","20","±33","9","±15","13","±15","173","±57","325","±156","335","±144","36","±43","42","±62","520","±128","14","±23","0","±19","86","±98","104","±35","32","±32","414","±128","28","±26","17","±20","206","±102","797","±221","44","±49","22","±27","352","±177","423","±170","0","±13"
"    Built 1970 to 1979","13","±15","151","±66","81","±46","384","±216","387","±131","283","±144","186","±112","574","±154","952","±244","105","±49","197","±82","11","±20","16","±20","8","±14","293","±166","154","±125","122","±113","128","±108","355","±154","340","±171","452","±152","19","±25","573","±155","5","±10","241","±114","40","±48","296","±116","254","±94","316","±81","155","±64","95","±103","137","±81","68","±78","76","±113","52","±30","54","±52","570","±221","683","±135","558","±143","983","±135","792","±171","103","±41","116","±65","104","±68","1,268","±157","471","±128","76","±39","208","±89","1,068","±147","127","±62","40","±30","48","±32","308","±102","123","±65","402","±143","171","±65","12","±19","25","±23","104","±64","9","±13","349","±83","194","±83","416","±90","404","±164","252","±86","14","±22","11","±13","56","±90","0","±13","41","±30","10","±15","0","±13","122","±49","160","±232","34","±45","0","±13","0","±19","371","±99","35","±34","12","±21","0","±19","4","±6","39","±33","371","±207","8","±13","34","±31","256","±87","817","±220","557","±183","192","±91","628","±212","208","±104","0","±13"
"    Built 1960 to 1969","116","±46","217","±61","242","±99","214","±92","298","±84","52","±77","599","±165","441","±105","437","±145","95","±55","555","±131","47","±42","19","±24","442","±179","723","±245","326","±101","406","±180","7","±12","667","±157","0","±19","59","±59","0","±19","174","±90","0","±19","202","±88","14","±21","11","±18","0","±13","0","±19","0","±13","61","±62","154","±67","0","±13","51","±82","82","±74","89","±73","125","±82","43","±25","90","±67","184","±87","13","±23","0","±19","0","±19","5","±8","16","±25","36","±33","11","±17","61","±57","0","±19","12","±18","0","±13","0","±13","64","±56","75","±44","20","±24","18","±21","11","±17","10","±15","0","±13","10","±15","82","±43","56","±56","18","±20","22","±30","0","±13","0","±19","90","±42","0","±19","16","±13","49","±38","23","±24","0","±13","101","±57","81","±78","51","±79","14","±23","0","±19","121","±55","29","±36","0","±19","29","±41","26","±30","0","±19","133","±67","0","±19","7","±12","546","±127","510","±212","342","±117","161","±73","544","±174","554","±208","0","±13"
"    Built 1950 to 1959","74","±56","71","±44","675","±188","127","±57","144","±67","35","±30","124","±89","115","±86","40","±47","8","±12","16","±25","0","±19","11","±18","136","±107","81","±90","202","±149","100","±81","56","±91","14","±23","0","±19","0","±19","18","±30","191","±92","37","±49","135","±95","0","±19","44","±52","0","±13","0","±19","32","±50","17","±32","35","±37","0","±13","9","±14","111","±72","0","±13","33","±48","0","±13","2","±3","25","±26","42","±49","0","±19","0","±19","8","±12","0","±19","0","±13","22","±22","5","±9","15","±24","8","±13","0","±13","0","±13","45","±42","38","±47","47","±42","28","±20","0","±13","31","±45","0","±13","0","±13","93","±72","151","±125","46","±39","0","±19","42","±54","0","±19","11","±16","41","±58","0","±13","9","±14","17","±18","11","±17","16","±15","0","±13","0","±13","12","±21","0","±19","20","±23","0","±13","27","±32","0","±19","17","±15","0","±19","47","±59","0","±19","14","±20","29","±40","29","±47","188","±99","112","±50","167","±146","111","±63","0","±13"
"    Built 1940 to 1949","0","±13","8","±10","0","±13","68","±77","5","±6","0","±19","0","±19","28","±33","35","±59","0","±19","0","±19","0","±19","0","±19","0","±13","58","±61","0","±13","60","±62","37","±55","26","±36","0","±19","0","±19","0","±19","60","±65","0","±19","22","±29","0","±19","0","±19","0","±13","6","±9","10","±16","0","±13","63","±76","0","±13","0","±19","34","±21","0","±13","24","±38","0","±13","15","±20","20","±31","0","±19","0","±19","0","±19","0","±13","0","±19","7","±11","0","±19","0","±19","0","±19","0","±19","64","±105","0","±13","0","±19","7","±10","0","±19","0","±13","0","±13","0","±19","0","±13","0","±13","36","±23","36","±55","9","±14","50","±62","0","±13","0","±19","0","±19","0","±19","0","±13","0","±19","32","±46","0","±13","50","±36","0","±13","0","±13","0","±13","0","±19","9","±14","0","±13","0","±19","0","±19","3","±6","0","±19","8","±12","0","±19","0","±13","0","±13","0","±19","41","±41","73","±40","0","±19","12","±19","0","±13"
