"Label (Grouping)","Census Tract 9001; Prince William County; Virginia!!Estimate","Census Tract 9001; Prince William County; Virginia!!Margin of Error","Census Tract 9002.01; Prince William County; Virginia!!Estimate","Census Tract 9002.01; Prince William County; Virginia!!Margin of Error","Census Tract 9002.02; Prince William County; Virginia!!Estimate","Census Tract 9002.02; Prince William County; Virginia!!Margin of Error","Census Tract 9002.03; Prince William County; Virginia!!Estimate","Census Tract 9002.03; Prince William County; Virginia!!Margin of Error","Census Tract 9003.01; Prince William County; Virginia!!Estimate","Census Tract 9003.01; Prince William County; Virginia!!Margin of Error","Census Tract 9003.02; Prince William County; Virginia!!Estimate","Census Tract 9003.02; Prince William County; Virginia!!Margin of Error","Census Tract 9004.03; Prince William County; Virginia!!Estimate","Census Tract 9004.03; Prince William County; Virginia!!Margin of Error","Census Tract 9004.04; Prince William County; Virginia!!Estimate","Census Tract 9004.04; Prince William County; Virginia!!Margin of Error","Census Tract 9004.07; Prince William County; Virginia!!Estimate","Census Tract 9004.07; Prince William County; Virginia!!Margin of Error","Census Tract 9004.08; Prince William County; Virginia!!Estimate","Census Tract 9004.08; Prince William County; Virginia!!Margin of Error","Census Tract 9004.09; Prince William County; Virginia!!Estimate","Census Tract 9004.09; Prince William County; Virginia!!Margin of Error","Census Tract 9004.10; Prince William County; Virginia!!Estimate","Census Tract 9004.10; Prince William County; Virginia!!Margin of Error","Census Tract 9005.02; Prince William County; Virginia!!Estimate","Census Tract 9005.02; Prince William County; Virginia!!Margin of Error","Census Tract 9005.03; Prince William County; Virginia!!Estimate","Census Tract 9005.03; Prince William County; Virginia!!Margin of Error","Census Tract 9005.04; Prince William County; Virginia!!Estimate","Census Tract 9005.04; Prince William County; Virginia!!Margin of Error","Census Tract 9006.01; Prince William County; Virginia!!Estimate","Census Tract 9006.01; Prince William County; Virginia!!Margin of Error","Census Tract 9006.02; Prince William County; Virginia!!Estimate","Census Tract 9006.02; Prince William County; Virginia!!Margin of Error","Census Tract 9007.01; Prince William County; Virginia!!Estimate","Census Tract 9007.01; Prince William County; Virginia!!Margin of Error","Census Tract 9007.02; Prince William County; Virginia!!Estimate","Census Tract 9007.02; Prince William County; Virginia!!Margin of Error","Census Tract 9008.01; Prince William County; Virginia!!Estimate","Census Tract 9008.01; Prince William County; Virginia!!Margin of Error","Census Tract 9008.03; Prince William County; Virginia!!Estimate","Census Tract 9008.03; Prince William County; Virginia!!Margin of Error","Census Tract 9008.04; Prince William County; Virginia!!Estimate","Census Tract 9008.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.01; Prince William County; Virginia!!Estimate","Census Tract 9009.01; Prince William County; Virginia!!Margin of Error","Census Tract 9009.04; Prince William County; Virginia!!Estimate","Census Tract 9009.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.05; Prince William County; Virginia!!Estimate","Census Tract 9009.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.05; Prince William County; Virginia!!Estimate","Census Tract 9010.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.09; Prince William County; Virginia!!Estimate","Census Tract 9010.09; Prince William County; Virginia!!Margin of Error","Census Tract 9010.10; Prince William County; Virginia!!Estimate","Census Tract 9010.10; Prince William County; Virginia!!Margin of Error","Census Tract 9010.11; Prince William County; Virginia!!Estimate","Census Tract 9010.11; Prince William County; Virginia!!Margin of Error","Census Tract 9010.12; Prince William County; Virginia!!Estimate","Census Tract 9010.12; Prince William County; Virginia!!Margin of Error","Census Tract 9010.13; Prince William County; Virginia!!Estimate","Census Tract 9010.13; Prince William County; Virginia!!Margin of Error","Census Tract 9010.14; Prince William County; Virginia!!Estimate","Census Tract 9010.14; Prince William County; Virginia!!Margin of Error","Census Tract 9010.15; Prince William County; Virginia!!Estimate","Census Tract 9010.15; Prince William County; Virginia!!Margin of Error","Census Tract 9010.16; Prince William County; Virginia!!Estimate","Census Tract 9010.16; Prince William County; Virginia!!Margin of Error","Census Tract 9011.01; Prince William County; Virginia!!Estimate","Census Tract 9011.01; Prince William County; Virginia!!Margin of Error","Census Tract 9011.02; Prince William County; Virginia!!Estimate","Census Tract 9011.02; Prince William County; Virginia!!Margin of Error","Census Tract 9012.03; Prince William County; Virginia!!Estimate","Census Tract 9012.03; Prince William County; Virginia!!Margin of Error","Census Tract 9012.08; Prince William County; Virginia!!Estimate","Census Tract 9012.08; Prince William County; Virginia!!Margin of Error","Census Tract 9012.09; Prince William County; Virginia!!Estimate","Census Tract 9012.09; Prince William County; Virginia!!Margin of Error","Census Tract 9012.11; Prince William County; Virginia!!Estimate","Census Tract 9012.11; Prince William County; Virginia!!Margin of Error","Census Tract 9012.12; Prince William County; Virginia!!Estimate","Census Tract 9012.12; Prince William County; Virginia!!Margin of Error","Census Tract 9012.19; Prince William County; Virginia!!Estimate","Census Tract 9012.19; Prince William County; Virginia!!Margin of Error","Census Tract 9012.21; Prince William County; Virginia!!Estimate","Census Tract 9012.21; Prince William County; Virginia!!Margin of Error","Census Tract 9012.22; Prince William County; Virginia!!Estimate","Census Tract 9012.22; Prince William County; Virginia!!Margin of Error","Census Tract 9012.23; Prince William County; Virginia!!Estimate","Census Tract 9012.23; Prince William County; Virginia!!Margin of Error","Census Tract 9012.24; Prince William County; Virginia!!Estimate","Census Tract 9012.24; Prince William County; Virginia!!Margin of Error","Census Tract 9012.25; Prince William County; Virginia!!Estimate","Census Tract 9012.25; Prince William County; Virginia!!Margin of Error","Census Tract 9012.26; Prince William County; Virginia!!Estimate","Census Tract 9012.26; Prince William County; Virginia!!Margin of Error","Census Tract 9012.27; Prince William County; Virginia!!Estimate","Census Tract 9012.27; Prince William County; Virginia!!Margin of Error","Census Tract 9012.28; Prince William County; Virginia!!Estimate","Census Tract 9012.28; Prince William County; Virginia!!Margin of Error","Census Tract 9012.29; Prince William County; Virginia!!Estimate","Census Tract 9012.29; Prince William County; Virginia!!Margin of Error","Census Tract 9012.30; Prince William County; Virginia!!Estimate","Census Tract 9012.30; Prince William County; Virginia!!Margin of Error","Census Tract 9012.31; Prince William County; Virginia!!Estimate","Census Tract 9012.31; Prince William County; Virginia!!Margin of Error","Census Tract 9012.32; Prince William County; Virginia!!Estimate","Census Tract 9012.32; Prince William County; Virginia!!Margin of Error","Census Tract 9012.33; Prince William County; Virginia!!Estimate","Census Tract 9012.33; Prince William County; Virginia!!Margin of Error","Census Tract 9012.34; Prince William County; Virginia!!Estimate","Census Tract 9012.34; Prince William County; Virginia!!Margin of Error","Census Tract 9012.35; Prince William County; Virginia!!Estimate","Census Tract 9012.35; Prince William County; Virginia!!Margin of Error","Census Tract 9012.36; Prince William County; Virginia!!Estimate","Census Tract 9012.36; Prince William County; Virginia!!Margin of Error","Census Tract 9012.37; Prince William County; Virginia!!Estimate","Census Tract 9012.37; Prince William County; Virginia!!Margin of Error","Census Tract 9013.03; Prince William County; Virginia!!Estimate","Census Tract 9013.03; Prince William County; Virginia!!Margin of Error","Census Tract 9013.04; Prince William County; Virginia!!Estimate","Census Tract 9013.04; Prince William County; Virginia!!Margin of Error","Census Tract 9013.05; Prince William County; Virginia!!Estimate","Census Tract 9013.05; Prince William County; Virginia!!Margin of Error","Census Tract 9013.06; Prince William County; Virginia!!Estimate","Census Tract 9013.06; Prince William County; Virginia!!Margin of Error","Census Tract 9014.03; Prince William County; Virginia!!Estimate","Census Tract 9014.03; Prince William County; Virginia!!Margin of Error","Census Tract 9014.07; Prince William County; Virginia!!Estimate","Census Tract 9014.07; Prince William County; Virginia!!Margin of Error","Census Tract 9014.09; Prince William County; Virginia!!Estimate","Census Tract 9014.09; Prince William County; Virginia!!Margin of Error","Census Tract 9014.11; Prince William County; Virginia!!Estimate","Census Tract 9014.11; Prince William County; Virginia!!Margin of Error","Census Tract 9014.12; Prince William County; Virginia!!Estimate","Census Tract 9014.12; Prince William County; Virginia!!Margin of Error","Census Tract 9014.13; Prince William County; Virginia!!Estimate","Census Tract 9014.13; Prince William County; Virginia!!Margin of Error","Census Tract 9014.14; Prince William County; Virginia!!Estimate","Census Tract 9014.14; Prince William County; Virginia!!Margin of Error","Census Tract 9014.15; Prince William County; Virginia!!Estimate","Census Tract 9014.15; Prince William County; Virginia!!Margin of Error","Census Tract 9014.16; Prince William County; Virginia!!Estimate","Census Tract 9014.16; Prince William County; Virginia!!Margin of Error","Census Tract 9014.17; Prince William County; Virginia!!Estimate","Census Tract 9014.17; Prince William County; Virginia!!Margin of Error","Census Tract 9014.18; Prince William County; Virginia!!Estimate","Census Tract 9014.18; Prince William County; Virginia!!Margin of Error","Census Tract 9014.19; Prince William County; Virginia!!Estimate","Census Tract 9014.19; Prince William County; Virginia!!Margin of Error","Census Tract 9014.20; Prince William County; Virginia!!Estimate","Census Tract 9014.20; Prince William County; Virginia!!Margin of Error","Census Tract 9014.21; Prince William County; Virginia!!Estimate","Census Tract 9014.21; Prince William County; Virginia!!Margin of Error","Census Tract 9015.03; Prince William County; Virginia!!Estimate","Census Tract 9015.03; Prince William County; Virginia!!Margin of Error","Census Tract 9015.04; Prince William County; Virginia!!Estimate","Census Tract 9015.04; Prince William County; Virginia!!Margin of Error","Census Tract 9015.05; Prince William County; Virginia!!Estimate","Census Tract 9015.05; Prince William County; Virginia!!Margin of Error","Census Tract 9015.06; Prince William County; Virginia!!Estimate","Census Tract 9015.06; Prince William County; Virginia!!Margin of Error","Census Tract 9015.07; Prince William County; Virginia!!Estimate","Census Tract 9015.07; Prince William County; Virginia!!Margin of Error","Census Tract 9015.08; Prince William County; Virginia!!Estimate","Census Tract 9015.08; Prince William County; Virginia!!Margin of Error","Census Tract 9015.09; Prince William County; Virginia!!Estimate","Census Tract 9015.09; Prince William County; Virginia!!Margin of Error","Census Tract 9015.10; Prince William County; Virginia!!Estimate","Census Tract 9015.10; Prince William County; Virginia!!Margin of Error","Census Tract 9015.11; Prince William County; Virginia!!Estimate","Census Tract 9015.11; Prince William County; Virginia!!Margin of Error","Census Tract 9016.01; Prince William County; Virginia!!Estimate","Census Tract 9016.01; Prince William County; Virginia!!Margin of Error","Census Tract 9016.02; Prince William County; Virginia!!Estimate","Census Tract 9016.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.02; Prince William County; Virginia!!Estimate","Census Tract 9017.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.03; Prince William County; Virginia!!Estimate","Census Tract 9017.03; Prince William County; Virginia!!Margin of Error","Census Tract 9017.04; Prince William County; Virginia!!Estimate","Census Tract 9017.04; Prince William County; Virginia!!Margin of Error","Census Tract 9019; Prince William County; Virginia!!Estimate","Census Tract 9019; Prince William County; Virginia!!Margin of Error","Census Tract 9801; Prince William County; Virginia!!Estimate","Census Tract 9801; Prince William County; Virginia!!Margin of Error"
"Total:","1,654","±185","1,135","±115","1,244","±161","1,545","±253","1,636","±139","2,307","±233","2,019","±225","1,712","±168","2,435","±259","1,591","±241","1,620","±156","2,361","±307","2,109","±190","1,268","±170","1,572","±291","998","±67","1,466","±187","3,182","±266","2,380","±264","2,308","±235","2,345","±197","2,065","±244","2,187","±198","2,425","±186","1,934","±198","1,965","±200","2,300","±157","1,448","±207","1,987","±188","1,722","±164","1,107","±142","1,505","±182","1,202","±173","1,777","±255","736","±98","881","±131","1,366","±252","1,300","±121","1,986","±168","1,249","±107","2,231","±152","2,005","±253","2,481","±293","904","±125","2,210","±129","1,357","±103","1,669","±244","1,748","±163","1,446","±118","1,826","±171","1,313","±220","1,205","±88","2,457","±185","1,862","±249","2,326","±198","1,138","±160","1,027","±77","2,103","±146","1,254","±118","1,513","±229","1,012","±113","1,386","±211","1,866","±140","2,992","±411","1,565","±144","3,233","±385","1,997","±160","2,158","±241","1,331","±184","1,726","±143","1,425","±271","1,425","±239","1,136","±121","1,946","±402","1,380","±177","1,126","±84","1,371","±204","2,028","±134","2,682","±307","2,239","±165","1,869","±330","1,011","±71","2,010","±108","2,537","±246","2,143","±141","1,814","±125","1,162","±110","2,625","±287","1,306","±203","744","±59","2,069","±204","2,434","±208","0","±13"
"    Built 2020 or later","43","±49","15","±25","0","±13","0","±19","0","±13","0","±19","0","±19","0","±19","0","±19","0","±19","0","±13","37","±34","50","±67","42","±48","0","±19","0","±13","17","±30","0","±19","0","±19","0","±19","0","±19","136","±83","206","±179","392","±136","9","±16","27","±23","31","±46","15","±22","7","±11","22","±19","26","±43","0","±19","0","±13","23","±31","0","±13","0","±13","0","±13","10","±15","8","±13","0","±13","21","±36","0","±19","19","±30","0","±13","0","±19","0","±13","0","±13","9","±14","0","±19","0","±19","7","±12","14","±24","117","±87","133","±74","0","±19","48","±67","0","±13","103","±82","0","±13","0","±19","16","±19","77","±92","10","±16","12","±27","32","±28","96","±96","0","±19","0","±19","0","±13","102","±54","0","±13","0","±19","43","±44","275","±113","9","±14","0","±13","0","±19","88","±78","0","±13","80","±70","0","±19","0","±13","195","±120","250","±77","31","±36","33","±28","0","±13","0","±19","0","±13","0","±13","0","±19","25","±41","0","±13"
"    Built 2010 to 2019","63","±50","414","±120","0","±13","89","±77","245","±92","203","±153","34","±37","0","±19","173","±127","20","±23","100","±79","581","±240","1,003","±209","245","±101","19","±21","134","±81","59","±53","862","±260","26","±42","656","±204","946","±293","772","±140","110","±99","463","±156","191","±122","445","±101","266","±137","8","±14","206","±82","97","±75","85","±70","173","±90","44","±40","642","±183","27","±19","170","±81","10","±15","0","±13","0","±19","34","±54","156","±132","119","±70","85","±95","0","±13","84","±73","0","±13","74","±88","185","±93","42","±64","38","±37","0","±13","9","±14","462","±135","524","±147","44","±41","250","±161","12","±21","739","±171","8","±13","112","±60","30","±28","189","±73","187","±87","158","±100","88","±55","1,538","±430","218","±109","580","±210","58","±40","98","±80","77","±63","118","±62","298","±76","151","±87","16","±21","113","±59","596","±136","44","±26","437","±135","286","±120","140","±64","69","±26","556","±118","812","±201","513","±139","908","±136","0","±13","85","±133","16","±21","168","±68","172","±106","678","±231","0","±13"
"    Built 2000 to 2009","1,242","±202","137","±87","48","±47","114","±68","92","±40","264","±135","360","±210","0","±19","0","±19","200","±87","8","±14","1,140","±227","934","±216","153","±96","181","±82","54","±75","319","±175","1,015","±285","797","±210","926","±231","250","±132","295","±149","147","±117","760","±153","770","±199","699","±136","233","±119","299","±87","124","±56","1,002","±164","447","±141","300","±132","369","±140","490","±138","60","±28","478","±114","0","±13","184","±71","60","±50","17","±26","1,059","±181","396","±100","258","±122","0","±13","32","±39","23","±29","142","±63","702","±143","79","±52","185","±88","383","±141","207","±74","458","±155","505","±233","751","±257","151","±85","309","±105","265","±101","45","±45","404","±102","57","±30","233","±96","279","±73","197","±115","136","±83","1,122","±260","1,014","±115","843","±165","459","±101","1,424","±188","1,076","±285","861","±257","67","±45","387","±324","202","±110","884","±109","608","±195","719","±145","1,926","±287","1,700","±225","1,421","±278","501","±78","953","±141","444","±190","1,499","±171","814","±121","14","±21","129","±111","19","±32","85","±66","155","±125","425","±118","0","±13"
"    Built 1990 to 1999","126","±55","17","±26","148","±73","455","±172","143","±57","596","±166","615","±124","75","±71","300","±192","569","±211","42","±43","410","±205","56","±83","123","±82","121","±80","94","±108","263","±120","234","±162","351","±245","282","±114","464","±213","673","±268","370","±153","553","±205","180","±88","520","±214","118","±66","398","±154","670","±168","195","±87","339","±131","201","±91","538","±206","28","±38","131","±61","125","±71","154","±99","224","±64","464","±123","40","±53","101","±66","455","±120","512","±281","56","±43","187","±134","103","±55","588","±255","230","±108","63","±35","180","±85","482","±180","494","±107","540","±178","134","±52","839","±169","190","±70","554","±111","441","±134","114","±67","871","±241","107","±44","140","±88","160","±80","924","±396","557","±141","381","±211","599","±181","372","±138","761","±199","26","±19","182","±79","398","±91","91","±105","615","±166","717","±183","116","±69","153","±79","115","±59","243","±152","137","±120","216","±101","293","±70","69","±51","140","±85","40","±44","0","±13","39","±60","421","±284","93","±57","13","±16","181","±104","120","±109","0","±13"
"    Built 1980 to 1989","40","±44","19","±22","139","±98","162","±91","134","±56","621","±249","118","±60","322","±174","525","±158","530","±117","690","±142","118","±94","0","±13","107","±69","45","±46","13","±26","301","±159","848","±241","129","±110","115","±92","138","±109","89","±62","488","±178","122","±107","45","±39","211","±128","1,325","±174","322","±143","601","±207","186","±76","51","±57","412","±148","142","±83","416","±247","48","±40","40","±43","335","±172","90","±57","763","±176","56","±62","70","±59","797","±261","1,471","±235","688","±113","746","±234","792","±141","731","±131","290","±77","316","±106","1,190","±222","289","±90","439","±111","549","±169","295","±77","297","±105","213","±89","82","±43","458","±118","902","±133","95","±41","199","±64","207","±110","738","±154","1,065","±394","482","±149","0","±19","72","±47","306","±112","32","±28","27","±36","14","±20","22","±24","148","±71","195","±104","260","±110","0","±13","8","±14","464","±125","26","±31","10","±18","86","±98","133","±43","55","±53","318","±127","33","±39","8","±13","188","±98","1,004","±257","128","±80","32","±34","491","±158","523","±198","0","±13"
"    Built 1970 to 1979","16","±23","113","±64","62","±47","412","±261","433","±170","260","±155","118","±85","692","±175","1,029","±277","103","±64","173","±71","20","±28","14","±18","49","±66","248","±158","237","±102","98","±103","150","±116","314","±144","329","±197","298","±189","73","±51","500","±167","0","±19","279","±98","44","±52","269","±131","390","±108","373","±123","180","±77","25","±26","117","±64","73","±77","54","±59","92","±48","0","±13","685","±198","761","±141","530","±133","969","±144","728","±220","211","±70","136","±72","160","±79","1,131","±213","377","±103","112","±61","289","±100","859","±171","160","±71","82","±55","28","±26","278","±136","163","±74","284","±123","234","±106","38","±30","39","±47","117","±84","11","±17","293","±85","203","±98","443","±119","212","±157","208","±91","24","±44","0","±19","57","±89","0","±13","27","±22","14","±21","9","±15","229","±102","292","±241","112","±84","0","±13","6","±10","296","±94","9","±15","0","±19","0","±19","5","±7","54","±42","397","±233","8","±12","43","±35","305","±120","683","±250","495","±175","180","±76","821","±212","112","±102","0","±13"
"    Built 1960 to 1969","70","±45","286","±93","217","±93","130","±75","328","±92","261","±167","633","±174","525","±156","370","±165","75","±59","591","±143","31","±35","0","±13","335","±178","780","±289","303","±89","295","±159","0","±19","725","±251","0","±19","215","±201","0","±19","17","±28","15","±22","176","±90","0","±19","33","±45","0","±13","0","±19","8","±13","27","±38","130","±74","0","±13","0","±19","143","±87","60","±61","161","±91","23","±23","117","±70","75","±54","29","±36","0","±19","0","±19","0","±13","30","±39","47","±49","14","±23","38","±48","49","±67","51","±46","5","±9","14","±20","26","±33","70","±55","0","±19","8","±12","10","±17","31","±40","68","±74","10","±17","90","±53","64","±57","16","±22","70","±76","37","±45","0","±19","43","±40","0","±19","21","±24","0","±19","13","±20","0","±19","72","±62","31","±38","64","±73","0","±13","0","±19","104","±69","27","±30","0","±19","1","±3","4","±5","81","±71","89","±64","0","±19","0","±13","514","±154","222","±162","412","±119","224","±116","171","±86","531","±204","0","±13"
"    Built 1950 to 1959","54","±42","55","±34","610","±194","183","±100","141","±101","94","±95","60","±61","66","±59","38","±60","0","±19","7","±11","0","±19","52","±79","214","±124","130","±134","163","±88","46","±46","0","±19","0","±19","0","±19","0","±19","27","±32","189","±117","80","±78","146","±107","8","±13","25","±45","0","±13","0","±19","32","±50","22","±26","87","±62","36","±40","124","±87","73","±37","0","±13","0","±13","8","±13","10","±12","8","±13","67","±83","0","±19","0","±19","0","±13","0","±19","8","±12","8","±15","5","±9","0","±19","0","±19","0","±13","0","±13","0","±19","17","±19","38","±42","12","±18","0","±13","27","±41","0","±13","0","±19","121","±89","132","±132","33","±30","203","±141","13","±24","18","±31","38","±57","0","±19","0","±13","0","±19","30","±27","7","±13","14","±17","0","±19","0","±13","13","±21","0","±19","28","±29","14","±22","12","±18","5","±7","3","±4","45","±47","10","±13","0","±19","8","±13","74","±71","34","±57","143","±75","37","±31","70","±111","20","±41","0","±13"
"    Built 1940 to 1949","0","±13","13","±15","5","±9","0","±19","39","±43","0","±19","81","±80","32","±37","0","±19","0","±19","9","±14","0","±19","0","±13","0","±13","48","±56","0","±13","16","±36","38","±49","17","±22","0","±19","0","±19","0","±19","35","±60","20","±32","38","±53","11","±17","0","±19","16","±26","6","±10","0","±13","0","±13","30","±45","0","±13","0","±19","15","±11","0","±13","0","±13","0","±13","9","±17","50","±41","0","±19","0","±19","0","±19","0","±13","0","±19","7","±11","0","±13","0","±19","0","±19","9","±16","65","±108","0","±13","0","±19","0","±19","56","±74","17","±26","0","±13","0","±19","0","±13","0","±19","65","±35","29","±46","0","±19","123","±141","0","±13","41","±73","0","±19","0","±19","0","±13","0","±19","0","±13","0","±19","29","±26","0","±19","0","±13","0","±13","0","±19","0","±19","0","±13","0","±19","0","±19","0","±13","0","±19","16","±29","0","±19","0","±13","28","±43","0","±19","0","±13","2","±6","0","±19","0","±19","0","±13"
