"Label (Grouping)","Census Tract 9001, Prince William County, Virginia!!Estimate","Census Tract 9001, Prince William County, Virginia!!Margin of Error","Census Tract 9002.01, Prince William County, Virginia!!Estimate","Census Tract 9002.01, Prince William County, Virginia!!Margin of Error","Census Tract 9002.02, Prince William County, Virginia!!Estimate","Census Tract 9002.02, Prince William County, Virginia!!Margin of Error","Census Tract 9002.03, Prince William County, Virginia!!Estimate","Census Tract 9002.03, Prince William County, Virginia!!Margin of Error","Census Tract 9003.01, Prince William County, Virginia!!Estimate","Census Tract 9003.01, Prince William County, Virginia!!Margin of Error","Census Tract 9003.02, Prince William County, Virginia!!Estimate","Census Tract 9003.02, Prince William County, Virginia!!Margin of Error","Census Tract 9004.03, Prince William County, Virginia!!Estimate","Census Tract 9004.03, Prince William County, Virginia!!Margin of Error","Census Tract 9004.04, Prince William County, Virginia!!Estimate","Census Tract 9004.04, Prince William County, Virginia!!Margin of Error","Census Tract 9004.07, Prince William County, Virginia!!Estimate","Census Tract 9004.07, Prince William County, Virginia!!Margin of Error","Census Tract 9004.08, Prince William County, Virginia!!Estimate","Census Tract 9004.08, Prince William County, Virginia!!Margin of Error","Census Tract 9004.09, Prince William County, Virginia!!Estimate","Census Tract 9004.09, Prince William County, Virginia!!Margin of Error","Census Tract 9004.10, Prince William County, Virginia!!Estimate","Census Tract 9004.10, Prince William County, Virginia!!Margin of Error","Census Tract 9005.02, Prince William County, Virginia!!Estimate","Census Tract 9005.02, Prince William County, Virginia!!Margin of Error","Census Tract 9005.03, Prince William County, Virginia!!Estimate","Census Tract 9005.03, Prince William County, Virginia!!Margin of Error","Census Tract 9005.04, Prince William County, Virginia!!Estimate","Census Tract 9005.04, Prince William County, Virginia!!Margin of Error","Census Tract 9006.01, Prince William County, Virginia!!Estimate","Census Tract 9006.01, Prince William County, Virginia!!Margin of Error","Census Tract 9006.02, Prince William County, Virginia!!Estimate","Census Tract 9006.02, Prince William County, Virginia!!Margin of Error","Census Tract 9007.01, Prince William County, Virginia!!Estimate","Census Tract 9007.01, Prince William County, Virginia!!Margin of Error","Census Tract 9007.02, Prince William County, Virginia!!Estimate","Census Tract 9007.02, Prince William County, Virginia!!Margin of Error","Census Tract 9008.01, Prince William County, Virginia!!Estimate","Census Tract 9008.01, Prince William County, Virginia!!Margin of Error","Census Tract 9008.03, Prince William County, Virginia!!Estimate","Census Tract 9008.03, Prince William County, Virginia!!Margin of Error","Census Tract 9008.04, Prince William County, Virginia!!Estimate","Census Tract 9008.04, Prince William County, Virginia!!Margin of Error","Census Tract 9009.01, Prince William County, Virginia!!Estimate","Census Tract 9009.01, Prince William County, Virginia!!Margin of Error","Census Tract 9009.04, Prince William County, Virginia!!Estimate","Census Tract 9009.04, Prince William County, Virginia!!Margin of Error","Census Tract 9009.05, Prince William County, Virginia!!Estimate","Census Tract 9009.05, Prince William County, Virginia!!Margin of Error","Census Tract 9010.05, Prince William County, Virginia!!Estimate","Census Tract 9010.05, Prince William County, Virginia!!Margin of Error","Census Tract 9010.09, Prince William County, Virginia!!Estimate","Census Tract 9010.09, Prince William County, Virginia!!Margin of Error","Census Tract 9010.10, Prince William County, Virginia!!Estimate","Census Tract 9010.10, Prince William County, Virginia!!Margin of Error","Census Tract 9010.11, Prince William County, Virginia!!Estimate","Census Tract 9010.11, Prince William County, Virginia!!Margin of Error","Census Tract 9010.12, Prince William County, Virginia!!Estimate","Census Tract 9010.12, Prince William County, Virginia!!Margin of Error","Census Tract 9010.13, Prince William County, Virginia!!Estimate","Census Tract 9010.13, Prince William County, Virginia!!Margin of Error","Census Tract 9010.14, Prince William County, Virginia!!Estimate","Census Tract 9010.14, Prince William County, Virginia!!Margin of Error","Census Tract 9010.15, Prince William County, Virginia!!Estimate","Census Tract 9010.15, Prince William County, Virginia!!Margin of Error","Census Tract 9010.16, Prince William County, Virginia!!Estimate","Census Tract 9010.16, Prince William County, Virginia!!Margin of Error","Census Tract 9011.01, Prince William County, Virginia!!Estimate","Census Tract 9011.01, Prince William County, Virginia!!Margin of Error","Census Tract 9011.02, Prince William County, Virginia!!Estimate","Census Tract 9011.02, Prince William County, Virginia!!Margin of Error","Census Tract 9012.03, Prince William County, Virginia!!Estimate","Census Tract 9012.03, Prince William County, Virginia!!Margin of Error","Census Tract 9012.08, Prince William County, Virginia!!Estimate","Census Tract 9012.08, Prince William County, Virginia!!Margin of Error","Census Tract 9012.09, Prince William County, Virginia!!Estimate","Census Tract 9012.09, Prince William County, Virginia!!Margin of Error","Census Tract 9012.11, Prince William County, Virginia!!Estimate","Census Tract 9012.11, Prince William County, Virginia!!Margin of Error","Census Tract 9012.12, Prince William County, Virginia!!Estimate","Census Tract 9012.12, Prince William County, Virginia!!Margin of Error","Census Tract 9012.19, Prince William County, Virginia!!Estimate","Census Tract 9012.19, Prince William County, Virginia!!Margin of Error","Census Tract 9012.21, Prince William County, Virginia!!Estimate","Census Tract 9012.21, Prince William County, Virginia!!Margin of Error","Census Tract 9012.22, Prince William County, Virginia!!Estimate","Census Tract 9012.22, Prince William County, Virginia!!Margin of Error","Census Tract 9012.23, Prince William County, Virginia!!Estimate","Census Tract 9012.23, Prince William County, Virginia!!Margin of Error","Census Tract 9012.24, Prince William County, Virginia!!Estimate","Census Tract 9012.24, Prince William County, Virginia!!Margin of Error","Census Tract 9012.25, Prince William County, Virginia!!Estimate","Census Tract 9012.25, Prince William County, Virginia!!Margin of Error","Census Tract 9012.26, Prince William County, Virginia!!Estimate","Census Tract 9012.26, Prince William County, Virginia!!Margin of Error","Census Tract 9012.27, Prince William County, Virginia!!Estimate","Census Tract 9012.27, Prince William County, Virginia!!Margin of Error","Census Tract 9012.28, Prince William County, Virginia!!Estimate","Census Tract 9012.28, Prince William County, Virginia!!Margin of Error","Census Tract 9012.29, Prince William County, Virginia!!Estimate","Census Tract 9012.29, Prince William County, Virginia!!Margin of Error","Census Tract 9012.30, Prince William County, Virginia!!Estimate","Census Tract 9012.30, Prince William County, Virginia!!Margin of Error","Census Tract 9012.31, Prince William County, Virginia!!Estimate","Census Tract 9012.31, Prince William County, Virginia!!Margin of Error","Census Tract 9012.32, Prince William County, Virginia!!Estimate","Census Tract 9012.32, Prince William County, Virginia!!Margin of Error","Census Tract 9012.33, Prince William County, Virginia!!Estimate","Census Tract 9012.33, Prince William County, Virginia!!Margin of Error","Census Tract 9012.34, Prince William County, Virginia!!Estimate","Census Tract 9012.34, Prince William County, Virginia!!Margin of Error","Census Tract 9012.35, Prince William County, Virginia!!Estimate","Census Tract 9012.35, Prince William County, Virginia!!Margin of Error","Census Tract 9012.36, Prince William County, Virginia!!Estimate","Census Tract 9012.36, Prince William County, Virginia!!Margin of Error","Census Tract 9012.37, Prince William County, Virginia!!Estimate","Census Tract 9012.37, Prince William County, Virginia!!Margin of Error","Census Tract 9013.03, Prince William County, Virginia!!Estimate","Census Tract 9013.03, Prince William County, Virginia!!Margin of Error","Census Tract 9013.04, Prince William County, Virginia!!Estimate","Census Tract 9013.04, Prince William County, Virginia!!Margin of Error","Census Tract 9013.05, Prince William County, Virginia!!Estimate","Census Tract 9013.05, Prince William County, Virginia!!Margin of Error","Census Tract 9013.06, Prince William County, Virginia!!Estimate","Census Tract 9013.06, Prince William County, Virginia!!Margin of Error","Census Tract 9014.03, Prince William County, Virginia!!Estimate","Census Tract 9014.03, Prince William County, Virginia!!Margin of Error","Census Tract 9014.07, Prince William County, Virginia!!Estimate","Census Tract 9014.07, Prince William County, Virginia!!Margin of Error","Census Tract 9014.09, Prince William County, Virginia!!Estimate","Census Tract 9014.09, Prince William County, Virginia!!Margin of Error","Census Tract 9014.11, Prince William County, Virginia!!Estimate","Census Tract 9014.11, Prince William County, Virginia!!Margin of Error","Census Tract 9014.12, Prince William County, Virginia!!Estimate","Census Tract 9014.12, Prince William County, Virginia!!Margin of Error","Census Tract 9014.13, Prince William County, Virginia!!Estimate","Census Tract 9014.13, Prince William County, Virginia!!Margin of Error","Census Tract 9014.14, Prince William County, Virginia!!Estimate","Census Tract 9014.14, Prince William County, Virginia!!Margin of Error","Census Tract 9014.15, Prince William County, Virginia!!Estimate","Census Tract 9014.15, Prince William County, Virginia!!Margin of Error","Census Tract 9014.16, Prince William County, Virginia!!Estimate","Census Tract 9014.16, Prince William County, Virginia!!Margin of Error","Census Tract 9014.17, Prince William County, Virginia!!Estimate","Census Tract 9014.17, Prince William County, Virginia!!Margin of Error","Census Tract 9014.18, Prince William County, Virginia!!Estimate","Census Tract 9014.18, Prince William County, Virginia!!Margin of Error","Census Tract 9014.19, Prince William County, Virginia!!Estimate","Census Tract 9014.19, Prince William County, Virginia!!Margin of Error","Census Tract 9014.20, Prince William County, Virginia!!Estimate","Census Tract 9014.20, Prince William County, Virginia!!Margin of Error","Census Tract 9014.21, Prince William County, Virginia!!Estimate","Census Tract 9014.21, Prince William County, Virginia!!Margin of Error","Census Tract 9015.03, Prince William County, Virginia!!Estimate","Census Tract 9015.03, Prince William County, Virginia!!Margin of Error","Census Tract 9015.04, Prince William County, Virginia!!Estimate","Census Tract 9015.04, Prince William County, Virginia!!Margin of Error","Census Tract 9015.05, Prince William County, Virginia!!Estimate","Census Tract 9015.05, Prince William County, Virginia!!Margin of Error","Census Tract 9015.06, Prince William County, Virginia!!Estimate","Census Tract 9015.06, Prince William County, Virginia!!Margin of Error","Census Tract 9015.07, Prince William County, Virginia!!Estimate","Census Tract 9015.07, Prince William County, Virginia!!Margin of Error","Census Tract 9015.08, Prince William County, Virginia!!Estimate","Census Tract 9015.08, Prince William County, Virginia!!Margin of Error","Census Tract 9015.09, Prince William County, Virginia!!Estimate","Census Tract 9015.09, Prince William County, Virginia!!Margin of Error","Census Tract 9015.10, Prince William County, Virginia!!Estimate","Census Tract 9015.10, Prince William County, Virginia!!Margin of Error","Census Tract 9015.11, Prince William County, Virginia!!Estimate","Census Tract 9015.11, Prince William County, Virginia!!Margin of Error","Census Tract 9016.01, Prince William County, Virginia!!Estimate","Census Tract 9016.01, Prince William County, Virginia!!Margin of Error","Census Tract 9016.02, Prince William County, Virginia!!Estimate","Census Tract 9016.02, Prince William County, Virginia!!Margin of Error","Census Tract 9017.02, Prince William County, Virginia!!Estimate","Census Tract 9017.02, Prince William County, Virginia!!Margin of Error","Census Tract 9017.03, Prince William County, Virginia!!Estimate","Census Tract 9017.03, Prince William County, Virginia!!Margin of Error","Census Tract 9017.04, Prince William County, Virginia!!Estimate","Census Tract 9017.04, Prince William County, Virginia!!Margin of Error","Census Tract 9019, Prince William County, Virginia!!Estimate","Census Tract 9019, Prince William County, Virginia!!Margin of Error","Census Tract 9801, Prince William County, Virginia!!Estimate","Census Tract 9801, Prince William County, Virginia!!Margin of Error"
"Total:","293","±98","345","±70","182","±93","1,233","±284","542","±129","1,196","±287","561","±136","433","±119","1,316","±228","216","±161","435","±192","1,111","±296","966","±189","497","±179","379","±129","97","±102","857","±152","1,350","±280","456","±139","197","±79","821","±228","708","±313","1,067","±158","183","±87","340","±102","52","±33","221","±118","275","±131","284","±113","208","±96","217","±118","430","±118","699","±191","501","±246","480","±129","806","±118","253","±162","241","±73","475","±125","141","±74","480","±141","92","±50","690","±173","125","±44","344","±148","99","±61","177","±84","175","±82","172","±125","173","±90","106","±94","63","±43","403","±106","94","±61","56","±61","51","±37","109","±70","493","±125","269","±91","157","±182","65","±43","175","±112","39","±38","1,850","±374","889","±152","909","±314","162","±77","251","±90","102","±56","58","±31","200","±175","81","±46","171","±103","1,101","±384","1,063","±234","104","±68","34","±42","30","±21","361","±166","92","±74","468","±238","186","±43","437","±103","107","±71","321","±109","25","±23","234","±96","1,012","±266","541","±246","14","±24","1,359","±216","994","±173","0","±13"
"    Less than 10.0 percent","0","±13","14","±14","0","±13","0","±13","4","±6","0","±18","0","±18","0","±18","61","±55","0","±18","0","±18","0","±18","0","±18","0","±13","0","±18","0","±13","69","±69","73","±90","0","±18","41","±41","11","±19","0","±18","32","±45","0","±18","18","±14","0","±18","0","±18","0","±13","10","±16","0","±13","0","±13","0","±13","32","±43","20","±34","22","±16","10","±17","4","±9","26","±23","0","±18","0","±13","13","±27","0","±18","15","±23","4","±7","0","±18","0","±13","0","±18","0","±18","10","±15","13","±21","0","±13","0","±13","0","±18","0","±18","0","±18","0","±13","0","±13","4","±8","6","±8","0","±13","5","±10","0","±13","0","±13","29","±43","54","±53","37","±61","3","±6","10","±15","0","±13","0","±18","0","±13","0","±18","0","±13","41","±66","0","±13","0","±13","0","±13","0","±18","0","±13","0","±18","24","±29","0","±13","9","±14","0","±18","49","±62","0","±13","0","±13","22","±35","46","±71","0","±13","0","±18","0","±18","0","±13"
"    10.0 to 14.9 percent","0","±13","52","±41","49","±54","77","±49","56","±42","22","±28","8","±13","62","±50","84","±72","0","±18","0","±18","143","±122","101","±56","22","±47","11","±18","0","±13","0","±13","37","±44","8","±16","12","±20","59","±57","101","±90","77","±63","9","±16","6","±11","0","±18","17","±27","39","±35","0","±18","47","±45","0","±13","31","±34","9","±27","16","±30","19","±14","70","±62","4","±8","17","±17","53","±45","29","±24","0","±18","0","±18","67","±45","14","±11","24","±37","0","±13","0","±18","0","±18","17","±23","7","±10","0","±13","0","±13","20","±24","11","±15","0","±18","0","±13","21","±24","14","±17","31","±35","0","±13","16","±25","14","±20","0","±13","161","±114","64","±44","66","±73","11","±17","19","±27","12","±19","28","±20","0","±13","0","±18","10","±13","48","±47","15","±29","10","±17","0","±13","0","±18","14","±24","0","±18","0","±18","15","±14","30","±26","27","±42","18","±21","0","±13","40","±49","21","±34","15","±29","0","±13","67","±102","32","±43","0","±13"
"    15.0 to 19.9 percent","72","±62","38","±51","10","±16","319","±239","50","±48","353","±239","47","±50","1","±2","113","±99","18","±21","17","±20","87","±50","134","±91","11","±25","52","±46","0","±13","108","±62","160","±119","86","±80","32","±39","36","±40","0","±18","134","±90","18","±23","62","±55","0","±18","16","±25","109","±116","50","±65","23","±27","0","±13","61","±65","127","±103","83","±84","68","±50","9","±14","11","±13","0","±13","30","±32","6","±10","28","±31","12","±19","124","±170","13","±19","34","±36","24","±31","25","±32","95","±73","55","±87","22","±35","3","±5","10","±14","16","±21","6","±9","0","±18","5","±8","11","±16","83","±56","74","±66","4","±7","24","±30","46","±42","7","±14","94","±67","146","±61","42","±44","44","±38","17","±21","10","±15","0","±18","99","±149","0","±18","11","±12","413","±376","160","±94","41","±32","11","±16","7","±11","0","±13","54","±62","51","±42","61","±34","87","±63","21","±25","46","±42","0","±13","0","±13","189","±105","212","±135","0","±13","226","±137","221","±147","0","±13"
"    20.0 to 24.9 percent","84","±59","14","±15","49","±47","114","±83","77","±63","246","±108","18","±18","7","±10","275","±149","134","±149","87","±77","322","±231","186","±79","127","±100","22","±35","9","±44","70","±73","239","±151","136","±113","60","±64","68","±49","106","±77","169","±73","19","±23","57","±42","9","±13","48","±39","31","±24","48","±54","33","±50","49","±77","62","±67","74","±52","65","±79","42","±40","89","±72","104","±137","10","±16","107","±69","15","±25","117","±75","24","±34","132","±93","18","±13","45","±45","7","±10","49","±39","0","±18","35","±51","12","±15","43","±41","9","±13","47","±37","7","±11","0","±18","23","±30","28","±26","102","±78","13","±15","0","±13","0","±13","21","±28","8","±12","355","±258","79","±53","128","±79","28","±26","16","±26","0","±13","8","±17","68","±69","16","±18","10","±15","156","±109","9","±16","0","±13","0","±13","0","±18","10","±19","14","±25","155","±129","35","±25","17","±16","0","±18","62","±63","0","±13","0","±13","220","±157","0","±13","0","±13","178","±127","53","±42","0","±13"
"    25.0 to 29.9 percent","37","±35","59","±43","31","±49","202","±93","133","±79","144","±85","0","±18","39","±60","214","±112","11","±16","79","±69","150","±91","70","±46","136","±115","33","±54","0","±13","33","±39","130","±102","22","±37","16","±21","3","±20","14","±22","65","±59","9","±14","37","±38","10","±17","16","±27","11","±17","36","±38","9","±13","33","±41","19","±32","66","±65","118","±123","22","±19","54","±22","0","±13","19","±22","108","±72","13","±21","45","±67","9","±16","37","±32","28","±22","31","±37","57","±53","18","±29","17","±27","22","±31","0","±18","0","±13","16","±24","46","±50","0","±18","29","±51","0","±13","39","±57","78","±49","44","±40","13","±17","15","±20","0","±13","0","±13","317","±201","90","±60","64","±71","40","±38","0","±18","0","±13","8","±14","8","±14","33","±27","51","±76","104","±77","159","±126","40","±61","6","±15","0","±18","104","±127","0","±18","33","±38","4","±6","17","±23","7","±11","34","±46","17","±18","10","±17","164","±111","99","±163","0","±13","62","±76","152","±102","0","±13"
"    30.0 to 34.9 percent","11","±13","43","±35","28","±33","157","±79","40","±28","143","±94","71","±53","63","±57","96","±81","0","±18","0","±18","95","±99","183","±135","11","±16","39","±51","5","±32","118","±78","224","±121","0","±18","17","±20","135","±107","188","±184","106","±60","28","±33","8","±12","0","±18","0","±18","12","±16","30","±44","17","±19","0","±13","47","±59","33","±42","0","±13","7","±7","114","±77","40","±47","20","±21","70","±43","4","±9","35","±54","0","±18","75","±75","7","±9","67","±99","0","±13","12","±19","16","±19","0","±18","4","±8","0","±13","6","±11","27","±38","27","±31","0","±18","9","±14","0","±13","42","±47","40","±38","0","±13","0","±13","0","±13","0","±13","203","±138","53","±53","136","±94","10","±16","47","±51","40","±50","0","±18","0","±13","0","±18","3","±6","103","±89","105","±85","0","±13","17","±33","0","±18","0","±13","13","±20","2","±5","17","±15","56","±41","0","±18","20","±24","0","±13","12","±19","133","±122","9","±16","0","±13","45","±57","185","±98","0","±13"
"    35.0 to 39.9 percent","6","±11","5","±8","0","±13","70","±86","8","±9","20","±32","12","±18","78","±66","145","±132","28","±44","46","±48","95","±77","87","±56","20","±36","19","±29","10","±20","17","±26","239","±152","29","±43","10","±16","110","±92","7","±12","62","±50","23","±36","27","±41","23","±24","0","±18","17","±22","10","±17","0","±13","23","±33","36","±51","213","±193","0","±13","27","±24","37","±28","0","±13","9","±14","29","±22","0","±13","55","±68","0","±18","53","±46","9","±13","0","±18","0","±13","8","±13","21","±20","33","±44","49","±37","60","±86","0","±13","46","±40","0","±18","0","±18","5","±7","0","±13","19","±23","10","±15","22","±28","4","±7","0","±13","0","±13","108","±87","27","±26","19","±25","0","±18","0","±18","9","±16","0","±18","0","±13","0","±18","0","±13","103","±90","110","±94","13","±21","0","±13","0","±18","66","±62","0","±18","24","±28","11","±11","92","±65","7","±12","55","±67","0","±13","4","±12","41","±50","10","±15","0","±13","333","±180","62","±57","0","±13"
"    40.0 to 49.9 percent","53","±49","23","±23","10","±16","30","±36","39","±26","46","±43","15","±20","75","±61","72","±64","0","±18","0","±18","40","±31","99","±64","92","±89","96","±92","58","±81","199","±131","25","±39","90","±102","0","±18","10","±18","181","±228","82","±68","15","±17","0","±18","10","±15","0","±18","8","±12","0","±18","79","±75","29","±41","0","±13","9","±20","17","±28","53","±44","72","±59","39","±49","11","±17","0","±18","0","±13","125","±110","10","±18","22","±26","16","±23","34","±49","7","±12","54","±54","0","±18","0","±18","5","±8","0","±13","0","±13","38","±46","19","±22","27","±33","0","±13","10","±15","19","±21","0","±13","9","±14","0","±13","0","±13","24","±34","66","±50","53","±48","90","±74","8","±13","37","±46","0","±13","0","±18","0","±13","8","±13","3","±5","31","±38","155","±119","0","±13","0","±13","9","±14","33","±31","0","±18","153","±193","34","±23","45","±38","0","±18","3","±6","0","±13","36","±41","16","±26","76","±53","14","±24","80","±75","74","±70","0","±13"
"    50.0 percent or more","29","±44","78","±45","0","±13","257","±119","127","±96","222","±141","323","±107","108","±62","242","±115","25","±33","206","±168","43","±47","106","±67","78","±67","90","±76","15","±29","243","±97","204","±134","85","±60","9","±16","323","±183","111","±85","314","±117","62","±57","115","±83","0","±18","95","±94","22","±24","88","±74","0","±13","83","±68","110","±99","111","±72","64","±67","88","±39","257","±117","20","±26","99","±56","40","±41","56","±56","45","±48","0","±18","165","±92","16","±24","109","±99","0","±13","11","±19","12","±18","0","±18","46","±58","0","±13","19","±29","157","±70","23","±33","0","±18","0","±13","0","±13","112","±57","51","±42","109","±178","0","±13","62","±90","0","±13","463","±198","323","±140","327","±308","18","±21","105","±90","19","±26","13","±16","25","±37","24","±27","70","±62","102","±69","302","±216","0","±13","0","±13","9","±14","134","±95","11","±18","15","±17","9","±14","64","±66","38","±43","34","±26","0","±13","132","±85","136","±123","19","±23","0","±13","307","±152","180","±107","0","±13"
"    Not computed","1","±3","19","±28","5","±14","7","±10","8","±7","0","±18","67","±62","0","±18","14","±22","0","±18","0","±18","136","±193","0","±18","0","±13","17","±28","0","±13","0","±13","19","±23","0","±18","0","±18","66","±98","0","±18","26","±35","0","±18","10","±15","0","±18","29","±36","26","±39","12","±19","0","±13","0","±13","64","±75","25","±29","118","±136","132","±95","94","±63","31","±29","30","±42","38","±48","18","±23","17","±29","37","±34","0","±18","0","±13","0","±18","4","±6","0","±18","14","±21","0","±18","15","±21","0","±13","3","±7","6","±9","1","±3","0","±18","9","±15","0","±13","20","±27","0","±13","0","±13","1","±3","32","±48","0","±13","54","±50","0","±13","0","±18","0","±18","0","±18","12","±17","1","±3","0","±13","0","±18","13","±12","0","±13","48","±74","0","±13","0","±13","5","±9","0","±13","0","±18","11","±13","0","±13","20","±32","7","±11","0","±18","8","±13","0","±13","70","±81","55","±51","0","±13","61","±74","35","±37","0","±13"
