"Label (Grouping)","Census Tract 9001; Prince William County; Virginia!!Estimate","Census Tract 9001; Prince William County; Virginia!!Margin of Error","Census Tract 9002.01; Prince William County; Virginia!!Estimate","Census Tract 9002.01; Prince William County; Virginia!!Margin of Error","Census Tract 9002.02; Prince William County; Virginia!!Estimate","Census Tract 9002.02; Prince William County; Virginia!!Margin of Error","Census Tract 9002.03; Prince William County; Virginia!!Estimate","Census Tract 9002.03; Prince William County; Virginia!!Margin of Error","Census Tract 9003.01; Prince William County; Virginia!!Estimate","Census Tract 9003.01; Prince William County; Virginia!!Margin of Error","Census Tract 9003.02; Prince William County; Virginia!!Estimate","Census Tract 9003.02; Prince William County; Virginia!!Margin of Error","Census Tract 9004.03; Prince William County; Virginia!!Estimate","Census Tract 9004.03; Prince William County; Virginia!!Margin of Error","Census Tract 9004.04; Prince William County; Virginia!!Estimate","Census Tract 9004.04; Prince William County; Virginia!!Margin of Error","Census Tract 9004.07; Prince William County; Virginia!!Estimate","Census Tract 9004.07; Prince William County; Virginia!!Margin of Error","Census Tract 9004.08; Prince William County; Virginia!!Estimate","Census Tract 9004.08; Prince William County; Virginia!!Margin of Error","Census Tract 9004.09; Prince William County; Virginia!!Estimate","Census Tract 9004.09; Prince William County; Virginia!!Margin of Error","Census Tract 9004.10; Prince William County; Virginia!!Estimate","Census Tract 9004.10; Prince William County; Virginia!!Margin of Error","Census Tract 9005.02; Prince William County; Virginia!!Estimate","Census Tract 9005.02; Prince William County; Virginia!!Margin of Error","Census Tract 9005.03; Prince William County; Virginia!!Estimate","Census Tract 9005.03; Prince William County; Virginia!!Margin of Error","Census Tract 9005.04; Prince William County; Virginia!!Estimate","Census Tract 9005.04; Prince William County; Virginia!!Margin of Error","Census Tract 9006.01; Prince William County; Virginia!!Estimate","Census Tract 9006.01; Prince William County; Virginia!!Margin of Error","Census Tract 9006.02; Prince William County; Virginia!!Estimate","Census Tract 9006.02; Prince William County; Virginia!!Margin of Error","Census Tract 9007.01; Prince William County; Virginia!!Estimate","Census Tract 9007.01; Prince William County; Virginia!!Margin of Error","Census Tract 9007.02; Prince William County; Virginia!!Estimate","Census Tract 9007.02; Prince William County; Virginia!!Margin of Error","Census Tract 9008.01; Prince William County; Virginia!!Estimate","Census Tract 9008.01; Prince William County; Virginia!!Margin of Error","Census Tract 9008.03; Prince William County; Virginia!!Estimate","Census Tract 9008.03; Prince William County; Virginia!!Margin of Error","Census Tract 9008.04; Prince William County; Virginia!!Estimate","Census Tract 9008.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.01; Prince William County; Virginia!!Estimate","Census Tract 9009.01; Prince William County; Virginia!!Margin of Error","Census Tract 9009.04; Prince William County; Virginia!!Estimate","Census Tract 9009.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.05; Prince William County; Virginia!!Estimate","Census Tract 9009.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.05; Prince William County; Virginia!!Estimate","Census Tract 9010.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.09; Prince William County; Virginia!!Estimate","Census Tract 9010.09; Prince William County; Virginia!!Margin of Error","Census Tract 9010.10; Prince William County; Virginia!!Estimate","Census Tract 9010.10; Prince William County; Virginia!!Margin of Error","Census Tract 9010.11; Prince William County; Virginia!!Estimate","Census Tract 9010.11; Prince William County; Virginia!!Margin of Error","Census Tract 9010.12; Prince William County; Virginia!!Estimate","Census Tract 9010.12; Prince William County; Virginia!!Margin of Error","Census Tract 9010.13; Prince William County; Virginia!!Estimate","Census Tract 9010.13; Prince William County; Virginia!!Margin of Error","Census Tract 9010.14; Prince William County; Virginia!!Estimate","Census Tract 9010.14; Prince William County; Virginia!!Margin of Error","Census Tract 9010.15; Prince William County; Virginia!!Estimate","Census Tract 9010.15; Prince William County; Virginia!!Margin of Error","Census Tract 9010.16; Prince William County; Virginia!!Estimate","Census Tract 9010.16; Prince William County; Virginia!!Margin of Error","Census Tract 9011.01; Prince William County; Virginia!!Estimate","Census Tract 9011.01; Prince William County; Virginia!!Margin of Error","Census Tract 9011.02; Prince William County; Virginia!!Estimate","Census Tract 9011.02; Prince William County; Virginia!!Margin of Error","Census Tract 9012.03; Prince William County; Virginia!!Estimate","Census Tract 9012.03; Prince William County; Virginia!!Margin of Error","Census Tract 9012.08; Prince William County; Virginia!!Estimate","Census Tract 9012.08; Prince William County; Virginia!!Margin of Error","Census Tract 9012.09; Prince William County; Virginia!!Estimate","Census Tract 9012.09; Prince William County; Virginia!!Margin of Error","Census Tract 9012.11; Prince William County; Virginia!!Estimate","Census Tract 9012.11; Prince William County; Virginia!!Margin of Error","Census Tract 9012.12; Prince William County; Virginia!!Estimate","Census Tract 9012.12; Prince William County; Virginia!!Margin of Error","Census Tract 9012.19; Prince William County; Virginia!!Estimate","Census Tract 9012.19; Prince William County; Virginia!!Margin of Error","Census Tract 9012.21; Prince William County; Virginia!!Estimate","Census Tract 9012.21; Prince William County; Virginia!!Margin of Error","Census Tract 9012.22; Prince William County; Virginia!!Estimate","Census Tract 9012.22; Prince William County; Virginia!!Margin of Error","Census Tract 9012.23; Prince William County; Virginia!!Estimate","Census Tract 9012.23; Prince William County; Virginia!!Margin of Error","Census Tract 9012.24; Prince William County; Virginia!!Estimate","Census Tract 9012.24; Prince William County; Virginia!!Margin of Error","Census Tract 9012.25; Prince William County; Virginia!!Estimate","Census Tract 9012.25; Prince William County; Virginia!!Margin of Error","Census Tract 9012.26; Prince William County; Virginia!!Estimate","Census Tract 9012.26; Prince William County; Virginia!!Margin of Error","Census Tract 9012.27; Prince William County; Virginia!!Estimate","Census Tract 9012.27; Prince William County; Virginia!!Margin of Error","Census Tract 9012.28; Prince William County; Virginia!!Estimate","Census Tract 9012.28; Prince William County; Virginia!!Margin of Error","Census Tract 9012.29; Prince William County; Virginia!!Estimate","Census Tract 9012.29; Prince William County; Virginia!!Margin of Error","Census Tract 9012.30; Prince William County; Virginia!!Estimate","Census Tract 9012.30; Prince William County; Virginia!!Margin of Error","Census Tract 9012.31; Prince William County; Virginia!!Estimate","Census Tract 9012.31; Prince William County; Virginia!!Margin of Error","Census Tract 9012.32; Prince William County; Virginia!!Estimate","Census Tract 9012.32; Prince William County; Virginia!!Margin of Error","Census Tract 9012.33; Prince William County; Virginia!!Estimate","Census Tract 9012.33; Prince William County; Virginia!!Margin of Error","Census Tract 9012.34; Prince William County; Virginia!!Estimate","Census Tract 9012.34; Prince William County; Virginia!!Margin of Error","Census Tract 9012.35; Prince William County; Virginia!!Estimate","Census Tract 9012.35; Prince William County; Virginia!!Margin of Error","Census Tract 9012.36; Prince William County; Virginia!!Estimate","Census Tract 9012.36; Prince William County; Virginia!!Margin of Error","Census Tract 9012.37; Prince William County; Virginia!!Estimate","Census Tract 9012.37; Prince William County; Virginia!!Margin of Error","Census Tract 9013.03; Prince William County; Virginia!!Estimate","Census Tract 9013.03; Prince William County; Virginia!!Margin of Error","Census Tract 9013.04; Prince William County; Virginia!!Estimate","Census Tract 9013.04; Prince William County; Virginia!!Margin of Error","Census Tract 9013.05; Prince William County; Virginia!!Estimate","Census Tract 9013.05; Prince William County; Virginia!!Margin of Error","Census Tract 9013.06; Prince William County; Virginia!!Estimate","Census Tract 9013.06; Prince William County; Virginia!!Margin of Error","Census Tract 9014.03; Prince William County; Virginia!!Estimate","Census Tract 9014.03; Prince William County; Virginia!!Margin of Error","Census Tract 9014.07; Prince William County; Virginia!!Estimate","Census Tract 9014.07; Prince William County; Virginia!!Margin of Error","Census Tract 9014.09; Prince William County; Virginia!!Estimate","Census Tract 9014.09; Prince William County; Virginia!!Margin of Error","Census Tract 9014.11; Prince William County; Virginia!!Estimate","Census Tract 9014.11; Prince William County; Virginia!!Margin of Error","Census Tract 9014.12; Prince William County; Virginia!!Estimate","Census Tract 9014.12; Prince William County; Virginia!!Margin of Error","Census Tract 9014.13; Prince William County; Virginia!!Estimate","Census Tract 9014.13; Prince William County; Virginia!!Margin of Error","Census Tract 9014.14; Prince William County; Virginia!!Estimate","Census Tract 9014.14; Prince William County; Virginia!!Margin of Error","Census Tract 9014.15; Prince William County; Virginia!!Estimate","Census Tract 9014.15; Prince William County; Virginia!!Margin of Error","Census Tract 9014.16; Prince William County; Virginia!!Estimate","Census Tract 9014.16; Prince William County; Virginia!!Margin of Error","Census Tract 9014.17; Prince William County; Virginia!!Estimate","Census Tract 9014.17; Prince William County; Virginia!!Margin of Error","Census Tract 9014.18; Prince William County; Virginia!!Estimate","Census Tract 9014.18; Prince William County; Virginia!!Margin of Error","Census Tract 9014.19; Prince William County; Virginia!!Estimate","Census Tract 9014.19; Prince William County; Virginia!!Margin of Error","Census Tract 9014.20; Prince William County; Virginia!!Estimate","Census Tract 9014.20; Prince William County; Virginia!!Margin of Error","Census Tract 9014.21; Prince William County; Virginia!!Estimate","Census Tract 9014.21; Prince William County; Virginia!!Margin of Error","Census Tract 9015.03; Prince William County; Virginia!!Estimate","Census Tract 9015.03; Prince William County; Virginia!!Margin of Error","Census Tract 9015.04; Prince William County; Virginia!!Estimate","Census Tract 9015.04; Prince William County; Virginia!!Margin of Error","Census Tract 9015.05; Prince William County; Virginia!!Estimate","Census Tract 9015.05; Prince William County; Virginia!!Margin of Error","Census Tract 9015.06; Prince William County; Virginia!!Estimate","Census Tract 9015.06; Prince William County; Virginia!!Margin of Error","Census Tract 9015.07; Prince William County; Virginia!!Estimate","Census Tract 9015.07; Prince William County; Virginia!!Margin of Error","Census Tract 9015.08; Prince William County; Virginia!!Estimate","Census Tract 9015.08; Prince William County; Virginia!!Margin of Error","Census Tract 9015.09; Prince William County; Virginia!!Estimate","Census Tract 9015.09; Prince William County; Virginia!!Margin of Error","Census Tract 9015.10; Prince William County; Virginia!!Estimate","Census Tract 9015.10; Prince William County; Virginia!!Margin of Error","Census Tract 9015.11; Prince William County; Virginia!!Estimate","Census Tract 9015.11; Prince William County; Virginia!!Margin of Error","Census Tract 9016.01; Prince William County; Virginia!!Estimate","Census Tract 9016.01; Prince William County; Virginia!!Margin of Error","Census Tract 9016.02; Prince William County; Virginia!!Estimate","Census Tract 9016.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.02; Prince William County; Virginia!!Estimate","Census Tract 9017.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.03; Prince William County; Virginia!!Estimate","Census Tract 9017.03; Prince William County; Virginia!!Margin of Error","Census Tract 9017.04; Prince William County; Virginia!!Estimate","Census Tract 9017.04; Prince William County; Virginia!!Margin of Error","Census Tract 9019; Prince William County; Virginia!!Estimate","Census Tract 9019; Prince William County; Virginia!!Margin of Error","Census Tract 9801; Prince William County; Virginia!!Estimate","Census Tract 9801; Prince William County; Virginia!!Margin of Error"
"Total:","257","±96","654","±128","229","±94","1,340","±261","575","±139","1,203","±283","533","±146","261","±92","1,210","±259","222","±174","256","±130","1,521","±322","1,037","±249","602","±126","628","±169","129","±95","1,093","±213","1,881","±329","360","±145","60","±60","1,120","±200","671","±279","964","±241","357","±164","415","±127","77","±43","86","±72","274","±129","108","±65","356","±110","154","±101","247","±84","586","±205","533","±214","602","±100","817","±128","224","±177","271","±98","360","±109","115","±65","298","±118","13","±16","1,054","±249","84","±33","385","±138","31","±25","140","±89","70","±51","216","±108","232","±98","204","±114","126","±83","453","±146","33","±29","92","±102","45","±36","44","±40","368","±124","247","±106","193","±201","51","±46","87","±78","33","±29","2,000","±389","831","±172","1,134","±385","116","±71","111","±105","29","±27","167","±71","183","±176","98","±54","139","±111","1,267","±413","872","±177","58","±54","132","±78","59","±35","310","±136","171","±120","397","±287","127","±55","564","±148","172","±112","353","±169","55","±34","188","±142","1,032","±304","469","±213","35","±36","1,195","±206","1,212","±204","0","±13"
"    Less than 10.0 percent","21","±23","18","±19","35","±41","0","±19","12","±19","0","±19","63","±77","6","±20","0","±19","0","±19","0","±13","0","±19","48","±60","67","±68","23","±36","0","±13","33","±56","17","±28","4","±12","0","±19","0","±19","47","±61","32","±46","0","±19","0","±19","0","±19","0","±19","15","±22","0","±19","0","±13","0","±13","0","±19","0","±13","0","±19","41","±22","0","±13","0","±13","22","±20","23","±34","32","±48","37","±50","0","±19","0","±19","0","±13","20","±30","0","±13","0","±13","0","±19","12","±22","0","±19","0","±13","0","±13","0","±19","0","±19","0","±19","7","±12","0","±13","5","±8","9","±11","0","±19","11","±18","9","±14","0","±19","0","±19","36","±56","18","±31","0","±19","57","±89","0","±13","22","±35","0","±13","0","±19","0","±13","0","±19","13","±20","0","±13","0","±19","0","±19","0","±13","0","±19","0","±19","0","±13","0","±19","8","±18","40","±62","0","±13","0","±13","0","±19","28","±40","0","±13","0","±19","18","±30","0","±13"
"    10.0 to 14.9 percent","85","±56","70","±53","34","±45","8","±14","64","±66","31","±41","0","±19","32","±30","50","±67","22","±25","0","±13","82","±108","52","±57","20","±26","9","±17","0","±13","72","±84","72","±114","85","±98","16","±26","91","±98","35","±44","85","±96","51","±57","33","±48","0","±19","0","±19","27","±30","19","±33","9","±15","27","±40","55","±49","17","±25","0","±19","26","±16","8","±12","0","±13","20","±24","55","±45","0","±13","0","±19","0","±19","13","±22","2","±6","0","±19","9","±13","12","±18","0","±19","11","±17","0","±19","10","±16","13","±21","27","±33","8","±12","0","±19","10","±17","8","±14","28","±47","9","±15","0","±19","0","±13","8","±14","0","±19","51","±60","99","±75","171","±113","35","±58","16","±27","0","±13","0","±19","0","±13","0","±19","1","±4","31","±49","25","±34","22","±33","44","±53","0","±19","0","±13","65","±71","0","±19","38","±39","98","±66","0","±19","23","±29","0","±13","20","±23","62","±98","40","±41","0","±13","86","±83","215","±131","0","±13"
"    15.0 to 19.9 percent","62","±63","103","±75","0","±13","267","±224","53","±34","320","±232","71","±58","28","±24","34","±55","0","±19","0","±13","125","±92","276","±123","104","±69","152","±114","0","±13","106","±106","113","±99","20","±35","19","±31","55","±56","10","±15","124","±115","0","±19","17","±26","8","±14","37","±47","68","±109","9","±15","40","±34","0","±13","32","±37","98","±79","27","±32","113","±50","75","±51","6","±10","0","±13","111","±78","0","±13","54","±48","0","±19","292","±231","0","±13","104","±64","0","±13","0","±13","4","±10","61","±90","0","±19","7","±11","14","±22","204","±159","0","±19","0","±19","10","±17","12","±18","0","±19","92","±81","22","±31","0","±13","0","±13","0","±19","203","±139","151","±80","75","±58","0","±19","0","±19","18","±21","0","±19","111","±160","5","±8","0","±13","505","±414","74","±65","0","±13","5","±10","15","±18","20","±23","30","±40","20","±21","27","±17","21","±25","17","±22","113","±95","20","±22","0","±13","15","±29","129","±112","0","±13","142","±111","299","±196","0","±13"
"    20.0 to 24.9 percent","17","±19","18","±20","92","±73","70","±68","67","±48","121","±85","34","±31","84","±72","191","±139","108","±163","34","±41","323","±230","73","±59","136","±82","52","±55","129","±95","274","±170","181","±140","91","±76","25","±41","80","±127","14","±22","179","±122","0","±19","17","±28","9","±17","22","±38","0","±13","48","±46","68","±66","0","±13","0","±19","87","±87","74","±71","67","±75","27","±22","171","±168","44","±56","14","±20","8","±14","15","±25","0","±19","90","±109","7","±9","43","±69","15","±19","23","±28","7","±11","58","±67","24","±22","0","±13","8","±13","45","±46","0","±19","5","±16","0","±13","0","±13","143","±103","25","±25","7","±12","8","±13","0","±13","0","±19","354","±293","81","±53","84","±79","14","±22","0","±19","0","±13","0","±19","39","±59","34","±46","11","±19","135","±86","67","±54","0","±13","0","±19","6","±10","9","±16","51","±72","152","±127","20","±19","24","±25","42","±62","19","±31","35","±31","0","±13","280","±237","33","±41","0","±13","217","±148","151","±118","0","±13"
"    25.0 to 29.9 percent","15","±23","53","±45","0","±13","332","±155","128","±76","174","±134","24","±24","0","±19","266","±148","38","±49","58","±57","51","±56","72","±53","96","±93","18","±28","0","±13","150","±131","228","±132","52","±71","0","±19","75","±75","67","±81","135","±116","87","±106","94","±81","13","±20","27","±32","18","±33","6","±11","11","±18","0","±13","0","±19","38","±31","81","±114","70","±33","56","±46","0","±13","12","±18","17","±22","0","±13","67","±83","0","±19","44","±44","26","±22","76","±72","0","±13","23","±27","0","±19","0","±19","53","±54","18","±26","14","±24","42","±51","0","±19","68","±89","0","±13","24","±35","38","±43","22","±27","0","±19","30","±38","9","±15","0","±19","229","±190","47","±42","117","±96","0","±19","0","±19","0","±13","0","±19","0","±13","37","±30","60","±100","142","±90","34","±45","0","±13","24","±33","0","±19","102","±122","0","±19","0","±19","0","±13","75","±71","9","±15","0","±19","0","±13","0","±13","118","±107","108","±169","0","±13","67","±61","140","±122","0","±13"
"    30.0 to 34.9 percent","0","±13","119","±80","0","±13","45","±40","26","±33","58","±64","18","±22","14","±21","106","±81","35","±41","52","±67","228","±156","230","±162","33","±45","8","±13","0","±13","22","±35","187","±153","14","±22","0","±19","215","±151","147","±171","110","±102","29","±42","38","±30","0","±19","0","±19","88","±49","2","±20","75","±75","12","±20","115","±72","33","±42","42","±43","18","±14","103","±60","0","±13","11","±18","16","±18","9","±50","31","±44","0","±19","98","±91","0","±13","38","±58","0","±13","0","±13","11","±13","16","±26","0","±19","0","±13","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","120","±86","33","±34","0","±19","0","±13","0","±13","0","±19","316","±221","19","±20","67","±65","16","±28","13","±25","0","±13","21","±32","13","±26","0","±19","9","±15","32","±30","92","±73","18","±28","0","±19","0","±19","0","±13","15","±25","25","±23","17","±17","99","±96","0","±19","33","±31","0","±13","33","±52","146","±183","42","±44","17","±28","118","±100","25","±29","0","±13"
"    35.0 to 39.9 percent","8","±14","43","±38","0","±13","94","±93","17","±19","0","±19","8","±13","31","±49","294","±240","0","±19","21","±37","101","±78","81","±105","16","±25","68","±75","0","±13","0","±13","323","±233","0","±19","0","±19","0","±19","25","±31","9","±14","24","±39","19","±30","5","±11","0","±19","58","±57","0","±19","0","±13","0","±13","4","±18","195","±185","17","±26","30","±24","152","±69","0","±13","7","±12","0","±19","0","±13","0","±19","0","±19","43","±53","0","±13","86","±87","0","±13","46","±52","9","±14","0","±19","15","±24","65","±108","0","±13","41","±52","0","±19","0","±19","0","±13","0","±13","0","±19","16","±28","0","±19","0","±13","10","±15","0","±19","334","±203","89","±70","47","±62","0","±19","10","±17","0","±13","0","±19","0","±13","0","±19","0","±13","119","±112","148","±107","0","±13","0","±19","0","±19","29","±23","0","±19","13","±21","0","±13","20","±23","46","±73","125","±128","0","±13","0","±13","34","±57","18","±32","9","±17","60","±50","52","±45","0","±13"
"    40.0 to 49.9 percent","8","±14","135","±109","13","±21","182","±112","22","±22","18","±30","20","±23","41","±43","147","±102","14","±20","0","±13","189","±102","83","±88","16","±16","96","±82","0","±13","148","±150","236","±178","0","±19","0","±19","104","±79","160","±221","59","±82","39","±50","36","±40","11","±18","0","±19","0","±13","0","±19","52","±66","10","±16","0","±19","0","±13","64","±69","87","±55","88","±52","0","±13","15","±19","0","±19","0","±13","39","±43","0","±19","184","±121","27","±29","0","±19","0","±13","0","±13","0","±19","0","±19","45","±62","0","±13","14","±22","52","±67","0","±19","19","±32","6","±11","0","±13","0","±19","8","±12","9","±15","0","±13","10","±15","0","±19","73","±65","78","±57","115","±136","7","±12","15","±27","11","±16","0","±19","0","±13","0","±19","0","±13","50","±47","122","±70","18","±28","0","±19","0","±19","0","±13","0","±19","141","±215","8","±12","113","±97","0","±19","0","±19","0","±13","0","±13","172","±134","0","±13","9","±15","183","±143","122","±78","0","±13"
"    50.0 percent or more","10","±15","76","±57","12","±23","332","±134","184","±109","481","±226","295","±124","13","±20","107","±85","5","±9","91","±80","258","±124","122","±82","114","±74","202","±126","0","±13","288","±145","389","±220","73","±66","0","±19","500","±219","153","±99","231","±113","115","±102","143","±86","0","±19","0","±19","0","±13","24","±32","69","±67","70","±86","27","±33","86","±82","136","±115","117","±42","148","±106","36","±54","97","±43","72","±52","48","±66","55","±40","0","±19","262","±127","6","±15","18","±29","0","±13","36","±38","39","±44","46","±60","80","±56","39","±41","57","±64","30","±46","24","±26","0","±19","12","±18","0","±13","34","±33","33","±32","155","±200","0","±13","41","±70","13","±21","394","±186","231","±116","440","±355","31","±36","0","±19","0","±13","110","±71","20","±29","0","±19","39","±37","164","±93","248","±110","0","±13","45","±53","30","±31","122","±74","10","±17","42","±60","17","±16","114","±81","50","±73","0","±19","0","±13","135","±134","186","±156","71","±45","0","±13","248","±119","172","±162","0","±13"
"    Not computed","31","±37","19","±28","43","±35","10","±16","2","±3","0","±19","0","±19","12","±19","15","±26","0","±19","0","±13","164","±165","0","±13","0","±13","0","±19","0","±13","0","±13","135","±137","21","±33","0","±19","0","±19","13","±19","0","±19","12","±20","18","±28","31","±29","0","±19","0","±13","0","±19","32","±25","35","±52","14","±23","32","±37","92","±98","33","±49","160","±84","11","±20","43","±57","52","±81","18","±22","0","±19","13","±16","28","±37","16","±23","0","±19","7","±11","0","±13","0","±19","12","±18","15","±23","65","±53","6","±11","12","±19","1","±2","0","±19","0","±13","0","±13","0","±19","0","±13","0","±19","2","±3","0","±13","20","±21","46","±59","0","±13","0","±19","13","±20","0","±19","0","±13","14","±19","0","±13","22","±31","19","±21","89","±85","49","±68","0","±13","14","±22","8","±13","28","±32","0","±19","4","±7","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","19","±35","0","±13","0","±13","74","±111","18","±30","0","±13"
