"Label (Grouping)","Census Tract 9001; Prince William County; Virginia!!Estimate","Census Tract 9001; Prince William County; Virginia!!Margin of Error","Census Tract 9002.01; Prince William County; Virginia!!Estimate","Census Tract 9002.01; Prince William County; Virginia!!Margin of Error","Census Tract 9002.02; Prince William County; Virginia!!Estimate","Census Tract 9002.02; Prince William County; Virginia!!Margin of Error","Census Tract 9002.03; Prince William County; Virginia!!Estimate","Census Tract 9002.03; Prince William County; Virginia!!Margin of Error","Census Tract 9003.01; Prince William County; Virginia!!Estimate","Census Tract 9003.01; Prince William County; Virginia!!Margin of Error","Census Tract 9003.02; Prince William County; Virginia!!Estimate","Census Tract 9003.02; Prince William County; Virginia!!Margin of Error","Census Tract 9004.03; Prince William County; Virginia!!Estimate","Census Tract 9004.03; Prince William County; Virginia!!Margin of Error","Census Tract 9004.04; Prince William County; Virginia!!Estimate","Census Tract 9004.04; Prince William County; Virginia!!Margin of Error","Census Tract 9004.07; Prince William County; Virginia!!Estimate","Census Tract 9004.07; Prince William County; Virginia!!Margin of Error","Census Tract 9004.08; Prince William County; Virginia!!Estimate","Census Tract 9004.08; Prince William County; Virginia!!Margin of Error","Census Tract 9004.09; Prince William County; Virginia!!Estimate","Census Tract 9004.09; Prince William County; Virginia!!Margin of Error","Census Tract 9004.10; Prince William County; Virginia!!Estimate","Census Tract 9004.10; Prince William County; Virginia!!Margin of Error","Census Tract 9005.02; Prince William County; Virginia!!Estimate","Census Tract 9005.02; Prince William County; Virginia!!Margin of Error","Census Tract 9005.03; Prince William County; Virginia!!Estimate","Census Tract 9005.03; Prince William County; Virginia!!Margin of Error","Census Tract 9005.04; Prince William County; Virginia!!Estimate","Census Tract 9005.04; Prince William County; Virginia!!Margin of Error","Census Tract 9006.01; Prince William County; Virginia!!Estimate","Census Tract 9006.01; Prince William County; Virginia!!Margin of Error","Census Tract 9006.02; Prince William County; Virginia!!Estimate","Census Tract 9006.02; Prince William County; Virginia!!Margin of Error","Census Tract 9007.01; Prince William County; Virginia!!Estimate","Census Tract 9007.01; Prince William County; Virginia!!Margin of Error","Census Tract 9007.02; Prince William County; Virginia!!Estimate","Census Tract 9007.02; Prince William County; Virginia!!Margin of Error","Census Tract 9008.01; Prince William County; Virginia!!Estimate","Census Tract 9008.01; Prince William County; Virginia!!Margin of Error","Census Tract 9008.03; Prince William County; Virginia!!Estimate","Census Tract 9008.03; Prince William County; Virginia!!Margin of Error","Census Tract 9008.04; Prince William County; Virginia!!Estimate","Census Tract 9008.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.01; Prince William County; Virginia!!Estimate","Census Tract 9009.01; Prince William County; Virginia!!Margin of Error","Census Tract 9009.04; Prince William County; Virginia!!Estimate","Census Tract 9009.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.05; Prince William County; Virginia!!Estimate","Census Tract 9009.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.05; Prince William County; Virginia!!Estimate","Census Tract 9010.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.09; Prince William County; Virginia!!Estimate","Census Tract 9010.09; Prince William County; Virginia!!Margin of Error","Census Tract 9010.10; Prince William County; Virginia!!Estimate","Census Tract 9010.10; Prince William County; Virginia!!Margin of Error","Census Tract 9010.11; Prince William County; Virginia!!Estimate","Census Tract 9010.11; Prince William County; Virginia!!Margin of Error","Census Tract 9010.12; Prince William County; Virginia!!Estimate","Census Tract 9010.12; Prince William County; Virginia!!Margin of Error","Census Tract 9010.13; Prince William County; Virginia!!Estimate","Census Tract 9010.13; Prince William County; Virginia!!Margin of Error","Census Tract 9010.14; Prince William County; Virginia!!Estimate","Census Tract 9010.14; Prince William County; Virginia!!Margin of Error","Census Tract 9010.15; Prince William County; Virginia!!Estimate","Census Tract 9010.15; Prince William County; Virginia!!Margin of Error","Census Tract 9010.16; Prince William County; Virginia!!Estimate","Census Tract 9010.16; Prince William County; Virginia!!Margin of Error","Census Tract 9011.01; Prince William County; Virginia!!Estimate","Census Tract 9011.01; Prince William County; Virginia!!Margin of Error","Census Tract 9011.02; Prince William County; Virginia!!Estimate","Census Tract 9011.02; Prince William County; Virginia!!Margin of Error","Census Tract 9012.03; Prince William County; Virginia!!Estimate","Census Tract 9012.03; Prince William County; Virginia!!Margin of Error","Census Tract 9012.08; Prince William County; Virginia!!Estimate","Census Tract 9012.08; Prince William County; Virginia!!Margin of Error","Census Tract 9012.09; Prince William County; Virginia!!Estimate","Census Tract 9012.09; Prince William County; Virginia!!Margin of Error","Census Tract 9012.11; Prince William County; Virginia!!Estimate","Census Tract 9012.11; Prince William County; Virginia!!Margin of Error","Census Tract 9012.12; Prince William County; Virginia!!Estimate","Census Tract 9012.12; Prince William County; Virginia!!Margin of Error","Census Tract 9012.19; Prince William County; Virginia!!Estimate","Census Tract 9012.19; Prince William County; Virginia!!Margin of Error","Census Tract 9012.21; Prince William County; Virginia!!Estimate","Census Tract 9012.21; Prince William County; Virginia!!Margin of Error","Census Tract 9012.22; Prince William County; Virginia!!Estimate","Census Tract 9012.22; Prince William County; Virginia!!Margin of Error","Census Tract 9012.23; Prince William County; Virginia!!Estimate","Census Tract 9012.23; Prince William County; Virginia!!Margin of Error","Census Tract 9012.24; Prince William County; Virginia!!Estimate","Census Tract 9012.24; Prince William County; Virginia!!Margin of Error","Census Tract 9012.25; Prince William County; Virginia!!Estimate","Census Tract 9012.25; Prince William County; Virginia!!Margin of Error","Census Tract 9012.26; Prince William County; Virginia!!Estimate","Census Tract 9012.26; Prince William County; Virginia!!Margin of Error","Census Tract 9012.27; Prince William County; Virginia!!Estimate","Census Tract 9012.27; Prince William County; Virginia!!Margin of Error","Census Tract 9012.28; Prince William County; Virginia!!Estimate","Census Tract 9012.28; Prince William County; Virginia!!Margin of Error","Census Tract 9012.29; Prince William County; Virginia!!Estimate","Census Tract 9012.29; Prince William County; Virginia!!Margin of Error","Census Tract 9012.30; Prince William County; Virginia!!Estimate","Census Tract 9012.30; Prince William County; Virginia!!Margin of Error","Census Tract 9012.31; Prince William County; Virginia!!Estimate","Census Tract 9012.31; Prince William County; Virginia!!Margin of Error","Census Tract 9012.32; Prince William County; Virginia!!Estimate","Census Tract 9012.32; Prince William County; Virginia!!Margin of Error","Census Tract 9012.33; Prince William County; Virginia!!Estimate","Census Tract 9012.33; Prince William County; Virginia!!Margin of Error","Census Tract 9012.34; Prince William County; Virginia!!Estimate","Census Tract 9012.34; Prince William County; Virginia!!Margin of Error","Census Tract 9012.35; Prince William County; Virginia!!Estimate","Census Tract 9012.35; Prince William County; Virginia!!Margin of Error","Census Tract 9012.36; Prince William County; Virginia!!Estimate","Census Tract 9012.36; Prince William County; Virginia!!Margin of Error","Census Tract 9012.37; Prince William County; Virginia!!Estimate","Census Tract 9012.37; Prince William County; Virginia!!Margin of Error","Census Tract 9013.03; Prince William County; Virginia!!Estimate","Census Tract 9013.03; Prince William County; Virginia!!Margin of Error","Census Tract 9013.04; Prince William County; Virginia!!Estimate","Census Tract 9013.04; Prince William County; Virginia!!Margin of Error","Census Tract 9013.05; Prince William County; Virginia!!Estimate","Census Tract 9013.05; Prince William County; Virginia!!Margin of Error","Census Tract 9013.06; Prince William County; Virginia!!Estimate","Census Tract 9013.06; Prince William County; Virginia!!Margin of Error","Census Tract 9014.03; Prince William County; Virginia!!Estimate","Census Tract 9014.03; Prince William County; Virginia!!Margin of Error","Census Tract 9014.07; Prince William County; Virginia!!Estimate","Census Tract 9014.07; Prince William County; Virginia!!Margin of Error","Census Tract 9014.09; Prince William County; Virginia!!Estimate","Census Tract 9014.09; Prince William County; Virginia!!Margin of Error","Census Tract 9014.11; Prince William County; Virginia!!Estimate","Census Tract 9014.11; Prince William County; Virginia!!Margin of Error","Census Tract 9014.12; Prince William County; Virginia!!Estimate","Census Tract 9014.12; Prince William County; Virginia!!Margin of Error","Census Tract 9014.13; Prince William County; Virginia!!Estimate","Census Tract 9014.13; Prince William County; Virginia!!Margin of Error","Census Tract 9014.14; Prince William County; Virginia!!Estimate","Census Tract 9014.14; Prince William County; Virginia!!Margin of Error","Census Tract 9014.15; Prince William County; Virginia!!Estimate","Census Tract 9014.15; Prince William County; Virginia!!Margin of Error","Census Tract 9014.16; Prince William County; Virginia!!Estimate","Census Tract 9014.16; Prince William County; Virginia!!Margin of Error","Census Tract 9014.17; Prince William County; Virginia!!Estimate","Census Tract 9014.17; Prince William County; Virginia!!Margin of Error","Census Tract 9014.18; Prince William County; Virginia!!Estimate","Census Tract 9014.18; Prince William County; Virginia!!Margin of Error","Census Tract 9014.19; Prince William County; Virginia!!Estimate","Census Tract 9014.19; Prince William County; Virginia!!Margin of Error","Census Tract 9014.20; Prince William County; Virginia!!Estimate","Census Tract 9014.20; Prince William County; Virginia!!Margin of Error","Census Tract 9014.21; Prince William County; Virginia!!Estimate","Census Tract 9014.21; Prince William County; Virginia!!Margin of Error","Census Tract 9015.03; Prince William County; Virginia!!Estimate","Census Tract 9015.03; Prince William County; Virginia!!Margin of Error","Census Tract 9015.04; Prince William County; Virginia!!Estimate","Census Tract 9015.04; Prince William County; Virginia!!Margin of Error","Census Tract 9015.05; Prince William County; Virginia!!Estimate","Census Tract 9015.05; Prince William County; Virginia!!Margin of Error","Census Tract 9015.06; Prince William County; Virginia!!Estimate","Census Tract 9015.06; Prince William County; Virginia!!Margin of Error","Census Tract 9015.07; Prince William County; Virginia!!Estimate","Census Tract 9015.07; Prince William County; Virginia!!Margin of Error","Census Tract 9015.08; Prince William County; Virginia!!Estimate","Census Tract 9015.08; Prince William County; Virginia!!Margin of Error","Census Tract 9015.09; Prince William County; Virginia!!Estimate","Census Tract 9015.09; Prince William County; Virginia!!Margin of Error","Census Tract 9015.10; Prince William County; Virginia!!Estimate","Census Tract 9015.10; Prince William County; Virginia!!Margin of Error","Census Tract 9015.11; Prince William County; Virginia!!Estimate","Census Tract 9015.11; Prince William County; Virginia!!Margin of Error","Census Tract 9016.01; Prince William County; Virginia!!Estimate","Census Tract 9016.01; Prince William County; Virginia!!Margin of Error","Census Tract 9016.02; Prince William County; Virginia!!Estimate","Census Tract 9016.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.02; Prince William County; Virginia!!Estimate","Census Tract 9017.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.03; Prince William County; Virginia!!Estimate","Census Tract 9017.03; Prince William County; Virginia!!Margin of Error","Census Tract 9017.04; Prince William County; Virginia!!Estimate","Census Tract 9017.04; Prince William County; Virginia!!Margin of Error","Census Tract 9019; Prince William County; Virginia!!Estimate","Census Tract 9019; Prince William County; Virginia!!Margin of Error","Census Tract 9801; Prince William County; Virginia!!Estimate","Census Tract 9801; Prince William County; Virginia!!Margin of Error"
"Total:","1,613","±182","1,058","±107","1,266","±164","1,616","±251","1,610","±141","2,330","±259","2,012","±232","1,808","±153","2,390","±231","1,595","±244","1,603","±149","2,214","±292","2,130","±188","1,275","±174","1,546","±288","977","±80","1,459","±200","2,948","±289","2,435","±267","2,272","±233","2,253","±206","1,866","±230","2,097","±193","1,883","±166","1,929","±202","1,901","±203","2,239","±147","1,467","±209","1,958","±187","1,703","±145","1,160","±154","1,469","±188","1,200","±166","1,649","±274","681","±135","888","±142","1,368","±258","1,327","±116","1,998","±166","1,292","±104","2,174","±149","2,011","±251","2,375","±316","924","±124","2,196","±121","1,362","±109","1,764","±239","1,778","±144","1,495","±123","1,857","±161","1,340","±218","1,190","±89","2,294","±184","1,728","±251","2,297","±192","1,040","±158","1,023","±75","2,057","±157","1,234","±113","1,515","±224","998","±107","1,339","±205","1,774","±142","2,951","±412","1,598","±143","3,015","±378","1,997","±161","2,193","±238","1,293","±182","1,633","±137","1,426","±268","1,437","±231","1,109","±136","1,797","±404","1,404","±169","1,099","±87","1,382","±202","1,967","±131","2,655","±309","2,179","±189","1,870","±315","981","±65","1,854","±123","2,396","±247","2,132","±179","1,748","±129","1,159","±99","2,617","±315","1,285","±196","711","±60","2,126","±204","2,378","±204","0","±13"
"    1, detached","351","±96","233","±86","1,045","±169","169","±85","281","±85","257","±120","830","±165","935","±161","632","±160","539","±80","876","±141","320","±98","8","±9","617","±183","832","±311","603","±123","306","±146","378","±313","1,349","±294","1,836","±231","117","±78","583","±152","372","±146","1,195","±165","1,630","±213","1,817","±213","2,013","±160","908","±186","1,564","±188","1,156","±151","282","±132","1,146","±152","198","±78","1,324","±283","173","±43","222","±92","1,035","±226","584","±105","1,463","±187","1,292","±104","1,430","±259","2,005","±251","420","±142","351","±55","845","±131","1,042","±137","729","±242","1,487","±176","1,259","±146","1,487","±155","1,326","±217","1,134","±101","1,696","±149","1,296","±245","2,015","±191","999","±159","608","±88","1,096","±156","319","±110","1,244","±115","983","±106","1,299","±209","1,774","±142","186","±94","159","±74","783","±231","1,711","±144","1,848","±160","669","±80","1,384","±143","922","±161","1,112","±237","1,032","±91","203","±123","99","±104","836","±116","1,128","±228","1,960","±133","1,566","±328","1,886","±210","912","±291","482","±82","999","±151","1,897","±267","1,200","±178","1,219","±134","978","±114","758","±227","808","±210","554","±70","573","±237","983","±298","0","±13"
"    1, attached","725","±199","297","±59","10","±14","232","±90","632","±114","951","±167","753","±257","743","±163","680","±181","964","±192","679","±132","512","±108","1,079","±162","27","±42","78","±56","324","±144","0","±13","1,018","±264","647","±192","436","±180","1,347","±230","1,007","±289","1,073","±194","675","±144","8","±12","84","±64","226","±109","559","±147","386","±133","326","±100","732","±166","109","±76","241","±87","0","±19","169","±91","565","±170","311","±168","517","±129","432","±103","0","±13","513","±141","0","±19","961","±260","563","±138","1,170","±143","320","±111","772","±112","291","±94","222","±104","363","±156","14","±15","29","±22","194","±107","428","±144","18","±27","32","±27","415","±66","759","±132","801","±150","271","±198","9","±16","40","±57","0","±19","1,036","±280","621","±120","1,357","±213","218","±100","330","±198","616","±184","249","±66","504","±255","315","±90","12","±18","82","±70","686","±156","263","±95","219","±117","7","±12","743","±179","264","±107","891","±183","446","±85","377","±121","482","±140","878","±146","295","±71","75","±50","1,367","±251","253","±140","157","±72","624","±173","357","±161","0","±13"
"    2","46","±56","0","±13","0","±13","15","±19","22","±24","0","±19","0","±19","0","±19","22","±36","0","±19","48","±69","0","±19","225","±102","37","±55","27","±42","0","±13","0","±13","0","±19","0","±19","0","±19","0","±19","12","±20","215","±111","0","±19","17","±26","0","±19","0","±19","0","±13","8","±12","22","±24","0","±13","0","±13","0","±13","0","±19","52","±29","21","±35","0","±13","11","±18","0","±19","0","±13","16","±26","0","±19","0","±19","0","±13","0","±19","0","±13","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","0","±19","0","±13","0","±19","0","±13","0","±13","0","±19","0","±19","32","±28","0","±19","0","±19","0","±19","0","±13","0","±19","0","±13","0","±19","0","±13","19","±29","0","±13","0","±13","0","±19","0","±19","0","±13","0","±19","31","±46","3","±5","49","±53","0","±19","18","±21","0","±13","0","±13","0","±19","22","±36","0","±13","0","±19","0","±19","0","±13"
"    3 or 4","0","±13","42","±45","0","±13","43","±62","69","±54","230","±135","11","±15","0","±19","15","±28","92","±149","0","±19","56","±56","0","±19","15","±23","0","±19","0","±13","25","±41","104","±113","37","±63","0","±19","0","±19","25","±31","27","±32","0","±19","19","±29","0","±19","0","±19","0","±13","0","±19","23","±37","0","±13","16","±29","63","±51","0","±19","104","±42","8","±14","0","±13","6","±12","0","±19","0","±13","50","±46","0","±19","51","±46","0","±13","62","±65","0","±13","9","±14","0","±19","0","±19","0","±19","0","±13","10","±14","0","±19","0","±19","0","±19","0","±13","0","±13","16","±25","10","±17","0","±19","0","±13","0","±13","0","±19","198","±125","24","±26","222","±126","8","±14","0","±19","0","±13","0","±19","0","±13","0","±19","65","±101","71","±73","0","±13","0","±13","13","±20","0","±19","0","±13","0","±19","36","±32","5","±6","52","±47","0","±19","0","±19","7","±12","10","±16","0","±19","0","±13","0","±13","0","±19","59","±66","0","±13"
"    5 to 9","46","±50","93","±55","0","±13","169","±101","244","±111","308","±240","8","±12","0","±19","108","±114","0","±19","0","±19","45","±35","7","±12","60","±56","19","±33","20","±48","108","±114","537","±385","20","±32","0","±19","224","±119","0","±19","106","±67","0","±19","96","±44","0","±19","0","±19","0","±13","0","±19","30","±47","0","±13","107","±116","210","±191","51","±39","59","±33","0","±13","0","±13","22","±24","0","±19","0","±13","0","±19","0","±19","227","±105","0","±13","104","±85","0","±13","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","36","±42","0","±19","0","±19","0","±13","0","±13","0","±19","12","±19","0","±19","0","±13","0","±13","0","±19","176","±116","62","±35","69","±69","0","±19","0","±19","0","±13","0","±19","0","±13","10","±15","0","±13","266","±143","126","±87","0","±13","0","±19","0","±19","0","±13","0","±19","0","±19","28","±32","36","±51","0","±19","21","±23","0","±13","0","±13","100","±77","0","±13","0","±13","158","±116","80","±80","0","±13"
"    10 to 19","9","±13","33","±31","141","±66","976","±267","321","±124","261","±134","157","±67","130","±116","817","±236","0","±19","0","±19","827","±321","66","±51","158","±84","224","±118","30","±51","726","±185","143","±111","239","±170","0","±19","484","±168","59","±91","149","±92","0","±19","56","±53","0","±19","0","±19","0","±13","0","±19","109","±54","0","±13","91","±73","432","±110","274","±152","66","±69","14","±16","0","±13","0","±13","0","±19","0","±13","125","±81","0","±19","502","±203","10","±14","0","±19","0","±13","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","165","±80","0","±19","0","±19","0","±13","0","±13","0","±19","77","±54","0","±19","0","±13","0","±13","0","±19","981","±333","628","±143","129","±83","47","±82","0","±19","0","±13","0","±19","0","±13","0","±19","0","±13","1,086","±406","473","±177","0","±13","6","±12","0","±19","16","±24","0","±19","0","±19","9","±9","229","±89","14","±22","11","±14","105","±70","12","±20","330","±224","0","±13","0","±13","586","±186","776","±241","0","±13"
"    20 to 49","129","±59","0","±13","64","±87","12","±19","32","±27","131","±109","30","±45","0","±19","106","±71","0","±19","0","±19","34","±34","77","±55","71","±70","0","±19","0","±13","0","±13","256","±227","143","±83","0","±19","34","±38","31","±35","38","±33","0","±19","26","±43","0","±19","0","±19","0","±13","0","±19","17","±27","0","±13","0","±13","24","±37","0","±19","0","±13","0","±13","0","±13","0","±13","12","±17","0","±13","18","±31","6","±9","75","±68","0","±13","0","±19","0","±13","43","±70","0","±19","0","±19","0","±19","0","±13","0","±13","13","±21","0","±19","0","±19","0","±13","0","±13","120","±73","0","±13","0","±19","0","±13","0","±13","0","±19","51","±52","53","±51","375","±324","0","±19","0","±19","0","±13","0","±19","0","±13","0","±19","0","±13","41","±36","3","±7","0","±13","0","±19","0","±19","124","±50","0","±19","0","±19","8","±12","70","±68","0","±19","0","±19","122","±51","13","±14","0","±19","0","±13","0","±13","24","±27","25","±28","0","±13"
"    50 or more","307","±91","360","±98","0","±13","0","±13","9","±14","60","±73","223","±68","0","±19","10","±18","0","±19","0","±19","348","±154","668","±186","290","±108","105","±50","0","±13","157","±155","472","±195","0","±19","0","±19","47","±78","149","±84","26","±25","0","±19","77","±55","0","±19","0","±19","0","±13","0","±19","20","±27","0","±13","0","±13","32","±46","0","±19","43","±43","58","±45","0","±13","145","±63","91","±48","0","±13","0","±19","0","±19","139","±81","0","±13","0","±19","0","±13","129","±69","0","±19","0","±19","0","±19","0","±13","17","±24","190","±146","0","±19","0","±19","9","±14","0","±13","66","±56","15","±24","0","±19","0","±13","0","±13","0","±19","323","±184","19","±22","80","±49","13","±20","0","±19","0","±13","0","±19","0","±13","0","±19","0","±13","29","±46","17","±29","0","±13","16","±26","0","±19","206","±78","0","±19","0","±19","0","±13","20","±23","3","±8","4","±7","0","±13","71","±43","62","±95","0","±13","0","±13","161","±114","88","±96","0","±13"
"    Mobile home","0","±13","0","±13","6","±11","0","±13","0","±13","132","±152","0","±19","0","±19","0","±19","0","±19","0","±19","72","±113","0","±19","0","±13","261","±157","0","±13","137","±135","40","±56","0","±19","0","±19","0","±19","0","±19","91","±84","13","±22","0","±19","0","±19","0","±19","0","±13","0","±19","0","±13","146","±122","0","±13","0","±13","0","±19","15","±14","0","±13","22","±24","42","±53","0","±19","0","±13","22","±36","0","±19","0","±19","0","±13","15","±27","0","±13","82","±77","0","±19","14","±24","7","±12","0","±13","0","±13","0","±19","4","±10","264","±210","0","±13","0","±13","0","±19","0","±13","0","±19","6","±10","0","±13","0","±19","0","±19","0","±13","0","±19","0","±19","15","±26","8","±12","0","±19","0","±13","0","±19","0","±13","0","±13","0","±13","0","±13","0","±19","0","±19","0","±13","29","±44","0","±19","0","±13","22","±28","0","±19","0","±19","0","±13","0","±13","0","±19","202","±72","0","±13","0","±19","10","±20","0","±13"
