censustract,total_2024,Mobile_homes_2024,total_2023,Mobile_homes_2023,total_2022,Mobile_homes_2022,total_2021,Mobile_homes_2021,total_2020,Mobile_homes_2020,prop_mobile_homes_2024,prop_mobile_homes_2023,prop_mobile_homes_2022,prop_mobile_homes_2021,prop_mobile_homes_2020
9001,1654,0,1623,0,1613,0,1580,0,1509,0,0.0,0.0,0.0,0.0,0.0
9002.01,1135,0,1180,0,1058,0,962,0,833,0,0.0,0.0,0.0,0.0,0.0
9002.02,1244,18,1229,21,1266,6,1269,0,1219,0,1.45,1.71,0.47,0.0,0.0
9002.03,1545,20,1540,13,1616,0,1679,0,1662,0,1.29,0.84,0.0,0.0,0.0
9003.01,1636,0,1619,0,1610,0,1621,0,1564,0,0.0,0.0,0.0,0.0,0.0
9003.02,2307,131,2338,125,2330,132,2326,90,2244,78,5.68,5.35,5.67,3.87,3.48
9004.03,2019,0,2003,0,2012,0,1981,0,1984,0,0.0,0.0,0.0,0.0,0.0
9004.04,1712,0,1763,0,1808,0,1786,0,1741,0,0.0,0.0,0.0,0.0,0.0
9004.07,2435,0,2431,0,2390,0,2393,0,2327,0,0.0,0.0,0.0,0.0,0.0
9004.08,1591,0,1592,0,1595,0,1634,0,1628,0,0.0,0.0,0.0,0.0,0.0
9004.09,1620,0,1583,0,1603,0,1619,0,1597,0,0.0,0.0,0.0,0.0,0.0
9004.10,2361,72,2258,73,2214,72,2207,73,2110,73,3.05,3.23,3.25,3.31,3.46
9005.02,2109,0,2130,0,2130,0,2133,0,2047,0,0.0,0.0,0.0,0.0,0.0
9005.03,1268,0,1278,0,1275,0,1318,0,1217,0,0.0,0.0,0.0,0.0,0.0
9005.04,1572,231,1535,206,1546,261,1578,300,1450,237,14.69,13.42,16.88,19.01,16.34
9006.01,998,0,993,0,977,0,998,0,949,0,0.0,0.0,0.0,0.0,0.0
9006.02,1466,138,1461,79,1459,137,1432,63,1290,99,9.41,5.41,9.39,4.4,7.67
9007.01,3182,40,3055,40,2948,40,3029,39,2791,5,1.26,1.31,1.36,1.29,0.18
9007.02,2380,29,2372,35,2435,0,2462,9,2436,45,1.22,1.48,0.0,0.37,1.85
9008.01,2308,0,2301,0,2272,0,2305,0,2176,0,0.0,0.0,0.0,0.0,0.0
9008.03,2345,0,2277,0,2253,0,2331,0,2220,18,0.0,0.0,0.0,0.0,0.81
9008.04,2065,0,1962,0,1866,0,1828,0,1618,0,0.0,0.0,0.0,0.0,0.0
9009.01,2187,38,2233,79,2097,91,2170,61,2148,81,1.74,3.54,4.34,2.81,3.77
9009.04,2425,12,2107,15,1883,13,1771,0,1617,0,0.49,0.71,0.69,0.0,0.0
9009.05,1934,0,1922,0,1929,0,1936,0,1853,0,0.0,0.0,0.0,0.0,0.0
