"Label (Grouping)","Census Tract 9001, Prince William County, Virginia!!Estimate","Census Tract 9001, Prince William County, Virginia!!Margin of Error","Census Tract 9002.01, Prince William County, Virginia!!Estimate","Census Tract 9002.01, Prince William County, Virginia!!Margin of Error","Census Tract 9002.02, Prince William County, Virginia!!Estimate","Census Tract 9002.02, Prince William County, Virginia!!Margin of Error","Census Tract 9002.03, Prince William County, Virginia!!Estimate","Census Tract 9002.03, Prince William County, Virginia!!Margin of Error","Census Tract 9003.01, Prince William County, Virginia!!Estimate","Census Tract 9003.01, Prince William County, Virginia!!Margin of Error","Census Tract 9003.02, Prince William County, Virginia!!Estimate","Census Tract 9003.02, Prince William County, Virginia!!Margin of Error","Census Tract 9004.03, Prince William County, Virginia!!Estimate","Census Tract 9004.03, Prince William County, Virginia!!Margin of Error","Census Tract 9004.04, Prince William County, Virginia!!Estimate","Census Tract 9004.04, Prince William County, Virginia!!Margin of Error","Census Tract 9004.07, Prince William County, Virginia!!Estimate","Census Tract 9004.07, Prince William County, Virginia!!Margin of Error","Census Tract 9004.08, Prince William County, Virginia!!Estimate","Census Tract 9004.08, Prince William County, Virginia!!Margin of Error","Census Tract 9004.09, Prince William County, Virginia!!Estimate","Census Tract 9004.09, Prince William County, Virginia!!Margin of Error","Census Tract 9004.10, Prince William County, Virginia!!Estimate","Census Tract 9004.10, Prince William County, Virginia!!Margin of Error","Census Tract 9005.02, Prince William County, Virginia!!Estimate","Census Tract 9005.02, Prince William County, Virginia!!Margin of Error","Census Tract 9005.03, Prince William County, Virginia!!Estimate","Census Tract 9005.03, Prince William County, Virginia!!Margin of Error","Census Tract 9005.04, Prince William County, Virginia!!Estimate","Census Tract 9005.04, Prince William County, Virginia!!Margin of Error","Census Tract 9006.01, Prince William County, Virginia!!Estimate","Census Tract 9006.01, Prince William County, Virginia!!Margin of Error","Census Tract 9006.02, Prince William County, Virginia!!Estimate","Census Tract 9006.02, Prince William County, Virginia!!Margin of Error","Census Tract 9007.01, Prince William County, Virginia!!Estimate","Census Tract 9007.01, Prince William County, Virginia!!Margin of Error","Census Tract 9007.02, Prince William County, Virginia!!Estimate","Census Tract 9007.02, Prince William County, Virginia!!Margin of Error","Census Tract 9008.01, Prince William County, Virginia!!Estimate","Census Tract 9008.01, Prince William County, Virginia!!Margin of Error","Census Tract 9008.03, Prince William County, Virginia!!Estimate","Census Tract 9008.03, Prince William County, Virginia!!Margin of Error","Census Tract 9008.04, Prince William County, Virginia!!Estimate","Census Tract 9008.04, Prince William County, Virginia!!Margin of Error","Census Tract 9009.01, Prince William County, Virginia!!Estimate","Census Tract 9009.01, Prince William County, Virginia!!Margin of Error","Census Tract 9009.04, Prince William County, Virginia!!Estimate","Census Tract 9009.04, Prince William County, Virginia!!Margin of Error","Census Tract 9009.05, Prince William County, Virginia!!Estimate","Census Tract 9009.05, Prince William County, Virginia!!Margin of Error","Census Tract 9010.05, Prince William County, Virginia!!Estimate","Census Tract 9010.05, Prince William County, Virginia!!Margin of Error","Census Tract 9010.09, Prince William County, Virginia!!Estimate","Census Tract 9010.09, Prince William County, Virginia!!Margin of Error","Census Tract 9010.10, Prince William County, Virginia!!Estimate","Census Tract 9010.10, Prince William County, Virginia!!Margin of Error","Census Tract 9010.11, Prince William County, Virginia!!Estimate","Census Tract 9010.11, Prince William County, Virginia!!Margin of Error","Census Tract 9010.12, Prince William County, Virginia!!Estimate","Census Tract 9010.12, Prince William County, Virginia!!Margin of Error","Census Tract 9010.13, Prince William County, Virginia!!Estimate","Census Tract 9010.13, Prince William County, Virginia!!Margin of Error","Census Tract 9010.14, Prince William County, Virginia!!Estimate","Census Tract 9010.14, Prince William County, Virginia!!Margin of Error","Census Tract 9010.15, Prince William County, Virginia!!Estimate","Census Tract 9010.15, Prince William County, Virginia!!Margin of Error","Census Tract 9010.16, Prince William County, Virginia!!Estimate","Census Tract 9010.16, Prince William County, Virginia!!Margin of Error","Census Tract 9011.01, Prince William County, Virginia!!Estimate","Census Tract 9011.01, Prince William County, Virginia!!Margin of Error","Census Tract 9011.02, Prince William County, Virginia!!Estimate","Census Tract 9011.02, Prince William County, Virginia!!Margin of Error","Census Tract 9012.03, Prince William County, Virginia!!Estimate","Census Tract 9012.03, Prince William County, Virginia!!Margin of Error","Census Tract 9012.08, Prince William County, Virginia!!Estimate","Census Tract 9012.08, Prince William County, Virginia!!Margin of Error","Census Tract 9012.09, Prince William County, Virginia!!Estimate","Census Tract 9012.09, Prince William County, Virginia!!Margin of Error","Census Tract 9012.11, Prince William County, Virginia!!Estimate","Census Tract 9012.11, Prince William County, Virginia!!Margin of Error","Census Tract 9012.12, Prince William County, Virginia!!Estimate","Census Tract 9012.12, Prince William County, Virginia!!Margin of Error","Census Tract 9012.19, Prince William County, Virginia!!Estimate","Census Tract 9012.19, Prince William County, Virginia!!Margin of Error","Census Tract 9012.21, Prince William County, Virginia!!Estimate","Census Tract 9012.21, Prince William County, Virginia!!Margin of Error","Census Tract 9012.22, Prince William County, Virginia!!Estimate","Census Tract 9012.22, Prince William County, Virginia!!Margin of Error","Census Tract 9012.23, Prince William County, Virginia!!Estimate","Census Tract 9012.23, Prince William County, Virginia!!Margin of Error","Census Tract 9012.24, Prince William County, Virginia!!Estimate","Census Tract 9012.24, Prince William County, Virginia!!Margin of Error","Census Tract 9012.25, Prince William County, Virginia!!Estimate","Census Tract 9012.25, Prince William County, Virginia!!Margin of Error","Census Tract 9012.26, Prince William County, Virginia!!Estimate","Census Tract 9012.26, Prince William County, Virginia!!Margin of Error","Census Tract 9012.27, Prince William County, Virginia!!Estimate","Census Tract 9012.27, Prince William County, Virginia!!Margin of Error","Census Tract 9012.28, Prince William County, Virginia!!Estimate","Census Tract 9012.28, Prince William County, Virginia!!Margin of Error","Census Tract 9012.29, Prince William County, Virginia!!Estimate","Census Tract 9012.29, Prince William County, Virginia!!Margin of Error","Census Tract 9012.30, Prince William County, Virginia!!Estimate","Census Tract 9012.30, Prince William County, Virginia!!Margin of Error","Census Tract 9012.31, Prince William County, Virginia!!Estimate","Census Tract 9012.31, Prince William County, Virginia!!Margin of Error","Census Tract 9012.32, Prince William County, Virginia!!Estimate","Census Tract 9012.32, Prince William County, Virginia!!Margin of Error","Census Tract 9012.33, Prince William County, Virginia!!Estimate","Census Tract 9012.33, Prince William County, Virginia!!Margin of Error","Census Tract 9012.34, Prince William County, Virginia!!Estimate","Census Tract 9012.34, Prince William County, Virginia!!Margin of Error","Census Tract 9012.35, Prince William County, Virginia!!Estimate","Census Tract 9012.35, Prince William County, Virginia!!Margin of Error","Census Tract 9012.36, Prince William County, Virginia!!Estimate","Census Tract 9012.36, Prince William County, Virginia!!Margin of Error","Census Tract 9012.37, Prince William County, Virginia!!Estimate","Census Tract 9012.37, Prince William County, Virginia!!Margin of Error","Census Tract 9013.03, Prince William County, Virginia!!Estimate","Census Tract 9013.03, Prince William County, Virginia!!Margin of Error","Census Tract 9013.04, Prince William County, Virginia!!Estimate","Census Tract 9013.04, Prince William County, Virginia!!Margin of Error","Census Tract 9013.05, Prince William County, Virginia!!Estimate","Census Tract 9013.05, Prince William County, Virginia!!Margin of Error","Census Tract 9013.06, Prince William County, Virginia!!Estimate","Census Tract 9013.06, Prince William County, Virginia!!Margin of Error","Census Tract 9014.03, Prince William County, Virginia!!Estimate","Census Tract 9014.03, Prince William County, Virginia!!Margin of Error","Census Tract 9014.07, Prince William County, Virginia!!Estimate","Census Tract 9014.07, Prince William County, Virginia!!Margin of Error","Census Tract 9014.09, Prince William County, Virginia!!Estimate","Census Tract 9014.09, Prince William County, Virginia!!Margin of Error","Census Tract 9014.11, Prince William County, Virginia!!Estimate","Census Tract 9014.11, Prince William County, Virginia!!Margin of Error","Census Tract 9014.12, Prince William County, Virginia!!Estimate","Census Tract 9014.12, Prince William County, Virginia!!Margin of Error","Census Tract 9014.13, Prince William County, Virginia!!Estimate","Census Tract 9014.13, Prince William County, Virginia!!Margin of Error","Census Tract 9014.14, Prince William County, Virginia!!Estimate","Census Tract 9014.14, Prince William County, Virginia!!Margin of Error","Census Tract 9014.15, Prince William County, Virginia!!Estimate","Census Tract 9014.15, Prince William County, Virginia!!Margin of Error","Census Tract 9014.16, Prince William County, Virginia!!Estimate","Census Tract 9014.16, Prince William County, Virginia!!Margin of Error","Census Tract 9014.17, Prince William County, Virginia!!Estimate","Census Tract 9014.17, Prince William County, Virginia!!Margin of Error","Census Tract 9014.18, Prince William County, Virginia!!Estimate","Census Tract 9014.18, Prince William County, Virginia!!Margin of Error","Census Tract 9014.19, Prince William County, Virginia!!Estimate","Census Tract 9014.19, Prince William County, Virginia!!Margin of Error","Census Tract 9014.20, Prince William County, Virginia!!Estimate","Census Tract 9014.20, Prince William County, Virginia!!Margin of Error","Census Tract 9014.21, Prince William County, Virginia!!Estimate","Census Tract 9014.21, Prince William County, Virginia!!Margin of Error","Census Tract 9015.03, Prince William County, Virginia!!Estimate","Census Tract 9015.03, Prince William County, Virginia!!Margin of Error","Census Tract 9015.04, Prince William County, Virginia!!Estimate","Census Tract 9015.04, Prince William County, Virginia!!Margin of Error","Census Tract 9015.05, Prince William County, Virginia!!Estimate","Census Tract 9015.05, Prince William County, Virginia!!Margin of Error","Census Tract 9015.06, Prince William County, Virginia!!Estimate","Census Tract 9015.06, Prince William County, Virginia!!Margin of Error","Census Tract 9015.07, Prince William County, Virginia!!Estimate","Census Tract 9015.07, Prince William County, Virginia!!Margin of Error","Census Tract 9015.08, Prince William County, Virginia!!Estimate","Census Tract 9015.08, Prince William County, Virginia!!Margin of Error","Census Tract 9015.09, Prince William County, Virginia!!Estimate","Census Tract 9015.09, Prince William County, Virginia!!Margin of Error","Census Tract 9015.10, Prince William County, Virginia!!Estimate","Census Tract 9015.10, Prince William County, Virginia!!Margin of Error","Census Tract 9015.11, Prince William County, Virginia!!Estimate","Census Tract 9015.11, Prince William County, Virginia!!Margin of Error","Census Tract 9016.01, Prince William County, Virginia!!Estimate","Census Tract 9016.01, Prince William County, Virginia!!Margin of Error","Census Tract 9016.02, Prince William County, Virginia!!Estimate","Census Tract 9016.02, Prince William County, Virginia!!Margin of Error","Census Tract 9017.02, Prince William County, Virginia!!Estimate","Census Tract 9017.02, Prince William County, Virginia!!Margin of Error","Census Tract 9017.03, Prince William County, Virginia!!Estimate","Census Tract 9017.03, Prince William County, Virginia!!Margin of Error","Census Tract 9017.04, Prince William County, Virginia!!Estimate","Census Tract 9017.04, Prince William County, Virginia!!Margin of Error","Census Tract 9019, Prince William County, Virginia!!Estimate","Census Tract 9019, Prince William County, Virginia!!Margin of Error","Census Tract 9801, Prince William County, Virginia!!Estimate","Census Tract 9801, Prince William County, Virginia!!Margin of Error"
"Total:","1,509","±195","833","±91","1,219","±150","1,662","±257","1,564","±162","2,244","±295","1,984","±278","1,741","±172","2,327","±199","1,628","±256","1,597","±203","2,110","±301","2,047","±167","1,217","±169","1,450","±229","949","±69","1,290","±135","2,791","±178","2,436","±292","2,176","±198","2,220","±223","1,618","±266","2,148","±214","1,617","±161","1,853","±182","1,814","±260","2,157","±154","1,373","±178","1,939","±213","1,658","±137","1,129","±151","1,408","±168","1,177","±180","1,563","±302","598","±129","850","±130","1,364","±312","1,224","±107","1,942","±189","1,230","±89","2,109","±164","1,916","±241","2,285","±325","874","±119","2,052","±140","1,299","±109","1,631","±241","1,653","±153","1,427","±140","1,858","±142","1,357","±234","1,133","±79","1,925","±166","1,453","±226","2,154","±210","1,002","±179","981","±74","1,909","±176","1,141","±107","1,408","±227","919","±75","1,222","±200","1,681","±126","2,809","±406","1,494","±154","2,705","±343","1,920","±177","2,034","±200","1,250","±190","1,564","±142","1,377","±260","1,382","±218","962","±109","1,608","±378","1,512","±229","1,002","±100","1,249","±197","1,850","±199","2,530","±324","2,103","±244","1,808","±274","954","±88","1,730","±129","2,160","±226","1,910","±148","1,566","±166","1,072","±98","2,479","±216","1,241","±200","707","±91","2,047","±198","2,213","±213","0","±13"
"    1, detached","339","±74","254","±68","1,060","±156","174","±70","193","±69","294","±116","704","±138","757","±123","637","±101","611","±87","763","±129","351","±101","17","±18","608","±174","858","±206","556","±200","300","±83","106","±94","1,315","±288","1,785","±180","174","±103","367","±105","384","±107","1,023","±155","1,427","±177","1,754","±263","1,887","±165","743","±154","1,410","±200","1,142","±156","291","±128","991","±157","138","±67","1,048","±307","180","±58","223","±91","1,123","±225","440","±75","1,339","±186","1,230","±89","1,398","±198","1,910","±241","482","±178","326","±44","930","±130","963","±133","662","±228","1,349","±164","1,298","±128","1,393","±125","1,341","±234","1,100","±81","1,498","±109","1,208","±202","1,903","±150","978","±178","571","±75","1,010","±163","302","±79","1,195","±123","906","±75","1,197","±203","1,641","±126","176","±92","70","±46","745","±179","1,680","±143","1,719","±112","686","±95","1,293","±146","887","±154","1,067","±219","901","±79","36","±40","97","±108","781","±102","1,012","±207","1,843","±202","1,597","±330","1,815","±243","875","±247","483","±74","958","±149","1,797","±233","1,110","±144","1,202","±154","886","±101","878","±178","828","±182","604","±87","552","±192","1,155","±216","0","±13"
"    1, attached","723","±164","291","±60","27","±38","217","±87","676","±107","983","±162","887","±219","832","±154","599","±130","917","±200","713","±125","553","±108","1,064","±167","60","±81","49","±47","364","±231","0","±13","1,186","±256","679","±178","391","±150","1,307","±229","1,074","±270","1,096","±203","594","±130","34","±37","60","±35","270","±88","623","±148","517","±158","307","±94","648","±162","120","±67","335","±119","75","±75","88","±66","521","±142","233","±157","619","±118","513","±108","0","±13","420","±136","0","±18","971","±203","544","±118","910","±159","336","±96","756","±110","304","±85","129","±72","404","±110","16","±19","21","±21","91","±68","224","±117","0","±18","15","±16","410","±76","689","±105","747","±151","213","±185","13","±16","25","±39","0","±13","888","±239","635","±163","1,247","±203","107","±55","315","±174","558","±173","264","±71","490","±219","305","±78","2","±5","168","±100","616","±158","221","±75","180","±81","7","±11","589","±162","268","±92","882","±148","404","±50","286","±104","359","±107","759","±121","196","±48","89","±50","1,119","±205","248","±99","103","±64","667","±126","339","±103","0","±13"
"    2","41","±40","0","±13","0","±13","6","±11","9","±11","0","±18","0","±18","0","±18","23","±37","0","±18","121","±152","0","±18","182","±102","19","±30","0","±18","0","±13","0","±13","0","±18","0","±18","0","±18","0","±18","0","±18","123","±73","0","±18","26","±29","0","±18","0","±18","0","±13","12","±19","9","±13","0","±13","0","±13","0","±13","0","±13","50","±24","56","±61","0","±13","0","±13","0","±18","0","±13","11","±19","0","±18","0","±18","0","±13","19","±31","0","±13","0","±18","0","±18","0","±18","0","±18","0","±13","0","±13","0","±18","0","±18","0","±18","0","±13","0","±13","0","±18","0","±13","0","±13","0","±13","0","±13","0","±13","0","±18","27","±26","0","±18","0","±18","0","±18","0","±13","0","±18","0","±13","0","±18","0","±13","31","±47","0","±13","0","±13","0","±13","0","±18","0","±13","0","±18","42","±59","0","±13","57","±55","4","±9","13","±15","0","±13","0","±13","0","±18","16","±28","0","±13","12","±24","0","±18","0","±13"
"    3 or 4","0","±13","39","±31","0","±13","21","±31","52","±23","169","±102","0","±18","29","±37","0","±18","93","±142","0","±18","35","±43","0","±18","3","±19","0","±18","0","±13","0","±13","94","±98","16","±31","0","±18","0","±18","0","±18","73","±57","0","±18","17","±21","0","±18","0","±18","0","±13","0","±18","23","±36","0","±13","0","±13","38","±41","0","±13","70","±34","0","±13","0","±13","9","±14","12","±16","0","±13","31","±39","0","±18","109","±62","0","±13","131","±92","0","±13","0","±18","0","±18","0","±18","0","±18","0","±13","12","±18","0","±18","0","±18","0","±18","0","±13","0","±13","11","±18","0","±13","0","±13","0","±13","0","±13","24","±34","119","±109","0","±13","104","±76","31","±32","0","±18","0","±13","0","±18","0","±13","0","±18","53","±77","94","±81","0","±13","0","±13","0","±13","0","±18","0","±13","0","±18","9","±14","4","±6","8","±13","0","±18","0","±18","0","±13","0","±13","19","±30","0","±13","0","±13","16","±29","50","±62","0","±13"
"    5 to 9","58","±56","115","±55","7","±12","89","±61","175","±101","272","±240","10","±15","0","±18","30","±37","0","±18","0","±18","49","±43","0","±18","36","±58","10","±16","0","±13","90","±97","411","±170","0","±18","0","±18","204","±165","19","±33","145","±79","0","±18","114","±77","0","±18","0","±18","0","±13","0","±18","29","±44","17","±27","231","±126","223","±156","122","±81","34","±21","0","±13","0","±13","11","±17","0","±18","0","±13","6","±22","0","±18","229","±93","0","±13","11","±17","0","±13","12","±19","0","±18","0","±18","0","±18","0","±13","0","±13","27","±29","0","±18","0","±18","0","±13","0","±13","0","±18","10","±17","0","±13","0","±13","0","±13","16","±25","262","±135","54","±35","29","±43","0","±18","0","±18","0","±13","7","±13","0","±13","10","±15","0","±13","152","±67","99","±89","0","±13","0","±13","0","±18","0","±13","0","±18","0","±18","34","±43","85","±56","0","±18","14","±19","0","±13","0","±13","136","±109","0","±13","0","±13","123","±93","41","±41","0","±13"
"    10 to 19","0","±13","26","±29","125","±65","1,124","±268","437","±129","299","±109","143","±53","123","±133","864","±221","7","±12","0","±18","837","±279","85","±58","136","±96","207","±109","29","±75","702","±94","178","±128","219","±163","0","±18","477","±158","45","±52","177","±73","0","±18","150","±90","0","±18","0","±18","0","±13","0","±18","91","±56","0","±13","66","±71","348","±120","318","±140","58","±44","10","±17","0","±13","0","±13","0","±18","0","±13","222","±111","0","±18","354","±187","4","±7","18","±27","0","±13","0","±18","0","±18","0","±18","0","±18","0","±13","0","±13","65","±47","0","±18","0","±18","0","±13","0","±13","11","±17","82","±60","0","±13","0","±13","0","±13","0","±13","990","±292","603","±117","163","±112","45","±70","0","±18","0","±13","0","±18","0","±13","0","±18","0","±13","1,085","±417","573","±194","0","±13","0","±13","0","±18","14","±22","0","±18","0","±18","18","±13","235","±81","0","±18","11","±14","90","±73","41","±45","327","±195","0","±13","0","±13","584","±169","479","±162","0","±13"
"    20 to 49","105","±47","0","±13","0","±13","10","±17","19","±17","135","±70","8","±14","0","±18","123","±90","0","±18","0","±18","0","±18","94","±63","0","±13","22","±35","0","±13","0","±13","118","±90","93","±72","0","±18","19","±23","31","±41","61","±33","0","±18","23","±38","0","±18","0","±18","0","±13","0","±18","11","±16","0","±13","0","±13","24","±29","0","±13","20","±22","0","±13","0","±13","0","±13","0","±18","0","±13","0","±18","6","±9","81","±68","0","±13","0","±18","0","±13","41","±66","0","±18","0","±18","0","±18","0","±13","0","±13","35","±41","0","±18","0","±18","0","±13","0","±13","107","±68","0","±13","0","±13","0","±13","0","±13","0","±13","71","±61","99","±66","344","±303","18","±28","0","±18","0","±13","0","±18","0","±13","0","±18","6","±10","41","±43","114","±143","0","±13","0","±13","0","±18","123","±50","0","±18","0","±18","6","±9","70","±68","0","±18","0","±18","78","±37","14","±17","0","±18","0","±13","0","±13","18","±30","45","±31","0","±13"
"    50 or more","243","±82","108","±75","0","±13","21","±29","3","±5","14","±24","232","±75","0","±18","51","±46","0","±18","0","±18","212","±132","605","±153","355","±162","67","±32","0","±13","99","±106","693","±187","69","±98","0","±18","21","±28","82","±59","8","±13","0","±18","62","±42","0","±18","0","±18","0","±13","0","±18","46","±69","0","±13","0","±13","71","±63","0","±13","92","±86","40","±33","0","±13","134","±53","78","±41","0","±13","0","±18","0","±18","59","±54","0","±13","0","±18","0","±13","55","±61","0","±18","0","±18","0","±18","0","±13","0","±13","209","±127","11","±15","0","±18","9","±13","0","±13","81","±58","0","±13","0","±13","0","±13","0","±13","0","±13","303","±187","6","±9","73","±77","0","±18","0","±18","0","±13","0","±18","0","±13","0","±18","0","±13","1","±18","13","±22","0","±13","11","±16","0","±18","207","±64","0","±18","0","±18","0","±13","31","±40","0","±18","3","±5","0","±13","42","±38","0","±18","0","±13","0","±13","75","±62","104","±69","0","±13"
"    Mobile home","0","±13","0","±13","0","±13","0","±13","0","±13","78","±121","0","±18","0","±18","0","±18","0","±18","0","±18","73","±113","0","±18","0","±13","237","±155","0","±13","99","±89","5","±9","45","±56","0","±18","18","±33","0","±18","81","±65","0","±18","0","±18","0","±18","0","±18","7","±12","0","±18","0","±13","173","±113","0","±13","0","±13","0","±13","6","±12","0","±13","8","±12","11","±19","0","±18","0","±13","21","±32","0","±18","0","±18","0","±13","33","±44","0","±13","105","±65","0","±18","0","±18","61","±71","0","±13","0","±13","0","±18","10","±16","251","±187","0","±13","0","±13","0","±18","0","±13","0","±13","0","±13","0","±13","0","±13","0","±18","0","±13","0","±18","39","±39","0","±18","6","±11","0","±18","0","±13","0","±18","0","±13","0","±13","0","±13","0","±13","46","±70","0","±18","0","±13","20","±31","0","±18","0","±13","0","±18","0","±18","0","±18","0","±13","0","±13","0","±18","149","±84","0","±13","0","±18","0","±18","0","±13"
