"Label (Grouping)","Census Tract 9001; Prince William County; Virginia!!Estimate","Census Tract 9001; Prince William County; Virginia!!Margin of Error","Census Tract 9002.01; Prince William County; Virginia!!Estimate","Census Tract 9002.01; Prince William County; Virginia!!Margin of Error","Census Tract 9002.02; Prince William County; Virginia!!Estimate","Census Tract 9002.02; Prince William County; Virginia!!Margin of Error","Census Tract 9002.03; Prince William County; Virginia!!Estimate","Census Tract 9002.03; Prince William County; Virginia!!Margin of Error","Census Tract 9003.01; Prince William County; Virginia!!Estimate","Census Tract 9003.01; Prince William County; Virginia!!Margin of Error","Census Tract 9003.02; Prince William County; Virginia!!Estimate","Census Tract 9003.02; Prince William County; Virginia!!Margin of Error","Census Tract 9004.03; Prince William County; Virginia!!Estimate","Census Tract 9004.03; Prince William County; Virginia!!Margin of Error","Census Tract 9004.04; Prince William County; Virginia!!Estimate","Census Tract 9004.04; Prince William County; Virginia!!Margin of Error","Census Tract 9004.07; Prince William County; Virginia!!Estimate","Census Tract 9004.07; Prince William County; Virginia!!Margin of Error","Census Tract 9004.08; Prince William County; Virginia!!Estimate","Census Tract 9004.08; Prince William County; Virginia!!Margin of Error","Census Tract 9004.09; Prince William County; Virginia!!Estimate","Census Tract 9004.09; Prince William County; Virginia!!Margin of Error","Census Tract 9004.10; Prince William County; Virginia!!Estimate","Census Tract 9004.10; Prince William County; Virginia!!Margin of Error","Census Tract 9005.02; Prince William County; Virginia!!Estimate","Census Tract 9005.02; Prince William County; Virginia!!Margin of Error","Census Tract 9005.03; Prince William County; Virginia!!Estimate","Census Tract 9005.03; Prince William County; Virginia!!Margin of Error","Census Tract 9005.04; Prince William County; Virginia!!Estimate","Census Tract 9005.04; Prince William County; Virginia!!Margin of Error","Census Tract 9006.01; Prince William County; Virginia!!Estimate","Census Tract 9006.01; Prince William County; Virginia!!Margin of Error","Census Tract 9006.02; Prince William County; Virginia!!Estimate","Census Tract 9006.02; Prince William County; Virginia!!Margin of Error","Census Tract 9007.01; Prince William County; Virginia!!Estimate","Census Tract 9007.01; Prince William County; Virginia!!Margin of Error","Census Tract 9007.02; Prince William County; Virginia!!Estimate","Census Tract 9007.02; Prince William County; Virginia!!Margin of Error","Census Tract 9008.01; Prince William County; Virginia!!Estimate","Census Tract 9008.01; Prince William County; Virginia!!Margin of Error","Census Tract 9008.03; Prince William County; Virginia!!Estimate","Census Tract 9008.03; Prince William County; Virginia!!Margin of Error","Census Tract 9008.04; Prince William County; Virginia!!Estimate","Census Tract 9008.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.01; Prince William County; Virginia!!Estimate","Census Tract 9009.01; Prince William County; Virginia!!Margin of Error","Census Tract 9009.04; Prince William County; Virginia!!Estimate","Census Tract 9009.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.05; Prince William County; Virginia!!Estimate","Census Tract 9009.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.05; Prince William County; Virginia!!Estimate","Census Tract 9010.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.09; Prince William County; Virginia!!Estimate","Census Tract 9010.09; Prince William County; Virginia!!Margin of Error","Census Tract 9010.10; Prince William County; Virginia!!Estimate","Census Tract 9010.10; Prince William County; Virginia!!Margin of Error","Census Tract 9010.11; Prince William County; Virginia!!Estimate","Census Tract 9010.11; Prince William County; Virginia!!Margin of Error","Census Tract 9010.12; Prince William County; Virginia!!Estimate","Census Tract 9010.12; Prince William County; Virginia!!Margin of Error","Census Tract 9010.13; Prince William County; Virginia!!Estimate","Census Tract 9010.13; Prince William County; Virginia!!Margin of Error","Census Tract 9010.14; Prince William County; Virginia!!Estimate","Census Tract 9010.14; Prince William County; Virginia!!Margin of Error","Census Tract 9010.15; Prince William County; Virginia!!Estimate","Census Tract 9010.15; Prince William County; Virginia!!Margin of Error","Census Tract 9010.16; Prince William County; Virginia!!Estimate","Census Tract 9010.16; Prince William County; Virginia!!Margin of Error","Census Tract 9011.01; Prince William County; Virginia!!Estimate","Census Tract 9011.01; Prince William County; Virginia!!Margin of Error","Census Tract 9011.02; Prince William County; Virginia!!Estimate","Census Tract 9011.02; Prince William County; Virginia!!Margin of Error","Census Tract 9012.03; Prince William County; Virginia!!Estimate","Census Tract 9012.03; Prince William County; Virginia!!Margin of Error","Census Tract 9012.08; Prince William County; Virginia!!Estimate","Census Tract 9012.08; Prince William County; Virginia!!Margin of Error","Census Tract 9012.09; Prince William County; Virginia!!Estimate","Census Tract 9012.09; Prince William County; Virginia!!Margin of Error","Census Tract 9012.11; Prince William County; Virginia!!Estimate","Census Tract 9012.11; Prince William County; Virginia!!Margin of Error","Census Tract 9012.12; Prince William County; Virginia!!Estimate","Census Tract 9012.12; Prince William County; Virginia!!Margin of Error","Census Tract 9012.19; Prince William County; Virginia!!Estimate","Census Tract 9012.19; Prince William County; Virginia!!Margin of Error","Census Tract 9012.21; Prince William County; Virginia!!Estimate","Census Tract 9012.21; Prince William County; Virginia!!Margin of Error","Census Tract 9012.22; Prince William County; Virginia!!Estimate","Census Tract 9012.22; Prince William County; Virginia!!Margin of Error","Census Tract 9012.23; Prince William County; Virginia!!Estimate","Census Tract 9012.23; Prince William County; Virginia!!Margin of Error","Census Tract 9012.24; Prince William County; Virginia!!Estimate","Census Tract 9012.24; Prince William County; Virginia!!Margin of Error","Census Tract 9012.25; Prince William County; Virginia!!Estimate","Census Tract 9012.25; Prince William County; Virginia!!Margin of Error","Census Tract 9012.26; Prince William County; Virginia!!Estimate","Census Tract 9012.26; Prince William County; Virginia!!Margin of Error","Census Tract 9012.27; Prince William County; Virginia!!Estimate","Census Tract 9012.27; Prince William County; Virginia!!Margin of Error","Census Tract 9012.28; Prince William County; Virginia!!Estimate","Census Tract 9012.28; Prince William County; Virginia!!Margin of Error","Census Tract 9012.29; Prince William County; Virginia!!Estimate","Census Tract 9012.29; Prince William County; Virginia!!Margin of Error","Census Tract 9012.30; Prince William County; Virginia!!Estimate","Census Tract 9012.30; Prince William County; Virginia!!Margin of Error","Census Tract 9012.31; Prince William County; Virginia!!Estimate","Census Tract 9012.31; Prince William County; Virginia!!Margin of Error","Census Tract 9012.32; Prince William County; Virginia!!Estimate","Census Tract 9012.32; Prince William County; Virginia!!Margin of Error","Census Tract 9012.33; Prince William County; Virginia!!Estimate","Census Tract 9012.33; Prince William County; Virginia!!Margin of Error","Census Tract 9012.34; Prince William County; Virginia!!Estimate","Census Tract 9012.34; Prince William County; Virginia!!Margin of Error","Census Tract 9012.35; Prince William County; Virginia!!Estimate","Census Tract 9012.35; Prince William County; Virginia!!Margin of Error","Census Tract 9012.36; Prince William County; Virginia!!Estimate","Census Tract 9012.36; Prince William County; Virginia!!Margin of Error","Census Tract 9012.37; Prince William County; Virginia!!Estimate","Census Tract 9012.37; Prince William County; Virginia!!Margin of Error","Census Tract 9013.03; Prince William County; Virginia!!Estimate","Census Tract 9013.03; Prince William County; Virginia!!Margin of Error","Census Tract 9013.04; Prince William County; Virginia!!Estimate","Census Tract 9013.04; Prince William County; Virginia!!Margin of Error","Census Tract 9013.05; Prince William County; Virginia!!Estimate","Census Tract 9013.05; Prince William County; Virginia!!Margin of Error","Census Tract 9013.06; Prince William County; Virginia!!Estimate","Census Tract 9013.06; Prince William County; Virginia!!Margin of Error","Census Tract 9014.03; Prince William County; Virginia!!Estimate","Census Tract 9014.03; Prince William County; Virginia!!Margin of Error","Census Tract 9014.07; Prince William County; Virginia!!Estimate","Census Tract 9014.07; Prince William County; Virginia!!Margin of Error","Census Tract 9014.09; Prince William County; Virginia!!Estimate","Census Tract 9014.09; Prince William County; Virginia!!Margin of Error","Census Tract 9014.11; Prince William County; Virginia!!Estimate","Census Tract 9014.11; Prince William County; Virginia!!Margin of Error","Census Tract 9014.12; Prince William County; Virginia!!Estimate","Census Tract 9014.12; Prince William County; Virginia!!Margin of Error","Census Tract 9014.13; Prince William County; Virginia!!Estimate","Census Tract 9014.13; Prince William County; Virginia!!Margin of Error","Census Tract 9014.14; Prince William County; Virginia!!Estimate","Census Tract 9014.14; Prince William County; Virginia!!Margin of Error","Census Tract 9014.15; Prince William County; Virginia!!Estimate","Census Tract 9014.15; Prince William County; Virginia!!Margin of Error","Census Tract 9014.16; Prince William County; Virginia!!Estimate","Census Tract 9014.16; Prince William County; Virginia!!Margin of Error","Census Tract 9014.17; Prince William County; Virginia!!Estimate","Census Tract 9014.17; Prince William County; Virginia!!Margin of Error","Census Tract 9014.18; Prince William County; Virginia!!Estimate","Census Tract 9014.18; Prince William County; Virginia!!Margin of Error","Census Tract 9014.19; Prince William County; Virginia!!Estimate","Census Tract 9014.19; Prince William County; Virginia!!Margin of Error","Census Tract 9014.20; Prince William County; Virginia!!Estimate","Census Tract 9014.20; Prince William County; Virginia!!Margin of Error","Census Tract 9014.21; Prince William County; Virginia!!Estimate","Census Tract 9014.21; Prince William County; Virginia!!Margin of Error","Census Tract 9015.03; Prince William County; Virginia!!Estimate","Census Tract 9015.03; Prince William County; Virginia!!Margin of Error","Census Tract 9015.04; Prince William County; Virginia!!Estimate","Census Tract 9015.04; Prince William County; Virginia!!Margin of Error","Census Tract 9015.05; Prince William County; Virginia!!Estimate","Census Tract 9015.05; Prince William County; Virginia!!Margin of Error","Census Tract 9015.06; Prince William County; Virginia!!Estimate","Census Tract 9015.06; Prince William County; Virginia!!Margin of Error","Census Tract 9015.07; Prince William County; Virginia!!Estimate","Census Tract 9015.07; Prince William County; Virginia!!Margin of Error","Census Tract 9015.08; Prince William County; Virginia!!Estimate","Census Tract 9015.08; Prince William County; Virginia!!Margin of Error","Census Tract 9015.09; Prince William County; Virginia!!Estimate","Census Tract 9015.09; Prince William County; Virginia!!Margin of Error","Census Tract 9015.10; Prince William County; Virginia!!Estimate","Census Tract 9015.10; Prince William County; Virginia!!Margin of Error","Census Tract 9015.11; Prince William County; Virginia!!Estimate","Census Tract 9015.11; Prince William County; Virginia!!Margin of Error","Census Tract 9016.01; Prince William County; Virginia!!Estimate","Census Tract 9016.01; Prince William County; Virginia!!Margin of Error","Census Tract 9016.02; Prince William County; Virginia!!Estimate","Census Tract 9016.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.02; Prince William County; Virginia!!Estimate","Census Tract 9017.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.03; Prince William County; Virginia!!Estimate","Census Tract 9017.03; Prince William County; Virginia!!Margin of Error","Census Tract 9017.04; Prince William County; Virginia!!Estimate","Census Tract 9017.04; Prince William County; Virginia!!Margin of Error","Census Tract 9019; Prince William County; Virginia!!Estimate","Census Tract 9019; Prince William County; Virginia!!Margin of Error","Census Tract 9801; Prince William County; Virginia!!Estimate","Census Tract 9801; Prince William County; Virginia!!Margin of Error"
"Total:","1,623","±184","1,180","±116","1,229","±176","1,540","±225","1,619","±137","2,338","±257","2,003","±222","1,763","±163","2,431","±227","1,592","±248","1,583","±142","2,258","±303","2,130","±184","1,278","±173","1,535","±289","993","±66","1,461","±171","3,055","±256","2,372","±276","2,301","±242","2,277","±193","1,962","±226","2,233","±171","2,107","±175","1,922","±213","1,954","±209","2,274","±150","1,452","±207","1,967","±188","1,698","±152","1,137","±143","1,533","±169","1,195","±182","1,756","±271","781","±138","870","±140","1,379","±256","1,302","±127","1,987","±162","1,269","±100","2,193","±155","2,004","±256","2,396","±301","899","±119","2,208","±130","1,364","±110","1,707","±241","1,771","±153","1,453","±104","1,826","±168","1,331","±216","1,197","±92","2,327","±186","1,799","±258","2,305","±196","1,049","±146","1,028","±76","2,139","±149","1,241","±122","1,519","±232","995","±122","1,354","±215","1,825","±141","3,018","±410","1,604","±150","3,102","±385","1,999","±173","2,170","±246","1,302","±190","1,676","±136","1,423","±270","1,415","±231","1,104","±129","1,834","±390","1,364","±180","1,136","±86","1,389","±199","1,983","±129","2,672","±299","2,255","±169","1,902","±316","978","±60","1,955","±107","2,477","±264","2,083","±166","1,782","±127","1,145","±101","2,639","±314","1,302","±202","754","±63","2,111","±196","2,413","±212","0","±13"
"    1, detached","336","±92","341","±113","1,023","±176","127","±69","289","±97","308","±142","798","±169","961","±126","593","±179","620","±122","839","±167","277","±88","73","±93","568","±187","884","±275","667","±99","354","±156","150","±112","1,203","±320","1,840","±238","244","±170","694","±119","555","±214","1,215","±192","1,587","±239","1,866","±218","2,104","±192","882","±193","1,592","±202","1,146","±137","337","±126","1,069","±187","241","±81","1,458","±305","137","±48","224","±84","1,069","±231","611","±115","1,331","±184","1,236","±114","1,325","±218","2,004","±256","388","±126","304","±55","902","±151","1,106","±144","752","±259","1,511","±161","1,171","±142","1,493","±131","1,324","±216","1,147","±92","1,790","±165","1,374","±258","2,076","±176","1,002","±146","559","±104","1,127","±191","344","±95","1,248","±128","983","±123","1,315","±226","1,812","±140","233","±140","218","±81","825","±201","1,662","±163","1,796","±187","668","±86","1,342","±145","894","±158","1,109","±250","1,027","±73","17","±29","44","±68","898","±117","1,055","±232","1,976","±130","1,580","±301","1,800","±213","948","±318","440","±63","1,022","±147","1,824","±281","1,198","±179","1,231","±136","936","±111","777","±267","856","±202","605","±71","650","±224","1,045","±228","0","±13"
"    1, attached","700","±205","377","±105","0","±13","231","±97","600","±113","991","±187","841","±242","667","±143","842","±228","877","±206","695","±132","522","±119","1,085","±178","45","±37","111","±72","272","±83","0","±13","1,329","±239","676","±178","461","±197","1,129","±259","997","±245","981","±202","877","±146","60","±80","88","±52","170","±111","570","±127","371","±155","331","±103","730","±163","118","±87","221","±101","0","±19","187","±94","567","±144","277","±175","499","±142","506","±109","0","±13","619","±189","0","±19","999","±270","588","±135","1,090","±185","258","±104","713","±135","260","±84","267","±116","327","±133","7","±12","25","±29","143","±89","422","±147","20","±33","38","±28","469","±95","780","±131","786","±141","271","±204","6","±10","39","±56","13","±20","1,154","±321","630","±163","1,360","±191","267","±107","357","±205","627","±182","286","±78","529","±253","306","±112","13","±19","157","±48","708","±144","238","±104","292","±118","7","±12","721","±163","431","±139","817","±179","492","±64","460","±119","633","±169","796","±158","318","±78","106","±72","1,448","±287","256","±113","149","±65","630","±202","485","±150","0","±13"
"    2","0","±13","0","±13","0","±13","21","±29","10","±15","13","±22","0","±19","0","±19","0","±19","0","±19","49","±70","0","±19","236","±116","73","±57","32","±45","0","±13","0","±13","106","±132","0","±19","0","±19","0","±19","10","±18","210","±127","0","±19","17","±26","0","±19","0","±19","0","±13","4","±8","21","±24","0","±13","0","±19","0","±13","17","±23","78","±35","0","±13","0","±13","9","±14","0","±19","33","±49","14","±22","0","±19","0","±19","0","±13","0","±19","0","±13","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","0","±19","0","±13","0","±19","0","±13","0","±13","0","±19","0","±19","22","±25","0","±19","0","±19","0","±19","0","±13","0","±19","0","±13","0","±19","0","±13","32","±44","0","±13","0","±13","0","±19","0","±19","12","±21","0","±19","34","±44","5","±8","67","±63","0","±19","22","±26","0","±13","12","±19","0","±19","0","±13","0","±13","12","±25","0","±19","0","±13"
"    3 or 4","24","±26","36","±45","0","±13","59","±83","72","±47","183","±134","29","±28","0","±19","24","±42","95","±152","0","±13","56","±56","0","±13","0","±13","0","±19","0","±13","24","±42","118","±109","0","±19","0","±19","48","±68","35","±42","98","±71","0","±19","11","±18","0","±19","0","±19","0","±13","0","±19","64","±69","0","±13","12","±19","66","±56","0","±19","127","±56","8","±12","0","±13","13","±16","0","±19","0","±13","50","±42","0","±19","21","±25","0","±13","64","±65","0","±13","13","±20","0","±19","0","±19","0","±19","0","±13","13","±20","0","±19","0","±19","18","±28","0","±13","0","±13","16","±24","11","±18","0","±19","0","±13","0","±13","0","±19","216","±127","22","±24","235","±153","8","±16","0","±19","0","±13","0","±19","0","±13","0","±19","64","±100","57","±68","0","±13","0","±13","22","±38","0","±19","0","±13","0","±19","103","±81","3","±5","57","±51","0","±19","0","±19","7","±12","8","±12","0","±19","0","±13","0","±13","0","±19","67","±99","0","±13"
"    5 to 9","90","±80","41","±33","0","±13","209","±106","233","±102","285","±237","0","±19","0","±19","156","±152","0","±19","0","±13","34","±31","22","±31","109","±83","48","±42","54","±90","123","±117","334","±152","18","±30","0","±19","238","±179","0","±19","88","±57","0","±19","103","±63","0","±19","0","±19","0","±13","0","±19","30","±47","0","±13","117","±110","140","±168","9","±19","116","±66","0","±13","0","±13","17","±19","0","±19","0","±13","62","±80","0","±19","330","±144","0","±13","139","±91","0","±13","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","13","±22","0","±19","0","±19","0","±13","0","±13","0","±19","12","±19","0","±19","0","±13","0","±13","0","±19","157","±123","49","±34","43","±58","0","±19","0","±19","0","±13","0","±19","0","±13","0","±19","0","±13","432","±138","89","±53","0","±13","0","±19","0","±19","0","±13","0","±19","0","±19","20","±31","61","±55","0","±19","32","±26","0","±13","0","±13","60","±56","0","±13","0","±13","165","±114","70","±72","0","±13"
"    10 to 19","9","±16","31","±32","154","±79","863","±258","380","±125","283","±145","134","±80","135","±122","736","±257","0","±19","0","±13","782","±299","81","±73","118","±73","168","±116","0","±13","709","±185","121","±136","270","±160","0","±19","547","±168","0","±19","150","±86","0","±19","77","±75","0","±19","0","±19","0","±13","0","±19","81","±48","0","±13","124","±72","419","±135","266","±134","78","±74","9","±14","0","±13","0","±13","0","±19","0","±13","87","±66","0","±19","516","±218","7","±10","0","±19","0","±13","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","197","±110","0","±19","0","±19","0","±13","0","±13","25","±40","60","±47","0","±19","0","±13","0","±13","0","±19","849","±311","607","±121","150","±109","47","±82","0","±19","0","±13","0","±19","0","±13","0","±19","0","±13","1,092","±425","502","±167","0","±13","10","±16","0","±19","17","±28","0","±19","0","±19","11","±10","246","±91","13","±21","35","±37","127","±66","12","±20","312","±239","0","±13","0","±13","419","±151","584","±217","0","±13"
"    20 to 49","122","±60","0","±13","31","±44","0","±13","26","±23","91","±70","25","±38","0","±19","80","±78","0","±19","0","±13","37","±38","58","±44","47","±53","10","±18","0","±13","0","±13","238","±166","170","±109","0","±19","25","±30","32","±33","56","±44","0","±19","0","±19","0","±19","0","±19","0","±13","0","±19","14","±23","0","±13","0","±19","63","±69","6","±11","0","±13","0","±13","0","±13","8","±13","9","±15","0","±13","15","±28","0","±19","37","±35","0","±13","0","±19","0","±13","43","±70","0","±19","0","±19","0","±19","0","±13","0","±13","14","±23","0","±19","0","±19","0","±13","0","±13","161","±94","12","±18","0","±19","0","±13","0","±13","0","±19","89","±80","39","±54","384","±365","0","±19","0","±19","0","±13","0","±19","0","±13","0","±19","0","±13","23","±24","3","±7","0","±13","0","±19","0","±19","94","±41","0","±19","0","±19","7","±9","8","±13","0","±19","0","±19","99","±46","13","±16","0","±19","0","±13","0","±13","24","±26","59","±58","0","±13"
"    50 or more","342","±101","354","±106","0","±13","17","±26","9","±15","59","±69","176","±59","0","±19","0","±19","0","±19","0","±13","477","±178","575","±177","318","±101","76","±48","0","±13","172","±141","619","±201","0","±19","0","±19","46","±71","194","±88","16","±27","0","±19","67","±60","0","±19","0","±19","0","±13","0","±19","11","±18","0","±13","10","±18","45","±64","0","±19","41","±44","62","±40","0","±13","107","±59","141","±62","0","±13","0","±19","0","±19","105","±78","0","±13","0","±19","0","±13","117","±65","0","±19","0","±19","0","±19","0","±13","12","±17","170","±148","0","±19","0","±19","9","±14","0","±13","30","±34","16","±25","0","±19","0","±13","0","±13","0","±19","320","±166","17","±19","105","±60","15","±25","0","±19","0","±13","48","±67","0","±13","0","±19","0","±13","24","±37","18","±27","0","±13","10","±18","0","±19","248","±107","0","±19","0","±19","0","±13","10","±15","7","±12","0","±19","0","±13","58","±58","42","±64","0","±13","0","±13","166","±122","89","±74","0","±13"
"    Mobile home","0","±13","0","±13","21","±31","13","±25","0","±13","125","±146","0","±19","0","±19","0","±19","0","±19","0","±13","73","±114","0","±13","0","±13","206","±152","0","±13","79","±111","40","±56","35","±55","0","±19","0","±19","0","±19","79","±78","15","±23","0","±19","0","±19","0","±19","0","±13","0","±19","0","±13","70","±63","83","±74","0","±13","0","±19","17","±16","0","±13","33","±35","38","±50","0","±19","0","±13","21","±32","0","±19","0","±19","0","±13","13","±21","0","±13","69","±73","0","±19","15","±23","6","±10","0","±13","0","±13","0","±19","3","±7","191","±188","0","±13","0","±13","0","±19","0","±13","0","±19","6","±10","0","±13","0","±19","0","±19","0","±13","0","±19","0","±19","17","±29","7","±11","0","±19","0","±13","0","±19","0","±13","0","±13","0","±13","0","±13","0","±19","0","±19","0","±13","24","±38","0","±19","0","±13","24","±26","0","±19","0","±19","0","±13","0","±13","0","±19","190","±77","0","±13","45","±73","14","±23","0","±13"
