"Label (Grouping)","Census Tract 9001, Prince William County, Virginia!!Estimate","Census Tract 9001, Prince William County, Virginia!!Margin of Error","Census Tract 9002.01, Prince William County, Virginia!!Estimate","Census Tract 9002.01, Prince William County, Virginia!!Margin of Error","Census Tract 9002.02, Prince William County, Virginia!!Estimate","Census Tract 9002.02, Prince William County, Virginia!!Margin of Error","Census Tract 9002.03, Prince William County, Virginia!!Estimate","Census Tract 9002.03, Prince William County, Virginia!!Margin of Error","Census Tract 9003.01, Prince William County, Virginia!!Estimate","Census Tract 9003.01, Prince William County, Virginia!!Margin of Error","Census Tract 9003.02, Prince William County, Virginia!!Estimate","Census Tract 9003.02, Prince William County, Virginia!!Margin of Error","Census Tract 9004.03, Prince William County, Virginia!!Estimate","Census Tract 9004.03, Prince William County, Virginia!!Margin of Error","Census Tract 9004.04, Prince William County, Virginia!!Estimate","Census Tract 9004.04, Prince William County, Virginia!!Margin of Error","Census Tract 9004.07, Prince William County, Virginia!!Estimate","Census Tract 9004.07, Prince William County, Virginia!!Margin of Error","Census Tract 9004.08, Prince William County, Virginia!!Estimate","Census Tract 9004.08, Prince William County, Virginia!!Margin of Error","Census Tract 9004.09, Prince William County, Virginia!!Estimate","Census Tract 9004.09, Prince William County, Virginia!!Margin of Error","Census Tract 9004.10, Prince William County, Virginia!!Estimate","Census Tract 9004.10, Prince William County, Virginia!!Margin of Error","Census Tract 9005.02, Prince William County, Virginia!!Estimate","Census Tract 9005.02, Prince William County, Virginia!!Margin of Error","Census Tract 9005.03, Prince William County, Virginia!!Estimate","Census Tract 9005.03, Prince William County, Virginia!!Margin of Error","Census Tract 9005.04, Prince William County, Virginia!!Estimate","Census Tract 9005.04, Prince William County, Virginia!!Margin of Error","Census Tract 9006.01, Prince William County, Virginia!!Estimate","Census Tract 9006.01, Prince William County, Virginia!!Margin of Error","Census Tract 9006.02, Prince William County, Virginia!!Estimate","Census Tract 9006.02, Prince William County, Virginia!!Margin of Error","Census Tract 9007.01, Prince William County, Virginia!!Estimate","Census Tract 9007.01, Prince William County, Virginia!!Margin of Error","Census Tract 9007.02, Prince William County, Virginia!!Estimate","Census Tract 9007.02, Prince William County, Virginia!!Margin of Error","Census Tract 9008.01, Prince William County, Virginia!!Estimate","Census Tract 9008.01, Prince William County, Virginia!!Margin of Error","Census Tract 9008.03, Prince William County, Virginia!!Estimate","Census Tract 9008.03, Prince William County, Virginia!!Margin of Error","Census Tract 9008.04, Prince William County, Virginia!!Estimate","Census Tract 9008.04, Prince William County, Virginia!!Margin of Error","Census Tract 9009.01, Prince William County, Virginia!!Estimate","Census Tract 9009.01, Prince William County, Virginia!!Margin of Error","Census Tract 9009.04, Prince William County, Virginia!!Estimate","Census Tract 9009.04, Prince William County, Virginia!!Margin of Error","Census Tract 9009.05, Prince William County, Virginia!!Estimate","Census Tract 9009.05, Prince William County, Virginia!!Margin of Error","Census Tract 9010.05, Prince William County, Virginia!!Estimate","Census Tract 9010.05, Prince William County, Virginia!!Margin of Error","Census Tract 9010.09, Prince William County, Virginia!!Estimate","Census Tract 9010.09, Prince William County, Virginia!!Margin of Error","Census Tract 9010.10, Prince William County, Virginia!!Estimate","Census Tract 9010.10, Prince William County, Virginia!!Margin of Error","Census Tract 9010.11, Prince William County, Virginia!!Estimate","Census Tract 9010.11, Prince William County, Virginia!!Margin of Error","Census Tract 9010.12, Prince William County, Virginia!!Estimate","Census Tract 9010.12, Prince William County, Virginia!!Margin of Error","Census Tract 9010.13, Prince William County, Virginia!!Estimate","Census Tract 9010.13, Prince William County, Virginia!!Margin of Error","Census Tract 9010.14, Prince William County, Virginia!!Estimate","Census Tract 9010.14, Prince William County, Virginia!!Margin of Error","Census Tract 9010.15, Prince William County, Virginia!!Estimate","Census Tract 9010.15, Prince William County, Virginia!!Margin of Error","Census Tract 9010.16, Prince William County, Virginia!!Estimate","Census Tract 9010.16, Prince William County, Virginia!!Margin of Error","Census Tract 9011.01, Prince William County, Virginia!!Estimate","Census Tract 9011.01, Prince William County, Virginia!!Margin of Error","Census Tract 9011.02, Prince William County, Virginia!!Estimate","Census Tract 9011.02, Prince William County, Virginia!!Margin of Error","Census Tract 9012.03, Prince William County, Virginia!!Estimate","Census Tract 9012.03, Prince William County, Virginia!!Margin of Error","Census Tract 9012.08, Prince William County, Virginia!!Estimate","Census Tract 9012.08, Prince William County, Virginia!!Margin of Error","Census Tract 9012.09, Prince William County, Virginia!!Estimate","Census Tract 9012.09, Prince William County, Virginia!!Margin of Error","Census Tract 9012.11, Prince William County, Virginia!!Estimate","Census Tract 9012.11, Prince William County, Virginia!!Margin of Error","Census Tract 9012.12, Prince William County, Virginia!!Estimate","Census Tract 9012.12, Prince William County, Virginia!!Margin of Error","Census Tract 9012.19, Prince William County, Virginia!!Estimate","Census Tract 9012.19, Prince William County, Virginia!!Margin of Error","Census Tract 9012.21, Prince William County, Virginia!!Estimate","Census Tract 9012.21, Prince William County, Virginia!!Margin of Error","Census Tract 9012.22, Prince William County, Virginia!!Estimate","Census Tract 9012.22, Prince William County, Virginia!!Margin of Error","Census Tract 9012.23, Prince William County, Virginia!!Estimate","Census Tract 9012.23, Prince William County, Virginia!!Margin of Error","Census Tract 9012.24, Prince William County, Virginia!!Estimate","Census Tract 9012.24, Prince William County, Virginia!!Margin of Error","Census Tract 9012.25, Prince William County, Virginia!!Estimate","Census Tract 9012.25, Prince William County, Virginia!!Margin of Error","Census Tract 9012.26, Prince William County, Virginia!!Estimate","Census Tract 9012.26, Prince William County, Virginia!!Margin of Error","Census Tract 9012.27, Prince William County, Virginia!!Estimate","Census Tract 9012.27, Prince William County, Virginia!!Margin of Error","Census Tract 9012.28, Prince William County, Virginia!!Estimate","Census Tract 9012.28, Prince William County, Virginia!!Margin of Error","Census Tract 9012.29, Prince William County, Virginia!!Estimate","Census Tract 9012.29, Prince William County, Virginia!!Margin of Error","Census Tract 9012.30, Prince William County, Virginia!!Estimate","Census Tract 9012.30, Prince William County, Virginia!!Margin of Error","Census Tract 9012.31, Prince William County, Virginia!!Estimate","Census Tract 9012.31, Prince William County, Virginia!!Margin of Error","Census Tract 9012.32, Prince William County, Virginia!!Estimate","Census Tract 9012.32, Prince William County, Virginia!!Margin of Error","Census Tract 9012.33, Prince William County, Virginia!!Estimate","Census Tract 9012.33, Prince William County, Virginia!!Margin of Error","Census Tract 9012.34, Prince William County, Virginia!!Estimate","Census Tract 9012.34, Prince William County, Virginia!!Margin of Error","Census Tract 9012.35, Prince William County, Virginia!!Estimate","Census Tract 9012.35, Prince William County, Virginia!!Margin of Error","Census Tract 9012.36, Prince William County, Virginia!!Estimate","Census Tract 9012.36, Prince William County, Virginia!!Margin of Error","Census Tract 9012.37, Prince William County, Virginia!!Estimate","Census Tract 9012.37, Prince William County, Virginia!!Margin of Error","Census Tract 9013.03, Prince William County, Virginia!!Estimate","Census Tract 9013.03, Prince William County, Virginia!!Margin of Error","Census Tract 9013.04, Prince William County, Virginia!!Estimate","Census Tract 9013.04, Prince William County, Virginia!!Margin of Error","Census Tract 9013.05, Prince William County, Virginia!!Estimate","Census Tract 9013.05, Prince William County, Virginia!!Margin of Error","Census Tract 9013.06, Prince William County, Virginia!!Estimate","Census Tract 9013.06, Prince William County, Virginia!!Margin of Error","Census Tract 9014.03, Prince William County, Virginia!!Estimate","Census Tract 9014.03, Prince William County, Virginia!!Margin of Error","Census Tract 9014.07, Prince William County, Virginia!!Estimate","Census Tract 9014.07, Prince William County, Virginia!!Margin of Error","Census Tract 9014.09, Prince William County, Virginia!!Estimate","Census Tract 9014.09, Prince William County, Virginia!!Margin of Error","Census Tract 9014.11, Prince William County, Virginia!!Estimate","Census Tract 9014.11, Prince William County, Virginia!!Margin of Error","Census Tract 9014.12, Prince William County, Virginia!!Estimate","Census Tract 9014.12, Prince William County, Virginia!!Margin of Error","Census Tract 9014.13, Prince William County, Virginia!!Estimate","Census Tract 9014.13, Prince William County, Virginia!!Margin of Error","Census Tract 9014.14, Prince William County, Virginia!!Estimate","Census Tract 9014.14, Prince William County, Virginia!!Margin of Error","Census Tract 9014.15, Prince William County, Virginia!!Estimate","Census Tract 9014.15, Prince William County, Virginia!!Margin of Error","Census Tract 9014.16, Prince William County, Virginia!!Estimate","Census Tract 9014.16, Prince William County, Virginia!!Margin of Error","Census Tract 9014.17, Prince William County, Virginia!!Estimate","Census Tract 9014.17, Prince William County, Virginia!!Margin of Error","Census Tract 9014.18, Prince William County, Virginia!!Estimate","Census Tract 9014.18, Prince William County, Virginia!!Margin of Error","Census Tract 9014.19, Prince William County, Virginia!!Estimate","Census Tract 9014.19, Prince William County, Virginia!!Margin of Error","Census Tract 9014.20, Prince William County, Virginia!!Estimate","Census Tract 9014.20, Prince William County, Virginia!!Margin of Error","Census Tract 9014.21, Prince William County, Virginia!!Estimate","Census Tract 9014.21, Prince William County, Virginia!!Margin of Error","Census Tract 9015.03, Prince William County, Virginia!!Estimate","Census Tract 9015.03, Prince William County, Virginia!!Margin of Error","Census Tract 9015.04, Prince William County, Virginia!!Estimate","Census Tract 9015.04, Prince William County, Virginia!!Margin of Error","Census Tract 9015.05, Prince William County, Virginia!!Estimate","Census Tract 9015.05, Prince William County, Virginia!!Margin of Error","Census Tract 9015.06, Prince William County, Virginia!!Estimate","Census Tract 9015.06, Prince William County, Virginia!!Margin of Error","Census Tract 9015.07, Prince William County, Virginia!!Estimate","Census Tract 9015.07, Prince William County, Virginia!!Margin of Error","Census Tract 9015.08, Prince William County, Virginia!!Estimate","Census Tract 9015.08, Prince William County, Virginia!!Margin of Error","Census Tract 9015.09, Prince William County, Virginia!!Estimate","Census Tract 9015.09, Prince William County, Virginia!!Margin of Error","Census Tract 9015.10, Prince William County, Virginia!!Estimate","Census Tract 9015.10, Prince William County, Virginia!!Margin of Error","Census Tract 9015.11, Prince William County, Virginia!!Estimate","Census Tract 9015.11, Prince William County, Virginia!!Margin of Error","Census Tract 9016.01, Prince William County, Virginia!!Estimate","Census Tract 9016.01, Prince William County, Virginia!!Margin of Error","Census Tract 9016.02, Prince William County, Virginia!!Estimate","Census Tract 9016.02, Prince William County, Virginia!!Margin of Error","Census Tract 9017.02, Prince William County, Virginia!!Estimate","Census Tract 9017.02, Prince William County, Virginia!!Margin of Error","Census Tract 9017.03, Prince William County, Virginia!!Estimate","Census Tract 9017.03, Prince William County, Virginia!!Margin of Error","Census Tract 9017.04, Prince William County, Virginia!!Estimate","Census Tract 9017.04, Prince William County, Virginia!!Margin of Error","Census Tract 9019, Prince William County, Virginia!!Estimate","Census Tract 9019, Prince William County, Virginia!!Margin of Error","Census Tract 9801, Prince William County, Virginia!!Estimate","Census Tract 9801, Prince William County, Virginia!!Margin of Error"
"Total:","1,813","±421","1,351","±272","2,642","±603","2,172","±482","1,828","±266","3,181","±530","2,726","±529","2,991","±454","3,615","±410","2,707","±468","3,044","±359","3,421","±588","3,075","±342","2,099","±304","2,303","±501","1,740","±368","2,155","±401","4,147","±528","4,163","±964","3,932","±512","2,902","±526","2,746","±511","3,057","±438","2,884","±481","2,915","±460","3,493","±561","3,356","±374","2,388","±388","3,271","±395","1,373","±273","1,669","±361","2,219","±349","1,777","±322","2,444","±478","1,742","±322","1,705","±403","2,037","±345","1,226","±217","3,476","±410","2,266","±306","3,617","±492","2,540","±318","3,186","±591","1,239","±163","3,149","±444","2,279","±383","2,733","±467","3,358","±387","2,590","±360","3,352","±284","2,572","±395","2,280","±258","2,942","±327","2,335","±498","3,503","±363","1,560","±236","1,709","±229","3,329","±357","1,696","±184","2,487","±352","1,576","±219","2,092","±436","2,571","±161","3,408","±546","2,540","±378","4,499","±574","2,950","±273","3,723","±435","2,164","±252","2,675","±330","2,538","±485","2,420","±305","1,448","±176","2,610","±745","2,070","±454","2,202","±300","2,511","±420","2,710","±277","1,161","±295","3,469","±434","3,820","±693","1,689","±200","2,957","±296","3,406","±527","2,714","±351","1,497","±185","1,948","±293","4,723","±523","2,292","±371","1,478","±268","3,969","±929","3,604","±523","0","±13"
"    Car, truck, or van:","1,467","±309","1,137","±203","2,392","±531","1,923","±374","1,411","±182","2,659","±468","2,303","±491","2,501","±477","3,067","±319","2,331","±470","2,527","±296","2,581","±376","2,379","±391","1,754","±308","1,831","±422","1,399","±144","1,960","±396","3,672","±429","3,491","±714","3,317","±473","2,520","±516","2,365","±499","2,805","±438","2,439","±457","2,456","±401","2,895","±478","2,862","±339","1,781","±329","2,330","±281","1,076","±227","1,352","±312","1,949","±383","1,607","±260","2,159","±416","1,354","±321","1,458","±355","1,757","±341","984","±190","2,893","±360","1,995","±278","3,245","±460","2,028","±295","2,907","±591","1,094","±167","2,559","±298","1,844","±337","2,267","±312","2,844","±346","2,159","±342","2,941","±271","2,249","±406","2,039","±253","2,336","±324","1,949","±457","3,020","±362","1,277","±189","1,293","±189","2,830","±310","1,479","±184","2,033","±300","1,404","±207","1,588","±251","2,182","±169","3,158","±520","2,296","±370","3,980","±528","2,303","±227","3,221","±446","1,839","±196","2,318","±284","1,876","±317","1,985","±320","1,195","±175","2,165","±478","1,940","±437","1,972","±305","1,969","±211","2,134","±223","835","±247","2,757","±412","3,311","±604","1,540","±187","2,555","±288","2,702","±420","2,157","±264","1,176","±178","1,754","±305","4,092","±450","2,035","±299","1,454","±270","3,326","±655","3,355","±502","0","±13"
"        Drove alone","1,365","±313","989","±204","2,160","±532","1,781","±375","1,312","±164","2,328","±449","1,818","±477","2,174","±496","2,815","±318","2,129","±468","2,224","±283","2,446","±368","2,047","±371","1,488","±313","1,515","±364","1,394","±142","1,681","±394","3,254","±468","3,003","±654","2,989","±462","1,894","±453","1,957","±434","2,407","±427","1,956","±430","1,870","±308","2,427","±476","2,394","±339","1,520","±314","2,015","±271","943","±227","1,223","±307","1,585","±329","1,383","±248","1,619","±355","1,101","±317","1,295","±334","1,433","±361","795","±164","2,342","±392","1,497","±291","2,699","±441","1,832","±290","2,145","±412","981","±163","2,305","±300","1,636","±303","2,041","±306","2,630","±337","1,962","±309","2,622","±276","1,800","±349","1,893","±256","2,078","±290","1,899","±457","2,672","±322","1,108","±196","1,029","±201","2,472","±325","1,259","±141","1,778","±237","1,179","±164","1,516","±251","1,909","±200","2,688","±535","1,822","±318","3,715","±541","2,121","±221","3,010","±445","1,604","±185","2,049","±272","1,692","±307","1,715","±312","1,037","±165","1,755","±390","1,622","±366","1,739","±302","1,838","±205","1,935","±233","811","±254","2,333","±420","2,979","±586","1,409","±179","2,192","±266","2,448","±404","1,944","±250","1,032","±155","1,591","±300","3,521","±479","1,631","±235","1,159","±222","2,641","±559","2,886","±510","0","±13"
"        Carpooled:","102","±59","148","±70","232","±130","142","±94","99","±55","331","±179","485","±214","327","±149","252","±150","202","±76","303","±141","135","±72","332","±150","266","±190","316","±181","5","±16","279","±165","418","±217","488","±214","328","±139","626","±283","408","±210","398","±203","483","±166","586","±269","468","±132","468","±141","261","±93","315","±95","133","±80","129","±93","364","±194","224","±120","540","±254","253","±99","163","±91","324","±147","189","±83","551","±188","498","±189","546","±199","196","±98","762","±573","113","±40","254","±124","208","±102","226","±95","214","±72","197","±109","319","±124","449","±242","146","±72","258","±151","50","±40","348","±152","169","±61","264","±131","358","±112","220","±101","255","±198","225","±106","72","±53","273","±134","470","±184","474","±244","265","±97","182","±94","211","±97","235","±97","269","±99","184","±81","270","±90","158","±101","410","±364","318","±165","233","±160","131","±79","199","±82","24","±36","424","±174","332","±143","131","±44","363","±154","254","±106","213","±133","144","±101","163","±96","571","±275","404","±218","295","±91","685","±317","469","±234","0","±13"
"            In 2-person carpool","20","±23","66","±37","102","±70","66","±50","93","±55","232","±166","185","±112","189","±93","159","±127","82","±62","140","±109","29","±25","196","±128","133","±167","275","±183","5","±16","170","±102","299","±193","318","±183","176","±102","128","±94","234","±182","279","±180","201","±111","414","±237","127","±79","200","±120","187","±83","93","±57","85","±72","32","±38","334","±197","172","±95","191","±162","194","±69","146","±84","236","±146","52","±91","172","±79","381","±187","315","±155","122","±72","309","±208","47","±31","97","±82","138","±91","125","±73","58","±47","93","±75","190","±106","253","±162","23","±24","160","±130","8","±12","196","±116","53","±28","30","±34","141","±82","86","±65","169","±184","181","±104","63","±46","158","±94","410","±164","291","±152","187","±91","173","±93","180","±94","183","±91","220","±97","59","±40","224","±79","158","±101","69","±89","276","±159","162","±102","129","±79","135","±75","24","±36","290","±169","225","±120","89","±37","283","±140","228","±111","141","±87","137","±100","83","±68","407","±188","298","±157","223","±109","564","±313","300","±135","0","±13"
"            In 3-person carpool","82","±57","69","±61","37","±42","54","±63","6","±7","98","±72","206","±135","66","±57","87","±93","120","±55","111","±68","94","±62","88","±46","71","±68","41","±63","0","±13","0","±13","23","±42","121","±79","123","±89","334","±260","155","±83","54","±55","258","±126","137","±97","282","±101","253","±110","65","±38","169","±75","48","±29","79","±88","30","±24","52","±85","93","±75","59","±60","17","±22","53","±40","51","±43","369","±185","93","±90","217","±124","74","±53","445","±535","58","±25","125","±89","70","±48","101","±75","131","±63","104","±79","105","±62","121","±107","76","±52","89","±67","42","±38","138","±89","105","±58","226","±127","180","±68","105","±70","77","±59","28","±26","9","±15","87","±87","60","±64","77","±87","31","±25","0","±18","16","±27","52","±42","42","±34","115","±70","40","±31","0","±13","0","±13","42","±65","19","±29","0","±13","23","±33","0","±13","112","±91","14","±16","23","±20","59","±76","17","±27","19","±19","7","±11","21","±37","129","±164","72","±112","72","±63","60","±75","169","±153","0","±13"
"            In 4-person carpool","0","±13","13","±22","60","±78","22","±41","0","±13","1","±4","94","±139","65","±90","6","±10","0","±18","52","±57","0","±18","48","±56","62","±59","0","±18","0","±13","109","±122","81","±85","43","±46","29","±39","40","±61","0","±18","0","±18","5","±11","34","±34","18","±20","0","±18","0","±13","15","±19","0","±13","18","±30","0","±13","0","±13","173","±192","0","±13","0","±13","35","±47","9","±14","10","±15","10","±16","0","±18","0","±18","0","±18","0","±13","0","±18","0","±13","0","±18","12","±19","0","±18","0","±18","29","±46","19","±26","0","±18","0","±18","14","±24","6","±9","0","±13","26","±38","0","±13","0","±13","0","±13","0","±13","18","±27","0","±18","64","±55","32","±44","0","±18","0","±18","0","±13","0","±18","10","±14","0","±18","0","±13","284","±357","0","±13","52","±102","0","±13","17","±21","0","±13","15","±34","45","±42","6","±10","21","±35","0","±18","15","±25","0","±13","38","±55","20","±31","34","±43","0","±13","61","±77","0","±18","0","±13"
"            In 5- or 6-person carpool","0","±13","0","±13","33","±56","0","±13","0","±13","0","±18","0","±18","7","±14","0","±18","0","±18","0","±18","12","±20","0","±18","0","±13","0","±18","0","±13","0","±13","15","±25","0","±18","0","±18","98","±112","19","±33","65","±72","19","±23","1","±4","19","±23","15","±24","9","±23","38","±30","0","±13","0","±13","0","±13","0","±13","34","±61","0","±13","0","±13","0","±13","7","±11","0","±18","14","±21","0","±18","0","±18","0","±18","4","±6","32","±30","0","±13","0","±18","8","±13","0","±18","3","±6","46","±54","28","±30","9","±22","0","±18","0","±18","0","±13","8","±14","11","±21","0","±13","0","±13","12","±13","0","±13","0","±13","0","±18","42","±47","0","±18","0","±18","15","±27","0","±13","0","±18","0","±13","6","±10","0","±13","57","±65","0","±13","0","±13","0","±13","24","±34","0","±13","7","±27","48","±72","0","±13","0","±18","9","±15","38","±65","0","±13","21","±29","0","±18","0","±13","0","±13","0","±18","0","±18","0","±13"
"            In 7-or-more-person carpool","0","±13","0","±13","0","±13","0","±13","0","±13","0","±18","0","±18","0","±18","0","±18","0","±18","0","±18","0","±18","0","±18","0","±13","0","±18","0","±13","0","±13","0","±18","6","±15","0","±18","26","±46","0","±18","0","±18","0","±18","0","±18","22","±33","0","±18","0","±13","0","±18","0","±13","0","±13","0","±13","0","±13","49","±66","0","±13","0","±13","0","±13","70","±49","0","±18","0","±13","14","±23","0","±18","8","±12","4","±8","0","±18","0","±13","0","±18","5","±9","0","±18","21","±28","0","±13","0","±13","0","±18","0","±18","0","±18","5","±8","0","±13","0","±18","29","±33","9","±14","4","±6","0","±13","10","±16","0","±18","0","±13","15","±24","9","±16","0","±18","0","±13","7","±13","0","±13","0","±18","0","±13","0","±13","0","±13","0","±13","2","±4","0","±18","0","±13","0","±18","0","±18","13","±16","0","±18","0","±18","0","±18","0","±13","0","±13","15","±61","0","±13","0","±13","0","±18","0","±18","0","±13"
"    Public transportation (excluding taxicab):","119","±66","66","±66","80","±78","25","±27","182","±68","191","±108","178","±118","81","±81","162","±108","126","±76","87","±50","480","±388","415","±145","99","±87","235","±168","80","±125","33","±56","219","±175","125","±65","324","±133","83","±67","66","±62","106","±119","175","±67","130","±65","135","±59","232","±170","190","±81","290","±173","35","±37","152","±107","114","±76","38","±46","84","±71","47","±43","0","±13","100","±67","108","±114","351","±164","37","±50","205","±120","123","±66","110","±58","39","±31","161","±93","86","±64","174","±81","61","±38","76","±45","103","±60","162","±106","117","±59","311","±114","60","±41","143","±115","78","±50","134","±73","246","±88","92","±44","156","±81","58","±35","52","±45","66","±47","29","±35","59","±48","36","±34","105","±52","98","±62","60","±37","64","±39","107","±54","210","±84","43","±32","13","±57","67","±104","86","±71","68","±46","55","±45","14","±23","130","±80","135","±83","14","±13","66","±55","38","±45","177","±163","98","±68","9","±14","166","±105","0","±13","15","±24","0","±18","52","±46","0","±13"
