"Label (Grouping)","Census Tract 9001, Prince William County, Virginia!!Estimate","Census Tract 9001, Prince William County, Virginia!!Margin of Error","Census Tract 9002.01, Prince William County, Virginia!!Estimate","Census Tract 9002.01, Prince William County, Virginia!!Margin of Error","Census Tract 9002.02, Prince William County, Virginia!!Estimate","Census Tract 9002.02, Prince William County, Virginia!!Margin of Error","Census Tract 9002.03, Prince William County, Virginia!!Estimate","Census Tract 9002.03, Prince William County, Virginia!!Margin of Error","Census Tract 9003.01, Prince William County, Virginia!!Estimate","Census Tract 9003.01, Prince William County, Virginia!!Margin of Error","Census Tract 9003.02, Prince William County, Virginia!!Estimate","Census Tract 9003.02, Prince William County, Virginia!!Margin of Error","Census Tract 9004.03, Prince William County, Virginia!!Estimate","Census Tract 9004.03, Prince William County, Virginia!!Margin of Error","Census Tract 9004.04, Prince William County, Virginia!!Estimate","Census Tract 9004.04, Prince William County, Virginia!!Margin of Error","Census Tract 9004.07, Prince William County, Virginia!!Estimate","Census Tract 9004.07, Prince William County, Virginia!!Margin of Error","Census Tract 9004.08, Prince William County, Virginia!!Estimate","Census Tract 9004.08, Prince William County, Virginia!!Margin of Error","Census Tract 9004.09, Prince William County, Virginia!!Estimate","Census Tract 9004.09, Prince William County, Virginia!!Margin of Error","Census Tract 9004.10, Prince William County, Virginia!!Estimate","Census Tract 9004.10, Prince William County, Virginia!!Margin of Error","Census Tract 9005.02, Prince William County, Virginia!!Estimate","Census Tract 9005.02, Prince William County, Virginia!!Margin of Error","Census Tract 9005.03, Prince William County, Virginia!!Estimate","Census Tract 9005.03, Prince William County, Virginia!!Margin of Error","Census Tract 9005.04, Prince William County, Virginia!!Estimate","Census Tract 9005.04, Prince William County, Virginia!!Margin of Error","Census Tract 9006.01, Prince William County, Virginia!!Estimate","Census Tract 9006.01, Prince William County, Virginia!!Margin of Error","Census Tract 9006.02, Prince William County, Virginia!!Estimate","Census Tract 9006.02, Prince William County, Virginia!!Margin of Error","Census Tract 9007.01, Prince William County, Virginia!!Estimate","Census Tract 9007.01, Prince William County, Virginia!!Margin of Error","Census Tract 9007.02, Prince William County, Virginia!!Estimate","Census Tract 9007.02, Prince William County, Virginia!!Margin of Error","Census Tract 9008.01, Prince William County, Virginia!!Estimate","Census Tract 9008.01, Prince William County, Virginia!!Margin of Error","Census Tract 9008.03, Prince William County, Virginia!!Estimate","Census Tract 9008.03, Prince William County, Virginia!!Margin of Error","Census Tract 9008.04, Prince William County, Virginia!!Estimate","Census Tract 9008.04, Prince William County, Virginia!!Margin of Error","Census Tract 9009.01, Prince William County, Virginia!!Estimate","Census Tract 9009.01, Prince William County, Virginia!!Margin of Error","Census Tract 9009.04, Prince William County, Virginia!!Estimate","Census Tract 9009.04, Prince William County, Virginia!!Margin of Error","Census Tract 9009.05, Prince William County, Virginia!!Estimate","Census Tract 9009.05, Prince William County, Virginia!!Margin of Error","Census Tract 9010.05, Prince William County, Virginia!!Estimate","Census Tract 9010.05, Prince William County, Virginia!!Margin of Error","Census Tract 9010.09, Prince William County, Virginia!!Estimate","Census Tract 9010.09, Prince William County, Virginia!!Margin of Error","Census Tract 9010.10, Prince William County, Virginia!!Estimate","Census Tract 9010.10, Prince William County, Virginia!!Margin of Error","Census Tract 9010.11, Prince William County, Virginia!!Estimate","Census Tract 9010.11, Prince William County, Virginia!!Margin of Error","Census Tract 9010.12, Prince William County, Virginia!!Estimate","Census Tract 9010.12, Prince William County, Virginia!!Margin of Error","Census Tract 9010.13, Prince William County, Virginia!!Estimate","Census Tract 9010.13, Prince William County, Virginia!!Margin of Error","Census Tract 9010.14, Prince William County, Virginia!!Estimate","Census Tract 9010.14, Prince William County, Virginia!!Margin of Error","Census Tract 9010.15, Prince William County, Virginia!!Estimate","Census Tract 9010.15, Prince William County, Virginia!!Margin of Error","Census Tract 9010.16, Prince William County, Virginia!!Estimate","Census Tract 9010.16, Prince William County, Virginia!!Margin of Error","Census Tract 9011.01, Prince William County, Virginia!!Estimate","Census Tract 9011.01, Prince William County, Virginia!!Margin of Error","Census Tract 9011.02, Prince William County, Virginia!!Estimate","Census Tract 9011.02, Prince William County, Virginia!!Margin of Error","Census Tract 9012.03, Prince William County, Virginia!!Estimate","Census Tract 9012.03, Prince William County, Virginia!!Margin of Error","Census Tract 9012.08, Prince William County, Virginia!!Estimate","Census Tract 9012.08, Prince William County, Virginia!!Margin of Error","Census Tract 9012.09, Prince William County, Virginia!!Estimate","Census Tract 9012.09, Prince William County, Virginia!!Margin of Error","Census Tract 9012.11, Prince William County, Virginia!!Estimate","Census Tract 9012.11, Prince William County, Virginia!!Margin of Error","Census Tract 9012.12, Prince William County, Virginia!!Estimate","Census Tract 9012.12, Prince William County, Virginia!!Margin of Error","Census Tract 9012.19, Prince William County, Virginia!!Estimate","Census Tract 9012.19, Prince William County, Virginia!!Margin of Error","Census Tract 9012.21, Prince William County, Virginia!!Estimate","Census Tract 9012.21, Prince William County, Virginia!!Margin of Error","Census Tract 9012.22, Prince William County, Virginia!!Estimate","Census Tract 9012.22, Prince William County, Virginia!!Margin of Error","Census Tract 9012.23, Prince William County, Virginia!!Estimate","Census Tract 9012.23, Prince William County, Virginia!!Margin of Error","Census Tract 9012.24, Prince William County, Virginia!!Estimate","Census Tract 9012.24, Prince William County, Virginia!!Margin of Error","Census Tract 9012.25, Prince William County, Virginia!!Estimate","Census Tract 9012.25, Prince William County, Virginia!!Margin of Error","Census Tract 9012.26, Prince William County, Virginia!!Estimate","Census Tract 9012.26, Prince William County, Virginia!!Margin of Error","Census Tract 9012.27, Prince William County, Virginia!!Estimate","Census Tract 9012.27, Prince William County, Virginia!!Margin of Error","Census Tract 9012.28, Prince William County, Virginia!!Estimate","Census Tract 9012.28, Prince William County, Virginia!!Margin of Error","Census Tract 9012.29, Prince William County, Virginia!!Estimate","Census Tract 9012.29, Prince William County, Virginia!!Margin of Error","Census Tract 9012.30, Prince William County, Virginia!!Estimate","Census Tract 9012.30, Prince William County, Virginia!!Margin of Error","Census Tract 9012.31, Prince William County, Virginia!!Estimate","Census Tract 9012.31, Prince William County, Virginia!!Margin of Error","Census Tract 9012.32, Prince William County, Virginia!!Estimate","Census Tract 9012.32, Prince William County, Virginia!!Margin of Error","Census Tract 9012.33, Prince William County, Virginia!!Estimate","Census Tract 9012.33, Prince William County, Virginia!!Margin of Error","Census Tract 9012.34, Prince William County, Virginia!!Estimate","Census Tract 9012.34, Prince William County, Virginia!!Margin of Error","Census Tract 9012.35, Prince William County, Virginia!!Estimate","Census Tract 9012.35, Prince William County, Virginia!!Margin of Error","Census Tract 9012.36, Prince William County, Virginia!!Estimate","Census Tract 9012.36, Prince William County, Virginia!!Margin of Error","Census Tract 9012.37, Prince William County, Virginia!!Estimate","Census Tract 9012.37, Prince William County, Virginia!!Margin of Error","Census Tract 9013.03, Prince William County, Virginia!!Estimate","Census Tract 9013.03, Prince William County, Virginia!!Margin of Error","Census Tract 9013.04, Prince William County, Virginia!!Estimate","Census Tract 9013.04, Prince William County, Virginia!!Margin of Error","Census Tract 9013.05, Prince William County, Virginia!!Estimate","Census Tract 9013.05, Prince William County, Virginia!!Margin of Error","Census Tract 9013.06, Prince William County, Virginia!!Estimate","Census Tract 9013.06, Prince William County, Virginia!!Margin of Error","Census Tract 9014.03, Prince William County, Virginia!!Estimate","Census Tract 9014.03, Prince William County, Virginia!!Margin of Error","Census Tract 9014.07, Prince William County, Virginia!!Estimate","Census Tract 9014.07, Prince William County, Virginia!!Margin of Error","Census Tract 9014.09, Prince William County, Virginia!!Estimate","Census Tract 9014.09, Prince William County, Virginia!!Margin of Error","Census Tract 9014.11, Prince William County, Virginia!!Estimate","Census Tract 9014.11, Prince William County, Virginia!!Margin of Error","Census Tract 9014.12, Prince William County, Virginia!!Estimate","Census Tract 9014.12, Prince William County, Virginia!!Margin of Error","Census Tract 9014.13, Prince William County, Virginia!!Estimate","Census Tract 9014.13, Prince William County, Virginia!!Margin of Error","Census Tract 9014.14, Prince William County, Virginia!!Estimate","Census Tract 9014.14, Prince William County, Virginia!!Margin of Error","Census Tract 9014.15, Prince William County, Virginia!!Estimate","Census Tract 9014.15, Prince William County, Virginia!!Margin of Error","Census Tract 9014.16, Prince William County, Virginia!!Estimate","Census Tract 9014.16, Prince William County, Virginia!!Margin of Error","Census Tract 9014.17, Prince William County, Virginia!!Estimate","Census Tract 9014.17, Prince William County, Virginia!!Margin of Error","Census Tract 9014.18, Prince William County, Virginia!!Estimate","Census Tract 9014.18, Prince William County, Virginia!!Margin of Error","Census Tract 9014.19, Prince William County, Virginia!!Estimate","Census Tract 9014.19, Prince William County, Virginia!!Margin of Error","Census Tract 9014.20, Prince William County, Virginia!!Estimate","Census Tract 9014.20, Prince William County, Virginia!!Margin of Error","Census Tract 9014.21, Prince William County, Virginia!!Estimate","Census Tract 9014.21, Prince William County, Virginia!!Margin of Error","Census Tract 9015.03, Prince William County, Virginia!!Estimate","Census Tract 9015.03, Prince William County, Virginia!!Margin of Error","Census Tract 9015.04, Prince William County, Virginia!!Estimate","Census Tract 9015.04, Prince William County, Virginia!!Margin of Error","Census Tract 9015.05, Prince William County, Virginia!!Estimate","Census Tract 9015.05, Prince William County, Virginia!!Margin of Error","Census Tract 9015.06, Prince William County, Virginia!!Estimate","Census Tract 9015.06, Prince William County, Virginia!!Margin of Error","Census Tract 9015.07, Prince William County, Virginia!!Estimate","Census Tract 9015.07, Prince William County, Virginia!!Margin of Error","Census Tract 9015.08, Prince William County, Virginia!!Estimate","Census Tract 9015.08, Prince William County, Virginia!!Margin of Error","Census Tract 9015.09, Prince William County, Virginia!!Estimate","Census Tract 9015.09, Prince William County, Virginia!!Margin of Error","Census Tract 9015.10, Prince William County, Virginia!!Estimate","Census Tract 9015.10, Prince William County, Virginia!!Margin of Error","Census Tract 9015.11, Prince William County, Virginia!!Estimate","Census Tract 9015.11, Prince William County, Virginia!!Margin of Error","Census Tract 9016.01, Prince William County, Virginia!!Estimate","Census Tract 9016.01, Prince William County, Virginia!!Margin of Error","Census Tract 9016.02, Prince William County, Virginia!!Estimate","Census Tract 9016.02, Prince William County, Virginia!!Margin of Error","Census Tract 9017.02, Prince William County, Virginia!!Estimate","Census Tract 9017.02, Prince William County, Virginia!!Margin of Error","Census Tract 9017.03, Prince William County, Virginia!!Estimate","Census Tract 9017.03, Prince William County, Virginia!!Margin of Error","Census Tract 9017.04, Prince William County, Virginia!!Estimate","Census Tract 9017.04, Prince William County, Virginia!!Margin of Error","Census Tract 9019, Prince William County, Virginia!!Estimate","Census Tract 9019, Prince William County, Virginia!!Margin of Error","Census Tract 9801, Prince William County, Virginia!!Estimate","Census Tract 9801, Prince William County, Virginia!!Margin of Error"
"Total:","1,742","±366","1,414","±233","2,475","±647","2,180","±478","1,816","±235","3,059","±396","2,804","±441","2,802","±413","3,654","±555","2,545","±468","2,848","±310","3,396","±523","3,109","±386","2,235","±373","2,267","±502","1,876","±252","2,382","±464","4,165","±568","4,176","±877","4,047","±401","3,182","±455","3,138","±453","3,155","±430","3,182","±456","3,275","±485","3,502","±446","3,215","±375","2,438","±451","3,200","±424","1,497","±223","1,661","±371","2,186","±420","1,905","±312","2,618","±411","1,830","±521","1,815","±714","2,123","±369","1,215","±198","3,316","±452","2,584","±399","3,557","±433","2,640","±311","3,498","±733","1,246","±175","3,153","±473","2,054","±364","2,639","±425","3,365","±430","2,916","±358","3,497","±306","2,553","±461","2,104","±230","3,081","±380","2,623","±489","3,632","±357","1,575","±245","1,699","±230","3,423","±353","1,822","±212","2,718","±337","1,595","±249","2,164","±486","2,701","±197","3,928","±584","2,600","±299","4,869","±641","3,013","±320","3,939","±433","2,255","±265","2,685","±356","2,495","±466","2,580","±343","1,586","±250","2,338","±680","2,074","±313","2,136","±282","2,636","±431","2,858","±274","1,142","±284","3,683","±385","3,715","±727","1,628","±169","3,196","±284","3,807","±490","3,009","±342","1,528","±254","1,873","±323","4,714","±687","2,375","±361","1,618","±336","3,661","±826","3,784","±486","0","±13"
"    Car, truck, or van:","1,199","±262","1,070","±167","2,220","±583","1,933","±379","1,303","±188","2,379","±341","2,419","±423","2,311","±426","2,980","±403","2,183","±438","2,462","±263","2,614","±339","2,379","±408","1,803","±403","1,889","±493","1,430","±256","2,085","±505","3,602","±501","3,292","±635","2,888","±476","2,835","±460","2,556","±457","2,875","±434","2,492","±430","2,762","±381","2,881","±455","2,520","±380","1,758","±303","2,283","±246","1,146","±224","1,322","±310","1,954","±414","1,749","±248","2,113","±385","1,311","±368","1,432","±537","1,676","±382","1,038","±191","2,707","±415","2,264","±363","3,145","±390","2,003","±295","3,031","±709","1,088","±172","2,480","±323","1,600","±284","2,213","±277","2,796","±343","2,433","±353","2,860","±338","2,070","±486","1,794","±238","2,206","±319","2,001","±444","3,021","±397","1,221","±195","1,187","±183","2,755","±293","1,526","±221","2,119","±295","1,387","±239","1,608","±235","2,150","±199","3,526","±535","2,346","±304","4,106","±589","2,393","±297","3,174","±430","1,765","±231","2,200","±306","1,745","±289","1,972","±319","1,260","±240","1,823","±381","1,898","±323","1,794","±278","2,062","±222","2,163","±240","750","±270","2,909","±478","3,159","±621","1,411","±165","2,582","±289","2,828","±399","2,223","±254","1,172","±226","1,658","±292","3,874","±533","2,097","±324","1,553","±307","3,078","±636","3,508","±473","0","±13"
"        Drove alone","1,121","±261","913","±166","1,999","±600","1,737","±369","1,230","±180","2,154","±338","1,954","±415","1,906","±436","2,786","±367","1,934","±470","1,991","±304","2,452","±351","2,108","±377","1,516","±397","1,559","±447","1,387","±222","1,765","±496","3,203","±514","2,725","±587","2,567","±464","2,343","±447","2,079","±367","2,455","±458","2,029","±441","2,051","±307","2,439","±455","2,080","±367","1,519","±288","2,050","±241","1,000","±223","1,198","±310","1,662","±326","1,465","±264","1,523","±376","999","±360","1,118","±289","1,345","±391","832","±143","2,320","±381","1,594","±297","2,725","±401","1,875","±293","2,285","±476","992","±170","2,223","±310","1,402","±254","1,973","±280","2,567","±361","2,184","±305","2,601","±328","1,648","±414","1,621","±238","1,997","±283","1,913","±446","2,755","±394","1,086","±201","958","±176","2,432","±293","1,341","±198","1,799","±251","1,162","±193","1,482","±233","1,890","±227","2,965","±655","1,855","±276","3,930","±601","2,225","±287","2,880","±441","1,497","±199","1,968","±305","1,603","±281","1,779","±317","1,102","±229","1,510","±378","1,547","±297","1,558","±298","1,974","±210","2,002","±242","725","±267","2,474","±458","2,802","±581","1,276","±164","2,149","±267","2,636","±392","2,050","±264","1,008","±184","1,555","±286","3,466","±488","1,611","±260","1,255","±294","2,413","±552","3,058","±494","0","±13"
"        Carpooled:","78","±49","157","±83","221","±120","196","±105","73","±42","225","±106","465","±203","405","±143","194","±132","249","±107","471","±186","162","±81","271","±122","287","±212","330","±167","43","±61","320","±191","399","±201","567","±229","321","±143","492","±233","477","±238","420","±146","463","±149","711","±264","442","±110","440","±179","239","±108","233","±77","146","±81","124","±107","292","±207","284","±158","590","±316","312","±149","314","±307","331","±152","206","±93","387","±98","670","±236","420","±162","128","±66","746","±548","96","±40","257","±133","198","±79","240","±113","229","±117","249","±118","259","±116","422","±230","173","±85","209","±124","88","±57","266","±141","135","±58","229","±112","323","±108","185","±89","320","±213","225","±105","126","±68","260","±124","561","±277","491","±247","176","±90","168","±72","294","±121","268","±107","232","±88","142","±66","193","±73","158","±104","313","±256","351","±178","236","±130","88","±78","161","±82","25","±40","435","±183","357","±163","135","±50","433","±166","192","±95","173","±89","164","±111","103","±82","408","±195","486","±246","298","±106","665","±283","450","±243","0","±13"
"            In 2-person carpool","12","±15","47","±39","192","±117","75","±55","63","±41","133","±97","307","±134","233","±107","136","±128","134","±93","338","±173","39","±35","155","±99","171","±201","330","±167","43","±61","222","±156","306","±190","338","±185","199","±120","115","±100","286","±206","291","±131","178","±86","539","±259","121","±79","178","±134","157","±89","71","±41","73","±50","45","±48","269","±204","110","±71","242","±189","251","±131","314","±307","236","±154","95","±102","197","±87","510","±220","232","±135","86","±60","335","±239","30","±25","81","±74","97","±82","148","±82","104","±71","111","±84","186","±102","180","±134","29","±29","121","±113","63","±48","107","±69","53","±30","38","±42","151","±85","40","±48","246","±230","192","±102","99","±62","143","±72","484","±220","312","±166","109","±69","160","±71","230","±120","180","±109","176","±71","27","±25","159","±70","142","±98","128","±142","249","±147","175","±94","81","±78","90","±58","25","±40","317","±178","221","±131","71","±34","363","±150","174","±89","164","±89","164","±111","70","±57","266","±178","293","±149","232","±121","531","±276","345","±173","0","±13"
"            In 3-person carpool","66","±46","94","±79","29","±35","121","±89","10","±11","88","±68","134","±114","95","±63","52","±45","115","±54","97","±63","110","±68","76","±45","61","±75","0","±19","0","±13","0","±13","0","±19","145","±137","100","±71","220","±155","172","±103","105","±93","278","±127","135","±91","288","±101","232","±125","59","±34","132","±60","47","±40","53","±67","23","±25","124","±114","102","±77","61","±55","0","±13","44","±55","37","±31","181","±85","102","±111","168","±110","42","±31","403","±492","56","±35","140","±108","101","±58","92","±83","112","±77","97","±72","50","±44","181","±162","88","±57","76","±62","25","±27","145","±106","82","±50","179","±104","158","±65","121","±86","70","±60","13","±13","13","±23","62","±69","77","±100","68","±77","39","±46","0","±19","16","±27","70","±50","56","±50","104","±58","28","±30","0","±13","0","±13","45","±69","0","±13","0","±19","35","±38","0","±13","77","±91","14","±18","57","±34","45","±55","18","±28","9","±11","0","±13","8","±21","105","±164","151","±151","66","±51","69","±82","105","±109","0","±13"
"            In 4-person carpool","0","±13","16","±26","0","±13","0","±13","0","±13","4","±8","24","±63","62","±87","6","±10","0","±19","36","±47","0","±19","40","±59","55","±76","0","±19","0","±13","98","±132","81","±83","65","±58","22","±31","75","±73","0","±19","0","±19","6","±10","35","±36","23","±23","12","±18","0","±13","0","±19","26","±41","22","±26","0","±13","0","±13","99","±157","0","±13","0","±13","33","±52","9","±14","9","±15","14","±24","0","±19","0","±19","0","±19","0","±13","0","±19","0","±13","0","±19","0","±19","0","±19","8","±13","25","±33","25","±33","0","±19","0","±19","14","±27","0","±13","0","±13","0","±19","8","±15","0","±13","0","±13","14","±22","46","±50","0","±19","67","±57","12","±35","0","±19","0","±19","0","±13","0","±19","11","±17","0","±13","0","±13","145","±227","57","±87","61","±97","0","±19","18","±24","0","±13","41","±56","36","±40","7","±12","15","±30","0","±19","0","±19","0","±13","25","±36","17","±26","42","±52","0","±13","65","±85","0","±19","0","±13"
"            In 5- or 6-person carpool","0","±13","0","±13","0","±13","0","±13","0","±13","0","±19","0","±19","15","±23","0","±19","0","±19","0","±19","13","±21","0","±19","0","±13","0","±19","0","±13","0","±13","12","±19","0","±19","0","±19","82","±94","19","±34","24","±38","1","±2","2","±4","10","±18","18","±29","23","±36","30","±29","0","±13","4","±72","0","±13","50","±80","120","±136","0","±13","0","±13","18","±27","8","±16","0","±19","44","±48","0","±19","0","±19","0","±19","5","±7","36","±37","0","±13","0","±19","10","±15","41","±42","2","±11","36","±47","31","±34","12","±19","0","±19","0","±19","0","±13","12","±18","14","±24","0","±13","0","±13","14","±15","0","±13","0","±19","0","±19","44","±47","0","±19","0","±19","48","±58","18","±25","0","±19","0","±13","6","±11","16","±21","40","±41","0","±13","0","±13","0","±19","18","±29","0","±13","0","±19","86","±93","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","0","±19","0","±13","0","±13","0","±19","0","±19","0","±13"
"            In 7-or-more-person carpool","0","±13","0","±13","0","±13","0","±13","0","±13","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±13","0","±19","0","±13","0","±13","0","±19","19","±28","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±13","0","±19","0","±13","0","±13","0","±13","0","±13","27","±32","0","±13","0","±13","0","±13","57","±47","0","±19","0","±13","20","±31","0","±19","8","±14","5","±9","0","±19","0","±13","0","±19","3","±6","0","±19","13","±18","0","±13","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","0","±19","16","±24","4","±10","6","±9","0","±13","9","±14","0","±19","0","±13","16","±26","8","±14","0","±19","0","±13","0","±19","0","±13","0","±13","0","±13","0","±13","0","±13","0","±13","7","±13","0","±19","0","±13","0","±19","0","±19","0","±13","10","±16","0","±19","0","±19","0","±13","0","±13","20","±41","0","±13","0","±13","0","±19","0","±19","0","±13"
"    Public transportation (excluding taxicab):","116","±54","69","±69","90","±88","31","±32","147","±54","195","±97","142","±97","75","±82","120","±73","113","±61","64","±50","421","±311","295","±124","98","±89","204","±156","79","±80","31","±46","180","±129","61","±59","308","±177","79","±67","124","±103","87","±83","157","±78","102","±51","92","±57","233","±176","119","±65","216","±167","29","±29","148","±120","83","±70","0","±13","104","±80","60","±43","0","±13","125","±74","73","±65","299","±168","33","±45","162","±100","129","±71","108","±51","33","±30","124","±93","52","±36","101","±61","68","±46","60","±41","97","±52","128","±95","63","±57","324","±142","55","±41","76","±85","71","±59","122","±69","270","±106","112","±63","163","±81","75","±40","81","±60","51","±39","46","±62","48","±45","49","±49","49","±37","80","±64","44","±33","46","±31","112","±62","144","±71","52","±35","0","±13","63","±90","90","±75","113","±71","54","±39","16","±25","76","±60","131","±81","12","±13","59","±49","86","±84","169","±153","81","±69","7","±11","140","±109","0","±13","15","±25","0","±19","18","±27","0","±13"
