"Label (Grouping)","Census Tract 9001; Prince William County; Virginia!!Estimate","Census Tract 9001; Prince William County; Virginia!!Margin of Error","Census Tract 9002.01; Prince William County; Virginia!!Estimate","Census Tract 9002.01; Prince William County; Virginia!!Margin of Error","Census Tract 9002.02; Prince William County; Virginia!!Estimate","Census Tract 9002.02; Prince William County; Virginia!!Margin of Error","Census Tract 9002.03; Prince William County; Virginia!!Estimate","Census Tract 9002.03; Prince William County; Virginia!!Margin of Error","Census Tract 9003.01; Prince William County; Virginia!!Estimate","Census Tract 9003.01; Prince William County; Virginia!!Margin of Error","Census Tract 9003.02; Prince William County; Virginia!!Estimate","Census Tract 9003.02; Prince William County; Virginia!!Margin of Error","Census Tract 9004.03; Prince William County; Virginia!!Estimate","Census Tract 9004.03; Prince William County; Virginia!!Margin of Error","Census Tract 9004.04; Prince William County; Virginia!!Estimate","Census Tract 9004.04; Prince William County; Virginia!!Margin of Error","Census Tract 9004.07; Prince William County; Virginia!!Estimate","Census Tract 9004.07; Prince William County; Virginia!!Margin of Error","Census Tract 9004.08; Prince William County; Virginia!!Estimate","Census Tract 9004.08; Prince William County; Virginia!!Margin of Error","Census Tract 9004.09; Prince William County; Virginia!!Estimate","Census Tract 9004.09; Prince William County; Virginia!!Margin of Error","Census Tract 9004.10; Prince William County; Virginia!!Estimate","Census Tract 9004.10; Prince William County; Virginia!!Margin of Error","Census Tract 9005.02; Prince William County; Virginia!!Estimate","Census Tract 9005.02; Prince William County; Virginia!!Margin of Error","Census Tract 9005.03; Prince William County; Virginia!!Estimate","Census Tract 9005.03; Prince William County; Virginia!!Margin of Error","Census Tract 9005.04; Prince William County; Virginia!!Estimate","Census Tract 9005.04; Prince William County; Virginia!!Margin of Error","Census Tract 9006.01; Prince William County; Virginia!!Estimate","Census Tract 9006.01; Prince William County; Virginia!!Margin of Error","Census Tract 9006.02; Prince William County; Virginia!!Estimate","Census Tract 9006.02; Prince William County; Virginia!!Margin of Error","Census Tract 9007.01; Prince William County; Virginia!!Estimate","Census Tract 9007.01; Prince William County; Virginia!!Margin of Error","Census Tract 9007.02; Prince William County; Virginia!!Estimate","Census Tract 9007.02; Prince William County; Virginia!!Margin of Error","Census Tract 9008.01; Prince William County; Virginia!!Estimate","Census Tract 9008.01; Prince William County; Virginia!!Margin of Error","Census Tract 9008.03; Prince William County; Virginia!!Estimate","Census Tract 9008.03; Prince William County; Virginia!!Margin of Error","Census Tract 9008.04; Prince William County; Virginia!!Estimate","Census Tract 9008.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.01; Prince William County; Virginia!!Estimate","Census Tract 9009.01; Prince William County; Virginia!!Margin of Error","Census Tract 9009.04; Prince William County; Virginia!!Estimate","Census Tract 9009.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.05; Prince William County; Virginia!!Estimate","Census Tract 9009.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.05; Prince William County; Virginia!!Estimate","Census Tract 9010.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.09; Prince William County; Virginia!!Estimate","Census Tract 9010.09; Prince William County; Virginia!!Margin of Error","Census Tract 9010.10; Prince William County; Virginia!!Estimate","Census Tract 9010.10; Prince William County; Virginia!!Margin of Error","Census Tract 9010.11; Prince William County; Virginia!!Estimate","Census Tract 9010.11; Prince William County; Virginia!!Margin of Error","Census Tract 9010.12; Prince William County; Virginia!!Estimate","Census Tract 9010.12; Prince William County; Virginia!!Margin of Error","Census Tract 9010.13; Prince William County; Virginia!!Estimate","Census Tract 9010.13; Prince William County; Virginia!!Margin of Error","Census Tract 9010.14; Prince William County; Virginia!!Estimate","Census Tract 9010.14; Prince William County; Virginia!!Margin of Error","Census Tract 9010.15; Prince William County; Virginia!!Estimate","Census Tract 9010.15; Prince William County; Virginia!!Margin of Error","Census Tract 9010.16; Prince William County; Virginia!!Estimate","Census Tract 9010.16; Prince William County; Virginia!!Margin of Error","Census Tract 9011.01; Prince William County; Virginia!!Estimate","Census Tract 9011.01; Prince William County; Virginia!!Margin of Error","Census Tract 9011.02; Prince William County; Virginia!!Estimate","Census Tract 9011.02; Prince William County; Virginia!!Margin of Error","Census Tract 9012.03; Prince William County; Virginia!!Estimate","Census Tract 9012.03; Prince William County; Virginia!!Margin of Error","Census Tract 9012.08; Prince William County; Virginia!!Estimate","Census Tract 9012.08; Prince William County; Virginia!!Margin of Error","Census Tract 9012.09; Prince William County; Virginia!!Estimate","Census Tract 9012.09; Prince William County; Virginia!!Margin of Error","Census Tract 9012.11; Prince William County; Virginia!!Estimate","Census Tract 9012.11; Prince William County; Virginia!!Margin of Error","Census Tract 9012.12; Prince William County; Virginia!!Estimate","Census Tract 9012.12; Prince William County; Virginia!!Margin of Error","Census Tract 9012.19; Prince William County; Virginia!!Estimate","Census Tract 9012.19; Prince William County; Virginia!!Margin of Error","Census Tract 9012.21; Prince William County; Virginia!!Estimate","Census Tract 9012.21; Prince William County; Virginia!!Margin of Error","Census Tract 9012.22; Prince William County; Virginia!!Estimate","Census Tract 9012.22; Prince William County; Virginia!!Margin of Error","Census Tract 9012.23; Prince William County; Virginia!!Estimate","Census Tract 9012.23; Prince William County; Virginia!!Margin of Error","Census Tract 9012.24; Prince William County; Virginia!!Estimate","Census Tract 9012.24; Prince William County; Virginia!!Margin of Error","Census Tract 9012.25; Prince William County; Virginia!!Estimate","Census Tract 9012.25; Prince William County; Virginia!!Margin of Error","Census Tract 9012.26; Prince William County; Virginia!!Estimate","Census Tract 9012.26; Prince William County; Virginia!!Margin of Error","Census Tract 9012.27; Prince William County; Virginia!!Estimate","Census Tract 9012.27; Prince William County; Virginia!!Margin of Error","Census Tract 9012.28; Prince William County; Virginia!!Estimate","Census Tract 9012.28; Prince William County; Virginia!!Margin of Error","Census Tract 9012.29; Prince William County; Virginia!!Estimate","Census Tract 9012.29; Prince William County; Virginia!!Margin of Error","Census Tract 9012.30; Prince William County; Virginia!!Estimate","Census Tract 9012.30; Prince William County; Virginia!!Margin of Error","Census Tract 9012.31; Prince William County; Virginia!!Estimate","Census Tract 9012.31; Prince William County; Virginia!!Margin of Error","Census Tract 9012.32; Prince William County; Virginia!!Estimate","Census Tract 9012.32; Prince William County; Virginia!!Margin of Error","Census Tract 9012.33; Prince William County; Virginia!!Estimate","Census Tract 9012.33; Prince William County; Virginia!!Margin of Error","Census Tract 9012.34; Prince William County; Virginia!!Estimate","Census Tract 9012.34; Prince William County; Virginia!!Margin of Error","Census Tract 9012.35; Prince William County; Virginia!!Estimate","Census Tract 9012.35; Prince William County; Virginia!!Margin of Error","Census Tract 9012.36; Prince William County; Virginia!!Estimate","Census Tract 9012.36; Prince William County; Virginia!!Margin of Error","Census Tract 9012.37; Prince William County; Virginia!!Estimate","Census Tract 9012.37; Prince William County; Virginia!!Margin of Error","Census Tract 9013.03; Prince William County; Virginia!!Estimate","Census Tract 9013.03; Prince William County; Virginia!!Margin of Error","Census Tract 9013.04; Prince William County; Virginia!!Estimate","Census Tract 9013.04; Prince William County; Virginia!!Margin of Error","Census Tract 9013.05; Prince William County; Virginia!!Estimate","Census Tract 9013.05; Prince William County; Virginia!!Margin of Error","Census Tract 9013.06; Prince William County; Virginia!!Estimate","Census Tract 9013.06; Prince William County; Virginia!!Margin of Error","Census Tract 9014.03; Prince William County; Virginia!!Estimate","Census Tract 9014.03; Prince William County; Virginia!!Margin of Error","Census Tract 9014.07; Prince William County; Virginia!!Estimate","Census Tract 9014.07; Prince William County; Virginia!!Margin of Error","Census Tract 9014.09; Prince William County; Virginia!!Estimate","Census Tract 9014.09; Prince William County; Virginia!!Margin of Error","Census Tract 9014.11; Prince William County; Virginia!!Estimate","Census Tract 9014.11; Prince William County; Virginia!!Margin of Error","Census Tract 9014.12; Prince William County; Virginia!!Estimate","Census Tract 9014.12; Prince William County; Virginia!!Margin of Error","Census Tract 9014.13; Prince William County; Virginia!!Estimate","Census Tract 9014.13; Prince William County; Virginia!!Margin of Error","Census Tract 9014.14; Prince William County; Virginia!!Estimate","Census Tract 9014.14; Prince William County; Virginia!!Margin of Error","Census Tract 9014.15; Prince William County; Virginia!!Estimate","Census Tract 9014.15; Prince William County; Virginia!!Margin of Error","Census Tract 9014.16; Prince William County; Virginia!!Estimate","Census Tract 9014.16; Prince William County; Virginia!!Margin of Error","Census Tract 9014.17; Prince William County; Virginia!!Estimate","Census Tract 9014.17; Prince William County; Virginia!!Margin of Error","Census Tract 9014.18; Prince William County; Virginia!!Estimate","Census Tract 9014.18; Prince William County; Virginia!!Margin of Error","Census Tract 9014.19; Prince William County; Virginia!!Estimate","Census Tract 9014.19; Prince William County; Virginia!!Margin of Error","Census Tract 9014.20; Prince William County; Virginia!!Estimate","Census Tract 9014.20; Prince William County; Virginia!!Margin of Error","Census Tract 9014.21; Prince William County; Virginia!!Estimate","Census Tract 9014.21; Prince William County; Virginia!!Margin of Error","Census Tract 9015.03; Prince William County; Virginia!!Estimate","Census Tract 9015.03; Prince William County; Virginia!!Margin of Error","Census Tract 9015.04; Prince William County; Virginia!!Estimate","Census Tract 9015.04; Prince William County; Virginia!!Margin of Error","Census Tract 9015.05; Prince William County; Virginia!!Estimate","Census Tract 9015.05; Prince William County; Virginia!!Margin of Error","Census Tract 9015.06; Prince William County; Virginia!!Estimate","Census Tract 9015.06; Prince William County; Virginia!!Margin of Error","Census Tract 9015.07; Prince William County; Virginia!!Estimate","Census Tract 9015.07; Prince William County; Virginia!!Margin of Error","Census Tract 9015.08; Prince William County; Virginia!!Estimate","Census Tract 9015.08; Prince William County; Virginia!!Margin of Error","Census Tract 9015.09; Prince William County; Virginia!!Estimate","Census Tract 9015.09; Prince William County; Virginia!!Margin of Error","Census Tract 9015.10; Prince William County; Virginia!!Estimate","Census Tract 9015.10; Prince William County; Virginia!!Margin of Error","Census Tract 9015.11; Prince William County; Virginia!!Estimate","Census Tract 9015.11; Prince William County; Virginia!!Margin of Error","Census Tract 9016.01; Prince William County; Virginia!!Estimate","Census Tract 9016.01; Prince William County; Virginia!!Margin of Error","Census Tract 9016.02; Prince William County; Virginia!!Estimate","Census Tract 9016.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.02; Prince William County; Virginia!!Estimate","Census Tract 9017.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.03; Prince William County; Virginia!!Estimate","Census Tract 9017.03; Prince William County; Virginia!!Margin of Error","Census Tract 9017.04; Prince William County; Virginia!!Estimate","Census Tract 9017.04; Prince William County; Virginia!!Margin of Error","Census Tract 9019; Prince William County; Virginia!!Estimate","Census Tract 9019; Prince William County; Virginia!!Margin of Error","Census Tract 9801; Prince William County; Virginia!!Estimate","Census Tract 9801; Prince William County; Virginia!!Margin of Error"
"Total:","1,885","±397","1,765","±268","2,116","±530","2,349","±544","2,055","±256","3,285","±499","2,938","±407","2,729","±518","3,628","±560","2,654","±454","2,673","±345","3,096","±561","2,789","±400","1,811","±292","2,152","±454","1,884","±251","2,464","±473","4,346","±632","4,541","±1,064","4,031","±474","3,596","±668","3,194","±443","3,555","±528","4,436","±554","2,730","±499","3,533","±429","3,573","±387","2,108","±459","3,499","±475","1,391","±269","1,898","±373","2,415","±418","1,723","±279","2,943","±359","1,766","±180","1,964","±239","1,765","±379","1,307","±193","3,070","±492","2,514","±367","3,135","±410","2,853","±322","3,984","±773","1,213","±132","3,256","±444","2,249","±382","2,305","±552","3,252","±409","2,749","±369","3,046","±334","2,349","±433","2,062","±263","3,708","±313","3,144","±524","4,167","±407","1,994","±353","1,628","±257","3,307","±327","1,743","±246","2,758","±420","1,515","±200","2,435","±580","2,599","±235","3,985","±604","2,445","±359","4,941","±639","2,988","±389","3,566","±500","2,491","±319","2,329","±397","2,530","±468","2,733","±347","1,831","±265","3,093","±762","2,007","±370","1,948","±284","2,642","±491","3,086","±303","1,390","±352","3,849","±521","3,723","±751","1,821","±239","3,288","±364","4,133","±596","3,346","±403","1,636","±205","1,539","±342","4,086","±771","2,211","±428","1,598","±398","3,543","±970","3,990","±562","0","±13"
"    Car, truck, or van:","1,142","±291","1,277","±258","1,785","±448","1,871","±421","1,558","±262","2,412","±423","2,559","±383","2,197","±499","2,816","±427","2,232","±438","2,171","±339","2,229","±397","1,956","±433","1,454","±285","1,781","±396","1,683","±259","2,289","±444","3,341","±501","3,440","±726","3,005","±411","3,108","±662","2,299","±449","3,045","±507","3,028","±590","1,941","±333","2,442","±454","2,502","±356","1,350","±285","2,382","±335","864","±270","1,354","±248","2,021","±450","1,262","±298","2,295","±320","1,141","±183","1,390","±243","1,458","±372","1,032","±180","2,460","±500","2,159","±363","2,617","±364","1,932","±318","3,209","±775","875","±121","2,423","±298","1,576","±332","1,764","±312","2,461","±318","2,335","±385","2,392","±343","1,803","±465","1,496","±307","2,403","±366","2,099","±469","3,195","±442","1,494","±273","1,059","±217","2,513","±277","1,262","±230","1,907","±364","1,252","±190","1,699","±347","1,972","±243","3,638","±698","2,167","±364","3,803","±589","2,191","±390","2,655","±473","1,813","±273","1,476","±350","1,805","±311","1,715","±387","1,254","±241","2,437","±479","1,686","±350","1,444","±295","1,592","±301","2,179","±271","784","±259","2,385","±484","2,884","±626","1,458","±213","2,411","±311","2,750","±451","1,932","±308","1,005","±161","1,334","±335","3,087","±565","1,672","±317","1,413","±303","2,701","±746","3,582","±605","0","±13"
"        Drove alone","1,123","±290","1,043","±263","1,542","±456","1,592","±418","1,457","±253","1,974","±466","2,079","±380","1,966","±467","2,404","±424","1,909","±426","1,758","±346","2,083","±371","1,872","±427","1,248","±328","1,516","±397","1,496","±260","1,939","±425","2,798","±486","2,537","±611","2,761","±410","2,645","±551","1,841","±358","2,557","±453","2,761","±610","1,688","±230","2,224","±440","2,191","±337","1,255","±284","2,266","±341","645","±166","1,186","±274","1,697","±371","878","±295","1,858","±329","909","±168","1,230","±203","1,246","±378","961","±173","2,164","±478","1,696","±347","2,431","±359","1,798","±304","2,671","±484","826","±118","2,170","±270","1,406","±338","1,584","±330","2,276","±310","1,706","±387","2,101","±321","1,616","±408","1,423","±295","2,287","±341","1,857","±462","2,692","±447","1,295","±237","872","±181","2,305","±298","1,148","±222","1,631","±351","1,077","±175","1,548","±347","1,693","±219","2,538","±536","1,807","±354","3,363","±539","2,029","±370","2,385","±464","1,566","±254","1,426","±354","1,702","±309","1,593","±384","1,188","±234","2,066","±466","1,254","±279","1,354","±287","1,412","±251","1,990","±253","698","±246","2,296","±476","2,591","±613","1,276","±163","2,068","±276","2,680","±454","1,905","±312","1,001","±160","1,238","±309","2,628","±578","1,392","±320","1,301","±313","2,411","±643","3,160","±648","0","±13"
"        Carpooled:","19","±25","234","±172","243","±100","279","±137","101","±66","438","±215","480","±173","231","±158","412","±194","323","±148","413","±192","146","±90","84","±75","206","±131","265","±158","187","±99","350","±197","543","±231","903","±453","244","±165","463","±278","458","±241","488","±198","267","±127","253","±204","218","±117","311","±148","95","±60","116","±117","219","±193","168","±124","324","±214","384","±172","437","±178","232","±141","160","±130","212","±139","71","±68","296","±141","463","±253","186","±106","134","±74","538","±528","49","±33","253","±139","170","±111","180","±90","185","±85","629","±289","291","±112","187","±133","73","±50","116","±121","242","±107","503","±204","199","±131","187","±134","208","±132","114","±77","276","±226","175","±84","151","±94","279","±146","1,100","±473","360","±195","440","±313","162","±113","270","±167","247","±121","50","±33","103","±78","122","±88","66","±52","371","±161","432","±239","90","±60","180","±124","189","±84","86","±66","89","±73","293","±146","182","±91","343","±137","70","±65","27","±33","4","±7","96","±102","459","±248","280","±117","112","±54","290","±173","422","±245","0","±13"
"            In 2-person carpool","0","±13","109","±120","200","±82","149","±100","97","±64","435","±217","303","±147","161","±136","308","±169","215","±104","385","±189","79","±73","46","±63","170","±109","243","±146","104","±85","193","±135","419","±188","732","±505","228","±162","213","±184","351","±233","348","±162","61","±53","179","±198","92","±73","148","±125","80","±55","25","±33","179","±193","88","±69","278","±188","142","±112","287","±153","195","±124","160","±130","67","±49","63","±67","143","±88","345","±222","169","±103","87","±53","199","±220","28","±27","93","±78","96","±82","99","±77","129","±68","411","±250","236","±104","65","±77","55","±47","48","±58","206","±105","480","±202","186","±130","22","±26","176","±120","18","±32","230","±221","154","±82","92","±60","108","±66","840","±316","298","±168","371","±319","162","±113","153","±109","229","±123","17","±21","64","±64","91","±74","64","±53","324","±154","281","±182","74","±56","168","±125","121","±65","86","±66","89","±73","227","±119","84","±47","280","±131","70","±65","27","±33","0","±13","38","±47","216","±188","202","±103","112","±54","256","±173","422","±245","0","±13"
"            In 3-person carpool","19","±25","96","±114","36","±55","76","±84","0","±13","0","±19","93","±103","70","±59","13","±28","42","±40","28","±29","67","±53","38","±43","36","±46","22","±28","83","±55","96","±101","124","±118","171","±168","0","±19","72","±82","79","±68","90","±107","181","±98","61","±76","32","±29","144","±98","15","±15","0","±19","20","±32","25","±38","35","±48","202","±132","118","±88","37","±32","0","±13","44","±53","0","±13","134","±85","32","±45","17","±30","47","±45","339","±482","16","±15","34","±38","44","±55","44","±49","56","±42","145","±145","44","±53","107","±125","18","±20","68","±108","36","±33","23","±27","9","±16","46","±43","11","±17","53","±52","46","±44","0","±13","49","±77","82","±84","260","±347","52","±48","52","±77","0","±19","42","±46","10","±15","10","±15","35","±30","11","±15","0","±13","0","±19","0","±13","2","±14","0","±19","44","±46","0","±13","0","±19","0","±19","61","±45","55","±57","0","±19","0","±19","4","±7","58","±68","185","±151","59","±59","0","±13","0","±19","0","±19","0","±13"
"            In 4-person carpool","0","±13","29","±34","0","±13","54","±63","0","±13","3","±9","0","±19","0","±19","39","±54","21","±29","0","±13","0","±19","0","±13","0","±13","0","±19","0","±13","0","±13","0","±19","0","±19","16","±29","164","±198","28","±40","50","±77","25","±44","13","±18","0","±19","19","±32","0","±13","0","±19","20","±33","13","±21","11","±21","22","±27","0","±19","0","±13","0","±13","88","±117","0","±13","19","±23","39","±49","0","±19","0","±19","0","±19","0","±13","85","±109","18","±31","37","±59","0","±19","13","±20","11","±17","15","±21","0","±13","0","±19","0","±19","0","±19","0","±13","119","±124","0","±19","34","±44","0","±19","0","±13","10","±16","41","±40","0","±19","0","±13","0","±19","0","±19","42","±57","0","±13","0","±19","0","±13","12","±21","0","±13","0","±19","43","±63","0","±13","0","±19","0","±19","0","±13","0","±19","0","±19","37","±43","0","±19","0","±19","0","±19","0","±13","0","±13","49","±80","19","±28","0","±13","34","±56","0","±19","0","±13"
"            In 5- or 6-person carpool","0","±13","0","±13","7","±16","0","±19","4","±8","0","±19","84","±108","0","±19","52","±76","0","±19","0","±13","0","±19","0","±13","0","±13","0","±19","0","±13","61","±96","0","±19","0","±19","0","±19","14","±25","0","±19","0","±19","0","±19","0","±19","94","±83","0","±19","0","±13","91","±109","0","±13","42","±81","0","±19","18","±34","32","±42","0","±13","0","±13","13","±22","8","±15","0","±19","47","±52","0","±19","0","±19","0","±19","5","±7","25","±30","12","±17","0","±13","0","±19","60","±56","0","±19","0","±13","0","±13","0","±19","0","±19","0","±19","4","±18","0","±13","21","±58","9","±17","0","±19","15","±16","0","±13","48","±76","0","±19","0","±13","0","±19","0","±19","33","±52","8","±14","23","±24","4","±8","8","±15","2","±11","47","±77","21","±24","14","±24","0","±19","0","±19","0","±13","0","±19","66","±82","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","0","±19","0","±13","0","±13","0","±19","0","±19","0","±13"
"            In 7-or-more-person carpool","0","±13","0","±13","0","±13","0","±19","0","±13","0","±19","0","±19","0","±19","0","±19","45","±52","0","±13","0","±19","0","±13","0","±13","0","±19","0","±13","0","±13","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±13","0","±19","0","±13","0","±13","0","±19","0","±13","0","±19","0","±13","0","±13","0","±13","0","±13","0","±19","0","±13","0","±19","0","±19","0","±19","0","±13","16","±28","0","±13","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","0","±19","0","±13","0","±19","6","±9","0","±13","0","±19","0","±19","10","±20","17","±27","0","±19","0","±19","0","±13","0","±19","0","±13","0","±19","0","±13","0","±19","87","±120","0","±13","12","±21","24","±33","0","±13","0","±19","0","±19","0","±13","8","±13","0","±19","0","±19","0","±13","0","±13","9","±22","0","±13","0","±13","0","±19","0","±19","0","±13"
"    Public transportation:","138","±73","28","±32","35","±50","0","±19","59","±71","96","±112","116","±104","94","±121","19","±32","20","±23","82","±54","386","±301","17","±22","120","±91","63","±93","29","±41","0","±13","111","±125","30","±70","52","±58","146","±153","138","±96","87","±91","160","±100","79","±70","108","±62","94","±88","39","±38","338","±187","24","±27","42","±42","43","±57","19","±30","64","±53","43","±25","0","±13","41","±52","56","±63","82","±98","73","±72","85","±84","75","±51","25","±33","8","±11","41","±48","106","±76","23","±35","59","±41","61","±69","11","±13","30","±22","29","±32","290","±148","50","±44","124","±135","74","±60","26","±24","73","±50","82","±70","104","±63","14","±16","24","±28","9","±15","0","±19","32","±28","73","±58","89","±76","24","±39","104","±78","56","±53","122","±71","168","±94","34","±39","0","±19","7","±13","67","±59","60","±48","20","±22","11","±17","50","±38","97","±62","6","±7","0","±19","20","±30","135","±158","66","±58","0","±13","132","±109","133","±86","0","±13","13","±24","88","±102","0","±13"
