"Label (Grouping)","Census Tract 9001; Prince William County; Virginia!!Estimate","Census Tract 9001; Prince William County; Virginia!!Margin of Error","Census Tract 9002.01; Prince William County; Virginia!!Estimate","Census Tract 9002.01; Prince William County; Virginia!!Margin of Error","Census Tract 9002.02; Prince William County; Virginia!!Estimate","Census Tract 9002.02; Prince William County; Virginia!!Margin of Error","Census Tract 9002.03; Prince William County; Virginia!!Estimate","Census Tract 9002.03; Prince William County; Virginia!!Margin of Error","Census Tract 9003.01; Prince William County; Virginia!!Estimate","Census Tract 9003.01; Prince William County; Virginia!!Margin of Error","Census Tract 9003.02; Prince William County; Virginia!!Estimate","Census Tract 9003.02; Prince William County; Virginia!!Margin of Error","Census Tract 9004.03; Prince William County; Virginia!!Estimate","Census Tract 9004.03; Prince William County; Virginia!!Margin of Error","Census Tract 9004.04; Prince William County; Virginia!!Estimate","Census Tract 9004.04; Prince William County; Virginia!!Margin of Error","Census Tract 9004.07; Prince William County; Virginia!!Estimate","Census Tract 9004.07; Prince William County; Virginia!!Margin of Error","Census Tract 9004.08; Prince William County; Virginia!!Estimate","Census Tract 9004.08; Prince William County; Virginia!!Margin of Error","Census Tract 9004.09; Prince William County; Virginia!!Estimate","Census Tract 9004.09; Prince William County; Virginia!!Margin of Error","Census Tract 9004.10; Prince William County; Virginia!!Estimate","Census Tract 9004.10; Prince William County; Virginia!!Margin of Error","Census Tract 9005.02; Prince William County; Virginia!!Estimate","Census Tract 9005.02; Prince William County; Virginia!!Margin of Error","Census Tract 9005.03; Prince William County; Virginia!!Estimate","Census Tract 9005.03; Prince William County; Virginia!!Margin of Error","Census Tract 9005.04; Prince William County; Virginia!!Estimate","Census Tract 9005.04; Prince William County; Virginia!!Margin of Error","Census Tract 9006.01; Prince William County; Virginia!!Estimate","Census Tract 9006.01; Prince William County; Virginia!!Margin of Error","Census Tract 9006.02; Prince William County; Virginia!!Estimate","Census Tract 9006.02; Prince William County; Virginia!!Margin of Error","Census Tract 9007.01; Prince William County; Virginia!!Estimate","Census Tract 9007.01; Prince William County; Virginia!!Margin of Error","Census Tract 9007.02; Prince William County; Virginia!!Estimate","Census Tract 9007.02; Prince William County; Virginia!!Margin of Error","Census Tract 9008.01; Prince William County; Virginia!!Estimate","Census Tract 9008.01; Prince William County; Virginia!!Margin of Error","Census Tract 9008.03; Prince William County; Virginia!!Estimate","Census Tract 9008.03; Prince William County; Virginia!!Margin of Error","Census Tract 9008.04; Prince William County; Virginia!!Estimate","Census Tract 9008.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.01; Prince William County; Virginia!!Estimate","Census Tract 9009.01; Prince William County; Virginia!!Margin of Error","Census Tract 9009.04; Prince William County; Virginia!!Estimate","Census Tract 9009.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.05; Prince William County; Virginia!!Estimate","Census Tract 9009.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.05; Prince William County; Virginia!!Estimate","Census Tract 9010.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.09; Prince William County; Virginia!!Estimate","Census Tract 9010.09; Prince William County; Virginia!!Margin of Error","Census Tract 9010.10; Prince William County; Virginia!!Estimate","Census Tract 9010.10; Prince William County; Virginia!!Margin of Error","Census Tract 9010.11; Prince William County; Virginia!!Estimate","Census Tract 9010.11; Prince William County; Virginia!!Margin of Error","Census Tract 9010.12; Prince William County; Virginia!!Estimate","Census Tract 9010.12; Prince William County; Virginia!!Margin of Error","Census Tract 9010.13; Prince William County; Virginia!!Estimate","Census Tract 9010.13; Prince William County; Virginia!!Margin of Error","Census Tract 9010.14; Prince William County; Virginia!!Estimate","Census Tract 9010.14; Prince William County; Virginia!!Margin of Error","Census Tract 9010.15; Prince William County; Virginia!!Estimate","Census Tract 9010.15; Prince William County; Virginia!!Margin of Error","Census Tract 9010.16; Prince William County; Virginia!!Estimate","Census Tract 9010.16; Prince William County; Virginia!!Margin of Error","Census Tract 9011.01; Prince William County; Virginia!!Estimate","Census Tract 9011.01; Prince William County; Virginia!!Margin of Error","Census Tract 9011.02; Prince William County; Virginia!!Estimate","Census Tract 9011.02; Prince William County; Virginia!!Margin of Error","Census Tract 9012.03; Prince William County; Virginia!!Estimate","Census Tract 9012.03; Prince William County; Virginia!!Margin of Error","Census Tract 9012.08; Prince William County; Virginia!!Estimate","Census Tract 9012.08; Prince William County; Virginia!!Margin of Error","Census Tract 9012.09; Prince William County; Virginia!!Estimate","Census Tract 9012.09; Prince William County; Virginia!!Margin of Error","Census Tract 9012.11; Prince William County; Virginia!!Estimate","Census Tract 9012.11; Prince William County; Virginia!!Margin of Error","Census Tract 9012.12; Prince William County; Virginia!!Estimate","Census Tract 9012.12; Prince William County; Virginia!!Margin of Error","Census Tract 9012.19; Prince William County; Virginia!!Estimate","Census Tract 9012.19; Prince William County; Virginia!!Margin of Error","Census Tract 9012.21; Prince William County; Virginia!!Estimate","Census Tract 9012.21; Prince William County; Virginia!!Margin of Error","Census Tract 9012.22; Prince William County; Virginia!!Estimate","Census Tract 9012.22; Prince William County; Virginia!!Margin of Error","Census Tract 9012.23; Prince William County; Virginia!!Estimate","Census Tract 9012.23; Prince William County; Virginia!!Margin of Error","Census Tract 9012.24; Prince William County; Virginia!!Estimate","Census Tract 9012.24; Prince William County; Virginia!!Margin of Error","Census Tract 9012.25; Prince William County; Virginia!!Estimate","Census Tract 9012.25; Prince William County; Virginia!!Margin of Error","Census Tract 9012.26; Prince William County; Virginia!!Estimate","Census Tract 9012.26; Prince William County; Virginia!!Margin of Error","Census Tract 9012.27; Prince William County; Virginia!!Estimate","Census Tract 9012.27; Prince William County; Virginia!!Margin of Error","Census Tract 9012.28; Prince William County; Virginia!!Estimate","Census Tract 9012.28; Prince William County; Virginia!!Margin of Error","Census Tract 9012.29; Prince William County; Virginia!!Estimate","Census Tract 9012.29; Prince William County; Virginia!!Margin of Error","Census Tract 9012.30; Prince William County; Virginia!!Estimate","Census Tract 9012.30; Prince William County; Virginia!!Margin of Error","Census Tract 9012.31; Prince William County; Virginia!!Estimate","Census Tract 9012.31; Prince William County; Virginia!!Margin of Error","Census Tract 9012.32; Prince William County; Virginia!!Estimate","Census Tract 9012.32; Prince William County; Virginia!!Margin of Error","Census Tract 9012.33; Prince William County; Virginia!!Estimate","Census Tract 9012.33; Prince William County; Virginia!!Margin of Error","Census Tract 9012.34; Prince William County; Virginia!!Estimate","Census Tract 9012.34; Prince William County; Virginia!!Margin of Error","Census Tract 9012.35; Prince William County; Virginia!!Estimate","Census Tract 9012.35; Prince William County; Virginia!!Margin of Error","Census Tract 9012.36; Prince William County; Virginia!!Estimate","Census Tract 9012.36; Prince William County; Virginia!!Margin of Error","Census Tract 9012.37; Prince William County; Virginia!!Estimate","Census Tract 9012.37; Prince William County; Virginia!!Margin of Error","Census Tract 9013.03; Prince William County; Virginia!!Estimate","Census Tract 9013.03; Prince William County; Virginia!!Margin of Error","Census Tract 9013.04; Prince William County; Virginia!!Estimate","Census Tract 9013.04; Prince William County; Virginia!!Margin of Error","Census Tract 9013.05; Prince William County; Virginia!!Estimate","Census Tract 9013.05; Prince William County; Virginia!!Margin of Error","Census Tract 9013.06; Prince William County; Virginia!!Estimate","Census Tract 9013.06; Prince William County; Virginia!!Margin of Error","Census Tract 9014.03; Prince William County; Virginia!!Estimate","Census Tract 9014.03; Prince William County; Virginia!!Margin of Error","Census Tract 9014.07; Prince William County; Virginia!!Estimate","Census Tract 9014.07; Prince William County; Virginia!!Margin of Error","Census Tract 9014.09; Prince William County; Virginia!!Estimate","Census Tract 9014.09; Prince William County; Virginia!!Margin of Error","Census Tract 9014.11; Prince William County; Virginia!!Estimate","Census Tract 9014.11; Prince William County; Virginia!!Margin of Error","Census Tract 9014.12; Prince William County; Virginia!!Estimate","Census Tract 9014.12; Prince William County; Virginia!!Margin of Error","Census Tract 9014.13; Prince William County; Virginia!!Estimate","Census Tract 9014.13; Prince William County; Virginia!!Margin of Error","Census Tract 9014.14; Prince William County; Virginia!!Estimate","Census Tract 9014.14; Prince William County; Virginia!!Margin of Error","Census Tract 9014.15; Prince William County; Virginia!!Estimate","Census Tract 9014.15; Prince William County; Virginia!!Margin of Error","Census Tract 9014.16; Prince William County; Virginia!!Estimate","Census Tract 9014.16; Prince William County; Virginia!!Margin of Error","Census Tract 9014.17; Prince William County; Virginia!!Estimate","Census Tract 9014.17; Prince William County; Virginia!!Margin of Error","Census Tract 9014.18; Prince William County; Virginia!!Estimate","Census Tract 9014.18; Prince William County; Virginia!!Margin of Error","Census Tract 9014.19; Prince William County; Virginia!!Estimate","Census Tract 9014.19; Prince William County; Virginia!!Margin of Error","Census Tract 9014.20; Prince William County; Virginia!!Estimate","Census Tract 9014.20; Prince William County; Virginia!!Margin of Error","Census Tract 9014.21; Prince William County; Virginia!!Estimate","Census Tract 9014.21; Prince William County; Virginia!!Margin of Error","Census Tract 9015.03; Prince William County; Virginia!!Estimate","Census Tract 9015.03; Prince William County; Virginia!!Margin of Error","Census Tract 9015.04; Prince William County; Virginia!!Estimate","Census Tract 9015.04; Prince William County; Virginia!!Margin of Error","Census Tract 9015.05; Prince William County; Virginia!!Estimate","Census Tract 9015.05; Prince William County; Virginia!!Margin of Error","Census Tract 9015.06; Prince William County; Virginia!!Estimate","Census Tract 9015.06; Prince William County; Virginia!!Margin of Error","Census Tract 9015.07; Prince William County; Virginia!!Estimate","Census Tract 9015.07; Prince William County; Virginia!!Margin of Error","Census Tract 9015.08; Prince William County; Virginia!!Estimate","Census Tract 9015.08; Prince William County; Virginia!!Margin of Error","Census Tract 9015.09; Prince William County; Virginia!!Estimate","Census Tract 9015.09; Prince William County; Virginia!!Margin of Error","Census Tract 9015.10; Prince William County; Virginia!!Estimate","Census Tract 9015.10; Prince William County; Virginia!!Margin of Error","Census Tract 9015.11; Prince William County; Virginia!!Estimate","Census Tract 9015.11; Prince William County; Virginia!!Margin of Error","Census Tract 9016.01; Prince William County; Virginia!!Estimate","Census Tract 9016.01; Prince William County; Virginia!!Margin of Error","Census Tract 9016.02; Prince William County; Virginia!!Estimate","Census Tract 9016.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.02; Prince William County; Virginia!!Estimate","Census Tract 9017.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.03; Prince William County; Virginia!!Estimate","Census Tract 9017.03; Prince William County; Virginia!!Margin of Error","Census Tract 9017.04; Prince William County; Virginia!!Estimate","Census Tract 9017.04; Prince William County; Virginia!!Margin of Error","Census Tract 9019; Prince William County; Virginia!!Estimate","Census Tract 9019; Prince William County; Virginia!!Margin of Error","Census Tract 9801; Prince William County; Virginia!!Estimate","Census Tract 9801; Prince William County; Virginia!!Margin of Error"
"Total:","1,710","±369","1,497","±267","2,431","±537","1,976","±525","1,815","±254","3,403","±487","3,032","±430","2,678","±461","3,829","±629","2,576","±429","2,943","±371","3,286","±557","3,091","±361","2,136","±354","2,092","±450","1,905","±230","2,284","±507","4,038","±858","4,531","±985","3,944","±377","3,114","±587","3,293","±450","3,327","±479","3,494","±453","2,841","±475","3,605","±404","3,374","±415","2,501","±458","3,335","±433","1,377","±211","1,641","±364","2,356","±450","1,939","±261","2,435","±437","1,629","±167","1,803","±229","1,961","±361","1,264","±185","3,272","±484","2,727","±383","3,322","±374","2,810","±319","3,486","±766","1,310","±169","3,403","±441","1,999","±393","2,643","±533","3,456","±412","3,193","±359","3,418","±316","2,525","±469","2,137","±226","3,274","±346","2,885","±551","3,676","±345","1,611","±265","1,756","±287","3,320","±345","1,625","±243","2,887","±380","1,616","±212","2,405","±552","2,631","±186","3,732","±611","2,712","±377","4,885","±611","2,914","±300","3,955","±459","2,357","±280","2,717","±355","2,394","±460","2,647","±320","1,698","±265","2,623","±721","1,904","±336","1,982","±243","2,683","±454","2,823","±272","1,296","±351","3,666","±376","3,742","±730","1,747","±231","3,115","±324","4,019","±574","3,278","±431","1,561","±222","1,794","±423","4,748","±728","2,111","±351","1,357","±247","3,327","±915","4,198","±570","0","±13"
"    Car, truck, or van:","1,095","±255","1,184","±188","2,148","±482","1,674","±421","1,282","±188","2,564","±444","2,637","±435","2,190","±470","2,976","±530","2,126","±417","2,491","±351","2,498","±398","2,227","±330","1,699","±339","1,740","±410","1,442","±277","2,053","±508","3,364","±735","3,161","±739","2,752","±411","2,799","±555","2,639","±525","2,858","±497","2,469","±471","2,247","±354","2,819","±440","2,537","±424","1,800","±287","2,314","±273","973","±199","1,281","±292","1,996","±481","1,719","±221","1,951","±417","1,230","±148","1,345","±309","1,631","±389","1,050","±183","2,715","±471","2,364","±374","2,839","±395","1,996","±278","2,997","±749","1,125","±167","2,537","±294","1,667","±327","2,166","±386","2,831","±339","2,675","±360","2,753","±313","2,182","±501","1,774","±241","2,342","±378","1,979","±479","2,929","±400","1,167","±201","1,275","±240","2,651","±306","1,344","±233","2,139","±383","1,369","±211","1,630","±282","1,978","±203","3,312","±597","2,502","±372","4,087","±548","2,100","±254","2,963","±474","1,906","±236","1,886","±321","1,749","±283","1,922","±343","1,303","±247","1,947","±466","1,778","±350","1,714","±249","1,964","±283","2,068","±239","715","±244","2,667","±407","3,020","±614","1,483","±204","2,472","±301","2,848","±439","2,262","±307","1,115","±216","1,606","±415","3,871","±600","1,777","±288","1,280","±215","2,750","±676","3,820","±554","0","±13"
"        Drove alone","1,051","±256","1,023","±187","1,840","±498","1,514","±437","1,120","±194","2,339","±408","1,914","±403","1,858","±446","2,766","±490","1,831","±418","2,021","±371","2,399","±403","1,958","±303","1,338","±364","1,451","±389","1,382","±254","1,826","±486","3,040","±713","2,521","±620","2,447","±421","2,341","±515","2,178","±434","2,414","±461","2,176","±492","1,800","±265","2,552","±462","2,166","±377","1,557","±286","2,159","±266","837","±189","1,136","±303","1,591","±368","1,453","±229","1,433","±378","877","±170","1,141","±224","1,391","±382","909","±156","2,314","±470","1,748","±283","2,555","±366","1,838","±260","2,316","±488","1,031","±159","2,337","±279","1,444","±274","1,886","±388","2,657","±330","2,152","±332","2,477","±320","1,811","±399","1,589","±258","2,181","±323","1,793","±461","2,670","±422","1,047","±210","848","±224","2,371","±289","1,193","±198","1,827","±344","1,148","±176","1,484","±271","1,723","±193","2,643","±585","1,970","±274","3,854","±571","1,916","±270","2,595","±495","1,621","±219","1,761","±316","1,618","±284","1,736","±361","1,232","±243","1,593","±397","1,418","±318","1,584","±267","1,904","±265","1,909","±240","664","±223","2,371","±382","2,751","±581","1,303","±167","2,118","±251","2,638","±441","2,140","±311","961","±179","1,453","±371","3,250","±498","1,497","±262","1,029","±188","2,025","±536","3,215","±515","0","±13"
"        Carpooled:","44","±27","161","±100","308","±122","160","±111","162","±88","225","±156","723","±211","332","±149","210","±134","295","±124","470","±192","99","±56","269","±122","361","±256","289","±169","60","±62","227","±157","324","±159","640","±368","305","±139","458","±216","461","±234","444","±162","293","±131","447","±237","267","±119","371","±177","243","±108","155","±77","136","±72","145","±111","405","±224","266","±115","518","±226","353","±138","204","±152","240","±131","141","±120","401","±145","616","±249","284","±142","158","±67","681","±530","94","±41","200","±103","223","±96","280","±152","174","±73","523","±279","276","±110","371","±209","185","±80","161","±113","186","±91","259","±119","120","±63","427","±232","280","±102","151","±100","312","±219","221","±102","146","±87","255","±101","669","±291","532","±297","233","±122","184","±117","368","±142","285","±97","125","±72","131","±58","186","±73","71","±66","354","±228","360","±247","130","±102","60","±50","159","±85","51","±61","296","±163","269","±159","180","±97","354","±158","210","±98","122","±72","154","±116","153","±122","621","±355","280","±144","251","±109","725","±314","605","±281","0","±13"
"            In 2-person carpool","9","±13","99","±84","272","±118","75","±67","153","±91","191","±155","341","±185","233","±104","192","±131","188","±114","360","±173","34","±29","161","±113","281","±224","272","±166","41","±60","120","±103","224","±125","378","±336","232","±125","138","±115","321","±210","332","±156","68","±52","340","±227","82","±70","159","±127","196","±98","50","±36","74","±62","47","±50","307","±201","86","±67","229","±136","314","±129","204","±152","159","±119","55","±96","214","±138","520","±225","184","±123","115","±64","330","±249","20","±23","110","±75","124","±96","157","±110","78","±49","312","±248","201","±96","191","±131","80","±51","50","±54","146","±85","180","±102","57","±47","48","±48","166","±90","23","±43","238","±215","201","±100","129","±79","140","±63","491","±235","372","±236","83","±73","173","±113","278","±141","220","±88","66","±40","38","±45","129","±67","58","±62","190","±133","271","±214","130","±102","53","±47","105","±65","51","±61","234","±160","139","±121","99","±56","291","±144","190","±95","109","±73","154","±116","53","±51","263","±199","153","±104","187","±106","583","±300","514","±227","0","±13"
"            In 3-person carpool","35","±27","34","±39","36","±40","85","±97","5","±9","30","±41","211","±158","84","±88","13","±21","96","±45","85","±62","53","±40","64","±50","80","±70","17","±23","19","±38","39","±65","0","±19","246","±200","56","±54","165","±180","127","±92","90","±96","218","±113","96","±80","121","±74","178","±117","47","±31","105","±64","36","±38","52","±67","80","±81","150","±90","97","±65","39","±39","0","±13","30","±37","35","±34","180","±99","25","±27","83","±61","43","±31","351","±476","63","±37","59","±51","77","±43","33","±51","81","±53","167","±142","62","±56","126","±132","64","±40","94","±94","40","±36","79","±65","63","±41","210","±157","71","±45","73","±67","61","±52","7","±10","7","±17","62","±67","178","±185","66","±64","75","±67","0","±19","35","±39","52","±49","59","±55","93","±51","30","±30","0","±13","0","±13","37","±57","0","±13","0","±19","37","±42","0","±13","13","±22","18","±22","54","±40","51","±48","20","±35","13","±13","0","±13","64","±70","243","±255","95","±95","64","±46","79","±105","91","±118","0","±13"
"            In 4-person carpool","0","±13","28","±29","0","±13","0","±13","0","±13","4","±8","34","±83","7","±12","5","±10","11","±15","25","±30","0","±19","44","±62","0","±13","0","±19","0","±13","68","±92","86","±111","13","±19","17","±29","35","±43","0","±19","0","±19","7","±12","8","±12","21","±31","16","±25","0","±13","0","±19","26","±35","23","±27","18","±30","0","±13","42","±69","0","±13","0","±13","35","±58","0","±13","7","±11","14","±23","0","±19","0","±19","0","±19","0","±13","0","±19","7","±12","90","±84","0","±19","0","±19","13","±20","25","±33","30","±35","0","±19","0","±19","0","±19","0","±13","169","±165","0","±19","12","±17","0","±19","0","±13","10","±18","45","±48","0","±19","49","±58","58","±70","0","±19","0","±19","0","±13","0","±19","0","±13","10","±16","0","±13","116","±183","52","±77","0","±13","0","±19","0","±19","0","±13","49","±57","34","±43","27","±33","0","±19","0","±19","0","±19","0","±13","36","±58","98","±133","32","±42","0","±13","63","±97","0","±19","0","±13"
"            In 5- or 6-person carpool","0","±13","0","±13","0","±13","0","±13","4","±7","0","±19","137","±160","8","±14","0","±19","0","±19","0","±19","12","±20","0","±19","0","±13","0","±19","0","±13","0","±13","14","±22","0","±19","0","±19","120","±116","13","±23","22","±33","0","±19","3","±5","43","±38","18","±28","0","±13","0","±19","0","±13","23","±66","0","±13","30","±49","113","±130","0","±13","0","±13","16","±23","2","±9","0","±19","57","±58","0","±19","0","±19","0","±19","4","±7","31","±37","15","±23","0","±13","15","±23","44","±53","0","±19","29","±42","11","±18","17","±24","0","±19","0","±19","0","±13","0","±13","43","±55","18","±29","0","±19","13","±16","0","±13","0","±19","0","±19","45","±53","0","±19","0","±19","55","±68","13","±19","0","±19","0","±13","17","±18","13","±18","48","±55","0","±13","0","±13","0","±19","17","±28","0","±13","0","±19","78","±92","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","0","±19","0","±13","0","±13","0","±19","0","±19","0","±13"
"            In 7-or-more-person carpool","0","±13","0","±13","0","±13","0","±13","0","±13","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±13","0","±19","0","±13","0","±13","0","±19","3","±7","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±13","0","±19","0","±13","0","±13","0","±13","0","±13","37","±47","0","±13","0","±13","0","±13","49","±58","0","±19","0","±13","17","±27","0","±19","0","±19","7","±10","0","±19","0","±13","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","0","±19","25","±30","13","±21","0","±13","0","±13","8","±13","0","±19","0","±13","17","±27","11","±18","0","±19","0","±13","0","±19","0","±13","0","±19","0","±13","0","±13","0","±13","0","±13","7","±15","0","±19","0","±13","0","±19","0","±19","0","±13","12","±20","0","±19","0","±19","0","±13","0","±13","17","±48","0","±13","0","±13","0","±19","0","±19","0","±13"
"    Public transportation (excluding taxicab):","89","±49","25","±29","24","±34","38","±33","132","±71","200","±120","119","±93","87","±74","92","±91","63","±47","32","±26","364","±290","206","±97","75","±69","110","±109","108","±111","35","±51","97","±105","107","±119","161","±86","12","±21","93","±75","109","±111","182","±87","142","±72","99","±66","166","±128","127","±74","203","±166","33","±31","74","±57","46","±69","0","±13","51","±51","20","±18","0","±13","44","±48","64","±64","142","±113","19","±29","110","±79","84","±51","60","±50","35","±30","120","±89","32","±33","53","±56","92","±51","44","±35","66","±42","51","±54","37","±32","281","±144","58","±28","119","±122","92","±59","81","±54","179","±77","79","±47","216","±92","55","±29","66","±61","38","±38","29","±45","16","±19","47","±39","99","±59","68","±63","22","±23","71","±62","124","±63","128","±64","66","±47","0","±13","0","±13","29","±44","58","±46","40","±34","13","±22","97","±68","147","±88","6","±7","60","±52","64","±67","140","±158","21","±20","8","±12","208","±125","60","±58","21","±31","0","±19","11","±19","0","±13"
