censustract,total_2024,With_SNAP_2024,total_2023,With_SNAP_2023,total_2022,With_SNAP_2022,total_2021,With_SNAP_2021,total_2020,With_SNAP_2020,prop_SNAP_2024,prop_SNAP_2023,prop_SNAP_2022,prop_SNAP_2021,prop_SNAP_2020
9001,1627,12,1536,11,1559,23,1550,10,1462,7,0.74,0.72,1.48,0.65,0.48
9002.01,1051,94,1091,67,961,77,880,49,772,12,8.94,6.14,8.01,5.57,1.55
9002.02,1075,117,1055,138,1125,129,1166,164,1130,81,10.88,13.08,11.47,14.07,7.17
9002.03,1490,115,1387,193,1406,107,1419,101,1413,78,7.72,13.91,7.61,7.12,5.52
9003.01,1599,99,1538,84,1503,130,1513,137,1465,98,6.19,5.46,8.65,9.05,6.69
9003.02,2151,110,2107,102,2227,76,2153,102,2056,115,5.11,4.84,3.41,4.74,5.59
9004.03,1938,311,1900,241,1950,316,1903,166,1932,137,16.05,12.68,16.21,8.72,7.09
9004.04,1651,165,1697,167,1744,227,1727,178,1669,177,9.99,9.84,13.02,10.31,10.61
9004.07,2261,378,2329,278,2256,246,2311,184,2253,84,16.72,11.94,10.9,7.96,3.73
9004.08,1566,157,1554,144,1534,162,1549,150,1550,120,10.03,9.27,10.56,9.68,7.74
9004.09,1614,73,1575,74,1579,96,1560,108,1528,128,4.52,4.7,6.08,6.92,8.38
9004.10,2246,195,2096,135,2078,91,1984,83,1946,42,8.68,6.44,4.38,4.18,2.16
9005.02,2004,50,2012,39,2041,69,2059,56,1967,36,2.5,1.94,3.38,2.72,1.83
9005.03,1191,6,1217,15,1229,18,1240,15,1153,49,0.5,1.23,1.46,1.21,4.25
9005.04,1531,320,1425,328,1385,288,1417,238,1296,237,20.9,23.02,20.79,16.8,18.29
9006.01,972,179,975,99,973,64,998,10,949,28,18.42,10.15,6.58,1.0,2.95
9006.02,1466,166,1421,141,1350,207,1333,222,1199,241,11.32,9.92,15.33,16.65,20.1
9007.01,3027,157,2863,132,2530,188,2691,56,2522,133,5.19,4.61,7.43,2.08,5.27
9007.02,2200,95,2271,170,2318,123,2314,98,2323,209,4.32,7.49,5.31,4.24,9.0
9008.01,2262,84,2301,68,2272,15,2281,17,2145,57,3.71,2.96,0.66,0.75,2.66
9008.03,2311,521,2140,437,2104,180,2149,98,2001,117,22.54,20.42,8.56,4.56,5.85
9008.04,1978,123,1934,123,1866,126,1781,120,1537,83,6.22,6.36,6.75,6.74,5.4
9009.01,2040,80,2078,110,1941,128,1912,201,1876,273,3.92,5.29,6.59,10.51,14.55
9009.04,2353,95,1984,83,1768,109,1672,148,1520,138,4.04,4.18,6.17,8.85,9.08
9009.05,1904,165,1868,115,1831,15,1802,25,1692,55,8.67,6.16,0.82,1.39,3.25
9010.05,1931,51,1932,62,1901,43,1894,25,1814,12,2.64,3.21,2.26,1.32,0.66
9010.09,2300,13,2274,13,2239,55,2185,84,2157,89,0.57,0.57,2.46,3.84,4.13
9010.10,1352,89,1391,41,1401,0,1401,0,1324,14,6.58,2.95,0.0,0.0,1.06
9010.11,1946,82,1921,84,1889,81,1874,85,1883,49,4.21,4.37,4.29,4.54,2.6
9010.12,1665,153,1650,136,1634,91,1620,93,1557,33,9.19,8.24,5.57,5.74,2.12
9010.13,1041,111,1089,113,1120,125,1172,84,1093,82,10.66,10.38,11.16,7.17,7.5
9010.14,1412,25,1442,18,1413,47,1393,59,1355,68,1.77,1.25,3.33,4.24,5.02
9010.15,1134,50,1173,59,1200,53,1237,29,1177,42,4.41,5.03,4.42,2.34,3.57
9010.16,1728,150,1690,185,1580,79,1524,65,1415,48,8.68,10.95,5.0,4.27,3.39
9011.01,652,71,672,68,585,68,534,93,522,76,10.89,10.12,11.62,17.42,14.56
9011.02,817,25,808,28,822,31,782,58,814,52,3.06,3.47,3.77,7.42,6.39
9012.03,1335,114,1363,125,1368,103,1369,48,1364,44,8.54,9.17,7.53,3.51,3.23
9012.08,1285,91,1288,66,1315,49,1272,77,1195,63,7.08,5.12,3.73,6.05,5.27
9012.09,1944,167,1958,143,1964,63,1956,54,1942,77,8.59,7.3,3.21,2.76,3.96
9012.11,1188,78,1237,138,1250,97,1275,88,1187,94,6.57,11.16,7.76,6.9,7.92
9012.12,2231,147,2193,140,2152,69,2134,102,2088,141,6.59,6.38,3.21,4.78,6.75
9012.19,1925,0,1959,0,1961,4,1938,28,1870,33,0.0,0.0,0.2,1.44,1.76
9012.21,2438,205,2313,221,2318,140,2272,139,2180,132,8.41,9.55,6.04,6.12,6.06
9012.22,904,8,880,0,908,14,896,6,855,6,0.88,0.0,1.54,0.67,0.7
9012.23,2210,108,2208,113,2196,119,2136,98,2039,121,4.89,5.12,5.42,4.59,5.93
9012.24,1357,54,1364,50,1362,47,1343,45,1299,55,3.98,3.67,3.45,3.35,4.23
9012.25,1503,56,1533,53,1598,25,1612,34,1530,33,3.73,3.46,1.56,2.11,2.16
9012.26,1728,68,1748,88,1766,117,1735,152,1606,115,3.94,5.03,6.63,8.76,7.16
9012.27,1424,143,1453,137,1495,128,1496,62,1378,25,10.04,9.43,8.56,4.14,1.81
9012.28,1826,90,1826,92,1857,70,1856,51,1822,55,4.93,5.04,3.77,2.75,3.02
