censustract,edu_pop_total_2024,edu_less_than_hs_n_2024,edu_less_than_hs_pct_2024,edu_hs_graduate_n_2024,edu_hs_graduate_pct_2024,edu_some_college_n_2024,edu_some_college_pct_2024,edu_bachelors_plus_n_2024,edu_bachelors_plus_pct_2024,edu_pop_total_2023,edu_less_than_hs_n_2023,edu_less_than_hs_pct_2023,edu_hs_graduate_n_2023,edu_hs_graduate_pct_2023,edu_some_college_n_2023,edu_some_college_pct_2023,edu_bachelors_plus_n_2023,edu_bachelors_plus_pct_2023,edu_pop_total_2022,edu_less_than_hs_n_2022,edu_less_than_hs_pct_2022,edu_hs_graduate_n_2022,edu_hs_graduate_pct_2022,edu_some_college_n_2022,edu_some_college_pct_2022,edu_bachelors_plus_n_2022,edu_bachelors_plus_pct_2022,edu_pop_total_2021,edu_less_than_hs_n_2021,edu_less_than_hs_pct_2021,edu_hs_graduate_n_2021,edu_hs_graduate_pct_2021,edu_some_college_n_2021,edu_some_college_pct_2021,edu_bachelors_plus_n_2021,edu_bachelors_plus_pct_2021,edu_pop_total_2020,edu_less_than_hs_n_2020,edu_less_than_hs_pct_2020,edu_hs_graduate_n_2020,edu_hs_graduate_pct_2020,edu_some_college_n_2020,edu_some_college_pct_2020,edu_bachelors_plus_n_2020,edu_bachelors_plus_pct_2020
9001,2964,92,3.1,374,12.62,863,29.12,1635,55.16,2735,101,3.69,361,13.2,733,26.8,1540,56.31,2852,123,4.31,298,10.45,815,28.58,1616,56.66,2949,156,5.29,359,12.17,830,28.15,1604,54.39,2973,190,6.39,272,9.15,913,30.71,1598,53.75
9002.01,2334,444,19.02,584,25.02,477,20.44,829,35.52,2385,368,15.43,585,24.53,671,28.13,761,31.91,1896,250,13.19,463,24.42,614,32.38,569,30.01,1766,234,13.25,433,24.52,558,31.6,541,30.63,1761,291,16.52,446,25.33,558,31.69,466,26.46
9002.02,2925,468,16.0,1308,44.72,726,24.82,423,14.46,2780,385,13.85,1333,47.95,694,24.96,368,13.24,3191,512,16.05,1431,44.84,804,25.2,444,13.91,3284,754,22.96,1265,38.52,877,26.71,388,11.81,3329,781,23.46,1288,38.69,815,24.48,445,13.37
9002.03,3673,893,24.31,1116,30.38,991,26.98,673,18.32,3090,667,21.59,984,31.84,879,28.45,560,18.12,3084,643,20.85,974,31.58,968,31.39,499,16.18,3111,653,20.99,939,30.18,975,31.34,544,17.49,3083,603,19.56,966,31.33,908,29.45,606,19.66
9003.01,3014,476,15.79,518,17.19,970,32.18,1050,34.84,2859,382,13.36,494,17.28,939,32.84,1044,36.52,2822,320,11.34,449,15.91,1103,39.09,950,33.66,2784,267,9.59,410,14.73,1187,42.64,920,33.05,2786,278,9.98,502,18.02,1126,40.42,880,31.59
9003.02,4144,795,19.18,988,23.84,933,22.51,1428,34.46,3750,606,16.16,741,19.76,1066,28.43,1337,35.65,4204,769,18.29,791,18.82,1177,28.0,1467,34.9,3905,572,14.65,606,15.52,1446,37.03,1281,32.8,4113,631,15.34,853,20.74,1325,32.21,1304,31.7
9004.03,4357,492,11.29,1140,26.16,1429,32.8,1296,29.75,4165,547,13.13,1084,26.03,1188,28.52,1346,32.32,4356,640,14.69,1285,29.5,1138,26.12,1293,29.68,4293,511,11.9,1283,29.89,1168,27.21,1331,31.0,3993,378,9.47,1131,28.32,1197,29.98,1287,32.23
9004.04,4264,914,21.44,1483,34.78,848,19.89,1019,23.9,4310,956,22.18,1362,31.6,901,20.9,1091,25.31,4095,919,22.44,1205,29.43,984,24.03,987,24.1,4159,953,22.91,1189,28.59,1067,25.66,950,22.84,4257,1009,23.7,1045,24.55,1149,26.99,1054,24.76
9004.07,4774,507,10.62,1356,28.4,1692,35.44,1219,25.53,5096,727,14.27,1424,27.94,1752,34.38,1193,23.41,5219,810,15.52,1229,23.55,1854,35.52,1326,25.41,5056,907,17.94,1217,24.07,1717,33.96,1215,24.03,4990,854,17.11,1353,27.11,1674,33.55,1109,22.22
9004.08,3751,454,12.1,821,21.89,1117,29.78,1359,36.23,3740,520,13.9,859,22.97,1067,28.53,1294,34.6,3646,365,10.01,841,23.07,1111,30.47,1329,36.45,3814,348,9.12,1060,27.79,1114,29.21,1292,33.88,3855,282,7.32,1241,32.19,1094,28.38,1238,32.11
