"Label (Grouping)","Census Tract 9001, Prince William County, Virginia!!Estimate","Census Tract 9001, Prince William County, Virginia!!Margin of Error","Census Tract 9002.01, Prince William County, Virginia!!Estimate","Census Tract 9002.01, Prince William County, Virginia!!Margin of Error","Census Tract 9002.02, Prince William County, Virginia!!Estimate","Census Tract 9002.02, Prince William County, Virginia!!Margin of Error","Census Tract 9002.03, Prince William County, Virginia!!Estimate","Census Tract 9002.03, Prince William County, Virginia!!Margin of Error","Census Tract 9003.01, Prince William County, Virginia!!Estimate","Census Tract 9003.01, Prince William County, Virginia!!Margin of Error","Census Tract 9003.02, Prince William County, Virginia!!Estimate","Census Tract 9003.02, Prince William County, Virginia!!Margin of Error","Census Tract 9004.03, Prince William County, Virginia!!Estimate","Census Tract 9004.03, Prince William County, Virginia!!Margin of Error","Census Tract 9004.04, Prince William County, Virginia!!Estimate","Census Tract 9004.04, Prince William County, Virginia!!Margin of Error","Census Tract 9004.07, Prince William County, Virginia!!Estimate","Census Tract 9004.07, Prince William County, Virginia!!Margin of Error","Census Tract 9004.08, Prince William County, Virginia!!Estimate","Census Tract 9004.08, Prince William County, Virginia!!Margin of Error","Census Tract 9004.09, Prince William County, Virginia!!Estimate","Census Tract 9004.09, Prince William County, Virginia!!Margin of Error","Census Tract 9004.10, Prince William County, Virginia!!Estimate","Census Tract 9004.10, Prince William County, Virginia!!Margin of Error","Census Tract 9005.02, Prince William County, Virginia!!Estimate","Census Tract 9005.02, Prince William County, Virginia!!Margin of Error","Census Tract 9005.03, Prince William County, Virginia!!Estimate","Census Tract 9005.03, Prince William County, Virginia!!Margin of Error","Census Tract 9005.04, Prince William County, Virginia!!Estimate","Census Tract 9005.04, Prince William County, Virginia!!Margin of Error","Census Tract 9006.01, Prince William County, Virginia!!Estimate","Census Tract 9006.01, Prince William County, Virginia!!Margin of Error","Census Tract 9006.02, Prince William County, Virginia!!Estimate","Census Tract 9006.02, Prince William County, Virginia!!Margin of Error","Census Tract 9007.01, Prince William County, Virginia!!Estimate","Census Tract 9007.01, Prince William County, Virginia!!Margin of Error","Census Tract 9007.02, Prince William County, Virginia!!Estimate","Census Tract 9007.02, Prince William County, Virginia!!Margin of Error","Census Tract 9008.01, Prince William County, Virginia!!Estimate","Census Tract 9008.01, Prince William County, Virginia!!Margin of Error","Census Tract 9008.03, Prince William County, Virginia!!Estimate","Census Tract 9008.03, Prince William County, Virginia!!Margin of Error","Census Tract 9008.04, Prince William County, Virginia!!Estimate","Census Tract 9008.04, Prince William County, Virginia!!Margin of Error","Census Tract 9009.01, Prince William County, Virginia!!Estimate","Census Tract 9009.01, Prince William County, Virginia!!Margin of Error","Census Tract 9009.04, Prince William County, Virginia!!Estimate","Census Tract 9009.04, Prince William County, Virginia!!Margin of Error","Census Tract 9009.05, Prince William County, Virginia!!Estimate","Census Tract 9009.05, Prince William County, Virginia!!Margin of Error","Census Tract 9010.05, Prince William County, Virginia!!Estimate","Census Tract 9010.05, Prince William County, Virginia!!Margin of Error","Census Tract 9010.09, Prince William County, Virginia!!Estimate","Census Tract 9010.09, Prince William County, Virginia!!Margin of Error","Census Tract 9010.10, Prince William County, Virginia!!Estimate","Census Tract 9010.10, Prince William County, Virginia!!Margin of Error","Census Tract 9010.11, Prince William County, Virginia!!Estimate","Census Tract 9010.11, Prince William County, Virginia!!Margin of Error","Census Tract 9010.12, Prince William County, Virginia!!Estimate","Census Tract 9010.12, Prince William County, Virginia!!Margin of Error","Census Tract 9010.13, Prince William County, Virginia!!Estimate","Census Tract 9010.13, Prince William County, Virginia!!Margin of Error","Census Tract 9010.14, Prince William County, Virginia!!Estimate","Census Tract 9010.14, Prince William County, Virginia!!Margin of Error","Census Tract 9010.15, Prince William County, Virginia!!Estimate","Census Tract 9010.15, Prince William County, Virginia!!Margin of Error","Census Tract 9010.16, Prince William County, Virginia!!Estimate","Census Tract 9010.16, Prince William County, Virginia!!Margin of Error","Census Tract 9011.01, Prince William County, Virginia!!Estimate","Census Tract 9011.01, Prince William County, Virginia!!Margin of Error","Census Tract 9011.02, Prince William County, Virginia!!Estimate","Census Tract 9011.02, Prince William County, Virginia!!Margin of Error","Census Tract 9012.03, Prince William County, Virginia!!Estimate","Census Tract 9012.03, Prince William County, Virginia!!Margin of Error","Census Tract 9012.08, Prince William County, Virginia!!Estimate","Census Tract 9012.08, Prince William County, Virginia!!Margin of Error","Census Tract 9012.09, Prince William County, Virginia!!Estimate","Census Tract 9012.09, Prince William County, Virginia!!Margin of Error","Census Tract 9012.11, Prince William County, Virginia!!Estimate","Census Tract 9012.11, Prince William County, Virginia!!Margin of Error","Census Tract 9012.12, Prince William County, Virginia!!Estimate","Census Tract 9012.12, Prince William County, Virginia!!Margin of Error","Census Tract 9012.19, Prince William County, Virginia!!Estimate","Census Tract 9012.19, Prince William County, Virginia!!Margin of Error","Census Tract 9012.21, Prince William County, Virginia!!Estimate","Census Tract 9012.21, Prince William County, Virginia!!Margin of Error","Census Tract 9012.22, Prince William County, Virginia!!Estimate","Census Tract 9012.22, Prince William County, Virginia!!Margin of Error","Census Tract 9012.23, Prince William County, Virginia!!Estimate","Census Tract 9012.23, Prince William County, Virginia!!Margin of Error","Census Tract 9012.24, Prince William County, Virginia!!Estimate","Census Tract 9012.24, Prince William County, Virginia!!Margin of Error","Census Tract 9012.25, Prince William County, Virginia!!Estimate","Census Tract 9012.25, Prince William County, Virginia!!Margin of Error","Census Tract 9012.26, Prince William County, Virginia!!Estimate","Census Tract 9012.26, Prince William County, Virginia!!Margin of Error","Census Tract 9012.27, Prince William County, Virginia!!Estimate","Census Tract 9012.27, Prince William County, Virginia!!Margin of Error","Census Tract 9012.28, Prince William County, Virginia!!Estimate","Census Tract 9012.28, Prince William County, Virginia!!Margin of Error","Census Tract 9012.29, Prince William County, Virginia!!Estimate","Census Tract 9012.29, Prince William County, Virginia!!Margin of Error","Census Tract 9012.30, Prince William County, Virginia!!Estimate","Census Tract 9012.30, Prince William County, Virginia!!Margin of Error","Census Tract 9012.31, Prince William County, Virginia!!Estimate","Census Tract 9012.31, Prince William County, Virginia!!Margin of Error","Census Tract 9012.32, Prince William County, Virginia!!Estimate","Census Tract 9012.32, Prince William County, Virginia!!Margin of Error","Census Tract 9012.33, Prince William County, Virginia!!Estimate","Census Tract 9012.33, Prince William County, Virginia!!Margin of Error","Census Tract 9012.34, Prince William County, Virginia!!Estimate","Census Tract 9012.34, Prince William County, Virginia!!Margin of Error","Census Tract 9012.35, Prince William County, Virginia!!Estimate","Census Tract 9012.35, Prince William County, Virginia!!Margin of Error","Census Tract 9012.36, Prince William County, Virginia!!Estimate","Census Tract 9012.36, Prince William County, Virginia!!Margin of Error","Census Tract 9012.37, Prince William County, Virginia!!Estimate","Census Tract 9012.37, Prince William County, Virginia!!Margin of Error","Census Tract 9013.03, Prince William County, Virginia!!Estimate","Census Tract 9013.03, Prince William County, Virginia!!Margin of Error","Census Tract 9013.04, Prince William County, Virginia!!Estimate","Census Tract 9013.04, Prince William County, Virginia!!Margin of Error","Census Tract 9013.05, Prince William County, Virginia!!Estimate","Census Tract 9013.05, Prince William County, Virginia!!Margin of Error","Census Tract 9013.06, Prince William County, Virginia!!Estimate","Census Tract 9013.06, Prince William County, Virginia!!Margin of Error","Census Tract 9014.03, Prince William County, Virginia!!Estimate","Census Tract 9014.03, Prince William County, Virginia!!Margin of Error","Census Tract 9014.07, Prince William County, Virginia!!Estimate","Census Tract 9014.07, Prince William County, Virginia!!Margin of Error","Census Tract 9014.09, Prince William County, Virginia!!Estimate","Census Tract 9014.09, Prince William County, Virginia!!Margin of Error","Census Tract 9014.11, Prince William County, Virginia!!Estimate","Census Tract 9014.11, Prince William County, Virginia!!Margin of Error","Census Tract 9014.12, Prince William County, Virginia!!Estimate","Census Tract 9014.12, Prince William County, Virginia!!Margin of Error","Census Tract 9014.13, Prince William County, Virginia!!Estimate","Census Tract 9014.13, Prince William County, Virginia!!Margin of Error","Census Tract 9014.14, Prince William County, Virginia!!Estimate","Census Tract 9014.14, Prince William County, Virginia!!Margin of Error","Census Tract 9014.15, Prince William County, Virginia!!Estimate","Census Tract 9014.15, Prince William County, Virginia!!Margin of Error","Census Tract 9014.16, Prince William County, Virginia!!Estimate","Census Tract 9014.16, Prince William County, Virginia!!Margin of Error","Census Tract 9014.17, Prince William County, Virginia!!Estimate","Census Tract 9014.17, Prince William County, Virginia!!Margin of Error","Census Tract 9014.18, Prince William County, Virginia!!Estimate","Census Tract 9014.18, Prince William County, Virginia!!Margin of Error","Census Tract 9014.19, Prince William County, Virginia!!Estimate","Census Tract 9014.19, Prince William County, Virginia!!Margin of Error","Census Tract 9014.20, Prince William County, Virginia!!Estimate","Census Tract 9014.20, Prince William County, Virginia!!Margin of Error","Census Tract 9014.21, Prince William County, Virginia!!Estimate","Census Tract 9014.21, Prince William County, Virginia!!Margin of Error","Census Tract 9015.03, Prince William County, Virginia!!Estimate","Census Tract 9015.03, Prince William County, Virginia!!Margin of Error","Census Tract 9015.04, Prince William County, Virginia!!Estimate","Census Tract 9015.04, Prince William County, Virginia!!Margin of Error","Census Tract 9015.05, Prince William County, Virginia!!Estimate","Census Tract 9015.05, Prince William County, Virginia!!Margin of Error","Census Tract 9015.06, Prince William County, Virginia!!Estimate","Census Tract 9015.06, Prince William County, Virginia!!Margin of Error","Census Tract 9015.07, Prince William County, Virginia!!Estimate","Census Tract 9015.07, Prince William County, Virginia!!Margin of Error","Census Tract 9015.08, Prince William County, Virginia!!Estimate","Census Tract 9015.08, Prince William County, Virginia!!Margin of Error","Census Tract 9015.09, Prince William County, Virginia!!Estimate","Census Tract 9015.09, Prince William County, Virginia!!Margin of Error","Census Tract 9015.10, Prince William County, Virginia!!Estimate","Census Tract 9015.10, Prince William County, Virginia!!Margin of Error","Census Tract 9015.11, Prince William County, Virginia!!Estimate","Census Tract 9015.11, Prince William County, Virginia!!Margin of Error","Census Tract 9016.01, Prince William County, Virginia!!Estimate","Census Tract 9016.01, Prince William County, Virginia!!Margin of Error","Census Tract 9016.02, Prince William County, Virginia!!Estimate","Census Tract 9016.02, Prince William County, Virginia!!Margin of Error","Census Tract 9017.02, Prince William County, Virginia!!Estimate","Census Tract 9017.02, Prince William County, Virginia!!Margin of Error","Census Tract 9017.03, Prince William County, Virginia!!Estimate","Census Tract 9017.03, Prince William County, Virginia!!Margin of Error","Census Tract 9017.04, Prince William County, Virginia!!Estimate","Census Tract 9017.04, Prince William County, Virginia!!Margin of Error","Census Tract 9019, Prince William County, Virginia!!Estimate","Census Tract 9019, Prince William County, Virginia!!Margin of Error","Census Tract 9801, Prince William County, Virginia!!Estimate","Census Tract 9801, Prince William County, Virginia!!Margin of Error"
"Total:","3,410","±505","2,127","±293","3,920","±753","4,172","±899","3,269","±551","5,024","±848","4,916","±765","5,562","±582","6,167","±514","4,818","±809","5,176","±778","5,379","±742","4,624","±675","3,471","±645","5,092","±1,391","2,933","±271","3,627","±508","5,890","±646","7,320","±1,261","6,835","±770","4,834","±717","4,733","±883","5,904","±640","5,680","±785","5,530","±684","6,129","±886","6,686","±675","4,105","±610","5,695","±630","3,340","±373","3,166","±416","4,250","±842","2,959","±358","4,432","±961","2,148","±350","2,632","±486","3,578","±468","3,251","±344","6,878","±767","4,351","±531","7,357","±912","5,223","±589","5,274","±889","2,535","±350","5,685","±596","4,274","±514","4,900","±909","5,956","±619","4,778","±691","5,533","±410","4,457","±704","3,770","±330","5,800","±483","5,248","±658","6,346","±483","2,847","±386","2,797","±297","5,572","±550","2,659","±328","4,378","±615","2,735","±324","3,511","±522","4,659","±421","6,498","±966","3,898","±572","7,767","±959","5,558","±405","6,871","±709","4,061","±388","5,028","±592","4,136","±713","4,578","±1,102","2,414","±234","3,607","±807","3,588","±626","4,211","±520","4,250","±709","5,002","±532","4,333","±638","6,765","±906","6,336","±1,220","2,559","±236","5,356","±473","6,549","±1,175","5,639","±529","3,855","±279","3,699","±594","7,487","±645","4,123","±656","2,421","±373","6,164","±1,207","6,023","±829","0","±13"
"    Speak only English","2,623","±457","1,038","±274","1,465","±555","1,956","±754","2,210","±378","2,721","±562","2,775","±496","2,592","±463","3,352","±556","3,076","±565","2,628","±659","2,776","±529","3,417","±393","1,330","±297","1,925","±732","1,207","±245","1,092","±263","3,832","±654","3,969","±900","4,547","±622","2,870","±574","2,664","±705","3,046","±639","3,568","±469","3,978","±685","5,193","±863","5,618","±627","3,422","±631","4,314","±663","2,629","±329","1,852","±279","2,748","±459","1,650","±380","3,187","±873","1,645","±326","2,243","±425","1,811","±429","2,294","±250","4,370","±543","2,360","±365","3,944","±551","4,859","±621","4,053","±717","1,927","±366","4,044","±553","3,202","±586","3,226","±872","4,086","±630","2,975","±649","3,241","±395","3,275","±692","2,832","±315","4,732","±480","4,308","±563","5,639","±445","2,487","±417","2,458","±286","4,257","±545","1,914","±336","3,517","±469","1,915","±342","3,086","±524","4,051","±427","2,741","±587","1,601","±308","5,196","±768","4,516","±425","5,770","±721","3,439","±378","3,986","±544","3,449","±699","3,346","±353","2,184","±247","1,145","±268","1,414","±396","3,264","±567","2,872","±548","4,353","±462","3,817","±665","4,367","±522","3,750","±830","1,969","±219","3,430","±372","5,691","±1,103","4,510","±444","3,410","±306","1,198","±266","4,358","±655","1,484","±458","519","±263","2,016","±387","2,829","±481","0","±13"
"    Spanish:","356","±167","805","±230","2,345","±623","1,236","±250","522","±442","1,179","±583","1,212","±340","2,481","±628","1,711","±477","1,323","±480","1,901","±576","694","±362","417","±252","1,713","±607","2,826","±851","1,257","±245","1,367","±441","575","±228","1,709","±609","1,284","±605","774","±293","443","±338","2,240","±532","523","±217","705","±285","257","±115","248","±199","463","±145","679","±209","312","±168","814","±288","377","±220","481","±247","719","±195","243","±114","271","±150","1,111","±253","643","±186","1,504","±311","1,595","±543","2,128","±799","92","±72","247","±122","277","±149","787","±385","813","±332","963","±298","521","±355","1,332","±378","1,680","±364","701","±298","524","±150","228","±138","535","±202","506","±236","269","±207","110","±74","224","±118","370","±166","468","±428","603","±244","348","±276","396","±165","2,073","±955","1,567","±487","916","±357","190","±145","400","±175","165","±99","443","±250","278","±195","142","±84","90","±81","1,342","±720","1,670","±474","368","±231","809","±680","412","±289","87","±123","413","±203","982","±812","332","±164","448","±105","487","±368","218","±128","149","±98","1,708","±621","2,360","±620","2,469","±646","1,691","±380","3,519","±1,288","2,528","±963","0","±13"
"        Speak English ""very well""","231","±110","385","±127","901","±317","634","±185","268","±223","594","±315","580","±202","1,513","±494","1,188","±314","578","±192","842","±368","559","±322","237","±154","662","±318","1,351","±650","308","±322","460","±161","243","±196","1,064","±519","1,106","±587","487","±289","343","±306","1,363","±329","358","±142","449","±193","216","±104","193","±156","369","±147","348","±155","215","±124","666","±248","263","±223","306","±179","443","±161","142","±89","210","±143","502","±175","249","±79","808","±180","1,042","±390","1,089","±401","64","±57","144","±67","174","±84","655","±338","381","±146","343","±116","287","±167","636","±209","1,130","±288","382","±153","380","±148","135","±115","323","±189","391","±155","165","±124","70","±47","199","±112","256","±157","305","±316","335","±151","267","±230","327","±127","1,110","±588","465","±187","752","±323","146","±128","325","±139","118","±82","201","±120","190","±142","103","±68","61","±67","619","±371","815","±272","120","±102","608","±522","372","±276","75","±123","347","±177","701","±772","289","±145","346","±95","181","±115","167","±104","129","±80","992","±455","1,470","±531","956","±243","1,164","±267","1,376","±604","1,508","±588","0","±13"
"        Speak English less than ""very well""","125","±99","420","±135","1,444","±486","602","±252","254","±253","585","±317","632","±227","968","±334","523","±249","745","±434","1,059","±388","135","±91","180","±126","1,051","±369","1,475","±596","949","±330","907","±407","332","±220","645","±325","178","±157","287","±226","100","±124","877","±327","165","±99","256","±171","41","±40","55","±52","94","±60","331","±150","97","±98","148","±131","114","±54","175","±115","276","±179","101","±117","61","±49","609","±164","394","±183","696","±205","553","±193","1,039","±532","28","±29","103","±69","103","±79","132","±115","432","±215","620","±348","234","±239","696","±265","550","±187","319","±187","144","±94","93","±81","212","±78","115","±122","104","±105","40","±41","25","±20","114","±78","163","±180","268","±140","81","±71","69","±55","963","±438","1,102","±382","164","±133","44","±69","75","±79","47","±37","242","±178","88","±80","39","±54","29","±36","723","±486","855","±392","248","±199","201","±183","40","±36","12","±22","66","±75","281","±283","43","±41","102","±20","306","±346","51","±57","20","±31","716","±234","890","±391","1,513","±631","527","±290","2,143","±977","1,020","±535","0","±13"
"    French, Haitian, or Cajun:","0","±13","82","±117","31","±49","29","±56","11","±15","0","±18","68","±88","0","±18","121","±91","34","±55","27","±58","131","±141","19","±26","36","±58","126","±129","0","±13","0","±13","0","±18","0","±18","94","±114","0","±18","0","±18","23","±36","24","±26","105","±137","46","±41","0","±18","0","±13","4","±8","4","±7","61","±61","0","±13","152","±139","0","±13","0","±13","0","±13","63","±99","99","±130","23","±24","44","±57","73","±110","8","±12","0","±18","5","±7","30","±40","55","±60","0","±18","12","±20","0","±18","56","±71","0","±13","12","±18","74","±78","14","±19","16","±23","0","±13","7","±12","0","±18","33","±45","0","±13","7","±10","0","±13","7","±11","8","±12","0","±13","0","±18","60","±65","0","±18","31","±37","0","±18","54","±61","0","±18","0","±13","58","±78","17","±31","0","±13","10","±18","27","±31","0","±13","0","±18","66","±76","11","±11","0","±18","0","±18","22","±24","11","±16","32","±43","103","±94","0","±13","0","±13","10","±21","63","±67","0","±13"
"        Speak English ""very well""","0","±13","82","±117","0","±13","29","±56","5","±9","0","±18","67","±87","0","±18","35","±40","34","±55","27","±58","118","±140","19","±26","36","±58","110","±123","0","±13","0","±13","0","±18","0","±18","78","±109","0","±18","0","±18","23","±36","24","±26","105","±137","37","±36","0","±18","0","±13","4","±8","0","±13","61","±61","0","±13","41","±45","0","±13","0","±13","0","±13","57","±99","99","±130","11","±17","29","±35","73","±110","8","±12","0","±18","5","±7","30","±40","37","±34","0","±18","12","±20","0","±18","36","±47","0","±13","12","±18","74","±78","12","±21","16","±23","0","±13","7","±12","0","±18","33","±45","0","±13","7","±10","0","±13","7","±11","8","±12","0","±13","0","±18","60","±65","0","±18","31","±37","0","±18","49","±61","0","±18","0","±13","12","±43","17","±31","0","±13","0","±13","27","±31","0","±13","0","±18","66","±76","11","±11","0","±18","0","±18","22","±24","11","±16","8","±14","25","±40","0","±13","0","±13","10","±21","63","±67","0","±13"
"        Speak English less than ""very well""","0","±13","0","±13","31","±49","0","±13","6","±12","0","±18","1","±2","0","±18","86","±88","0","±18","0","±18","13","±22","0","±18","0","±13","16","±27","0","±13","0","±13","0","±18","0","±18","16","±31","0","±18","0","±18","0","±18","0","±18","0","±18","9","±14","0","±18","0","±13","0","±18","4","±7","0","±13","0","±13","111","±110","0","±13","0","±13","0","±13","6","±11","0","±13","12","±16","15","±22","0","±18","0","±18","0","±18","0","±13","0","±18","18","±32","0","±18","0","±18","0","±18","20","±31","0","±13","0","±13","0","±18","2","±4","0","±18","0","±13","0","±13","0","±18","0","±13","0","±13","0","±13","0","±13","0","±13","0","±18","0","±13","0","±18","0","±18","0","±18","0","±13","0","±18","5","±10","0","±18","0","±13","46","±72","0","±13","0","±13","10","±18","0","±18","0","±13","0","±18","0","±18","0","±13","0","±18","0","±18","0","±18","0","±13","24","±40","78","±86","0","±13","0","±13","0","±18","0","±18","0","±13"
"    German or other West Germanic languages:","0","±13","1","±9","0","±13","0","±13","15","±20","43","±53","0","±18","8","±13","13","±23","7","±12","37","±46","12","±20","0","±18","4","±7","0","±18","0","±13","0","±13","24","±31","16","±26","61","±56","0","±18","16","±28","0","±18","6","±10","7","±10","46","±44","184","±163","0","±13","13","±16","20","±31","14","±23","19","±28","0","±13","0","±13","48","±45","12","±24","29","±46","8","±13","35","±42","5","±10","0","±18","21","±27","0","±18","0","±13","0","±18","36","±21","0","±18","12","±18","9","±15","17","±19","30","±32","16","±19","17","±28","15","±23","16","±26","7","±10","0","±13","63","±52","0","±13","31","±36","8","±12","21","±34","25","±37","0","±18","0","±13","0","±18","19","±21","21","±32","6","±11","14","±14","8","±13","0","±18","16","±18","0","±13","0","±13","0","±13","3","±6","10","±14","0","±13","0","±18","0","±18","23","±23","0","±18","76","±61","57","±73","4","±6","0","±13","38","±64","0","±13","0","±13","1","±3","12","±18","0","±13"
"        Speak English ""very well""","0","±13","1","±9","0","±13","0","±13","15","±20","31","±48","0","±18","8","±13","13","±23","0","±18","37","±46","12","±20","0","±18","4","±7","0","±18","0","±13","0","±13","0","±18","16","±26","53","±50","0","±18","0","±18","0","±18","6","±10","7","±10","46","±44","184","±163","0","±13","13","±16","20","±31","14","±23","19","±28","0","±13","0","±13","48","±45","12","±24","29","±46","8","±13","34","±42","5","±10","0","±18","21","±27","0","±18","0","±13","0","±18","36","±21","0","±18","12","±18","9","±15","17","±19","30","±32","16","±19","7","±12","15","±23","7","±11","7","±10","0","±13","63","±52","0","±13","31","±36","8","±12","21","±34","25","±37","0","±18","0","±13","0","±18","10","±15","0","±18","6","±11","9","±11","8","±13","0","±18","16","±18","0","±13","0","±13","0","±13","3","±6","10","±14","0","±13","0","±18","0","±18","23","±23","0","±18","76","±61","25","±28","4","±6","0","±13","38","±64","0","±13","0","±13","1","±3","12","±18","0","±13"
