"Label (Grouping)","Census Tract 9001; Prince William County; Virginia!!Estimate","Census Tract 9001; Prince William County; Virginia!!Margin of Error","Census Tract 9002.01; Prince William County; Virginia!!Estimate","Census Tract 9002.01; Prince William County; Virginia!!Margin of Error","Census Tract 9002.02; Prince William County; Virginia!!Estimate","Census Tract 9002.02; Prince William County; Virginia!!Margin of Error","Census Tract 9002.03; Prince William County; Virginia!!Estimate","Census Tract 9002.03; Prince William County; Virginia!!Margin of Error","Census Tract 9003.01; Prince William County; Virginia!!Estimate","Census Tract 9003.01; Prince William County; Virginia!!Margin of Error","Census Tract 9003.02; Prince William County; Virginia!!Estimate","Census Tract 9003.02; Prince William County; Virginia!!Margin of Error","Census Tract 9004.03; Prince William County; Virginia!!Estimate","Census Tract 9004.03; Prince William County; Virginia!!Margin of Error","Census Tract 9004.04; Prince William County; Virginia!!Estimate","Census Tract 9004.04; Prince William County; Virginia!!Margin of Error","Census Tract 9004.07; Prince William County; Virginia!!Estimate","Census Tract 9004.07; Prince William County; Virginia!!Margin of Error","Census Tract 9004.08; Prince William County; Virginia!!Estimate","Census Tract 9004.08; Prince William County; Virginia!!Margin of Error","Census Tract 9004.09; Prince William County; Virginia!!Estimate","Census Tract 9004.09; Prince William County; Virginia!!Margin of Error","Census Tract 9004.10; Prince William County; Virginia!!Estimate","Census Tract 9004.10; Prince William County; Virginia!!Margin of Error","Census Tract 9005.02; Prince William County; Virginia!!Estimate","Census Tract 9005.02; Prince William County; Virginia!!Margin of Error","Census Tract 9005.03; Prince William County; Virginia!!Estimate","Census Tract 9005.03; Prince William County; Virginia!!Margin of Error","Census Tract 9005.04; Prince William County; Virginia!!Estimate","Census Tract 9005.04; Prince William County; Virginia!!Margin of Error","Census Tract 9006.01; Prince William County; Virginia!!Estimate","Census Tract 9006.01; Prince William County; Virginia!!Margin of Error","Census Tract 9006.02; Prince William County; Virginia!!Estimate","Census Tract 9006.02; Prince William County; Virginia!!Margin of Error","Census Tract 9007.01; Prince William County; Virginia!!Estimate","Census Tract 9007.01; Prince William County; Virginia!!Margin of Error","Census Tract 9007.02; Prince William County; Virginia!!Estimate","Census Tract 9007.02; Prince William County; Virginia!!Margin of Error","Census Tract 9008.01; Prince William County; Virginia!!Estimate","Census Tract 9008.01; Prince William County; Virginia!!Margin of Error","Census Tract 9008.03; Prince William County; Virginia!!Estimate","Census Tract 9008.03; Prince William County; Virginia!!Margin of Error","Census Tract 9008.04; Prince William County; Virginia!!Estimate","Census Tract 9008.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.01; Prince William County; Virginia!!Estimate","Census Tract 9009.01; Prince William County; Virginia!!Margin of Error","Census Tract 9009.04; Prince William County; Virginia!!Estimate","Census Tract 9009.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.05; Prince William County; Virginia!!Estimate","Census Tract 9009.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.05; Prince William County; Virginia!!Estimate","Census Tract 9010.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.09; Prince William County; Virginia!!Estimate","Census Tract 9010.09; Prince William County; Virginia!!Margin of Error","Census Tract 9010.10; Prince William County; Virginia!!Estimate","Census Tract 9010.10; Prince William County; Virginia!!Margin of Error","Census Tract 9010.11; Prince William County; Virginia!!Estimate","Census Tract 9010.11; Prince William County; Virginia!!Margin of Error","Census Tract 9010.12; Prince William County; Virginia!!Estimate","Census Tract 9010.12; Prince William County; Virginia!!Margin of Error","Census Tract 9010.13; Prince William County; Virginia!!Estimate","Census Tract 9010.13; Prince William County; Virginia!!Margin of Error","Census Tract 9010.14; Prince William County; Virginia!!Estimate","Census Tract 9010.14; Prince William County; Virginia!!Margin of Error","Census Tract 9010.15; Prince William County; Virginia!!Estimate","Census Tract 9010.15; Prince William County; Virginia!!Margin of Error","Census Tract 9010.16; Prince William County; Virginia!!Estimate","Census Tract 9010.16; Prince William County; Virginia!!Margin of Error","Census Tract 9011.01; Prince William County; Virginia!!Estimate","Census Tract 9011.01; Prince William County; Virginia!!Margin of Error","Census Tract 9011.02; Prince William County; Virginia!!Estimate","Census Tract 9011.02; Prince William County; Virginia!!Margin of Error","Census Tract 9012.03; Prince William County; Virginia!!Estimate","Census Tract 9012.03; Prince William County; Virginia!!Margin of Error","Census Tract 9012.08; Prince William County; Virginia!!Estimate","Census Tract 9012.08; Prince William County; Virginia!!Margin of Error","Census Tract 9012.09; Prince William County; Virginia!!Estimate","Census Tract 9012.09; Prince William County; Virginia!!Margin of Error","Census Tract 9012.11; Prince William County; Virginia!!Estimate","Census Tract 9012.11; Prince William County; Virginia!!Margin of Error","Census Tract 9012.12; Prince William County; Virginia!!Estimate","Census Tract 9012.12; Prince William County; Virginia!!Margin of Error","Census Tract 9012.19; Prince William County; Virginia!!Estimate","Census Tract 9012.19; Prince William County; Virginia!!Margin of Error","Census Tract 9012.21; Prince William County; Virginia!!Estimate","Census Tract 9012.21; Prince William County; Virginia!!Margin of Error","Census Tract 9012.22; Prince William County; Virginia!!Estimate","Census Tract 9012.22; Prince William County; Virginia!!Margin of Error","Census Tract 9012.23; Prince William County; Virginia!!Estimate","Census Tract 9012.23; Prince William County; Virginia!!Margin of Error","Census Tract 9012.24; Prince William County; Virginia!!Estimate","Census Tract 9012.24; Prince William County; Virginia!!Margin of Error","Census Tract 9012.25; Prince William County; Virginia!!Estimate","Census Tract 9012.25; Prince William County; Virginia!!Margin of Error","Census Tract 9012.26; Prince William County; Virginia!!Estimate","Census Tract 9012.26; Prince William County; Virginia!!Margin of Error","Census Tract 9012.27; Prince William County; Virginia!!Estimate","Census Tract 9012.27; Prince William County; Virginia!!Margin of Error","Census Tract 9012.28; Prince William County; Virginia!!Estimate","Census Tract 9012.28; Prince William County; Virginia!!Margin of Error","Census Tract 9012.29; Prince William County; Virginia!!Estimate","Census Tract 9012.29; Prince William County; Virginia!!Margin of Error","Census Tract 9012.30; Prince William County; Virginia!!Estimate","Census Tract 9012.30; Prince William County; Virginia!!Margin of Error","Census Tract 9012.31; Prince William County; Virginia!!Estimate","Census Tract 9012.31; Prince William County; Virginia!!Margin of Error","Census Tract 9012.32; Prince William County; Virginia!!Estimate","Census Tract 9012.32; Prince William County; Virginia!!Margin of Error","Census Tract 9012.33; Prince William County; Virginia!!Estimate","Census Tract 9012.33; Prince William County; Virginia!!Margin of Error","Census Tract 9012.34; Prince William County; Virginia!!Estimate","Census Tract 9012.34; Prince William County; Virginia!!Margin of Error","Census Tract 9012.35; Prince William County; Virginia!!Estimate","Census Tract 9012.35; Prince William County; Virginia!!Margin of Error","Census Tract 9012.36; Prince William County; Virginia!!Estimate","Census Tract 9012.36; Prince William County; Virginia!!Margin of Error","Census Tract 9012.37; Prince William County; Virginia!!Estimate","Census Tract 9012.37; Prince William County; Virginia!!Margin of Error","Census Tract 9013.03; Prince William County; Virginia!!Estimate","Census Tract 9013.03; Prince William County; Virginia!!Margin of Error","Census Tract 9013.04; Prince William County; Virginia!!Estimate","Census Tract 9013.04; Prince William County; Virginia!!Margin of Error","Census Tract 9013.05; Prince William County; Virginia!!Estimate","Census Tract 9013.05; Prince William County; Virginia!!Margin of Error","Census Tract 9013.06; Prince William County; Virginia!!Estimate","Census Tract 9013.06; Prince William County; Virginia!!Margin of Error","Census Tract 9014.03; Prince William County; Virginia!!Estimate","Census Tract 9014.03; Prince William County; Virginia!!Margin of Error","Census Tract 9014.07; Prince William County; Virginia!!Estimate","Census Tract 9014.07; Prince William County; Virginia!!Margin of Error","Census Tract 9014.09; Prince William County; Virginia!!Estimate","Census Tract 9014.09; Prince William County; Virginia!!Margin of Error","Census Tract 9014.11; Prince William County; Virginia!!Estimate","Census Tract 9014.11; Prince William County; Virginia!!Margin of Error","Census Tract 9014.12; Prince William County; Virginia!!Estimate","Census Tract 9014.12; Prince William County; Virginia!!Margin of Error","Census Tract 9014.13; Prince William County; Virginia!!Estimate","Census Tract 9014.13; Prince William County; Virginia!!Margin of Error","Census Tract 9014.14; Prince William County; Virginia!!Estimate","Census Tract 9014.14; Prince William County; Virginia!!Margin of Error","Census Tract 9014.15; Prince William County; Virginia!!Estimate","Census Tract 9014.15; Prince William County; Virginia!!Margin of Error","Census Tract 9014.16; Prince William County; Virginia!!Estimate","Census Tract 9014.16; Prince William County; Virginia!!Margin of Error","Census Tract 9014.17; Prince William County; Virginia!!Estimate","Census Tract 9014.17; Prince William County; Virginia!!Margin of Error","Census Tract 9014.18; Prince William County; Virginia!!Estimate","Census Tract 9014.18; Prince William County; Virginia!!Margin of Error","Census Tract 9014.19; Prince William County; Virginia!!Estimate","Census Tract 9014.19; Prince William County; Virginia!!Margin of Error","Census Tract 9014.20; Prince William County; Virginia!!Estimate","Census Tract 9014.20; Prince William County; Virginia!!Margin of Error","Census Tract 9014.21; Prince William County; Virginia!!Estimate","Census Tract 9014.21; Prince William County; Virginia!!Margin of Error","Census Tract 9015.03; Prince William County; Virginia!!Estimate","Census Tract 9015.03; Prince William County; Virginia!!Margin of Error","Census Tract 9015.04; Prince William County; Virginia!!Estimate","Census Tract 9015.04; Prince William County; Virginia!!Margin of Error","Census Tract 9015.05; Prince William County; Virginia!!Estimate","Census Tract 9015.05; Prince William County; Virginia!!Margin of Error","Census Tract 9015.06; Prince William County; Virginia!!Estimate","Census Tract 9015.06; Prince William County; Virginia!!Margin of Error","Census Tract 9015.07; Prince William County; Virginia!!Estimate","Census Tract 9015.07; Prince William County; Virginia!!Margin of Error","Census Tract 9015.08; Prince William County; Virginia!!Estimate","Census Tract 9015.08; Prince William County; Virginia!!Margin of Error","Census Tract 9015.09; Prince William County; Virginia!!Estimate","Census Tract 9015.09; Prince William County; Virginia!!Margin of Error","Census Tract 9015.10; Prince William County; Virginia!!Estimate","Census Tract 9015.10; Prince William County; Virginia!!Margin of Error","Census Tract 9015.11; Prince William County; Virginia!!Estimate","Census Tract 9015.11; Prince William County; Virginia!!Margin of Error","Census Tract 9016.01; Prince William County; Virginia!!Estimate","Census Tract 9016.01; Prince William County; Virginia!!Margin of Error","Census Tract 9016.02; Prince William County; Virginia!!Estimate","Census Tract 9016.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.02; Prince William County; Virginia!!Estimate","Census Tract 9017.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.03; Prince William County; Virginia!!Estimate","Census Tract 9017.03; Prince William County; Virginia!!Margin of Error","Census Tract 9017.04; Prince William County; Virginia!!Estimate","Census Tract 9017.04; Prince William County; Virginia!!Margin of Error","Census Tract 9019; Prince William County; Virginia!!Estimate","Census Tract 9019; Prince William County; Virginia!!Margin of Error","Census Tract 9801; Prince William County; Virginia!!Estimate","Census Tract 9801; Prince William County; Virginia!!Margin of Error"
"Total:","2,860","±420","3,055","±458","3,352","±867","4,429","±798","3,379","±446","4,728","±829","5,136","±679","5,542","±640","6,269","±687","4,812","±694","4,675","±575","4,885","±752","4,444","±673","3,565","±660","5,201","±1,448","3,024","±362","3,359","±556","7,459","±986","7,231","±1,316","6,567","±699","5,776","±676","5,272","±641","5,657","±627","7,054","±890","5,899","±712","6,507","±804","6,766","±661","4,252","±717","6,052","±639","3,388","±304","3,064","±388","4,642","±933","3,188","±390","5,604","±836","2,313","±252","2,855","±311","3,595","±514","3,307","±337","6,143","±659","4,627","±495","6,700","±759","5,216","±599","5,960","±1,149","2,392","±244","5,864","±610","4,029","±485","4,626","±895","5,820","±566","5,793","±793","6,006","±441","4,349","±802","3,804","±371","6,257","±682","5,901","±591","6,993","±636","3,024","±380","2,761","±353","6,396","±537","2,842","±266","4,755","±658","2,906","±382","3,895","±549","4,874","±363","6,957","±1,106","3,883","±523","8,733","±1,042","5,680","±407","7,135","±815","4,085","±434","5,316","±636","4,125","±692","4,760","±1,089","2,868","±307","3,906","±812","3,379","±551","3,863","±466","4,749","±878","5,257","±429","4,806","±603","7,015","±814","6,378","±1,419","2,687","±259","5,499","±488","7,471","±1,160","6,140","±552","4,395","±322","3,435","±710","7,440","±1,106","4,551","±766","2,478","±383","6,410","±1,232","7,179","±900","0","±13"
"    Speak only English","2,087","±384","1,367","±340","1,544","±557","2,578","±916","2,024","±331","2,670","±435","2,784","±547","2,008","±365","2,964","±480","2,822","±490","2,248","±499","2,855","±588","2,962","±383","926","±279","1,648","±661","1,191","±213","1,449","±503","4,482","±821","4,000","±1,036","4,624","±741","3,812","±609","3,482","±621","3,999","±689","4,837","±676","4,193","±716","5,427","±958","5,456","±618","3,631","±741","4,025","±643","2,914","±307","1,608","±319","2,508","±632","1,910","±443","3,505","±777","1,736","±252","2,435","±281","2,503","±383","2,524","±306","3,336","±558","2,023","±522","3,495","±491","4,274","±636","4,066","±1,022","1,836","±263","3,883","±576","3,118","±433","2,821","±926","3,392","±472","2,706","±710","3,463","±374","2,895","±767","2,539","±355","5,174","±579","4,701","±491","4,979","±557","2,374","±406","2,105","±380","4,396","±645","2,086","±262","3,330","±541","2,047","±332","3,289","±551","4,292","±398","2,814","±707","1,876","±320","5,619","±912","4,618","±489","5,708","±785","3,093","±442","4,389","±571","3,414","±633","3,227","±402","2,567","±338","1,465","±272","1,388","±350","2,946","±552","3,195","±648","4,840","±443","4,087","±571","4,703","±624","3,193","±915","2,045","±219","3,779","±525","6,167","±1,213","4,830","±561","3,876","±358","928","±335","3,628","±826","1,368","±568","882","±233","1,120","±257","3,151","±733","0","±13"
"    Spanish:","343","±146","1,217","±567","1,498","±590","1,249","±559","729","±454","1,181","±564","1,287","±314","3,011","±613","1,981","±699","1,132","±574","1,513","±399","477","±286","486","±252","1,999","±722","3,121","±938","1,563","±418","1,047","±447","1,350","±920","1,357","±585","889","±487","511","±314","546","±273","1,383","±555","486","±229","859","±258","338","±167","469","±322","185","±109","937","±474","184","±89","773","±273","1,006","±420","326","±113","929","±360","232","±123","283","±104","822","±394","291","±176","1,427","±372","2,014","±620","2,089","±658","459","±271","367","±228","301","±150","1,207","±457","595","±171","832","±315","1,012","±237","2,259","±696","1,848","±305","869","±408","657","±245","390","±335","626","±249","1,454","±772","431","±173","122","±92","572","±252","187","±131","745","±458","543","±151","515","±323","317","±138","2,475","±1,267","1,032","±381","1,109","±393","299","±231","566","±229","422","±181","270","±159","240","±203","374","±106","211","±154","1,414","±680","1,725","±375","296","±168","650","±612","181","±132","139","±154","345","±110","1,261","±903","322","±192","379","±157","594","±295","230","±175","195","±94","1,993","±783","2,622","±842","3,044","±554","1,333","±363","3,975","±1,273","3,247","±968","0","±13"
"        Speak English ""very well""","263","±122","508","±278","651","±256","483","±316","413","±236","764","±331","654","±145","1,504","±496","1,187","±367","485","±220","911","±259","353","±256","373","±174","900","±428","1,806","±778","616","±434","436","±225","509","±289","940","±440","624","±479","323","±227","396","±216","884","±363","366","±172","572","±205","251","±106","249","±171","158","±99","554","±318","184","±89","694","±286","494","±323","152","±129","528","±210","228","±123","271","±98","488","±193","157","±100","1,019","±398","1,241","±515","1,154","±381","264","±210","245","±153","205","±92","579","±241","275","±153","445","±116","893","±235","1,098","±309","1,059","±267","418","±206","356","±130","390","±335","491","±234","823","±526","281","±111","91","±69","480","±233","186","±130","584","±364","403","±133","449","±303","194","±101","1,173","±682","323","±187","652","±255","177","±130","425","±176","341","±125","149","±89","195","±172","220","±91","127","±109","737","±367","926","±231","251","±159","434","±494","130","±91","124","±153","293","±115","875","±760","234","±103","275","±102","194","±137","227","±173","165","±76","1,202","±589","1,601","±576","1,217","±223","658","±190","1,576","±651","2,055","±693","0","±13"
"        Speak English less than ""very well""","80","±51","709","±345","847","±389","766","±283","316","±249","417","±306","633","±267","1,507","±447","794","±412","647","±561","602","±204","124","±81","113","±105","1,099","±425","1,315","±519","947","±231","611","±285","841","±671","417","±243","265","±233","188","±100","150","±136","499","±254","120","±100","287","±156","87","±86","220","±154","27","±26","383","±209","0","±13","79","±86","512","±268","174","±154","401","±228","4","±6","12","±17","334","±214","134","±128","408","±246","773","±287","935","±409","195","±150","122","±88","96","±69","628","±413","320","±106","387","±217","119","±70","1,161","±454","789","±252","451","±236","301","±138","0","±19","135","±68","631","±373","150","±89","31","±34","92","±59","1","±9","161","±122","140","±46","66","±57","123","±88","1,302","±655","709","±350","457","±255","122","±126","141","±80","81","±64","121","±117","45","±54","154","±86","84","±65","677","±399","799","±380","45","±50","216","±163","51","±52","15","±22","52","±68","386","±288","88","±98","104","±92","400","±304","3","±16","30","±40","791","±297","1,021","±474","1,827","±444","675","±187","2,399","±941","1,192","±512","0","±13"
"    French, Haitian, or Cajun:","34","±39","89","±135","78","±124","16","±27","40","±70","16","±25","82","±120","0","±19","79","±115","14","±27","66","±104","140","±150","55","±68","39","±60","77","±102","0","±13","0","±13","60","±97","80","±70","77","±110","15","±27","7","±11","86","±100","0","±19","161","±153","54","±56","0","±19","0","±13","0","±19","18","±21","116","±131","10","±17","24","±50","46","±81","4","±6","0","±13","1","±11","83","±120","0","±19","9","±15","110","±161","45","±46","0","±19","6","±11","0","±19","0","±13","9","±15","33","±39","0","±19","20","±30","0","±13","34","±37","40","±53","9","±13","23","±35","26","±42","21","±26","0","±19","89","±137","22","±35","6","±10","0","±13","17","±21","36","±59","103","±125","106","±165","0","±19","0","±19","14","±21","85","±91","0","±13","0","±19","0","±13","91","±125","18","±24","0","±13","10","±18","9","±16","45","±52","0","±19","24","±45","10","±13","0","±19","0","±19","11","±18","9","±15","9","±15","25","±44","0","±13","0","±13","46","±66","0","±19","0","±13"
"        Speak English ""very well""","25","±36","89","±135","17","±27","0","±13","40","±70","16","±25","62","±91","0","±19","0","±19","14","±27","66","±104","140","±150","55","±68","39","±60","30","±57","0","±13","0","±13","60","±97","80","±70","77","±110","15","±27","7","±11","86","±100","0","±19","136","±151","22","±28","0","±19","0","±13","0","±19","12","±19","116","±131","10","±17","24","±50","46","±81","0","±13","0","±13","0","±13","83","±120","0","±19","9","±15","110","±161","45","±46","0","±19","6","±11","0","±19","0","±13","9","±15","29","±34","0","±19","13","±18","0","±13","26","±33","14","±29","7","±13","23","±35","26","±42","21","±26","0","±19","89","±137","22","±35","6","±10","0","±13","17","±21","36","±59","103","±125","61","±95","0","±19","0","±19","14","±21","77","±89","0","±13","0","±19","0","±13","0","±13","18","±24","0","±13","0","±19","9","±16","45","±52","0","±19","24","±45","8","±10","0","±19","0","±19","11","±18","9","±15","9","±15","25","±44","0","±13","0","±13","46","±66","0","±19","0","±13"
"        Speak English less than ""very well""","9","±15","0","±13","61","±98","16","±27","0","±13","0","±19","20","±31","0","±19","79","±115","0","±19","0","±13","0","±19","0","±13","0","±13","47","±54","0","±13","0","±13","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","25","±21","32","±33","0","±19","0","±13","0","±19","6","±10","0","±13","0","±19","0","±13","0","±19","4","±6","0","±13","1","±11","0","±13","0","±19","0","±13","0","±19","0","±19","0","±19","0","±13","0","±19","0","±13","0","±13","4","±7","0","±19","7","±13","0","±13","8","±13","26","±42","2","±4","0","±19","0","±13","0","±13","0","±19","0","±13","0","±19","0","±13","0","±13","0","±19","0","±19","0","±13","45","±71","0","±19","0","±19","0","±13","8","±14","0","±13","0","±19","0","±13","91","±125","0","±13","0","±13","10","±18","0","±19","0","±13","0","±19","0","±19","2","±4","0","±19","0","±19","0","±19","0","±13","0","±13","0","±19","0","±13","0","±13","0","±19","0","±19","0","±13"
"    German or other West Germanic languages:","21","±24","0","±13","0","±13","9","±12","13","±16","11","±20","0","±19","47","±48","0","±19","8","±13","30","±40","29","±43","9","±17","13","±19","0","±19","0","±13","0","±13","13","±22","0","±19","24","±27","16","±26","15","±24","0","±19","41","±53","16","±24","18","±20","133","±168","43","±49","5","±11","7","±13","0","±13","11","±19","0","±13","28","±45","12","±25","29","±34","31","±48","8","±13","45","±49","0","±13","0","±19","38","±41","11","±20","0","±13","18","±29","0","±13","0","±13","24","±33","7","±11","7","±11","16","±18","10","±16","0","±19","48","±45","18","±30","0","±13","7","±11","61","±57","10","±17","22","±27","14","±23","32","±42","0","±19","0","±19","0","±13","0","±19","12","±19","0","±19","0","±13","27","±29","0","±13","36","±33","0","±13","34","±68","0","±13","0","±13","0","±19","57","±59","35","±40","0","±19","0","±19","0","±13","0","±19","0","±19","12","±21","48","±45","0","±13","0","±19","0","±13","0","±13","0","±19","35","±69","0","±13"
"        Speak English ""very well""","10","±15","0","±13","0","±13","9","±12","13","±16","11","±20","0","±19","24","±37","0","±19","0","±19","30","±40","29","±43","9","±17","13","±19","0","±19","0","±13","0","±13","0","±19","0","±19","24","±27","16","±26","15","±24","0","±19","41","±53","16","±24","9","±12","133","±168","43","±49","5","±11","0","±13","0","±13","11","±19","0","±13","28","±45","12","±25","29","±34","31","±48","8","±13","38","±41","0","±13","0","±19","38","±41","11","±20","0","±13","18","±29","0","±13","0","±13","24","±33","7","±11","7","±11","16","±18","10","±16","0","±19","48","±45","7","±13","0","±13","7","±11","61","±57","10","±17","22","±27","14","±23","26","±41","0","±19","0","±19","0","±13","0","±19","12","±19","0","±19","0","±13","13","±19","0","±13","25","±29","0","±13","34","±68","0","±13","0","±13","0","±19","21","±22","35","±40","0","±19","0","±19","0","±13","0","±19","0","±19","6","±10","48","±45","0","±13","0","±19","0","±13","0","±13","0","±19","35","±69","0","±13"
