censustract,prop_limited_english_2024,prop_limited_english_2023,prop_limited_english_2022,prop_limited_english_2021,prop_limited_english_2020
9001,4.83,8.11,8.76,7.26,5.75
9002.01,30.94,26.78,20.62,18.53,23.18
9002.02,32.25,29.3,34.54,33.05,38.39
9002.03,21.6,21.43,19.34,22.2,23.95
9003.01,13.26,12.96,13.59,11.22,11.72
9003.02,16.59,12.84,14.67,13.92,19.98
9004.03,16.94,16.74,20.88,20.85,18.45
9004.04,28.05,32.39,30.45,28.24,22.01
9004.07,17.24,19.91,20.75,20.97,18.02
9004.08,20.74,21.3,17.71,16.5,19.63
9004.09,28.38,23.32,24.19,20.98,25.81
9004.10,12.84,11.2,12.77,9.86,11.66
9005.02,10.32,7.81,12.72,10.22,8.56
9005.03,31.68,33.74,32.76,33.96,32.18
9005.04,29.82,31.34,32.1,34.35,32.82
9006.01,22.41,34.69,27.79,30.93,43.13
9006.02,27.62,25.75,30.89,36.61,35.76
9007.01,13.54,15.08,7.16,9.11,13.87
9007.02,24.56,10.83,14.92,12.18,15.12
9008.01,7.73,9.24,3.99,4.18,6.72
9008.03,11.24,10.61,14.57,16.76,18.76
9008.04,5.41,8.27,6.16,9.5,11.45
9009.01,10.22,9.53,12.76,16.91,18.38
9009.04,7.82,6.32,8.19,8.57,8.2
9009.05,6.1,6.78,8.37,11.0,8.1
9010.05,6.44,6.1,6.73,5.38,4.41
9010.09,5.89,7.57,6.12,3.99,3.5
9010.10,2.51,1.53,1.3,3.26,3.17
9010.11,8.09,10.41,7.22,8.39,9.39
9010.12,4.76,4.1,5.06,8.14,7.63
9010.13,11.09,9.99,7.71,9.21,9.85
9010.14,18.75,19.71,13.79,8.69,5.39
9010.15,16.49,15.9,11.41,13.65,18.96
9010.16,11.1,10.81,10.04,9.67,9.97
9011.01,6.23,6.44,5.46,2.75,8.05
9011.02,0.0,0.6,0.82,0.98,2.62
9012.03,11.77,12.93,16.35,22.55,23.34
9012.08,12.11,6.89,9.85,14.17,15.04
9012.09,16.37,13.9,11.39,10.46,14.06
9012.11,28.13,22.91,21.75,18.22,15.56
9012.12,15.73,19.81,20.33,21.15,20.5
9012.19,4.18,6.0,3.76,1.44,1.26
9012.21,13.56,12.82,12.34,9.6,9.52
9012.22,3.88,5.69,6.69,7.86,6.82
9012.23,14.39,16.58,12.92,9.74,9.15
9012.24,10.04,9.8,8.4,8.86,12.56
9012.25,11.61,13.1,13.78,12.93,20.45
9012.26,10.44,8.93,11.29,13.37,7.92
9012.27,24.42,23.08,22.75,22.09,17.43
9012.28,14.47,17.55,17.33,16.95,13.57
9012.29,15.21,15.24,15.96,15.51,12.99
9012.30,16.04,16.51,12.43,9.3,7.16
9012.31,6.55,4.35,4.92,4.31,7.28
9012.32,6.66,5.39,5.55,5.27,5.45
9012.33,7.58,9.45,8.26,7.81,1.95
9012.34,4.54,7.51,4.05,2.9,3.69
9012.35,5.47,5.11,2.67,3.76,2.61
9012.36,5.34,5.6,5.81,2.66,2.4
9012.37,7.35,7.88,9.18,10.0,9.7
9013.03,8.13,7.4,8.54,7.23,5.94
9013.04,7.09,8.57,9.31,11.43,12.8
9013.05,1.8,1.85,0.82,4.23,3.19
9013.06,5.16,4.02,4.28,3.45,2.81
9014.03,25.59,30.54,27.73,30.21,28.73
9014.07,27.86,26.6,35.32,38.95,37.46
9014.09,11.18,12.08,11.27,10.4,9.28
9014.11,6.93,6.73,7.63,8.57,6.64
9014.12,7.16,5.38,4.27,4.35,4.77
9014.13,4.67,5.41,4.95,4.02,4.21
9014.14,6.13,4.8,6.14,7.48,7.84
9014.15,5.26,4.19,4.12,3.66,3.99
9014.16,14.14,15.38,13.72,14.37,13.76
9014.17,2.31,3.38,4.24,3.44,1.62
9014.18,23.44,23.22,27.59,26.56,27.95
9014.19,31.7,27.73,30.84,30.04,29.91
9014.20,6.6,6.65,9.04,9.32,8.53
9014.21,9.99,11.14,8.45,11.54,12.07
9015.03,4.02,2.64,3.09,2.33,2.06
9015.04,4.99,5.87,5.48,5.82,6.19
9015.05,7.9,6.71,7.94,7.27,8.07
9015.06,17.11,18.05,15.96,13.73,13.18
9015.07,10.68,8.49,8.71,6.32,5.16
9015.08,9.56,10.07,10.61,10.27,13.11
9015.09,7.79,8.1,6.16,5.81,5.57
9015.10,6.15,5.02,3.79,3.12,3.81
9015.11,3.25,2.59,3.32,4.1,2.59
9016.01,25.0,27.86,24.87,25.0,23.55
9016.02,19.46,19.1,17.98,15.36,15.92
9017.02,38.67,40.96,33.46,40.56,37.62
9017.03,34.43,32.32,26.88,29.05,25.69
9017.04,48.19,48.03,48.87,44.93,39.34
9019,19.09,18.78,21.52,20.07,20.41
9801,,,,,
