"Label (Grouping)","Census Tract 9001, Prince William County, Virginia!!Estimate","Census Tract 9001, Prince William County, Virginia!!Margin of Error","Census Tract 9002.01, Prince William County, Virginia!!Estimate","Census Tract 9002.01, Prince William County, Virginia!!Margin of Error","Census Tract 9002.02, Prince William County, Virginia!!Estimate","Census Tract 9002.02, Prince William County, Virginia!!Margin of Error","Census Tract 9002.03, Prince William County, Virginia!!Estimate","Census Tract 9002.03, Prince William County, Virginia!!Margin of Error","Census Tract 9003.01, Prince William County, Virginia!!Estimate","Census Tract 9003.01, Prince William County, Virginia!!Margin of Error","Census Tract 9003.02, Prince William County, Virginia!!Estimate","Census Tract 9003.02, Prince William County, Virginia!!Margin of Error","Census Tract 9004.03, Prince William County, Virginia!!Estimate","Census Tract 9004.03, Prince William County, Virginia!!Margin of Error","Census Tract 9004.04, Prince William County, Virginia!!Estimate","Census Tract 9004.04, Prince William County, Virginia!!Margin of Error","Census Tract 9004.07, Prince William County, Virginia!!Estimate","Census Tract 9004.07, Prince William County, Virginia!!Margin of Error","Census Tract 9004.08, Prince William County, Virginia!!Estimate","Census Tract 9004.08, Prince William County, Virginia!!Margin of Error","Census Tract 9004.09, Prince William County, Virginia!!Estimate","Census Tract 9004.09, Prince William County, Virginia!!Margin of Error","Census Tract 9004.10, Prince William County, Virginia!!Estimate","Census Tract 9004.10, Prince William County, Virginia!!Margin of Error","Census Tract 9005.02, Prince William County, Virginia!!Estimate","Census Tract 9005.02, Prince William County, Virginia!!Margin of Error","Census Tract 9005.03, Prince William County, Virginia!!Estimate","Census Tract 9005.03, Prince William County, Virginia!!Margin of Error","Census Tract 9005.04, Prince William County, Virginia!!Estimate","Census Tract 9005.04, Prince William County, Virginia!!Margin of Error","Census Tract 9006.01, Prince William County, Virginia!!Estimate","Census Tract 9006.01, Prince William County, Virginia!!Margin of Error","Census Tract 9006.02, Prince William County, Virginia!!Estimate","Census Tract 9006.02, Prince William County, Virginia!!Margin of Error","Census Tract 9007.01, Prince William County, Virginia!!Estimate","Census Tract 9007.01, Prince William County, Virginia!!Margin of Error","Census Tract 9007.02, Prince William County, Virginia!!Estimate","Census Tract 9007.02, Prince William County, Virginia!!Margin of Error","Census Tract 9008.01, Prince William County, Virginia!!Estimate","Census Tract 9008.01, Prince William County, Virginia!!Margin of Error","Census Tract 9008.03, Prince William County, Virginia!!Estimate","Census Tract 9008.03, Prince William County, Virginia!!Margin of Error","Census Tract 9008.04, Prince William County, Virginia!!Estimate","Census Tract 9008.04, Prince William County, Virginia!!Margin of Error","Census Tract 9009.01, Prince William County, Virginia!!Estimate","Census Tract 9009.01, Prince William County, Virginia!!Margin of Error","Census Tract 9009.04, Prince William County, Virginia!!Estimate","Census Tract 9009.04, Prince William County, Virginia!!Margin of Error","Census Tract 9009.05, Prince William County, Virginia!!Estimate","Census Tract 9009.05, Prince William County, Virginia!!Margin of Error","Census Tract 9010.05, Prince William County, Virginia!!Estimate","Census Tract 9010.05, Prince William County, Virginia!!Margin of Error","Census Tract 9010.09, Prince William County, Virginia!!Estimate","Census Tract 9010.09, Prince William County, Virginia!!Margin of Error","Census Tract 9010.10, Prince William County, Virginia!!Estimate","Census Tract 9010.10, Prince William County, Virginia!!Margin of Error","Census Tract 9010.11, Prince William County, Virginia!!Estimate","Census Tract 9010.11, Prince William County, Virginia!!Margin of Error","Census Tract 9010.12, Prince William County, Virginia!!Estimate","Census Tract 9010.12, Prince William County, Virginia!!Margin of Error","Census Tract 9010.13, Prince William County, Virginia!!Estimate","Census Tract 9010.13, Prince William County, Virginia!!Margin of Error","Census Tract 9010.14, Prince William County, Virginia!!Estimate","Census Tract 9010.14, Prince William County, Virginia!!Margin of Error","Census Tract 9010.15, Prince William County, Virginia!!Estimate","Census Tract 9010.15, Prince William County, Virginia!!Margin of Error","Census Tract 9010.16, Prince William County, Virginia!!Estimate","Census Tract 9010.16, Prince William County, Virginia!!Margin of Error","Census Tract 9011.01, Prince William County, Virginia!!Estimate","Census Tract 9011.01, Prince William County, Virginia!!Margin of Error","Census Tract 9011.02, Prince William County, Virginia!!Estimate","Census Tract 9011.02, Prince William County, Virginia!!Margin of Error","Census Tract 9012.03, Prince William County, Virginia!!Estimate","Census Tract 9012.03, Prince William County, Virginia!!Margin of Error","Census Tract 9012.08, Prince William County, Virginia!!Estimate","Census Tract 9012.08, Prince William County, Virginia!!Margin of Error","Census Tract 9012.09, Prince William County, Virginia!!Estimate","Census Tract 9012.09, Prince William County, Virginia!!Margin of Error","Census Tract 9012.11, Prince William County, Virginia!!Estimate","Census Tract 9012.11, Prince William County, Virginia!!Margin of Error","Census Tract 9012.12, Prince William County, Virginia!!Estimate","Census Tract 9012.12, Prince William County, Virginia!!Margin of Error","Census Tract 9012.19, Prince William County, Virginia!!Estimate","Census Tract 9012.19, Prince William County, Virginia!!Margin of Error","Census Tract 9012.21, Prince William County, Virginia!!Estimate","Census Tract 9012.21, Prince William County, Virginia!!Margin of Error","Census Tract 9012.22, Prince William County, Virginia!!Estimate","Census Tract 9012.22, Prince William County, Virginia!!Margin of Error","Census Tract 9012.23, Prince William County, Virginia!!Estimate","Census Tract 9012.23, Prince William County, Virginia!!Margin of Error","Census Tract 9012.24, Prince William County, Virginia!!Estimate","Census Tract 9012.24, Prince William County, Virginia!!Margin of Error","Census Tract 9012.25, Prince William County, Virginia!!Estimate","Census Tract 9012.25, Prince William County, Virginia!!Margin of Error","Census Tract 9012.26, Prince William County, Virginia!!Estimate","Census Tract 9012.26, Prince William County, Virginia!!Margin of Error","Census Tract 9012.27, Prince William County, Virginia!!Estimate","Census Tract 9012.27, Prince William County, Virginia!!Margin of Error","Census Tract 9012.28, Prince William County, Virginia!!Estimate","Census Tract 9012.28, Prince William County, Virginia!!Margin of Error","Census Tract 9012.29, Prince William County, Virginia!!Estimate","Census Tract 9012.29, Prince William County, Virginia!!Margin of Error","Census Tract 9012.30, Prince William County, Virginia!!Estimate","Census Tract 9012.30, Prince William County, Virginia!!Margin of Error","Census Tract 9012.31, Prince William County, Virginia!!Estimate","Census Tract 9012.31, Prince William County, Virginia!!Margin of Error","Census Tract 9012.32, Prince William County, Virginia!!Estimate","Census Tract 9012.32, Prince William County, Virginia!!Margin of Error","Census Tract 9012.33, Prince William County, Virginia!!Estimate","Census Tract 9012.33, Prince William County, Virginia!!Margin of Error","Census Tract 9012.34, Prince William County, Virginia!!Estimate","Census Tract 9012.34, Prince William County, Virginia!!Margin of Error","Census Tract 9012.35, Prince William County, Virginia!!Estimate","Census Tract 9012.35, Prince William County, Virginia!!Margin of Error","Census Tract 9012.36, Prince William County, Virginia!!Estimate","Census Tract 9012.36, Prince William County, Virginia!!Margin of Error","Census Tract 9012.37, Prince William County, Virginia!!Estimate","Census Tract 9012.37, Prince William County, Virginia!!Margin of Error","Census Tract 9013.03, Prince William County, Virginia!!Estimate","Census Tract 9013.03, Prince William County, Virginia!!Margin of Error","Census Tract 9013.04, Prince William County, Virginia!!Estimate","Census Tract 9013.04, Prince William County, Virginia!!Margin of Error","Census Tract 9013.05, Prince William County, Virginia!!Estimate","Census Tract 9013.05, Prince William County, Virginia!!Margin of Error","Census Tract 9013.06, Prince William County, Virginia!!Estimate","Census Tract 9013.06, Prince William County, Virginia!!Margin of Error","Census Tract 9014.03, Prince William County, Virginia!!Estimate","Census Tract 9014.03, Prince William County, Virginia!!Margin of Error","Census Tract 9014.07, Prince William County, Virginia!!Estimate","Census Tract 9014.07, Prince William County, Virginia!!Margin of Error","Census Tract 9014.09, Prince William County, Virginia!!Estimate","Census Tract 9014.09, Prince William County, Virginia!!Margin of Error","Census Tract 9014.11, Prince William County, Virginia!!Estimate","Census Tract 9014.11, Prince William County, Virginia!!Margin of Error","Census Tract 9014.12, Prince William County, Virginia!!Estimate","Census Tract 9014.12, Prince William County, Virginia!!Margin of Error","Census Tract 9014.13, Prince William County, Virginia!!Estimate","Census Tract 9014.13, Prince William County, Virginia!!Margin of Error","Census Tract 9014.14, Prince William County, Virginia!!Estimate","Census Tract 9014.14, Prince William County, Virginia!!Margin of Error","Census Tract 9014.15, Prince William County, Virginia!!Estimate","Census Tract 9014.15, Prince William County, Virginia!!Margin of Error","Census Tract 9014.16, Prince William County, Virginia!!Estimate","Census Tract 9014.16, Prince William County, Virginia!!Margin of Error","Census Tract 9014.17, Prince William County, Virginia!!Estimate","Census Tract 9014.17, Prince William County, Virginia!!Margin of Error","Census Tract 9014.18, Prince William County, Virginia!!Estimate","Census Tract 9014.18, Prince William County, Virginia!!Margin of Error","Census Tract 9014.19, Prince William County, Virginia!!Estimate","Census Tract 9014.19, Prince William County, Virginia!!Margin of Error","Census Tract 9014.20, Prince William County, Virginia!!Estimate","Census Tract 9014.20, Prince William County, Virginia!!Margin of Error","Census Tract 9014.21, Prince William County, Virginia!!Estimate","Census Tract 9014.21, Prince William County, Virginia!!Margin of Error","Census Tract 9015.03, Prince William County, Virginia!!Estimate","Census Tract 9015.03, Prince William County, Virginia!!Margin of Error","Census Tract 9015.04, Prince William County, Virginia!!Estimate","Census Tract 9015.04, Prince William County, Virginia!!Margin of Error","Census Tract 9015.05, Prince William County, Virginia!!Estimate","Census Tract 9015.05, Prince William County, Virginia!!Margin of Error","Census Tract 9015.06, Prince William County, Virginia!!Estimate","Census Tract 9015.06, Prince William County, Virginia!!Margin of Error","Census Tract 9015.07, Prince William County, Virginia!!Estimate","Census Tract 9015.07, Prince William County, Virginia!!Margin of Error","Census Tract 9015.08, Prince William County, Virginia!!Estimate","Census Tract 9015.08, Prince William County, Virginia!!Margin of Error","Census Tract 9015.09, Prince William County, Virginia!!Estimate","Census Tract 9015.09, Prince William County, Virginia!!Margin of Error","Census Tract 9015.10, Prince William County, Virginia!!Estimate","Census Tract 9015.10, Prince William County, Virginia!!Margin of Error","Census Tract 9015.11, Prince William County, Virginia!!Estimate","Census Tract 9015.11, Prince William County, Virginia!!Margin of Error","Census Tract 9016.01, Prince William County, Virginia!!Estimate","Census Tract 9016.01, Prince William County, Virginia!!Margin of Error","Census Tract 9016.02, Prince William County, Virginia!!Estimate","Census Tract 9016.02, Prince William County, Virginia!!Margin of Error","Census Tract 9017.02, Prince William County, Virginia!!Estimate","Census Tract 9017.02, Prince William County, Virginia!!Margin of Error","Census Tract 9017.03, Prince William County, Virginia!!Estimate","Census Tract 9017.03, Prince William County, Virginia!!Margin of Error","Census Tract 9017.04, Prince William County, Virginia!!Estimate","Census Tract 9017.04, Prince William County, Virginia!!Margin of Error","Census Tract 9019, Prince William County, Virginia!!Estimate","Census Tract 9019, Prince William County, Virginia!!Margin of Error","Census Tract 9801, Prince William County, Virginia!!Estimate","Census Tract 9801, Prince William County, Virginia!!Margin of Error"
"Total:","3,384","±423","2,302","±377","4,265","±760","4,564","±874","3,406","±429","4,946","±662","6,180","±749","5,604","±533","6,688","±676","5,478","±1,045","5,155","±721","5,633","±810","4,730","±756","3,756","±719","5,466","±1,567","3,525","±316","3,912","±681","6,574","±726","7,724","±1,438","6,960","±640","5,472","±791","5,743","±940","6,151","±609","6,423","±813","6,199","±857","6,479","±714","6,959","±681","4,850","±856","5,969","±651","3,823","±497","3,432","±499","4,806","±1,035","3,407","±401","5,102","±809","964","±224","1,756","±352","3,749","±557","3,407","±411","6,715","±830","4,754","±553","7,804","±1,051","5,285","±543","6,132","±1,245","2,560","±265","6,154","±626","4,325","±578","5,088","±849","6,505","±659","5,825","±875","6,302","±487","4,877","±967","4,010","±309","5,895","±626","4,570","±662","6,840","±503","2,984","±375","3,020","±342","6,301","±584","3,107","±341","4,933","±723","3,121","±433","3,625","±492","5,254","±461","7,582","±979","4,220","±481","8,661","±1,121","6,103","±424","7,616","±862","4,225","±443","5,234","±652","4,512","±707","4,954","±1,274","2,666","±307","3,885","±950","4,076","±602","4,273","±601","5,234","±1,057","5,327","±452","4,368","±639","7,538","±711","7,053","±1,579","2,789","±273","5,898","±544","7,478","±1,168","6,317","±565","4,204","±386","4,124","±663","7,986","±1,064","4,418","±679","2,770","±517","7,151","±1,101","7,139","±856","0","±13"
"    Male:","1,742","±261","1,043","±183","2,256","±459","1,935","±341","1,726","±282","2,087","±375","2,914","±429","2,607","±296","3,181","±484","2,848","±782","2,443","±326","2,961","±498","2,324","±410","1,750","±444","2,594","±764","1,831","±161","2,089","±474","3,159","±513","3,365","±610","3,626","±479","2,500","±491","2,526","±588","2,879","±356","3,138","±502","3,318","±564","3,235","±539","3,508","±531","2,713","±580","3,104","±449","1,848","±336","1,527","±343","2,540","±570","1,557","±286","2,576","±483","392","±120","669","±240","2,079","±330","1,566","±210","3,200","±475","2,403","±277","3,977","±648","2,521","±268","2,608","±480","1,235","±164","2,834","±398","2,069","±298","2,756","±633","3,410","±443","3,072","±471","3,072","±278","2,305","±426","2,110","±227","2,938","±349","2,278","±311","3,706","±388","1,455","±244","1,497","±215","3,018","±325","1,447","±228","2,726","±479","1,767","±336","1,737","±242","2,702","±281","3,841","±745","2,346","±311","4,460","±667","3,130","±252","3,692","±463","2,077","±264","2,540","±375","2,303","±391","2,472","±638","1,285","±153","1,751","±445","1,827","±452","2,449","±369","2,733","±637","2,659","±261","2,056","±428","3,769","±338","3,891","±978","1,471","±221","2,896","±381","3,986","±680","3,137","±369","2,021","±210","2,084","±387","3,698","±684","2,240","±447","1,307","±271","4,229","±653","3,728","±693","0","±13"
"        Under 19 years:","333","±116","239","±119","508","±188","291","±122","446","±136","439","±166","827","±193","780","±145","896","±217","1,061","±572","713","±187","721","±216","631","±221","512","±250","780","±407","477","±98","460","±171","753","±277","906","±352","956","±171","919","±339","999","±396","985","±237","1,284","±330","964","±304","1,174","±389","1,300","±380","960","±318","1,053","±189","482","±195","528","±191","874","±356","453","±165","941","±337","219","±94","492","±206","359","±115","416","±77","946","±258","643","±168","1,368","±411","505","±146","714","±315","375","±70","879","±194","587","±224","995","±464","1,053","±256","1,038","±285","831","±159","529","±176","668","±120","858","±205","442","±119","723","±183","380","±92","446","±117","1,074","±216","526","±173","828","±283","454","±138","421","±107","780","±157","1,110","±423","632","±193","1,336","±366","895","±176","1,395","±288","775","±142","731","±215","707","±181","871","±397","277","±90","521","±113","614","±263","1,199","±272","1,120","±428","673","±127","329","±309","1,125","±217","1,186","±330","478","±146","1,076","±235","1,367","±477","1,081","±212","525","±107","608","±239","663","±263","504","±210","346","±101","1,130","±276","1,227","±398","0","±13"
"            With Medicare coverage","0","±13","0","±13","0","±13","0","±13","0","±13","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","52","±74","0","±19","0","±13","0","±13","9","±16","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","11","±18","60","±92","96","±152","98","±83","0","±13","0","±13","0","±13","0","±13","0","±19","0","±13","0","±13","0","±13","28","±37","0","±19","0","±13","17","±29","0","±19","0","±19","10","±12","0","±19","0","±13","57","±57","2","±5","0","±19","0","±19","0","±13","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","0","±19","0","±13","0","±13","0","±13","0","±13","0","±19","34","±52","0","±13","78","±89","0","±19","0","±19","0","±13","0","±19","0","±13","0","±13","0","±13","0","±13","0","±13","0","±13","0","±19","0","±19","0","±13","0","±19","0","±19","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","0","±19","0","±13","0","±13","0","±19","29","±44","0","±13"
"            No Medicare coverage","333","±116","239","±119","508","±188","291","±122","446","±136","439","±166","827","±193","780","±145","896","±217","1,061","±572","713","±187","721","±216","631","±221","460","±228","780","±407","477","±98","460","±171","744","±278","906","±352","956","±171","919","±339","999","±396","985","±237","1,284","±330","964","±304","1,163","±388","1,240","±374","864","±194","955","±206","482","±195","528","±191","874","±356","453","±165","941","±337","219","±94","492","±206","359","±115","388","±77","946","±258","643","±168","1,351","±415","505","±146","714","±315","365","±69","879","±194","587","±224","938","±456","1,051","±255","1,038","±285","831","±159","529","±176","668","±120","858","±205","442","±119","723","±183","380","±92","446","±117","1,074","±216","526","±173","828","±283","454","±138","421","±107","780","±157","1,076","±411","632","±193","1,258","±325","895","±176","1,395","±288","775","±142","731","±215","707","±181","871","±397","277","±90","521","±113","614","±263","1,199","±272","1,120","±428","673","±127","329","±309","1,125","±217","1,186","±330","478","±146","1,076","±235","1,367","±477","1,081","±212","525","±107","608","±239","663","±263","504","±210","346","±101","1,130","±276","1,198","±403","0","±13"
"        19 to 64 years:","985","±224","720","±126","1,503","±359","1,556","±331","1,184","±193","1,561","±325","1,825","±320","1,642","±237","1,926","±361","1,657","±313","1,479","±209","2,144","±448","1,628","±285","1,115","±240","1,650","±393","1,134","±187","1,546","±412","2,198","±431","2,319","±440","2,384","±394","1,531","±404","1,440","±317","1,710","±233","1,724","±277","2,062","±371","1,864","±259","1,873","±277","1,562","±361","1,908","±338","692","±158","960","±265","1,429","±373","948","±181","1,526","±309","147","±46","177","±101","1,327","±229","686","±161","1,972","±391","1,520","±237","2,232","±357","1,525","±199","1,702","±364","694","±139","1,631","±269","1,123","±167","1,430","±273","1,977","±333","1,860","±255","1,889","±208","1,574","±275","1,243","±159","1,699","±187","1,544","±283","2,627","±323","882","±196","871","±127","1,658","±178","877","±132","1,763","±253","1,082","±230","1,138","±192","1,488","±157","2,449","±485","1,533","±221","2,915","±487","1,783","±182","2,169","±292","1,238","±214","1,400","±226","1,405","±267","1,489","±281","800","±113","1,151","±396","1,133","±253","1,160","±210","1,517","±292","1,496","±170","533","±150","2,321","±329","2,508","±685","877","±121","1,645","±232","2,319","±333","1,711","±230","905","±158","1,269","±211","2,840","±562","1,602","±404","858","±216","2,688","±578","2,312","±392","0","±13"
"            With Medicare coverage","27","±24","17","±19","0","±13","35","±37","0","±13","23","±37","31","±29","54","±54","0","±19","9","±14","34","±36","7","±11","18","±33","5","±12","0","±19","0","±13","0","±13","34","±47","38","±41","17","±30","0","±19","0","±19","68","±59","13","±17","57","±61","0","±19","43","±53","0","±13","0","±19","38","±44","35","±52","64","±56","0","±13","0","±19","9","±11","1","±4","25","±42","29","±38","57","±37","13","±22","74","±103","23","±23","14","±21","0","±13","0","±19","41","±43","12","±20","61","±84","63","±75","1","±2","8","±14","26","±39","11","±16","26","±25","124","±76","9","±13","0","±13","33","±39","7","±12","0","±13","22","±24","0","±13","27","±24","1","±3","0","±13","268","±336","15","±27","0","±19","0","±13","0","±19","14","±21","0","±13","12","±12","44","±54","0","±13","17","±29","11","±21","9","±14","0","±13","0","±19","17","±19","3","±4","12","±26","47","±46","50","±57","11","±18","68","±109","45","±63","0","±13","33","±38","44","±71","7","±10","0","±13"
"            No Medicare coverage","958","±222","703","±124","1,503","±359","1,521","±338","1,184","±193","1,538","±327","1,794","±318","1,588","±225","1,926","±361","1,648","±312","1,445","±207","2,137","±449","1,610","±287","1,110","±239","1,650","±393","1,134","±187","1,546","±412","2,164","±431","2,281","±441","2,367","±388","1,531","±404","1,440","±317","1,642","±238","1,711","±275","2,005","±347","1,864","±259","1,830","±271","1,562","±361","1,908","±338","654","±169","925","±277","1,365","±367","948","±181","1,526","±309","138","±46","176","±101","1,302","±233","657","±162","1,915","±379","1,507","±233","2,158","±332","1,502","±205","1,688","±364","694","±139","1,631","±269","1,082","±163","1,418","±275","1,916","±338","1,797","±234","1,888","±208","1,566","±274","1,217","±162","1,688","±188","1,518","±282","2,503","±306","873","±196","871","±127","1,625","±177","870","±134","1,763","±253","1,060","±227","1,138","±192","1,461","±157","2,448","±485","1,533","±221","2,647","±367","1,768","±181","2,169","±292","1,238","±214","1,400","±226","1,391","±263","1,489","±281","788","±114","1,107","±389","1,133","±253","1,143","±206","1,506","±292","1,487","±172","533","±150","2,321","±329","2,491","±686","874","±121","1,633","±230","2,272","±331","1,661","±225","894","±152","1,201","±188","2,795","±555","1,602","±404","825","±203","2,644","±571","2,305","±392","0","±13"
"        65 years and over:","424","±123","84","±51","245","±138","88","±50","96","±48","87","±53","262","±87","185","±51","359","±177","130","±50","251","±103","96","±46","65","±39","123","±130","164","±84","220","±70","83","±68","208","±130","140","±81","286","±99","50","±46","87","±64","184","±78","130","±44","292","±103","197","±64","335","±82","191","±56","143","±39","674","±154","39","±36","237","±100","156","±143","109","±64","26","±14","0","±13","393","±214","464","±108","282","±57","240","±69","377","±139","491","±101","192","±87","166","±86","324","±69","359","±88","331","±95","380","±111","174","±62","352","±103","202","±140","199","±78","381","±63","292","±79","356","±88","193","±56","180","±65","286","±76","44","±34","135","±36","231","±91","178","±53","434","±121","282","±161","181","±93","209","±72","452","±91","128","±104","64","±45","409","±100","191","±126","112","±33","208","±38","79","±69","80","±54","90","±75","96","±37","490","±127","1,194","±267","323","±98","197","±136","116","±52","175","±76","300","±104","345","±96","591","±82","207","±82","195","±93","134","±44","103","±54","411","±238","189","±63","0","±13"
"            With Medicare coverage","424","±123","77","±49","221","±132","82","±50","71","±35","87","±53","243","±83","177","±48","359","±177","130","±50","239","±99","81","±45","54","±36","34","±59","164","±84","206","±73","51","±50","111","±79","129","±77","286","±99","50","±46","87","±64","158","±78","122","±45","278","±101","176","±64","335","±82","191","±56","134","±40","631","±153","39","±36","237","±100","69","±69","87","±58","26","±14","0","±13","354","±214","464","±108","273","±55","238","±70","304","±118","463","±99","183","±87","159","±85","324","±69","359","±88","323","±93","297","±115","148","±55","270","±95","202","±140","183","±80","326","±88","259","±74","356","±88","193","±56","166","±64","286","±76","44","±34","129","±36","225","±90","178","±53","419","±121","273","±159","130","±93","181","±75","412","±95","115","±103","64","±45","409","±100","158","±125","112","±33","202","±37","79","±69","62","±52","82","±72","93","±41","475","±129","1,164","±262","278","±83","177","±134","97","±43","137","±66","257","±92","327","±95","575","±81","157","±63","156","±88","134","±44","91","±57","373","±234","163","±57","0","±13"
