"Label (Grouping)","Census Tract 9001; Prince William County; Virginia!!Estimate","Census Tract 9001; Prince William County; Virginia!!Margin of Error","Census Tract 9002.01; Prince William County; Virginia!!Estimate","Census Tract 9002.01; Prince William County; Virginia!!Margin of Error","Census Tract 9002.02; Prince William County; Virginia!!Estimate","Census Tract 9002.02; Prince William County; Virginia!!Margin of Error","Census Tract 9002.03; Prince William County; Virginia!!Estimate","Census Tract 9002.03; Prince William County; Virginia!!Margin of Error","Census Tract 9003.01; Prince William County; Virginia!!Estimate","Census Tract 9003.01; Prince William County; Virginia!!Margin of Error","Census Tract 9003.02; Prince William County; Virginia!!Estimate","Census Tract 9003.02; Prince William County; Virginia!!Margin of Error","Census Tract 9004.03; Prince William County; Virginia!!Estimate","Census Tract 9004.03; Prince William County; Virginia!!Margin of Error","Census Tract 9004.04; Prince William County; Virginia!!Estimate","Census Tract 9004.04; Prince William County; Virginia!!Margin of Error","Census Tract 9004.07; Prince William County; Virginia!!Estimate","Census Tract 9004.07; Prince William County; Virginia!!Margin of Error","Census Tract 9004.08; Prince William County; Virginia!!Estimate","Census Tract 9004.08; Prince William County; Virginia!!Margin of Error","Census Tract 9004.09; Prince William County; Virginia!!Estimate","Census Tract 9004.09; Prince William County; Virginia!!Margin of Error","Census Tract 9004.10; Prince William County; Virginia!!Estimate","Census Tract 9004.10; Prince William County; Virginia!!Margin of Error","Census Tract 9005.02; Prince William County; Virginia!!Estimate","Census Tract 9005.02; Prince William County; Virginia!!Margin of Error","Census Tract 9005.03; Prince William County; Virginia!!Estimate","Census Tract 9005.03; Prince William County; Virginia!!Margin of Error","Census Tract 9005.04; Prince William County; Virginia!!Estimate","Census Tract 9005.04; Prince William County; Virginia!!Margin of Error","Census Tract 9006.01; Prince William County; Virginia!!Estimate","Census Tract 9006.01; Prince William County; Virginia!!Margin of Error","Census Tract 9006.02; Prince William County; Virginia!!Estimate","Census Tract 9006.02; Prince William County; Virginia!!Margin of Error","Census Tract 9007.01; Prince William County; Virginia!!Estimate","Census Tract 9007.01; Prince William County; Virginia!!Margin of Error","Census Tract 9007.02; Prince William County; Virginia!!Estimate","Census Tract 9007.02; Prince William County; Virginia!!Margin of Error","Census Tract 9008.01; Prince William County; Virginia!!Estimate","Census Tract 9008.01; Prince William County; Virginia!!Margin of Error","Census Tract 9008.03; Prince William County; Virginia!!Estimate","Census Tract 9008.03; Prince William County; Virginia!!Margin of Error","Census Tract 9008.04; Prince William County; Virginia!!Estimate","Census Tract 9008.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.01; Prince William County; Virginia!!Estimate","Census Tract 9009.01; Prince William County; Virginia!!Margin of Error","Census Tract 9009.04; Prince William County; Virginia!!Estimate","Census Tract 9009.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.05; Prince William County; Virginia!!Estimate","Census Tract 9009.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.05; Prince William County; Virginia!!Estimate","Census Tract 9010.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.09; Prince William County; Virginia!!Estimate","Census Tract 9010.09; Prince William County; Virginia!!Margin of Error","Census Tract 9010.10; Prince William County; Virginia!!Estimate","Census Tract 9010.10; Prince William County; Virginia!!Margin of Error","Census Tract 9010.11; Prince William County; Virginia!!Estimate","Census Tract 9010.11; Prince William County; Virginia!!Margin of Error","Census Tract 9010.12; Prince William County; Virginia!!Estimate","Census Tract 9010.12; Prince William County; Virginia!!Margin of Error","Census Tract 9010.13; Prince William County; Virginia!!Estimate","Census Tract 9010.13; Prince William County; Virginia!!Margin of Error","Census Tract 9010.14; Prince William County; Virginia!!Estimate","Census Tract 9010.14; Prince William County; Virginia!!Margin of Error","Census Tract 9010.15; Prince William County; Virginia!!Estimate","Census Tract 9010.15; Prince William County; Virginia!!Margin of Error","Census Tract 9010.16; Prince William County; Virginia!!Estimate","Census Tract 9010.16; Prince William County; Virginia!!Margin of Error","Census Tract 9011.01; Prince William County; Virginia!!Estimate","Census Tract 9011.01; Prince William County; Virginia!!Margin of Error","Census Tract 9011.02; Prince William County; Virginia!!Estimate","Census Tract 9011.02; Prince William County; Virginia!!Margin of Error","Census Tract 9012.03; Prince William County; Virginia!!Estimate","Census Tract 9012.03; Prince William County; Virginia!!Margin of Error","Census Tract 9012.08; Prince William County; Virginia!!Estimate","Census Tract 9012.08; Prince William County; Virginia!!Margin of Error","Census Tract 9012.09; Prince William County; Virginia!!Estimate","Census Tract 9012.09; Prince William County; Virginia!!Margin of Error","Census Tract 9012.11; Prince William County; Virginia!!Estimate","Census Tract 9012.11; Prince William County; Virginia!!Margin of Error","Census Tract 9012.12; Prince William County; Virginia!!Estimate","Census Tract 9012.12; Prince William County; Virginia!!Margin of Error","Census Tract 9012.19; Prince William County; Virginia!!Estimate","Census Tract 9012.19; Prince William County; Virginia!!Margin of Error","Census Tract 9012.21; Prince William County; Virginia!!Estimate","Census Tract 9012.21; Prince William County; Virginia!!Margin of Error","Census Tract 9012.22; Prince William County; Virginia!!Estimate","Census Tract 9012.22; Prince William County; Virginia!!Margin of Error","Census Tract 9012.23; Prince William County; Virginia!!Estimate","Census Tract 9012.23; Prince William County; Virginia!!Margin of Error","Census Tract 9012.24; Prince William County; Virginia!!Estimate","Census Tract 9012.24; Prince William County; Virginia!!Margin of Error","Census Tract 9012.25; Prince William County; Virginia!!Estimate","Census Tract 9012.25; Prince William County; Virginia!!Margin of Error","Census Tract 9012.26; Prince William County; Virginia!!Estimate","Census Tract 9012.26; Prince William County; Virginia!!Margin of Error","Census Tract 9012.27; Prince William County; Virginia!!Estimate","Census Tract 9012.27; Prince William County; Virginia!!Margin of Error","Census Tract 9012.28; Prince William County; Virginia!!Estimate","Census Tract 9012.28; Prince William County; Virginia!!Margin of Error","Census Tract 9012.29; Prince William County; Virginia!!Estimate","Census Tract 9012.29; Prince William County; Virginia!!Margin of Error","Census Tract 9012.30; Prince William County; Virginia!!Estimate","Census Tract 9012.30; Prince William County; Virginia!!Margin of Error","Census Tract 9012.31; Prince William County; Virginia!!Estimate","Census Tract 9012.31; Prince William County; Virginia!!Margin of Error","Census Tract 9012.32; Prince William County; Virginia!!Estimate","Census Tract 9012.32; Prince William County; Virginia!!Margin of Error","Census Tract 9012.33; Prince William County; Virginia!!Estimate","Census Tract 9012.33; Prince William County; Virginia!!Margin of Error","Census Tract 9012.34; Prince William County; Virginia!!Estimate","Census Tract 9012.34; Prince William County; Virginia!!Margin of Error","Census Tract 9012.35; Prince William County; Virginia!!Estimate","Census Tract 9012.35; Prince William County; Virginia!!Margin of Error","Census Tract 9012.36; Prince William County; Virginia!!Estimate","Census Tract 9012.36; Prince William County; Virginia!!Margin of Error","Census Tract 9012.37; Prince William County; Virginia!!Estimate","Census Tract 9012.37; Prince William County; Virginia!!Margin of Error","Census Tract 9013.03; Prince William County; Virginia!!Estimate","Census Tract 9013.03; Prince William County; Virginia!!Margin of Error","Census Tract 9013.04; Prince William County; Virginia!!Estimate","Census Tract 9013.04; Prince William County; Virginia!!Margin of Error","Census Tract 9013.05; Prince William County; Virginia!!Estimate","Census Tract 9013.05; Prince William County; Virginia!!Margin of Error","Census Tract 9013.06; Prince William County; Virginia!!Estimate","Census Tract 9013.06; Prince William County; Virginia!!Margin of Error","Census Tract 9014.03; Prince William County; Virginia!!Estimate","Census Tract 9014.03; Prince William County; Virginia!!Margin of Error","Census Tract 9014.07; Prince William County; Virginia!!Estimate","Census Tract 9014.07; Prince William County; Virginia!!Margin of Error","Census Tract 9014.09; Prince William County; Virginia!!Estimate","Census Tract 9014.09; Prince William County; Virginia!!Margin of Error","Census Tract 9014.11; Prince William County; Virginia!!Estimate","Census Tract 9014.11; Prince William County; Virginia!!Margin of Error","Census Tract 9014.12; Prince William County; Virginia!!Estimate","Census Tract 9014.12; Prince William County; Virginia!!Margin of Error","Census Tract 9014.13; Prince William County; Virginia!!Estimate","Census Tract 9014.13; Prince William County; Virginia!!Margin of Error","Census Tract 9014.14; Prince William County; Virginia!!Estimate","Census Tract 9014.14; Prince William County; Virginia!!Margin of Error","Census Tract 9014.15; Prince William County; Virginia!!Estimate","Census Tract 9014.15; Prince William County; Virginia!!Margin of Error","Census Tract 9014.16; Prince William County; Virginia!!Estimate","Census Tract 9014.16; Prince William County; Virginia!!Margin of Error","Census Tract 9014.17; Prince William County; Virginia!!Estimate","Census Tract 9014.17; Prince William County; Virginia!!Margin of Error","Census Tract 9014.18; Prince William County; Virginia!!Estimate","Census Tract 9014.18; Prince William County; Virginia!!Margin of Error","Census Tract 9014.19; Prince William County; Virginia!!Estimate","Census Tract 9014.19; Prince William County; Virginia!!Margin of Error","Census Tract 9014.20; Prince William County; Virginia!!Estimate","Census Tract 9014.20; Prince William County; Virginia!!Margin of Error","Census Tract 9014.21; Prince William County; Virginia!!Estimate","Census Tract 9014.21; Prince William County; Virginia!!Margin of Error","Census Tract 9015.03; Prince William County; Virginia!!Estimate","Census Tract 9015.03; Prince William County; Virginia!!Margin of Error","Census Tract 9015.04; Prince William County; Virginia!!Estimate","Census Tract 9015.04; Prince William County; Virginia!!Margin of Error","Census Tract 9015.05; Prince William County; Virginia!!Estimate","Census Tract 9015.05; Prince William County; Virginia!!Margin of Error","Census Tract 9015.06; Prince William County; Virginia!!Estimate","Census Tract 9015.06; Prince William County; Virginia!!Margin of Error","Census Tract 9015.07; Prince William County; Virginia!!Estimate","Census Tract 9015.07; Prince William County; Virginia!!Margin of Error","Census Tract 9015.08; Prince William County; Virginia!!Estimate","Census Tract 9015.08; Prince William County; Virginia!!Margin of Error","Census Tract 9015.09; Prince William County; Virginia!!Estimate","Census Tract 9015.09; Prince William County; Virginia!!Margin of Error","Census Tract 9015.10; Prince William County; Virginia!!Estimate","Census Tract 9015.10; Prince William County; Virginia!!Margin of Error","Census Tract 9015.11; Prince William County; Virginia!!Estimate","Census Tract 9015.11; Prince William County; Virginia!!Margin of Error","Census Tract 9016.01; Prince William County; Virginia!!Estimate","Census Tract 9016.01; Prince William County; Virginia!!Margin of Error","Census Tract 9016.02; Prince William County; Virginia!!Estimate","Census Tract 9016.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.02; Prince William County; Virginia!!Estimate","Census Tract 9017.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.03; Prince William County; Virginia!!Estimate","Census Tract 9017.03; Prince William County; Virginia!!Margin of Error","Census Tract 9017.04; Prince William County; Virginia!!Estimate","Census Tract 9017.04; Prince William County; Virginia!!Margin of Error","Census Tract 9019; Prince William County; Virginia!!Estimate","Census Tract 9019; Prince William County; Virginia!!Margin of Error","Census Tract 9801; Prince William County; Virginia!!Estimate","Census Tract 9801; Prince William County; Virginia!!Margin of Error"
"Total:","2,945","±406","3,169","±466","3,434","±909","4,876","±857","3,465","±439","4,968","±842","5,760","±769","5,845","±680","6,861","±730","5,446","±980","4,811","±562","5,547","±873","4,342","±721","3,733","±667","5,459","±1,554","3,453","±386","3,545","±647","7,898","±983","7,718","±1,525","7,011","±671","5,998","±741","5,531","±674","6,243","±587","7,431","±875","6,210","±894","6,746","±788","7,117","±715","4,676","±840","6,497","±678","3,643","±384","3,414","±499","5,037","±1,042","3,548","±419","5,933","±889","1,274","±266","1,902","±306","3,804","±652","3,337","±325","6,548","±669","4,757","±482","7,225","±997","5,332","±610","6,327","±1,291","2,528","±234","6,217","±653","4,305","±527","4,945","±903","6,348","±625","6,181","±941","6,445","±479","4,682","±954","4,004","±415","6,380","±726","5,357","±688","7,127","±718","3,142","±371","2,784","±324","6,646","±542","3,023","±285","5,242","±744","3,181","±423","3,888","±495","5,068","±379","7,373","±1,217","4,207","±534","9,124","±1,101","5,767","±405","7,589","±870","4,277","±431","5,453","±651","4,477","±738","5,099","±1,245","3,054","±307","4,324","±974","3,789","±620","4,184","±513","5,323","±1,168","5,509","±434","4,741","±635","7,166","±822","6,803","±1,525","2,948","±280","6,035","±588","7,913","±1,171","6,325","±529","4,498","±322","3,596","±736","7,912","±1,147","4,796","±816","2,574","±353","7,114","±1,394","8,107","±1,036","0","±13"
"    Male:","1,443","±223","1,288","±214","1,828","±496","2,109","±352","1,648","±351","2,383","±502","2,807","±393","2,500","±345","3,318","±441","2,856","±768","2,043","±298","2,650","±582","2,064","±385","1,854","±453","2,501","±715","1,961","±226","1,880","±429","4,047","±557","3,490","±650","3,600","±459","3,175","±552","2,235","±306","2,887","±449","3,903","±575","3,642","±654","3,529","±560","3,430","±456","2,414","±616","3,417","±449","1,634","±259","1,591","±320","2,852","±569","1,444","±341","2,957","±521","512","±147","695","±195","2,149","±391","1,585","±210","3,138","±384","2,309","±268","3,625","±626","2,541","±270","2,738","±502","1,309","±164","3,029","±417","2,066","±305","2,508","±652","3,224","±459","3,199","±486","3,040","±292","2,057","±433","2,071","±342","3,330","±462","2,592","±323","3,782","±480","1,448","±213","1,502","±218","3,085","±345","1,472","±205","2,850","±479","1,882","±337","1,855","±285","2,545","±242","3,952","±802","2,127","±342","4,553","±612","2,832","±295","3,741","±416","2,073","±305","2,740","±379","2,321","±411","2,468","±622","1,478","±177","1,948","±461","1,600","±469","2,170","±309","2,643","±655","2,896","±271","2,118","±416","3,550","±420","3,661","±925","1,594","±225","3,094","±384","4,269","±640","3,077","±355","2,114","±215","1,580","±421","4,211","±762","2,596","±503","1,317","±218","4,269","±917","4,407","±759","0","±13"
"        Under 19 years:","81","±64","278","±131","360","±169","771","±288","343","±166","699","±273","720","±177","521","±136","1,056","±313","1,195","±597","394","±162","682","±251","600","±198","486","±211","709","±409","589","±160","276","±167","1,221","±467","976","±305","901","±257","903","±300","608","±244","1,134","±309","1,492","±361","939","±285","1,385","±421","1,196","±304","770","±314","946","±204","387","±135","548","±198","978","±362","416","±177","1,110","±294","224","±99","574","±170","459","±109","436","±117","869","±180","553","±124","1,224","±411","535","±154","780","±349","400","±98","810","±196","638","±226","908","±438","979","±265","994","±306","888","±154","480","±195","551","±179","912","±241","534","±133","1,170","±340","289","±114","511","±125","990","±235","492","±139","900","±262","536","±158","500","±121","562","±157","1,102","±385","515","±177","1,391","±303","785","±150","1,322","±234","677","±168","806","±229","774","±180","795","±408","337","±116","557","±149","554","±281","878","±257","1,098","±436","852","±141","332","±305","1,056","±249","1,156","±329","553","±148","1,040","±261","1,468","±473","915","±203","511","±123","426","±239","1,014","±299","762","±230","337","±75","1,225","±380","1,333","±462","0","±13"
"            With Medicare coverage","0","±13","0","±13","0","±13","0","±13","0","±13","0","±19","0","±19","0","±19","0","±19","0","±19","0","±13","0","±19","0","±13","13","±27","0","±19","0","±13","0","±13","9","±16","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","0","±19","19","±28","60","±91","95","±151","150","±144","0","±13","0","±13","0","±19","0","±13","0","±19","0","±13","0","±13","0","±13","43","±58","8","±12","0","±13","35","±40","0","±19","0","±19","7","±10","0","±19","0","±13","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","0","±19","0","±19","0","±19","0","±13","0","±13","0","±19","0","±13","9","±14","0","±13","0","±13","0","±19","0","±19","0","±13","103","±116","0","±19","0","±19","0","±13","0","±19","7","±11","0","±19","0","±13","0","±13","0","±13","0","±13","0","±19","0","±19","0","±13","0","±19","11","±17","0","±13","0","±19","0","±19","0","±19","0","±13","23","±35","19","±35","22","±28","0","±13","0","±19","0","±19","0","±13"
"            No Medicare coverage","81","±64","278","±131","360","±169","771","±288","343","±166","699","±273","720","±177","521","±136","1,056","±313","1,195","±597","394","±162","682","±251","600","±198","473","±216","709","±409","589","±160","276","±167","1,212","±467","976","±305","901","±257","903","±300","608","±244","1,134","±309","1,492","±361","939","±285","1,366","±424","1,136","±311","675","±185","796","±239","387","±135","548","±198","978","±362","416","±177","1,110","±294","224","±99","574","±170","459","±109","393","±113","861","±182","553","±124","1,189","±419","535","±154","780","±349","393","±98","810","±196","638","±226","908","±438","979","±265","994","±306","888","±154","480","±195","551","±179","912","±241","534","±133","1,170","±340","289","±114","511","±125","990","±235","492","±139","891","±262","536","±158","500","±121","562","±157","1,102","±385","515","±177","1,288","±245","785","±150","1,322","±234","677","±168","806","±229","767","±183","795","±408","337","±116","557","±149","554","±281","878","±257","1,098","±436","852","±141","332","±305","1,056","±249","1,145","±330","553","±148","1,040","±261","1,468","±473","915","±203","511","±123","403","±237","995","±299","740","±226","337","±75","1,225","±380","1,333","±462","0","±13"
"        19 to 64 years:","956","±214","847","±168","1,218","±378","1,255","±272","1,169","±248","1,547","±340","1,822","±289","1,750","±312","1,985","±331","1,495","±281","1,360","±212","1,830","±448","1,342","±256","1,154","±266","1,532","±349","1,193","±227","1,485","±407","2,627","±450","2,324","±467","2,372","±367","2,038","±385","1,470","±268","1,541","±284","2,225","±347","2,427","±491","1,905","±228","1,825","±261","1,384","±389","2,161","±333","619","±139","959","±216","1,662","±333","882","±171","1,742","±341","260","±80","121","±83","1,333","±245","779","±142","1,974","±378","1,562","±248","2,049","±335","1,514","±216","1,665","±342","737","±117","1,773","±346","1,047","±125","1,335","±279","1,940","±308","1,908","±273","1,828","±238","1,384","±251","1,317","±230","1,995","±306","1,716","±299","2,242","±302","950","±185","850","±142","1,800","±202","943","±121","1,782","±301","1,095","±224","1,166","±239","1,540","±181","2,445","±552","1,474","±275","2,983","±524","1,614","±208","2,253","±285","1,298","±242","1,550","±225","1,310","±278","1,565","±237","931","±130","1,319","±379","942","±313","1,205","±165","1,453","±276","1,544","±193","576","±200","2,015","±334","2,342","±663","922","±131","1,913","±244","2,454","±335","1,759","±236","993","±147","955","±230","2,885","±603","1,634","±443","877","±210","2,539","±748","2,797","±416","0","±13"
"            With Medicare coverage","11","±20","19","±22","0","±13","12","±25","6","±10","23","±39","69","±72","1","±2","0","±19","0","±19","0","±13","10","±16","0","±13","6","±11","13","±28","2","±4","0","±13","18","±26","38","±35","55","±65","13","±22","17","±28","22","±28","8","±11","148","±148","0","±19","35","±48","15","±20","12","±18","53","±47","49","±55","0","±19","2","±3","112","±151","22","±20","1","±7","74","±79","62","±49","19","±24","22","±30","0","±19","3","±11","13","±20","0","±13","27","±44","15","±24","36","±39","11","±17","91","±104","4","±10","18","±21","0","±13","0","±19","4","±6","41","±42","1","±5","0","±13","27","±33","4","±10","0","±19","25","±27","0","±13","17","±19","1","±2","0","±13","253","±326","0","±19","0","±19","0","±13","0","±19","20","±25","0","±19","7","±12","42","±54","0","±13","26","±31","15","±17","11","±16","34","±56","0","±19","24","±26","8","±10","42","±60","38","±39","53","±64","0","±13","97","±118","51","±66","31","±33","22","±28","1","±2","9","±17","0","±13"
"            No Medicare coverage","945","±208","828","±173","1,218","±378","1,243","±274","1,163","±248","1,524","±342","1,753","±292","1,749","±312","1,985","±331","1,495","±281","1,360","±212","1,820","±455","1,342","±256","1,148","±265","1,519","±347","1,191","±227","1,485","±407","2,609","±447","2,286","±472","2,317","±372","2,025","±385","1,453","±270","1,519","±278","2,217","±347","2,279","±395","1,905","±228","1,790","±267","1,369","±391","2,149","±338","566","±144","910","±231","1,662","±333","880","±171","1,630","±337","238","±79","120","±84","1,259","±242","717","±141","1,955","±373","1,540","±250","2,049","±335","1,511","±218","1,652","±338","737","±117","1,746","±359","1,032","±129","1,299","±276","1,929","±309","1,817","±231","1,824","±241","1,366","±249","1,317","±230","1,995","±306","1,712","±299","2,201","±308","949","±184","850","±142","1,773","±203","939","±120","1,782","±301","1,070","±231","1,166","±239","1,523","±181","2,444","±552","1,474","±275","2,730","±397","1,614","±208","2,253","±285","1,298","±242","1,550","±225","1,290","±276","1,565","±237","924","±130","1,277","±375","942","±313","1,179","±160","1,438","±278","1,533","±193","542","±200","2,015","±334","2,318","±661","914","±130","1,871","±251","2,416","±334","1,706","±214","993","±147","858","±225","2,834","±596","1,603","±440","855","±199","2,538","±748","2,788","±414","0","±13"
"        65 years and over:","406","±128","163","±86","250","±124","83","±53","136","±51","137","±81","265","±84","229","±89","277","±154","166","±57","289","±118","138","±94","122","±75","214","±116","260","±94","179","±79","119","±103","199","±81","190","±96","327","±98","234","±171","157","±90","212","±77","186","±85","276","±108","239","±63","409","±87","260","±71","310","±61","628","±130","84","±56","212","±59","146","±115","105","±53","28","±19","0","±13","357","±212","370","±78","295","±81","194","±107","352","±113","492","±100","293","±123","172","±85","446","±106","381","±86","265","±87","305","±111","297","±106","324","±83","193","±134","203","±66","423","±73","342","±81","370","±89","209","±47","141","±43","295","±89","37","±32","168","±39","251","±94","189","±45","443","±127","405","±176","138","±86","179","±112","433","±91","166","±107","98","±46","384","±72","237","±136","108","±64","210","±48","72","±51","104","±65","87","±45","92","±65","500","±112","1,210","±262","479","±116","163","±134","119","±49","141","±69","347","±108","403","±106","610","±76","199","±73","312","±92","200","±59","103","±40","505","±250","277","±89","0","±13"
"            With Medicare coverage","406","±128","145","±82","250","±124","79","±54","128","±51","137","±81","256","±86","206","±84","277","±154","166","±57","263","±117","122","±93","113","±73","58","±48","229","±98","154","±79","80","±74","129","±95","177","±90","302","±93","234","±171","157","±90","194","±80","159","±81","224","±101","218","±63","409","±87","260","±71","290","±63","574","±132","84","±56","212","±59","146","±115","105","±53","28","±19","0","±13","344","±215","370","±78","295","±81","175","±106","201","±69","456","±102","270","±122","166","±85","428","±100","375","±84","265","±87","217","±102","242","±89","306","±83","186","±133","203","±66","356","±115","328","±84","348","±96","200","±47","117","±39","295","±89","37","±32","148","±39","246","±94","189","±45","421","±123","405","±176","125","±84","117","±54","387","±89","166","±107","98","±46","379","±72","151","±126","93","±61","210","±48","72","±51","94","±56","69","±49","78","±63","444","±118","1,174","±264","400","±92","157","±133","97","±41","141","±69","273","±91","393","±106","595","±77","164","±66","270","±85","144","±58","73","±41","450","±249","248","±85","0","±13"
