censustract,male_coverage_rate_2024,male_coverage_rate_2023,male_coverage_rate_2022,male_coverage_rate_2021,male_coverage_rate_2020,female_coverage_rate_2024,female_coverage_rate_2023,female_coverage_rate_2022,female_coverage_rate_2021,female_coverage_rate_2020,total_coverage_rate_2024,total_coverage_rate_2023,total_coverage_rate_2022,total_coverage_rate_2021,total_coverage_rate_2020
9001,25.87,28.9,27.46,25.89,22.12,33.85,33.02,33.29,31.85,27.44,30.09,31.0,30.42,28.78,24.69
9002.01,11.62,12.73,8.37,9.01,8.74,7.54,8.45,8.91,6.27,8.3,9.21,10.19,8.67,7.51,8.5
9002.02,15.32,13.68,8.16,9.8,5.83,10.33,9.59,5.02,7.12,11.45,12.9,11.77,6.71,8.54,8.52
9002.03,8.43,4.31,8.91,6.05,6.98,7.22,4.05,4.41,4.3,3.92,7.7,4.16,6.3,5.04,5.19
9003.01,12.19,8.13,6.01,4.11,3.34,11.95,13.87,11.35,10.6,11.01,12.06,11.14,8.78,7.31,7.2
9003.02,8.86,6.71,5.35,5.27,3.64,9.57,10.1,6.67,5.49,6.14,9.21,8.47,6.09,5.4,5.06
9004.03,10.41,11.58,11.2,9.4,11.13,12.1,13.31,13.34,11.76,15.31,11.31,12.47,12.28,10.65,13.54
9004.04,11.94,8.28,5.44,8.86,9.83,10.67,10.19,9.3,9.01,7.76,11.21,9.37,7.6,8.94,8.67
9004.07,7.59,8.35,9.76,11.29,9.37,12.07,9.54,8.43,10.38,7.96,9.95,8.96,9.08,10.81,8.67
9004.08,7.11,5.81,5.07,4.88,6.31,11.39,9.42,9.81,10.84,7.38,9.09,7.53,7.31,7.74,6.85
9004.09,15.06,12.87,11.65,11.17,13.82,12.85,12.17,12.12,12.28,12.54,13.8,12.47,11.9,11.75,13.14
9004.10,5.06,4.98,4.08,2.97,1.52,5.25,4.49,3.86,2.47,4.73,5.15,4.72,3.98,2.73,3.02
9005.02,6.56,5.47,5.34,3.1,1.21,7.17,6.1,7.77,6.19,4.24,6.91,5.8,6.54,4.67,2.8
9005.03,6.98,4.15,7.67,5.2,5.77,10.74,8.62,7.83,7.38,7.48,8.86,6.4,7.76,6.36,6.66
9005.04,7.35,9.68,9.77,6.32,8.57,10.36,11.19,12.03,14.8,12.25,8.92,10.5,10.99,10.78,10.64
9006.01,10.71,7.96,10.3,11.25,9.88,11.25,10.59,16.56,15.23,13.67,10.94,9.1,13.4,13.16,11.76
9006.02,3.17,4.26,3.56,2.44,4.34,7.02,6.13,6.63,6.36,6.49,5.08,5.14,4.95,4.27,5.3
9007.01,5.63,3.85,3.84,4.87,1.37,9.93,7.76,6.78,5.59,1.62,7.71,5.76,5.32,5.24,1.5
9007.02,4.47,6.16,3.65,4.96,4.01,12.72,14.83,15.12,16.08,16.72,8.77,10.91,9.64,11.24,10.87
9008.01,8.37,9.92,8.65,8.36,6.73,10.22,11.08,10.76,10.11,14.7,9.29,10.48,9.66,9.2,10.54
9008.03,7.39,7.78,2.44,2.0,2.38,10.04,11.48,9.62,10.97,8.34,8.52,9.52,6.24,6.87,5.91
9008.04,8.0,7.79,5.29,3.44,11.14,6.76,7.77,6.24,5.41,6.59,7.3,7.78,5.87,4.54,8.46
9009.01,6.05,7.48,8.31,7.85,8.02,9.69,10.64,10.41,9.41,9.16,8.06,9.18,9.44,8.68,8.63
9009.04,5.69,4.28,3.48,4.3,5.2,6.31,6.83,5.64,6.88,7.13,5.99,5.49,4.55,5.62,6.16
9009.05,11.11,10.21,10.29,10.1,10.72,10.63,12.03,13.62,10.48,11.96,10.89,10.96,11.78,10.28,11.31
9010.05,6.66,6.72,5.65,5.78,3.76,6.75,6.4,4.57,4.75,4.74,6.7,6.57,5.11,5.26,4.24
9010.09,14.26,14.69,12.29,12.49,11.75,12.24,12.67,12.09,12.84,14.46,13.26,13.64,12.19,12.66,13.07
9010.10,17.19,15.33,12.91,10.58,11.25,12.84,11.27,11.69,7.58,6.65,14.91,13.37,12.37,9.26,9.21
9010.11,11.25,13.23,8.02,7.47,4.03,16.01,14.19,13.98,14.38,9.68,13.49,13.69,10.89,10.79,6.87
9010.12,45.09,38.37,39.08,36.2,39.46,50.56,47.49,53.59,50.13,51.52,48.1,43.4,46.76,43.4,45.61
9010.13,10.4,8.36,6.01,4.85,3.08,12.58,12.67,9.94,6.4,7.6,11.48,10.66,8.07,5.71,5.66
9010.14,7.69,7.43,10.12,11.85,14.75,11.6,13.04,12.72,10.55,10.48,9.43,9.86,11.3,11.24,12.77
9010.15,8.67,10.25,5.39,4.43,6.54,2.27,1.57,1.92,1.41,2.95,4.83,5.1,3.35,2.79,4.63
9010.16,7.98,7.34,4.85,3.38,3.49,9.0,8.43,10.15,9.58,11.86,8.49,7.89,7.57,6.45,7.78
9011.01,8.52,9.77,9.63,8.93,11.56,8.86,8.27,10.32,12.59,9.74,8.72,8.87,10.03,11.1,10.45
9011.02,3.79,0.14,0.27,0.15,0.28,0.0,0.0,0.0,0.0,0.0,1.28,0.05,0.1,0.06,0.11
9012.03,18.85,19.45,18.74,18.23,19.79,12.19,10.82,8.04,8.44,11.36,16.06,15.7,14.07,13.87,15.92
9012.08,31.83,29.97,29.88,33.27,27.64,35.03,34.7,32.73,32.75,31.76,33.49,32.45,31.37,32.99,30.01
9012.09,10.78,10.26,9.84,10.31,11.73,17.91,19.21,16.07,13.74,12.01,14.63,14.92,13.15,12.11,11.88
9012.11,11.44,8.53,7.17,10.45,10.97,13.84,10.74,7.57,8.89,8.41,12.72,9.67,7.36,9.68,9.67
9012.12,10.19,6.51,9.4,9.93,9.14,8.92,8.86,10.62,9.46,9.29,9.6,7.68,9.98,9.7,9.21
