censustract,prop_under150poverty_2024,prop_under150poverty_2023,prop_under150poverty_2022,prop_under150poverty_2021,prop_under150poverty_2020
9001,2.32,2.7,3.15,3.63,4.59
9002.01,34.46,25.48,25.62,17.5,15.66
9002.02,5.13,4.55,3.03,2.9,3.23
9002.03,26.98,34.74,23.01,24.72,21.09
9003.01,20.88,22.31,20.95,19.67,17.92
9003.02,22.26,23.36,22.78,18.84,15.45
9004.03,14.81,13.09,19.9,18.43,24.04
9004.04,24.27,26.98,26.58,20.49,20.68
9004.07,12.82,14.1,16.79,17.38,13.7
9004.08,11.33,11.27,5.85,7.09,6.47
9004.09,6.45,6.54,7.46,11.62,9.49
9004.10,18.64,15.6,14.9,11.52,14.98
9005.02,5.96,4.65,5.73,3.72,2.33
9005.03,18.66,26.96,15.64,16.71,18.46
9005.04,36.35,34.26,38.62,35.78,40.84
9006.01,20.09,21.93,40.87,47.45,39.07
9006.02,28.61,22.71,28.64,32.87,39.44
9007.01,14.99,12.83,20.18,10.07,16.85
9007.02,9.94,10.26,12.16,12.67,19.79
9008.01,1.23,1.0,2.86,3.04,5.97
9008.03,22.58,24.24,18.57,19.63,19.96
9008.04,8.39,3.41,5.2,9.92,12.28
9009.01,25.07,33.49,24.03,29.5,30.02
9009.04,11.84,5.69,5.66,7.98,10.79
9009.05,10.38,11.36,11.2,6.57,10.47
9010.05,2.39,2.13,3.34,3.18,1.87
9010.09,1.04,3.17,5.9,6.63,6.32
9010.10,12.3,4.3,1.32,1.41,2.16
9010.11,8.56,6.99,9.17,11.58,11.42
9010.12,10.71,14.72,14.58,15.98,13.92
9010.13,9.46,8.76,22.25,20.02,17.07
9010.14,7.76,9.96,9.96,10.64,8.04
9010.15,18.9,11.65,15.94,20.91,27.65
9010.16,13.4,6.4,11.81,9.21,10.48
9011.01,19.58,20.83,21.06,13.89,20.87
9011.02,18.76,19.95,21.2,17.11,12.47
9012.03,2.75,11.92,11.62,11.02,11.49
9012.08,25.02,15.73,19.09,19.92,18.89
9012.09,20.59,21.27,15.41,13.83,9.64
9012.11,16.25,14.17,17.7,22.89,20.77
9012.12,10.33,12.58,14.53,17.9,13.66
9012.19,1.27,2.77,1.21,2.9,4.26
9012.21,17.78,13.68,13.72,5.56,5.28
9012.22,4.45,4.19,6.21,6.35,7.83
9012.23,6.0,8.24,7.75,11.37,9.86
9012.24,4.18,5.26,6.06,7.53,11.6
9012.25,3.61,5.82,3.25,5.0,6.83
9012.26,7.22,7.29,5.84,5.92,6.8
9012.27,7.48,7.9,9.25,6.43,8.15
9012.28,14.5,11.21,9.31,5.37,7.19
9012.29,10.31,8.46,6.36,5.64,3.28
9012.30,8.89,11.95,9.14,2.3,2.39
9012.31,7.09,6.94,6.33,5.94,6.17
9012.32,6.36,6.13,6.85,3.32,2.61
9012.33,9.87,11.34,12.1,13.76,5.48
9012.34,3.17,4.65,4.18,3.09,2.47
9012.35,1.92,2.55,1.8,4.09,3.02
9012.36,1.27,3.42,4.0,5.03,5.81
9012.37,10.99,10.17,10.19,15.77,18.55
9013.03,8.08,7.95,2.46,1.83,1.91
9013.04,5.74,5.27,6.41,6.6,7.2
9013.05,6.15,7.25,5.75,3.91,4.5
9013.06,9.72,9.33,3.5,4.48,2.71
9014.03,13.14,22.09,20.92,20.13,19.67
9014.07,20.7,17.19,19.68,19.66,23.58
9014.09,7.85,6.94,7.55,5.64,4.49
9014.11,4.95,5.09,4.93,4.24,4.03
9014.12,3.57,3.22,3.59,2.69,4.76
9014.13,6.53,2.18,1.98,0.93,0.78
9014.14,4.98,4.47,3.81,3.82,2.8
9014.15,1.36,0.98,0.0,2.35,1.94
9014.16,18.73,19.65,19.27,18.43,21.71
9014.17,3.19,6.06,7.79,7.54,4.81
9014.18,17.18,19.44,13.49,17.9,12.98
9014.19,32.65,35.6,34.56,32.38,33.5
9014.20,3.77,2.84,4.57,3.0,2.65
9014.21,3.33,2.74,1.96,6.78,5.39
9015.03,1.34,1.47,2.39,2.09,2.34
9015.04,3.52,4.53,2.54,3.3,2.01
9015.05,2.64,5.06,4.95,6.22,3.59
9015.06,5.4,7.04,7.32,6.7,5.96
9015.07,8.46,8.46,8.18,7.74,6.23
9015.08,15.05,14.85,12.31,11.41,10.77
9015.09,5.14,4.84,4.04,2.24,2.22
9015.10,1.76,3.19,2.6,3.67,3.65
9015.11,3.47,1.86,1.6,1.9,1.58
9016.01,26.52,27.2,23.23,22.91,27.34
9016.02,13.05,12.4,10.18,7.42,13.68
9017.02,17.06,14.55,17.12,9.96,10.9
9017.03,7.74,5.08,3.33,8.6,7.68
9017.04,17.92,16.89,17.47,18.61,26.3
9019,23.65,15.91,17.19,26.53,25.68
9801,,,,,
