censustract,prop_with_public_assistance_2024,prop_with_public_assistance_2023,prop_with_public_assistance_2022,prop_with_public_assistance_2021,prop_with_public_assistance_2020
9001,0.61,0.59,0.58,0.58,0.48
9002.01,0.0,0.0,0.0,0.0,0.0
9002.02,0.65,0.47,1.96,1.54,0.71
9002.03,0.0,0.0,0.0,0.0,0.57
9003.01,1.0,0.46,2.86,3.97,3.96
9003.02,1.35,1.8,2.16,4.74,1.17
9004.03,1.96,3.11,2.05,2.26,2.38
9004.04,0.79,1.12,0.75,0.0,0.0
9004.07,1.15,0.0,3.37,3.2,2.0
9004.08,1.47,1.48,2.67,2.71,0.84
9004.09,2.79,2.86,2.15,1.99,2.42
9004.10,3.52,1.19,1.25,0.91,1.7
9005.02,7.04,4.42,5.34,4.81,3.51
9005.03,0.0,0.0,0.0,0.0,2.6
9005.04,10.39,11.09,13.21,12.14,9.1
9006.01,0.0,0.0,0.0,0.0,1.58
9006.02,6.62,1.13,0.0,0.0,0.0
9007.01,3.01,2.24,0.0,0.0,0.0
9007.02,2.45,2.82,3.15,1.08,0.43
9008.01,0.0,0.0,0.0,0.31,0.37
9008.03,1.56,1.68,5.8,4.65,4.85
9008.04,2.22,0.31,0.0,0.0,0.0
9009.01,0.0,0.82,0.93,1.83,2.99
9009.04,1.57,2.47,0.62,0.72,2.24
9009.05,1.16,0.64,0.76,0.61,2.19
9010.05,2.64,3.26,2.47,1.21,1.21
9010.09,0.96,0.92,0.8,0.0,0.0
9010.10,0.22,1.01,1.0,0.29,0.53
9010.11,1.39,1.82,2.22,2.93,1.01
9010.12,2.04,2.06,1.65,2.04,0.83
9010.13,0.0,0.0,0.0,0.0,0.0
9010.14,2.41,1.6,2.83,4.31,4.94
9010.15,4.23,4.35,0.0,0.0,0.0
9010.16,1.68,3.08,0.76,0.46,1.2
9011.01,7.06,6.85,8.72,14.98,12.07
9011.02,3.06,0.0,0.0,0.0,0.0
9012.03,0.82,0.0,0.0,0.15,0.15
9012.08,0.0,0.0,0.0,0.0,0.0
9012.09,2.52,3.93,2.95,0.77,0.77
9012.11,1.43,3.72,3.84,2.59,3.29
9012.12,0.0,1.37,1.35,0.14,2.73
9012.19,0.73,4.19,3.11,2.58,2.14
9012.21,6.85,7.61,5.05,5.15,4.17
9012.22,0.88,0.0,0.0,0.0,1.05
9012.23,0.59,0.54,0.59,1.26,1.57
9012.24,0.96,1.61,1.62,1.56,0.77
9012.25,1.66,1.3,2.57,0.56,0.98
9012.26,2.89,3.43,2.6,2.77,2.12
9012.27,7.65,5.3,3.01,0.67,0.0
9012.28,4.11,2.52,2.32,0.54,0.38
9012.29,0.0,0.0,0.0,0.0,0.0
9012.30,5.68,5.85,4.54,0.0,0.0
9012.31,2.47,3.33,3.72,3.96,2.68
9012.32,0.0,0.0,0.0,0.0,0.0
9012.33,0.83,0.84,0.83,0.84,0.84
9012.34,5.62,1.33,1.92,2.85,2.4
9012.35,0.82,0.62,0.63,1.64,0.82
9012.36,1.9,2.19,2.21,1.68,0.98
9012.37,1.24,2.03,1.98,0.88,0.65
9013.03,1.19,1.38,1.65,1.08,0.43
9013.04,0.0,0.0,0.0,0.0,0.0
9013.05,1.93,2.04,2.14,2.53,2.47
9013.06,0.0,0.0,0.0,1.76,1.54
9014.03,4.64,4.32,4.27,2.73,1.58
9014.07,0.34,0.39,0.39,0.53,1.65
9014.09,0.87,0.9,0.41,1.09,1.78
9014.11,2.49,0.61,0.61,1.15,0.48
9014.12,0.99,1.01,0.73,0.0,0.0
9014.13,0.9,0.92,1.01,0.0,0.0
9014.14,0.0,0.24,0.44,0.44,0.52
9014.15,0.0,0.0,0.0,0.0,0.0
9014.16,1.4,0.92,0.0,0.0,0.0
9014.17,0.0,0.0,0.0,0.0,0.33
9014.18,11.67,10.79,12.32,14.32,10.24
9014.19,5.28,2.6,0.52,0.22,0.64
9014.20,0.0,0.0,0.0,0.0,0.0
9014.21,2.92,2.06,2.27,0.0,0.0
9015.03,1.33,2.02,1.67,1.39,0.0
9015.04,0.0,0.58,0.59,0.65,0.61
9015.05,0.67,0.67,0.73,0.71,0.63
9015.06,3.08,1.63,1.77,1.6,0.74
9015.07,0.72,0.85,0.99,0.44,0.0
9015.08,1.17,1.24,0.39,0.0,0.36
9015.09,0.0,0.0,1.06,0.66,0.52
9015.10,0.19,0.19,0.19,1.45,1.2
9015.11,0.46,0.35,0.47,0.5,0.0
9016.01,0.0,1.18,1.15,1.31,1.43
9016.02,2.17,1.97,1.11,0.78,0.28
9017.02,1.27,1.87,2.25,0.48,1.09
9017.03,0.68,1.71,0.89,0.0,0.0
9017.04,0.57,0.51,0.0,0.0,0.0
9019,0.0,0.0,0.0,0.51,0.61
9801,,,,,
