censustract,total_2024,With_SSI_2024,total_2023,With_SSI_2023,total_2022,With_SSI_2022,total_2021,With_SSI_2021,total_2020,With_SSI_2020,prop_SSI_2024,prop_SSI_2023,prop_SSI_2022,prop_SSI_2021,prop_SSI_2020
9001,1627,585,1536,562,1559,606,1550,641,1462,596,35.96,36.59,38.87,41.35,40.77
9002.01,1051,223,1091,251,961,152,880,137,772,132,21.22,23.01,15.82,15.57,17.1
9002.02,1075,258,1055,220,1125,117,1166,155,1130,206,24.0,20.85,10.4,13.29,18.23
9002.03,1490,279,1387,158,1406,199,1419,173,1413,181,18.72,11.39,14.15,12.19,12.81
9003.01,1599,351,1538,303,1503,234,1513,198,1465,194,21.95,19.7,15.57,13.09,13.24
9003.02,2151,252,2107,229,2227,218,2153,198,2056,159,11.72,10.87,9.79,9.2,7.73
9004.03,1938,500,1900,539,1950,462,1903,442,1932,516,25.8,28.37,23.69,23.23,26.71
9004.04,1651,370,1697,371,1744,298,1727,305,1669,312,22.41,21.86,17.09,17.66,18.69
9004.07,2261,549,2329,544,2256,562,2311,582,2253,516,24.28,23.36,24.91,25.18,22.9
9004.08,1566,364,1554,359,1534,287,1549,340,1550,318,23.24,23.1,18.71,21.95,20.52
9004.09,1614,531,1575,506,1579,456,1560,477,1528,529,32.9,32.13,28.88,30.58,34.62
9004.10,2246,274,2096,197,2078,178,1984,128,1946,116,12.2,9.4,8.57,6.45,5.96
9005.02,2004,159,2012,132,2041,174,2059,98,1967,63,7.93,6.56,8.53,4.76,3.2
9005.03,1191,226,1217,163,1229,196,1240,166,1153,144,18.98,13.39,15.95,13.39,12.49
9005.04,1531,343,1425,371,1385,358,1417,376,1296,336,22.4,26.04,25.85,26.53,25.93
9006.01,972,201,975,173,973,110,998,85,949,69,20.68,17.74,11.31,8.52,7.27
9006.02,1466,143,1421,141,1350,130,1333,132,1199,137,9.75,9.92,9.63,9.9,11.43
9007.01,3027,494,2863,350,2530,296,2691,270,2522,31,16.32,12.22,11.7,10.03,1.23
9007.02,2200,443,2271,437,2318,398,2314,434,2323,376,20.14,19.24,17.17,18.76,16.19
9008.01,2262,401,2301,335,2272,306,2281,380,2145,342,17.73,14.56,13.47,16.66,15.94
9008.03,2311,384,2140,385,2104,142,2149,126,2001,149,16.62,17.99,6.75,5.86,7.45
9008.04,1978,270,1934,307,1866,245,1781,151,1537,246,13.65,15.87,13.13,8.48,16.01
9009.01,2040,370,2078,400,1941,406,1912,384,1876,294,18.14,19.25,20.92,20.08,15.67
9009.04,2353,310,1984,327,1768,205,1672,265,1520,267,13.17,16.48,11.6,15.85,17.57
9009.05,1904,374,1868,333,1831,378,1802,365,1692,334,19.64,17.83,20.64,20.26,19.74
9010.05,1931,245,1932,250,1901,201,1894,242,1814,189,12.69,12.94,10.57,12.78,10.42
9010.09,2300,578,2274,594,2239,553,2185,476,2157,396,25.13,26.12,24.7,21.78,18.36
9010.10,1352,370,1391,321,1401,309,1401,232,1324,217,27.37,23.08,22.06,16.56,16.39
9010.11,1946,388,1921,321,1889,325,1874,333,1883,269,19.94,16.71,17.2,17.77,14.29
9010.12,1665,825,1650,871,1634,929,1620,948,1557,1004,49.55,52.79,56.85,58.52,64.48
9010.13,1041,112,1089,158,1120,150,1172,156,1093,153,10.76,14.51,13.39,13.31,14.0
9010.14,1412,302,1442,282,1413,353,1393,334,1355,352,21.39,19.56,24.98,23.98,25.98
9010.15,1134,114,1173,163,1200,160,1237,157,1177,128,10.05,13.9,13.33,12.69,10.88
9010.16,1728,234,1690,289,1580,278,1524,206,1415,144,13.54,17.1,17.59,13.52,10.18
9011.01,652,97,672,83,585,88,534,82,522,67,14.88,12.35,15.04,15.36,12.84
9011.02,817,9,808,10,822,10,782,10,814,9,1.1,1.24,1.22,1.28,1.11
9012.03,1335,468,1363,502,1368,472,1369,473,1364,485,35.06,36.83,34.5,34.55,35.56
9012.08,1285,636,1288,670,1315,680,1272,698,1195,595,49.49,52.02,51.71,54.87,49.79
9012.09,1944,610,1958,619,1964,489,1956,443,1942,423,31.38,31.61,24.9,22.65,21.78
9012.11,1188,353,1237,297,1250,217,1275,243,1187,219,29.71,24.01,17.36,19.06,18.45
