censustract,pop_total_2024,uninsured_n_total_2024,uninsured_pct_total_2024,pop_male_2024,uninsured_n_male_2024,uninsured_pct_male_2024,pop_female_2024,uninsured_n_female_2024,uninsured_pct_female_2024,pop_total_2023,uninsured_n_total_2023,uninsured_pct_total_2023,pop_male_2023,uninsured_n_male_2023,uninsured_pct_male_2023,pop_female_2023,uninsured_n_female_2023,uninsured_pct_female_2023,pop_total_2022,uninsured_n_total_2022,uninsured_pct_total_2022,pop_male_2022,uninsured_n_male_2022,uninsured_pct_male_2022,pop_female_2022,uninsured_n_female_2022,uninsured_pct_female_2022,pop_total_2021,uninsured_n_total_2021,uninsured_pct_total_2021,pop_male_2021,uninsured_n_male_2021,uninsured_pct_male_2021,pop_female_2021,uninsured_n_female_2021,uninsured_pct_female_2021,pop_total_2020,uninsured_n_total_2020,uninsured_pct_total_2020,pop_male_2020,uninsured_n_male_2020,uninsured_pct_male_2020,pop_female_2020,uninsured_n_female_2020,uninsured_pct_female_2020
9001,3160.0,172.0,5.4,1488.0,123.0,8.3,1672.0,49.0,2.9,2945.0,158.0,5.4,1443.0,127.0,8.8,1502.0,31.0,2.1,3159.0,200.0,6.3,1555.0,151.0,9.7,1604.0,49.0,3.1,3384.0,167.0,4.9,1742.0,136.0,7.8,1642.0,31.0,1.9,3535.0,317.0,9.0,1826.0,217.0,11.9,1709.0,100.0,5.9
9002.01,3105.0,828.0,26.7,1274.0,302.0,23.7,1831.0,526.0,28.7,3169.0,493.0,15.6,1288.0,170.0,13.2,1881.0,323.0,17.2,2410.0,269.0,11.2,1075.0,51.0,4.7,1335.0,218.0,16.3,2302.0,98.0,4.3,1043.0,35.0,3.4,1259.0,63.0,5.0,2165.0,87.0,4.0,972.0,42.0,4.3,1193.0,45.0,3.8
9002.02,3612.0,601.0,16.6,1860.0,389.0,20.9,1752.0,212.0,12.1,3434.0,457.0,13.3,1828.0,339.0,18.5,1606.0,118.0,7.3,4108.0,766.0,18.6,2217.0,584.0,26.3,1891.0,182.0,9.6,4265.0,578.0,13.6,2256.0,354.0,15.7,2009.0,224.0,11.1,4241.0,755.0,17.8,2214.0,431.0,19.5,2027.0,324.0,16.0
9002.03,5427.0,560.0,10.3,2171.0,208.0,9.6,3256.0,352.0,10.8,4876.0,759.0,15.6,2109.0,304.0,14.4,2767.0,455.0,16.4,4574.0,831.0,18.2,1920.0,397.0,20.7,2654.0,434.0,16.4,4564.0,1022.0,22.4,1935.0,471.0,24.3,2629.0,551.0,21.0,4447.0,833.0,18.7,1848.0,374.0,20.2,2599.0,459.0,17.7
9003.01,3706.0,389.0,10.5,1714.0,216.0,12.6,1992.0,173.0,8.7,3465.0,309.0,8.9,1648.0,179.0,10.9,1817.0,130.0,7.2,3462.0,316.0,9.1,1665.0,195.0,11.7,1797.0,121.0,6.7,3406.0,188.0,5.5,1726.0,110.0,6.4,1680.0,78.0,4.6,3375.0,201.0,6.0,1677.0,102.0,6.1,1698.0,99.0,5.8
9003.02,5494.0,854.0,15.5,2777.0,374.0,13.5,2717.0,480.0,17.7,4968.0,514.0,10.3,2383.0,163.0,6.8,2585.0,351.0,13.6,5290.0,607.0,11.5,2336.0,220.0,9.4,2954.0,387.0,13.1,4946.0,367.0,7.4,2087.0,115.0,5.5,2859.0,252.0,8.8,5292.0,704.0,13.3,2281.0,288.0,12.6,3011.0,416.0,13.8
9004.03,6239.0,329.0,5.3,2900.0,148.0,5.1,3339.0,181.0,5.4,5760.0,286.0,5.0,2807.0,126.0,4.5,2953.0,160.0,5.4,6089.0,429.0,7.0,3008.0,224.0,7.4,3081.0,205.0,6.7,6180.0,707.0,11.4,2914.0,335.0,11.5,3266.0,372.0,11.4,5531.0,610.0,11.0,2344.0,259.0,11.0,3187.0,351.0,11.0
9004.04,5547.0,1030.0,18.6,2361.0,361.0,15.3,3186.0,669.0,21.0,5845.0,1263.0,21.6,2500.0,440.0,17.6,3345.0,823.0,24.6,5654.0,1341.0,23.7,2483.0,596.0,24.0,3171.0,745.0,23.5,5604.0,1417.0,25.3,2607.0,697.0,26.7,2997.0,720.0,24.0,5886.0,1348.0,22.9,2585.0,602.0,23.3,3301.0,746.0,22.6
9004.07,6484.0,570.0,8.8,3070.0,382.0,12.4,3414.0,188.0,5.5,6861.0,614.0,8.9,3318.0,349.0,10.5,3543.0,265.0,7.5,6973.0,935.0,13.4,3392.0,520.0,15.3,3581.0,415.0,11.6,6688.0,736.0,11.0,3181.0,393.0,12.4,3507.0,343.0,9.8,6573.0,749.0,11.4,3330.0,385.0,11.6,3243.0,364.0,11.2
9004.08,5360.0,634.0,11.8,2884.0,448.0,15.5,2476.0,186.0,7.5,5446.0,718.0,13.2,2856.0,499.0,17.5,2590.0,219.0,8.5,5318.0,644.0,12.1,2801.0,447.0,16.0,2517.0,197.0,7.8,5478.0,552.0,10.1,2848.0,377.0,13.2,2630.0,175.0,6.7,5398.0,665.0,12.3,2662.0,434.0,16.3,2736.0,231.0,8.4
