ID,PEOPCOLORPCT,LOWINCPCT,UNEMPPCT,DISABILITYPCT,LINGISOPCT,LESSHSPCT,UNDER5PCT,OVER64PCT,LIFEEXPPCT,PRE1960PCT,PM25,OZONE,DSLPM,RSEI_AIR,PTRAF,PTSDF,UST,PWDIS,NO2,DWATER,PNPL,PRMP,E_TOTPOP,E_HU,E_HH,E_POV150_P,E_UNINSUR_P,E_HBURD_P,E_SNGPNT_P,E_MUNIT_P,E_MOBILE_P,E_CROWD_P,E_NOVEH_P,E_GROUPQ_P,SVI_statewide,House_Vacant_P,With_Medicaid_P,Work_Drivealone_P,Work_Carpooled_P,Work_PublicTransportation_P,Work_Walk_P,Work_Taximotorbike_P,Work_Fromhome_P,With_PublicAssIncome_P,With_SSI_P,Mean_Transportation_time(min),Mean_Proportion_HHIncome,Owner_occupied_P,Total_Crash,Percent_Fatal_Injury,Percent_Severe_Injury,Percent_Visible_Injury,Percent_Nonvisible_Injury,Avg_Kill_Person,Avg_Kill_Pedestrian,Avg_Injured_Person,Avg_Injured_Pedestrian,Percent_Workzone_Related,Percent_Schoolzone_Related,Percent_Alcohol_Related,Percent_Animal_Related,Percent_Unrestrained_Related,Percent_Bike_Related,Percent_Distracted_Related,Percent_Drowsy_Related,Percent_Drug_Related,Percent_Guardrail_Related,Percent_Hitrun_Related,Percent_Lgtruck_Related,Percent_Motorcycle_Related,Percent_Pedestrian_Related,Percent_Speed_Related,Percent_Senior_Related,Percent_Young_Related,Percent_Mainline_Related,Percent_Night_Related,Percent_Urban_Crash,Total_Population,Median_Age,Sex_Ratio(males per 100 females),Age_Dependency_Ratio,Old-age_Dependency_Ratio,Child_Dependency_Ratio,Num_School,Num_Fire_Station,Num_Library,Num_Hospital,Num_Worship,Num_Shopping_Center,Prop_Hisp,Prop_White,Prop_Black,Prop_American_Native,Prop_Asian,Prop_Hawaiian,Prop_Onemorerace,percent_food_insecure,percent_homeowners,SFPC,VMC,Vegetation Ordinance,total_population,percent_food_insecure.1,percent_homeowners.1,1st Due,District,City,Neighborhood,Total_Calls,Total_EMS_Calls,Fire_Calls,Structure_Fire_Calls,Overdose_Calls,CPR_Calls,Stroke_Patients,Cardiac_Patients,Diabetic_Patients,Respiratory_Patients,Blood_Pressure_Patients,High_Cholesterol_Patients,Primary_Fire_Station,Shootings,Stabbings,Assaults,Attempted_Suicide,Auto_Accidents,Opioid_Calls,High_Volume_Utilizer_Calls,High_Volume_Utilizer_Percent,Domestic,Homeless
51153900100,0.501236858,0.07668522,0.006586826,0.095916429,0.033354715,0.044565217,0.0572047,0.299319728,0.182564103,0.045257285,7.117336885,55.85079,0.17022229,58.79563204,1048284.539,0.535742038,0.55291834,2955.696985,5.941893021,0.0,0.150438512,0.199625414,3234,1613,1559,0.031539889,0.061842919,0.116100064,0.007697242,0.275883447,0.0,0.004490058,0.007055805,0.0,0.1777,0.033477991,0.070275404,0.614619883,0.025730994,0.052046784,0.0,0.074853801,0.232748538,0.020525978,0.053239256,45.51067073,0.236877828,0.840136054,16.0,0.0,0.125,0.8125,0.0625,0.0,0.0,1.4375,0.125,0.0,0.0,0.0,0.0,0.0,0.0625,0.125,0.0,0.0625,0.0,0.0,0.0625,0.125,0.125,0.125,0.3125,0.1875,1.0,0.1875,1.0,3001,54.6,99.0,63.1,48.6,14.5,1,0,0,0,0,0,0.161418526,0.504738612,0.164781412,0.000917151,0.101192296,0.000611434,0.058697646,0.074,0.865,33.0,8.0,6.0,3001,0.074,0.865,Station 2 - 1st Due,WOODBRIDGE,Dale City,Bayside Park,1259,797,326,11,6,4,27,41,52,30,81,16,Primary Fire Station - Station 2,2,1,14,7,33,3,7,0.6,0,1
51153900201,0.77181483,0.327175698,0.06742281,0.154356846,0.096774194,0.133783784,0.032363785,0.072101598,0.217435897,0.112476371,7.212371585,56.00132,0.246330689,47.18831416,1939166.587,0.506328415,5.158355947,1608.187692,7.430988248,0.0,0.107441159,0.212286876,2441,1058,961,0.255632937,0.110200737,0.387096774,0.097814776,0.371455577,0.0,0.069719043,0.01144641,0.002048341,0.8996,0.09168242,0.195850622,0.683366734,0.10754843,0.016700067,0.015364061,0.0,0.177020708,0.08012487,0.037460978,40.84618506,0.353118812,0.530788177,85.0,0.0,0.152941177,0.8,0.047058824,0.0,0.0,1.752941176,0.047058824,0.011764706,0.011764706,0.070588235,0.011764706,0.011764706,0.023529412,0.082352941,0.011764706,0.0,0.058823529,0.094117647,0.023529412,0.047058824,0.047058824,0.211764706,0.117647059,0.141176471,0.894117647,0.352941177,1.0,3180,36.3,69.1,51.9,14.0,38.0,0,0,0,0,6,5,0.374169742,0.259409594,0.225092251,0.001476015,0.092250923,0.001476015,0.041697417,0.154,0.488,18.0,11.0,7.0,3180,0.154,0.488,Station 2 - 1st Due,WOODBRIDGE,Dale City,Marumsco Village,1042,800,199,16,22,3,11,28,42,23,69,8,Primary Fire Station - Station 2,0,0,44,11,163,7,5,0.5,2,9
51153900202,0.731086324,0.276915616,0.048494329,0.039678676,0.135111111,0.171480144,0.040979631,0.066440349,0.169230769,0.584518167,7.216208197,55.82964,0.243887459,42.40539441,1942872.958,0.323682439,2.421485001,1481.485726,7.024271642,0.0,0.100379162,0.197936753,4124,1266,1125,0.030310378,0.185741998,0.193777778,0.038222222,0.16192733,0.004739336,0.0,0.012444444,0.0,0.4794,0.111374408,0.155063291,0.756890169,0.126696833,0.00987248,0.0,0.040312629,0.06622789,0.122666667,0.0,35.77643172,0.258486239,0.841901067,110.0,0.009090909,0.1,0.727272727,0.163636364,0.009090909,0.0,1.7,0.045454545,0.009090909,0.018181818,0.072727273,0.0,0.045454545,0.0,0.272727273,0.018181818,0.027272727,0.045454545,0.118181818,0.081818182,0.027272727,0.045454545,0.3,0.163636364,0.190909091,0.954545455,0.309090909,1.0,3520,37.0,119.2,47.5,16.5,31.0,1,1,0,0,6,0,0.591713109,0.202326145,0.088441968,0.001453841,0.07632663,0.001211534,0.036103707,0.074,0.824,5.0,6.0,7.0,3520,0.074,0.824,Station 2 - 1st Due,WOODBRIDGE,Dale City,Marumsco Village,1188,923,180,13,15,4,23,38,61,41,89,12,Primary Fire Station - Station 2,2,0,30,8,168,11,70,5.9,4,4
51153900203,0.889300501,0.301154936,0.042467591,0.100787057,0.143669986,0.191298094,0.095227718,0.057528873,0.206153846,0.10210396,7.197157923,55.83719,0.217923803,45.32269551,1432192.241,0.257901881,1.43282189,1696.97799,7.046775897,0.0,0.10855256,0.0,4589,1616,1406,0.230115494,0.181085204,0.343527738,0.092460882,0.611386139,0.0,0.084637269,0.007823613,0.001307474,0.9014,0.129950495,0.225841714,0.767241379,0.081135903,0.019269777,0.061866126,0.036004057,0.034482759,0.076102418,0.077524893,39.43759832,0.339889416,0.101680122,61.0,0.032786885,0.180327869,0.721311475,0.06557377,0.032786885,0.016393443,1.655737705,0.098360656,0.032786885,0.098360656,0.229508197,0.0,0.049180328,0.032786885,0.262295082,0.016393443,0.0,0.0,0.196721312,0.049180328,0.06557377,0.114754098,0.213114754,0.098360656,0.098360656,1.0,0.409836066,1.0,4891,29.3,76.8,69.6,7.2,62.5,1,0,0,0,3,0,0.482937685,0.104599407,0.283753709,0.00018546,0.073442136,0.00111276,0.048034125,0.163,0.075,6.0,12.0,5.0,4891,0.163,0.075,Station 2 - 1st Due,WOODBRIDGE,Dale City,Woodbridge,1608,1203,234,28,34,1,25,48,66,50,87,18,Primary Fire Station - Station 2,9,4,101,12,63,16,30,1.9,3,8
51153900301,0.55638237,0.232398397,0.092181467,0.134315425,0.093147039,0.109263658,0.048368632,0.089009731,0.180512821,0.198136646,7.243385246,56.03626,0.250596623,42.57440461,1980590.732,0.455011814,5.261958187,749.7767363,6.979261768,0.0,0.039346429,0.23544811,3494,1610,1503,0.209502003,0.090440756,0.275449102,0.079174983,0.224844721,0.0,0.012641384,0.055222888,0.0,0.7464,0.066459627,0.172154824,0.61707989,0.089256198,0.072727273,0.076584022,0.008815427,0.13553719,0.088489687,0.02328676,37.58444869,0.345895522,0.603892387,165.0,0.012121212,0.048484848,0.872727273,0.066666667,0.018181818,0.0,1.545454545,0.018181818,0.018181818,0.006060606,0.048484848,0.0,0.066666667,0.0,0.151515152,0.042424242,0.0,0.03030303,0.066666667,0.139393939,0.048484848,0.018181818,0.357575758,0.157575758,0.175757576,0.951515152,0.363636364,1.0,3514,37.8,93.4,41.8,15.3,26.4,1,0,0,1,3,3,0.201151166,0.45743714,0.17206907,0.004241139,0.099363829,0.003332324,0.057255377,0.184,0.685,8.0,21.0,1.0,3514,0.184,0.685,Station 2 - 1st Due,OCCOQUAN,Dale City,Woodbridge,1413,1076,245,20,23,4,14,41,58,26,87,21,Primary Fire Station - Station 2,1,1,22,12,362,3,2,0.1,1,6
51153900302,0.69760205,0.289380696,0.00859423,0.098865784,0.066008083,0.171858501,0.048142046,0.064616511,0.180512821,0.015879828,7.232929781,55.79823,0.248440548,40.20947831,1876875.904,0.286848501,2.458813027,839.2163909,7.404631107,0.0,0.0,0.195784515,5463,2330,2227,0.224235768,0.111111111,0.26986978,0.119892232,0.193991416,0.056652361,0.04220925,0.014369106,0.0,0.7987,0.044206009,0.188657845,0.687334705,0.066118131,0.058771672,0.0,0.022039377,0.165736115,0.055680287,0.017063314,43.30398027,0.351252053,0.537250595,250.0,0.012,0.076,0.812,0.1,0.012,0.004,1.664,0.04,0.036,0.0,0.052,0.0,0.044,0.004,0.208,0.052,0.016,0.084,0.06,0.112,0.044,0.032,0.256,0.152,0.148,0.944,0.312,1.0,5032,37.8,94.7,53.6,14.5,39.1,0,0,0,2,5,1,0.270884023,0.24785077,0.291484185,0.001784266,0.126520681,0.000486618,0.054987835,0.142,0.486,21.0,21.0,9.0,5032,0.142,0.486,Station 20 - 1st Due,OCCOQUAN,Dale City,Lake Ridge,2804,2363,317,23,51,1,35,58,84,60,131,33,Primary Fire Station - Station 20,1,0,38,19,353,9,71,2.5,0,7
51153900403,0.752579008,0.254022989,0.054404946,0.103629496,0.103076923,0.151957209,0.127231046,0.125921074,0.16,0.051192843,7.208924863,55.47455,0.178071521,34.71307642,1311404.74,0.09824936,2.968459601,1223.102014,7.419461825,0.0,0.078182302,0.0,6107,2012,1950,0.198460783,0.070247257,0.315897436,0.015384615,0.203777336,0.0,0.033333333,0.056923077,0.004584903,0.845,0.030815109,0.205780916,0.629923866,0.239324727,0.03939093,0.003641178,0.004303211,0.083416087,0.166153846,0.06,36.82104317,0.48960396,0.828096726,575.0,0.008695652,0.092173913,0.827826087,0.071304348,0.008695652,0.003478261,1.820869565,0.022608696,0.033043478,0.015652174,0.066086957,0.0,0.057391304,0.00173913,0.213913044,0.022608696,0.006956522,0.045217391,0.060869565,0.053913043,0.031304348,0.026086957,0.170434783,0.142608696,0.194782609,0.972173913,0.297391304,1.0,5789,36.6,95.9,66.4,19.7,46.7,1,1,0,2,13,18,0.381441441,0.210990991,0.232792793,0.002702703,0.112072072,0.0,0.051171171,0.096,0.732,181.0,39.0,12.0,5789,0.096,0.732,Station 20 - 1st Due,OCCOQUAN,Dale City,Potomac Mills,8244,6442,1390,47,139,18,80,131,249,160,319,99,Primary Fire Station - Station 20,6,6,178,43,1159,35,290,3.5,10,76
51153900404,0.85022799,0.354005622,0.089608177,0.08135833,0.199541284,0.218958611,0.052086987,0.081024202,0.164102564,0.053650442,7.205901366,55.28439,0.173518369,32.82387659,1072587.897,0.024933455,1.103061651,1128.579837,6.966819502,0.0,0.102979571,0.0,5702,1808,1744,0.265345493,0.235180638,0.324541284,0.122706422,0.071902655,0.0,0.038990826,0.006880734,0.000701508,0.894,0.03539823,0.227095861,0.69431988,0.12406577,0.032511211,0.016442451,0.032884903,0.099775785,0.130160551,0.029243119,47.32890917,0.375235849,0.710951211,113.0,0.008849558,0.097345133,0.85840708,0.03539823,0.008849558,0.0,1.840707965,0.044247788,0.0,0.017699115,0.088495575,0.0,0.07079646,0.03539823,0.194690266,0.017699115,0.026548673,0.026548673,0.061946903,0.03539823,0.017699115,0.044247788,0.097345133,0.132743363,0.203539823,1.0,0.247787611,1.0,5893,35.4,76.2,56.8,14.7,42.1,2,0,0,2,2,2,0.524683122,0.197631755,0.151767845,0.002168112,0.069046031,0.001000667,0.036357572,0.132,0.786,3.0,16.0,15.0,5893,0.132,0.786,Station 10 - 1st Due,NEABSCO,Dale City,Forestdale,1695,1354,221,20,38,5,32,64,104,60,141,29,Primary Fire Station - Station 10,5,0,47,23,187,11,27,1.6,4,2
51153900407,0.823247285,0.276343631,0.069092697,0.087767102,0.071365248,0.146657572,0.097898152,0.087318381,,0.044769874,7.202148634,55.18307,0.170696031,29.93241569,960221.5154,0.0,3.055211956,31.74779747,6.265945822,0.0,0.123719695,0.0,7089,2390,2256,0.167865707,0.131894484,0.349734043,0.063829787,0.390376569,0.0,0.117907801,0.01462766,0.0,0.8237,0.056066946,0.242219991,0.722381823,0.054844607,0.024027161,0.004439802,0.014886393,0.179420214,0.120567376,0.026595745,43.94493953,0.321158587,0.446748484,101.0,0.0,0.099009901,0.841584158,0.059405941,0.0,0.0,1.940594059,0.079207921,0.0,0.00990099,0.059405941,0.0,0.03960396,0.0,0.198019802,0.0,0.0,0.0,0.02970297,0.03960396,0.03960396,0.069306931,0.118811881,0.178217822,0.306930693,1.0,0.346534654,1.0,6916,32.5,95.2,53.8,13.3,40.5,1,0,0,0,3,0,0.349248065,0.164841583,0.329975179,0.001752081,0.106584903,0.000584027,0.037961746,0.119,0.48,3.0,8.0,7.0,6916,0.119,0.48,Station 17 - 1st Due,NEABSCO,Dale City,Evansdale,1658,1270,243,25,29,4,35,63,90,59,142,36,Primary Fire Station - Station 17,3,3,57,15,116,8,47,2.8,4,3
51153900408,0.674728159,0.068616423,0.033874382,0.081797668,0.091916558,0.101277372,0.131983502,0.069553806,0.178461538,0.061442006,7.191485792,55.15391,0.157985338,29.17011798,816841.4259,0.0,0.0,485.9194125,5.89665489,0.0,0.131832714,0.0,5334,1595,1534,0.058492688,0.120734908,0.133637549,0.035853977,0.0,0.0,0.132333768,0.016297262,0.0,0.391,0.038244514,0.203647988,0.710791926,0.114518634,0.024456522,0.009704969,0.009704969,0.130822981,0.129074316,0.004563233,45.27020992,0.258561644,0.799400075,11.0,0.181818182,0.181818182,0.636363636,0.0,0.181818182,0.0,1.272727273,0.0,0.0,0.0,0.181818182,0.0,0.090909091,0.0,0.272727273,0.0,0.0,0.0,0.0,0.181818182,0.0,0.0,0.181818182,0.181818182,0.272727273,1.0,0.363636364,1.0,5473,33.2,111.3,63.7,11.9,51.8,0,0,0,0,0,0,0.259787234,0.245106383,0.302765957,0.000851064,0.123829787,0.001489362,0.055531915,0.092,0.857,0.0,1.0,4.0,5473,0.092,0.857,Station 17 - 1st Due,NEABSCO,Dale City,Neabsco Hills,789,601,126,10,14,2,18,41,58,25,90,13,Primary Fire Station - Station 17,1,0,19,8,20,4,19,2.4,0,1
