"Label (Grouping)","Census Tract 9001; Prince William County; Virginia!!Estimate","Census Tract 9001; Prince William County; Virginia!!Margin of Error","Census Tract 9002.01; Prince William County; Virginia!!Estimate","Census Tract 9002.01; Prince William County; Virginia!!Margin of Error","Census Tract 9002.02; Prince William County; Virginia!!Estimate","Census Tract 9002.02; Prince William County; Virginia!!Margin of Error","Census Tract 9002.03; Prince William County; Virginia!!Estimate","Census Tract 9002.03; Prince William County; Virginia!!Margin of Error","Census Tract 9003.01; Prince William County; Virginia!!Estimate","Census Tract 9003.01; Prince William County; Virginia!!Margin of Error","Census Tract 9003.02; Prince William County; Virginia!!Estimate","Census Tract 9003.02; Prince William County; Virginia!!Margin of Error","Census Tract 9004.03; Prince William County; Virginia!!Estimate","Census Tract 9004.03; Prince William County; Virginia!!Margin of Error","Census Tract 9004.04; Prince William County; Virginia!!Estimate","Census Tract 9004.04; Prince William County; Virginia!!Margin of Error","Census Tract 9004.07; Prince William County; Virginia!!Estimate","Census Tract 9004.07; Prince William County; Virginia!!Margin of Error","Census Tract 9004.08; Prince William County; Virginia!!Estimate","Census Tract 9004.08; Prince William County; Virginia!!Margin of Error","Census Tract 9004.09; Prince William County; Virginia!!Estimate","Census Tract 9004.09; Prince William County; Virginia!!Margin of Error","Census Tract 9004.10; Prince William County; Virginia!!Estimate","Census Tract 9004.10; Prince William County; Virginia!!Margin of Error","Census Tract 9005.02; Prince William County; Virginia!!Estimate","Census Tract 9005.02; Prince William County; Virginia!!Margin of Error","Census Tract 9005.03; Prince William County; Virginia!!Estimate","Census Tract 9005.03; Prince William County; Virginia!!Margin of Error","Census Tract 9005.04; Prince William County; Virginia!!Estimate","Census Tract 9005.04; Prince William County; Virginia!!Margin of Error","Census Tract 9006.01; Prince William County; Virginia!!Estimate","Census Tract 9006.01; Prince William County; Virginia!!Margin of Error","Census Tract 9006.02; Prince William County; Virginia!!Estimate","Census Tract 9006.02; Prince William County; Virginia!!Margin of Error","Census Tract 9007.01; Prince William County; Virginia!!Estimate","Census Tract 9007.01; Prince William County; Virginia!!Margin of Error","Census Tract 9007.02; Prince William County; Virginia!!Estimate","Census Tract 9007.02; Prince William County; Virginia!!Margin of Error","Census Tract 9008.01; Prince William County; Virginia!!Estimate","Census Tract 9008.01; Prince William County; Virginia!!Margin of Error","Census Tract 9008.03; Prince William County; Virginia!!Estimate","Census Tract 9008.03; Prince William County; Virginia!!Margin of Error","Census Tract 9008.04; Prince William County; Virginia!!Estimate","Census Tract 9008.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.01; Prince William County; Virginia!!Estimate","Census Tract 9009.01; Prince William County; Virginia!!Margin of Error","Census Tract 9009.04; Prince William County; Virginia!!Estimate","Census Tract 9009.04; Prince William County; Virginia!!Margin of Error","Census Tract 9009.05; Prince William County; Virginia!!Estimate","Census Tract 9009.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.05; Prince William County; Virginia!!Estimate","Census Tract 9010.05; Prince William County; Virginia!!Margin of Error","Census Tract 9010.09; Prince William County; Virginia!!Estimate","Census Tract 9010.09; Prince William County; Virginia!!Margin of Error","Census Tract 9010.10; Prince William County; Virginia!!Estimate","Census Tract 9010.10; Prince William County; Virginia!!Margin of Error","Census Tract 9010.11; Prince William County; Virginia!!Estimate","Census Tract 9010.11; Prince William County; Virginia!!Margin of Error","Census Tract 9010.12; Prince William County; Virginia!!Estimate","Census Tract 9010.12; Prince William County; Virginia!!Margin of Error","Census Tract 9010.13; Prince William County; Virginia!!Estimate","Census Tract 9010.13; Prince William County; Virginia!!Margin of Error","Census Tract 9010.14; Prince William County; Virginia!!Estimate","Census Tract 9010.14; Prince William County; Virginia!!Margin of Error","Census Tract 9010.15; Prince William County; Virginia!!Estimate","Census Tract 9010.15; Prince William County; Virginia!!Margin of Error","Census Tract 9010.16; Prince William County; Virginia!!Estimate","Census Tract 9010.16; Prince William County; Virginia!!Margin of Error","Census Tract 9011.01; Prince William County; Virginia!!Estimate","Census Tract 9011.01; Prince William County; Virginia!!Margin of Error","Census Tract 9011.02; Prince William County; Virginia!!Estimate","Census Tract 9011.02; Prince William County; Virginia!!Margin of Error","Census Tract 9012.03; Prince William County; Virginia!!Estimate","Census Tract 9012.03; Prince William County; Virginia!!Margin of Error","Census Tract 9012.08; Prince William County; Virginia!!Estimate","Census Tract 9012.08; Prince William County; Virginia!!Margin of Error","Census Tract 9012.09; Prince William County; Virginia!!Estimate","Census Tract 9012.09; Prince William County; Virginia!!Margin of Error","Census Tract 9012.11; Prince William County; Virginia!!Estimate","Census Tract 9012.11; Prince William County; Virginia!!Margin of Error","Census Tract 9012.12; Prince William County; Virginia!!Estimate","Census Tract 9012.12; Prince William County; Virginia!!Margin of Error","Census Tract 9012.19; Prince William County; Virginia!!Estimate","Census Tract 9012.19; Prince William County; Virginia!!Margin of Error","Census Tract 9012.21; Prince William County; Virginia!!Estimate","Census Tract 9012.21; Prince William County; Virginia!!Margin of Error","Census Tract 9012.22; Prince William County; Virginia!!Estimate","Census Tract 9012.22; Prince William County; Virginia!!Margin of Error","Census Tract 9012.23; Prince William County; Virginia!!Estimate","Census Tract 9012.23; Prince William County; Virginia!!Margin of Error","Census Tract 9012.24; Prince William County; Virginia!!Estimate","Census Tract 9012.24; Prince William County; Virginia!!Margin of Error","Census Tract 9012.25; Prince William County; Virginia!!Estimate","Census Tract 9012.25; Prince William County; Virginia!!Margin of Error","Census Tract 9012.26; Prince William County; Virginia!!Estimate","Census Tract 9012.26; Prince William County; Virginia!!Margin of Error","Census Tract 9012.27; Prince William County; Virginia!!Estimate","Census Tract 9012.27; Prince William County; Virginia!!Margin of Error","Census Tract 9012.28; Prince William County; Virginia!!Estimate","Census Tract 9012.28; Prince William County; Virginia!!Margin of Error","Census Tract 9012.29; Prince William County; Virginia!!Estimate","Census Tract 9012.29; Prince William County; Virginia!!Margin of Error","Census Tract 9012.30; Prince William County; Virginia!!Estimate","Census Tract 9012.30; Prince William County; Virginia!!Margin of Error","Census Tract 9012.31; Prince William County; Virginia!!Estimate","Census Tract 9012.31; Prince William County; Virginia!!Margin of Error","Census Tract 9012.32; Prince William County; Virginia!!Estimate","Census Tract 9012.32; Prince William County; Virginia!!Margin of Error","Census Tract 9012.33; Prince William County; Virginia!!Estimate","Census Tract 9012.33; Prince William County; Virginia!!Margin of Error","Census Tract 9012.34; Prince William County; Virginia!!Estimate","Census Tract 9012.34; Prince William County; Virginia!!Margin of Error","Census Tract 9012.35; Prince William County; Virginia!!Estimate","Census Tract 9012.35; Prince William County; Virginia!!Margin of Error","Census Tract 9012.36; Prince William County; Virginia!!Estimate","Census Tract 9012.36; Prince William County; Virginia!!Margin of Error","Census Tract 9012.37; Prince William County; Virginia!!Estimate","Census Tract 9012.37; Prince William County; Virginia!!Margin of Error","Census Tract 9013.03; Prince William County; Virginia!!Estimate","Census Tract 9013.03; Prince William County; Virginia!!Margin of Error","Census Tract 9013.04; Prince William County; Virginia!!Estimate","Census Tract 9013.04; Prince William County; Virginia!!Margin of Error","Census Tract 9013.05; Prince William County; Virginia!!Estimate","Census Tract 9013.05; Prince William County; Virginia!!Margin of Error","Census Tract 9013.06; Prince William County; Virginia!!Estimate","Census Tract 9013.06; Prince William County; Virginia!!Margin of Error","Census Tract 9014.03; Prince William County; Virginia!!Estimate","Census Tract 9014.03; Prince William County; Virginia!!Margin of Error","Census Tract 9014.07; Prince William County; Virginia!!Estimate","Census Tract 9014.07; Prince William County; Virginia!!Margin of Error","Census Tract 9014.09; Prince William County; Virginia!!Estimate","Census Tract 9014.09; Prince William County; Virginia!!Margin of Error","Census Tract 9014.11; Prince William County; Virginia!!Estimate","Census Tract 9014.11; Prince William County; Virginia!!Margin of Error","Census Tract 9014.12; Prince William County; Virginia!!Estimate","Census Tract 9014.12; Prince William County; Virginia!!Margin of Error","Census Tract 9014.13; Prince William County; Virginia!!Estimate","Census Tract 9014.13; Prince William County; Virginia!!Margin of Error","Census Tract 9014.14; Prince William County; Virginia!!Estimate","Census Tract 9014.14; Prince William County; Virginia!!Margin of Error","Census Tract 9014.15; Prince William County; Virginia!!Estimate","Census Tract 9014.15; Prince William County; Virginia!!Margin of Error","Census Tract 9014.16; Prince William County; Virginia!!Estimate","Census Tract 9014.16; Prince William County; Virginia!!Margin of Error","Census Tract 9014.17; Prince William County; Virginia!!Estimate","Census Tract 9014.17; Prince William County; Virginia!!Margin of Error","Census Tract 9014.18; Prince William County; Virginia!!Estimate","Census Tract 9014.18; Prince William County; Virginia!!Margin of Error","Census Tract 9014.19; Prince William County; Virginia!!Estimate","Census Tract 9014.19; Prince William County; Virginia!!Margin of Error","Census Tract 9014.20; Prince William County; Virginia!!Estimate","Census Tract 9014.20; Prince William County; Virginia!!Margin of Error","Census Tract 9014.21; Prince William County; Virginia!!Estimate","Census Tract 9014.21; Prince William County; Virginia!!Margin of Error","Census Tract 9015.03; Prince William County; Virginia!!Estimate","Census Tract 9015.03; Prince William County; Virginia!!Margin of Error","Census Tract 9015.04; Prince William County; Virginia!!Estimate","Census Tract 9015.04; Prince William County; Virginia!!Margin of Error","Census Tract 9015.05; Prince William County; Virginia!!Estimate","Census Tract 9015.05; Prince William County; Virginia!!Margin of Error","Census Tract 9015.06; Prince William County; Virginia!!Estimate","Census Tract 9015.06; Prince William County; Virginia!!Margin of Error","Census Tract 9015.07; Prince William County; Virginia!!Estimate","Census Tract 9015.07; Prince William County; Virginia!!Margin of Error","Census Tract 9015.08; Prince William County; Virginia!!Estimate","Census Tract 9015.08; Prince William County; Virginia!!Margin of Error","Census Tract 9015.09; Prince William County; Virginia!!Estimate","Census Tract 9015.09; Prince William County; Virginia!!Margin of Error","Census Tract 9015.10; Prince William County; Virginia!!Estimate","Census Tract 9015.10; Prince William County; Virginia!!Margin of Error","Census Tract 9015.11; Prince William County; Virginia!!Estimate","Census Tract 9015.11; Prince William County; Virginia!!Margin of Error","Census Tract 9016.01; Prince William County; Virginia!!Estimate","Census Tract 9016.01; Prince William County; Virginia!!Margin of Error","Census Tract 9016.02; Prince William County; Virginia!!Estimate","Census Tract 9016.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.02; Prince William County; Virginia!!Estimate","Census Tract 9017.02; Prince William County; Virginia!!Margin of Error","Census Tract 9017.03; Prince William County; Virginia!!Estimate","Census Tract 9017.03; Prince William County; Virginia!!Margin of Error","Census Tract 9017.04; Prince William County; Virginia!!Estimate","Census Tract 9017.04; Prince William County; Virginia!!Margin of Error","Census Tract 9019; Prince William County; Virginia!!Estimate","Census Tract 9019; Prince William County; Virginia!!Margin of Error","Census Tract 9801; Prince William County; Virginia!!Estimate","Census Tract 9801; Prince William County; Virginia!!Margin of Error"
"Total:","233","±96","518","±98","169","±72","1,277","±295","541","±136","1,218","±264","525","±115","424","±125","1,233","±294","219","±156","349","±136","1,260","±318","1,089","±237","542","±160","511","±126","117","±92","994","±253","1,319","±303","286","±125","81","±58","956","±189","671","±274","942","±208","249","±116","311","±110","36","±29","129","±95","211","±125","168","±77","283","±94","277","±143","369","±120","742","±196","480","±227","521","±114","812","±142","235","±155","239","±82","448","±124","126","±72","452","±125","66","±48","955","±245","149","±65","376","±151","84","±61","178","±81","133","±73","239","±136","195","±113","167","±120","164","±69","500","±140","75","±50","46","±52","74","±43","81","±47","387","±111","320","±139","196","±197","61","±40","117","±88","23","±26","1,905","±393","907","±151","1,159","±372","103","±49","193","±122","73","±36","58","±48","178","±176","85","±42","187","±145","1,143","±399","862","±154","149","±73","134","±80","49","±33","342","±145","54","±49","432","±290","139","±51","478","±129","114","±102","359","±145","31","±27","278","±137","976","±281","475","±212","8","±15","1,238","±228","1,201","±218","0","±13"
"    Less than 10.0 percent","9","±14","19","±20","0","±13","0","±13","14","±19","0","±19","0","±19","0","±19","47","±53","0","±19","0","±19","0","±19","0","±19","11","±19","29","±44","0","±13","34","±56","36","±63","0","±19","0","±19","0","±19","19","±31","55","±72","0","±19","12","±18","0","±19","0","±19","9","±13","11","±19","0","±13","0","±13","0","±13","10","±16","0","±19","22","±18","6","±12","0","±13","14","±16","36","±55","0","±13","65","±61","0","±19","0","±19","10","±14","0","±19","0","±13","0","±13","0","±19","28","±30","7","±12","0","±13","0","±13","0","±19","0","±19","0","±19","11","±17","0","±13","5","±8","10","±11","0","±19","11","±18","10","±18","0","±19","18","±30","44","±56","0","±19","9","±13","63","±89","0","±13","27","±40","0","±13","0","±19","0","±13","24","±37","0","±13","0","±13","0","±19","0","±19","0","±13","0","±19","10","±16","0","±13","8","±14","14","±22","55","±65","0","±13","0","±13","0","±19","19","±32","0","±13","0","±19","21","±37","0","±13"
"    10.0 to 14.9 percent","53","±52","60","±48","26","±41","42","±43","73","±55","27","±33","6","±11","18","±24","118","±83","24","±26","0","±19","94","±109","117","±94","45","±50","10","±16","0","±13","50","±69","21","±28","3","±7","16","±26","79","±86","111","±110","31","±36","0","±19","0","±19","0","±19","0","±19","30","±32","0","±19","31","±40","12","±23","55","±56","25","±34","0","±19","23","±19","27","±31","0","±13","8","±13","61","±47","13","±23","0","±19","0","±19","50","±49","8","±8","12","±20","0","±13","12","±21","0","±19","19","±23","0","±19","11","±17","12","±19","36","±36","10","±14","0","±19","0","±13","9","±15","20","±24","40","±47","0","±19","17","±26","23","±27","0","±19","80","±76","78","±62","169","±105","12","±21","15","±24","11","±17","0","±19","0","±13","0","±19","2","±3","7","±40","13","±27","21","±34","0","±19","0","±19","15","±24","0","±19","0","±19","42","±37","46","±50","0","±19","20","±29","0","±13","49","±55","0","±19","5","±22","0","±13","74","±113","128","±138","0","±13"
"    15.0 to 19.9 percent","81","±60","49","±62","0","±13","340","±263","39","±28","320","±242","64","±61","20","±17","53","±52","9","±14","15","±24","86","±55","198","±102","58","±53","20","±23","0","±13","56","±71","121","±69","30","±24","0","±19","38","±46","0","±19","172","±116","7","±11","17","±26","0","±19","0","±19","118","±112","10","±16","34","±31","0","±13","58","±58","155","±99","27","±43","73","±38","36","±42","17","±22","0","±13","43","±52","0","±13","29","±34","9","±14","217","±198","17","±22","91","±70","53","±48","15","±22","30","±34","62","±92","31","±47","11","±16","12","±18","52","±60","7","±11","0","±19","17","±20","12","±21","39","±49","117","±100","30","±38","11","±17","0","±13","0","±19","215","±115","214","±93","63","±53","13","±21","0","±19","21","±24","0","±19","118","±162","8","±13","10","±12","448","±409","116","±67","27","±32","16","±26","7","±12","0","±13","29","±39","26","±27","21","±15","45","±40","17","±24","80","±76","4","±8","0","±13","184","±118","155","±120","0","±13","188","±147","349","±195","0","±13"
"    20.0 to 24.9 percent","17","±19","40","±32","38","±36","37","±48","66","±47","127","±72","23","±21","23","±27","201","±116","109","±150","83","±72","357","±236","222","±95","147","±94","0","±19","50","±61","135","±107","329","±249","100","±79","21","±33","86","±69","0","±19","171","±103","9","±14","24","±31","10","±17","48","±46","14","±16","18","±21","48","±55","43","±64","0","±13","54","±45","64","±73","64","±69","75","±66","126","±154","0","±13","69","±52","6","±11","82","±68","28","±36","161","±109","12","±12","74","±91","25","±23","28","±35","0","±19","60","±82","6","±10","0","±13","0","±13","71","±65","0","±19","27","±41","0","±13","11","±18","114","±88","14","±19","0","±19","0","±13","29","±41","8","±12","347","±286","55","±54","136","±76","16","±19","0","±19","0","±13","0","±19","39","±59","18","±20","0","±13","131","±80","31","±31","0","±13","0","±19","6","±10","9","±16","0","±19","145","±131","31","±26","15","±22","0","±19","42","±54","18","±21","0","±13","204","±221","0","±13","0","±13","199","±155","40","±46","0","±13"
"    25.0 to 29.9 percent","16","±24","30","±28","0","±13","382","±129","123","±69","188","±102","20","±15","41","±60","197","±112","20","±31","102","±81","132","±93","39","±33","77","±82","63","±75","0","±13","80","±80","187","±93","52","±79","8","±16","49","±54","0","±19","116","±88","92","±90","83","±66","14","±22","35","±41","0","±13","31","±36","22","±28","16","±27","20","±31","71","±65","103","±118","53","±24","64","±48","0","±13","14","±17","44","±38","0","±13","41","±61","8","±15","18","±28","23","±23","10","±19","0","±13","31","±36","11","±16","0","±19","44","±51","13","±22","31","±33","61","±49","0","±19","0","±19","0","±13","37","±38","61","±45","50","±38","8","±13","20","±20","0","±13","0","±19","286","±185","54","±47","137","±115","21","±31","0","±19","0","±13","0","±19","9","±17","38","±29","59","±99","180","±106","34","±45","53","±71","15","±34","0","±19","115","±123","0","±19","10","±11","3","±5","23","±28","0","±19","34","±41","0","±13","0","±13","177","±124","107","±167","0","±13","52","±49","90","±99","0","±13"
"    30.0 to 34.9 percent","9","±14","59","±47","31","±46","58","±40","21","±23","130","±106","21","±18","88","±80","79","±73","35","±51","56","±75","123","±103","238","±163","13","±19","25","±33","0","±13","17","±23","61","±68","15","±25","16","±25","162","±109","220","±200","22","±24","28","±39","11","±17","0","±19","0","±19","0","±13","8","±18","38","±40","0","±13","63","±56","33","±39","18","±21","20","±19","55","±45","4","±15","17","±19","57","±39","24","±38","26","±34","0","±19","36","±58","3","±6","50","±76","0","±13","0","±13","20","±21","0","±19","4","±9","0","±13","5","±10","50","±67","17","±22","0","±19","15","±21","0","±13","60","±53","55","±61","0","±19","0","±13","0","±13","0","±19","313","±166","33","±37","96","±66","11","±18","76","±77","9","±16","0","±19","0","±13","0","±19","0","±13","77","±64","68","±71","22","±37","53","±62","0","±19","0","±13","16","±25","12","±19","27","±23","87","±77","0","±19","36","±30","0","±13","39","±50","70","±94","52","±50","0","±13","30","±35","228","±173","0","±13"
"    35.0 to 39.9 percent","0","±13","43","±43","0","±13","7","±14","12","±16","25","±42","8","±14","106","±83","266","±203","0","±19","0","±19","92","±77","37","±37","3","±11","94","±79","0","±13","45","±70","173","±109","37","±58","14","±21","52","±58","10","±19","23","±32","25","±39","32","±49","0","±19","0","±19","6","±9","0","±19","0","±13","0","±13","43","±64","260","±180","24","±38","49","±31","91","±61","0","±13","10","±16","9","±14","0","±13","0","±19","0","±19","72","±68","0","±13","70","±82","0","±13","37","±54","14","±22","18","±29","23","±28","76","±109","0","±13","88","±73","0","±19","0","±19","0","±13","0","±13","5","±11","24","±36","25","±36","0","±13","0","±13","0","±19","61","±75","23","±26","35","±38","0","±19","10","±17","0","±13","0","±19","0","±13","0","±19","0","±13","122","±79","171","±127","0","±13","0","±19","0","±19","42","±46","0","±19","47","±51","0","±13","21","±26","63","±94","92","±73","0","±13","7","±11","85","±102","58","±55","0","±13","255","±173","166","±182","0","±13"
"    40.0 to 49.9 percent","11","±16","95","±59","14","±22","62","±46","27","±21","27","±39","20","±22","55","±55","93","±82","17","±24","0","±19","91","±61","110","±98","79","±75","142","±99","67","±89","221","±160","70","±100","0","±19","0","±19","62","±56","170","±211","67","±55","18","±21","12","±17","12","±20","0","±19","9","±14","0","±19","58","±46","28","±35","0","±13","0","±13","23","±28","35","±38","94","±58","0","±13","23","±26","0","±19","0","±13","126","±106","0","±19","133","±99","28","±28","25","±35","0","±13","0","±13","0","±19","0","±19","51","±67","0","±13","12","±17","66","±64","0","±19","19","±33","11","±15","12","±19","8","±13","0","±13","6","±11","0","±13","14","±21","0","±19","48","±46","107","±72","96","±80","8","±13","0","±19","7","±11","0","±19","0","±13","0","±19","0","±13","82","±83","187","±129","26","±46","0","±19","9","±14","16","±26","0","±19","148","±212","4","±6","71","±57","0","±19","0","±19","0","±13","0","±13","30","±51","17","±29","8","±15","146","±89","66","±69","0","±13"
"    50.0 percent or more","25","±37","110","±64","0","±13","338","±176","161","±96","374","±188","343","±112","73","±70","163","±100","5","±8","93","±80","156","±74","128","±84","109","±79","128","±84","0","±13","356","±167","165","±138","31","±40","6","±11","342","±172","141","±109","285","±117","57","±53","120","±77","0","±19","46","±72","10","±15","82","±65","40","±40","152","±111","73","±76","125","±86","87","±89","80","±36","228","±136","53","±49","121","±59","47","±37","59","±63","83","±54","0","±19","260","±104","18","±22","44","±45","0","±13","55","±56","58","±56","52","±61","21","±28","0","±13","79","±57","64","±57","40","±41","0","±19","10","±16","0","±13","55","±37","10","±17","127","±192","0","±13","41","±70","15","±24","483","±216","299","±120","427","±335","13","±20","29","±33","25","±31","18","±20","12","±18","21","±22","100","±81","63","±48","201","±133","0","±13","37","±45","21","±23","128","±87","9","±15","12","±20","11","±12","125","±67","20","±30","0","±19","0","±13","183","±127","202","±158","22","±28","0","±13","198","±121","95","±90","0","±13"
"    Not computed","12","±19","13","±19","60","±63","11","±19","5","±6","0","±19","20","±33","0","±19","16","±26","0","±19","0","±19","129","±156","0","±19","0","±13","0","±19","0","±13","0","±13","156","±171","18","±29","0","±19","86","±106","0","±19","0","±19","13","±22","0","±19","0","±19","0","±19","15","±25","8","±12","12","±18","26","±42","57","±64","9","±17","134","±132","102","±75","136","±76","35","±43","32","±52","82","±74","24","±33","0","±19","21","±26","8","±12","30","±37","0","±19","6","±11","0","±13","0","±19","0","±19","8","±13","56","±47","13","±14","12","±19","1","±2","0","±19","10","±16","0","±13","20","±31","0","±13","0","±19","2","±3","0","±13","0","±19","54","±51","0","±13","0","±19","0","±19","0","±19","0","±13","13","±15","0","±13","0","±19","16","±18","9","±18","41","±60","0","±13","13","±22","6","±9","17","±26","0","±19","22","±22","0","±13","37","±54","0","±19","0","±19","9","±14","0","±13","24","±39","40","±46","0","±13","96","±91","18","±30","0","±13"
