ID,STATE_NAME,ST_ABBREV,CNTY_NAME,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,ACSUNEMPBAS,ACSDISABBAS,DEMOGIDX_2,DEMOGIDX_5,PEOPCOLOR,PEOPCOLORPCT,LOWINCOME,LOWINCPCT,UNEMPLOYED,UNEMPPCT,DISABILITY,DISABILITYPCT,LINGISO,LINGISOPCT,LESSHS,LESSHSPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,NO2,DWATER,Shape_Length,Shape_Area
51153900100,VIRGINIA,VA,Prince William County,3234,3234,2760,1559,1613,1670,3159,1.260729923,0.971099892,1621,0.501236858,248,0.07668522,11,0.006586826,303,0.095916429,52,0.033354715,123,0.044565217,185,0.0572047,968,0.299319728,0.182564103,7.117336885,55.85079,0.17022229,58.79563204,1048284.539,73,0.045257285,0.150438512,0.199625414,0.535742038,0.55291834,2955.696985,5.941893021,0,0.177784381,0.001610058
51153900201,VIRGINIA,VA,Prince William County,2441,2436,1480,961,1058,1587,2410,2.576169239,2.154165087,1884,0.77181483,797,0.327175698,107,0.06742281,372,0.154356846,93,0.096774194,198,0.133783784,79,0.032363785,176,0.072101598,0.217435897,7.212371585,56.00132,0.246330689,47.18831416,1939166.587,119,0.112476371,0.107441159,0.212286876,0.506328415,5.158355947,1608.187692,7.430988248,0,0.066764208,0.000168793
51153900202,VIRGINIA,VA,Prince William County,4124,4124,2770,1125,1266,2557,4108,2.340042565,1.778364751,3015,0.731086324,1142,0.276915616,124,0.048494329,163,0.039678676,152,0.135111111,475,0.171480144,169,0.040979631,274,0.066440349,0.169230769,7.216208197,55.82964,0.243887459,42.40539441,1942872.958,740,0.584518167,0.100379162,0.197936753,0.323682439,2.421485001,1481.485726,7.024271642,0,0.06483419,0.000206998
51153900203,VIRGINIA,VA,Prince William County,4589,4589,2781,1406,1616,2237,4574,2.73809154,2.27078697,4081,0.889300501,1382,0.301154936,95,0.042467591,461,0.100787057,202,0.143669986,532,0.191298094,437,0.095227718,264,0.057528873,0.206153846,7.197157923,55.83719,0.217923803,45.32269551,1432192.241,165,0.10210396,0.10855256,0,0.257901881,1.43282189,1696.97799,7.046775897,0,0.04501805,0.000111043
51153900301,VIRGINIA,VA,Prince William County,3494,3494,2526,1503,1610,2072,3462,1.846608204,1.707759694,1944,0.55638237,812,0.232398397,191,0.092181467,465,0.134315425,140,0.093147039,276,0.109263658,169,0.048368632,311,0.089009731,0.180512821,7.243385246,56.03626,0.250596623,42.57440461,1980590.732,319,0.198136646,0.039346429,0.23544811,0.455011814,5.261958187,749.7767363,6.979261768,0,0.072386083,0.000197919
51153900302,VIRGINIA,VA,Prince William County,5463,5377,3788,2227,2330,3258,5290,2.309223688,1.727672947,3811,0.69760205,1556,0.289380696,28,0.00859423,523,0.098865784,147,0.066008083,651,0.171858501,263,0.048142046,353,0.064616511,0.180512821,7.232929781,55.79823,0.248440548,40.20947831,1876875.904,37,0.015879828,0,0.195784515,0.286848501,2.458813027,839.2163909,7.404631107,0,0.105774828,0.000388241
51153900403,VIRGINIA,VA,Prince William County,6107,6090,4113,1950,2012,3235,6089,2.314609083,1.701417511,4596,0.752579008,1547,0.254022989,176,0.054404946,631,0.103629496,201,0.103076923,625,0.151957209,777,0.127231046,769,0.125921074,0.16,7.208924863,55.47455,0.178071521,34.71307642,1311404.74,103,0.051192843,0.078182302,0,0.09824936,2.968459601,1223.102014,7.419461825,0,0.144229603,0.000790094
51153900404,VIRGINIA,VA,Prince William County,5702,5692,3745,1744,1808,2935,5654,2.818435356,2.385773633,4848,0.85022799,2015,0.354005622,263,0.089608177,460,0.08135833,348,0.199541284,820,0.218958611,297,0.052086987,462,0.081024202,0.164102564,7.205901366,55.28439,0.173518369,32.82387659,1072587.897,97,0.053650442,0.102979571,0,0.024933455,1.103061651,1128.579837,6.966819502,0,0.088035072,0.000282392
51153900407,VIRGINIA,VA,Prince William County,7089,7089,4398,2256,2390,4067,6973,2.527301194,1.7783172,5836,0.823247285,1959,0.276343631,281,0.069092697,612,0.087767102,161,0.071365248,645,0.146657572,694,0.097898152,619,0.087318381,,7.202148634,55.18307,0.170696031,29.93241569,960221.5154,107,0.044769874,0.123719695,0,0,3.055211956,31.74779747,6.265945822,0,0.071919058,0.000211013
51153900408,VIRGINIA,VA,Prince William County,5334,5334,3288,1534,1595,2834,5318,1.592010922,1.312953516,3599,0.674728159,366,0.068616423,96,0.033874382,435,0.081797668,141,0.091916558,333,0.101277372,704,0.131983502,371,0.069553806,0.178461538,7.191485792,55.15391,0.157985338,29.17011798,816841.4259,98,0.061442006,0.131832714,0,0,0,485.9194125,5.89665489,0,0.085700382,0.000201307
51153900409,VIRGINIA,VA,Prince William County,5003,4976,3438,1579,1603,3013,4973,2.128236512,1.960593555,4293,0.858085149,604,0.121382637,74,0.024560239,522,0.104966821,145,0.091830272,807,0.234729494,150,0.029982011,609,0.121726964,0.206153846,7.189668306,55.24277,0.160766455,31.51438735,953881.3149,0,0,0.113966102,0,0,0,1444.887787,6.513326571,0,0.072721363,0.000215854
51153900410,VIRGINIA,VA,Prince William County,5891,5891,3683,2078,2214,3548,5856,2.742017858,1.322219504,5197,0.882193176,1810,0.307248345,178,0.050169109,304,0.051912568,149,0.071703561,252,0.068422482,638,0.108300798,229,0.038872857,0.176410256,7.158474044,55.32373,0.176123879,36.39436334,1318504.531,33,0.014905149,0.234565584,0,0.042028269,1.822891019,2210.774855,7.097802327,0,0.108896328,0.000450708
51153900502,VIRGINIA,VA,Prince William County,5112,4801,3551,2041,2130,3043,4728,1.897269345,0.937691702,3555,0.695422535,745,0.155176005,164,0.053894183,292,0.061759729,69,0.033806957,162,0.045620952,388,0.075899844,445,0.087050078,0.176410256,7.152292077,55.49733,0.211705209,44.85417152,1523818.995,0,0,0.220695041,0,0.20549711,2.088257473,2471.517405,7.548125292,0,0.081049101,0.000221028
51153900503,VIRGINIA,VA,Prince William County,3823,3650,2318,1229,1275,2305,3802,2.42352595,1.648542578,3296,0.862150144,788,0.215890411,175,0.075921909,258,0.067859022,104,0.084621644,485,0.209232097,352,0.092074287,346,0.090504839,0.164102564,7.193168306,55.66076,0.217562229,42.095928,1907799.483,174,0.136470588,0.12830849,0,0.226708482,1.263350919,2006.137798,7.477478341,0,0.085614739,0.00019543
