OBJECTID,GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,CBSA_POP,CBSA_EMP,CBSA_WRK,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,P_WrkAge,AutoOwn0,Pct_AO0,AutoOwn1,Pct_AO1,AutoOwn2p,Pct_AO2p,Workers,R_LowWageWk,R_MedWageWk,R_HiWageWk,R_PCTLOWWAGE,TotEmp,E5_Ret,E5_Off,E5_Ind,E5_Svc,E5_Ent,E8_Ret,E8_off,E8_Ind,E8_Svc,E8_Ent,E8_Ed,E8_Hlth,E8_Pub,E_LowWageWk,E_MedWageWk,E_HiWageWk,E_PctLowWage,D1A,D1B,D1C,D1C5_RET,D1C5_OFF,D1C5_IND,D1C5_SVC,D1C5_ENT,D1C8_RET,D1C8_OFF,D1C8_IND,D1C8_SVC,D1C8_ENT,D1C8_ED,D1C8_HLTH,D1C8_PUB,D1D,D1_FLAG,D2A_JPHH,D2B_E5MIX,D2B_E5MIXA,D2B_E8MIX,D2B_E8MIXA,D2A_EPHHM,D2C_TRPMX1,D2C_TRPMX2,D2C_TRIPEQ,D2R_JOBPOP,D2R_WRKEMP,D2A_WRKEMP,D2C_WREMLX,D3A,D3AAO,D3AMM,D3APO,D3B,D3BAO,D3BMM3,D3BMM4,D3BPO3,D3BPO4,D4A,D4B025,D4B050,D4C,D4D,D4E,D5AR,D5AE,D5BR,D5BE,D5CR,D5CRI,D5CE,D5CEI,D5DR,D5DRI,D5DE,D5DEI,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area
15825,511539000000.0,511539000000.0,51,153,900901,3,548.0,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6151521,2806497,2713860,120.6500344,0.2317798,120.4182546,120.4182546,1913,713.0,638.0,0.608,28,0.043887147,345,0.540752351,265,0.415360502,763,196,311,256,0.256880734,35,0,3,0,32,0,0,3,0,30,0,0,2,0,3,3,29,0.085714286,5.921029186,15.8862957,0.290653607,0.0,0.024913166,0.0,0.26574044,0.0,0.0,0.024913166,0.0,0.249131663,0.0,0.0,0.016608778,0.0,6.211682792,0,0.054858934,0.422000517,0.18174573,0.460818477,0.243460002,0.199881226,0.213667939,0.237872831,0.002451662,0.035934292,0.087719298,21.8,9.26136e-10,11.83423863,0.0,0.0,11.83423863,62.02913358,0.0,0.0,0.0,69.09251448,15.94442642,-99999.0,0.0,0.0,1.33,7.068695713,0.000695243,58170,56087,-99999,-99999,9.71684e-05,0.133301862,0.000118153,0.191427128,-99999.0,-99999.0,-99999.0,-99999.0,3,3,11,1,5.0,3288.378513,488264.4149
15833,511539000000.0,511539000000.0,51,153,901223,2,548.0,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6151521,2806497,2713860,228.4896635,0.0,228.4896635,228.4896635,2388,818.0,745.0,0.67,37,0.04966443,238,0.319463087,470,0.630872483,1122,234,341,547,0.20855615,207,102,17,1,60,27,102,17,1,59,27,0,1,0,66,81,60,0.31884058,3.580030656,10.45123864,0.905949078,0.446409691,0.074401615,0.004376566,0.262593936,0.118167271,0.446409691,0.074401615,0.004376566,0.25821737,0.118167271,0.0,0.004376566,0.0,4.485979734,0,0.277852349,0.7483414,0.7483414,0.685906183,0.59101392,0.438411461,0.618190182,0.687419319,0.582169955,0.159537572,0.311512415,5.420289855,0.012030745,19.88492417,1.860470657,4.301244431,13.72320908,84.05806944,5.602003961,5.602003961,11.20400792,78.42805546,16.80601188,846.25,0.0,0.0,1.33,3.725332634,0.000556951,80785,80972,15393,28959,0.000134945,0.185126198,0.000170575,0.276360608,2.96229e-05,0.017243427,9.64182e-05,0.055577946,8,11,13,13,11.83333333,4659.655611,924683.7994
15836,511539000000.0,511539000000.0,51,153,900600,2,548.0,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6151521,2806497,2713860,161.8858353,2.4747065,159.4111288,146.00028,2262,396.0,396.0,0.592,0,0.0,53,0.133838384,343,0.866161616,667,161,242,264,0.24137931,159,30,18,9,20,82,30,18,9,20,82,0,0,0,70,64,25,0.440251572,2.712323565,15.49312097,1.089039007,0.205479058,0.123287435,0.061643717,0.136986039,0.561642758,0.205479058,0.123287435,0.061643717,0.136986039,0.561642758,0.0,0.0,0.0,3.801362573,0,0.401515152,0.823962456,0.823962456,0.823962456,0.637727192,0.546328979,0.63301543,0.697316361,0.898515726,0.131350682,0.384987893,4.194968553,0.040967814,12.05394148,0.0,1.358923606,10.69501787,46.86046737,0.0,0.0,0.0,64.23641861,4.014776163,706.77,0.030071098,0.171907573,9.33,37.4578616,0.004124668,99273,92675,16960,19792,0.000165828,0.227493137,0.000195229,0.316303406,3.26385e-05,0.018998799,6.58969e-05,0.037984693,12,13,9,14,11.83333333,6006.277371,655140.6982
15837,511539000000.0,511539000000.0,51,153,901001,2,548.0,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6151521,2806497,2713860,417.9441987,0.5507859,417.3934128,417.39341,1666,647.0,647.0,0.803,40,0.061823802,200,0.309119011,407,0.629057187,742,163,216,363,0.21967655,1082,97,17,43,803,122,97,17,43,219,122,0,584,0,298,433,351,0.275415896,1.550096347,3.991438197,2.592278589,0.232394661,0.040728961,0.103020314,1.923844461,0.292290192,0.232394661,0.040728961,0.103020314,0.524684853,0.292290192,0.0,1.399159608,0.0,4.142374936,0,1.672333849,0.544949964,0.544949964,0.73219898,0.630902303,0.675323681,0.58459299,0.642577577,0.458219349,0.787481805,0.813596491,0.685767098,0.730348909,16.53768327,1.934200063,3.503131553,11.10035165,43.97271121,1.533325588,7.666627939,4.599976763,44.46644204,4.599976763,922.69,0.0,0.0,2.67,4.093979319,0.001602641,60163,57802,1025,1006,0.000100498,0.137869003,0.000121765,0.19728049,1.97255e-06,0.001148218,3.34945e-06,0.001930709,15,13,9,13,12.0,6508.0497,1691396.201
15838,511539000000.0,511539000000.0,51,153,901001,1,548.0,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6151521,2806497,2713860,346.9335891,1.1702656,345.7633235,341.3083,1425,476.0,446.0,0.546,13,0.029147982,174,0.390134529,259,0.580717489,456,76,145,235,0.166666667,530,30,49,8,231,212,30,25,8,190,212,4,37,24,158,216,156,0.298113208,1.394633532,4.175110889,1.552848261,0.087897071,0.143565217,0.023439219,0.676807449,0.621139304,0.087897071,0.073247559,0.023439219,0.556681452,0.621139304,0.01171961,0.108406388,0.070317657,2.947481793,0,1.188340807,0.72972785,0.72972785,0.70549436,0.70549436,0.740727055,0.674693385,0.747952122,0.490122747,0.542199488,0.92494929,0.860377358,0.869686357,14.30031168,2.079316327,2.508159669,9.712835686,56.786127,3.701954236,14.80781694,3.701954236,53.67833642,7.403908472,-99999.0,0.0,0.0,8.0,14.80781694,0.005614035,61651,59793,-99999,-99999,0.000102983,0.141278891,0.00012596,0.204075851,-99999.0,-99999.0,-99999.0,-99999.0,17,16,10,1,9.166666667,4913.735039,1404021.222
15868,511539000000.0,511539000000.0,51,153,900600,3,548.0,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6151521,2806497,2713860,178.969588,0.0,178.969588,178.969588,2196,732.0,732.0,0.607,48,0.06557377,207,0.282786885,477,0.651639344,736,196,271,269,0.266304348,1023,608,14,7,212,182,608,14,7,25,182,0,187,0,325,367,331,0.31769306,4.090080377,12.27024113,5.716054953,3.397225231,0.078225581,0.03911279,1.184558798,1.016932553,3.397225231,0.078225581,0.03911279,0.139688537,1.016932553,0.0,1.04487026,0.0,9.806135331,0,1.397540984,0.643331367,0.643331367,0.619826434,0.53407603,0.715988202,0.757442823,0.841431176,0.491313955,0.635601118,0.836839113,0.71945259,0.755370131,15.50714755,0.0,3.533154459,11.97399309,67.97311284,0.0,21.45615936,0.0,64.36847807,10.72807968,313.82,0.0,0.0,5.0,17.8801328,0.002276867,97221,91838,17344,19230,0.0001624,0.222790791,0.000193466,0.313446692,3.33775e-05,0.019428961,6.40257e-05,0.036906105,17,9,11,18,14.0,4517.916187,724280.2676
15869,511539000000.0,511539000000.0,51,153,900600,4,548.0,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6151521,2806497,2713860,262.5373254,3.4186285,259.1186969,252.7741497,2348,661.0,661.0,0.541,43,0.06505295,92,0.139183056,526,0.795763994,930,214,366,350,0.230107527,187,9,0,134,43,1,9,0,134,25,1,0,18,0,22,69,96,0.117647059,2.614982587,9.288924531,0.739790838,0.035604907,0.0,0.530117499,0.170112332,0.003956101,0.035604907,0.0,0.530117499,0.098902518,0.003956101,0.0,0.071209813,0.0,3.354773425,0,0.28290469,0.541589848,0.466500103,0.563631093,0.436236957,0.43066595,0.375901225,0.346227594,0.052479123,0.147534517,0.334825425,4.973262032,0.018811968,14.56713965,0.0,0.818778993,13.74836066,67.53229392,0.0,19.7592843,0.0,44.45838968,24.69910538,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,85139,80980,-99999,-99999,0.000142218,0.195103786,0.000170592,0.276387912,-99999.0,-99999.0,-99999.0,-99999.0,8,6,11,1,6.333333333,4295.433977,1062474.265
15870,511539000000.0,511539000000.0,51,153,900702,1,548.0,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6151521,2806497,2713860,202.5644257,0.0,202.5644257,202.5644257,1534,520.0,500.0,0.698,0,0.0,203,0.406,297,0.594,904,188,328,388,0.207964602,39,0,0,18,21,0,0,0,18,21,0,0,0,0,16,9,14,0.41025641,2.567084513,7.572899312,0.192531338,0.0,0.0,0.088860618,0.103670721,0.0,0.0,0.0,0.088860618,0.103670721,0.0,0.0,0.0,0.0,2.759615851,0,0.078,0.995727452,0.428836472,0.995727452,0.331909151,0.281838065,0.20734049,0.209837792,0.000906588,0.049586777,0.08271474,23.17948718,2.33115e-10,17.73052914,0.0,0.145326649,17.5852025,65.31294898,0.0,3.159488631,0.0,47.39232946,31.59488631,-99999.0,0.0,0.02169971,-99999.0,-99999.0,-99999.0,78910,76448,-99999,-99999,0.000131813,0.180829464,0.000161045,0.260920019,-99999.0,-99999.0,-99999.0,-99999.0,4,4,11,1,5.333333333,5291.183574,819766.783
15873,511539000000.0,511539000000.0,51,153,901011,1,548.0,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6151521,2806497,2713860,406.7157276,0.0,406.7157276,406.7157276,2876,952.0,952.0,0.662,0,0.0,230,0.241596639,722,0.758403361,1328,275,334,719,0.207078313,106,1,35,6,64,0,1,35,6,32,0,0,32,0,40,30,36,0.377358491,2.340701221,7.071278057,0.260624296,0.00245872,0.086055192,0.014752319,0.157358065,0.0,0.00245872,0.086055192,0.014752319,0.078679033,0.0,0.0,0.078679033,0.0,2.601325516,0,0.111344538,0.632664564,0.544947594,0.804978723,0.623034238,0.256841133,0.280304713,0.307641892,0.019591833,0.071093226,0.147838215,12.52830189,9.84741e-06,14.40100655,2.405667726,1.236994504,10.75834432,46.17987141,6.29432261,3.147161305,1.573580652,61.36964545,1.573580652,788.58,0.0,0.0,4.0,6.29432261,0.001390821,40085,45957,693,3337,6.69588e-05,0.091858435,9.68128e-05,0.156853041,1.33364e-06,0.000776307,1.11104e-05,0.006404351,4,12,9,14,10.33333333,6080.844411,1645958.812
15878,511539000000.0,511539000000.0,51,153,901304,1,548.0,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6151521,2806497,2713860,1818.911501,72.012353,1746.899148,1746.899148,1639,641.0,525.0,0.647,15,0.028571429,112,0.213333333,398,0.758095238,1020,206,279,535,0.201960784,112,19,13,63,17,0,19,13,63,17,0,0,0,0,21,37,54,0.1875,0.366935894,0.938233899,0.064113604,0.010876415,0.007441758,0.036063902,0.009731529,0.0,0.010876415,0.007441758,0.036063902,0.009731529,0.0,0.0,0.0,0.0,0.431049497,0,0.213333333,0.837285307,0.721198308,0.837285307,0.558190204,0.41572612,0.344234675,0.332557754,0.014955103,0.127926899,0.197879859,9.107142857,0.000301379,7.818670809,0.320715761,0.136967267,7.360987781,22.96805745,0.0,0.366363451,0.366363451,27.4772588,4.029997957,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,36280,41276,-99999,-99999,6.06029e-05,0.08313893,8.69519e-05,0.140876605,-99999.0,-99999.0,-99999.0,-99999.0,8,10,7,1,5.666666667,13252.78344,7361037.045
