Name,Address,Lat,Long
AllCare Family Medicine & Urgent Care,"4167 Merchant Plz, Lake Ridge, VA 22192",,
Patient First Primary and Urgent Care,"2199 Old Bridge Road, Lake Ridge, VA 22192",,
NextCare Urgent Care Woodbridge,"12581 Milstead Way, #103, Woodbridge, VA 22192",,
Easy Care Primary & Urgent Care,"5441 Mapledale Plz, Woodbridge, VA 22193",,
AFC Urgent Care Dale City,"4101 Cheshire Station Plz, Woodbridge, VA 22193",,
Velocity Urgent Care,"16422 Navigation Dr, Woodbridge, VA 22191",,
NOVA Patient Care | Urgent Care,"13820 Smoketown Rd, Woodbridge, VA 22192",,
GoWell Urgent Care,"14900 Potomac Town Pl Ste 110, Woodbridge, VA 22192",,
Dr. Al Family and Urgent Care,"14914 Richmond Highway, Woodbridge, VA 22191",,
US Primary & Urgent Care,"12800 Darby Brook Ct, Woodbridge, VA 22192",,
Clinic at NextCare UrgentCare,"3990 Fettler Park Dr, Dumfries, VA 22025",,
Advanced Urgent Care | Kaiser,"13285 Minnieville Rd, Woodbridge, VA 22192",,
AFC Urgent Care Woodbridge,"14087 Richmond Highway Unit 101, Woodbridge, VA 22191",,
PM Pediatric Urgent Care,"2690 Prince William Pkwy, Woodbridge, VA 22192",,
Urgent Medical Care,"17193 Wayside Dr, Dumfries, VA 22026",,
Patient First - Manassas,"9715 Liberia Ave, Manassas, VA 20110",,
Millennium Medical Care Manassas,"6356 Hoadly Rd, Manassas, VA 20112",,
Woodbridge Urgent Care,"12800 Darby Brook Ct Ste 101, Woodbridge, VA 22192",,
