ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,SVI_statewide,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
51,Virginia,VA,51153,Prince William County,51153900100,Census Tract 9001; Prince William County; Virginia,0.1777,2.534004028,3234,442,1613,182,1559,185,102,64,11,18,181,79,123,64,200,185,968,208,382,138,303,103,12,23,117,96,1621,587,445,104,0,13,7,19,11,17,0,13,3.2,1.9,0.7,1.1,11.6,4.9,4.5,2.4,6.3,5.3,29.9,6.5,11.8,3.7,9.6,3.6,0.8,1.5,3.8,3.1,50.1,16.8,27.6,5.6,0,2.4,0.4,1.2,0.7,1.1,0,0.4,0.0782,0.0615,0.1568,0.2909,0.5002,1.0876,0.1083,0.9465,0.0802,0.3541,0.0786,0.8027,2.2621,0.352,0.686,0.686,0.686,0.835,0,0.3742,0.1221,0,1.3313,0.2114,5.367,0.1777,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2029,83,63,502,178,566,222,273,128,0,13,0,13,113,72,167,180,5.3,4.1,15.5,5.3,17.5,6.8,8.4,4,0,1.2,0,1.2,3.5,2.2,5.2,5.5
51,Virginia,VA,51153,Prince William County,51153900201,Census Tract 9002.01; Prince William County; Virginia,0.8996,0.60346121,2441,456,1058,107,961,115,624,350,107,46,372,113,198,73,269,163,176,53,545,269,372,103,94,64,139,86,1884,506,393,102,0,13,67,56,11,18,5,8,25.6,13.5,6.7,2.8,38.7,10.8,13.4,4.4,11.2,6.2,7.2,2.4,22.3,8.3,15.4,4.7,9.7,6.6,5.9,3.5,77.2,14.9,37.1,8.9,0,3.7,7,5.2,1.1,1.9,0.2,0.3,0.7669,0.7946,0.87,0.7533,0.8035,3.9883,0.9199,0.1093,0.5666,0.7092,0.815,0.8801,3.0802,0.8511,0.9133,0.9133,0.9133,0.8946,0,0.9417,0.1809,0.5606,2.5778,0.6647,10.5596,0.8996,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,1700,37,34,564,244,1104,376,94,52,0,13,0,13,82,64,40,43,3.9,3.4,23.1,8.7,45.2,10.3,3.9,2.2,0,1.6,0,1.6,3.4,2.8,1.6,1.8
51,Virginia,VA,51153,Prince William County,51153900202,Census Tract 9002.02; Prince William County; Virginia,0.4794,0.772037976,4124,816,1266,164,1125,159,125,122,124,106,218,116,475,287,766,241,274,135,933,309,163,85,43,54,575,271,3015,1041,205,109,6,11,0,18,14,16,0,13,3,2.9,4.8,4,19.4,9.9,17.1,9.5,18.6,6,6.6,3,22.6,4.6,4,1.9,3.8,4.8,14.5,6.2,73.1,20.7,16.2,8.4,0.5,0.8,0,1.4,1.2,1.4,0,0.3,0.0722,0.6272,0.4186,0.8626,0.9538,2.9344,0.6354,0.0936,0.5897,0.0365,0.408,0.9793,2.1071,0.2604,0.8861,0.8861,0.8861,0.7332,0.558,0,0.1924,0,1.4836,0.2516,7.4112,0.4794,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2896,25,21,575,502,2321,729,102,64,0,13,0,13,17,28,0,13,2.2,1.9,13.9,11.7,56.3,15.5,2.5,1.5,0,1,0,1,0.4,0.7,0,1
51,Virginia,VA,51153,Prince William County,51153900203,Census Tract 9002.03; Prince William County; Virginia,0.9014,0.414282813,4589,971,1616,251,1406,293,1056,488,95,67,483,160,532,225,831,307,264,117,1505,453,461,150,130,85,402,199,4081,996,988,267,0,13,119,84,11,17,6,4,23,9.5,4.2,3,34.4,8.8,19.1,8.4,18.2,7,5.8,2.8,32.8,4.3,10.1,3.5,9.2,5.7,9.7,4.3,88.9,10.8,61.1,13.5,0,2.4,8.5,5,0.8,1.2,0.1,0.1,0.716,0.5527,0.8085,0.8953,0.9496,3.9221,0.9065,0.071,0.9631,0.3893,0.7956,0.9479,3.1669,0.8881,0.9673,0.9673,0.9673,0.9524,0,0.9602,0.1392,0.4675,2.5193,0.6378,10.5756,0.9014,0,0,0,0,1,1,0,1,0,0,1,2,1,1,1,0,1,0,0,2,6,3031,68,67,2049,699,1355,432,346,312,0,13,0,13,311,255,20,32,4.8,5.2,44.7,10.3,29.5,9.1,7.5,7,0,0.9,0,0.9,6.8,4.7,0.4,0.7
51,Virginia,VA,51153,Prince William County,51153900301,Census Tract 9003.01; Prince William County; Virginia,0.7464,0.662597364,3494,398,1610,141,1503,155,732,398,191,101,414,131,276,212,316,114,311,109,672,196,465,144,119,69,273,225,1944,475,362,127,0,13,19,21,83,54,0,13,21,11.1,9.2,4.7,27.5,8.2,10.9,7.8,9.1,3.6,8.9,3.1,19.2,4.1,13.4,4.5,8,4.5,8.2,6.7,55.6,12,22.4,7.6,0,2.5,1.3,1.3,5.5,3.5,0,0.4,0.6748,0.8996,0.6721,0.6561,0.7074,3.61,0.8376,0.16,0.3647,0.5932,0.7336,0.9262,2.7777,0.698,0.7395,0.7395,0.7395,0.8003,0,0.5412,0.6115,0,1.953,0.4098,9.0802,0.7464,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3633,133,101,634,284,658,394,528,214,0,13,0,13,124,78,0,13,8.8,6.4,18.1,7.9,18.8,10.3,15.1,6,0,1.1,0,1.1,3.5,2.3,0,1.1
51,Virginia,VA,51153,Prince William County,51153900302,Census Tract 9003.02; Prince William County; Virginia,0.7987,1.444758549,5463,729,2330,259,2227,277,1225,648,28,40,601,244,651,351,607,386,353,142,1259,332,523,169,267,160,454,242,3811,870,452,188,132,152,94,81,32,46,0,19,22.8,11.7,0.9,1.2,27,10.4,17.2,8.3,11.5,6.6,6.5,2.7,23,4.4,9.9,3.6,12,7,8.7,4.5,69.8,12.9,19.4,7.8,5.7,6.3,4.2,3.4,1.4,2.1,0,0.3,0.7118,0.0786,0.6573,0.8663,0.8128,3.1268,0.6913,0.0904,0.6095,0.3759,0.8839,0.9359,2.8956,0.7636,0.8668,0.8668,0.8668,0.7684,0.7638,0.8562,0.2211,0,2.6095,0.679,9.4987,0.7987,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3032,43,67,1235,285,1732,641,524,211,8,14,0,19,294,171,18,31,1.9,3.1,22.6,5.1,31.7,9.2,9.6,4.1,0.1,0.3,0,0.7,5.4,3.3,0.3,0.6
51,Virginia,VA,51153,Prince William County,51153900403,Census Tract 9004.03; Prince William County; Virginia,0.845,2.929255101,6107,791,2012,232,1950,233,1212,705,176,98,616,184,625,279,429,220,769,169,1751,380,631,161,30,44,668,266,4596,886,410,101,0,19,65,66,111,54,28,4,19.9,11.3,5.4,3,31.6,8.6,15.2,6.8,7,3.5,12.6,2.7,28.7,3.7,10.4,2.4,1.5,2.2,12.5,4.7,75.3,10.7,20.4,4.4,0,2,3.3,3.3,5.7,2.8,0.5,0,0.648,0.6957,0.7655,0.8147,0.5539,3.4778,0.7955,0.3209,0.8889,0.4101,0.1448,0.97,2.7347,0.6698,0.8953,0.8953,0.8953,0.7804,0,0.7932,0.6235,0.6888,2.8859,0.7798,9.9937,0.845,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,22639,70,50,833,333,2323,703,1183,665,17,20,0,19,216,146,24,37,3.6,2.5,13.6,5.5,38,10.3,19.4,10.2,0.3,0.3,0,0.7,3.5,2.5,0.4,0.6
51,Virginia,VA,51153,Prince William County,51153900404,Census Tract 9004.04; Prince William County; Virginia,0.894,1.053765795,5702,561,1808,153,1744,149,1513,519,263,135,566,181,820,209,1341,377,462,118,1607,244,460,126,214,109,704,250,4848,620,130,117,0,19,68,64,12,15,4,3,26.6,8.7,9,4.8,32.5,10,21.9,5.5,23.7,6,8.1,2.1,28.2,3.4,8.1,2.4,12.3,6.2,13,4.5,85,6.9,7.2,6.4,0,2.2,3.9,3.5,0.7,0.9,0.1,0.1,0.7863,0.8932,0.7798,0.9378,0.9834,4.3805,0.9718,0.136,0.8737,0.251,0.8899,0.9723,3.1229,0.8677,0.9525,0.9525,0.9525,0.583,0,0.8353,0.1221,0.4675,2.0079,0.432,10.4638,0.894,0,0,0,1,1,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,4,3457,77,60,1015,332,3013,537,437,210,46,65,0,19,324,178,13,23,4.4,3.4,17.8,5.5,52.8,6.7,7.7,3.8,0.8,1.2,0,0.7,5.7,3.1,0.2,0.4
51,Virginia,VA,51153,Prince William County,51153900407,Census Tract 9004.07; Prince William County; Virginia,0.8237,0.786771242,7089,868,2390,231,2256,268,1190,443,281,144,789,278,645,256,935,260,619,202,1870,299,612,259,144,90,427,199,5836,974,933,247,0,19,266,87,33,47,0,19,16.8,5.9,6.9,3.7,35,11.6,14.7,4.9,13.4,3.6,8.7,2.7,26.4,3.1,8.8,3.2,6.3,3.9,6.7,3,82.3,9.3,39.1,9.6,0,1.7,11.8,3.5,1.5,2.1,0,0.3,0.5661,0.8071,0.8187,0.7994,0.8756,3.8669,0.8982,0.1544,0.8054,0.2968,0.6258,0.899,2.7814,0.6989,0.9414,0.9414,0.9414,0.9048,0,0.9847,0.2354,0,2.1249,0.4838,9.7146,0.8237,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,2911,58,47,1990,591,2374,568,857,345,26,39,0,19,589,354,0,19,2.6,2.1,28.1,7.2,33.5,6.7,12.1,4.6,0.4,0.6,0,0.6,8.3,5.1,0,0.6
51,Virginia,VA,51153,Prince William County,51153900408,Census Tract 9004.08; Prince William County; Virginia,0.391,0.749981899,5334,964,1595,244,1534,240,312,144,96,70,205,89,333,140,644,252,371,60,1688,487,435,149,55,44,235,198,3599,1094,0,26,0,19,203,160,25,33,0,19,5.8,2.5,3.4,2.5,13.4,5.4,10.1,4.3,12.1,3.8,7,1.7,31.6,4.9,8.2,2.1,3.6,2.8,5.1,4.2,67.5,16.5,0,1.6,0,2.5,13.2,9.8,1.6,2.2,0,0.4,0.1772,0.4431,0.2054,0.6192,0.8382,2.2831,0.4276,0.1042,0.9502,0.258,0.3779,0.8566,2.5469,0.55,0.8525,0.8525,0.8525,0,0,0.9903,0.2502,0,1.2405,0.1901,6.923,0.391,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2,1286,42,40,1430,421,1356,782,510,232,6,9,0,19,282,219,15,23,2.7,2.8,26.8,7.7,25.4,11.4,9.6,4.6,0.1,0.2,0,0.7,5.3,4.2,0.3,0.4
51,Virginia,VA,51153,Prince William County,51153900409,Census Tract 9004.09; Prince William County; Virginia,0.3994,0.805610317,5003,667,1603,149,1579,151,371,246,74,63,303,148,807,323,697,317,609,144,986,227,522,151,42,41,414,199,4293,721,0,26,0,19,22,40,36,36,0,19,7.5,4.8,2.5,2.1,19.2,9.2,23.5,7.9,14,5.7,12.2,2.9,19.7,3.2,10.5,3.1,2.7,2.6,8.5,3.9,85.8,8.8,0,1.6,0,2.5,1.4,2.5,2.3,2.3,0,0.4,0.2364,0.3062,0.4117,0.9553,0.8877,2.7973,0.5932,0.3038,0.3997,0.4147,0.2886,0.9318,2.3386,0.4089,0.9562,0.9562,0.9562,0,0,0.5634,0.3293,0,0.8927,0.1073,6.9848,0.3994,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,3,2625,69,77,1391,473,1968,424,659,290,0,19,0,19,266,162,9,22,4.4,4.8,27.8,7.7,39.3,5.8,13.2,5.6,0,0.8,0,0.8,5.3,3.5,0.2,0.4
