X,Y,OBJECTID,NAME,LINK,ADDRESS,CITY,TYPE,UPDATE_DATE,ZIP
11780888.187997,6964747.07065804,325,CENTRAL LIBRARY,https://www.pwcva.gov/department/library/central-community-library,8601 MATHIS AVE,MANASSAS,FULL SERVICE,2023/07/07 19:54:53+00,20110
11816686.0947475,6888808.34195839,326,DUMFRIES LIBRARY,https://pwcva.gov/department/library/branch-locations-hours,18115 TRIANGLE SHOPPING PLZ,DUMFRIES,NEIGHBORHOOD,2023/07/07 19:54:53+00,22026
11730101.1297944,6988903.0134878,327,HAYMARKET GAINESVILLE LIBRARY,https://pwcva.gov/department/library/branch-locations-hours,14870 LIGHTNER RD,HAYMARKET,FULL SERVICE,2023/07/07 19:54:53+00,20169
11784115.4318706,6916913.72866088,328,INDEPENDENT HILL LIBRARY,https://pwcva.gov/department/library/branch-locations-hours,14418 BRISTOW RD,MANASSAS,NEIGHBORHOOD,2023/07/07 19:54:53+00,20112
11744814.6354723,6939033.18442188,329,NOKESVILLE LIBRARY,https://pwcva.gov/department/library/branch-locations-hours,12993 FITZWATER DR,NOKESVILLE,NEIGHBORHOOD,2023/07/07 19:54:53+00,20181
11816021.9930573,6929278.7665948,330,CHINN PARK LIBRARY,https://pwcva.gov/department/library/branch-locations-hours,13065 CHINN PARK DR,WOODBRIDGE,FULL SERVICE,2023/07/07 19:54:53+00,22192
11830791.6098435,6931584.55791497,331,LAKE RIDGE LIBRARY,https://pwcva.gov/department/library/branch-locations-hours,2239 OLD BRIDGE RD,WOODBRIDGE,NEIGHBORHOOD,2023/07/07 19:54:53+00,22192
11814833.1204351,6920402.7843468,332,DALE CITY LIBRARY,https://pwcva.gov/department/library/branch-locations-hours,4249 DALE BLVD,DALE CITY,NEIGHBORHOOD,2023/07/07 19:54:53+00,22193
11831218.8376636,6915776.16827196,333,POTOMAC LIBRARY,https://www.pwcva.gov/department/library/potomac-community-library,2201 OPITZ BLVD,WOODBRIDGE,FULL SERVICE,2023/07/07 19:56:59+00,22191
11762090.0969843,6971116.68619964,334,BULL RUN LIBRARY,https://www.pwcva.gov/department/library/bull-run-regional-library,8051 ASHTON AVE,MANASSAS,FULL SERVICE,2023/07/07 19:54:53+00,20109
11809444.0468956,6907338.1451218,335,MONTCLAIR LIBRARY,https://pwcva.gov/department/library/branch-locations-hours,5049 WATERWAY DR,DUMFRIES,FULL SERVICE,2023/07/07 19:54:53+00,22025
11736567.5604311,6973382.97169329,336,VIRGINIA GATEWAY SHOPPING CENTER,https://pwcva.gov/department/library/branch-locations-hours,7400 LINTON HALL RD,GAINESVILLE,DROPBOX,2023/07/07 19:58:22+00,20155
11775932.1490246,6957872.06177031,337,MANASSAS COMMUTER RAIL STATION,https://pwcva.gov/department/library/branch-locations-hours,9451 WEST ST,MANASSAS,DROPBOX,2023/07/07 19:56:59+00,20110
11810241.3189231,6932566.46015063,338,JAMES MCCOART ADMINISTRATION BLDG,https://pwcva.gov/department/library/branch-locations-hours,1 COUNTY COMPLEX CT,WOODBRIDGE,DROPBOX,2023/07/07 19:56:59+00,22192
11784602.1307003,6963860.71285072,339,MANASSAS PARK CITY LIBRARY,http://www.manassasparkcitylibrary.org,100 PARK CENTRAL PLZ 100,MANASSAS PARK,FULL SERVICE,2023/07/07 19:54:53+00,20111
11775251.5453989,6953243.73867789,340,MANASSAS CITY LIBRARY,https://pwcva.gov/department/library/branch-locations-hours,10104 DUMFRIES RD,MANASSAS,FULL SERVICE,2023/07/07 19:54:53+00,20110
