X,Y,OBJECTID,NAME,ADDRESS,CITY,ZIP,UPDATE_DATE,STATUS
11730798.302111,7018753.54482451,5464,BULL RUN ASSEMBLY OF GOD,1815 LOUDOUN DRIVE,HAYMARKET,20169,2021/08/25 19:20:57+00,1
11714907.2221602,6999142.59696625,5465,OLIVE BRANCH BAPTIST CHURCH,4203 MOUNTAIN ROAD,HAYMARKET,20169,2021/08/25 19:21:16+00,1
11756885.2136233,6990610.6215343,5466,SUDLEY UNITED METHODIST CHURCH,5308 SUDLEY ROAD,CATHARPIN,20143,2021/08/25 19:21:40+00,1
11754756.9996053,6992483.00016004,5467,LIGHTHOUSE ASSEMBLY OF GOD,5012 GUM SPRING ROAD,MANASSAS,20109,2019/07/26 20:03:31+00,1
11717811.0898109,6984070.81736821,5468,OAKRUM BAPTIST CHURCH,16419 THOROUGHFARE ROAD,BROAD RUN,20137,2021/08/25 19:22:09+00,1
11728188.7950365,6979326.94126779,5469,ST PAULS EPISCOPAL CHURCH,6750 FAYETTE STREET,HAYMARKET,20169,2021/08/25 19:22:21+00,1
11730106.0000303,6979485.99969994,5470,HAYMARKET BAPTIST CHURCH,14800 WASHINGTON STREET,HAYMARKET,20169,2019/07/26 20:03:31+00,1
11761618.3192917,6975783.57614449,5471,MANASSAS MOSQUE,12950 CENTER ENTRANCE COURT,MANASSAS,20109,2021/08/25 19:25:54+00,1
11734996.4166749,6975460.18721619,5472,GAINESVILLE UNITED METHODIST CHURCH,14200 JOHN MARSHALL HIGHWAY,HAYMARKET,20169,2021/08/25 19:26:29+00,1
11757327.9999277,6974117.50049494,5473,HOLY LIGHT UNITED BAPTIST CHURCH,7319 OLD COMPTON ROAD,MANASSAS,20109,2019/07/26 20:03:31+00,1
11771412.5623728,6973798.62535864,5474,BETHLEHEM LUTHERAN CHURCH,9748 COPELAND DRIVE,MANASSAS,20109,2021/08/25 19:26:55+00,1
11779191.000012,6973357.99969423,5475,PARKLAND IMMANUEL CHURCH OF GOD,8709 PARKLAND STREET,MANASSAS,20111,2019/07/26 20:03:31+00,1
11777959.9646189,6972471.26382141,5476,IGLESIA PENTECOSTAL LA ULTIMA COSECHA,8738 YORKSHIRE LANE,MANASSAS,20111,2021/08/25 19:27:16+00,1
11758442.4582967,6971872.04154885,5477,DEAN DIVERS CHRISTIAN CHURCH,7702 BETHLEHEM ROAD,MANASSAS,20109,2021/08/25 19:27:34+00,1
11784358.3272489,6971985.05556495,5478,MISION CRISTIANA AGAPE ASAMBLIA DE DIOS,8025 RUGBY ROAD,MANASSAS,20111,2021/08/25 19:55:32+00,1
11766641.8753923,6971833.12494081,5479,WESTOVER BAPTIST CHURCH,10301 SUDLEY MANOR DRIVE,MANASSAS,20109,2021/08/25 19:56:13+00,1
11728552.1046049,6971829.41652481,5480,MOUNT PLEASANT BAPTIST CHURCH,15008 LEE HIGHWAY,GAINESVILLE,20155,2021/08/25 19:56:39+00,1
11765801.2914556,6971842.60462081,5481,HOPE LUTHERAN CHURCH ,10391 SUDLEY MANOR DRIVE,MANASSAS,20109,2021/08/25 19:57:08+00,1
11782120.3852308,6971020.53127605,5483,ST MARKS UNITED METHODIST CHURCH,7803 WELL STREET,MANASSAS,20111,2020/09/30 18:29:14+00,1
11782573.9350552,6969835.58125895,5484,ALIANZA CRISTIANA Y MISIONERA DE VIRGINIA,8220 SPRUCE STREET,MANASSAS,20111,2021/08/25 19:57:41+00,1
11781968.0004626,6969595.99981873,5485,EMMANUEL BAPTIST CHURCH,8006 CENTREVILLE ROAD,MANASSAS,20110,2019/07/26 20:03:31+00,1
11774022.0003272,6969330.00020248,5486,LOCH LOMOND BAPTIST CHURCH,9325 MACE STREET,MANASSAS,20111,2019/07/26 20:03:31+00,1
