_id,X,Y,OBJECTID,SOURCE,NAME_CODE,ALT_NAME,ZIPCODE,LINK,TYPE,CITY,ADDRESS,UPDATE_DATE,DISTRICT
1,11780285.5054753,6958427.42778555,119,113,58,MAYFIELD INT CITY OF MANASSAS,20110,https://www.mcpsva.org/mayfieldis,2,MANASSAS,9400 MAYFIELD CT,2020/06/29 16:12:15+00,Manassas
2,11809808.9999059,6924935.4996908,120,113,11,STUART BEVILLE MS,22193,https://bevillems.pwcs.edu/,3,WOODBRIDGE,4901 DALE BLVD,2020/01/07 14:58:49+00,Prince William
3,11801450.0002197,6921504.49966305,121,113,40,C D HYLTON SENIOR HS,22193,https://hyltonhs.pwcs.edu/,4,WOODBRIDGE,14051 SPRIGGS RD,2020/01/07 14:58:49+00,Prince William
4,11831155.0001928,6922446.99941847,122,113,112,,22191,https://woodbridgems.pwcs.edu/,3,WOODBRIDGE,2201 YORK DR,2020/01/07 14:58:49+00,Prince William
5,11831027.9997906,6920542.49929047,123,113,57,,22191,https://marumscohillses.pwcs.edu/,1,WOODBRIDGE,14100 PAGE ST,2020/01/07 14:58:49+00,Prince William
6,11827360.9999068,6897903.00027822,124,113,88,,22191,https://riveroakses.pwcs.edu/,1,WOODBRIDGE,16950 MCGUFFEYS TRL,2020/01/07 14:58:49+00,Prince William
7,11820367.0841046,6882747.37442155,125,113,101,,22172,https://trianglees.pwcs.edu/,1,TRIANGLE,3615 LIONS FIELD RD,2020/01/07 14:58:49+00,Prince William
8,11815265.9998186,6934567.99912655,126,111,108,,22192,https://westridgees.pwcs.edu/,1,WOODBRIDGE,12400 KNIGHTSBRIDGE DR,2020/01/07 14:58:49+00,Prince William
9,11803520.0003448,6921701.49992521,127,111,59,CHRISTA MCAULIFFE ES,22193,https://mcauliffees.pwcs.edu/,1,WOODBRIDGE,13540 PRINCEDALE DR,2020/01/07 14:58:49+00,Prince William
10,11808124.999665,6922199.99991247,128,113,23,,22193,https://enterprisees.pwcs.edu/,1,WOODBRIDGE,13900 LINDENDALE RD,2020/01/07 14:58:48+00,Prince William
11,11802672.0000723,6928177.50042464,129,113,46,MARTIN LUTHER KING JR ES,22193,https://kinges.pwcs.edu/,1,WOODBRIDGE,13224 NICKLESON DR,2020/06/11 17:46:50+00,Prince William
12,11818049.0004862,6934784.00000688,130,111,95,,22192,https://springwoodses.pwcs.edu/,1,WOODBRIDGE,3815 MARQUIS PL,2020/01/07 14:58:49+00,Prince William
13,11820148.0005533,6887413.4999318,131,113,35,,22172,https://grahamparkms.pwcs.edu/,3,TRIANGLE,3613 GRAHAM PARK RD,2020/01/07 14:58:49+00,Prince William
14,11813158.0000976,6911570.99918889,132,113,39,ALEXANDER HENDERSON ES,22025,https://hendersones.pwcs.edu/,1,DUMFRIES,3799 WATERWAY DR,2020/01/07 14:58:49+00,Prince William
15,11809095.9996915,6913041.00051397,133,113,62,,22025,https://montclaires.pwcs.edu/,1,DUMFRIES,4920 TALLOWWOOD DR,2020/01/07 14:58:49+00,Prince William
16,11726002.2787401,6996913.03224464,134,113,36,SAMUEL L GRAVELY JR ES,20169,https://gravelyes.pwcs.edu/,1,HAYMARKET,4670 WAVERLY FARM DR,2020/01/07 14:58:49+00,Prince William
17,11822996.4971529,6909998.79432805,135,113,26,FANNIE W FITZGERALD ES,22193,https://fitzgeraldes.pwcs.edu/,1,WOODBRIDGE,15500 BENITA FITZGERALD DR,2020/01/07 14:58:48+00,Prince William
18,11821749.9996459,6917065.50001088,136,111,20,,22193,https://dalecityes.pwcs.edu/,1,WOODBRIDGE,14450 BROOK DR,2020/01/07 14:58:48+00,Prince William
19,11812666.9994392,6928380.49969055,137,113,44,,22193,https://kerrydalees.pwcs.edu/,1,WOODBRIDGE,13199 KERRYDALE RD,2020/01/07 14:58:49+00,Prince William
20,11812744.0005976,6922938.50007588,138,113,61,,22193,https://minnievillees.pwcs.edu/,1,WOODBRIDGE,13639 GREENWOOD DR,2020/01/07 14:58:49+00,Prince William
21,11818599.9997123,6913006.99992579,139,113,65,,22193,https://neabscoes.pwcs.edu/,1,WOODBRIDGE,3800 CORDELL AV,2020/01/07 14:58:49+00,Prince William
22,11842998.9997987,6924824.4999128,140,111,8,,22191,https://belmontes.pwcs.edu/,1,WOODBRIDGE,751 NORWOOD LN,2020/01/07 14:58:48+00,Prince William
23,11835255.0001949,6915114.4996478,141,113,24,,22191,https://featherstonees.pwcs.edu/,1,WOODBRIDGE,14805 BLACKBURN RD,2020/01/07 14:58:48+00,Prince William
24,11834467.1353008,6925120.86841455,142,114,45,DEAN KILBY ES,22191,https://kilbyes.pwcs.edu/,1,WOODBRIDGE,1800 HORNER RD,2020/01/07 14:58:49+00,Prince William
25,11835114.0001488,6912174.9996213,143,113,87,,22191,https://ripponms.pwcs.edu/,3,WOODBRIDGE,15101 BLACKBURN RD,2020/01/07 14:58:49+00,Prince William
26,11838368.0005306,6917141.49953079,144,113,85,,22191,https://potomacviewes.pwcs.edu/,1,WOODBRIDGE,14601 LAMAR RD,2020/01/07 14:58:49+00,Prince William
27,11733213.9995529,6977721.99976063,145,113,102,GEORGE G TYLER ES,20155,https://tyleres.pwcs.edu/,1,GAINESVILLE,14500 JOHN MARSHALL HWY,2020/01/07 14:58:49+00,Prince William
