_id,X,Y,OBJECTID,NAME,ALT_NAME,UPDATE_DATE
1,11744361.0,6939104.49987499,115,NOKESVILLE SQUARE,,2019/09/24 21:04:30+00
2,11763012.0,6973462.99987499,116,AMBASSADOR SQUARE,,2019/10/21 20:12:11+00
3,11826963.0,6919628.99987499,118,POTOMAC MILLS,,2020/08/03 22:55:25+00
4,11814599.0,6921152.99987499,119,GLENDALE PLAZA,,2019/10/21 20:12:11+00
5,11813977.0,6904783.99987499,120,MONTCLAIR PLAZA,,2019/10/21 20:12:11+00
6,11834682.0,6918171.49987499,121,PRINCE WILLIAM PLAZA,,2019/10/21 20:12:11+00
7,11785286.0,6925274.99987499,122,WOODBINE SHOPPING CENTER,WOODBINE STATION,2019/09/24 21:04:30+00
8,11817277.013125,6897281.70549999,123,THE SHOPPES AT QUANTICO CENTER,,2020/08/03 22:31:20+00
9,11809073.0,6906765.99987499,124,LAKE MONTCLAIR CENTER,,2019/10/21 20:12:11+00
10,11804670.0,6915629.49987499,125,STAPLES MILL SHOPPING CENTER,STAPLES MILL PLAZA,2020/08/03 22:08:55+00
11,11783130.4996875,6975925.00049999,127,RIMPAL PLAZA EAST,,2020/08/09 21:14:26+00
12,11754084.2415625,6951429.87081249,128,BRISTOW CENTER,,2020/08/04 23:42:45+00
13,11724861.858125,6969997.589875,129,THE SHOPS AT STONEWALL,,2019/09/24 21:04:30+00
14,11765227.0,6969060.49987499,130,WESTGATE SHOPPING CENTER,WESTGATE PLAZA,2020/08/03 21:09:10+00
15,11822568.0,6923767.49987499,131,DOMINION CENTER,,2019/10/21 20:12:11+00
16,11834976.0,6917894.99987499,132,WOODSIDE STATION,WOODSIDE PARK II,2020/08/03 21:02:13+00
17,11766556.0,6966196.49987499,134,MANASSAS MALL,,2019/10/21 20:12:11+00
18,11785604.0,6924803.99987499,135,BRADFORD SQUARE,,2019/10/21 20:12:11+00
19,11835291.0,6918560.49987499,136,LYNNWOOD PLAZA,LYNNWOOD SHOPPING CENTER,2021/08/10 18:39:46+00
20,11815380.0,6920770.99987499,137,MINNIEVILLE PLAZA,,2019/10/21 20:12:11+00
21,11823029.0,6923226.49987499,138,SMOKETOWN PLAZA,,2019/10/21 20:12:11+00
